INT	INT	STRING	STRING	INT
164	434	TÑ Bình	Cát Lâm	1
165	438	Tùng Nguyên	Cát Lâm	1
166	435	Thông Hoá	Cát Lâm	1
167	433	Diên Biên	Cát Lâm	1
168	25	Nam Kinh	Giang Tô	1
169	519	Thß¶ng Châu	Giang Tô	1
170	517	Hoài An	Giang Tô	1
171	518	Liên Vân Cäng	Giang Tô	1
172	513	Nam Thông	Giang Tô	1
173	512	Tô Châu	Giang Tô	1
174	527	Túc Thiên	Giang Tô	1
175	523	Thái Châu	Giang Tô	1
176	510	Vô Tích	Giang Tô	1
177	516	T× Châu	Giang Tô	1
178	515	Diêm Thành	Giang Tô	1
179	514	Dß½ng Châu	Giang Tô	1
180	511	Tr¤n Giang	Giang Tô	1
181	791	Nam Xß½ng	Giang Tây	1
182	794	Phü Châu	Giang Tây	1
183	797	Cán Châu	Giang Tây	1
184	796	Cát An	Giang Tây	1
185	798	Cänh ÐÑc Tr¤n	Giang Tây	1
186	792	CØu Giang	Giang Tây	1
187	799	Bình Hß½ng	Giang Tây	1
188	793	Thßþng Nhiêu	Giang Tây	1
189	790	Tân Dß	Giang Tây	1
190	795	Nghi Xuân	Giang Tây	1
191	701	¿ng Ðàm	Giang Tây	1
192	24	Th¦m Dß½ng	Liêu Ninh	1
193	412	An S½n	Liêu Ninh	1
194	414	B±n Khê	Liêu Ninh	1
195	421	Ánh sáng m£t tr¶i	Liêu Ninh	1
196	411	ÐÕi Liên	Liêu Ninh	1
197	415	Ðan Ðông	Liêu Ninh	1
198	413	Phü Thu§n	Liêu Ninh	1
199	418	Phø Tân	Liêu Ninh	1
200	429	H° lô Ðäo	Liêu Ninh	1
201	416	C¦m Châu	Liêu Ninh	1
202	419	Liêu Dß½ng	Liêu Ninh	1
203	427	Bàn C¦m	Liêu Ninh	1
204	410	Thiªt Lînh	Liêu Ninh	1
205	417	Dinh Kh¦u	Liêu Ninh	1
206	471	H°i Hµt	Nµi Mông C±	1
207	483	A LÕp Thi®n	Nµi Mông C±	1
208	478	Ba NgÕn ao h°	Nµi Mông C±	1
209	472	Khån trùm ð¥u	Nµi Mông C±	1
210	476	Xích Phong	Nµi Mông C±	1
211	477	Ordo Ti	Nµi Mông C±	1
212	470	Hô Luân B¯i Nhî	Nµi Mông C±	1
213	475	Thông Liêu	Nµi Mông C±	1
214	473	Ô Häi	Nµi Mông C±	1
215	474	Ô Lan Sát B¯	Nµi Mông C±	1
216	479	Tích Lâm Quách L£c	Nµi Mông C±	1
217	482	Hßng Yên	Nµi Mông C±	1
218	951	Ngân Xuyên	Ninh HÕ	1
219	954	C¯ Nguyên	Ninh HÕ	1
220	952	ThÕch ChuÖ S½n	Ninh HÕ	1
221	953	Ngô Trung	Ninh HÕ	1
222	971	Tây Ninh	Thanh Häi	1
223	975	Quä LÕc	Thanh Häi	1
224	970	Häi B¡c	Thanh Häi	1
225	972	Häi Ðông	Thanh Häi	1
226	974	Häi Nam	Thanh Häi	1
227	977	Häi Tây	Thanh Häi	1
228	973	Hoàng Nam	Thanh Häi	1
229	976	Ng÷c thø	Thanh Häi	1
230	531	Tª Nam	S½n Ðông	1
231	543	Tân Châu	S½n Ðông	1
232	534	ÐÑc Châu	S½n Ðông	1
233	546	Ðông Dinh	S½n Ðông	1
234	530	Hà TrÕch	S½n Ðông	1
235	537	Tª Ninh	S½n Ðông	1
236	634	Lai Vu	S½n Ðông	1
237	635	Liêu Thành	S½n Ðông	1
238	539	Lâm Nghi	S½n Ðông	1
239	532	Thanh Ðäo	S½n Ðông	1
240	633	Ánh sáng m£t tr¶i	S½n Ðông	1
241	538	Thái An	S½n Ðông	1
242	631	Uy Häi	S½n Ðông	1
243	536	Duy Phß¶ng	S½n Ðông	1
244	535	Yên Ðài	S½n Ðông	1
245	632	Táo Trang	S½n Ðông	1
246	533	Tri Bác	S½n Ðông	1
247	351	Thái Nguyên	S½n Tây	1
248	355	Trß¶ng Tr¸	S½n Tây	1
249	352	ÐÕi ð°ng	S½n Tây	1
250	356	T¤n Thành	S½n Tây	1
251	354	T¤n Trung	S½n Tây	1
252	357	Lâm Ph¥n	S½n Tây	1
253	358	Læ Lß½ng	S½n Tây	1
254	1352	Sóc Châu	S½n Tây	1
255	350	Hân Châu	S½n Tây	1
256	353	Dß½ng Tuy«n	S½n Tây	1
257	359	V§n Thành	S½n Tây	1
258	29	Tây An	Thi¬m Tây	1
259	915	An khang	Thi¬m Tây	1
260	917	BØu Kê	Thi¬m Tây	1
261	916	Hán Trung	Thi¬m Tây	1
262	914	Thß½ng LÕc	Thi¬m Tây	1
263	919	Ð°ng Xuyên	Thi¬m Tây	1
264	913	V¸ Hà Nam	Thi¬m Tây	1
265	910	Hàm Dß½ng	Thi¬m Tây	1
266	911	Duyên An	Thi¬m Tây	1
267	912	Du Lâm	Thi¬m Tây	1
268	28	Thành ðô	TÑ Xuyên	1
269	837	A Bá	TÑ Xuyên	1
270	827	Ba Trung	TÑ Xuyên	1
271	818	ÐÕt Châu	TÑ Xuyên	1
272	838	ÐÑc Dß½ng	TÑ Xuyên	1
273	836	Cam Tß	TÑ Xuyên	1
274	826	Quäng An	TÑ Xuyên	1
275	839	Quäng Nguyên	TÑ Xuyên	1
276	833	LÕc S½n	TÑ Xuyên	1
277	834	Lß½ng S½n	TÑ Xuyên	1
278	830	Lô Châu	TÑ Xuyên	1
279	2833	Mi S½n	TÑ Xuyên	1
280	816	Miên Dß½ng	TÑ Xuyên	1
281	1832	Nµi Giang	TÑ Xuyên	1
282	817	Nam Sung	TÑ Xuyên	1
283	812	Cây bông gÕo	TÑ Xuyên	1
284	825	ToÕi Ninh	TÑ Xuyên	1
285	835	Nha An	TÑ Xuyên	1
286	831	Nghi Tân	TÑ Xuyên	1
287	832	Tß Dß½ng	TÑ Xuyên	1
288	813	Tñ C¯ng	TÑ Xuyên	1
289	891	Lhasa	Tây TÕng	1
290	897	A Lý	Tây TÕng	1
291	895	Xß½ng Ðô	Tây TÕng	1
292	894	Lâm Chi	Tây TÕng	1
293	896	Na Khúc	Tây TÕng	1
294	892	Nh§t Ca T¡c	Tây TÕng	1
295	893	S½n Nam	Tây TÕng	1
296	991	Ô L² Mµc T«	Tân Cß½ng	1
297	997	A Kh¡c Tô	Tân Cß½ng	1
298	906	A L£c Thái	Tân Cß½ng	1
299	996	Ba Âm Quách Lång	Tân Cß½ng	1
300	909	Bor Tatra	Tân Cß½ng	1
301	994	Xß½ng Cát	Tân Cß½ng	1
302	902	Ha Mi	Tân Cß½ng	1
303	903	Hoà Ði«n	Tân Cß½ng	1
304	998	Ca Th§p	Tân Cß½ng	1
305	990	Karamay	Tân Cß½ng	1
306	908	Kh¡c Tß L£c Tô	Tân Cß½ng	1
307	901	Ðáp Thành	Tân Cß½ng	1
308	995	Th± L² Phiên	Tân Cß½ng	1
309	999	Y Lê	Tân Cß½ng	1
310	871	Côn Minh	Vân Nam	1
311	875	Ngß¶i bäo lãnh	Vân Nam	1
312	878	S· Hùng	Vân Nam	1
313	872	ÐÕi Lý	Vân Nam	1
314	692	ÐÑc H°ng	Vân Nam	1
315	887	Ð¸ch Khánh	Vân Nam	1
316	873	Sông H°ng	Vân Nam	1
317	888	L® Giang	Vân Nam	1
318	883	Lâm Thß½ng	Vân Nam	1
319	886	Nµ Giang	Vân Nam	1
320	874	Khúc T¸nh	Vân Nam	1
321	879	Tß Mao	Vân Nam	1
322	876	Vån S½n	Vân Nam	1
323	691	Tây Song Bän NÕp	Vân Nam	1
324	877	Ng÷c Khê	Vân Nam	1
325	870	Chiêu Thông	Vân Nam	1
326	571	Hàng Châu	Chiªt Giang	1
327	572	H° Châu	Chiªt Giang	1
328	573	Gia Hßng	Chiªt Giang	1
329	579	Kim Hoa	Chiªt Giang	1
330	578	L® Thüy	Chiªt Giang	1
331	574	Ninh Ba	Chiªt Giang	1
332	570	Cù Châu	Chiªt Giang	1
333	575	Thi®u Hßng	Chiªt Giang	1
334	576	Ðài Châu	Chiªt Giang	1
335	577	Ôn Châu	Chiªt Giang	1
336	580	Châu S½n	Chiªt Giang	1
337	8886	Ðài Loan	Ðài Loan	0
338	8852	H°ng Kông	H°ng Kông	0
339	8853	Macao	Macao	0
340	1	Ð¯m lØa	Ð¯m lØa	0
