INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
12	ÐÕi T¯ng dân gian	1	80000	30000	30000	30000	30000	30000	-30000	30000	30000	0	30000	-30000	275000	-30000	30000	30000	-30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC12
13	ÐÕi Liêu tri«u ðình	1	0	-30000	30000	30000	0	30000	30000	30000	30000	0	-30000	30000	-30000	275000	30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	0	0	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC13
14	ÐÕi Liêu dân gian	1	0	30000	30000	30000	30000	30000	-30000	30000	30000	0	-30000	-30000	30000	30000	275000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	0	0	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC14
15	ÐÕi Lý	1	80000	30000	30000	30000	30000	30000	30000	80000	30000	30000	30000	30000	30000	30000	30000	275000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	-160000	-160000	-160000	-160000	-160000	80000	30000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC15
16	Tây HÕ	1	0	-30000	30000	-60000	0	30000	30000	30000	30000	0	-80000	30000	-30000	30000	30000	30000	275000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	0	0	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC16
17	Phiên bang	1	0	30000	30000	30000	30000	30000	30000	30000	30000	30000	60000	30000	30000	30000	30000	30000	30000	275000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	0	30000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC17
18	Mãng Cái	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	275000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC18
19	Di dân	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160000	275000	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	0	0	0	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC19
20	Lßu ðày Giä	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160000	0	275000	30000	-30000	-160000	0	0	0	-160000	-160000	-160000	0	0	0	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC20
21	BÕch Miêu	1	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160000	0	30000	275000	-80000	-160000	30000	30000	0	-160000	-160000	-160000	-160000	30000	0	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC21
22	H¡c Miêu	1	-30000	-30000	-30000	-30000	0	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-160000	-30000	-30000	-80000	275000	-160000	-30000	-30000	-30000	-160000	-160000	-160000	-160000	-30000	-30000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC22
23	Tu La	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	275000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC23
24	S½n Vi®t Næ tª ti	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160000	0	0	30000	-30000	-160000	275000	-180000	30000	-160000	-160000	-160000	0	0	0	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC24
25	S½n Vi®t Nam hµ pháp	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160000	0	0	30000	-30000	-160000	-180000	275000	30000	-160000	-160000	-160000	0	0	0	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC25
26	NgÕc Ngß Bang	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160000	0	0	-160000	0	0	0	-30000	-160000	30000	30000	275000	-160000	-160000	-160000	-160000	0	0	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC26
27	Dã thú	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	275000	30000	30000	-160000	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC27
28	Løc lâm	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	30000	275000	30000	-160000	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC28
29	Yêu ma	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	30000	30000	275000	0	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC29
30	Thùng	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	0	0	-160000	-160000	-160000	0	0	-160000	-160000	-160000	0	-160000	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC30
31	Thi ð¤u th¬ thao Trß¶ng Bäo Tß½ng	1	275000	80000	80000	80000	80000	80000	80000	80000	80000	80000	30000	30000	80000	0	0	80000	0	0	-160000	0	0	30000	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	275000	80000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC0
32	MÕn Ðà	1	80000	0	0	0	0	0	0	0	0	0	30000	30000	-30000	30000	-30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	275000	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC9
33	ÐÕi Liêu	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	275000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	275000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC33
34	ÐÕi T¯ng	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	275000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	275000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC34
35	ÐÕi T¯ng	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	-160000	80000	80000	275000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC35
36	Ác Nhân C¯c	1	80000	0	0	0	0	0	0	0	0	0	30000	30000	-30000	30000	-30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	-160000	-160000	-160000	275000	30000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC9
37	Côn Ngô	1	80000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	-30000	275000	-30000	30000	30000	-30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	-160000	-160000	80000	0	275000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC37
38	Côn Ngô	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	30000	30000	275000	0	-160000	-160000	-160000	-160000	80000	-160000	-160000	275000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC29
39	Name-39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC39
40	Name-40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC40
41	Name-41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC41
42	Name-42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC42
43	Name-43	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC43
44	Name-44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC44
45	Name-45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC45
46	Name-46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC46
47	Name-47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC47
48	Name-48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC48
49	Name-49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC49
50	Name-50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC50
51	Name-51	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC51
52	Name-52	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC52
53	Name-53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC53
54	Name-54	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC54
55	Name-55	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC55
56	Name-56	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC56
57	Name-57	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC57
58	Name-58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC58
59	Name-59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC59
60	Name-60	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC60
61	Name-61	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC61
62	Name-62	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC62
63	Name-63	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC63
