INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
26	Ma Ha Toái Giáp	TalentSkillShaoLin_12	Mµt	#{WUDAO_20220402_26}	#{WUDAO_20220402_404}	2	4	6	8	10	1
27	Hành ðÕo ch§m chÕp	TalentSkillShaoLin_10	Mµt	#{WUDAO_20220402_27}	#{WUDAO_20220402_405}	5	10	15	20	25	2
28	Thi«n Lñc Li®t Ð¸a	TalentSkillShaoLin_2	Mµt	#{WUDAO_20220402_28}	#{WUDAO_20220402_406}	150	300	450	600	750	3
29	C¥u v°ng Lång Nh§t	TalentSkillShaoLin_16	Mµt	#{WUDAO_20220402_29}	#{WUDAO_20220402_407}	2	4	6	8	10	1
30	Phøc H± Nghênh Ph§t	TalentSkillShaoLin_9	Mµt	#{WUDAO_20220402_30}	#{WUDAO_20220402_408}	2	4	6	8	10	2
31	B¤t Ðµng Nhß S½n	TalentSkillShaoLin_1	Mµt	#{WUDAO_20220402_31}	#{WUDAO_20220402_409}	3	6	9	12	15	1
32	Xä thân tr× ma	TalentSkillShaoLin_14	Mµt	#{WUDAO_20220402_32}	#{WUDAO_20220402_410}	2	4	6	8	10	2
33	Cây ph§t thü khai thiên	TalentSkillShaoLin_5	Mµt	#{WUDAO_20220402_33}	#{WUDAO_20220402_411}	4	8	12	16	20	3
34	Pháp Thân „n	TalentSkillShaoLin2_5	Mµt	#{WUDAO_20220402_34}	#{WUDAO_20220402_412}	5;30;5;10;1					1
35	Phøc H± Quy«n·th¥n uy	TalentSkillShaoLin_8	Mµt	#{WUDAO_20220402_35}	#{WUDAO_20220402_413}	20	40	60	80	100	1
36	Ph§t hi®u Vô Biên	TalentSkillShaoLin_4	Mµt	#{WUDAO_20220402_36}	#{WUDAO_20220402_414}	1	2	3	4	5	3
37	Vô C¤u Ph§t Thân	TalentSkillShaoLin_15	Mµt	#{WUDAO_20220402_37}	#{WUDAO_20220402_415}	10	20	30	40	50	1
38	Gân c¯t ÐÕo C½	TalentSkillShaoLin_11	Mµt	#{WUDAO_20220402_38}	#{WUDAO_20220402_416}	1;1	2;2	3;3	4;4	5;5	2
39	PhÕn Âm Tr¤n Th¥n	TalentSkillShaoLin2_3	Mµt	#{WUDAO_20220402_39}	#{WUDAO_20220402_417}	0.1	0.2	0.3	0.4	0.5	3
40	Ma tâm Xung Ph§t	TalentSkillShaoLin_13	Mµt	#{WUDAO_20220402_40}	#{WUDAO_20220402_418}	2	4	6	8	10	1
41	Kim cß½ng tr×ng m¡t	TalentSkillShaoLin2_4	Mµt	#{WUDAO_20220402_41}	#{WUDAO_20220402_419}	1	2	3	4	5	3
42	Chß Ph§t vô tß¾ng	TalentSkillShaoLin2_1	Mµt	#{WUDAO_20220402_42}	#{WUDAO_20220402_420}	2	4	6	8	10	1
43	Ph§t Tâm Hành Trì	TalentSkillShaoLin_6	Mµt	#{WUDAO_20220402_43}	#{WUDAO_20220402_421}	1	2	3	4	5	2
44	Ph§t Duyên Nghi®p Höa	TalentSkillShaoLin_7	Mµt	#{WUDAO_20220402_44}	#{WUDAO_20220402_422}	1	2	3	4	5	3
45	Không chªt không ng×ng	TalentSkillMingJiao2_6	Mµt	#{WUDAO_20220402_45}	#{WUDAO_20220402_423}	1;30;7;30					1
46	T°i Tâm Chß·ng·th¥n uy	TalentSkillMingJiao_3	Mµt	#{WUDAO_20220402_46}	#{WUDAO_20220402_424}	20	40	60	80	100	1
47	Khói lØa Tßþng V÷ng	TalentSkillMingJiao_6	Mµt	#{WUDAO_20220402_47}	#{WUDAO_20220402_425}	2	4	6	8	10	3
48	Thiên La Ð¸a Võng	TalentSkillMingJiao_14	Mµt	#{WUDAO_20220402_48}	#{WUDAO_20220402_426}	2	4	6	8	10	1
49	Nhóm lØa Thành Ph÷c	TalentSkillMingJiao_15	Mµt	#{WUDAO_20220402_49}	#{WUDAO_20220402_427}	2	4	6	8	10	2
50	Nh¤t Cñ M£c Khoänh	TalentSkillMingJiao2_4	Mµt	#{WUDAO_20220402_50}	#{WUDAO_20220402_428}	150	300	450	600	750	3
51	Hám NhÕc Long Ð¢ng	TalentSkillMingJiao_8	Mµt	#{WUDAO_20220402_51}	#{WUDAO_20220402_429}	2	4	6	8	10	1
52	Th§n tr÷ng	TalentSkillMingJiao_1	Mµt	#{WUDAO_20220402_52}	#{WUDAO_20220402_430}	0.6	1.2	1.8	2.4	3	3
53	Ðông phong ðã t¾i	TalentSkillMingJiao_4	Mµt	#{WUDAO_20220402_53}	#{WUDAO_20220402_431}	5	10	15	20	25	1
54	Ph¥n Thiên Sí Ð¸a	TalentSkillMingJiao_5	Mµt	#{WUDAO_20220402_54}	#{WUDAO_20220402_432}	4	8	12	16	20	2
55	Hoä Lãng ng§p tr¶i	TalentSkillMingJiao_9	Mµt	#{WUDAO_20220402_55}	#{WUDAO_20220402_433}	20	40	60	80	100	3
56	Nµ Di®m Ph¥n Thª	TalentSkillMingJiao2_3	Mµt	#{WUDAO_20220402_56}	#{WUDAO_20220402_434}	5					1
57	T°i Tâm Chß·ng·th¥n uy	TalentSkillMingJiao_3	Mµt	#{WUDAO_20220402_57}	#{WUDAO_20220402_435}	20	40	60	80	100	1
58	Minh Quang Huy«n	TalentSkillMingJiao_12	Mµt	#{WUDAO_20220402_58}	#{WUDAO_20220402_436}	1	2	3	4	5	3
59	Mßa rào Ð°i Viên	TalentSkillMingJiao_16	Mµt	#{WUDAO_20220402_59}	#{WUDAO_20220402_437}	5	10	15	20	25	1
60	Hoá Khäm Nh§p Li	TalentSkillMingJiao2_5	Mµt	#{WUDAO_20220402_60}	#{WUDAO_20220402_438}	20	40	60	80	100	2
61	Lôi Ðình Chi Nµ	TalentSkillMingJiao_11	Mµt	#{WUDAO_20220402_61}	#{WUDAO_20220402_439}	20	40	60	80	100	3
62	Chúc Tâm T¥n	TalentSkillMingJiao2_1	Mµt	#{WUDAO_20220402_62}	#{WUDAO_20220402_440}	10	20	30	40	50	1
63	Khái lúc này l¤y Khang	TalentSkillMingJiao_10	Mµt	#{WUDAO_20220402_63}	#{WUDAO_20220402_441}	5	10	15	20	25	3
64	Thiên ð¸a Vi Lô	TalentSkillMingJiao_13	Mµt	#{WUDAO_20220402_64}	#{WUDAO_20220402_442}	2	4	6	8	10	1
65	Phó mµt trong T¥n	TalentSkillMingJiao_7	Mµt	#{WUDAO_20220402_65}	#{WUDAO_20220402_443}	4;3	8;6	12;9	16;12	20;15	2
66	Th×a thª truy kích	TalentSkillMingJiao_2	Mµt	#{WUDAO_20220402_66}	#{WUDAO_20220402_444}	6	12	18	24	30	3
67	Häi nÕp Xuyên Hành Quyªt	TalentSkillWuDang2_4	Mµt	#{WUDAO_20220402_67}	#{WUDAO_20220402_445}	65					1
68	Bát Quái Chß·ng·th¥n uy	TalentSkillWuDang_2	Mµt	#{WUDAO_20220402_68}	#{WUDAO_20220402_446}	20	40	60	80	100	1
69	M£c Th¥n Doanh Huy	TalentSkillWuDang_13	Mµt	#{WUDAO_20220402_69}	#{WUDAO_20220402_447}	2	4	6	8	10	3
70	ÐÕp Toái ngân hà	TalentSkillWuDang_10	Mµt	#{WUDAO_20220402_70}	#{WUDAO_20220402_448}	6	12	18	24	30	1
71	Say sßa H°n Th®	TalentSkillWuDang_7	Mµt	#{WUDAO_20220402_71}	#{WUDAO_20220402_449}	10	20	30	40	50	2
72	ÐÕm H« Lam Oanh	TalentSkillWuDang_4	Mµt	#{WUDAO_20220402_72}	#{WUDAO_20220402_450}	2	4	6	8	10	3
73	Bát quái Di­n	TalentSkillWuDang_1	Mµt	#{WUDAO_20220402_73}	#{WUDAO_20220402_451}	3	6	9	12	15	1
74	TØ Khí Ðông Lai	TalentSkillWuDang2_3	Mµt	#{WUDAO_20220402_74}	#{WUDAO_20220402_452}	2	4	6	8	10	3
75	Mµt kiªm M£c Quân	TalentSkillWuDang2_2	Mµt	#{WUDAO_20220402_75}	#{WUDAO_20220402_453}	7	14	21	28	35	1
76	NÕp Linh Ngßng Ðan	TalentSkillWuDang_8	Mµt	#{WUDAO_20220402_76}	#{WUDAO_20220402_454}	2	4	6	8	10	2
77	Thái S½ buông xu¯ng	TalentSkillWuDang_11	Mµt	#{WUDAO_20220402_77}	#{WUDAO_20220402_455}	2	4	6	8	10	3
78	Th¤t Bµ Ðång Vân Ðình	TalentSkillWuDang2_5	Mµt	#{WUDAO_20220402_78}	#{WUDAO_20220402_456}	5;7;1;10;5;1;10;2					1
79	Bát Quái Chß·ng·th¥n uy	TalentSkillWuDang_2	Mµt	#{WUDAO_20220402_79}	#{WUDAO_20220402_457}	20	40	60	80	100	1
80	Gió mát Khoái Tai	TalentSkillWuDang_9	Mµt	#{WUDAO_20220402_80}	#{WUDAO_20220402_458}	2	4	6	8	10	3
81	Hß Bµ Thanh Vân	TalentSkillWuDang_16	Mµt	#{WUDAO_20220402_81}	#{WUDAO_20220402_459}	4	8	12	16	20	1
82	Tài Phong Các\u0020hÕ Nguy®t	TalentSkillWuDang_3	Mµt	#{WUDAO_20220402_82}	#{WUDAO_20220402_460}	53	56	59	62	65	2
83	Ð¦u Chuy¬n Tinh Trì	TalentSkillWuDang_5	Mµt	#{WUDAO_20220402_83}	#{WUDAO_20220402_461}	1	2	3	4	5	3
84	Hào Ðµng Tinh Di	TalentSkillWuDang2_1	Mµt	#{WUDAO_20220402_84}	#{WUDAO_20220402_462}	6	12	18	24	30	1
85	Tinh Ðào sóng dæ	TalentSkillWuDang_14	Mµt	#{WUDAO_20220402_85}	#{WUDAO_20220402_463}	5	10	15	20	25	3
86	Thiên Vi®t ngang tr¶i	TalentSkillWuDang_12	Mµt	#{WUDAO_20220402_86}	#{WUDAO_20220402_464}	3	6	9	12	15	1
87	Tr§n gió T§p Nguy®t	TalentSkillWuDang_6	Mµt	#{WUDAO_20220402_87}	#{WUDAO_20220402_465}	4	8	12	16	20	2
88	Tinh †n HÕc Ð«	TalentSkillWuDang_15	Mµt	#{WUDAO_20220402_88}	#{WUDAO_20220402_466}	2	4	6	8	10	3
89	Y Giä Nhân Tâm	TalentSkillEmei2_3	Mµt	#{WUDAO_20220402_89}	#{WUDAO_20220402_467}	5					1
90	Bái Nguy®t·th¥n uy	TalentSkillEmei_1	Mµt	#{WUDAO_20220402_90}	#{WUDAO_20220402_468}	20	40	60	80	100	1
91	Doanh Dø Thái Uyên	TalentSkillEmei_14	Mµt	#{WUDAO_20220402_91}	#{WUDAO_20220402_469}	5	10	15	20	25	3
92	Cam Mµc Linh Hñu	TalentSkillEmei_4	Mµt	#{WUDAO_20220402_92}	#{WUDAO_20220402_470}	20	40	60	80	100	1
93	T¸nh r§m r¸t	TalentSkillEmei_6	Mµt	#{WUDAO_20220402_93}	#{WUDAO_20220402_471}	10	20	30	40	50	2
94	Ngßng Th¥n Quy Tâm	TalentSkillEmei_10	Mµt	#{WUDAO_20220402_94}	#{WUDAO_20220402_472}	20	40	60	80	100	3
95	Phong Thanh trång sáng	TalentSkillEmei_3	Mµt	#{WUDAO_20220402_95}	#{WUDAO_20220402_473}	2	4	6	8	10	1
96	Phong Thôi Mµc Minh	TalentSkillEmei2_7	Mµt	#{WUDAO_20220402_96}	#{WUDAO_20220402_474}	2	4	6	8	10	2
97	Hoa Mãn Nhàn Ðàm	TalentSkillEmei_5	Mµt	#{WUDAO_20220402_97}	#{WUDAO_20220402_475}	10	20	30	40	50	1
98	Di®u thü xoay chuy¬n tr¶i ð¤t	TalentSkillEmei_9	Mµt	#{WUDAO_20220402_98}	#{WUDAO_20220402_476}	0.2	0.4	0.6	0.8	1	2
99	Ðào lý xuân phong	TalentSkillEmei_12	Mµt	#{WUDAO_20220402_99}	#{WUDAO_20220402_477}	0.2	0.4	0.6	0.8	1	3
100	Tiªng tÏ bà Ðình	TalentSkillEmei2_4	Mµt	#{WUDAO_20220402_100}	#{WUDAO_20220402_478}	1;10;50;1;4;2					1
101	Bái Nguy®t·th¥n uy	TalentSkillEmei_1	Mµt	#{WUDAO_20220402_101}	#{WUDAO_20220402_479}	20	40	60	80	100	1
102	Già Vân Tª Nguy®t	TalentSkillEmei2_1	Mµt	#{WUDAO_20220402_102}	#{WUDAO_20220402_480}	1	2	3	4	5	3
103	Bán Khuyªt Thß½ng Ca	TalentSkillEmei_2	Mµt	#{WUDAO_20220402_103}	#{WUDAO_20220402_481}	20	40	60	80	100	1
104	Tranh Minh Li®t BÕch	TalentSkillEmei2_2	Mµt	#{WUDAO_20220402_104}	#{WUDAO_20220402_482}	10	20	30	40	50	2
105	Không S½n Ngßng Vân	TalentSkillEmei_7	Mµt	#{WUDAO_20220402_105}	#{WUDAO_20220402_483}	38	46	54	62	70	3
106	Luân Huy«n Ph°n Thúc	TalentSkillEmei_8	Mµt	#{WUDAO_20220402_106}	#{WUDAO_20220402_484}	2	4	6	8	10	1
107	Sát khí tÑ phía	TalentSkillEmei_11	Mµt	#{WUDAO_20220402_107}	#{WUDAO_20220402_485}	5	10	15	20	25	3
108	Tây TØ Thán	TalentSkillEmei_13	Mµt	#{WUDAO_20220402_108}	#{WUDAO_20220402_486}	8	16	24	32	40	1
109	Nguy®t Hàn Khâm	TalentSkillEmei_16	Mµt	#{WUDAO_20220402_109}	#{WUDAO_20220402_487}	20	40	60	80	100	2
110	Søt sùi Tuy«n Lßu	TalentSkillEmei_15	Mµt	#{WUDAO_20220402_110}	#{WUDAO_20220402_488}	10	20	30	40	50	3
111	Minh Tinh Chiªu Ðïnh	TalentSkillXingXiu2_3	Mµt	#{WUDAO_20220402_111}	#{WUDAO_20220402_489}	10;2;1;10					1
112	Lam Sa Thü·th¥n uy	TalentSkillXingXiu_6	Mµt	#{WUDAO_20220402_112}	#{WUDAO_20220402_490}	20	40	60	80	100	1
113	U Minh t¤n công b¤t ng¶	TalentSkillXingXiu_12	Mµt	#{WUDAO_20220402_113}	#{WUDAO_20220402_491}	10	20	30	40	50	3
114	Bång hàn Tuy®t TÑc	TalentSkillXingXiu_1	Mµt	#{WUDAO_20220402_114}	#{WUDAO_20220402_492}	5	10	15	20	25	1
115	Chß·ng Thª sóng tri«u	TalentSkillXingXiu2_1	Mµt	#{WUDAO_20220402_115}	#{WUDAO_20220402_493}	1	2	3	4	5	2
116	U Minh m¤t ði	TalentSkillXingXiu_13	Mµt	#{WUDAO_20220402_116}	#{WUDAO_20220402_494}	8	16	24	32	40	3
117	Chß·ng Bài sinh c½	TalentSkillXingXiu_16	Mµt	#{WUDAO_20220402_117}	#{WUDAO_20220402_495}	10	20	30	40	50	1
118	Thü ðoÕn ðµc ác L® Tâm	TalentSkillXingXiu_5	Mµt	#{WUDAO_20220402_118}	#{WUDAO_20220402_496}	2	4	6	8	10	3
119	Diêm Vß½ng Lai Thiªp	TalentSkillXingXiu_11	Mµt	#{WUDAO_20220402_119}	#{WUDAO_20220402_497}	3	6	9	12	15	1
120	Thiên T±n có th×a	TalentSkillXingXiu_9	Mµt	#{WUDAO_20220402_120}	#{WUDAO_20220402_498}	2	4	6	8	10	2
121	Ð¸a Sát không ðü	TalentSkillXingXiu_2	Mµt	#{WUDAO_20220402_121}	#{WUDAO_20220402_499}	2	4	6	8	10	3
122	Vu C± Giáng Ách	TalentSkillXingXiu2_4	Mµt	#{WUDAO_20220402_122}	#{WUDAO_20220402_500}	3;3					1
123	Lam Sa Thü·th¥n uy	TalentSkillXingXiu_6	Mµt	#{WUDAO_20220402_123}	#{WUDAO_20220402_501}	20	40	60	80	100	1
124	Tích Kim Thi«m Th×	TalentSkillXingXiu_10	Mµt	#{WUDAO_20220402_124}	#{WUDAO_20220402_502}	10	20	30	40	50	3
125	Ðµc Ách ðoÕt m®nh	TalentSkillXingXiu_4	Mµt	#{WUDAO_20220402_125}	#{WUDAO_20220402_503}	40	80	120	160	200	1
126	Dß Tµi Tri«n Thân	TalentSkillXingXiu_14	Mµt	#{WUDAO_20220402_126}	#{WUDAO_20220402_504}	45	50	55	60	65	2
127	Ðiên ðäo Âm Dß½ng	TalentSkillXingXiu_3	Mµt	#{WUDAO_20220402_127}	#{WUDAO_20220402_505}	6	12	18	24	30	3
128	Xà Ðµc T¦m Th¬	TalentSkillXingXiu_7	Mµt	#{WUDAO_20220402_128}	#{WUDAO_20220402_506}	15	30	45	60	75	1
129	Tr¶i gi§n Ð¸a Phçn	TalentSkillXingXiu_8	Mµt	#{WUDAO_20220402_129}	#{WUDAO_20220402_507}	30	60	90	120	150	3
130	Trß¶ng H§n kéo dài	TalentSkillXingXiu_15	Mµt	#{WUDAO_20220402_130}	#{WUDAO_20220402_508}	20	40	60	80	100	1
131	Ph® Huyªt H¤p Tuý	TalentSkillXingXiu2_5	Mµt	#{WUDAO_20220402_131}	#{WUDAO_20220402_509}	7	14	21	28	35	2
132	Chú Chiêu Trùng Ách	TalentSkillXingXiu2_2	Mµt	#{WUDAO_20220402_132}	#{WUDAO_20220402_510}	2	4	6	8	10	3
133	Hoá Ki«n Chuy¬n Khôn	TalentSkillTianLong2_4	Mµt	#{WUDAO_20220402_133}	#{WUDAO_20220402_511}	1;5;3;20					1
134	Chính Dß½ng Thü·th¥n uy	TalentSkillTianLong2_1	Mµt	#{WUDAO_20220402_134}	#{WUDAO_20220402_512}	20	40	60	80	100	1
135	Tiªu kinh thiên ð¸a	TalentSkillTianLong_14	Mµt	#{WUDAO_20220402_135}	#{WUDAO_20220402_513}	30	60	90	120	150	3
136	Thiên S½n Di®t	TalentSkillTianLong_9	Mµt	#{WUDAO_20220402_136}	#{WUDAO_20220402_514}	7	14	21	28	35	1
137	Phi Quang B¤t Phø	TalentSkillTianLong_4	Mµt	#{WUDAO_20220402_137}	#{WUDAO_20220402_515}	5	10	15	20	25	2
138	Nµ Ch¤n Li®t Khuyªt	TalentSkillTianLong_8	Mµt	#{WUDAO_20220402_138}	#{WUDAO_20220402_516}	7	14	21	28	35	3
139	Chúc Long Hàm Quang	TalentSkillTianLong2_3	Mµt	#{WUDAO_20220402_139}	#{WUDAO_20220402_517}	2	4	6	8	10	1
140	H§n ÐoÕn thanh s½n	TalentSkillTianLong_7	Mµt	#{WUDAO_20220402_140}	#{WUDAO_20220402_518}	10	20	30	40	50	3
141	TØ Sinh không cØa	TalentSkillTianLong_10	Mµt	#{WUDAO_20220402_141}	#{WUDAO_20220402_519}	4	8	12	16	20	1
142	Phong vân Thung Long	TalentSkillTianLong_6	Mµt	#{WUDAO_20220402_142}	#{WUDAO_20220402_520}	8	16	24	32	40	2
143	Thái BÕch Nh§p Nguy®t	TalentSkillTianLong_11	Mµt	#{WUDAO_20220402_143}	#{WUDAO_20220402_521}	0.6	1.2	1.8	2.4	3	3
144	Yªt Thiên ¿ng Hành	TalentSkillTianLong2_5	Mµt	#{WUDAO_20220402_144}	#{WUDAO_20220402_522}	10;10;55;0.5;3;5;1;20;10					1
145	Chính Dß½ng Thü·th¥n uy	TalentSkillTianLong2_1	Mµt	#{WUDAO_20220402_145}	#{WUDAO_20220402_523}	20	40	60	80	100	1
146	Ân Ph¤t CØu Trùng	TalentSkillTianLong_3	Mµt	#{WUDAO_20220402_146}	#{WUDAO_20220402_524}	6	12	18	24	30	3
147	M£c Hách Thâm	TalentSkillTianLong_13	Mµt	#{WUDAO_20220402_147}	#{WUDAO_20220402_525}	8	16	24	32	40	1
148	ÐÕo chªt vì tai nÕn C¯	TalentSkillTianLong_2	Mµt	#{WUDAO_20220402_148}	#{WUDAO_20220402_526}	5	10	15	20	25	2
149	Duyên Môn Thï Khai	TalentSkillTianLong_15	Mµt	#{WUDAO_20220402_149}	#{WUDAO_20220402_527}	2	4	6	8	10	3
150	Không höi Tu La	TalentSkillTianLong_1	Mµt	#{WUDAO_20220402_150}	#{WUDAO_20220402_528}	10	20	30	40	50	1
151	TrÕch phong hoá Vû	TalentSkillTianLong_16	Mµt	#{WUDAO_20220402_151}	#{WUDAO_20220402_529}	5	10	15	20	25	3
152	Chúng sinh Nhß Lai	TalentSkillTianLong2_2	Mµt	#{WUDAO_20220402_152}	#{WUDAO_20220402_530}	3	6	9	12	15	1
153	M£c QuÖ Nan Ðµ	TalentSkillTianLong_12	Mµt	#{WUDAO_20220402_153}	#{WUDAO_20220402_531}	1	2	3	4	5	2
154	Phong nguy®t Ð°ng Bi	TalentSkillTianLong_5	Mµt	#{WUDAO_20220402_154}	#{WUDAO_20220402_532}	10	20	30	40	50	3
155	Hàn Mang hi®n ra	TalentSkillTianShan2_4	Mµt	#{WUDAO_20220402_155}	#{WUDAO_20220402_533}	15;3;15;3					1
156	NhÕn Nam Phi·th¥n uy	TalentSkillTianShan2_1	Mµt	#{WUDAO_20220402_156}	#{WUDAO_20220402_534}	20	40	60	80	100	1
157	Ðóng bång Tuyªt Vû	TalentSkillTianShan_2	Mµt	#{WUDAO_20220402_157}	#{WUDAO_20220402_535}	200	400	600	800	1000	3
158	Tiêu Thi«u Dçn Phøng	TalentSkillTianShan_15	Mµt	#{WUDAO_20220402_158}	#{WUDAO_20220402_536}	2	4	6	8	10	1
159	Sinh tØ Nh¤t Ni®m	TalentSkillTianShan_11	Mµt	#{WUDAO_20220402_159}	#{WUDAO_20220402_537}	1	2	3	4	5	2
160	M£c Linh Thiên C½	TalentSkillTianShan_13	Mµt	#{WUDAO_20220402_160}	#{WUDAO_20220402_538}	2	4	6	8	10	3
161	H°ng NhÕn khách	TalentSkillTianShan_6	Mµt	#{WUDAO_20220402_161}	#{WUDAO_20220402_539}	2	4	6	8	10	1
162	Phøng quay ð¥u	TalentSkillTianShan_3	Mµt	#{WUDAO_20220402_162}	#{WUDAO_20220402_540}	2	4	6	8	10	3
163	Cô ¿ng L® Thiên	TalentSkillTianShan_4	Mµt	#{WUDAO_20220402_163}	#{WUDAO_20220402_541}	100	200	300	400	500	1
164	Vô Biên LÕc Mµc	TalentSkillTianShan_14	Mµt	#{WUDAO_20220402_164}	#{WUDAO_20220402_542}	50	100	150	200	250	2
165	Sß½ng Lãnh CØu Châu	TalentSkillTianShan_12	Mµt	#{WUDAO_20220402_165}	#{WUDAO_20220402_543}	150	300	450	600	750	3
166	N£c Änh tuy®t sát	TalentSkillTianShan2_5	Mµt	#{WUDAO_20220402_166}	#{WUDAO_20220402_544}	35;3;8					1
167	NhÕn Nam Phi·th¥n uy	TalentSkillTianShan2_1	Mµt	#{WUDAO_20220402_167}	#{WUDAO_20220402_545}	20	40	60	80	100	1
168	Sát ý T§p	TalentSkillTianShan_9	Mµt	#{WUDAO_20220402_168}	#{WUDAO_20220402_546}	2	4	6	8	10	3
169	Hàn Mai T¸ch	TalentSkillTianShan_5	Mµt	#{WUDAO_20220402_169}	#{WUDAO_20220402_547}	5	10	15	20	25	1
170	Quy«n sanh sát trong tay	TalentSkillTianShan_10	Mµt	#{WUDAO_20220402_170}	#{WUDAO_20220402_548}	0.8	1.6	2.4	3.2	4	2
171	Mµ Tuyªt Tß¾ng Khuynh	TalentSkillTianShan_8	Mµt	#{WUDAO_20220402_171}	#{WUDAO_20220402_549}	1	2	3	4	5	3
172	NhÕn Ký Mai Hoa	TalentSkillTianShan_16	Mµt	#{WUDAO_20220402_172}	#{WUDAO_20220402_550}	4	8	12	16	20	1
173	Bi NhÕn Minh	TalentSkillTianShan_1	Mµt	#{WUDAO_20220402_173}	#{WUDAO_20220402_551}	5	10	15	20	25	3
174	Ðêm dài Vô Trú	TalentSkillTianShan2_3	Mµt	#{WUDAO_20220402_174}	#{WUDAO_20220402_552}	105	110	115	120	125	1
175	Mai Khai Nh¸ Ðµ	TalentSkillTianShan_7	Mµt	#{WUDAO_20220402_175}	#{WUDAO_20220402_553}	35	40	45	50	55	2
