INT	INT	FLOAT	STRING	STRING	FLOAT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
105	0	0	g01_xx_sf_zd_青蛇掌		15	g01_xx_zdo_qingshezhang		身体受击点						青蛇毒掌	1
106	0	0	g01_xx_jq_zt_蛤蟆功		15	g01_xx_zdo_蛤蟆功		身体受击点						蛤蟆功	1
107	0	0	g01_xy_sf_zd_高山留水		15	g01_xy_sf_zdo_高山留水		身体受击点						潇湘夜雨	1
108	0	0	秘籍_ts_zd		15	秘籍_ts_zdo		身体受击点						同生共死	1
109	0	0	秘籍_wd_zd		15	秘籍_wd_zdo		身体受击点						天外飞仙	1
110	0	0	秘籍_em_zd		15	秘籍_em_mj_zdo		身体受击点						九阴白骨爪	1
111	0	0	秘籍_xx_zd		15	秘籍_xx_zdo		身体受击点						化骨绵掌	1
112	0	0	cw_danbing_zd		15	cw_danbing_zdo		身体受击点						宠冰	1
113	0	0	cw_danhuo_zd		15	cw_danhuo_zdo		身体受击点						宠火	1
114	0	0	cw_danxuan_zd		15	cw_danxuan_zdo		身体受击点						宠玄	1
115	0	0	cw_dandu_zd		15	cw_dandu_zdo		身体受击点						宠毒	1
116	0	0	特效雪球		12	特效雪球_zdo	Skills\interface\sound_jiaru.wav	身体受击点						雪球	1
117	0	0	落马技能_zd		15	落马技能_zdo		身体受击点						落马技	1
118	0	0	go1_爱神之箭_zd_01		10	go1_爱神之箭_zdo_01		身体受击点						爱神之箭	1
119	0	0	g01_zd_斩妖剑01		10	g01_zdo_斩妖剑01	Skills\Common\Zyj_爆炸雷电.wav	身体受击点						斩妖剑	1
120	0	0	g01_暗器投掷01		15	g01_zdo_暗器投掷01		身体受击点						暗器投掷	1
121	0	0	g01_暗器打穴01		15	g01_zdo_暗器打穴01		身体受击点						暗器打穴	1
122	0	0	g01_慈航普度_子弹01		15	g01_慈航普度_被击01		身体受击点						慈航普度	1
123	0	0	g01_dl_天龙80级技能01		15	g01_dl_天龙80级技能_被击01	Skills\Dl\天龙中冲_受击.wav	身体受击点						中冲剑	1
124	0	0	g01_xx_尸爆_子弹		15	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点							1
125	2	0			15	m01_wd_七星聚首_伤害	Skills\Wd\Wd_三环套月.wav	身体受击点							1
126	0	0	buff_武魂_子弹紫色		15	buff_武魂_子弹紫色_zdo		身体受击点						武魂单紫	1
127	0	0	buff_武魂_子弹银白		15	buff_武魂_子弹银白_zdo		身体受击点						武魂单银白	1
128	0	0	buff_武魂_子弹红色		15	buff_武魂_子弹红色_zdo		身体受击点						武魂单红	1
129	0	0	buff_武魂_子弹黄色		15	buff_武魂_子弹黄色_zdo		身体受击点						武魂单黄	1
130	0	0	buff_武魂_子弹绿色		15	buff_武魂_子弹绿色_zdo		身体受击点						武魂单绿	1
131	0	0	buff_武魂_子弹黑色		15	buff_武魂_子弹黑色_zdo		身体受击点						武魂单黑	1
132	0	0	buff_武魂_子弹紫色		15	buff_武魂_子弹紫色_zdo放大		身体受击点						武魂群紫	1
133	0	0	buff_武魂_子弹银白		15	buff_武魂_子弹银白_zdo放大		身体受击点						武魂群银白	1
134	0	0	buff_武魂_子弹红色		15	buff_武魂_子弹红色_zdo放大		身体受击点						武魂群红	1
135	0	0	buff_武魂_子弹黄色		15	buff_武魂_子弹黄色_zdo放大		身体受击点						武魂群黄	1
136	0	0	buff_武魂_子弹绿色		15	buff_武魂_子弹绿色_zdo放大		身体受击点						武魂群绿	1
137	0	0	buff_武魂_子弹黑色		15	buff_武魂_子弹黑色_zdo放大		身体受击点						武魂群黑	1
138	0	0	buff_福香包_子弹		15	buff_福香包_被击		身体受击点						武魂群黑	1
139	0	0	g01_闪耀圣诞星_子弹		15	g01_闪耀圣诞星_被击		身体受击点						闪耀圣诞星	1
140	0	0	m01_捆仙索_子弹sl		15			身体受击点						捆仙绳（少林）	1
141	0	0	m01_石破天惊_子弹_sl		15	m01_石破天惊_被击_sl		身体受击点						石破天惊（少林）	1
142	0	0	m01_捆仙索_子弹mj		15			身体受击点						捆仙索（明教）	1
143	0	0	m01_石破天惊_子弹_mj		15	m01_石破天惊_被击_mj		身体受击点						石破天惊（明教）	1
144	0	0	m01_捆仙索_子弹gb		15			身体受击点						捆仙索（丐帮）	1
145	0	0	m01_石破天惊_子弹_gb		15	m01_石破天惊_被击_gb		身体受击点						石破天惊（丐帮）	1
146	0	0	m01_捆仙索_子弹wd		15			身体受击点						捆仙索（武当）	1
147	0	0	m01_石破天惊_子弹_wd		15	m01_石破天惊_被击_wd		身体受击点						石破天惊（武当）	1
148	0	0	m01_捆仙索_子弹em		15			身体受击点						捆仙索（峨嵋）	1
149	0	0	m01_石破天惊_子弹_em		15	m01_石破天惊_被击_em		身体受击点						石破天惊（峨嵋）	1
150	0	0	m01_捆仙索_子弹xx		15			身体受击点						捆仙索（星宿）	1
151	0	0	m01_石破天惊_子弹_xx		15	m01_石破天惊_被击_xx		身体受击点						石破天惊（星宿）	1
152	0	0	m01_捆仙索_子弹dl		15			身体受击点						捆仙索（天龙）	1
153	0	0	m01_石破天惊_子弹_dl		15	m01_石破天惊_被击_dl		身体受击点						石破天惊（天龙）	1
154	0	0	m01_捆仙索_子弹ts		15			身体受击点						捆仙索（天山）	1
155	0	0	m01_石破天惊_子弹_ts		15	m01_石破天惊_被击_ts		身体受击点						石破天惊（天山）	1
156	0	0	m01_捆仙索_子弹xy		15			身体受击点						捆仙索（逍遥）	1
157	0	0	m01_石破天惊_子弹_xy		15	m01_石破天惊_被击_xy		身体受击点						石破天惊（逍遥）	1
158	0	0	m01_捆仙索_子弹gs		15			身体受击点						捆仙索（慕容）	1
159	0	0	m01_石破天惊_子弹_gs		15	m01_石破天惊_被击_gs		身体受击点						石破天惊（慕容）	1
160	0	0	m01_gs_彼行我释_子弹		15	m01_gs_彼行我释_被击		身体受击点						彼行我释	1
161	0	0	m01_gs_彼行我释_子弹		15	m01_gs_借力返施_被击		身体受击点						借力返施	1
162	0	0	npc_箭塔_万箭齐发_金		15									宋辽箭塔	1
163	0	0	m01_少林远程攻击_被动_子弹		15	m01_少林远程攻击_被动_受击		身体受击点						伏虎拳（自动战斗）	1
164	0	0	m01_丐帮远程攻击_被动_子弹		15	m01_丐帮远程攻击_被动_受击		身体受击点						蟠龙击（自动战斗）	1
165	0	0	m01_天山远程攻击_被动_子弹		15	m01_天山远程攻击_被动_受击		身体受击点						雁南飞（自动战斗）	1
166	0	0	m01_明教远程攻击_被动_子弹		15	m01_明教远程攻击_被动_受击		身体受击点						摧心掌（自动战斗）	1
167	0	0	HJ_npc年兽17_技能_子弹		15	HJ_npc年兽17_技能_子弹受击		身体受击点						打年兽1技能	1
168	0	0	hj_buff_风卷行云_子弹A		15			身体受击点						风卷行云	1
169	0	0	hj_曼陀山庄_余音袅袅_波子弹		15	hj_曼陀山庄_余音袅袅_子弹受击		身体受击点						余音袅袅	1
170	3	1	hj_曼陀山庄_余音袅袅_波子弹		15	hj_曼陀山庄_余音袅袅_子弹受击		身体受击点						余音袅袅	1
171	3	3	hj_曼陀山庄_余音袅袅_波子弹		15	hj_曼陀山庄_余音袅袅_子弹受击		身体受击点						余音袅袅	1
172	3	2	hj_曼陀山庄_余音袅袅_波子弹		15	hj_曼陀山庄_余音袅袅_子弹受击		身体受击点						余音袅袅	1
173	0	2	hj_曼陀山庄_子弹05		15	hj_曼陀山庄_寒江雪命中爆炸		身体受击点						寒江雪（内功攻击增加）	1
174	0	0	hj_曼陀山庄_余音袅袅_小子弹		15	hj_曼陀山庄_余音袅袅_子弹受击		身体受击点						通用琴音技	1
175	0	1	hj_曼陀山庄_蝴蝶子弹		15	hj_曼陀山庄_受击特效		身体受击点						通用山茶技	1
176	0	0	hj_曼陀山庄_葬花暮春吟_子弹		15	hj_曼陀山庄_葬花暮春吟_子弹受击		身体受击点						暮春吟（会心玄攻击）	1
177	0	0	hj_曼陀山庄_醉花芳菲时麻痹buff_子弹		15	hj_曼陀山庄_醉花芳菲时麻痹buff_子弹受击		身体受击点						醉花·芳菲时（内功攻击）	1
178	0	0	hj_曼陀山庄_子弹04		15	hj_曼陀山庄_受击特效		身体受击点						碣石调	1
179	0	0	hj_曼陀山庄_子弹03		15	hj_曼陀山庄_受击特效		身体受击点						拈花·眼儿媚	1
180	0	0	hj_曼陀山庄_子弹02		15	hj_曼陀山庄_受击特效		身体受击点						凉风有信	1
181	0	0	hj_曼陀山庄_长相思_子弹		15	hj_曼陀山庄_受击特效		身体受击点						长相思	1
182	0	0	hj_曼陀山庄_如梦令_子弹		15	hj_曼陀山庄_受击特效		身体受击点						如梦令	1
183	0	0	hj_曼陀山庄_子弹01		15	hj_曼陀山庄_受击特效		身体受击点						问花·无计留春	1
184	0	0	hj_曼陀山庄_弦弄花影_子弹		15	hj_曼陀山庄_受击特效		身体受击点						弦弄花影	1
185	0	0	hj_曼陀山庄_余音袅袅_小子弹		15	hj_曼陀山庄_余音袅袅_子弹受击		身体受击点						玉剑攻击	1
186	2	0			15	cw_珍兽220720穷奇_炼世		脚下光圈点						炼世	1
187	0	0	buff_休闲活动_定身子弹_5		15			身体受击点						双人成行定身	1
188	2	0			15	SB_清欢箭_纷飞凋骨A		身体受击点						圈毒	1
189	2	0			15	SB_通用技能_释情入骨目标特效		身体受击点						散花	1
190	0	0	SB_清欢箭_子弹特效		15			身体受击点						腐骨箭普攻	1
191	0	0	SB_慑魂弓_普通子弹		15			身体受击点						射日弓普攻	1
192	0	0	SB_离忧枪_子弹特效		15			身体受击点						锁魂链普攻	1
193	0	0			15	SB_长恨刀_泯生刀光_受击		脚下光圈点						泯生刀光受击	1
194	0	0			15	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点						鬼头锤普攻	1
195	0	0	SB_慑魂弓_万里熔金_子弹		15			身体受击点						万里熔金	1
196	2	0			15	SB_慑魂弓_金乌漫羽_范围伤害		身体受击点						箭雨	1
197	0	0	SB_离忧枪_子弹特效		15			身体受击点						风陨连枝弹射	1
198	0	0			10	SB_长恨刀_坠星唤月_脚下		脚下光圈点						幽冥刀状态	1
199	0	0	boss_白世镜_攻击弹道		10			身体受击点						白世镜远攻特效	1
200	0	0			15	SB_离忧枪_古木盘根目标特效		脚下光圈点						古木盘根	1
201	2	0			15	npc_乔峰_亢龙有悔		脚下光圈点						65剧情乔峰技能特效	1
202	0	0	boss_玄慈_子弹		10			身体受击点						玄慈普通远攻	1
203	0	0	boss_带头大哥_子弹		10			身体受击点						带头大哥普通远攻	1
204	0	0	m01_erg_普通攻击_子弹B		15	m01_erg_通用受击	Skills\Erg\削心镰2段_击中.mp3	身体受击点						剜心镰	1
205	0	0			15									锁魂斩	1
206	0	0	m01_erg_锁气气若游丝_子弹		15	m01_erg_锁气气若游丝_受击		身体受击点						剔魂削骨	1
207	0	0	m01_erg_锁灵慧失智_子弹		15	m01_erg_锁灵慧失智_受击		身体受击点						炉上青烟	1
208	0	0	m01_erg_半怒直伤_子弹		15	m01_erg_半怒直伤_受击		身体受击点						断门抄	1
209	0	0			150	m01_erg_拘魂_受击		脚下光圈点						拘魂无厌	1
210	2	0			15	m01_erg_锁天冲止怒_目标点		脚下光圈点						天地不仁	1
211	0	0			15	m01_erg_惩恶挥镰_目标点	Skills\Erg\离魂破散_发招.mp3	脚下光圈点						魂离魄散	1
212	2	0			15	m01_erg_锁力寸步难行_范围伤害		脚下光圈点						摧魂定魄	1
213	0	0	m01_erg_普通攻击_子弹C		15	m01_erg_通用受击	Skills\Erg\削心镰3段_击中.mp3	身体受击点						剜心镰	1
214	0	0			15	m01_erg_惩恶挥镰_目标点	Skills\Erg\离魂破散_发招.mp3	脚下光圈点						魂离魄散预热用	1
215	0	0	m01_erg_普通攻击_子弹A		15	m01_erg_通用受击	Skills\Erg\削心镰1段_击中.mp3	身体受击点						剜心镰	1
216	0	0	m01_erg_普通攻击_子弹C		15	m01_erg_通用受击	Skills\Erg\削心镰3段_击中.mp3	身体受击点						剜心镰	1
217	0	0	m01_erg_扬善送魂_子弹		15	m01_erg_通用受击		身体受击点						判指阴阳	1
218	1	0	npc_2023变身舞狮帽小孩_子弹_雪球中		10	npc_2023变身舞狮帽小孩_投掷雪人_受击		身体受击点						打雪仗小雪球	1
219	1	0	npc_2023变身舞狮帽小孩_子弹_雪球大		10	npc_2023变身舞狮帽小孩_投掷雪人_受击		身体受击点						打雪仗大雪球	1
220	0	0	buff_雪人PVP_喷枪aoe		15	buff_雪人PVP_喷枪aoe受击_主目标		身体受击点						冰雪PVP-极光喷冰枪	1
221	0	0	buff_雪人PVP_开水壶子弹		10	buff_雪人PVP_开水壶受击		身体受击点						冰雪PVP-开水壶	1
222	0	0	buff_雪人PVP_脚链子弹		10			脚下光圈点						冰雪PVP-大金球脚链	1
223	0	0	buff_雪人PVP_冰块子弹		10			身体受击点						冰雪PVP-传递冰块	1
224	0	0	npc_珍兽PVP_变身萌宠猪技能1_子弹		15			身体受击点						心动守护	1
225	0	0	npc_珍兽PVP_变身萌宠猪技能2_子弹		15			身体受击点						恋恋飞弹	1
226	0	0	npc_珍兽PVP_变身霓凰技能一_子弹		15			身体受击点						寒光灼焰	1
227	0	0	npc_珍兽PVP_变身霓凰技能四_子弹		15			身体受击点						翎锋绊影	1
228	0	0	npc_珍兽PVP_变身呆呆牛技能1_子弹		15			身体受击点						灵牧春息	1
229	0	0	npc_珍兽PVP_变身呆呆牛技能3_子弹		15			身体受击点						绿野复苏	1
230	0	0	npc_珍兽PVP_变身呆呆牛技能4_子弹		15			身体受击点						掷铃封魂	1
231	0	0	npc_珍兽PVP_变身小鹿呦呦技能2_子弹		15			身体受击点						暗叶穿心	1
232	0	0	npc_珍兽PVP_变身小狐仙普攻_子弹		15			身体受击点						小狐仙远普攻	1
233	0	0	npc_珍兽PVP_变身萌宠猪_普通子弹		15			身体受击点						萌宝猪远普攻	1
234	0	0	npc_珍兽PVP_变身呆呆牛_普通子弹		15			身体受击点						呆呆牛远普攻	1
235	0	0	npc_珍兽PVP_变身小鹿呦呦攻击_子弹		15			身体受击点						小鹿悠悠远普攻	1
236	0	0	npc_珍兽PVP_变身霓凰攻击_子弹		15			身体受击点						霓凰远普攻	1
237	0	0	雪人PVP倩女版本_紫色风刃子弹		15			身体受击点						黑魔扇	1
