INT	INT	STRING	INT	INT	INT
39	1240	Chª tác C¤p 80 8Tinh môn phái A Húc cái bao tay MÕn Ðà	-1	10	10112151
40	1241	Chª tác C¤p 90 8Tinh môn phái A Húc cái bao tay MÕn Ðà	-1	10	10112152
41	1254	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Uy­n Thiªu Lâm	-1	0	10114027
42	1255	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Uy­n Thiªu Lâm	-1	0	10114028
43	1256	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Uy­n Thiªu Lâm	-1	0	10114029
44	1257	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Uy­n Thiªu Lâm	-1	0	10114030
45	1254	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Uy­n Minh Giáo	-1	1	10114031
46	1255	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Uy­n Minh Giáo	-1	1	10114032
47	1256	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Uy­n Minh Giáo	-1	1	10114033
48	1257	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Uy­n Minh Giáo	-1	1	10114034
49	1254	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Uy­n Cái Bang	-1	2	10114035
50	1255	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Uy­n Cái Bang	-1	2	10114036
51	1256	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Uy­n Cái Bang	-1	2	10114037
52	1257	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Uy­n Cái Bang	-1	2	10114038
53	1254	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Uy­n Võ Ðang	-1	3	10114039
54	1255	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Uy­n Võ Ðang	-1	3	10114040
55	1256	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Uy­n Võ Ðang	-1	3	10114041
56	1257	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Uy­n Võ Ðang	-1	3	10114042
57	1254	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Uy­n Nga Mi	-1	4	10114043
58	1255	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Uy­n Nga Mi	-1	4	10114044
59	1256	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Uy­n Nga Mi	-1	4	10114045
60	1257	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Uy­n Nga Mi	-1	4	10114046
61	1254	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Uy­n Tinh Túc	-1	5	10114047
62	1255	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Uy­n Tinh Túc	-1	5	10114048
63	1256	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Uy­n Tinh Túc	-1	5	10114049
64	1257	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Uy­n Tinh Túc	-1	5	10114050
65	1254	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Uy­n ÐÕi Lý	-1	6	10114051
66	1255	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Uy­n ÐÕi Lý	-1	6	10114052
67	1256	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Uy­n ÐÕi Lý	-1	6	10114053
68	1257	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Uy­n ÐÕi Lý	-1	6	10114054
69	1254	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Uy­n Thiên S½n	-1	7	10114055
70	1255	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Uy­n Thiên S½n	-1	7	10114056
71	1256	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Uy­n Thiên S½n	-1	7	10114057
72	1257	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Uy­n Thiên S½n	-1	7	10114058
73	1254	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Uy­n tiêu dao	-1	8	10114059
74	1255	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Uy­n tiêu dao	-1	8	10114060
75	1256	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Uy­n tiêu dao	-1	8	10114061
76	1257	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Uy­n tiêu dao	-1	8	10114062
77	1254	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Uy­n MÕn Ðà	-1	10	10114063
78	1255	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Uy­n MÕn Ðà	-1	10	10114064
79	1256	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Uy­n MÕn Ðà	-1	10	10114065
80	1257	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Uy­n MÕn Ðà	-1	10	10114066
81	1270	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Kiên Thiªu Lâm	-1	0	10115027
82	1271	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Kiên Thiªu Lâm	-1	0	10115028
83	1272	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Kiên Thiªu Lâm	-1	0	10115029
84	1273	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Kiên Thiªu Lâm	-1	0	10115030
85	1270	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Kiên Minh Giáo	-1	1	10115031
86	1271	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Kiên Minh Giáo	-1	1	10115032
87	1272	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Kiên Minh Giáo	-1	1	10115033
88	1273	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Kiên Minh Giáo	-1	1	10115034
89	1270	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Kiên Cái Bang	-1	2	10115035
90	1271	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Kiên Cái Bang	-1	2	10115036
91	1272	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Kiên Cái Bang	-1	2	10115037
92	1273	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Kiên Cái Bang	-1	2	10115038
93	1270	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Kiên Võ Ðang	-1	3	10115039
94	1271	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Kiên Võ Ðang	-1	3	10115040
95	1272	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Kiên Võ Ðang	-1	3	10115041
96	1273	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Kiên Võ Ðang	-1	3	10115042
97	1270	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Kiên Nga Mi	-1	4	10115043
98	1271	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Kiên Nga Mi	-1	4	10115044
99	1272	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Kiên Nga Mi	-1	4	10115045
100	1273	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Kiên Nga Mi	-1	4	10115046
101	1270	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Kiên Tinh Túc	-1	5	10115047
102	1271	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Kiên Tinh Túc	-1	5	10115048
103	1272	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Kiên Tinh Túc	-1	5	10115049
104	1273	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Kiên Tinh Túc	-1	5	10115050
105	1270	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Kiên ÐÕi Lý	-1	6	10115051
106	1271	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Kiên ÐÕi Lý	-1	6	10115052
107	1272	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Kiên ÐÕi Lý	-1	6	10115053
108	1273	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Kiên ÐÕi Lý	-1	6	10115054
109	1270	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Kiên Thiên S½n	-1	7	10115055
110	1271	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Kiên Thiên S½n	-1	7	10115056
111	1272	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Kiên Thiên S½n	-1	7	10115057
112	1273	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Kiên Thiên S½n	-1	7	10115058
113	1270	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Kiên tiêu dao	-1	8	10115059
114	1271	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Kiên tiêu dao	-1	8	10115060
115	1272	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Kiên tiêu dao	-1	8	10115061
116	1273	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Kiên tiêu dao	-1	8	10115062
117	1270	Chª tác C¤p 60 8Tinh môn phái A Húc Hµ Kiên MÕn Ðà	-1	10	10115063
118	1271	Chª tác C¤p 70 8Tinh môn phái A Húc Hµ Kiên MÕn Ðà	-1	10	10115064
119	1272	Chª tác C¤p 80 8Tinh môn phái A Húc Hµ Kiên MÕn Ðà	-1	10	10115065
120	1273	Chª tác C¤p 90 8Tinh môn phái A Húc Hµ Kiên MÕn Ðà	-1	10	10115066
121	1286	Chª tác C¤p 60 8Tinh môn phái A Húc ðai lßng Thiªu Lâm	-1	0	10121029
122	1287	Chª tác C¤p 70 8Tinh môn phái A Húc ðai lßng Thiªu Lâm	-1	0	10121030
123	1288	Chª tác C¤p 80 8Tinh môn phái A Húc ðai lßng Thiªu Lâm	-1	0	10121031
124	1289	Chª tác C¤p 90 8Tinh môn phái A Húc ðai lßng Thiªu Lâm	-1	0	10121032
125	1286	Chª tác C¤p 60 8Tinh môn phái A Húc ðai lßng Minh Giáo	-1	1	10121033
126	1287	Chª tác C¤p 70 8Tinh môn phái A Húc ðai lßng Minh Giáo	-1	1	10121034
127	1288	Chª tác C¤p 80 8Tinh môn phái A Húc ðai lßng Minh Giáo	-1	1	10121035
128	1289	Chª tác C¤p 90 8Tinh môn phái A Húc ðai lßng Minh Giáo	-1	1	10121036
129	1286	Chª tác C¤p 60 8Tinh môn phái A Húc ðai lßng Cái Bang	-1	2	10121037
130	1287	Chª tác C¤p 70 8Tinh môn phái A Húc ðai lßng Cái Bang	-1	2	10121038
131	1288	Chª tác C¤p 80 8Tinh môn phái A Húc ðai lßng Cái Bang	-1	2	10121039
132	1289	Chª tác C¤p 90 8Tinh môn phái A Húc ðai lßng Cái Bang	-1	2	10121040
133	1286	Chª tác C¤p 60 8Tinh môn phái A Húc ðai lßng Võ Ðang	-1	3	10121041
134	1287	Chª tác C¤p 70 8Tinh môn phái A Húc ðai lßng Võ Ðang	-1	3	10121042
135	1288	Chª tác C¤p 80 8Tinh môn phái A Húc ðai lßng Võ Ðang	-1	3	10121043
136	1289	Chª tác C¤p 90 8Tinh môn phái A Húc ðai lßng Võ Ðang	-1	3	10121044
137	1286	Chª tác C¤p 60 8Tinh môn phái A Húc ðai lßng Nga Mi	-1	4	10121045
138	1287	Chª tác C¤p 70 8Tinh môn phái A Húc ðai lßng Nga Mi	-1	4	10121046
139	1288	Chª tác C¤p 80 8Tinh môn phái A Húc ðai lßng Nga Mi	-1	4	10121047
140	1289	Chª tác C¤p 90 8Tinh môn phái A Húc ðai lßng Nga Mi	-1	4	10121048
141	1286	Chª tác C¤p 60 8Tinh môn phái A Húc ðai lßng Tinh Túc	-1	5	10121049
142	1287	Chª tác C¤p 70 8Tinh môn phái A Húc ðai lßng Tinh Túc	-1	5	10121050
143	1288	Chª tác C¤p 80 8Tinh môn phái A Húc ðai lßng Tinh Túc	-1	5	10121051
144	1289	Chª tác C¤p 90 8Tinh môn phái A Húc ðai lßng Tinh Túc	-1	5	10121052
145	1286	Chª tác C¤p 60 8Tinh môn phái A Húc ðai lßng ÐÕi Lý	-1	6	10121053
146	1287	Chª tác C¤p 70 8Tinh môn phái A Húc ðai lßng ÐÕi Lý	-1	6	10121054
147	1288	Chª tác C¤p 80 8Tinh môn phái A Húc ðai lßng ÐÕi Lý	-1	6	10121055
148	1289	Chª tác C¤p 90 8Tinh môn phái A Húc ðai lßng ÐÕi Lý	-1	6	10121056
149	1286	Chª tác C¤p 60 8Tinh môn phái A Húc ðai lßng Thiên S½n	-1	7	10121057
150	1287	Chª tác C¤p 70 8Tinh môn phái A Húc ðai lßng Thiên S½n	-1	7	10121058
151	1288	Chª tác C¤p 80 8Tinh môn phái A Húc ðai lßng Thiên S½n	-1	7	10121059
152	1289	Chª tác C¤p 90 8Tinh môn phái A Húc ðai lßng Thiên S½n	-1	7	10121060
153	1286	Chª tác C¤p 60 8Tinh môn phái A Húc ðai lßng tiêu dao	-1	8	10121061
154	1287	Chª tác C¤p 70 8Tinh môn phái A Húc ðai lßng tiêu dao	-1	8	10121062
155	1288	Chª tác C¤p 80 8Tinh môn phái A Húc ðai lßng tiêu dao	-1	8	10121063
156	1289	Chª tác C¤p 90 8Tinh môn phái A Húc ðai lßng tiêu dao	-1	8	10121064
157	1286	Chª tác C¤p 60 8Tinh môn phái A Húc ðai lßng MÕn Ðà	-1	10	10121065
158	1287	Chª tác C¤p 70 8Tinh môn phái A Húc ðai lßng MÕn Ðà	-1	10	10121066
159	1288	Chª tác C¤p 80 8Tinh môn phái A Húc ðai lßng MÕn Ðà	-1	10	10121067
160	1289	Chª tác C¤p 90 8Tinh môn phái A Húc ðai lßng MÕn Ðà	-1	10	10121068
161	1290	Chª tác C¤p 60 5Tinh A Húc nhçn Bång	21000028	-1	10122016
162	1291	Chª tác C¤p 70 5Tinh A Húc nhçn Bång	21000028	-1	10122017
163	1292	Chª tác C¤p 80 5Tinh A Húc nhçn Bång	21000028	-1	10122018
164	1293	Chª tác C¤p 90 5Tinh A Húc nhçn Bång	21000028	-1	10122019
165	1290	Chª tác C¤p 60 5Tinh A Húc nhçn Hoä	21000029	-1	10122020
166	1291	Chª tác C¤p 70 5Tinh A Húc nhçn Hoä	21000029	-1	10122021
167	1292	Chª tác C¤p 80 5Tinh A Húc nhçn Hoä	21000029	-1	10122022
168	1293	Chª tác C¤p 90 5Tinh A Húc nhçn Hoä	21000029	-1	10122023
169	1290	Chª tác C¤p 60 5Tinh A Húc nhçn Huy«n	21000030	-1	10122024
170	1291	Chª tác C¤p 70 5Tinh A Húc nhçn Huy«n	21000030	-1	10122025
171	1292	Chª tác C¤p 80 5Tinh A Húc nhçn Huy«n	21000030	-1	10122026
172	1293	Chª tác C¤p 90 5Tinh A Húc nhçn Huy«n	21000030	-1	10122027
173	1290	Chª tác C¤p 60 5Tinh A Húc nhçn Ðµc	21000031	-1	10122028
174	1291	Chª tác C¤p 70 5Tinh A Húc nhçn Ðµc	21000031	-1	10122029
175	1292	Chª tác C¤p 80 5Tinh A Húc nhçn Ðµc	21000031	-1	10122030
176	1293	Chª tác C¤p 90 5Tinh A Húc nhçn Ðµc	21000031	-1	10122031
177	1294	Chª tác C¤p 60 6Tinh A Húc nhçn Bång	21000032	-1	10122032
178	1295	Chª tác C¤p 70 6Tinh A Húc nhçn Bång	21000032	-1	10122033
179	1296	Chª tác C¤p 80 6Tinh A Húc nhçn Bång	21000032	-1	10122034
180	1297	Chª tác C¤p 90 6Tinh A Húc nhçn Bång	21000032	-1	10122035
181	1294	Chª tác C¤p 60 6Tinh A Húc nhçn Hoä	21000033	-1	10122036
182	1295	Chª tác C¤p 70 6Tinh A Húc nhçn Hoä	21000033	-1	10122037
183	1296	Chª tác C¤p 80 6Tinh A Húc nhçn Hoä	21000033	-1	10122038
184	1297	Chª tác C¤p 90 6Tinh A Húc nhçn Hoä	21000033	-1	10122039
185	1294	Chª tác C¤p 60 6Tinh A Húc nhçn Huy«n	21000034	-1	10122040
186	1295	Chª tác C¤p 70 6Tinh A Húc nhçn Huy«n	21000034	-1	10122041
187	1296	Chª tác C¤p 80 6Tinh A Húc nhçn Huy«n	21000034	-1	10122042
188	1297	Chª tác C¤p 90 6Tinh A Húc nhçn Huy«n	21000034	-1	10122043
189	1294	Chª tác C¤p 60 6Tinh A Húc nhçn Ðµc	21000035	-1	10122044
190	1295	Chª tác C¤p 70 6Tinh A Húc nhçn Ðµc	21000035	-1	10122045
191	1296	Chª tác C¤p 80 6Tinh A Húc nhçn Ðµc	21000035	-1	10122046
192	1297	Chª tác C¤p 90 6Tinh A Húc nhçn Ðµc	21000035	-1	10122047
193	1298	Chª tác C¤p 60 7Tinh A Húc nhçn Bång	21000036	-1	10122048
194	1299	Chª tác C¤p 70 7Tinh A Húc nhçn Bång	21000036	-1	10122049
195	1300	Chª tác C¤p 80 7Tinh A Húc nhçn Bång	21000036	-1	10122050
196	1301	Chª tác C¤p 90 7Tinh A Húc nhçn Bång	21000036	-1	10122051
197	1298	Chª tác C¤p 60 7Tinh A Húc nhçn Hoä	21000037	-1	10122052
198	1299	Chª tác C¤p 70 7Tinh A Húc nhçn Hoä	21000037	-1	10122053
199	1300	Chª tác C¤p 80 7Tinh A Húc nhçn Hoä	21000037	-1	10122054
200	1301	Chª tác C¤p 90 7Tinh A Húc nhçn Hoä	21000037	-1	10122055
201	1298	Chª tác C¤p 60 7Tinh A Húc nhçn Huy«n	21000038	-1	10122056
202	1299	Chª tác C¤p 70 7Tinh A Húc nhçn Huy«n	21000038	-1	10122057
203	1300	Chª tác C¤p 80 7Tinh A Húc nhçn Huy«n	21000038	-1	10122058
204	1301	Chª tác C¤p 90 7Tinh A Húc nhçn Huy«n	21000038	-1	10122059
205	1298	Chª tác C¤p 60 7Tinh A Húc nhçn Ðµc	21000039	-1	10122060
206	1299	Chª tác C¤p 70 7Tinh A Húc nhçn Ðµc	21000039	-1	10122061
207	1300	Chª tác C¤p 80 7Tinh A Húc nhçn Ðµc	21000039	-1	10122062
208	1301	Chª tác C¤p 90 7Tinh A Húc nhçn Ðµc	21000039	-1	10122063
209	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Bång Thiªu Lâm	21000040	0	10122064
210	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Bång Thiªu Lâm	21000040	0	10122065
211	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Bång Thiªu Lâm	21000040	0	10122066
212	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Bång Thiªu Lâm	21000040	0	10122067
213	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Hoä Thiªu Lâm	21000041	0	10122068
214	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Hoä Thiªu Lâm	21000041	0	10122069
215	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Hoä Thiªu Lâm	21000041	0	10122070
216	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Hoä Thiªu Lâm	21000041	0	10122071
217	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Huy«n Thiªu Lâm	21000042	0	10122072
218	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Huy«n Thiªu Lâm	21000042	0	10122073
219	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Huy«n Thiªu Lâm	21000042	0	10122074
220	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Huy«n Thiªu Lâm	21000042	0	10122075
221	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Ðµc Thiªu Lâm	21000043	0	10122076
222	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Ðµc Thiªu Lâm	21000043	0	10122077
223	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Ðµc Thiªu Lâm	21000043	0	10122078
224	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Ðµc Thiªu Lâm	21000043	0	10122079
225	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Bång Minh Giáo	21000040	1	10122080
226	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Bång Minh Giáo	21000040	1	10122081
227	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Bång Minh Giáo	21000040	1	10122082
228	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Bång Minh Giáo	21000040	1	10122083
229	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Hoä Minh Giáo	21000041	1	10122084
230	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Hoä Minh Giáo	21000041	1	10122085
231	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Hoä Minh Giáo	21000041	1	10122086
232	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Hoä Minh Giáo	21000041	1	10122087
233	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Huy«n Minh Giáo	21000042	1	10122088
234	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Huy«n Minh Giáo	21000042	1	10122089
235	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Huy«n Minh Giáo	21000042	1	10122090
236	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Huy«n Minh Giáo	21000042	1	10122091
237	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Ðµc Minh Giáo	21000043	1	10122092
238	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Ðµc Minh Giáo	21000043	1	10122093
239	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Ðµc Minh Giáo	21000043	1	10122094
240	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Ðµc Minh Giáo	21000043	1	10122095
241	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Bång Cái Bang	21000040	2	10122096
242	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Bång Cái Bang	21000040	2	10122097
243	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Bång Cái Bang	21000040	2	10122098
244	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Bång Cái Bang	21000040	2	10122099
245	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Hoä Cái Bang	21000041	2	10122100
246	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Hoä Cái Bang	21000041	2	10122101
247	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Hoä Cái Bang	21000041	2	10122102
248	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Hoä Cái Bang	21000041	2	10122103
249	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Huy«n Cái Bang	21000042	2	10122104
250	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Huy«n Cái Bang	21000042	2	10122105
251	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Huy«n Cái Bang	21000042	2	10122106
252	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Huy«n Cái Bang	21000042	2	10122107
253	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Ðµc Cái Bang	21000043	2	10122108
254	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Ðµc Cái Bang	21000043	2	10122109
255	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Ðµc Cái Bang	21000043	2	10122110
256	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Ðµc Cái Bang	21000043	2	10122111
257	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Bång Võ Ðang	21000040	3	10122112
258	1303	Chª tác C¤p 70 8Tinh môn phái A Húc nhçn Bång Võ Ðang	21000040	3	10122113
259	1304	Chª tác C¤p 80 8Tinh môn phái A Húc nhçn Bång Võ Ðang	21000040	3	10122114
260	1305	Chª tác C¤p 90 8Tinh môn phái A Húc nhçn Bång Võ Ðang	21000040	3	10122115
261	1302	Chª tác C¤p 60 8Tinh môn phái A Húc nhçn Hoä Võ Ðang	21000041	3	10122116
