INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
45	CÑng ng¡c	1	3	23	38	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46	Hóa ThÕch	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
47	Tê Li®t	1	2	14	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	Th¤t Minh	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49	Khiªp sþ	1	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
50	Tri«n Nhi­u	1	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
51	B¸ B¡t	1	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52	Phá Tri«n	1	12	24	25	26	27	28	29	30	31	112	113	139	1516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
53	Bí Kíp Hß Nhßþc	1	7	32	33	34	35	36	37	1514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54	Cß¶ng hóa	1	21	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	0	0	0	0	0	0	0	0	0	
55	Tång cß¶ng	1	21	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	0	0	0	0	0	0	0	0	0	
56	Thiªu Lâm công kích kÛ nång	3	14	0	281	282	283	291	295	298	4408	4409	4410	4411	4412	4413	4414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57	Cái Bang công kích kÛ nång	3	9	0	341	342	343	347	351	355	358	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
58	Võ Ðang công kích kÛ nång	3	9	0	371	372	373	377	385	388	391	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
59	ÐÕi Lý công kích kÛ nång	3	13	0	461	462	463	465	467	469	471	475	478	481	487	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60	Kh¯ng chª	1	13	11	12	13	14	15	16	17	18	19	20	21	22	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61	Tàng hình	0	5	99	176	177	180	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
62	Nga Mi công kích kÛ nång	3	7	401	403	404	415	418	421	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63	ThuÖ v§n mi­n d¸ch(¦n thân, KÜ Th×a)	1	2	99	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
64	ThuÖ v§n C¤m Døng kÛ nång(Th×a KÜ, ¦n thân, H°i Thành)	3	5	21	22	248	496	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
65	Kíp n± b¦y r§p loÕi hình	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
66	Th×a KÜ	1	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
67	Môn phái công kích kÛ nång 1	3	30	281	283	291	295	298	311	313	321	325	328	341	343	351	355	358	371	373	381	385	388	401	403	411	415	418	431	433	441	445	448	
68	Môn phái công kích kÛ nång 2	3	28	461	463	471	475	478	491	493	501	505	508	521	523	531	535	538	347	377	404	437	450	507	361	391	421	451	481	511	541	0	0	
69	Dçn ðß¶ng LoÕi kÛ nång	3	14	53	59	60	61	62	373	378	404	432	437	443	462	700	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
70	Ph± Thông Công Kích Hoà liên tøc KÛ	3	16	0	281	311	341	371	401	431	461	491	521	760	3266	3267	3268	3269	760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
71	Höa Thiêu Xích Bích	3	1	1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
72	Phong ¤n	1	2	136	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
73	Giao long loÕn vû	3	1	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
74	Th§n long loÕn vû	3	1	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
75	Khai Tß½ng mi­n d¸ch	1	15	96	99	131	150	176	177	180	214	276	334	372	373	374	375	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
76	Khai Ðß¶ng	1	1	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
77	Ph® Huyªt	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
78	Thú Ðµc	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
79	Th¤t H°n	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
80	Trúng Ðµc	1	2	2	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
81	Thiêu Ð¯t	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
82	Không chút máu	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
83	Tr¸ Li®u kÛ nång	3	4	245	407	423	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
84	Änh Ðµn	3	1	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
85	Kiªm Vû nµi công	1	1	1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
86	Kiªm Vû ngoÕi công	1	1	1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87	Thánh Hoä truy«n lÕi Ô Quân mi­n d¸ch	0	5	634	636	637	638	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
88	Trào phúng · ngoài Ðích kh¯ng chª	1	15	11	13	14	15	17	18	19	20	21	22	23	136	269	382	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
89	Giäm huyªt khí hÕn mÑc cao nh¤t	1	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
90	Trào phúng kÛ nång	3	3	287	304	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
91	Kiªm Vû (TØ)	1	1	704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
92	Kiªm Vû (TØ)	1	1	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93	Kiªm Vû (TØ)	1	1	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
94	Kiªm Vû (TØ)	1	1	707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
95	Kiªm Vû (TØ)	1	1	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
96	Kiªm Vû (TØ)	1	1	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
97	Nga Mi Xung Hß DßÞng Khí	3	1	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
98	Nga Mi Xung Hß DßÞng Khí +thanh tâm	3	3	407	424	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
99	Biªn thân t§p hþp	1	1	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100	Thß½ng t±n phóng ðÕi kÛ nång	3	3	402	467	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101	Thiên Ð¸a Minh Di®t +Phong Hoä Liên Thành	3	2	334	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
102	Trân Thú Liên Kích kÛ nång	3	2	726	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
103	Trân Thú Mãnh Kích kÛ nång	3	11	722	723	1260	1261	1262	1263	1264	1265	1266	1267	1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	Trân Thú Th¯ng Kích kÛ nång	3	11	728	729	1251	1252	1253	1254	1255	1256	1257	1258	1259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
105	Trân Thú thuµc tính công kích kÛ nång 1	3	22	702	703	704	705	1269	1270	1271	1272	1273	1274	1275	1276	1277	1278	1279	1280	1281	1282	1283	1284	1285	1286	0	0	0	0	0	0	0	0	
106	Trân Thú thuµc tính công kích kÛ nång 2	3	18	1287	1288	1289	1290	1291	1292	1293	1294	1295	1296	1297	1298	1299	1300	1301	1302	1303	1304	0	0	0	0	0	0	0	0	0	0	0	0	
107	Linh Ðµng	3	2	712	713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
108	Nµi Lñc	3	2	720	721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
109	Trung Tâm	3	2	718	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
110	Phän Ch¤n	3	2	710	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
111	Phän Kích	3	2	706	707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
112	Su¤t Các\u0020hÕ	3	2	734	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
113	Phá Tri«n	3	2	732	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
114	Bí Kíp Hß Nhßþc	3	2	730	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
115	Ðä Nµ	3	2	716	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
116	H¤p Khí	3	2	714	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
117	Nµ Höa Liên Träm	3	19	0	242	243	244	274	311	312	313	319	321	325	328	4408	4409	4410	4411	4412	4413	4414	0	0	0	0	0	0	0	0	0	0	0	
118	B¸ ðµng ¦n thân	0	3	176	180	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
119	Dçn ðß¶ng Gia Huyªt	1	2	1505	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
120	Nµ Höa Liên Träm	8	6	121	167	168	169	170	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
121	Th§p ðÕi môn phái Ðích thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång	3	10	281	311	341	371	401	431	461	491	521	760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
122	Th§p ðÕi môn phái Ðích ð® nh¸ bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång	3	10	283	313	343	373	403	433	463	493	523	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
123	Th§p ðÕi môn phái Ðích ð® tÑ bän tâm Pháp ngß¶i thÑ ba kÛ nång	3	10	292	322	352	382	412	442	472	502	532	772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
124	Th§p ðÕi môn phái Ðích thÑ nåm bän tâm Pháp ngß¶i thÑ hai kÛ nång	3	10	295	325	355	385	415	445	475	505	535	775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
125	Th§p ðÕi môn phái Ðích thÑ nåm bän tâm Pháp ngß¶i thÑ ba kÛ nång	3	10	296	326	356	386	416	446	476	506	536	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
126	Th§p ðÕi môn phái Ðích thÑ sáu bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång	3	10	298	328	358	388	418	448	478	508	538	778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
127	Mµ Dung tß thái kÛ nång t§p hþp	1	1	1515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
128	Tâm Kiªm Giao Dung BUFFTá Lñc	1	1	1529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
129	Súc Vân Døc Vû BUFFt§p hþp	1	6	1531	1532	1533	1534	1535	1536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
130	Súc Khí(Vi Kh¯n)	1	1	1531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
131	Súc Khí(Phong Huy®t)	1	1	1532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
132	Súc Khí(mê man)	1	1	1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
133	Súc Khí(Th¤t Minh)	1	1	1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
134	Súc Khí(Ð¸nh Thân)	1	1	1535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
135	Súc Khí(Tän Công)	1	1	1536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
136	Mµ Dung công kích kÛ nång(bù Hþp 67Hoà 68)	3	7	760	763	771	775	778	777	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
137	ThÑ tám bän tâm Pháp Ðích kh¯ng chª	1	10	1212	1213	1214	1215	1216	1217	1218	1219	1220	1221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
138	Phi ð¯i ð¸ch møc tiêu truy«n t¯ng kÛ nång(Ti«n Trang không th¬ dùng Ðích di chuy¬n v¸ trí kÛ nång)	3	11	269	270	271	272	273	379	503	515	524	764	787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
139	Phi thß½ng t±n LoÕi phän ð¯i hi®u quä 1(t±ng hþp lÕi 88, 89, 137)(ð« c§p Ðáo Ðích t§p hþp 138Hoà 334)	1	30	11	13	14	15	17	18	19	20	21	22	23	32	136	233	269	382	1212	1213	1214	1215	1216	1217	1218	1219	1220	1221	49	3656	2623	3133	
140	Phóng ðÕi thß½ng t±n Ðích bài xích nhau ID	1	1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
141	C¯t truy®n B±n Mµ Dung Bác Tiêu Vi­n S½n mi­n d¸ch Giäm Huyªt Thßþng HÕn	1	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
142	Phi thß½ng t±n LoÕi phän ð¯i hi®u quä 2(t±ng hþp lÕi 88, 89, 137)(ð« c§p Ðáo Ðích t§p hþp 138Hoà 334)	1	1	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
148	T¤t cä KÜ Th×a buff	1	2	99	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
265	Tình Ð¸nh tam sinh(Nam)	3	8	3185	3188	3189	3191	3192	3194	3196	3197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
266	Tình Ð¸nh tam sinh(Næ)	3	6	3186	3187	3190	3193	3195	3198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
267	Tình Ð¸nh tam sinh(Nam)	3	8	3199	3200	3203	3205	3207	3209	3210	3212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
268	Tình Ð¸nh tam sinh(Næ)	3	6	3201	3202	3204	3206	3208	3211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
269	Tình Ð¸nh tam sinh(Nam)	3	8	3213	3215	3216	3217	3220	3221	3223	3225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
270	Tình Ð¸nh tam sinh(Næ)	3	6	3214	3218	3219	3222	3224	3226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
271	Xai ð¯ ðèn	1	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
272	T¥n xe ngña	3	1	3256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
273	Thiªu Lâm lßu phái công kích kÛ nång	3	7	281	282	283	289	291	295	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
274	Cái Bang lßu phái 1tiêu hao Liên Kích ÐoÕn ð½n th¬	3	2	347	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
