INT	INT	INT	INT	INT	INT	INT	INT	
77	-1	340	-1	-1	-1	8	40	
78	-1	340	-1	-1	-1	9	40	
79	-1	372	-1	-1	-1	2	56	
80	-1	372	-1	-1	-1	3	56	
81	-1	372	-1	-1	-1	4	56	
82	-1	372	-1	-1	-1	5	56	
83	-1	372	-1	-1	-1	6	56	
84	-1	372	-1	-1	-1	7	56	
85	-1	372	-1	-1	-1	8	56	
86	-1	372	-1	-1	-1	9	56	
87	-1	373	-1	-1	-1	2	57	
88	-1	373	-1	-1	-1	3	57	
89	-1	373	-1	-1	-1	4	57	
90	-1	373	-1	-1	-1	5	57	
91	-1	373	-1	-1	-1	6	57	
92	-1	373	-1	-1	-1	7	57	
93	-1	373	-1	-1	-1	8	57	
94	-1	373	-1	-1	-1	9	57	
95	-1	379	-1	-1	-1	1	63	
106	-1	382	-1	-1	-1	1	106	
107	-1	383	-1	-1	-1	1	107	
108	-1	384	-1	-1	-1	1	108	
109	-1	385	-1	-1	-1	1	109	
110	-1	283	-1	-1	-1	2	35	
111	-1	283	-1	-1	-1	3	35	
112	-1	283	-1	-1	-1	4	35	
113	-1	283	-1	-1	-1	5	35	
114	-1	283	-1	-1	-1	6	35	
115	-1	283	-1	-1	-1	7	35	
116	-1	283	-1	-1	-1	8	35	
117	-1	283	-1	-1	-1	9	35	
118	-1	341	-1	-1	-1	2	41	
119	-1	341	-1	-1	-1	3	41	
120	-1	341	-1	-1	-1	4	41	
121	-1	341	-1	-1	-1	5	41	
122	-1	341	-1	-1	-1	6	41	
123	-1	341	-1	-1	-1	7	41	
124	-1	341	-1	-1	-1	8	41	
125	-1	341	-1	-1	-1	9	41	
126	-1	395	-1	-1	-1	1	126	
127	-1	396	-1	-1	1	1	127	
128	-1	338	-1	-1	-1	2	38	
129	-1	338	-1	-1	-1	3	38	
130	-1	338	-1	-1	-1	4	38	
131	-1	338	-1	-1	-1	5	38	
132	-1	338	-1	-1	-1	6	38	
133	-1	338	-1	-1	-1	7	38	
134	-1	338	-1	-1	-1	8	38	
135	-1	338	-1	-1	-1	9	38	
136	-1	399	-1	-1	-1	1	136	
137	-1	397	-1	-1	-1	1	137	
138	-1	397	-1	-1	-1	2	137	
139	-1	397	-1	-1	-1	3	137	
140	-1	397	-1	-1	-1	4	137	
141	-1	397	-1	-1	-1	5	137	
142	-1	397	-1	-1	-1	6	137	
143	-1	397	-1	-1	-1	7	137	
144	-1	397	-1	-1	-1	8	137	
145	-1	397	-1	-1	-1	9	137	
146	-1	398	-1	-1	-1	1	146	
147	-1	398	-1	-1	-1	7	146	
148	-1	398	-1	-1	-1	2	146	
149	-1	398	-1	-1	-1	3	146	
150	-1	398	-1	-1	-1	4	146	
151	-1	398	-1	-1	-1	5	146	
152	-1	398	-1	-1	-1	6	146	
153	-1	398	-1	-1	-1	8	146	
154	-1	398	-1	-1	-1	9	146	
155	-1	400	-1	-1	-1	1	400	
156	-1	400	-1	-1	-1	2	400	
157	-1	400	-1	-1	-1	3	400	
158	-1	400	-1	-1	-1	4	400	
159	-1	400	-1	-1	-1	5	400	
160	-1	400	-1	-1	-1	6	400	
161	-1	400	-1	-1	-1	7	400	
162	-1	400	-1	-1	-1	8	400	
163	-1	400	-1	-1	-1	9	400	
164	-1	401	-1	-1	-1	1	164	
165	-1	401	-1	-1	-1	2	164	
166	-1	401	-1	-1	-1	3	164	
167	-1	401	-1	-1	-1	4	164	
168	-1	401	-1	-1	-1	5	164	
169	-1	401	-1	-1	-1	6	164	
170	-1	401	-1	-1	-1	7	164	
171	-1	401	-1	-1	-1	8	164	
172	-1	401	-1	-1	-1	9	164	
173	-1	402	-1	-1	-1	1	173	
174	-1	402	-1	-1	-1	2	173	
175	-1	402	-1	-1	-1	3	173	
176	-1	402	-1	-1	-1	4	173	
177	-1	402	-1	-1	-1	5	173	
178	-1	402	-1	-1	-1	6	173	
179	-1	402	-1	-1	-1	7	173	
180	-1	402	-1	-1	-1	8	173	
181	-1	402	-1	-1	-1	9	173	
182	-1	403	-1	-1	-1	1	182	
183	-1	403	-1	-1	-1	2	182	
184	-1	403	-1	-1	-1	3	182	
185	-1	403	-1	-1	-1	4	182	
186	-1	403	-1	-1	-1	5	182	
187	-1	403	-1	-1	-1	6	182	
188	-1	403	-1	-1	-1	7	182	
189	-1	403	-1	-1	-1	8	182	
190	-1	403	-1	-1	-1	9	182	
191	-1	404	-1	-1	-1	1	191	
192	-1	405	-1	-1	-1	1	192	
193	-1	405	-1	-1	-1	2	192	
194	-1	405	-1	-1	-1	3	192	
195	-1	405	-1	-1	-1	4	192	
196	-1	405	-1	-1	-1	5	192	
197	-1	405	-1	-1	-1	6	192	
198	-1	405	-1	-1	-1	7	192	
199	-1	405	-1	-1	-1	8	192	
200	-1	405	-1	-1	-1	9	192	
210	-1	406	-1	-1	-1	1	210	
211	-1	406	-1	-1	-1	2	210	
212	-1	406	-1	-1	-1	3	210	
213	-1	406	-1	-1	-1	4	210	
214	-1	406	-1	-1	-1	5	210	
215	-1	406	-1	-1	-1	6	210	
216	-1	406	-1	-1	-1	7	210	
217	-1	406	-1	-1	-1	8	210	
218	-1	406	-1	-1	-1	9	210	
219	-1	407	-1	-1	-1	1	219	
220	-1	407	-1	-1	-1	2	219	
221	-1	407	-1	-1	-1	3	219	
222	-1	407	-1	-1	-1	4	219	
223	-1	407	-1	-1	-1	5	219	
224	-1	407	-1	-1	-1	6	219	
225	-1	407	-1	-1	-1	7	219	
226	-1	407	-1	-1	-1	8	219	
227	-1	407	-1	-1	-1	9	219	
228	-1	408	-1	-1	-1	1	228	
229	-1	408	-1	-1	-1	2	228	
230	-1	408	-1	-1	-1	3	228	
231	-1	408	-1	-1	-1	4	228	
232	-1	408	-1	-1	-1	5	228	
233	-1	408	-1	-1	-1	6	228	
234	-1	408	-1	-1	-1	7	228	
235	-1	408	-1	-1	-1	8	228	
236	-1	408	-1	-1	-1	9	228	
237	-1	409	-1	-1	-1	1	237	
238	-1	409	-1	-1	-1	2	237	
239	-1	409	-1	-1	-1	3	237	
240	-1	409	-1	-1	-1	4	237	
241	-1	409	-1	-1	-1	5	237	
242	-1	409	-1	-1	-1	6	237	
243	-1	409	-1	-1	-1	7	237	
244	-1	409	-1	-1	-1	8	237	
245	-1	409	-1	-1	-1	9	237	
246	-1	413	-1	-1	-1	1	246	
247	-1	410	-1	-1	-1	1	247	
248	-1	410	-1	-1	-1	2	247	
249	-1	410	-1	-1	-1	3	247	
250	-1	410	-1	-1	-1	4	247	
251	-1	410	-1	-1	-1	5	247	
252	-1	410	-1	-1	-1	6	247	
253	-1	410	-1	-1	-1	7	247	
254	-1	410	-1	-1	-1	8	247	
255	-1	410	-1	-1	-1	9	247	
256	-1	414	-1	-1	-1	1	256	
257	-1	411	-1	-1	-1	1	257	
258	-1	411	-1	-1	-1	2	257	
259	-1	411	-1	-1	-1	3	257	
260	-1	411	-1	-1	-1	4	257	
261	-1	411	-1	-1	-1	5	257	
262	-1	411	-1	-1	-1	6	257	
263	-1	411	-1	-1	-1	7	257	
264	-1	411	-1	-1	-1	8	257	
265	-1	411	-1	-1	-1	9	257	
266	-1	412	-1	-1	-1	1	266	
267	-1	415	-1	-1	-1	1	267	
268	-1	416	-1	-1	-1	1	268	
269	-1	415	-1	-1	-1	2	267	
270	-1	415	-1	-1	-1	3	267	
271	-1	415	-1	-1	-1	4	267	
272	-1	415	-1	-1	-1	5	267	
273	-1	415	-1	-1	-1	6	267	
274	-1	415	-1	-1	-1	7	267	
275	-1	415	-1	-1	-1	8	267	
276	-1	415	-1	-1	-1	9	267	
277	-1	417	-1	-1	-1	1	277	
278	-1	418	-1	-1	-1	1	278	
279	-1	419	-1	-1	-1	1	279	
280	-1	420	-1	-1	-1	1	280	
281	-1	421	-1	-1	-1	1	281	
282	-1	422	-1	-1	-1	1	282	
283	-1	422	-1	-1	-1	2	282	
284	-1	422	-1	-1	-1	3	282	
285	-1	422	-1	-1	-1	4	282	
286	-1	422	-1	-1	-1	5	282	
287	-1	422	-1	-1	-1	6	282	
288	-1	422	-1	-1	-1	7	282	
289	-1	422	-1	-1	-1	8	282	
290	-1	422	-1	-1	-1	9	282	
291	-1	423	-1	-1	-1	1	291	
292	-1	423	-1	-1	-1	2	291	
293	-1	423	-1	-1	-1	3	291	
294	-1	423	-1	-1	-1	4	291	
295	-1	423	-1	-1	-1	5	291	
296	-1	423	-1	-1	-1	6	291	
297	-1	423	-1	-1	-1	7	291	
298	-1	423	-1	-1	-1	8	291	
299	-1	423	-1	-1	-1	9	291	
300	-1	424	-1	-1	-1	1	291	
301	-1	424	-1	-1	-1	2	291	
302	-1	424	-1	-1	-1	3	291	
303	-1	424	-1	-1	-1	4	291	
304	-1	424	-1	-1	-1	5	291	
305	-1	424	-1	-1	-1	6	291	
306	-1	424	-1	-1	-1	7	291	
307	-1	424	-1	-1	-1	8	291	
308	-1	424	-1	-1	-1	9	291	
309	-1	425	-1	-1	-1	1	309	
310	-1	426	-1	-1	-1	1	310	
311	-1	426	-1	-1	-1	2	310	
312	-1	426	-1	-1	-1	3	310	
313	-1	426	-1	-1	-1	4	310	
314	-1	426	-1	-1	-1	5	310	
315	-1	426	-1	-1	-1	6	310	
316	-1	426	-1	-1	-1	7	310	
317	-1	426	-1	-1	-1	8	310	
318	-1	426	-1	-1	-1	9	310	
319	-1	427	-1	-1	-1	1	319	
320	-1	428	-1	-1	-1	1	320	
321	-1	429	-1	-1	-1	1	321	
322	-1	429	-1	-1	-1	2	321	
323	-1	429	-1	-1	-1	3	321	
324	-1	429	-1	-1	-1	4	321	
325	-1	429	-1	-1	-1	5	321	
326	-1	429	-1	-1	-1	6	321	
327	-1	429	-1	-1	-1	7	321	
328	-1	429	-1	-1	-1	8	321	
329	-1	429	-1	-1	-1	9	321	
330	-1	430	-1	-1	-1	1	330	
331	-1	431	-1	-1	-1	1	331	
332	-1	432	-1	-1	-1	1	332	
333	-1	432	-1	-1	-1	2	332	
334	-1	432	-1	-1	-1	3	332	
335	-1	432	-1	-1	-1	4	332	
336	-1	432	-1	-1	-1	5	332	
337	-1	432	-1	-1	-1	6	332	
338	-1	432	-1	-1	-1	7	332	
339	-1	432	-1	-1	-1	8	332	
340	-1	432	-1	-1	-1	9	332	
341	-1	433	-1	-1	-1	1	341	
342	-1	434	-1	-1	-1	1	342	
343	-1	435	-1	-1	-1	1	343	
344	-1	436	-1	-1	-1	1	344	
345	-1	437	-1	-1	-1	1	345	
346	-1	438	-1	-1	-1	1	346	
347	-1	438	-1	-1	-1	2	346	
348	-1	438	-1	-1	-1	3	346	
349	-1	438	-1	-1	-1	4	346	
350	-1	438	-1	-1	-1	5	346	
351	-1	438	-1	-1	-1	6	346	
352	-1	438	-1	-1	-1	7	346	
353	-1	438	-1	-1	-1	8	346	
354	-1	438	-1	-1	-1	9	346	
355	-1	439	-1	-1	-1	1	355	
356	-1	440	-1	-1	-1	1	356	
357	-1	441	-1	-1	-1	1	357	
358	-1	442	-1	-1	-1	1	358	
359	-1	443	-1	-1	-1	1	359	
360	-1	444	-1	-1	-1	1	360	
361	-1	445	-1	-1	-1	1	361	
362	-1	446	-1	-1	-1	1	362	
363	-1	447	-1	-1	-1	1	363	
364	-1	448	-1	-1	-1	1	364	
365	-1	448	-1	-1	-1	2	364	
366	-1	448	-1	-1	-1	3	364	
367	-1	448	-1	-1	-1	4	364	
368	-1	448	-1	-1	-1	5	364	
369	-1	448	-1	-1	-1	6	364	
370	-1	448	-1	-1	-1	7	364	
371	-1	448	-1	-1	-1	8	364	
372	-1	448	-1	-1	-1	9	364	
373	-1	449	-1	-1	-1	1	373	
374	-1	449	-1	-1	-1	2	373	
375	-1	449	-1	-1	-1	3	373	
376	-1	449	-1	-1	-1	4	373	
377	-1	449	-1	-1	-1	5	373	
378	-1	449	-1	-1	-1	6	373	
379	-1	449	-1	-1	-1	7	373	
380	-1	449	-1	-1	-1	8	373	
381	-1	449	-1	-1	-1	9	373	
382	-1	449	-1	-1	-1	10	373	
383	-1	450	-1	-1	-1	1	383	
384	-1	451	-1	-1	-1	1	384	
385	-1	451	-1	-1	-1	2	384	
386	-1	451	-1	-1	-1	3	384	
387	-1	451	-1	-1	-1	4	384	
388	-1	451	-1	-1	-1	5	384	
389	-1	451	-1	-1	-1	6	384	
390	-1	451	-1	-1	-1	7	384	
391	-1	451	-1	-1	-1	8	384	
392	-1	451	-1	-1	-1	9	384	
393	-1	452	-1	-1	-1	1	393	
394	-1	453	-1	-1	-1	1	394	
395	-1	454	-1	-1	-1	1	395	
396	-1	455	-1	-1	-1	1	396	
397	-1	455	-1	-1	-1	2	396	
398	-1	455	-1	-1	-1	3	396	
399	-1	455	-1	-1	-1	4	396	
400	-1	455	-1	-1	-1	5	396	
401	-1	455	-1	-1	-1	6	396	
402	-1	455	-1	-1	-1	7	396	
403	-1	455	-1	-1	-1	8	396	
404	-1	455	-1	-1	-1	9	396	
405	-1	456	-1	-1	-1	1	405	
406	-1	457	-1	-1	-1	1	406	
407	-1	458	-1	-1	-1	1	407	
408	-1	459	-1	-1	-1	1	408	
409	-1	460	-1	-1	-1	1	409	
410	-1	461	-1	-1	-1	1	410	
411	-1	462	-1	-1	-1	1	411	
412	-1	463	-1	-1	-1	1	412	
413	-1	463	-1	-1	-1	2	412	
414	-1	463	-1	-1	-1	3	412	
415	-1	463	-1	-1	-1	4	412	
416	-1	463	-1	-1	-1	5	412	
417	-1	463	-1	-1	-1	6	412	
418	-1	463	-1	-1	-1	7	412	
419	-1	463	-1	-1	-1	8	412	
420	-1	463	-1	-1	-1	9	412	
421	-1	464	-1	-1	-1	1	421	
422	-1	464	-1	-1	-1	2	421	
423	-1	464	-1	-1	-1	3	421	
424	-1	464	-1	-1	-1	4	421	
425	-1	464	-1	-1	-1	5	421	
426	-1	464	-1	-1	-1	6	421	
427	-1	464	-1	-1	-1	7	421	
428	-1	464	-1	-1	-1	8	421	
429	-1	464	-1	-1	-1	9	421	
430	-1	465	-1	-1	-1	1	430	
431	-1	466	-1	-1	-1	1	431	
432	-1	467	-1	-1	-1	1	432	
433	-1	466	-1	-1	-1	2	431	
434	-1	466	-1	-1	-1	3	431	
435	-1	466	-1	-1	-1	4	431	
436	-1	466	-1	-1	-1	5	431	
437	-1	466	-1	-1	-1	6	431	
438	-1	466	-1	-1	-1	7	431	
439	-1	466	-1	-1	-1	8	431	
440	-1	466	-1	-1	-1	9	431	
441	-1	468	-1	-1	-1	1	441	
442	-1	469	-1	-1	-1	1	442	
443	-1	470	-1	-1	-1	1	443	
444	-1	471	-1	-1	-1	1	444	
445	-1	472	-1	-1	-1	1	445	
446	-1	473	-1	-1	-1	1	446	
447	-1	474	-1	-1	-1	1	447	
448	-1	475	-1	-1	-1	1	448	
449	-1	475	-1	-1	-1	2	448	
450	-1	475	-1	-1	-1	3	448	
451	-1	475	-1	-1	-1	4	448	
452	-1	475	-1	-1	-1	5	448	
453	-1	475	-1	-1	-1	6	448	
454	-1	475	-1	-1	-1	7	448	
455	-1	475	-1	-1	-1	8	448	
456	-1	475	-1	-1	-1	9	448	
457	-1	476	-1	-1	-1	1	457	
458	-1	476	-1	-1	-1	2	457	
459	-1	476	-1	-1	-1	3	457	
460	-1	476	-1	-1	-1	4	457	
461	-1	476	-1	-1	-1	5	457	
462	-1	476	-1	-1	-1	6	457	
463	-1	476	-1	-1	-1	7	457	
464	-1	476	-1	-1	-1	8	457	
465	-1	476	-1	-1	-1	9	457	
466	-1	477	-1	-1	-1	1	466	
467	-1	478	-1	-1	-1	1	467	
468	-1	473	-1	-1	-1	2	446	
469	-1	473	-1	-1	-1	3	446	
470	-1	473	-1	-1	-1	4	446	
471	-1	473	-1	-1	-1	5	446	
472	-1	473	-1	-1	-1	6	446	
473	-1	473	-1	-1	-1	7	446	
474	-1	473	-1	-1	-1	8	446	
475	-1	473	-1	-1	-1	9	446	
476	-1	479	-1	-1	-1	1	476	
477	-1	480	-1	-1	-1	1	477	
478	-1	481	-1	-1	-1	1	478	
479	-1	482	-1	-1	-1	1	479	
480	-1	483	-1	-1	-1	1	480	
481	-1	484	-1	-1	-1	1	481	
482	-1	486	-1	-1	-1	1	482	
483	-1	487	-1	-1	-1	1	483	
484	-1	488	-1	-1	-1	1	484	
485	-1	489	-1	-1	-1	1	485	
486	-1	489	-1	-1	-1	2	485	
487	-1	489	-1	-1	-1	3	485	
488	-1	489	-1	-1	-1	4	485	
489	-1	489	-1	-1	-1	5	485	
490	-1	489	-1	-1	-1	6	485	
491	-1	489	-1	-1	-1	7	485	
492	-1	489	-1	-1	-1	8	485	
493	-1	489	-1	-1	-1	9	485	
494	-1	490	-1	-1	-1	1	494	
495	-1	491	-1	-1	-1	1	495	
496	-1	492	-1	-1	-1	1	496	
497	-1	492	-1	-1	-1	2	496	
498	-1	492	-1	-1	-1	3	496	
499	-1	492	-1	-1	-1	4	496	
500	-1	492	-1	-1	-1	5	496	
501	-1	492	-1	-1	-1	6	496	
502	-1	492	-1	-1	-1	7	496	
503	-1	492	-1	-1	-1	8	496	
504	-1	492	-1	-1	-1	9	496	
505	-1	493	-1	-1	-1	1	505	
506	-1	494	-1	-1	-1	1	506	
507	-1	494	-1	-1	-1	2	506	
508	-1	494	-1	-1	-1	3	506	
509	-1	494	-1	-1	-1	4	506	
510	-1	494	-1	-1	-1	5	506	
511	-1	494	-1	-1	-1	6	506	
512	-1	494	-1	-1	-1	7	506	
513	-1	494	-1	-1	-1	8	506	
514	-1	494	-1	-1	-1	9	506	
515	-1	495	-1	-1	-1	1	515	
516	-1	495	-1	-1	-1	2	515	
517	-1	495	-1	-1	-1	3	515	
518	-1	495	-1	-1	-1	4	515	
519	-1	495	-1	-1	-1	5	515	
520	-1	495	-1	-1	-1	6	515	
521	-1	495	-1	-1	-1	7	515	
522	-1	495	-1	-1	-1	8	515	
523	-1	495	-1	-1	-1	9	515	
524	-1	496	-1	-1	-1	1	524	
525	-1	497	-1	-1	-1	1	525	
526	-1	498	-1	-1	-1	1	526	
527	-1	499	-1	-1	-1	1	527	
528	-1	499	-1	-1	-1	2	527	
529	-1	499	-1	-1	-1	3	527	
530	-1	499	-1	-1	-1	4	527	
531	-1	499	-1	-1	-1	5	527	
532	-1	499	-1	-1	-1	6	527	
533	-1	499	-1	-1	-1	7	527	
534	-1	499	-1	-1	-1	8	527	
535	-1	499	-1	-1	-1	9	527	
536	-1	500	-1	-1	-1	1	536	
537	-1	500	-1	-1	-1	2	536	
538	-1	500	-1	-1	-1	3	536	
539	-1	500	-1	-1	-1	4	536	
540	-1	500	-1	-1	-1	5	536	
541	-1	500	-1	-1	-1	6	536	
542	-1	500	-1	-1	-1	7	536	
543	-1	500	-1	-1	-1	8	536	
544	-1	500	-1	-1	-1	9	536	
545	-1	501	-1	-1	-1	1	545	
546	-1	502	-1	-1	-1	1	546	
547	-1	503	-1	-1	-1	1	547	
548	-1	504	-1	-1	-1	1	548	
549	-1	505	-1	-1	-1	1	549	
550	-1	506	-1	-1	-1	1	550	
551	-1	507	-1	-1	-1	1	551	
552	-1	507	-1	-1	-1	2	551	
553	-1	507	-1	-1	-1	3	551	
554	-1	507	-1	-1	-1	4	551	
555	-1	507	-1	-1	-1	5	551	
556	-1	507	-1	-1	-1	6	551	
557	-1	507	-1	-1	-1	7	551	
558	-1	507	-1	-1	-1	8	551	
559	-1	507	-1	-1	-1	9	551	
560	-1	508	-1	-1	-1	1	560	
561	-1	509	-1	-1	-1	1	561	
562	-1	510	-1	-1	-1	1	562	
563	-1	511	-1	-1	-1	1	563	
564	-1	512	-1	-1	-1	1	564	
565	-1	512	-1	-1	-1	2	564	
566	-1	512	-1	-1	-1	3	564	
567	-1	512	-1	-1	-1	4	564	
568	-1	512	-1	-1	-1	5	564	
569	-1	512	-1	-1	-1	6	564	
570	-1	512	-1	-1	-1	7	564	
571	-1	512	-1	-1	-1	8	564	
572	-1	512	-1	-1	-1	9	564	
573	-1	513	-1	-1	-1	1	573	
574	-1	513	-1	-1	-1	2	573	
575	-1	513	-1	-1	-1	3	573	
576	-1	513	-1	-1	-1	4	573	
577	-1	513	-1	-1	-1	5	573	
578	-1	513	-1	-1	-1	6	573	
579	-1	513	-1	-1	-1	7	573	
580	-1	513	-1	-1	-1	8	573	
581	-1	513	-1	-1	-1	9	573	
582	-1	514	-1	-1	-1	1	582	
583	-1	515	-1	-1	-1	1	583	
585	-1	517	-1	-1	-1	1	585	
586	-1	517	-1	-1	-1	2	585	
587	-1	517	-1	-1	-1	3	585	
588	-1	517	-1	-1	-1	4	585	
589	-1	517	-1	-1	-1	5	585	
590	-1	517	-1	-1	-1	6	585	
591	-1	517	-1	-1	-1	7	585	
592	-1	517	-1	-1	-1	8	585	
593	-1	517	-1	-1	-1	9	585	
594	-1	518	-1	-1	-1	1	594	
595	-1	519	-1	-1	-1	1	595	
596	-1	519	-1	-1	-1	2	595	
597	-1	519	-1	-1	-1	3	595	
598	-1	519	-1	-1	-1	4	595	
599	-1	519	-1	-1	-1	5	595	
600	-1	519	-1	-1	-1	6	595	
601	-1	519	-1	-1	-1	7	595	
602	-1	519	-1	-1	-1	8	595	
603	-1	519	-1	-1	-1	9	595	
604	-1	520	-1	-1	-1	1	604	
605	-1	521	-1	-1	-1	1	605	
606	-1	522	-1	-1	-1	1	605	
607	-1	523	-1	-1	-1	1	607	
608	-1	524	-1	-1	-1	1	608	
609	-1	525	-1	-1	-1	1	609	
610	-1	525	-1	-1	-1	2	609	
611	-1	525	-1	-1	-1	3	609	
612	-1	525	-1	-1	-1	4	609	
613	-1	525	-1	-1	-1	5	609	
614	-1	525	-1	-1	-1	6	609	
615	-1	525	-1	-1	-1	7	609	
616	-1	525	-1	-1	-1	8	609	
617	-1	525	-1	-1	-1	9	609	
618	-1	526	-1	-1	-1	1	618	
619	-1	526	-1	-1	-1	2	618	
620	-1	526	-1	-1	-1	3	618	
621	-1	526	-1	-1	-1	4	618	
622	-1	526	-1	-1	-1	5	618	
623	-1	526	-1	-1	-1	6	618	
624	-1	526	-1	-1	-1	7	618	
625	-1	526	-1	-1	-1	8	618	
626	-1	526	-1	-1	-1	9	618	
627	-1	527	-1	-1	-1	1	627	
628	-1	527	-1	-1	-1	2	627	
629	-1	527	-1	-1	-1	3	627	
630	-1	527	-1	-1	-1	4	627	
631	-1	527	-1	-1	-1	5	627	
632	-1	527	-1	-1	-1	6	627	
633	-1	527	-1	-1	-1	7	627	
634	-1	527	-1	-1	-1	8	627	
635	-1	527	-1	-1	-1	9	627	
636	-1	528	-1	-1	-1	1	627	
637	-1	529	-1	-1	-1	1	637	
638	-1	530	-1	-1	-1	1	638	
639	-1	531	-1	-1	-1	1	639	
640	-1	532	-1	-1	-1	1	640	
641	-1	533	-1	-1	-1	1	641	
642	-1	534	-1	-1	-1	1	642	
643	-1	535	-1	-1	-1	1	643	
644	-1	536	-1	-1	-1	1	644	
645	-1	537	-1	-1	-1	1	645	
646	-1	537	-1	-1	-1	2	645	
647	-1	537	-1	-1	-1	3	645	
648	-1	537	-1	-1	-1	4	645	
649	-1	537	-1	-1	-1	5	645	
650	-1	537	-1	-1	-1	6	645	
651	-1	537	-1	-1	-1	7	645	
652	-1	537	-1	-1	-1	8	645	
653	-1	537	-1	-1	-1	9	645	
654	-1	538	-1	-1	-1	1	654	
655	-1	538	-1	-1	-1	2	654	
656	-1	538	-1	-1	-1	3	654	
657	-1	538	-1	-1	-1	4	654	
658	-1	538	-1	-1	-1	5	654	
659	-1	538	-1	-1	-1	6	654	
660	-1	538	-1	-1	-1	7	654	
661	-1	538	-1	-1	-1	8	654	
662	-1	538	-1	-1	-1	9	654	
663	-1	539	-1	-1	-1	1	663	
664	-1	540	-1	-1	-1	1	664	
665	-1	541	-1	-1	-1	1	665	
								
							
1184	-1	1464	-1	-1	-1	1	1184	
1318	-1	1497	-1	-1	-1	1	1318	
1330	-1	1501	-1	-1	-1	1	1330	
1349	-1	1512	-1	-1	-1	1	1349	
1376	-1	1515	-1	-1	-1	1	1376	
1387	-1	1518	-1	-1	-1	1	1387	
1388	-1	1515	-1	-1	-1	2	1376	
1389	-1	1515	-1	-1	-1	3	1376	
1390	-1	1515	-1	-1	-1	4	1376	
1391	-1	1515	-1	-1	-1	5	1376	
1392	-1	1515	-1	-1	-1	6	1376	
1393	-1	1515	-1	-1	-1	7	1376	
1394	-1	1515	-1	-1	-1	8	1376	
1395	-1	1515	-1	-1	-1	9	1376	
1396	-1	1519	-1	-1	-1	1	1396	
