INT	INT	STRING	STRING	STRING	INT	FLOAT	INT	INT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT
10	1	Kích Lßu ÐÕi Pháp	Là cu¯n tâm pháp tu luy®n trong vòng 72 ngày cüa phái Minh Giáo, khiªn khí huyªt b¸ ðóng bång và ngh¸ch chuy¬n. Sau khi tu luy®n có th¬ nâng cao ngoÕi công lñc phòng ngñ cüa ð® tØ phái Minh Giáo. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_10	4	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
11	1	Li®t Di®m ÐÕi pháp	Là cu¯n tâm pháp tu luy®n trong vòng 72 ngày cüa phái Minh Giáo, khiªn máu chäy nhß nham thÕch, khí huyªt nhß b¸ lØa ð¯t. Sau khi tu luy®n có th¬ nâng cao ngoÕi công công kích cüa ð® tØ phái Minh Giáo. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nhât119#r#c 54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_11	2	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
12	1	Minh Tôn Thánh Höa Công	Mµt loÕi võ công quÖ quy®t do lão nhân Qu¡c S½n sáng l§p ra, khiªn møc tiêu ðánh sai phß½ng hß¾ng, làm cho møc tiêu không th¬ ð« phòng. Sau khi tu luy®n có th¬ nâng cao khí lên thßþng hÕn cüa ð® tØ phái Minh Giáo. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_12	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
13	2	Thái T± Trß¶ng Quy«n	Mµt bµ quy«n pháp do ðß½ng tri«u Thái T± Tri®u Khuông Dân sáng l§p ra, là mµt quy«n pháp th¸nh hành nh¤t · th¶i ÐÕi T¯ng. Sau khi tu luy®n có th¬ nâng cao tï l® chính xác cüa ð® tØ phái Cái Bang. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_13	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
14	2	Ð¸a Ðß¶ng Công	Nhæng loÕi võ công pha lçn v¾i nhau trên giang h°, chuy¬n phòng thü thành công kích, khiªn trong sñ chªt tìm ra ðßþc ðß¶ng s¯ng xót, là nhæng chiêu thÑc tuy ð½n  giän nhßng r¤t hæu døng. Sau khi tu luy®n có th¬ nâng cao tï l® né tránh cüa ð® tØ phái Cái Bang. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_14	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
15	2	Hàng Long Th§p Bát Chß·ng Thßþng Quy¬n	Thiên hÕ ð® nh¤t chß·ng pháp là loÕi võ công cüa phái Cái Bang ðßþc truy«n ð¶i này sang ð¶i khác. Quy¬n trß¾c cüa Hàng Long Th§p Bát Chß·ng chü tr÷ng v« tình thª ð¬ phát ra kÛ nång, khiªn møc tiêu không th¬ ðÞ kip. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ Cái Bang. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa1_15	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
16	2	C¥m Long Công	Trên giang h° bí m§t truy«n lßu Ðích th¥n công, luy®n ðªn cänh gi¾i thßþng th×a, có th¬ lång không Thü V§t, ÐoÕt Nhân binh khí. Tu t§p lúc sau có th¬ tång lên Cái Bang Ð® TØ Ðích ngoÕi công lñc phòng ngñ. #r#c54FF00H÷c T§p c¤p b§c 10	XinFa1_16	4	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
17	2	Kh¯ng HÕc Công	Mµt loÕi th¥n công ðã ðßþc trên giang h° bí m§t lßu truy«n, khi luy®n ðªn mµt cänh gi¾i thßþng hÕn thì có th¬ ðánh xuyên v§t cän, gây sát thß½ng cho møc tiêu trong phÕm vi 100 d£m. Sau khi tu luy®n có th¬ nâng cao ngoÕi công công kích cüa ð® tØ phái Cái Bang. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa2_1	2	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
18	2	Hàng Long Th§p Bát Ðß¶ng HÕ Quy¬n	Thiên hÕ ð® nh¤t chß·ng pháp là loÕi võ công cüa phái Cái Bang ðßþc truy«n ð¶i này sang ð¶i khác. Quy¬n sau cüa Hàng Long Th§p Bát Chß·ng chú tr÷ng v« ngh¸ch thª ð¬ hành ðµng, khiªn møc tiêu không th¬ ðÞ k¸p. Sau khi tu luy®n có th¬ nâng cao khí lên thßþng hÕn cüa ð® tØ phái Cái Bang. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa2_2	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
19	3	Âm Dß½ng Quyªt	ÐÕo gia cái g÷i là Âm Dß½ng, TÑc Âm Dß½ng tß½ng sinh tß½ng kh¡c, Càn Khôn h² trþ lçn nhau Chi Lý. Tu t§p lúc sau có th¬ tång lên Võ Ðang Ð® TØ Ðích M®nh Trung Su¤t. #r#c54FF00H÷c T§p c¤p b§c 10	XinFa2_3	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
20	3	LoÕn Hoàn Quyªt	ÐÕo giáo thß¶ng nói LoÕn Hoàn tÑc là hàng tråm biªn hoa ð«u t°n tÕi t× trong trái tim, xu¤t nh§p công thü ð«u có ðÕo lý khác nhau. Sau khi tu luy®n có th¬ nâng cao tÖ n® né tránh cüa ð® tØ phái Võ Ðang. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa2_4	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
21	3	Hß Thñc Quyªt	ÐÕo giáo thß¶ng nói Hß Thñc tÑc là tránh n£ng tìm nh©, lçn tránh sñ thñc ði tìm cái hß vô. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Võ Ðang. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa2_5	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
22	3	Thái Cñc Kiªm Pháp	Mµt loÕi kiªm pháp ðßþc tu t§p lÕi t× các võ h÷c cüa ðÕo giáo, coi tr÷ng v« tinh th¥n sØ døng kiªm pháp kéo dài vô t§n. Sau khi tu luy®n có th¬ nâng cao nµi công lñc phòng ngñ cüa ð® tØ Võ Ðang. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa2_6	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
23	3	Thái Cñc Quy«n Pháp	Mµt loÕi quy«n pháp ðßþc tu th§p lÕi t× các võ h÷c cüa ðÕo giáo, coi tr÷ng v« thái cñc viên chuy¬n, chï dùng ý, không dùng lñc. Sau khi tu luy®n có th¬ nâng cao nµi công lñc công kích cüa ð® tØ phái Võ Ðang. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa2_7	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
24	3	Nam Hoa Kinh	ÐÕo gia tiên hi«n thôn trang S· Trß¾c, Thiên Nhân Hþp Nh¤t Ðích võ h÷c chí lý TÑc t× giæa S· Ngµ. Tu t§p lúc sau có th¬ tång lên Võ Ðang Ð® TØ Ðích Khí hÕn mÑc cao nh¤t. #r#c54FF00H÷c T§p c¤p b§c 20	XinFa2_8	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
25	4	Th¥n Næ Quy«n Pháp	Võ công cüa phái Nga Mi ðßþc cho là loÕi võ công kÏ di®u và v×a ð©p m¡t, m²i mµt chiêu thÑc ð«u có ngu°n g¯c cüa mµt cô gái xinh ð©p · th¶i C± ÐÕi. Sau khi tu luy®n có th¬ nâng cao tï l® chính xác cüa ð® tØ phái Nga Mi. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa2_9	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
26	4	Th¥n Hæu Kinh	Là cu¯n tâm pháp cao thßþng nh¤t cüa ph§t môn, chú tr÷ng v« hµ th¬ phòng thân. Sau khi tu luy®n có th¬ nâng cao tï l® né tránh cüa ð® tØ phái Nga Mi. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa2_10	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
27	4	T¦y Tüy Kinh	Thi«n Tông ÐÕt Ma t± sß S· Trß¾c, chiªu sáng Li­u võ h÷c bên trong Dî t¦y tüy d¸ch cân Lai Khu ºa tr× tà Chi Lý. Tu t§p lúc sau có th¬ tång lên Nga Mi Ð® TØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 20	XinFa2_11	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
28	4	Thøc Næ Kiªm Pháp	Là loÕi kiªm pháp bí truy«n do ti«n b¯i nØ hi®p cüa phái Nga Mi sáng l§p ra, chiêu thÑc kiªm pháp nh© nhàng linh ðµng, chuyên v« phòng thü. Sau khi tu luy®n có th¬ nâng cao nµi công lñc phòng ngñ cüa ð® tØ phái Nga Mi. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa2_12	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
29	4	Quân TØ Kiªm Pháp	Phái Nga Mi ti«n b¯i hi®p khách Bí Truy«n Ðích kiªm pháp, kiªm thÑc thanh nhã tiêu sái, s¡c bén bÑc ngß¶i, thiên v« tiªn công. Tu t§p lúc sau có th¬ tång lên Nga Mi Ð® TØ Ðích nµi công lñc công kích. #r#c54FF00H÷c T§p c¤p b§c 10	XinFa2_13	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
30	4	Äm Nhiên Bi®t Ly Chß·ng	Là loÕi võ công không truy«n ra ngoài cüa phái Nga Mi, uy lñc bình thß¶ng, chï có khi nào g£p tình trÕng sinh ly tØ bi®t thì loÕi võ công này m¾i bÕo phát ra uy lñc kinh thiên ðµng ð¸a. Sau khi tu luy®n xong có thê nâng cao khí lên thßþng hÕn cüa ð® tØ phái Nga Mi. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa2_14	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
31	5	Hü Thi Công	Là loÕi võ công do Tinh Túc lão tiên Ðinh Xuân Thu sáng l§p ra, sØ døng nhæng ðµc thi ð¬ lâu ð¬ làm thành ch¤t ðµc và t¤n công møc tiêu, khiªn ð¯i thü không th¬ tr¯n tránh. Sau khi tu luy®n có th¬ nâng cao tï l® chính xác cüa ð® tØ phái Tinh Túc. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa2_15	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
32	5	Ngû Ðµc Công	Là loÕi th¥n công ðßþc hình thành b·i 5 loÕi ch¤t ðµc, nghe nói loÕi th¥n công này có ngu°n g¯c · Nam Phß½ng tên là Ngû Ðµc Giáo. Sau khi tu luy®n có th¬ nâng cao tï l® né tránh cüa ð® tØ phái Tinh Túc. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa2_16	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
33	5	Tam Tiªu Tiêu Dao Tán	KÏ Môn Ðµc Thu§t ðßþc sáng l§p ra b·i Tinh Túc lão tiên Ðinh Xuân Thu, v¾i thü ðoÕn quÖ quy®t và sØ døng ch¤t ðµc bá ðÕo ð¬ tiêu di®t ð¯i thü. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Tinh Túc. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_1	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
34	5	Th¥n Mµc Công	Mµt trong 3 loÕi tam bäo cüa Th¥n Mµc Vß½ng Ðïnh trong phái Tinh Túc, ¦n chÑa mµt Bí Kíp võ công ðã th¤t truy«n t× lâu. Sau khi tu luy®n có th¬ nâng cao nµi công lñc phòng ngñ cüa ð® tØ phái Tinh Túc. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_2	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
35	5	Thánh Thüy Kinh	Mµt trong 3 loÕi tam bäo cüa Thánh Thüy Vß½ng Tôn trong phái Tinh Túc, ¦n chÑa mµt Bí Kíp võ công ðã th¤t truy«n t× lâu. Sau khi tu luy®n có th¬ nâng cao nµi công lñc công kích cüa ð® tØ phái Tinh Túc. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_3	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
36	5	Bính M®nh Tam ThÑc	Phanh M®nh Tam ThÑc, v¾i loÕi chiêu thÑc này mu¯n cùng ð¯i thü chªt chung. Sau khi tu luy®n có th¬ nâng cao khí lên thßþng hÕn cüa ð® tØ phái Tinh Túc. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_4	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
37	6	Nh¤t Dß½ng Chï Chï Pháp	Gia truy«n tuy®t h÷c cüa Ðoàn Th¸ · nß¾c ÐÕi Lý, v§n hành nµi lñc toàn thân t§p trung vào ð¥u ngón tay, sØ døng Nh¤t Dß½ng Chï ð¬ kích bÕi ð¯i thü. Sau khi tu luy®n có th¬ nâng cao tï l® né tránh cüa ð® tØ phái Thiên Long. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_5	7	0.2	1	10	45	0.2	60	1.4	75	2.4	90	3.4	105	4.4	120	5.4	135	6.4	150	7.4	175	8.4	200	9.4
38	6	ÐÕi Lý Binh Pháp	Tiên t± cüa Ðoàn Th¸ · nß¾c ÐÕi Lý ðã sáng l§p ra mµt binh pháp chuyên v« kh¡c phøc ð¯i thü, ðã cho thª h® sau làm døng binh pháp này trong võ h÷c. Sau khi tu luy®n có th¬ nâng cao nµi công lñc phòng ngñ cüa ð® tØ phái Thiên Long. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_6	5	0.5	1	20	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
39	6	ÐÕo Dçn Thu§t	Mµt loÕi võ công chuyên dùng hô h¤p ð¬ luy®n khí, giúp cho c½ th¬ tr· nên cß¶ng tráng. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Thiên Long. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_7	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
40	6	Ðoàn Gia Quy«n Pháp	LoÕi quy«n pháp bí truy«n cüa Ðoàn Th¸, cao quý ði¬n nhã, chính ðÕi quang minh, v¯n có mµt phong thái uy nghiêm cüa hoàng tµc. Sau khi tu luy®n tu luy®n có th¬ nâng cao ngoÕi công lñc phòng ngñ cüa ð® tØ phái Thiên Long. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_8	4	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
41	6	Ðoàn Gia Kiªm Pháp	Kiªm pháp bí truy«n cüa Ðoàn Th¸, t¤n và lui ð«u có phß½ng hß¾ng, v¯n có mµt phong thái uy nghiêm cüa hoàng tµc. Sau khi tu luy®n có th¬ nâng cao ngoÕi công công kích cüa ð® tØ Thiên Long. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_9	2	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
42	6	Khô Thi«n	Th¥n công cüa Thiên Long Tñ ðßþc truy«n ð¶i này sang ð¶i khác, t¸nh t÷a tham thi«n, tâm vô bàng vø, nµi công và ph§t pháp hòa nguy®n vào nhau dçn ðªn mµt cänh gi¾i siêu phàm. Sau khi tu luy®n có th¬ nâng cao khí lên thßþng hÕn cüa ð® tØ phái Thiên Long. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_10	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
