INT	STRING	STRING	STRING	STRING	INT	STRING
35	白发日长厄困中(打一字)	困	栀	晦	2	长厄为栀
36	只见得红妆半露(打一神话人物)	女娲	织女	王母	2	红妆半露见只，即为织
37	说走就走(打一成语) 	言出必行	迫不及待	异想天开	1	说为言，走为行
38	四季少了夏秋冬(打一千家诗句)	风光不与四时同	长风万里送秋雁	最是一年春好处	3	句中无春便寻春
39	池无水，地无土（打一字）	也	难	哀	1	“池”去水字边，“地”去土字边
40	风吹起了刘海（打一草药）	连翘	当归	白丑	1	风吹即“翘”
41	三人看日出（打一字）	朋	春	泼	2	“三人日”组成“春”
42	草木无忧（打一植物）	勿忘我	忘忧草	富贵竹	2	无忧即为忘掉忧愁，与草组合便为忘忧草
43	日近黄昏（打一城市）	洛阳	开封	长安	1	黄昏即落阳
44	初为人母（打一称谓）	新娘	娘子	婆母	1	初为新，母为娘，即为新娘
45	今日一别乐融融（打一花卉）	月季	含笑花	杜鹃	2	今日一别，为含，乐融融为笑
46	纵是布衣也流芳（打一花卉）	夜来香	牡丹	白丁香	3	布衣为白丁，流芳为香
47	赏罚分明（打一人名）	法正	周瑜	庞统	1	律法公正
48	莫等闲，白了少年头，空悲切（打一人名）	迎春	探春	惜春	3	诗词是珍惜青春的意思，即惜春
49	长明灯（打一字）	月	灸	火	2	“灸”可上下拆成“久火”
50	芙蓉生在秋江上（打一花卉）	仙客来	荷花	水浮莲	3	秋江为水，浮起花莲
51	出阁红妆醉人眼（打一美酒）	花雕酒	女儿红	褚翠酒	2	出阁为女，红妆为红，即为女儿红
52	半青半紫（打一字）	靓	绊	素	3	取青上及紫下
53	饥荒（打一字）	贫	佝	欲	3	谷米欠缺，即为欲
54	斩草不除根	槽	早	良	2	除掉上层的草，便剩早
55	寒从夜半起（打红楼人物）	雪雁	冷子兴	秋桐	2	子时为夜半，寒气兴起，即为冷子兴
56	天天（打一字）	明	晦	熙	2	天天就是每日，即晦
57	望江亭（打一成语）	举案齐眉	来路不明	近水楼台	3	能看见江的亭子自然靠近水
58	美猴王去龙宫找武器（打一成语）	如虎添翼	不同凡响	大海捞针	3	美猴王的武器是金箍棒，在大海
59	千里相逢（打一字）	重	泄	水	1	“重”可上下拆成“千里”
60	林海无边（打一字）	梅	一	人	1	“林海”去掉偏旁组在一起就是“梅”字
