INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT							
14	14	1000	Buff0_10				npc_buff_02		Í·¶¥×´Ì¬µã	0	1	1	0	0		Ma tí: Không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, không có cách gì ðánh tïnh	-1	0	1	1							
15	15	1000	Buff0_11				buff_hunmi_01		Í·¶¥×´Ì¬µã	0	1	1	0	0		Hôn mê: Không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, có th¬ ðßþc ðánh tïnh	-1	0	1	1							
16	16	1000	Buff0_12				g01_buff38		Í·¶¥×´Ì¬µã	0	1	1	0	0		Th¤t h°n: Không th¬ di chuy¬n ðßþc, không th¬ thao tác, có th¬ b¸ công kích, có th¬ ðßþc ðánh tïnh	-1	0	1	1							
17	17	1000	Buff0_13				g01_em_buff38		Í·¶¥×´Ì¬µã	0	1	1	0	0		Th¤t minh: Di chuy¬n tùy c½, không th¬ thao tác, có th¬ b¸ công kích, không có cách gì ðánh tïnh	-1	0	1	1							
18	18	1000	Buff0_14		Skills\Common\fear_1.wav		npc_buff_07		Í·¶¥×´Ì¬µã	0	1	1	0	0		Sþ hãi: Di chuy¬n tùy c½, không th¬ thao tác, có th¬ b¸ công kích, không có cách gì ðánh tïnh	-1	0	1	1							
19	19	1000	Buff0_15		Skills\Sl\Sl_½ð¸Õ·üÄ§È¦_¶¨Éí.wav		g01_buff27		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Ð¸nh Thân: Trong trÕng thái ð¸nh thân có th¬ b¸ công kích, và không th¬ di chuy¬n	-1	0	1	1							
20	20	1000	Buff0_15				npc_buff_09		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Chèn Ch£n: Không Cách Gì Di Chuy¬n	-1	0	1	1							
21	21	1000	Buff0_16				buff_sangong_01		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Tán công: Không có cách gì có th¬ sØ døng b¤t kì kÛ nång nào cüa môn phái	-1	0	1	1							
22	22	1000	Buff0_16				g01_buff34		Í·¶¥×´Ì¬µã	0	1	1	0	0		Tñu c¥m: Không có cách gì có th¬ sØ døng b¤t kì kÛ nång nào cüa môn phái	-1	0	1	1							
23	23	1000	Buff1_1	g01_yanggetianjun		ÉíÌåÊÜ»÷µã	g01_buff100		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Cß½ng NghÕnh: T¯c Ðµ Di Chuy¬n Ch§m	-1	0	1	1							
24	24	1000	Buff1_2							0	1	1	0	0		Phá Tri«n: Giäm công kích	-1	0	1	1							
25	25	1000	Buff1_3							0	1	1	0	0		Phá Tri«n: Giäm phòng ngñ	-1	0	1	1							
26	26	1000	Buff1_4							0	1	1	0	0		Phá Tri«n: Giäm công kích và phòng ngñ	-1	0	1	1							
27	27	1000	Buff1_4							0	1	1	0	0		Phá Tri«n: Giäm kháng t¤t cä	-1	0	1	1							
28	28	1000	Buff1_4	g01_geanguanhuo		ÉíÌåÊÜ»÷µã				0	1	1	0	0		Phá Tri«n: Giäm ngoÕi phòng	-1	0	1	1							
29	29	1000	Buff1_4							0	1	1	0	0		Phá Tri«n: Giäm nµi phòng	-1	0	1	1							
30	30	1000	Buff1_4							0	1	1	0	0		Phá Tri«n: M· rµng sát thß½ng	-1	0	1	1							
31	31	1000	Buff1_4							0	1	1	0	0		Phá Tri«n: Giäm th¶i gian duy trì t¤n công	-1	0	1	1							
32	32	1000	Buff1_5							0	1	1	0	0		Hß nhßþc: Giäm gi¾i hÕn sinh lñc và khí	-1	0	1	1							
33	33	1000	Buff1_5							0	1	1	0	0		Hß Nhßþc: Giäm Thân Pháp	-1	0	1	1							
34	34	1000	Buff1_5							0	1	1	0	0		Hß nhßþc: Giäm cß¶ng lñc, nµi lñc	-1	0	1	1							
35	35	1000	Buff1_5							0	1	1	0	0		Hß nhßþc: Giäm th¬ lñc, trí lñc	-1	0	1	1							
36	36	8800	FightSkillDaLi_7							0	1	1	0	0		Hß Nhßþc: M· Rµng PhÕm Vi Sát Thß½ng	-1	0	1	1							
37	37	1000	Buff1_5							0	1	1	0	0		Hß Nhßþc: Giäm Công Kích	-1	0	1	1							
38	38	1000	Buff1_6							0	1	1	0	0		Ðông CÑng: Giäm Chính Xác	-1	0	1	1							
39	39	1000	Buff1_7							0	0	0	1	0		Cß¶ng Hoá: NgoÕi Công	-1	0	1	1							
40	40	1000	Buff1_8							0	0	0	1	0		Cß¶ng Hoá: Nµi Công	-1	0	1	1							
41	41	1000	Buff1_9							0	0	0	1	0		Cß¶ng Hoá: NgoÕi Thü	-1	0	1	1							
42	42	1000	Buff1_10							0	0	0	1	0		Cß¶ng Hoá: Nµi Thü	-1	0	1	1							
43	43	1000	Buff1_11							0	0	0	1	0		Cß¶ng Hoá: Công Kích	-1	0	1	1							
44	44	1000	Buff1_12							0	0	0	1	0		Cß¶ng Hoá: Phòng Ngñ	-1	0	1	1							
45	45	1000	Buff1_13							0	0	0	1	0		Cß¶ng Hoá: Công Phòng	-1	0	1	1							
46	46	1000	Buff1_14							0	0	0	1	0		Cß¶ng Hoá: Tính Kháng	-1	0	1	1							
47	47	1000	Buff1_15							0	0	0	1	0		Cß¶ng Hoá: Kháng Bång	-1	0	1	1							
48	48	1000	Buff1_16							0	0	0	1	0		Cß¶ng Hoá: Kháng Hoä	-1	0	1	1							
49	49	1000	Buff2_1							0	0	0	1	0		Cß¶ng Hoá: Kháng Ðµc	-1	0	1	1							
50	50	1000	Buff2_2							0	0	0	1	0		Cß¶ng Hoá: Kháng Huy«n	-1	0	1	1							
51	51	1000	Buff2_3	cw_jieli		Í·¶¥×´Ì¬µã				0	0	0	1	0		Cß¶ng Hoá: Cß¶ng Lñc	-1	0	1	1							
52	52	1000	Buff2_4	cw_ningshen		Í·¶¥×´Ì¬µã				0	0	0	1	0		Cß¶ng Hoá: Nµi Lñc	-1	0	1	1							
53	53	1000	Buff2_5	cw_qiangshen		Í·¶¥×´Ì¬µã				0	0	0	1	0		Cß¶ng Hoá: Th¬ Lñc	-1	0	1	1							
54	54	1000	Buff2_6	cw_yihun		Í·¶¥×´Ì¬µã				0	0	0	1	0		Cß¶ng Hoá: Trí Lñc	-1	0	1	1							
55	55	1000	Buff2_7	cw_jiasu		Í·¶¥×´Ì¬µã				0	0	0	1	0		Cß¶ng Hoá: Thân Pháp	-1	0	1	1							
56	56	1000	Buff2_8							0	0	0	1	0		Cß¶ng Hoá: Chính Xác	-1	0	1	1							
57	57	1000	Buff2_9							0	0	0	1	0		Cß¶ng Hoá: Né Tránh	-1	0	1	1							
58	58	1000	Buff2_10							0	0	0	1	0		Cß¶ng Hoá: Chí MÕng	-1	0	1	1							
59	59	1000	Buff2_11							0	0	0	1	0		Cß¶ng Hoá: Gi¾i HÕn Sinh Lñc	-1	0	1	1							
60	60	1000	Buff2_12							0	0	0	1	0		Tång Cß¶ng: NgoÕi Công	-1	0	1	1							
61	61	1000	Buff2_13							0	0	0	1	0		Tång Cß¶ng: Nµi Công	-1	0	1	1							
62	62	1000	Buff2_14							0	0	0	1	0		Tång cß¶ng: NgoÕi Công phòng ngñ	-1	0	1	1							
63	63	1000	Buff2_15							0	0	0	1	0		Tång Cß¶ng: Nµi Thü	-1	0	1	1							
64	64	1000	Buff2_16							0	0	0	1	0		Tång Cß¶ng: Bång Công	-1	0	1	1							
65	65	1000	Buff3_1							0	0	0	1	0		Tång Cß¶ng: Höa Công	-1	0	1	1							
66	66	1000	Buff3_2							0	0	0	1	0		Tång Cß¶ng: Ðµc Công	-1	0	1	1							
67	67	1000	Buff3_3							0	0	0	1	0		Tång Cß¶ng: Huy«n Công	-1	0	1	1							
68	68	1000	Buff3_4							0	0	0	1	0		Tång Cß¶ng: Kháng Bång	-1	0	1	1							
69	69	1000	Buff3_5							0	0	0	1	0		Tång Cß¶ng: Kháng Hoä	-1	0	1	1							
70	70	1000	Buff3_6							0	0	0	1	0		Tång Cß¶ng: Kháng Ðµc	-1	0	1	1							
71	71	1000	Buff3_7							0	0	0	1	0		Tång Cß¶ng: Kháng Huy«n	-1	0	1	1							
72	72	1000	Buff3_8							0	0	0	1	0		Tång Cß¶ng: Cß¶ng Lñc	-1	0	1	1							
73	73	1000	Buff3_9							0	0	0	1	0		Tång Cß¶ng: Nµi Lñc	-1	0	1	1							
74	74	1000	Buff3_10							0	0	0	1	0		Tång Cß¶ng: Th¬ Lñc	-1	0	1	1							
75	75	1000	Buff3_11							0	0	0	1	0		Tång Cß¶ng: Trí Lñc	-1	0	1	1							
76	76	1000	Buff3_12							0	0	0	1	0		Tång Cß¶ng: Thân Pháp	-1	0	1	1							
77	77	1000	Buff3_13							0	0	0	1	0		Tång Cß¶ng: Chính Xác	-1	0	1	1							
78	78	1000	Buff3_14							0	0	0	1	0		Tång Cß¶ng: Né Tránh	-1	0	1	1							
79	79	1000	Buff3_15							0	0	0	1	0		Tång Cß¶ng: Chí MÕng	-1	0	1	1							
80	80	1000	Buff3_16							0	0	0	1	0		Tång Cß¶ng: Gi¾i HÕn Sinh Lñc	-1	0	1	1							
81	81	1000	Buff4_1							0	0	0	1	0		Ð« Kháng: Khai Thang	-1	0	1	1							
82	82	1000	Buff4_2							0	0	0	1	0		Ð« Kháng: ThÕch Hoá	-1	0	1	1							
83	83	1000	Buff4_3							0	0	0	1	0		Ð« Kháng: Ma Tí	-1	0	1	1							
84	84	1000	Buff4_4							0	0	0	1	0		Ð« Kháng: Sþ Hãi	-1	0	1	1							
85	85	1000	Buff4_5							0	0	0	1	0		Ð« Kháng: Chèn Ch£n	-1	0	1	1							
86	86	1000	Buff4_6							0	0	0	1	0		Ð« Kháng: Ph® Huyªt	-1	0	1	1							
87	87	1000	Buff4_7							0	0	0	1	0		Ð« Kháng: Thú Ðµc	-1	0	1	1							
88	88	1000	Buff4_8							0	0	0	1	0		Ð« Kháng: Th¤t H°n	-1	0	1	1							
89	89	1000	Buff4_9							0	0	0	1	0		Ð« Kháng: Tñu C¥m	-1	0	1	1							
90	90	1000	Buff4_10							0	0	0	1	0		Ð« Kháng: Tán Công	-1	0	1	1							
91	91	1000	Buff4_11							0	0	0	1	0		Ð« Kháng: Vây Ch£t	-1	0	1	1							
92	92	1000	Buff4_12							0	0	0	1	0		Ð« Kháng: Hôn Mê	-1	0	1	1							
93	93	1000	Buff4_13							0	0	0	1	0		Ð« Kháng: Phong Huy®t	-1	0	1	1							
94	94	1000	Buff4_14							0	0	0	1	0		Ð« Kháng: Th¤t Minh	-1	0	1	1							
95	95	1000	Buff4_15							0	0	0	1	0		Ð« Kháng: Ð¸nh Thân	-1	0	1	1							
96	96	1000	Buff4_16							0	0	0	1	0		Vô Ð¸ch	-1	0	1	1							
97	15	1000	FightSkillMingJiao_9				buff_hunmi_01		Í·¶¥×´Ì¬µã	0	0	0	1	0		Ð¸a ngøc hoä: Hôn mê, không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, có th¬ ðßþc ðánh thÑc	-1	0	1	1							
98	98	1000	FightSkillEMei1_14							0	1	1	0	0		Ðông cÑng: Th¶i gian kÛ nång làm lÕnh ðßþc kéo dài	-1	0	1	1							
99	99	1000	Buff5_1							0	0	0	1	0		?N Thân S½ C¤p	-1	0	1	1							
100	100	1000	FightSkillShaoLin1_4				g01_buff10		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		Nh¤t vi ðµ giang: Tång t¯c ðµ di chuy¬n	-1	0	1	1							
101	21	1000	FightSkillShaoLin1_5	g01_sl_zdo_nianhuazhi_01	Skills\Sl\Sl_Äé»¨Ö¸_É¢¹¦.wav	ÉíÌåÊÜ»÷µã	buff_sangong_01		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Niêm Hoa Chï: Tän công, có th¬ di chuy¬n, nhßng không th¬ sØ døng b¤t cÑ chiêu thÑc nào	-1	0	1	1							
102	102	1000	FightSkillShaoLin1_6		Skills\Sl\Sl_ÂÞººÕó_Ð§¹û.wav					0	0	0	1	0		La hán tr§n: Tång ngoÕi thü	-1	0	1	1							
103	103	8500	FightSkillShaoLin1_9				g01_buff5		ÉíÌåÖÐÐÄµã	0	0	0	1	0		L­ Kính Nhß Lai: Phän Ðòn Sát Thß½ng	-1	0	1	1							
104	104	1000	FightSkillShaoLin1_15							0	0	0	1	0		Bàn nhßþc chß·ng: Cß¶ng hoá ngoÕi thü	-1	0	1	1							
105	105	1000	FightSkillShaoLin1_12							1	0	0	1	0		Thiªt b¯ sam: Nâng cao tính kháng và khí thª mÕnh m¨	-1	0	1	1							
106	106	7500	FightSkillShaoLin1_13				g01_buff109		ÉíÌåÖÐÐÄµã	0	0	0	1	0		Bách vô c¤m kÜ: Mi­n d¸ch v¾i hi®u quä x¤u. Không th¬ mi­n d¸ch v¾i hi®u quä x¤u có c¤p cao h½n tâm pháp cüa mình.	-1	0	1	1							
107	23	1000	FightSkillShaoLin1_15				g01_buff100		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Nh¤t phách lßÞng tán: Ðông cÑng, t¯c ðµ di chuy¬n giäm	-1	0	1	1							
108	105	1000	FightSkillShaoLin1_16							1	0	0	1	0		Vi ðà xØ: M· rµng phÕm vi sát thß½ng	-1	0	1	1							
109	109	1000	FightSkillShaoLin2_1							0	0	0	1	0		Khí Quan Trß¶ng H°ng: Tång Chí MÕng	-1	0	1	1							
110	110	7500	FightSkillShaoLin2_3	g01_sl_zdo_mingjingtai_01		ÉíÌåÊÜ»÷µã				0	0	0	1	0		Minh Kính Thai: Mi­n D¸ch Th¤t Minh	-1	0	1	1							
111	111	8500	FightSkillShaoLin2_4				g01_buff7		ÉíÌåÖÐÐÄµã	0	0	0	1	0		Kim Cang B¤t HoÕi Th¬: Sát thß½ng giäm	-1	0	1	1							
112	100	1000	FightSkillMingJiao_4				g01_buff45_01		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		QuÏ hoa trøc nh§t: Tång t¯c ðµ di chuy¬n	-1	0	1	1							
113	13	1000	FightSkillMingJiao_5	all_bj0000		ÉíÌåÊÜ»÷µã	buff_fengxue_01		ÉíÌåÊÜ»÷µã	0	1	1	0	0		QuÏ hoa ði¬m huy®t thü: Phong huy®t, không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, không có cách nào ðánh tïnh	-1	0	1	1							
114	114	1000	FightSkillMingJiao_6							0	0	0	1	0		QuÏ Hoa Hß¾ng Dß½ng: Tång ngoÕi công	-1	0	1	1							
115	115	8000	FightSkillMingJiao_7				g01_buff8		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		Nµ Phát Xung Quan: TrÕng thái cu°ng bÕo, hi sinh phòng ngñ tång ngoÕi công	-1	0	1	1							
116	116	8000	FightSkillMingJiao_8	g01_mj_zdo_huiguangfanzhao		Í·¶¥×´Ì¬µã				0	0	0	1	0		Lý ðÕo ðào cß½ng: Sau khi tr÷ng thß½ng có th¬ phøc h°i ðü	-1	0	1	1							
117	117	1000	FightSkillMingJiao_12							1	0	0	1	0		Thüy th¥n hÕ phàm: TrÕng thái phòng ngñ, nâng cao khí thª sÑc mÕnh, trÕng thái này có th¬ khiªn møc tiêu r½i vào trÕng thái Phá Tri«n	-1	0	1	1							
118	117	1000	FightSkillMingJiao_16							1	0	0	1	0		Höa th¥n hÕ phàm: TrÕng thái công kích, nâng cao chính xác và chí mÕng	-1	0	1	1							
119	119	7500	FightSkillMingJiao1_3				g01_buff18		ÉíÌåÊÜ»÷µã	0	0	0	1	0		ToÕ Ð¸a C¥u Toàn: Mi­n D¸ch Tán Công	-1	0	1	1							
120	120	1000	FightSkillMingJiao_15							0	0	0	1	0		Nguy®t dÕ träm: NgoÕi công tång	-1	0	1	1							
121	121	8500	FightSkillMingJiao1_4				g01_mj_ÎÞÖÐÉú		ÉíÌåÖÐÐÄµã	0	0	0	1	0		Vô trung sinh hæu: Công kích không quan tâm phòng ngñ cüa ð¯i phß½ng	-1	0	1	1							
122	100	1000	FightSkillGaiBang1_4				g01_buff10		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		Bát Bµ Cän Thi«m: Tång t¯c ðµ di chuy¬n	-1	0	1	1							
123	21	1000	FightSkillGaiBang1_5	g01_gb_zdo_qianlongwuyong		ÉíÌåÊÜ»÷µã	buff_sangong_01		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Tuyªt Nê H°ng Träo: Tän công, có th¬ di chuy¬n, nhßng không th¬ sØ døng b¤t cÑ chiêu thÑc nào	-1	0	1	1							
124	124	1000	FightSkillGaiBang1_6	g01_gb_buff113_01		½ÅÏÂ¹âÈ¦µã				0	0	0	1	0		Niêm y th§p bát ði®t: Tång né tránh	-1	0	1	1							
125	17	1000	FightSkillGaiBang1_8				g01_gb_buff101		Í·¶¥×´Ì¬µã	0	1	1	0	0		Ti«m Long V§t Døng: Trong trÕng thái th¤t binh không th¬ thñc hi®n b¤t cÑ thao tác nào, chÕy loÕn trong khu vñc nhö, có th¬ b¸ công kích.	-1	0	1	1							
126	126	1000	FightSkillGaiBang1_12							1	0	0	1	0		C¥m long thÑc: TrÕng thái phòng ngñ, có ðßþc sÑc mÕnh t¯c ðµ tång, trÕng thái này công kích có vài ði¬m hß nhßþc chính xác cüa møc tiêu	-1	0	1	1							
127	126	1000	FightSkillGaiBang1_16							1	0	0	1	0		Kh¯ng hÕc thÑc: TrÕng thái công kích, có ðßþc nång lñc 3 l¥n liên tiªp ra ðòn, KÛ nång khi xu¤t chiêu có th¬ có ðßþc 2 l¥n ðánh liên tiªp	-1	0	1	1							
128	128	8500	FightSkillGaiBang_1				g01_gb_zhanlongjue_2		ÉíÌåÊÜ»÷µã	0	0	0	1	0		Læ Sß½ng Bång Chï: Tång g¤p ðôi sát thß½ng gây ra	-1	0	1	1							
129	129	1000	FightSkillGaiBang1_9							0	0	0	1	0		Kiªn long tÕi ði«n: TrÕng thái trúng ðµc, khiªn cho møc tiêu công kích trúng ðµc	-1	0	1	1							
130	130	7500	FightSkillGaiBang_3							0	0	0	1	0		Th¥n Long Bài Vî: Mi­n d¸ch hôn mê, ð¸nh thân	-1	0	1	1							
131	131	8500	FightSkillGaiBang_4				g01_gb_buff114_01		ÉíÌåÖÐÐÄµã	0	0	0	1	0		Long Chiªn Vu Dã: Tång Né Tránh	-1	0	1	1							
132	23	1000	FightSkillWuDang1_4	g01_yanggetianjun		ÉíÌåÊÜ»÷µã	g01_buff116		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Tam hoàn sáo nguy®t: Ðông cÑng, giäm t¯c ðµ di chuy¬n	-1	0	1	1							
133	15	1000	FightSkillWuDang1_5				buff_hunmi_01		Í·¶¥×´Ì¬µã	0	1	1	0	0		Lãm tß¾c vî: Hôn mê, không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, có th¬ ðßþc ðánh tïnh	-1	0	1	1							
134	134	1000	FightSkillWuDang1_6							0	0	0	1	0		Thiên Canh B¡c Ð¦u Tr§n: Tång khí	-1	0	1	1							
135	135	1000	FightSkillWuDang1_3				g01_wd_zhenwuqijiezhen_01		ÉíÌåÊÜ»÷µã	0	0	1	0	1	×óÎäÆ÷°ó¶¨µã	LßÞng Nghi Kiªm: Liên Ðä	-1	0	1	1							
136	136	8500	FightSkillWuDang1_8				g01_wd_zhinanzhen_01		ÉíÌåÊÜ»÷µã	0	0	1	0	1	×óÎäÆ÷°ó¶¨µã	Nhß phong tñ bª: Phong ¤n, không th¬ di chuy¬n, không có cách nào thñc hi®n ðßþc các kÛ nång môn phái	-1	0	1	1							
137	137	1000	FightSkillWuDang1_12							1	0	0	1	0		Thiêu liêm thÑc: TrÕng thái phòng ngñ, nâng cao sÑc mÕnh, trÕng thái này công kích có th¬ khôi phøc ðßþc khí cho bän thân	-1	0	1	1							
138	138	8500	FightSkillWuDang1_13				g01_buff118		ÉíÌåÖÐÐÄµã	0	0	0	1	0		Lßu tinh cän nguy®t: TrÕng thái này có th¬ dùng giäm khí ð¬ tiêu ði vªt thß½ng trên mình	-1	0	1	1							
139	19	1000	FightSkillWuDang1_15				g01_buff38		Í·¶¥×´Ì¬µã	0	1	1	0	0		Ng÷c næ xuyên thoa:Ð¸nh thân, không th¬ di chuy¬n	-1	0	1	1							
140	137	1000	FightSkillWuDang1_16							1	0	0	1	0		Tà phi thÑc: TrÕng thái công kích, tång chí mÕng	-1	0	1	1							
141	141	8000	FightSkillWuDang2_1				g01_buff119		Í·¶¥×´Ì¬µã	0	0	0	1	0		BÕch hÕc lßþng sí: Tång sát thß½ng cüa kÛ nång	-1	0	1	1							
142	142	7500	FightSkillWuDang2_3				g01_buff5_01		ÉíÌåÊÜ»÷µã	0	0	0	0	0		Vô Giäi Khä Kích: Mi­n D¸ch Phong Huy®t	-1	0	1	1							
143	143	1000	FightSkillEMei1_4	all_em_bj00000		ÉíÌåÊÜ»÷µã	g01_em_piaoxuechuanyun_lx		ÉíÌåÊÜ»÷µã	0	0	1	0	1	×óÎäÆ÷°ó¶¨µã	Kim ðính miên chß·ng: Khiªn cho møc tiêu liên tøc b¸ thß½ng	-1	0	1	1							
144	17	1000	FightSkillEMei1_5				g01_em_buff38		Í·¶¥×´Ì¬µã	0	0	0	1	0		Nguy®t lÕc tây san: Th¤t minh, không có cách nào kh¯ng chª, di chuy¬n tùy c½	-1	0	1	1							
145	145	1000	FightSkillEMei1_9				g01_em_jq_zdo_ÆÐÌá»¤Ìå		ÉíÌåÖÐÐÄµã	0	0	0	1	0		Duyên niên ích th÷: Bäo v® c½ th¬, tránh khöi b¸ thß½ng	-1	0	1	1							
146	146	1000	FightSkillEMei1_11	g01_em_sf_zdo_»ØÐÄ¾÷		ÉíÌåÊÜ»÷µã				0	0	0	1	0		H°i Thiên Thu§t: Liên Tøc H°i Hp	-1	0	1	1							
147	147	1000	FightSkillEMei1_12							1	0	0	1	0		Tuy®t Kiªm ThÑc: TrÕng thái phòng ngñ, tång khä nång chuy¬n hóa nµ khí, khi · trong trÕng thái này th¶i gian thi tri¬n Xung Hß DßÞng Khí b¸ giäm 50%.	-1	0	1	1							
148	147	1000	FightSkillEMei1_16							1	0	0	1	0		Di®t kiªm thÑc: TrÕng thái công kích, trÕng thái này công kích có th¬ làm giäm sinh lñc và khí cüa møc tiêu	-1	0	1	1							
149	149	7500	FightSkillEMei2_3							0	0	0	1	0		Hành thi t¦u nhøc: Mi­n d¸ch vây ch£t, ð¸nh thân	-1	0	1	1							
150	150	7600	FightSkillEMei2_4				g01_buff118_01		ÉíÌåÊÜ»÷µã	0	0	0	1	0		Ngai Nhßþc Mµc Kê: TrÕng thái, vô ð¸ch, nhßng không có cách nào sØ døng ðßþc KÛ nång cüa môn phái	-1	0	1	1							
151	151	8500	FightSkillEMei2_1							0	0	0	1	0		Träm tình quyªt: TrÕng thái, Giäm th¶i gian tø khí	-1	0	1	1							
152	23	1000	FightSkillXinXiu1_4	g01_xx_sf_zdo_Ð«Î²Õë		ÉíÌåÊÜ»÷µã	g01_xx_sf_zt_Ð«Î²Õë		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		HÕt vî châm: Ðông cÑng, t¯c ðµ di chuy¬n giäm	-1	0	1	1							
153	17	1000	FightSkillXinXiu1_5				buff_shiming_01		Í·¶¥×´Ì¬µã	0	1	1	0	0		Ðµc Thi«m Công: Th¤t minh, không th¬ tñ ði«u khi¬n nhân v§t - chÕy loÕn	-1	0	1	1							
154	154	1000	FightSkillXinXiu1_6	g01_xx_buff_wugongzhen		ÉíÌåÊÜ»÷µã				0	0	0	1	0		Ngô công tr§n: Tång nµi thü	-1	0	1	1							
155	155	1000	FightSkillXinXiu1_7				g01_xx_lx_shixueyixiao		ÉíÌåÊÜ»÷µã	0	0	1	0	1	×óÎäÆ÷°ó¶¨µã	Tiªu Lý Tàng Ðao: H¤p Huyªt	-1	0	1	1							
156	116	8000	FightSkillXinXiu1_9	g01_xx_hanxiaojiuquan		ÉíÌåÊÜ»÷µã				0	0	0	1	0		Hàm Tiªu CØu Tuy«n: Sau Khi Chªt Có Th¬ S¯ng LÕi	-1	0	1	1							
157	37	1000	FightSkillXinXiu1_8				g01_buff100		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Tiªu lý tàng ðao: Có thuµc tính hß nhßþc	-1	0	1	1							
158	158	1000	FightSkillXinXiu1_8							0	0	0	1	0		Ðàm tiªu tñ nhßþc: Dçn ðÕo không b¸ ðánh ðoÕn	-1	0	1	1							
159	159	1000	FightSkillXinXiu1_12							1	0	0	1	0		Mµc ðµn: TrÕng thái phòng ngñ, sÑc mÕnh tång lên, mÑc HP tång	-1	0	1	1							
160	160	1000	FightSkillXinXiu1_13				g01_xx_yd_huachenwuxing_01		ÉíÌåÊÜ»÷µã	0	0	1	0	1	×óÎäÆ÷°ó¶¨µã	Chï Lµc Vi Mã: Liên Tøc Hút SÑc MÕnh	-1	0	1	1							
161	161	1000	FightSkillXinXiu1_16							1	0	0	1	0		Thüy ðµn: TrÕng thái công kích, nguy«n rüa b¸ ngß¶i công kích	-1	0	1	1							
162	33	8600	FightSkillXinXiu2_2							0	1	1	0	0		Hoá huyªt miên chß·ng: Suy yªu, giäm sinh lñc	-1	0	1	1							
