INT	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING
9	Quét ngang Mçu Ğan Uy¬n	0	1	0	1006-1900	1006-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
10	Quét ngang Mçu Ğan Uy¬n	0	1	0	1103-1900	1103-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
11	Quét ngang Mçu Ğan Uy¬n	0	1	0	1201-1900	1201-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
12	Quét ngang Mçu Ğan Uy¬n	0	1	0	0121-1900	0121-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
13	Quét ngang Mçu Ğan Uy¬n	0	1	0	0218-1900	0218-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
14	Quét ngang Mçu Ğan Uy¬n	0	1	0	0317-1900	0317-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
15	Quét ngang Mçu Ğan Uy¬n	0	1	0	0421-1900	0421-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
16	Quét ngang Mçu Ğan Uy¬n	0	1	0	0519-1900	0519-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
17	Quét ngang Mçu Ğan Uy¬n	0	1	0	0616-1900	0616-2300	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333, #c00850Etâm pháp c¤p b§c Ğô =C¤p 30#c333333Ğích ngß¶i ch½i chï c¥n tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû Tñu Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5Ğ°ng Quán(204, 57)#c333333, #c00850EĞÕi Lı#cAD3ED5HÕ Thanh Thanh(282, 95)#c333333, #c00850ETô Châu#cAD3ED5Vu Sänh Sänh(187, 148)#c333333XØ tham dñ#cFF9A00Xúc Cúc ğÕi tái#c333333hoÕt ğµng, cu¯i cùng khiêu chiªn Xúc Cúc mß¶i ba Muµi#cFF9A00Tôn Mî Mî#c333333. Ğánh bÕi#cFF9A00Tôn Mî Mî#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	LÕc Dß½ng Ğ°ng Quán, ĞÕi Lı HÕ Thanh Thanh, Tô Châu Vu Sänh Sänh		Huodong_6		30	
78	Hoa S½n lu§n kiªm	0	1	2	2-1900	2-2032	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333Các môn phái ngß¶i ch½i Ğô Khä ği trß¾c#c00850ETô Châu#cAD3ED5Tô Kiªm Lînh(193, 138)#c333333XØ báo danh tham gia#cFF9A00Hoa S½n lu§n kiªm#c333333, Tân Ğích Hoa S½n lu§n kiªm chia làm môn phái TrÕi Hoà cá nhân TrÕi Lßşng bµ ph§n, môn phái TrÕi Trung t×ng môn phái#c00850EHÕn 30Nhân#c333333, các môn phái TÕi môn phái TrÕi Trung Ğích#c00850EthÑ nh¤t Danh#c333333ğ«u có tß cách tiªp tøc tham gia cá nhân TrÕi.	Tô Châu Tô Kiªm Lînh		Huodong_4		30	
80	Hoa S½n lu§n kiªm	0	1	2	4-1900	4-2032	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333Các môn phái ngß¶i ch½i Ğô Khä ği trß¾c#c00850ETô Châu#cAD3ED5Tô Kiªm Lînh(193, 138)#c333333XØ báo danh tham gia#cFF9A00Hoa S½n lu§n kiªm#c333333, Tân Ğích Hoa S½n lu§n kiªm chia làm môn phái TrÕi Hoà cá nhân TrÕi Lßşng bµ ph§n, môn phái TrÕi Trung t×ng môn phái#c00850EHÕn 30Nhân#c333333, các môn phái TÕi môn phái TrÕi Trung Ğích#c00850EthÑ nh¤t Danh#c333333ğ«u có tß cách tiªp tøc tham gia cá nhân TrÕi.	Tô Châu Tô Kiªm Lînh		Huodong_4		30	
81	Bào Thß½ng Nh§t	0	1	2	6-0000	6-2359	#c00850EM²i Chu Løc#c333333t¤t cä ngß¶i ch½i TÕi bang hµi thành th¸ tài chính Quan Viên#cAD3ED5Ti«n làm mµt#c333333XØ, thông qua#cFF9A00Bào Thß½ng#c333333nh§n ğßşc Ğích#cFF9A00ti«n l¶i#c333333ğô hµi có ği«u#c00850Egia tång#c333333.	Bang phái thành th¸ Ti«n làm mµt		Huodong_2		0	
82	Bang phái hi®u su¤t bän sao	0	1	2	6-1300	6-2200	T¤t cä#c00850Egia nh§p bang hµi Ğích ngß¶i ch½i#c333333chï c¥n tiêu phí#c00850E20Bang C¯ng#c333333TÕi bang hµi thành th¸ Trung Ğích Võ Sñ Quan Viên#cAD3ED5Võ ĞÕi Uy#c333333XØ ğ±i l¤y#cFF9A00Ngân Phi Linh Ti­n#c333333H§u, Tái tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû, Tñu Khä ği trß¾c#c00850EKính H°#cAD3ED5T« Sát Vân(199, 54)#c333333XØ tham gia hoÕt ğµng, tiêu di®t Kính H° ThuÖ Phï Hoà#cFF9A00Kính H° ThuÖ Phï Ğ¥u Lãnh#c333333.	Kính K°		Huodong_5		20	
84	ThuÖ v§n Nh§t	0	1	2	0-0000	0-2359	#c00850EM²i Chu Nh§t#c333333t¤t cä ngß¶i ch½i TÕi#cFF9A00thuÖ v§n#c333333trong quá trình nh§n ğßşc Ğích#c00850Eti«n l¶i#c333333ğ«u mu¯n#c00850EPhiên Bµi#c333333.	B±n Nh§t Ğích thuÖ v§n ích lşi Phiên Bµi		Huodong_1		0	
85	Thiên T¥m hoÕt ğµng	0	1	2	5-0000	5-2359	Có th¬ cùng v¾i Nhî Hæu#c00850Eth¥y trò quan h®#c333333, #c00850Ekªt nghîa quan h®#c333333, #c00850Evş ch°ng quan h®#c333333Ğích ngß¶i ch½i cùng nhau t± ğµi ği trß¾c#c00850ETô Châu#cAD3ED5Tä Ğ°ng(129, 213)#c333333XØ b¡t ğ¥u#cFF9A00Thiên T¥m hoÕt ğµng#c333333, ğang ği trß¾c các trß¶ng cänh tång trß·ng kiªn thÑc, tång lên kinh nghi®m.	Tô Châu Tä Ğ°ng(129, 213)		Huodong_15		0	
86	Hoa S½n lu§n kiªm	0	1	2	0-1500	0-1632	T¤t cä#c00850Ec¤p b§c =C¤p 30#c333333Các môn phái ngß¶i ch½i Ğô Khä ği trß¾c#c00850ETô Châu#cAD3ED5Tô Kiªm Lînh(193, 138)#c333333XØ báo danh tham gia#cFF9A00Hoa S½n lu§n kiªm#c333333, Tân Ğích Hoa S½n lu§n kiªm chia làm môn phái TrÕi Hoà cá nhân TrÕi Lßşng bµ ph§n, môn phái TrÕi Trung t×ng môn phái#c00850EHÕn 30Nhân#c333333, các môn phái TÕi môn phái TrÕi Trung Ğích#c00850EthÑ nh¤t Danh#c333333ğ«u có tß cách tiªp tøc tham gia cá nhân TrÕi.	Tô Châu Tô Kiªm Lînh		Huodong_4		30	
87	Ğánh Lén Môn Phái	0	1	1	0-1000	0-1030	#c00850EGiang H° Tiêu Ti¬u#c333333qu¤y r¥y Các ğÕi môn phái, t¤t cä#c00850Ec¤p b§c =C¤p 20#c333333Ğích giang h° hi®p sî Khä Dß B¸ qu¤y r¥y môn phái ğ® tØ tÕo thành#c00850E3Nhân ğã ngoài#c333333Ğích ğµi ngû ğánh lui Lâu LÕc cùng b÷n chúng Ğích ğ¥u møc#cFF9A00ºa Bá#c333333. Nhî Tß¾ng m¾i có th¬ nh§n ğßşc#cFF9A00võ công bí t¸ch#c333333, #cFF9A00Yêu Quyªt#c333333Hoà#cFF9A00mµt b§c bäo thÕch#c333333ĞÆng. Ğánh bÕi#cFF9A00ºa Bá#c333333H§u Khä nh§n ğßşc#cFF9A00sinh ğµng Tr¸#c333333.	TuÏ C½ phát sinh TÕi Th§p ğÕi môn phái				20	
88	Thi ğ¤u th¬ thao Trß¶ng Bäo Tß½ng	0	1	1	0-1045	0-2359	Tiªn vào phong thi®n Ğài cùng v¾i Tha ngß¶i ch½i cuµc ğua#c00850EVõ Lâm Minh Chü#c333333, tranh ğoÕt tßşng trßng Võ Lâm Minh Chü ğ¸a v¸ Ğích#cFF9A00minh chü ğai lßng#c333333. Khä ği trß¾c#c00850ELÕc Dß½ng#cAD3ED5HÕ H¥u Nhân(154, 108)#c333333, #c00850EĞÕi Lı#cAD3ED5BÕch Sùng Nghîa(178, 132)#c333333, #c00850ETô Châu#cAD3ED5HÕ ToÕi Lß½ng(187, 129)#c333333, #c00850EThúc Hà C± Tr¤n#cAD3ED5Vß½ng Tiêu(154, 130)#c333333XØ tham dñ hoÕt ğµng.	Các thành th¸ Nµi Ğích thi ğ¤u th¬ thao Trß¶ng Tiªp Dçn Nhân				35	
89	Tiêu di®t Thiên Niên Bång Phách	0	1	1	0-1030	0-2359	TÕi#c00850EVû Di#c333333xu¤t hi®n Ğích dã ngoÕi BOSSQu¥n, ğä bÕi#cFF9A00Thiên Niên Bång Phách#c00850E(C¤p 80 BOSS)#c333333m¾i có th¬ nh§n ğßşc: #cFF9A00võ công Yêu Quyªt#c333333, #cFF9A00cuµc s¯ng kÛ nång tài li®u#c333333, #cFF9A00cß¶ng hóa tài li®u#c333333ĞÆng.	Tiêu di®t Vû Di S½n Ğích Thiên Niên Bång Phách Hoà chín Bång Yêu				80	
90	Bäo Tß½ng tranh ğoÕt	0	1	1	0-1015	0-2359	TÕi#c00850EThánh Thú S½n#cAD3ED5Bäo Tß½ng(142, 112)#c333333XØ ğ¬ ğ£t Ğích Trang Hæu ğÕi lßşng tài bäo Ğích Bäo Tß½ng. #cFF9A00cao c¤p Trân Thú kÛ nång Thß#c333333, ğÕi lßşng Ğích#cFF9A00Kim T®#c333333cu¯i cùng Quy ThuÏ t¤t cä Ni?	Xác ğ¸nh ğ¸a ği¬m TÕi Thánh Thú S½n Loát Xu¤t				21	
