INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT
11	0	1201-1900	1201-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
12	0	0121-1900	0121-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
13	0	0218-1900	0218-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
14	0	0317-1900	0317-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
15	0	0421-1900	0421-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
16	0	0519-1900	0519-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
17	0	0616-1900	0616-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
78	2	2-1900	2-2032	0	0	华山论剑	苏州苏剑岭		Huodong_4	    所有#G等级≥30级#W各门派玩家都可前往#G苏州#R苏剑岭#{_INFOAIM193,138,1,苏剑岭}#W处报名参加#Y华山论剑#W，新的华山论剑分为门派赛和个人赛两部分，门派赛中每个门派#G限30人#W，各个门派在门派赛中的#G第一名#W都有资格继续参加个人赛。	1	去#G苏州#R苏剑岭#{_INFOAIM193,138,1,苏剑岭}#W参与论剑	30
80	2	4-1900	4-2032	0	0	华山论剑	苏州苏剑岭		Huodong_4	    所有#G等级≥30级#W各门派玩家都可前往#G苏州#R苏剑岭#{_INFOAIM193,138,1,苏剑岭}#W处报名参加#Y华山论剑#W，新的华山论剑分为门派赛和个人赛两部分，门派赛中每个门派#G限30人#W，各个门派在门派赛中的#G第一名#W都有资格继续参加个人赛。	1	去#G苏州#R苏剑岭#{_INFOAIM193,138,1,苏剑岭}#W参与论剑	30
81	2	6-0000	6-2359	0	0	跑商日	帮派城市钱为一		Huodong_2	    #G每周六#W所有玩家在帮会城市财政官员#R钱为一#W处，通过#Y跑商#W获得的#Y收益#W都会有所#G增加#W。	0		0
82	2	6-1300	6-2200	0	0	帮派效率副本	镜湖		Huodong_5	    所有#G加入帮会的玩家#W只需花费#G20帮贡#W在帮会城市中的武事官员#R武大威#W处换取#Y银纰令箭#W后，再组成#G3人以上#W的队伍，就可前往#G镜湖#R齐煞云#{_INFOAIM199,54,5,齐煞云}#W处参加活动，剿灭镜湖水匪和#Y镜湖水匪头领#W。	1	去#G镜湖#R齐煞云#{_INFOAIM199,54,5,齐煞云}#W参加剿匪	20
84	2	0-0000	0-2359	0	0	漕运日	本日的漕运利益翻倍		Huodong_1	    #G每周日#W所有玩家在#Y漕运#W过程中获得的#G收益#W都将#G翻倍#W。	0		0
85	2	5-0000	5-2359	0	0	千寻活动	苏州左桐（129，213）		Huodong_15	    可以和与你有#G师徒关系#W、#G结义关系#W、#G夫妻关系#W的玩家一起组队前往#G苏州#R左桐#{_INFOAIM129,213,1,左桐}#W处开始#Y千寻活动#W，一同前往各个场景增长见识，提升经验。	0		0
86	2	0-1500	0-1632	0	0	华山论剑	苏州苏剑岭		Huodong_4	    所有#G等级≥30级#W各门派玩家都可前往#G苏州#R苏剑岭#{_INFOAIM193,138,1,苏剑岭}#W处报名参加#Y华山论剑#W，新的华山论剑分为门派赛和个人赛两部分，门派赛中每个门派#G限30人#W，各个门派在门派赛中的#G第一名#W都有资格继续参加个人赛。	1	去#G苏州#R苏剑岭#{_INFOAIM193,138,1,苏剑岭}#W参与论剑	30
87	1	0-1000	0-1030	0	0	偷袭门派	随机发生在十大门派			    #G江湖宵小#W滋扰各大门派，所有#G等级≥20级#W的江湖侠士可与被滋扰门派的弟子组成#G3人以上#W的队伍击退喽啰与他们的头目#Y恶霸#W。你将有可能获得#Y武功秘籍#W、#Y要诀#W和#Y一级宝石#W等。击败#Y恶霸#W后可获得#Y活跃值#W。	1	随机出现在十大门派的江湖宵小	20
88	1	0-1045		0	0	竞技场宝箱	各城市内的竞技场接引人			    进入封禅台与其他玩家角逐#G武林盟主#W，争夺象征武林盟主地位的#Y盟主腰带#W。可前往#G洛阳#R夏侯仁#{_INFOAIM154,108,0,夏侯仁}#W、#G大理#R白崇义#{_INFOAIM178,132,2,白崇义}#W、#G苏州#R夏遂良#{_INFOAIM187,129,1,夏遂良}#W、#G束河古镇#R王潇#{_INFOAIM154,130,260,王潇}#W处参与活动。	1	在#G洛阳#R夏侯仁#{_INFOAIM154,108,0,夏侯仁}#W、#G大理#R白崇义#{_INFOAIM178,132,2,白崇义}#W、#G苏州#R夏遂良#{_INFOAIM187,129,1,夏遂良}#W、#G束河古镇#R王潇#{_INFOAIM154,130,260,王潇}#W处进入	35
89	1	0-1030		0	0	消灭千年冰魄	消灭武夷山的千年冰魄和九个冰妖			    在#G武夷#W出现的野外BOSS群，打败#Y千年冰魄#G（80级BOSS）#W有可能获得：#Y武功要诀#W、#Y生活技能材料#W、#Y强化材料#W等。	1	去#G武夷#{_INFOAIM54,240,32,千年冰魄}#W击败千年冰魄和九个冰妖	80
90	1	0-1015		0	0	宝箱争夺	定点在圣兽山刷出			    在#G圣兽山#{_INFOAIM142,112,201,宝箱}#W处放置的装有大量财宝的宝箱。#Y高级珍兽技能书#W，大量的#Y金币#W最后归谁所有呢？	1	去#G圣兽山#{_INFOAIM142,112,201,宝箱}#W打开宝箱	21
91	1	0-1100	0-1545	0	0	珍兽龙龟	圣兽山（172，34）龙龟			    #G千年圣兽龙龟#W出现在#G圣兽山#{_INFOAIM172,34,201,龙龟}#W一带，打败#Y龙龟#G（85级BOSS）#W后便可捕获稀有#G珍兽龙龟#W，还有机会获得#Y珍兽蛋：龙龟#W。	1	去#G圣兽山#{_INFOAIM172,34,201,龙龟}#W捕获珍兽：龙龟	85
92	1	0-1130		0	0	消灭玄击金刚	消灭苍山的玄击金刚和九个玄击神将			    在#G苍山#W出现的野外BOSS群，打败#Y玄击金刚#G（80级BOSS）#W有可能获得：#Y武功要诀#W、#Y生活技能材料#W、#Y强化材料#W等。	1	去#G苍山#{_INFOAIM40,255,25,玄击金刚}#W击败玄击金刚和九个玄击神将	80
93	1	0-1130	0-1430	0	0	棋局	苏州张弈国、洛阳王积薪、大理刘仲甫			    所有#G等级≥10级#W的玩家只要组成#G3人以上#W的队伍便可以前往#G苏州#R张弈国#{_INFOAIM174,147,1,张弈国}#W、#G洛阳#R王积薪#{_INFOAIM269,88,0,王积薪}#W、#G大理#R刘仲甫#{_INFOAIM274,95,2,刘仲甫}#W处参与#Y珍珑棋局#W活动。只要战胜#Y远古棋魂#W便可获得最终的胜利。击败#远古棋魂#W后可获得#Y活跃值#W。	1	去#G苏州#R张弈国#{_INFOAIM174,147,1,张弈国}#W、#G大理#R刘仲甫#{_INFOAIM274,95,2,刘仲甫}#W、#G洛阳#R王积薪#{_INFOAIM269,88,0,王积薪}#W参与活动	10
94	1	0-1200	0-1230	0	0	偷袭门派	随机发生在十大门派			    #G江湖宵小#W滋扰各大门派，所有#G等级≥20级#W的江湖侠士可与被滋扰门派的弟子组成#G3人以上#W的队伍击退喽啰与他们的头目#Y恶霸#W。你将有可能获得#Y武功秘籍#W、#Y要诀#W和#Y一级宝石#W等。击败#Y恶霸#W后可获得#Y活跃值#W。	1	随机出现在十大门派的江湖宵小	20
95	1	0-1230		0	0	消灭莽牯毒蛤王	消灭玄武岛的莽牯毒蛤王和九只莽牯毒蛤			    在#G玄武岛#W出现的野外BOSS群，打败#Y莽牯毒蛤王#G（80级BOSS）#W有可能获得：#Y武功要诀#W、#Y生活技能材料#W、#Y强化材料#W，#Y新莽神符#W等。	1	去#G玄武岛#{_INFOAIM180,40,39,莽牯毒蛤王}#W击败莽牯毒蛤王和九只莽牯毒蛤	80
96	1	0-1245		0	0	竞技场宝箱	各城市内的竞技场接引人			    进入封禅台与其他玩家角逐#G武林盟主#W，争夺象征武林盟主地位的#Y盟主腰带#W。可前往#G洛阳#R夏侯仁#{_INFOAIM154,108,0,夏侯仁}#W、#G大理#R白崇义#{_INFOAIM178,132,2,白崇义}#W、#G苏州#R夏遂良#{_INFOAIM187,129,1,夏遂良}#W、#G束河古镇#R王潇#{_INFOAIM154,130,260,王潇}#W处参与活动。	1	在#G洛阳#R夏侯仁#{_INFOAIM154,108,0,夏侯仁}#W、#G大理#R白崇义#{_INFOAIM178,132,2,白崇义}#W、#G苏州#R夏遂良#{_INFOAIM187,129,1,夏遂良}#W、#G束河古镇#R王潇#{_INFOAIM154,130,260,王潇}#W处进入	35
97	1	0-1300	0-1400	0	0	贼兵入侵	太湖、嵩山、镜湖、无量山、剑阁、敦煌			    #G田虎贼兵#W在#G太湖#W、#G嵩山#W、#G镜湖#W、#G无量山#W、#G剑阁#W、#G敦煌#W出现，意图谋反。所有#G等级≥20级#W的江湖侠士只要组成#G3人以上#W的队伍就可前去击退贼兵和#Y贼兵头目#W。你将有可能获得#Y掌柜要诀#W和#Y一级宝石#W等。击败#Y贼兵头目#W后可获得#Y活跃值#W。	1	太湖、嵩山、镜湖、无量山、剑阁、敦煌出现的造反恶贼	20
98	1	0-1315		0	0	宝箱争夺	定点在圣兽山刷出			    在#G圣兽山#{_INFOAIM142,112,201,宝箱}#W处放置的装有大量财宝的宝箱。#Y高级珍兽技能书#W，大量的#Y金币#W最后归谁所有呢？	1	去#G圣兽山#{_INFOAIM142,112,201,宝箱}#W打开宝箱	21
99	1	0-1330		0	0	消灭白冥启	消灭草原的白冥启和九个冥虚奴			    在#G草原#W出现的野外BOSS群，打败#Y白冥启#G（80级BOSS）#W有可能获得：#Y武功要诀#W、#Y生活技能材料#W、#Y强化材料#W，#Y新莽神符#W等。	1	去#G草原#{_INFOAIM75,125,20,白冥启}#W击败白冥启和九个冥虚奴	80
100	1	0-1400	0-1640	0	0	野猪暴走	圣兽山			    所有#G等级≥40级#W的玩家只要组成#G3人以上#W的队伍便可前往#G圣兽山#W，与#G灵兽#W对话后就可进入副本与#Y野猪#W战斗。在击败#Y野猪头目#W得到任务道具后便可前往挑战#Y尖牙野猪王#W，并有机会与#Y狂暴龙#W一较高下。击败#Y野猪头领#W或#Y尖牙野猪王#W后都可获得#Y活跃值#W。	1	在圣兽山保护灵兽，阻止暴走的野猪	40
101	1	0-1445		0	0	竞技场宝箱	各城市内的竞技场接引人			    进入封禅台与其他玩家角逐#G武林盟主#W，争夺象征武林盟主地位的#Y盟主腰带#W。可前往#G洛阳#R夏侯仁#{_INFOAIM154,108,0,夏侯仁}#W、#G大理#R白崇义#{_INFOAIM178,132,2,白崇义}#W、#G苏州#R夏遂良#{_INFOAIM187,129,1,夏遂良}#W、#G束河古镇#R王潇#{_INFOAIM154,130,260,王潇}#W处参与活动。	1	在#G洛阳#R夏侯仁#{_INFOAIM154,108,0,夏侯仁}#W、#G大理#R白崇义#{_INFOAIM178,132,2,白崇义}#W、#G苏州#R夏遂良#{_INFOAIM187,129,1,夏遂良}#W、#G束河古镇#R王潇#{_INFOAIM154,130,260,王潇}#W处进入	35
102	1	0-1500	0-1600	0	0	贼兵入侵	太湖、嵩山、镜湖、无量山、剑阁、敦煌			    #G田虎贼兵#W在#G太湖#W、#G嵩山#W、#G镜湖#W、#G无量山#W、#G剑阁#W、#G敦煌#W出现，意图谋反。所有#G等级≥20级#W的江湖侠士只要组成#G3人以上#W的队伍就可前去击退贼兵和#Y贼兵头目#W。你将有可能获得#Y掌柜要诀#W和#Y一级宝石#W等。击败#Y贼兵头目#W后可获得#Y活跃值#W。	1	太湖、嵩山、镜湖、无量山、剑阁、敦煌出现的造反恶贼	20
103	1	0-1530		0	0	消灭千年冰魄	消灭武夷山的千年冰魄和九个冰妖			    在#G武夷#W出现的野外BOSS群，打败#Y千年冰魄#G（80级BOSS）#W有可能获得：#Y武功要诀#W、#Y生活技能材料#W、#Y强化材料#W等。	1	去#G武夷#{_INFOAIM54,240,32,千年冰魄}#W击败千年冰魄和九个冰妖	80
104	1	0-1545	0-1930	0	0	珍兽龙龟	圣兽山（172，34）龙龟			    #G千年圣兽龙龟#W出现在#G圣兽山#{_INFOAIM172,34,201,龙龟}#W一带，打败#Y龙龟#G（85级BOSS）#W后便可捕获稀有#G珍兽龙龟#W，还有机会获得#Y珍兽蛋：龙龟#W。	1	去#G圣兽山#{_INFOAIM172,34,201,龙龟}#W捕获珍兽：龙龟	85
105	1	0-1600	0-1630	0	0	偷袭门派	随机发生在十大门派			    #G江湖宵小#W滋扰各大门派，所有#G等级≥20级#W的江湖侠士可与被滋扰门派的弟子组成#G3人以上#W的队伍击退喽啰与他们的头目#Y恶霸#W。你将有可能获得#Y武功秘籍#W、#Y要诀#W和#Y一级宝石#W等。击败#Y恶霸#W后可获得#Y活跃值#W。	1	随机出现在十大门派的江湖宵小	20
106	1	0-1645		0	0	竞技场宝箱	各城市内的竞技场接引人			    进入封禅台与其他玩家角逐#G武林盟主#W，争夺象征武林盟主地位的#Y盟主腰带#W。可前往#G洛阳#R夏侯仁#{_INFOAIM154,108,0,夏侯仁}#W、#G大理#R白崇义#{_INFOAIM178,132,2,白崇义}#W、#G苏州#R夏遂良#{_INFOAIM187,129,1,夏遂良}#W、#G束河古镇#R王潇#{_INFOAIM154,130,260,王潇}#W处参与活动。	1	在#G洛阳#R夏侯仁#{_INFOAIM154,108,0,夏侯仁}#W、#G大理#R白崇义#{_INFOAIM178,132,2,白崇义}#W、#G苏州#R夏遂良#{_INFOAIM187,129,1,夏遂良}#W、#G束河古镇#R王潇#{_INFOAIM154,130,260,王潇}#W处进入	35
107	1	0-1700	0-1800	0	0	贼兵入侵	太湖、嵩山、镜湖、无量山、剑阁、敦煌			    #G田虎贼兵#W在#G太湖#W、#G嵩山#W、#G镜湖#W、#G无量山#W、#G剑阁#W、#G敦煌#W出现，意图谋反。所有#G等级≥20级#W的江湖侠士只要组成#G3人以上#W的队伍就可前去击退贼兵和#Y贼兵头目#W。你将有可能获得#Y掌柜要诀#W和#Y一级宝石#W等。击败#Y贼兵头目#W后可获得#Y活跃值#W。	1	太湖、嵩山、镜湖、无量山、剑阁、敦煌出现的造反恶贼	20
