INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT
74	Ám M¸ ¿ng	3.3	22	3.3	22
75	TØ M¸ ¿ng	3.3	22	3.3	20
76	Thanh Lân BÕch TrÕch	2	18	2	18
77	Xích Lân BÕch TrÕch	2	18	2	18
78	Ham Bäo Hùng	1.4	12	1.4	12
79	Ğêm Mã	1.6	13	1.6	13
80	T§n tr¶i cánh chim	2.7	18	2.7	18
81	Mµng Linh Tiên Câu	1.8	16	1.8	16
82	Giang Nam Toä Giáp Mã	2	20	2	20
83	ĞÕi mÕc lßŞi mác Mã	2	20	2	20
84	Tuy®t ğ¸a	1.7	14	1.7	14
85	Nhiªp Cänh	2	16	2	16
86	Løc hşp Dß	1.9	22	1.9	22
87	Ğµ Tình	2.2	22	2.2	22
88	H°ng Hùng Vß½ng	1.5	14	1.5	14
89	Kim Lân Vû Sß	1.2	11	1.2	11
90	c mßşn h°n	2	17	2	17
91	ThuÏ Vân Dñc	2.5	18	2.5	18
92	Ngày sinh Kh±ng TØ Thu¥n Lµc	2.1	17	2.1	17
93	Môn khách Dao	1.7	14	1.7	14
94	B¤t TØ Ği¬u	3.1	19	3.1	19
95	Linh Nguy®t 	3	18	3	18
96	NhÕn Môn tao nhã	2	20	2	20
97	Ngân hà Phù Lß½ng	2	20	2	20
99	C¯c	2	20	2	20
100	BÕch C¯c	2	20	2	20
101	Lßu Li C¯c	2	20	2	20
102	c mßşn h°n	2	17	2	17
103	Vßşn Tuyªt	1.5	14	1.5	14
104	Li®t Di®m Truy Phong	1.5	14	1.5	14
105	Tuy®t Vân Di®m Long	4.1	24	4.1	24
107	Thanh Dñc Chiªn Long	2.7	24	2.7	24
109	Bá Thª Vû Long	1.9	22	1.9	22
111	Ngày sinh Kh±ng TØ giày	1.5	14	1.5	14
112	Ngäi H±	1.5	14	1.5	14
114	Tình nhân Tiªt cánh	2.2	18	2.2	18
115	Gió l¯c ngàn d£m	2.5	18	2.5	18
116	Ng÷c Ği®p Th×a Tiêu	3	18	3	18
117	Thiên Hà Linh Thß¾c	1.5	14	1.5	14
118	Dß½ng Ğà	1.5	14	1.5	14
119	Thäi Phßşng Trình Tß¶ng	3.3	22	3.3	22
120	Phi Hoàng Dçn Mµng	3.3	22	3.3	22
121	Xích Änh	1.5	14	1.5	14
122	Kh·i Mµng Ği®p	2.2	12	2.2	12
123	Ğ¥y nåm Khánh Mã	2	16	2	16
124	U DÕ	4.3	35	4.3	35
125	Ngày sinh Kh±ng TØ Thu¥n Lµc	1.8	16	1.8	16
126	Tình nhân Tiªt cánh	2.2	18	2.2	18
127	Tình nhân Tiªt cánh	2.2	18	2.2	18
128	Linh Nguy®t 	3	18	3	18
129	Phi Hoàng cánh chim	2.7	18	2.7	18
130	H¡c Kim áo giáp H±	1.5	14	1.5	14
131	Vân Mµng	1.7	15	1.7	15
132	LÕc Ğà	1.9	17	1.9	17
133	Th¤t Thái Tß¶ng Vân	4.6	26	4.6	26
134	Cân Ğ¦u Vân	4.6	26	4.6	26
172	Thiên Hà Linh Thß¾c	3.1	19	3.1	19
173	Dß½ng Ğà	1.5	14	1.5	14
174	Hoàng Kim Mã H°ng	1.6	17	1.6	17
175	Hoàng Kim Mã Kim	1.6	17	1.6	17
176	Hoàng Kim Mã Lam	1.6	17	1.6	17
177	Hoàng Kim Mã TØ	1.6	17	1.6	17
178	H¡c bÕch Mã	1.5	15	1.5	15
179	Thái linh c½ Quan Ği¬u	1.8	16	1.8	16
180	Ng÷c bao quanh	1.6	15	1.6	15
181	B¡c Minh Huy«n Long	4.1	24	4.1	24
183	Thiên Phong ºng Long	2.7	24	2.7	24
185	Gió l¯c Thß½ng Long	1.9	22	1.9	22
187	Báo xa-li S½ C¤p	1	13	1	13
188	Báo xa-li Trung C¤p	1	13	1	13
189	Báo xa-li cao c¤p	1	13	1	13
190	M£c Ng÷c KÏ Lân	2	16	2	16
191	Arras C½	1.5	14	1.5	14
192	Khiªu Nguy®t Thiên Lang	1.7	16	1.7	16
193	Sóc Änh Thiên Lang	1.7	16	1.7	16
194	Meo meo bao quanh	1.5	14	1.5	14
195	Tinh vân Long	3.5	40	3.5	40
196	Tinh vân Long 02	3.5	40	3.5	40
197	Tinh vân Long 03	3.5	40	3.5	40
198	Tinh vân Long 05	3.5	40	3.5	40
199	Kinh CÑc Long	1.5	26	1.5	26
200	Giæa hè mµng ğ©p	1.5	14	1.5	14
201	Long Tß½ng	1.6	16	1.6	16
203	Lßşc Thiên Phong	4.2	22	4.2	22
204	Kinh Lßu Vân	4.2	22	4.2	22
205	Quy Khß th¥n long	4.1	24	4.1	24
207	Ng÷c Tiêu Vân Long	2.7	24	2.7	24
209	Hµi Änh M£c Long	1.9	22	1.9	22
211	Chim Tinh Vê?	3.1	19	3.1	19
2000	H±	1.2	12	1.2	12
2001	Hoàng Phiêu Mã	1.2	12	1.2	12
2002	Khôi Lang	1	12	1	12
2003	Ğiêu	2.7	13	2.7	13
2004	Lµc	1.2	12	1.2	12
2005	HÕc	2.3	19	2.3	19
2006	Thanh Phøng	2.8	20	2.8	20
2007	LÕc Ğà	1.3	13	1.3	13
2008	Mao Ngßu	1.2	12	1.2	12
2009	BÕch H±	1.2	12	1.5	12
2010	Thanh BÕch Thông Mã	1.2	12	1.2	12
2011	BÕch Lang	1	12	1	12
2012	BÕch Ğiêu	2.7	13	2.7	13
2013	BÕch Lµc	1.2	12	1.6	13
2014	Kim Dñc HÕc	2.3	19	2.3	19
2015	H°ng BÕch Phøng	2.8	20	2.8	20
2016	BÕch LÕc Ğà	1.3	13	1.3	13
2017	BÕch Mao Ngßu	1.2	12	1.2	12
2018	Sß TØ	0.8	12	0.8	12
2019	BÕch Sß	0.8	12	0.8	12
2021	Løc Hành Ğiêu	1.4	12	1.4	12
2024	ĞÕi Tßşng	1.3	13	1.3	13
2026	Løc Ngô	1	12	1	12
2027	Xe g²	1.2	12	1.2	12
2028	Ğà Ği¬u	1.4	12	1.4	12
2029	Tê Ngßu	1.2	13	1.2	13
2030	Hùng	1.2	12	1.2	12
2031	Huy«n Quy	1.2	12	1.2	12
2032	Kı hi®u kÜ sî	1.4	18	1.4	18
2033	Hà mã	1.2	12	1.2	12
2034	Xe ngña	1.2	15	1.2	15
2035	Thiên Mã	1.3	13	1.3	13
2036	Th¯ TØ	1.4	15	1.4	15
2037	Vû Sß	1.1	11	1.1	11
2038	Thu¥n Lµc	1.3	13	1.3	13
2039	Sí Bàng: Tuyªt Vû	2.2	13	2.2	13
2040	Cñ Nhân: Hoàng Cân Lñc Sî	1.9	18	1.9	18
2041	Phi Long: ĞÕi Phong	4.3	35	4.3	35
2042	Trßşt tuyªt	1.3	18	1.3	18
2043	TØ Ği®n	1.6	16	1.6	16
2044	Sí Bàng: Minh Vû	2.2	13	2.2	13
2045	Nhß ı Hùng	1.2	12	1.2	12
2046	Bích Thüy Kim Tình Thú	1.4	16	1.4	25
2047	Xoay tròn ngña g²	2.1	20	2.1	20
2048	Niên Thú	0.8	12	0.8	12
2049	Xe hoa	1.5	15	1.6	18
2050	Mây tr¡ng	0.8	13	0.8	13
2051	Ğ¤t ğen	0.8	13	0.8	13
2052	Cñ Viên	2	20	2	20
2053	Vø Änh Ğiêu	3.3	19	3.3	19
2054	Lßu Li Phøng	3.4	21	3.4	21
2055	ThuÜ Liên HÕc	2.3	19	2.3	19
2056	Nhß İ H±	1.2	12	1.2	12
2057	Ngân Nguy®t Lang	1	12	1	12
2058	Th¤t Thái Lµc	1.6	17	1.6	17
2059	Long Huyªt Mã	1.8	16	1.8	16
2060	Thanh Mao Ngßu	1.2	13	1.2	13
2061	Li®t Di®m Sß	0.8	12	0.8	12
2062	Sí Bàng: Hoan Vû	2.2	13	2.2	13
2063	Thi¬m Ği®n Ğiêu	1.3	13	1.3	13
2064	Ği®p Vû	2.2	13	2.2	13
2065	Ba Thiên H±	1.3	15	1.3	15
2066	Dß½ng Dß½ng	1.4	14	1.4	14
2067	Tuyªt Dß½ng Dß½ng	1.4	14	1.4	14
2068	U Quang Dß½ng	1.4	16	1.4	16
2069	R°ng bay 	2	18	1.6	16
2070	Ng÷n lØa Ğiêu	1.4	13	1.4	13
2071	G¤u mèo	1.2	13	1.2	13
2072	Lôi Nh§n Thú	1.2	12	0.8	12
2073	Xích M¸ ¿ng	3	15	3.3	22
2074	Ám M¸ ¿ng	3	15	3.3	22
2075	TØ M¸ ¿ng	3	15	3.3	22
2076	Khô Mµc con r¯i	2	19	2	19
2077	Mây lØa Tà Thú	1.2	14	1.2	14
2078	Huy«n Thiên Lôi Thú	1.2	14	1.2	14
2079	CØu Châu th¥n long	2.8	18	2.8	18
2080	Nguy®t Th¯	1.2	12	1.2	12
2081	Giang Nam Toä Giáp Mã	1.6	17	1.6	17
2082	ĞÕi mÕc lßŞi mác Mã	1.6	17	1.6	17
2083	Mßa bøi Thanh Hà	3.2	11	3.2	11
2084	Hoan Hoä Xích Lân Thú	1.2	16	1.2	16
2085	Chích Túc QuÖ Mã	1.2	12	1.6	16
2086	Thiêm Phúc C¦m Lân	1.6	16	1.6	16
2087	Thiên Công Linh Lung ThØ	2.2	19	2.2	19
2088	Løc Hành Ği¬u	1.5	14	1.5	14
2089	Kim Lân Vû Sß	1.2	11	1.2	11
2090	c mßşn h°n	2	17	2	17
2091	Th¤t bäo nh¸ sen	1.8	15	1.8	15
2092	Xích Lân BÕch TrÕch	1.6	15	1.6	15
2093	Thanh Lân BÕch TrÕch	1.6	15	1.6	15
2094	Kim Dñc Long Thú	5.1	18	5.1	18
2096	Phï Thuı ngñ giá	1.2	12	0.5	12
2098	Dung nham Ma Tê	1.2	13	1.2	13
2099	TÑ Hï T¯ng Lí Ğài	1	15	1	15
2100	Nguy®t BÕch Long Mã	1.3	13	1.3	13
2153	Lam Dñc Long Thú	5	19	5	19
2154	Thanh Dñc Long Thú	5	19	5	19
2157	NgÕo Tuyªt Linh Sß	1.1	15	1.1	15
2158	Bá Thª Vû Long	1.8	22	1.8	22
2160	Thanh Dñc Chiªn Long	1.8	24	1.8	24
2162	Tuy®t Vân Di®m Long	2.5	24	2.5	24
2164	Phúc tuyªt r½i ğúng lúc Ğiêu	1.2	12	1.2	12
2165	H°ng Mai Nhuy­n Giá	1.5	22	1.5	22
2166	Sí Bàng: Kim Vû	2.2	13	2.2	13
2167	Minh Tà Thú	1.2	14	1.2	14
2168	Li®t Hoä kim cß½ng	1.4	15	1.4	15
2169	Xích Tiêu Viêm Lang	1.1	15	1.1	15
2171	M¸ Vû	2.2	13	2.2	13
2172	Thiên Hà Linh Thß¾c	3.1	19	3.1	19
2173	Vân ThuÖ Kim Tinh Thú	1.4	15	1.4	15
2174	Ğêm Mã	1.3	13	1.3	13
2175	Huy«n Ğ°ng Häi Long	1.4	12	1.4	12
2176	U Lam Häi Long	1.4	12	1.4	12
2177	Ám Viêm Khai Minh Thú	1.8	20	1.8	20
2178	Dao Quang Khai Minh Thú	1.8	20	1.8	20
2179	Tinh H°ng Vân Chu	2.7	24	2.7	24
2180	Ám Viêm Minh Sß	1.6	19	1.6	19
2181	Hß Không Hùng H°n	1.3	13	1.3	13
2182	Tß¶ng Vân HÕc	1.5	13	1.5	13
2183	Kim Ti«n Báo	1.1	12	1.1	12
2184	Vân Tuyªt Báo	1.1	12	1.1	12
2185	U Minh Báo	1	15	1	15
2186	Viêm Vû	2.2	13	2.2	13
2187	ºng Long Huy­n H°n	3.8	20	3.8	20
2188	H¡c hoa h°ng	1.2	12	1.2	12
2189	Nhung Tuyªt Th¥n Ngßu	1.4	14	1.4	14
2190	Thß½ng Häi Long Câu	1.2	13	1.2	13
2191	Bách Biªn kim cß½ng	1.2	12	1.3	15
2192	Ğ§u Ğ§u trßşt tuyªt	1.2	20	1.2	20
2194	Nguy®t Mã Hß½ng Câu	0.8	18	0.8	18
2195	Xích Luy®n Câu	1.3	13	1.3	12
2196	Bích Giáp Huy«n Quy	1.8	13	1.8	13
2197	Tinh Vû Du Long	2.8	28	2.8	28
2198	Thß½ng Lan cánh chim	2.7	18	2.7	18
2199	T§n tr¶i cánh chim	2.7	18	2.7	18
2200	Ğoàn Dß½ng Dß½ng	1.4	12	1.4	12
2201	Vân ThuÖ Thanh Hà	1.5	22	1.5	22
2202	Di®t Thª Hoä Phøng	3.1	21	3.1	21
2203	Li®t Häi Ma Long	1.2	14	1.2	14
2204	Nhiªp Linh C± Hoa	2	14	2	14
2205	ThuÖ Bích Phi Diên	2.7	14	2.7	14
2206	Màu ğö tía Phi Diên	2.7	14	2.7	14
2207	Cß½ng Tung Thú	1.2	12	1.2	12
2208	QuÖ Mã thuy«n r°ng	1.9	21	1.9	21
2209	Trång r¢m Long Câu	2.3	21	2.3	21
2210	ĞÕp Tuyªt Ô Truy	2.3	21	2.3	21
2211	Ng÷c Lân Long	1.5	18	1.5	18
2212	Mµng Linh Tiên Câu	1.2	13	1.2	13
2213	Mµng äo Tiên Câu	1.2	13	1.2	13
2214	Vân C¯c C¦m Xa	1.5	16	1.5	16
2215	Bích tß½i ngon m÷ng nß¾c Quân	1.5	15	1.5	15
2216	TØ ng÷c linh miêu	1.2	12	1.2	12
2217	T¯ Tuyªt linh miêu	1.2	12	1.2	12
2218	Ham Bäo Hùng	1.4	12	1.4	12
2219	H°ng Vi Mµng 	2.4	12	2.4	12
2220	Linh Vi Mµng 	2.4	12	2.4	12
2221	Linh Vu Tß¾c Vû	2.4	12	2.4	12
2222	Lßu Li Tß¾c Vû	2.4	12	2.4	12
2223	Phi Hoàng cánh chim	2.7	18	2.7	18
2224	Vui m×ng g¤u mèo	1.2	13	1.2	13
2225	Ğ¸a Hoä Li Viêm Thú	1.5	15	1.5	15
2226	Bánh pút-ğing Ği«m Tâm	2.7	16	2.7	16
2228	Linh h°	1.2	14	1.2	14
2229	Xích Vî H°	1.2	14	1.2	14
2230	Huy«n Thiên H°	1.2	14	1.2	14
2231	Chiªn Thiên Lang	1	12	1	12
2232	Kh·i Mµng Ği®p	2.2	12	2.2	12
2233	Tuyªt Lµc Khiªu	1.4	22	1.4	22
2234	Phúc ThuÜ C¦m Long	1.5	18	1.5	18
2235	KÏ Thü Long Quân	1.6	20	1.6	20
2237	Thanh Tiêu	1.3	19	1.3	19
2238	Mây tía	1.3	19	1.3	19
2239	Ng÷c màu tím nhÕt Bình	2.6	18	2.6	18
2242	Cñc quang cánh chim	2.3	15	2.3	15
2243	Sß½ng Linh Minh Vß½ng Tß¾c	3.1	18	3.1	18
2244	Trß¶ng ca hành	1.3	12	1.3	12
2245	Thß¾c Ca C¦m Vû	1.4	15	1.4	15
2246	Thß¾c Minh M£c Vû	1.4	15	1.34	15
2247	Hoa Nguy®t Dçn	3	20	3.7	27
2248	Ngñ Phong Hành	2.2	17	2.2	17
2249	Thê Phøng Ca	3.2	15	3.2	15
2250	Hà thßşng tiên	2.5	15	2.5	15
2252	Mµc Diên	4.3	22	4.3	22
2253	Tinh Phong Diên	4.3	22	4.3	22
2254	T× Vân Diên	4.3	22	4.3	22
2257	Ô DÕ H« Du Cß½ng	1.4	14	1.3	14
2260	ThuÖ Khách Th×a Lí KhÑ	2.8	23	2.8	23
2261	Man La Khiên	3.2	17	3.2	17
2262	Thi-ô-sun-phát na-tri Án	3.2	22	3.2	22
2263	TruÜ Phong Liên	2.8	15	2.8	15
2264	Vân ThuÖ Ği®p	2.8	15	2.8	15
2265	Chiªu DÕ BÕch	1.3	13	1.3	13
2266	Hß½ng Tung Ô	1.3	13	1.3	13
2267	Kim An Ánh Tuyªt	1.3	13	1.3	13
2268	Phúc Khôi Toan Nghê	1.3	15	1.3	15
2269	Bi¬n xanh Chiªu Ng÷c Giai	2.2	26	2.2	26
2270	Hàn Cung  Quª Chi	2.2	26	2.2	26
2271	Dß Xuân Quy	2.5	27	2.5	27
2273	ĞÕp Lan S½n	1.3	13	1.3	13
2274	Phß½ng Dao Thiên TruÜ	3.3	25	3.3	25
2276	Ng÷c Ch¦m Lan Châu	3.3	18	3.3	18
2277	Thanh Hà D¸ch Mµng	1.5	21	1.5	21
2278	Viêm Ô	4.3	22	4.3	22
2279	Dung Phong Ô	4.3	22	4.3	22
2280	Di®m Linh Ô	4.3	22	4.3	22
2283	Noãn mßşt mà	1.4	15	1.4	15
2284	Lí Ğång Du	3	20	3	20
2285	Yêu Nguy®t	3.3	25	3.3	25
2286	Thu¥n tr¡ng Kim Dñc	2.3	15	2.3	15
2287	TrÕc Lam Chi Dñc	2.3	15	2.3	15
2289	Võ Lång C¯ Mµng	1.8	20	1.8	20
2290	Xuân phong Chß¾c Hoa	1.8	20	1.8	20
2291	U Trúc thu§n gió	1.8	23	1.8	23
2292	Thuy«n con Mµng Thøc	1.5	21	1.5	21
2293	Trùng Minh Ng÷c Hoàng	3.3	22	3.3	22
2295	Thß½ng Lan Nguyên Thánh	1.8	22	1.8	22
2297	Li®t Viêm Ô Chiªu	1.3	13	1.3	13
2298	U Lan DÕ Ti«m	1.3	13	1.3	13
2299	Linh Nguy®t 	3	20	3	20
2300	U DÕ	4.3	35	4.3	35
2301	Thanh La  Thuı	1.8	23	1.8	23
2302	Ánh ánh trång Xuyên	1.8	23	1.8	23
2304	Ánh trång Truy Phong	1.3	20	1.3	20
2305	C¦m tú Tinh Th×a	1.5	25	1.5	25
2306	Nhiªp Cänh	2	16	2	16
2308	Tßşng binh mã Mã	1.6	16	1.6	16
2309	Hàn tinh Linh Câu	1.3	13	1.3	13
2310	TØ Vi Tuyªt	1.3	13	1.3	13
2312	Ng÷c bao quanh	1.4	15	1.4	15
2313	Thäi Phßşng Trình Tß¶ng	3.3	22	3.3	22
2315	Phi Hoàng Dçn Mµng	3.3	22	3.3	22
2317	Chiªu sáng long h°n	2.5	24	2.5	24
2319	Xích Viêm Nhiên Cß½ng	1.8	24	1.8	24
2321	U HuÏnh DÕ Vû	1.8	22	1.8	22
2323	Linh †n H±	1	15	1	15
2324	Thánh Hoä Sß	1	15	1	15
2325	Trung nghîa Lang	1	14	1	14
2326	Thßşng Thanh HÕc	2.3	19	2.3	19
2327	TÑc Tâm Phøng	2.8	20	2.8	20
2328	TØ Vân Ngßu	1.3	15	1.3	15
2329	Vi­n Thi«n Mã	1.6	16	1.6	16
2330	Tuyªt Häi Ğiêu	2.8	16	2.8	16
2331	B¡c Minh Lµc	1.3	19	1.3	19
2332	Tam Yên Dß½ng	1.4	16	1.4	16
2333	Dao S½n Báo	1	15	1	15
2334	Vân Mµng H°	1.2	14	1.2	14
2335	Ğào Änh Diên	4.3	22	4.3	22
2336	Vong tình Ô	4.3	22	4.3	22
2337	Cáp C½ M­	1.4	15	1.4	15
2338	Long Tß½ng	1.6	16	1.6	16
2339	DÕ Hà Xích Vû	2.3	15	2.3	15
2341	Ánh rÕng ğông HuÏnh Dñc	2.3	15	2.3	15
2343	Ngñ Bäo Thiên Lµc	1.1	15	1.1	15
2345	Ğän gà ğë Phi 	2.4	23	2.4	23
2346	Táp Lµ TØ	1.3	13	1.3	13
2347	Bi¬n xanh Thß½ng Long	2.6	18	2.6	18
2349	H°ng Hùng	1.3	15	1.3	15
2350	Th¤t Thái Tß¶ng Vân	4.6	25	4.6	25
2352	Cân Ğ¦u Vân	4.6	25	4.6	25
2354	Ngäi H±	1.5	14	1.5	14
2355	B¡c Minh Huy«n Long	2.5	24	2.5	24
2357	Thiên Phong ºng Long	1.8	24	1.8	24
2359	Gió l¯c Thß½ng Long	1.8	22	1.8	22
2361	Báo xa-li	1	15	1	15
2362	Tia ch¾p Xá	1	15	1	15
2363	Giáng Ma Xá	1	15	1	15
2364	S½n NgoÕi Xá	1	15	1	15
2365	Arras C½	1.3	15	1.3	15
2366	Dao Trì Kim Lí	2.8	23	2.8	23
2368	Khiªu Nguy®t Thiên Lang	1.2	21	1.2	21
2370	Sóc Änh Thiên Lang	1.2	21	1.2	21
2372	CØu vî Th¥n H°	1.2	21	1.2	21
2374	Xích Di­m Bäo Câu	1.3	13	1.3	13
2375	Quy Khß th¥n long	2.5	24	2.5	24
2377	Ng÷c Tiêu Vân Long	1.8	24	1.8	24
2379	Hµi Änh M£c Long	1.8	22	1.8	22
2381	Lßşc Thiên Phong	4.6	18	4.6	18
2383	Kinh Lßu Vân	4.6	18	4.6	18
2385	Thß½ng Tuyªt lînh chü	2.6	25	2.6	25
2387	Vàng rñc lînh chü	2.6	25	2.6	25
2389	Ğ¥y nåm Khánh Mã	1.6	16	1.6	16
2390	Tø Tài TÏ Hßu	1	19	1	19
