INT	STRING	STRING	STRING	INT	INT	INT
117	沈夜雨	#{YXDHYD_20210304_07}	set:NPCHead01 image:NPCHead01_5	6000	0	0
118	熟悉的声音	#{YXDHYD_20210304_11}	set:NPCHead01 image:NPCHead01_6	6000	0	0
119	云卷舒	#{ZSFB_20220105_98}	set:NPCHead02 image:NPCHead02_5	6000	0	0
120	逸	#{ZSFB_20220105_99}	set:NPCHead02 image:NPCHead02_4	6000	0	0
121	艾虎	#{ZSFB_20220105_100}	set:NPCHead02 image:NPCHead02_3	6000	0	0
122	九尾灵狐	#{ZSFB_20220105_101}	set:NPCHead03 image:NPCHead03_3	6000	0	0
123	云兰舟	#{ZSFB_20220105_102}	set:NPCHead03 image:NPCHead03_1	6000	0	0
124	青丘狐	#{ZSFB_20220105_103}	set:NPCHead03 image:NPCHead03_2	6000	0	0
125	云卷舒	#{ZSFB_20220105_104}	set:NPCHead02 image:NPCHead02_5	6000	0	0
126	逸	#{ZSFB_20220105_105}	set:NPCHead02 image:NPCHead02_4	6000	0	0
127	青丘狐	#{ZSFB_20220105_106}	set:NPCHead03 image:NPCHead03_2	6000	0	0
128	艾虎	#{ZSFB_20220105_107}	set:NPCHead02 image:NPCHead02_3	6000	0	0
129	青丘狐	#{ZSFB_20220105_108}	set:NPCHead03 image:NPCHead03_2	6000	0	0
130	青丘狐	#{ZSFB_20220105_109}	set:NPCHead03 image:NPCHead03_2	6000	0	0
131	九尾灵狐	#{ZSFB_20220105_110}	set:NPCHead03 image:NPCHead03_3	6000	0	0
132	云飘飘	#{ZSFB_20220105_116}	set:NPCHead02 image:NPCHead02_6	6000	0	0
133	云飘飘	#{ZSFB_20220105_117}	set:NPCHead02 image:NPCHead02_6	6000	0	0
134	孟闯	#{MPCG_191029_210}	set:NPCHead04 image:NPCHead04_4	6000	0	0
135	季天燃	#{MPCG_191029_211}	set:NPCHead03 image:NPCHead03_5	6000	0	0
136	乔梦醉	#{MPCG_191029_212}	set:NPCHead04 image:NPCHead04_2	6000	0	0
137	张法乾	#{MPCG_191029_213}	set:NPCHead04 image:NPCHead04_3	6000	0	0
138	木月心	#{MPCG_191029_214}	set:NPCHead03 image:NPCHead03_4	6000	0	0
139	云寒歌	#{MPCG_191029_215}	set:NPCHead03 image:NPCHead03_6	6000	0	0
140	萧阳春	#{MPCG_191029_216}	set:NPCHead04 image:NPCHead04_1	6000	0	0
141	季天燃	#{MPCG_191029_246}	set:NPCHead03 image:NPCHead03_5	6000	0	0
142	乔梦醉	#{MPCG_191029_247}	set:NPCHead04 image:NPCHead04_2	6000	0	0
143	张法乾	#{MPCG_191029_248}	set:NPCHead04 image:NPCHead04_3	6000	0	0
144	木月心	#{MPCG_191029_249}	set:NPCHead03 image:NPCHead03_4	6000	0	0
145	云寒歌	#{MPCG_191029_250}	set:NPCHead03 image:NPCHead03_6	6000	0	0
146	萧阳春	#{MPCG_191029_251}	set:NPCHead04 image:NPCHead04_1	6000	0	0
147	孟闯	#{MPCG_191029_252}	set:NPCHead04 image:NPCHead04_4	6000	0	0
148	木月心	#{MPCG_191029_229}	set:NPCHead03 image:NPCHead03_4	6000	0	0
149	木月心	#{MPCG_191029_230}	set:NPCHead03 image:NPCHead03_4	6000	0	0
150	木月心	#{MPCG_191029_231}	set:NPCHead03 image:NPCHead03_4	6000	0	0
151	季天燃	#{MPCG_191029_232}	set:NPCHead03 image:NPCHead03_5	6000	0	0
152	云寒歌	#{MPCG_191029_233}	set:NPCHead03 image:NPCHead03_6	6000	0	0
153	萧阳春	#{MPCG_191029_234}	set:NPCHead04 image:NPCHead04_1	6000	0	0
154	张法乾	#{MPCG_191029_235}	set:NPCHead04 image:NPCHead04_3	6000	0	0
155	季天燃	#{MPCG_191029_280}	set:NPCHead03 image:NPCHead03_5	6000	0	0
156	季天燃	#{MPCG_191029_281}	set:NPCHead03 image:NPCHead03_5	6000	0	0
157	云寒歌	#{MPCG_191029_282}	set:NPCHead03 image:NPCHead03_6	6000	0	0
158	云寒歌	#{MPCG_191029_283}	set:NPCHead03 image:NPCHead03_6	6000	0	0
159	萧阳春	#{MPCG_191029_284}	set:NPCHead04 image:NPCHead04_1	6000	0	0
160	萧阳春	#{MPCG_191029_285}	set:NPCHead04 image:NPCHead04_1	6000	0	0
161	萧阳春	#{MPCG_191029_286}	set:NPCHead04 image:NPCHead04_1	6000	0	0
162	张法乾	#{MPCG_191029_287}	set:NPCHead04 image:NPCHead04_3	6000	0	0
163	乔梦醉	#{MPCG_191029_288}	set:NPCHead04 image:NPCHead04_2	6000	0	0
164	乔梦醉	#{MPCG_191029_289}	set:NPCHead04 image:NPCHead04_2	6000	0	0
165	乔梦醉	#{MPCG_191029_290}	set:NPCHead04 image:NPCHead04_2	6000	0	0
166	枯荣大师	#{XSX_220705_02}	set:NPCHead06 image:NPCHead06_4	6000	0	0
167	枯竹大师	#{XSX_220705_214}	set:NPCHead05 image:NPCHead05_2	6000	0	0
168	枯荣大师	#{XSX_220705_04}	set:NPCHead06 image:NPCHead06_4	6000	0	0
169	枯竹大师	#{XSX_220705_06}	set:NPCHead05 image:NPCHead05_2	6000	0	0
170	宋姜	#{XSX_220705_215}	set:NPCHead06 image:NPCHead06_2	6000	0	0
171	卢君逸	#{XSX_220705_216}	set:NPCHead05 image:NPCHead05_6	6000	0	0
172	李魁	#{XSX_220705_217}	set:NPCHead05 image:NPCHead05_5	6000	0	0
173	鲁志生	#{XSX_220705_218}	set:NPCHead06 image:NPCHead06_1	6000	0	0
174	关胜	#{XSX_220705_219}	set:NPCHead05 image:NPCHead05_4	6000	0	0
175	吴永	#{XSX_220705_220}	set:NPCHead06 image:NPCHead06_3	6000	0	0
176	公孙圣	#{XSX_220705_221}	set:NPCHead05 image:NPCHead05_3	6000	0	0
177	枯荣大师	#{XSX_220705_08}	set:NPCHead06 image:NPCHead06_4	6000	0	0
178	枯荣大师	#{XSX_220705_10}	set:NPCHead06 image:NPCHead06_4	6000	0	0
179	枯竹大师	#{XSX_220705_12}	set:NPCHead05 image:NPCHead05_2	6000	0	0
180	枯荣大师	#{XSX_220705_15}	set:NPCHead06 image:NPCHead06_4	6000	0	0
181	枯竹大师	#{XSX_220705_17}	set:NPCHead05 image:NPCHead05_2	6000	0	0
182	枯荣大师	#{XSX_220705_20}	set:NPCHead06 image:NPCHead06_4	6000	0	0
183	枯竹大师	#{XSX_220705_22}	set:NPCHead05 image:NPCHead05_2	6000	0	0
184	枯竹大师	#{XSX_220705_25}	set:NPCHead05 image:NPCHead05_2	6000	0	0
185	枯竹大师	#{XSX_220705_310}	set:NPCHead05 image:NPCHead05_2	6000	0	0
186	枯竹大师	#{XSX_220705_311}	set:NPCHead05 image:NPCHead05_2	6000	0	0
187	卢君逸	#{XSX_220705_312}	set:NPCHead05 image:NPCHead05_6	6000	0	0
188	卢君逸	#{XSX_220705_313}	set:NPCHead05 image:NPCHead05_6	6000	0	0
189	李魁	#{XSX_220705_314}	set:NPCHead05 image:NPCHead05_5	6000	0	0
190	枯竹大师	#{XSX_220705_315}	set:NPCHead05 image:NPCHead05_2	6000	0	0
191	鲁志生	#{XSX_220705_222}	set:NPCHead06 image:NPCHead06_1	6000	0	0
192	关胜	#{XSX_220705_136}	set:NPCHead05 image:NPCHead05_4	6000	0	0
193	枯竹大师	#{XSX_220705_316}	set:NPCHead05 image:NPCHead05_2	6000	0	0
194	吴永	#{XSX_220705_200}	set:NPCHead06 image:NPCHead06_3	6000	0	0
195	吴永	#{XSX_220705_201}	set:NPCHead06 image:NPCHead06_3	6000	0	0
196	吴永	#{XSX_220705_202}	set:NPCHead06 image:NPCHead06_3	6000	0	0
197	枯荣大师	#{XSX_220705_223}	set:NPCHead06 image:NPCHead06_4	6000	0	0
198	枯荣大师	#{XSX_220705_224}	set:NPCHead06 image:NPCHead06_4	6000	0	0
199	公孙圣	#{XSX_220705_235}	set:NPCHead05 image:NPCHead05_3	6000	0	0
200	玄恪	#{MPCG_191029_375}	set:NPCHead05 image:NPCHead05_1	6000	0	0
201	段无尘	#{MPCG_191029_376}	set:NPCHead04 image:NPCHead04_6	6000	0	0
202	殷怜幽	#{MPCG_191029_377}	set:NPCHead04 image:NPCHead04_5	6000	0	0
203	玄恪	#{MPCG_191029_378}	set:NPCHead05 image:NPCHead05_1	6000	0	0
204	段无尘	#{MPCG_191029_379}	set:NPCHead04 image:NPCHead04_6	6000	0	0
205	殷怜幽	#{MPCG_191029_380}	set:NPCHead04 image:NPCHead04_5	6000	0	0
206	玄恪	#{MPCG_191029_387}	set:NPCHead05 image:NPCHead05_1	6000	0	0
207	玄恪	#{MPCG_191029_389}	set:NPCHead05 image:NPCHead05_1	6000	0	0
208	玄恪	#{MPCG_191029_391}	set:NPCHead05 image:NPCHead05_1	6000	0	0
209	段无尘	#{MPCG_191029_395}	set:NPCHead04 image:NPCHead04_6	6000	0	0
210	段无尘	#{MPCG_191029_397}	set:NPCHead04 image:NPCHead04_6	6000	0	0
211	段无尘	#{MPCG_191029_399}	set:NPCHead04 image:NPCHead04_6	6000	0	0
212	殷怜幽	#{MPCG_191029_402}	set:NPCHead04 image:NPCHead04_5	6000	0	0
213	殷怜幽	#{MPCG_191029_404}	set:NPCHead04 image:NPCHead04_5	6000	0	0
214	殷怜幽	#{MPCG_191029_406}	set:NPCHead04 image:NPCHead04_5	6000	0	0
215	墨如	#{BLCC_20221214_416}	set:NPCHead07 image:NPCHead07_2	6000	0	0
216	墨如	#{BLCC_20221214_417}	set:NPCHead07 image:NPCHead07_2	6000	0	0
217	墨星翁	#{BLCC_20221214_448}	set:NPCHead07 image:NPCHead07_3	6000	0	0
218	墨星翁	#{BLCC_20221214_449}	set:NPCHead07 image:NPCHead07_3	6000	0	0
219	墨离	#{BLCC_20221214_440}	set:NPCHead07 image:NPCHead07_1	6000	0	0
220	墨离	#{BLCC_20221214_441}	set:NPCHead07 image:NPCHead07_1	6000	0	0
221	贪官	#{WDJJ_230614_100}	set:NPCHead07 image:NPCHead07_5	3000	0	0
222	翰林学士	#{WDJJ_230614_101}	set:NPCHead07 image:NPCHead07_4	2000	0	0
223	甄武道	#{WDJJ_230614_134}	set:NPCHead07 image:NPCHead07_6	6000	0	0
224	甄武道	#{WDJJ_230614_154}	set:NPCHead07 image:NPCHead07_6	6000	0	0
225	扫地神僧	#{YMMJ_230626_129}	set:NPCHead08 image:NPCHead08_5	6000	0	0
226	扫地神僧	#{YMMJ_230626_136}	set:NPCHead08 image:NPCHead08_5	6000	0	0
227	赵钱孙	#{YMMJ_230626_130}	set:NPCHead10 image:NPCHead10_2	6000	0	0
228	汪剑通	#{YMMJ_230626_132}	set:NPCHead06 image:NPCHead06_5	6000	0	0
229	玄慈	#{YMMJ_230626_133}	set:NPCHead06 image:NPCHead06_6	6000	0	0
230	扫地神僧	#{YMMJ_230626_134}	set:NPCHead08 image:NPCHead08_5	6000	0	0
231	萧峰心魔	#{YMMJ_230626_135}	set:NPCHead10 image:NPCHead10_3	6000	0	0
232	赵钱孙	#{YMMJ_230626_89}	set:NPCHead10 image:NPCHead10_2	6000	0	0
233	汪剑通	#{YMMJ_230626_96}	set:NPCHead06 image:NPCHead06_5	6000	0	0
234	扫地神僧	#{YMMJ_230626_115}	set:NPCHead08 image:NPCHead08_5	6000	0	0
235	扫地神僧	#{YMMJ_230626_117}	set:NPCHead08 image:NPCHead08_5	6000	0	0
236	萧峰心魔	#{YMMJ_230626_126}	set:NPCHead10 image:NPCHead10_3	6000	0	0
237	萧峰心魔	#{SBJQ_230627_354}	set:NPCHead10 image:NPCHead10_3	6000	0	0
238	萧峰	#{SBJQ_230627_53}	set:NPCHead08 image:NPCHead08_1	6000	0	0
239	萧峰	#{SBJQ_230627_247}	set:NPCHead08 image:NPCHead08_1	6000	0	0
240	萧峰	#{SBJQ_230627_237}	set:NPCHead08 image:NPCHead08_1	6000	0	0
241	萧峰	#{SBJQ_230627_390}	set:NPCHead08 image:NPCHead08_1	6000	0	0
242	谭婆	#{SBJQ_230627_262}	set:NPCHead08 image:NPCHead08_3	6000	0	0
243	谭婆	#{SBJQ_230627_252}	set:NPCHead08 image:NPCHead08_3	6000	0	0
244	谭婆	#{SBJQ_230627_253}	set:NPCHead08 image:NPCHead08_3	6000	0	0
245	谭婆	#{SBJQ_230627_254}	set:NPCHead08 image:NPCHead08_3	6000	0	0
246	谭婆	#{SBJQ_230627_255}	set:NPCHead08 image:NPCHead08_3	6000	0	0
247	谭婆	#{SBJQ_230627_256}	set:NPCHead08 image:NPCHead08_3	6000	0	0
248	玄苦	#{SBJQ_230627_267}	set:NPCHead08 image:NPCHead08_4	6000	0	0
249	玄苦	#{SBJQ_230627_282}	set:NPCHead08 image:NPCHead08_4	6000	0	0
250	扫地僧	#{SBJQ_230627_194}	set:NPCHead08 image:NPCHead08_5	6000	0	0
251	扫地僧	#{SBJQ_230627_200}	set:NPCHead08 image:NPCHead08_5	6000	0	0
252	扫地僧	#{SBJQ_230627_206}	set:NPCHead08 image:NPCHead08_5	6000	0	0
253	萧远山	#{SBJQ_230627_208}	set:NPCHead10 image:NPCHead10_5	6000	0	0
254	萧远山	#{SBJQ_230627_212}	set:NPCHead10 image:NPCHead10_5	6000	0	0
255	扫地僧	#{SBJQ_230627_209}	set:NPCHead08 image:NPCHead08_5	6000	0	0
256	扫地僧	#{SBJQ_230627_222}	set:NPCHead08 image:NPCHead08_5	6000	0	0
257	萧峰	#{SBRC_20230627_51}	set:NPCHead08 image:NPCHead08_1	6000	0	0
258	白世镜	#{SBRC_20230627_52}	set:NPCHead08 image:NPCHead08_6	6000	0	0
259	萧峰	#{SBRC_20230627_74}	set:NPCHead08 image:NPCHead08_1	6000	0	0
260	萧峰	#{SBRC_20230627_77}	set:NPCHead08 image:NPCHead08_1	6000	0	0
261	萧峰	#{SBRC_20230627_80}	set:NPCHead08 image:NPCHead08_1	6000	0	0
262	单正	#{SBRC_20230627_57}	set:NPCHead08 image:NPCHead08_2	6000	0	0
263	萧峰	#{SBRC_20230627_83}	set:NPCHead08 image:NPCHead08_1	6000	0	0
264	萧峰	#{SBRC_20230627_87}	set:NPCHead08 image:NPCHead08_1	6000	0	0
265	萧峰	#{SBRC_20230627_90}	set:NPCHead08 image:NPCHead08_1	6000	0	0
266	谭婆	#{SBRC_20230627_59}	set:NPCHead08 image:NPCHead08_3	6000	0	0
267	萧峰	#{SBRC_20230627_96}	set:NPCHead08 image:NPCHead08_1	6000	0	0
268	萧峰	#{SBRC_20230627_99}	set:NPCHead08 image:NPCHead08_1	6000	0	0
269	萧峰	#{SBRC_20230627_102}	set:NPCHead08 image:NPCHead08_1	6000	0	0
270	玄苦	#{SBRC_20230627_61}	set:NPCHead08 image:NPCHead08_4	6000	0	0
271	玄苦	#{SBRC_20230627_62}	set:NPCHead08 image:NPCHead08_4	6000	0	0
272	萧峰	#{SBRC_20230627_106}	set:NPCHead08 image:NPCHead08_1	6000	0	0
273	萧峰	#{SBRC_20230627_114}	set:NPCHead08 image:NPCHead08_1	6000	0	0
274	萧峰	#{SBRC_20230627_117}	set:NPCHead08 image:NPCHead08_1	6000	0	0
275	赵钱孙	#{YMMJ_230626_141}	set:NPCHead10 image:NPCHead10_2	6000	0	0
276	扫地神僧	#{YMMJ_230626_142}	set:NPCHead08 image:NPCHead08_5	6000	0	0
277	扫地神僧	#{YMMJ_230626_143}	set:NPCHead08 image:NPCHead08_5	6000	0	0
278	扫地神僧	#{YMMJ_230626_144}	set:NPCHead08 image:NPCHead08_5	6000	0	0
279	扫地神僧	#{YMMJ_230626_145}	set:NPCHead08 image:NPCHead08_5	6000	0	0
280	扫地神僧	#{YMMJ_230626_149}	set:NPCHead08 image:NPCHead08_5	6000	0	0
281	带头大哥	#{YMMJ_230626_146}	set:NPCHead10 image:NPCHead10_6	6000	0	0
282	扫地神僧	#{YMMJ_230626_150}	set:NPCHead08 image:NPCHead08_5	6000	0	0
284	萧峰	#{SBJQ_230627_215}	set:NPCHead08 image:NPCHead08_1	6000	0	0
285	甄武道	#{WDJJ_230614_162}	set:NPCHead07 image:NPCHead07_6	6000	0	0
286	扫地神僧	#{YMMJ_230626_184}	set:NPCHead08 image:NPCHead08_5	6000	0	0
287	扫地神僧	#{YMMJ_230626_186}	set:NPCHead08 image:NPCHead08_5	6000	0	0
288	赵钱孙	#{SBJQ_230627_408}	set:NPCHead10 image:NPCHead10_2	6000	0	0
289	单正	#{SBJQ_230627_395}	set:NPCHead08 image:NPCHead08_2	6000	0	0
290	玄苦	#{SBRC_20230627_151}	set:NPCHead08 image:NPCHead08_4	6000	0	0
291	萧峰	#{SBRC_20230627_161}	set:NPCHead08 image:NPCHead08_1	6000	0	0
292	萧峰	#{SBRC_20230627_162}	set:NPCHead08 image:NPCHead08_1	6000	0	0
293	萧峰	#{SBRC_20230627_163}	set:NPCHead08 image:NPCHead08_1	6000	0	0
294	萧峰	#{SBRC_20230627_164}	set:NPCHead08 image:NPCHead08_1	6000	0	0
295	萧峰	#{SBRC_20230627_165}	set:NPCHead08 image:NPCHead08_1	6000	0	0
296	萧峰	#{SBRC_20230627_166}	set:NPCHead08 image:NPCHead08_1	6000	0	0
297	智光	#{SBJQ_230627_410}	set:NPCHead10 image:NPCHead10_1	6000	0	0
298	玄苦	#{SBJQ_230627_336}	set:NPCHead08 image:NPCHead08_4	6000	0	0
299	山岳老人	#{QYFB_20231110_22}	set:NPCHead08 image:NPCHead08_4	6000	0	0
300	山岳老人	#{QYFB_20231110_23}	set:NPCHead08 image:NPCHead08_4	6000	0	0
301	山岳老人	#{QYFB_20231110_24}	set:NPCHead08 image:NPCHead08_4	6000	0	0
302	山岳老人	#{QYFB_20231110_25}	set:NPCHead08 image:NPCHead08_4	6000	0	0
303	山岳老人	#{QYFB_20231110_26}	set:NPCHead08 image:NPCHead08_4	6000	0	0
304	山岳老人	#{QYFB_20231110_27}	set:NPCHead08 image:NPCHead08_4	6000	0	0
305	山岳老人	#{QYFB_20231110_28}	set:NPCHead08 image:NPCHead08_4	6000	0	0
306	山岳老人	#{QYFB_20231110_32}	set:NPCHead08 image:NPCHead08_4	6000	0	0
307	传送npc	#{SFZC_231228_120}	set:NPCHead08 image:NPCHead08_4	6000	0	0
308	传送npc	#{SFZC_231228_123}	set:NPCHead08 image:NPCHead08_4	6000	0	0
309	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
310	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
311	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
312	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
313	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
314	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
315	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
316	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
317	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
318	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
319	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
320	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
321	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
322	邪龙令使	#{KFRC_240326_10}	set:NPCHead11 image:NPCHead11_1	6000	0	0
323	邪龙令使	#{KFRC_240326_11}	set:NPCHead11 image:NPCHead11_1	6000	0	0
324	邪龙令使	#{KFRC_240326_61}	set:NPCHead11 image:NPCHead11_1	6000	0	0
325	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
326	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
327	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
328	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
329	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
330	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
331	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
332	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
333	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
334	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
335	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
336	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
337	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
338	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
339	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
340	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
341	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
342	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
343	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
344	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
345	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
346	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
347	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
348	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
349	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
350	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
351	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
352	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
353	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
354	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
355	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
356	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
357	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
358	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
359	某位NPC	-1	set:NPCHead08 image:NPCHead08_4	6000	0	0
360	幻影紫霞	#{DSJD_240520_185}	set:NPCHead11 image:NPCHead11_3	6000	0	0
361	幻影紫霞	#{DSJD_240520_189}	set:NPCHead11 image:NPCHead11_3	6000	0	0
362	菩提老祖	#{DSJD_240520_210}	set:NPCHead12 image:NPCHead12_2	6000	0	0
363	二郎神	#{DSJD_240520_216}	set:NPCHead12 image:NPCHead12_1	6000	0	0
364	菩提老祖	#{DSJD_240520_239}	set:NPCHead12 image:NPCHead12_2	6000	0	0
365	至尊宝	#{DSJD_240520_187}	set:NPCHead12 image:NPCHead12_3	6000	0	0
366	菩提老祖	#{DSJD_240520_248}	set:NPCHead12 image:NPCHead12_2	6000	0	0
367	菩提老祖	#{DSJD_240520_95}	set:NPCHead12 image:NPCHead12_2	6000	0	0
