INT	INT	INT	INT	INT
621	10142130	-1	-1	45207
622	10142131	-1	-1	45208
623	10142132	-1	-1	45209
624	10142133	-1	-1	45210
625	10142086	-1	-1	45218
626	10142087	-1	-1	45219
627	10142088	-1	-1	45220
628	10142089	-1	-1	45221
629	10142090	-1	-1	45222
630	10142091	-1	-1	45223
631	10142092	-1	-1	45224
632	10142093	-1	-1	45225
633	10142094	-1	-1	45226
634	10142095	-1	-1	45227
635	10142096	-1	-1	45228
636	10142097	-1	-1	45229
637	10142098	-1	-1	45230
638	10142099	-1	-1	45231
639	10142100	-1	-1	45232
640	10142101	-1	-1	45233
641	10142134	-1	-1	45269
642	10142135	-1	-1	45270
643	10142136	-1	-1	45271
644	10142137	-1	-1	45272
645	10142138	-1	-1	45273
646	10142139	-1	-1	45274
647	10142140	-1	-1	45275
648	10142141	-1	-1	45276
649	10142142	-1	-1	45277
650	10142143	-1	-1	45278
651	10142144	-1	-1	45279
652	10142145	-1	-1	45280
653	10142146	-1	-1	45281
654	10142147	-1	-1	45282
655	10142148	-1	-1	45283
656	10142149	-1	-1	45284
657	10142150	-1	-1	45292
658	10142151	-1	-1	45293
659	10142152	-1	-1	45294
660	10142153	-1	-1	45295
661	10142154	-1	-1	45296
662	10142155	-1	-1	45297
663	10142156	-1	-1	45298
664	10142157	-1	-1	45299
665	10142158	-1	-1	45300
666	10142159	-1	-1	45301
667	10142160	-1	-1	45302
668	10142161	-1	-1	45303
669	10142162	-1	-1	45304
670	10142163	-1	-1	45305
671	10142164	-1	-1	45306
672	10142165	-1	-1	45307
673	10142166	-1	-1	45315
674	10142167	-1	-1	45316
675	10142168	-1	-1	45317
676	10142169	-1	-1	45318
677	10142170	-1	-1	45319
678	10142171	-1	-1	45320
679	10142172	-1	-1	45321
680	10142173	-1	-1	45322
681	10142174	-1	-1	45323
682	10142175	-1	-1	45324
683	10142176	-1	-1	45325
684	10142177	-1	-1	45326
685	10142178	-1	-1	45327
686	10142179	-1	-1	45328
687	10142180	-1	-1	45329
688	10142181	-1	-1	45330
689	10142182	-1	-1	45339
690	10142183	-1	-1	45340
691	10142184	-1	-1	45341
692	10142185	-1	-1	45342
693	10142186	-1	-1	45343
694	10142187	-1	-1	45344
695	10142188	-1	-1	45345
696	10142189	-1	-1	45346
697	10142190	-1	-1	45347
698	10142191	-1	-1	45348
699	10142192	-1	-1	45349
700	10142193	-1	-1	45350
701	10142194	-1	-1	45351
702	10142195	-1	-1	45352
703	10142196	-1	-1	45353
704	10142197	-1	-1	45354
705	10142204	-1	-1	45424
706	10142205	-1	-1	45425
707	10142206	-1	-1	45426
708	10142207	-1	-1	45427
709	10142208	-1	-1	45428
710	10142209	-1	-1	45429
711	10142210	-1	-1	45430
712	10142211	-1	-1	45431
713	10142212	-1	-1	45432
714	10142213	-1	-1	45433
715	10142214	-1	-1	45434
716	10142215	-1	-1	45435
717	10142216	-1	-1	45436
718	10142217	-1	-1	45437
719	10142218	-1	-1	45438
720	10142219	-1	-1	45439
721	10142198	-1	-1	45447
722	10142199	-1	-1	45448
723	10142200	-1	-1	45449
724	10142201	-1	-1	45450
725	10142202	-1	-1	45451
726	10142203	-1	-1	45452
727	10142220	-1	-1	45460
728	10142221	-1	-1	45461
729	10142222	-1	-1	45462
730	10142223	-1	-1	45463
731	10142224	-1	-1	45464
732	10142225	-1	-1	45465
733	10142226	-1	-1	45466
734	10142227	-1	-1	45467
735	10142228	-1	-1	45468
736	10142229	-1	-1	45469
737	10142230	-1	-1	45470
738	10142231	-1	-1	45471
739	10142232	-1	-1	45472
740	10142233	-1	-1	45473
741	10142234	-1	-1	45474
742	10142235	-1	-1	45475
743	10142236	-1	-1	45483
744	10142237	-1	-1	45484
745	10142238	-1	-1	45485
746	10142239	-1	-1	45486
747	10142240	-1	-1	45487
748	10142241	-1	-1	45488
749	10142242	-1	-1	45489
750	10142243	-1	-1	45490
751	10142244	-1	-1	45491
752	10142245	-1	-1	45492
753	10142246	-1	-1	45493
754	10142247	-1	-1	45494
755	10142248	-1	-1	45495
756	10142249	-1	-1	45496
757	10142250	-1	-1	45497
758	10142251	-1	-1	45498
759	10142252	-1	-1	45499
760	10142253	-1	-1	45500
761	10142254	-1	-1	45566
762	10142255	-1	-1	45567
763	10142256	-1	-1	45568
764	10142257	-1	-1	45569
765	10142258	-1	-1	45570
766	10142259	-1	-1	45571
767	10142260	-1	-1	45572
768	10142261	-1	-1	45573
769	10142262	-1	-1	45574
770	10142263	-1	-1	45575
771	10142264	-1	-1	45576
772	10142265	-1	-1	45577
773	10142266	-1	-1	45578
774	10142267	-1	-1	45579
775	10142268	-1	-1	45580
776	10142269	-1	-1	45581
777	10142272	-1	-1	45814
778	10142273	-1	-1	45815
779	10142274	-1	-1	45816
780	10142275	-1	-1	45817
781	10142276	-1	-1	45818
782	10142277	-1	-1	45819
783	10142278	-1	-1	45820
784	10142279	-1	-1	45821
785	10142280	-1	-1	45822
786	10142281	-1	-1	45823
787	10142282	-1	-1	45824
788	10142283	-1	-1	45825
789	10142284	-1	-1	45826
790	10142285	-1	-1	45827
791	10142286	-1	-1	45828
792	10142287	-1	-1	45829
793	10142305	-1	-1	45837
794	10142306	-1	-1	45838
795	10142307	-1	-1	45839
796	10142308	-1	-1	45840
797	10142309	-1	-1	45841
798	10142310	-1	-1	45842
799	10142311	-1	-1	45843
800	10142312	-1	-1	45844
801	10142313	-1	-1	45845
802	10142314	-1	-1	45846
803	10142315	-1	-1	45847
804	10142316	-1	-1	45848
805	10142317	-1	-1	45849
806	10142318	-1	-1	45850
807	10142319	-1	-1	45851
808	10142320	-1	-1	45852
809	10142324	-1	-1	46316
810	10142325	-1	-1	46317
811	10142326	-1	-1	46318
812	10142327	-1	-1	46319
813	10142328	-1	-1	46320
814	10142329	-1	-1	46321
815	10142330	-1	-1	46322
816	10142331	-1	-1	46323
817	10142332	-1	-1	46324
818	10142333	-1	-1	46325
819	10142334	-1	-1	46326
820	10142335	-1	-1	46327
821	10142336	-1	-1	46328
822	10142337	-1	-1	46329
823	10142338	-1	-1	46330
824	10142339	-1	-1	46331
825	10142342	-1	-1	46339
826	10142343	-1	-1	46340
827	10142344	-1	-1	46341
828	10142345	-1	-1	46342
829	10142346	-1	-1	46343
830	10142347	-1	-1	46344
831	10142348	-1	-1	46345
832	10142349	-1	-1	46346
833	10142350	-1	-1	46347
834	10142351	-1	-1	46348
835	10142352	-1	-1	46349
836	10142353	-1	-1	46350
837	10142354	-1	-1	46351
838	10142355	-1	-1	46352
839	10142356	-1	-1	46353
840	10142357	-1	-1	46354
841	10142360	-1	-1	46368
842	10142361	-1	-1	46369
843	10142362	-1	-1	46370
844	10142363	-1	-1	46371
845	10142364	-1	-1	46372
846	10142365	-1	-1	46373
847	10142366	-1	-1	46374
848	10142367	-1	-1	46375
849	10142368	-1	-1	46376
850	10142369	-1	-1	46377
851	10142370	-1	-1	46378
852	10142371	-1	-1	46379
853	10142372	-1	-1	46380
854	10142373	-1	-1	46381
855	10142374	-1	-1	46382
856	10142375	-1	-1	46383
857	10142376	-1	-1	46393
858	10142377	-1	-1	46394
859	10142378	-1	-1	46395
860	10142379	-1	-1	46396
861	10142380	-1	-1	46397
862	10142381	-1	-1	46398
863	10142382	-1	-1	46399
864	10142383	-1	-1	46400
865	10142384	-1	-1	46401
866	10142385	-1	-1	46402
867	10142386	-1	-1	46403
868	10142387	-1	-1	46404
869	10142388	-1	-1	46405
870	10142389	-1	-1	46406
871	10142390	-1	-1	46407
872	10142391	-1	-1	46408
873	10142392	-1	-1	47313
874	10142393	-1	-1	47314
875	10142394	-1	-1	47315
876	10142395	-1	-1	47316
877	10142396	-1	-1	47317
878	10142397	-1	-1	47318
879	10142398	-1	-1	47319
880	10142399	-1	-1	47320
881	10142400	-1	-1	47321
882	10142401	-1	-1	47322
883	10142402	-1	-1	47323
884	10142403	-1	-1	47324
885	10142404	-1	-1	47325
886	10142405	-1	-1	47326
887	10142406	-1	-1	47327
888	10142407	-1	-1	47328
889	10142408	-1	-1	46423
890	10142409	-1	-1	46424
891	10142410	-1	-1	46425
892	10142411	-1	-1	46426
893	10142412	-1	-1	46427
894	10142413	-1	-1	46428
895	10142414	-1	-1	46429
896	10142415	-1	-1	46430
897	10142416	-1	-1	46431
898	10142417	-1	-1	46432
899	10142418	-1	-1	46433
900	10142419	-1	-1	46434
901	10142420	-1	-1	46435
902	10142421	-1	-1	46436
903	10142422	-1	-1	46437
904	10142423	-1	-1	46438
905	10142424	-1	-1	46466
906	10142425	-1	-1	46447
907	10142426	-1	-1	46448
908	10142427	-1	-1	46449
909	10142428	-1	-1	46450
910	10142429	-1	-1	46451
911	10142430	-1	-1	46452
912	10142431	-1	-1	46453
913	10142432	-1	-1	46454
914	10142433	-1	-1	46455
915	10142434	-1	-1	46456
916	10142435	-1	-1	46457
917	10142436	-1	-1	46458
918	10142437	-1	-1	46459
919	10142438	-1	-1	46460
920	10142439	-1	-1	46461
921	10142440	-1	-1	46462
922	10142441	-1	-1	46470
923	10142442	-1	-1	46471
924	10142443	-1	-1	46472
925	10142444	-1	-1	46473
926	10142445	-1	-1	46474
927	10142446	-1	-1	46475
928	10142447	-1	-1	46476
929	10142448	-1	-1	46477
930	10142449	-1	-1	46478
