INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT
70600009	1	300	0	450	1120	3000	6750	15000	15000	9	7323	7323	7333	7333	7333	7343	792	792	793	793	793	794	38002524	2	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng#r#GÐÕi Lý#RTh¥n Bí Thß½ng Nhân#{_INFOAIM131, 57, 2, Th¥n Bí Thß½ng Nhân}#WXØ mua#YHoang H°n Ðàn Tß½ng#W#r#GTô Châu#RVân Quyªt Quyªt#{_INFOAIM91, 144, 1, Vân Quyªt Quyªt}#WXØ tiªn hành H°n Tr¥n Hoán Ng÷c#rðánh bÕi#GHuy«n Võ Ðäo·Kính#WThßþng TuÏ C½ näy sinh cái m¾i Ðích#RLµc Thøc Thú H°n#WBOSS	set:PetHeader11 image:PetHeader11_2	6
70600010	0	300	0	300	750	2000	4500	10000	10000	10	-1	-1	-1	-1	-1	-1	797	797	797	797	797	797	38002525	1	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng		5
70600011	0	300	0	300	750	2000	4500	10000	10000	11	-1	-1	-1	-1	-1	-1	797	797	797	797	797	797	38002526	1	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng		4
70600012	0	300	0	300	750	2000	4500	10000	10000	12	-1	-1	-1	-1	-1	-1	797	797	797	797	797	797	38002527	1	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng		3
70600013	0	300	0	300	750	2000	4500	10000	10000	13	-1	-1	-1	-1	-1	-1	797	797	797	797	797	797	38002528	1	#YnH§n ðßþc cách: #r#GThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng#rTÑ Tßþng vinh dñ cØa hàng ð±i		2
70600014	0	300	0	300	750	2000	4500	10000	10000	14	-1	-1	-1	-1	-1	-1	797	797	797	797	797	797	38002529	1	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng		1
70600015	3	300	0	1200	3000	8000	18000	40000	40000	15	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	4	#YnH§n ðßþc cách: #G#rhoÕt ðµng thu hoÕch#W	set:PetHeader11 image:PetHeader11_14	16
70600016	3	300	0	1200	3000	8000	18000	40000	40000	16	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#YnH§n ðßþc cách: #G#rhoÕt ðµng thu hoÕch#W	set:PetHeader11 image:PetHeader11_14	16
70600017	3	300	0	1200	3000	8000	18000	40000	40000	17	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#YnH§n ðßþc cách: #G#rhoÕt ðµng thu hoÕch#W	set:PetHeader11 image:PetHeader11_14	16
70600018	3	300	0	1200	3000	8000	18000	40000	40000	18	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#YnH§n ðßþc cách: #G#rhoÕt ðµng thu hoÕch#W	set:PetHeader11 image:PetHeader11_14	16
70600019	3	300	0	1200	3000	8000	18000	40000	40000	19	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#YnH§n ðßþc cách: #G#rhoÕt ðµng thu hoÕch#W	set:PetHeader11 image:PetHeader11_14	16
70600020	3	300	0	1200	3000	8000	18000	40000	40000	20	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#YnH§n ðßþc cách: #G#rhoÕt ðµng thu hoÕch#W	set:PetHeader11 image:PetHeader11_14	16
70600021	3	300	0	1200	3000	8000	18000	40000	40000	21	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#YnH§n ðßþc cách: #G#rhoÕt ðµng thu hoÕch#W	set:PetHeader11 image:PetHeader11_14	16
70600022	3	300	0	1200	3000	8000	18000	40000	40000	22	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#YnH§n ðßþc cách: #G#rhoÕt ðµng thu hoÕch#W	set:PetHeader11 image:PetHeader11_14	16
70600023	3	300	0	1200	3000	8000	18000	40000	40000	23	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#YnH§n ðßþc cách: #G#rhoÕt ðµng thu hoÕch#W	set:PetHeader11 image:PetHeader11_14	16
70600024	3	300	0	1200	3000	8000	18000	40000	40000	24	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#YnH§n ðßþc cách: #G#rhoÕt ðµng thu hoÕch#W	set:PetHeader11 image:PetHeader11_14	16
70600025	3	300	0	1200	3000	8000	18000	40000	40000	25	7678	7678	7679	7679	7679	7680	946	946	947	947	947	948	38002732	-1	#YnH§n ðßþc cách: #G#rhoÕt ðµng thu hoÕch#W	set:PetHeader11 image:PetHeader11_14	16
70600026	2	300	0	600	1500	4000	9000	20000	20000	2	7315	7315	7325	7325	7325	7335	773	773	774	774	774	768	-1	-1	#YnH§n ðßþc cách: #G#rThanh Khâu Thí Luy®n#Wbän sao r½i xu¯ng#r#GÐÕi Lý#RTh¥n Bí Thß½ng Nhân#{_INFOAIM131, 57, 2, Th¥n Bí Thß½ng Nhân}#WXØ mua#YTh¥n H°n Ðàn Tß½ng#r#GTô Châu#RVân Quyªt Quyªt#{_INFOAIM91, 144, 1, Vân Quyªt Quyªt}#WXØ tiªn hành H°n Tr¥n Hoán Ng÷c#rðánh bÕi#GHuy«n Võ Ðäo·Kính#WThßþng TuÏ C½ näy sinh cái m¾i Ðích#RBÕch H± Thú H°n#WBOSS#W#rsØ døng#YH°n Th¥n Chi Quy¬n#Wtiªn vào#GHuy«n Võ Ðäo·Kính#WTrung ðánh bÕi#Rkhông kh¯ng chª ðßþc Ðích BÕch H± Thú H°n	set:PetHeader11 image:PetHeader11_5	13
