INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING
9	3517	3518	3519	3520	3521	3522	165	0	35	5	10	15	20	30	40	5	10	15	20	30	40	Ð« cao chü nhân Ðích hi¬u ý%dÐi¬m	0	36	5	10	15	20	30	40	5	10	15	20	30	40	Ð« cao chü nhân Ðích hi¬u ý phòng ngñ%dÐi¬m	Lµc Thøc H°n Phø·Linh Phong	set:PetSoulSkill1 image:PetSoulSkill1_15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	3523	3524	3525	3526	3527	3528	165	0	17	500	1000	1600	2300	3100	4000	500	1000	1600	2300	3100	4000	Ð« cao chü nhân Ðích ngoÕi công công kích%dÐi¬m	0	19	500	1000	1600	2300	3100	4000	500	1000	1600	2300	3100	4000	Ð« cao chü nhân Ðích nµi công công kích%dÐi¬m	Xích Hùng H°n Phø·Thôi S½n	set:PetSoulSkill1 image:PetSoulSkill1_5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	3529	3530	3531	3532	3533	3534	165	0	18	500	1000	1600	2300	3100	4000	500	1000	1600	2300	3100	4000	Ð« cao chü nhân Ðích ngoÕi công phòng ngñ%dÐi¬m	0	20	500	1000	1600	2300	3100	4000	500	1000	1600	2300	3100	4000	Ð« cao chü nhân Ðích nµi công phòng ngñ%dÐi¬m	BÕch Câu H°n Phø·Thü Tâm	set:PetSoulSkill1 image:PetSoulSkill1_2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	3535	3536	3537	3538	3539	3540	165	0	34	333	599	932	1331	1797	2329	333	599	932	1331	1797	2329	Ð« cao chü nhân Ðích M®nh Trung%dÐi¬m	0	33	128	230	357	510	689	893	128	230	357	510	689	893	Ð« cao chü nhân Ðích Thi¬m T¸%dÐi¬m	Linh Thi«n H°n Phø·Toái Änh	set:PetSoulSkill1 image:PetSoulSkill1_13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	3541	3542	3543	3544	3545	3546	165	0	5	1026	2008	3346	4908	6783	9371	1026	2008	3346	4908	6783	9371	Ð« cao chü nhân Ðích Huyªt Thßþng HÕn%dÐi¬m	0	35	3	6	9	12	18	24	3	6	9	12	18	24	Ð« cao chü nhân Ðích hi¬u ý%dÐi¬m	Thß½ng Lang H°n Phø·Ph® Nguy®t	set:PetSoulSkill1 image:PetSoulSkill1_4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	3568	3569	3570	3571	3572	3573	165	0	2	15	30	51	74	103	142	15	30	51	74	103	142	Ð« cao chü nhân Ðích th¬ lñc%dÐi¬m	0	36	3	6	9	12	18	24	3	6	9	12	18	24	Ð« cao chü nhân Ðích hi¬u ý phòng ngñ%dÐi¬m	Phi Dß½ng H°n Phø·Linh Quyªn	set:PetSoulSkill1 image:PetSoulSkill1_6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	3703	3704	3705	3706	3707	3708	165	0	5	5000	10000	16000	23000	31000	40000	5000	10000	16000	23000	31000	40000	Ð« cao chü nhân Ðích Huyªt Thßþng HÕn%dÐi¬m	1	-1	45415	45416	45417	45418	45419	45420	300	350	400	500	600	800	Chü nhân khi t¤n công Hæu 2%%tÖ l® Ch¤n Nhiªp ð¸ch nhân Ðích h°n phách, SÑ Chi Tê Li®t%sSao	Cùng KÏ H°n Phø·Quy Khß	set:PetSoulSkill3 image:PetSoulSkill3_1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	3703	3704	3705	3706	3707	3708	165	1	-1	45415	45416	45417	45418	45419	45420	300	350	400	500	600	800	Chü nhân khi t¤n công Hæu 2%%tÖ l® Ch¤n Nhiªp ð¸ch nhân Ðích h°n phách, SÑ Chi Tê Li®t%sSao	0	21	50	90	140	200	270	350	50	90	140	200	270	350	Ð« cao chü nhân Ðích Bång Công Kích%dÐi¬m	Cùng KÏ H°n Phø·Quy Khß	set:PetSoulSkill3 image:PetSoulSkill3_1	0	23	20	35	50	70	95	125	20	35	50	70	95	125	Ð« cao chü nhân Ðích xem nh© møc tiêu Bång Kháng%dÐi¬m	Thanh Long H°n Phø·Thiên Cß½ng
17	3703	3704	3705	3706	3707	3708	165	1	-1	45415	45416	45417	45418	45419	45420	300	350	400	500	600	800	Chü nhân khi t¤n công Hæu 2%%tÖ l® Ch¤n Nhiªp ð¸ch nhân Ðích h°n phách, SÑ Chi Tê Li®t%sSao	0	30	50	90	140	200	270	350	50	90	140	200	270	350	Ð« cao chü nhân Ðích Ðµc Công Kích%dÐi¬m	Cùng KÏ H°n Phø·Quy Khß	set:PetSoulSkill3 image:PetSoulSkill3_1	0	32	20	35	50	70	95	125	20	35	50	70	95	125	Ð« cao chü nhân Ðích xem nh© møc tiêu Ðµc Kháng%dÐi¬m	Huy«n Vû H°n Phø·CØu U
18	3703	3704	3705	3706	3707	3708	165	1	-1	45415	45416	45417	45418	45419	45420	300	350	400	500	600	800	Chü nhân khi t¤n công Hæu 2%%tÖ l® Ch¤n Nhiªp ð¸ch nhân Ðích h°n phách, SÑ Chi Tê Li®t%sSao	0	27	50	90	140	200	270	350	50	90	140	200	270	350	Ð« cao chü nhân Ðích Huy«n Công Kích%dÐi¬m	Cùng KÏ H°n Phø·Quy Khß	set:PetSoulSkill3 image:PetSoulSkill3_1	0	29	20	35	50	70	95	125	20	35	50	70	95	125	Ð« cao chü nhân Ðích xem nh© møc tiêu Huy«n Kháng%dÐi¬m	BÕch H± H°n Phø·Vînh DÕ
19	3703	3704	3705	3706	3707	3708	165	1	-1	45415	45416	45417	45418	45419	45420	300	350	400	500	600	800	Chü nhân khi t¤n công Hæu 2%%tÖ l® Ch¤n Nhiªp ð¸ch nhân Ðích h°n phách, SÑ Chi Tê Li®t%sSao	0	24	50	90	140	200	270	350	50	90	140	200	270	350	Ð« cao chü nhân Ðích Hoä Công Kích%dÐi¬m	Cùng KÏ H°n Phø·Quy Khß	set:PetSoulSkill3 image:PetSoulSkill3_1	0	26	20	35	50	70	95	125	20	35	50	70	95	125	Ð« cao chü nhân Ðích xem nh© møc tiêu Hoä Kháng%dÐi¬m	Chu Tß¾c H°n Phø·Trùng Minh
20	3703	3704	3705	3706	3707	3708	165	1	-1	45415	45416	45417	45418	45419	45420	300	350	400	500	600	800	Chü nhân khi t¤n công Hæu 2%%tÖ l® Ch¤n Nhiªp ð¸ch nhân Ðích h°n phách, SÑ Chi Tê Li®t%sSao	0	5	2300	4500	7500	11000	15200	21000	2300	4500	7500	11000	15200	21000	Ð« cao chü nhân Ðích Huyªt Thßþng HÕn%dÐi¬m	Cùng KÏ H°n Phø·Quy Khß	set:PetSoulSkill3 image:PetSoulSkill3_1	0	-1	5	10	16	24	33	45	5	10	16	24	33	45	Ð« cao chü nhân Ð¯i Trân Thú tÕo thành Ðích thß½ng t±n%d%%	CØu vî H°n Phø·thiên thu
21	3703	3704	3705	3706	3707	3708	165	0	5	5000	10000	16000	23000	31000	40000	5000	10000	16000	23000	31000	40000	Ð« cao chü nhân Ðích Huyªt Thßþng HÕn%dÐi¬m	0	21	50	90	140	200	270	350	50	90	140	200	270	350	Ð« cao chü nhân Ðích Bång Công Kích%dÐi¬m	Cùng KÏ H°n Phø·Quy Khß	set:PetSoulSkill3 image:PetSoulSkill3_1	0	23	20	35	50	70	95	125	20	35	50	70	95	125	Ð« cao chü nhân Ðích xem nh© møc tiêu Bång Kháng%dÐi¬m	Thanh Long H°n Phø·Thiên Cß½ng
22	3703	3704	3705	3706	3707	3708	165	0	5	5000	10000	16000	23000	31000	40000	5000	10000	16000	23000	31000	40000	Ð« cao chü nhân Ðích Huyªt Thßþng HÕn%dÐi¬m	0	30	50	90	140	200	270	350	50	90	140	200	270	350	Ð« cao chü nhân Ðích Ðµc Công Kích%dÐi¬m	Cùng KÏ H°n Phø·Quy Khß	set:PetSoulSkill3 image:PetSoulSkill3_1	0	32	20	35	50	70	95	125	20	35	50	70	95	125	Ð« cao chü nhân Ðích xem nh© møc tiêu Ðµc Kháng%dÐi¬m	Huy«n Vû H°n Phø·CØu U
23	3703	3704	3705	3706	3707	3708	165	0	5	5000	10000	16000	23000	31000	40000	5000	10000	16000	23000	31000	40000	Ð« cao chü nhân Ðích Huyªt Thßþng HÕn%dÐi¬m	0	27	50	90	140	200	270	350	50	90	140	200	270	350	Ð« cao chü nhân Ðích Huy«n Công Kích%dÐi¬m	Cùng KÏ H°n Phø·Quy Khß	set:PetSoulSkill3 image:PetSoulSkill3_1	0	29	20	35	50	70	95	125	20	35	50	70	95	125	Ð« cao chü nhân Ðích xem nh© møc tiêu Huy«n Kháng%dÐi¬m	BÕch H± H°n Phø·Vînh DÕ
24	3703	3704	3705	3706	3707	3708	165	0	5	5000	10000	16000	23000	31000	40000	5000	10000	16000	23000	31000	40000	Ð« cao chü nhân Ðích Huyªt Thßþng HÕn%dÐi¬m	0	24	50	90	140	200	270	350	50	90	140	200	270	350	Ð« cao chü nhân Ðích Hoä Công Kích%dÐi¬m	Cùng KÏ H°n Phø·Quy Khß	set:PetSoulSkill3 image:PetSoulSkill3_1	0	26	20	35	50	70	95	125	20	35	50	70	95	125	Ð« cao chü nhân Ðích xem nh© møc tiêu Hoä Kháng%dÐi¬m	Chu Tß¾c H°n Phø·Trùng Minh
25	3703	3704	3705	3706	3707	3708	165	0	5	5000	10000	16000	23000	31000	40000	5000	10000	16000	23000	31000	40000	Ð« cao chü nhân Ðích Huyªt Thßþng HÕn%dÐi¬m	0	5	2300	4500	7500	11000	15200	21000	2300	4500	7500	11000	15200	21000	Ð« cao chü nhân Ðích Huyªt Thßþng HÕn%dÐi¬m	Cùng KÏ H°n Phø·Quy Khß	set:PetSoulSkill3 image:PetSoulSkill3_1	0	-1	5	10	16	24	33	45	5	10	16	24	33	45	Ð« cao chü nhân Ð¯i Trân Thú tÕo thành Ðích thß½ng t±n%d%%	CØu vî H°n Phø·thiên thu
