INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT
32	LoverTime_JuanL	80	45	82	62	LoverTime_JuanR	0	45	82	62
33	LoverTime_ZhengL	89	45	90	60	LoverTime_ZhengR	0	45	90	60
34	MenPaiDadiziLeft	60	50	66	50	MenPaiDadiziRight	0	50	66	50
35	MenPaiFirstOneLeft	54	42	56	42	MenPaiFirstOneRight	0	42	56	42
36	MenPaiSecondLeft	54	36	58	36	MenPaiSecondRight	0	36	58	36
37	MenPaiThirdLeft	36	27	36	22	MenPaiThirdRight	0	27	36	22
38	Cehuatuan_L	64	37	66	46	Cehuatuan_R	0	37	66	46
39	QX2HB2_L	89	45	86	54	QX2HB2_R	0	45	86	54
40	QX2HB1_L	89	45	86	54	QX2HB1_R	0	45	86	54
41	QX2HB3_L	66	36	70	52	QX2HB3_R	4	36	70	52
42	MPCGTOP1_L	89	45	86	54	MPCGTOP1_R	0	45	86	54
43	MPCGTOP2_L	66	36	70	52	MPCGTOP2_R	4	36	70	52
44	MPCGTOP3_L	60	50	64	48	MPCGTOP3_R	0	50	64	48
45	Jianianhua_L	80	40	80	54	Jianianhua_R	0	40	80	54
46	ShaXing_XzR	45	40	44	42	ShaXing_XzL	0	40	44	42
47	ShaXing_HfL	44	40	50	42	ShaXing_HfR	0	40	50	42
48	ShaXing_TtL	66	45	78	46	ShaXing_TtR	0	45	78	46
49	NewKeju_L	58	32	60	32	NewKeju_R	0	32	60	32
50	Agname_Wing_W_L	17	29	23	25	Agname_Wing_W_R	4	29	23	25
51	Married01L	27	27	32	22	Married01R	0	27	32	22
52	Married02L	35	29	40	24	Married02R	0	29	40	24
53	Married03L	29	29	34	24	Married03R	0	29	34	24
54	Married04L	41	31	46	26	Married04R	0	31	46	26
55	Married05L	44	34	49	32	Married05R	0	34	49	32
56	Married06L	47	32	52	29	Married06R	0	32	52	29
57	Married07L	45	34	50	33	Married07R	0	34	50	33
58	Married08L	59	33	64	35	Married08R	0	33	64	35
59	Married09L	57	40	62	42	Married09R	0	40	62	42
60	TVB_zuo	40	30	44	40	TVB_you	0	30	44	40
61	FuQiTit_L	50	30	56	30	FuQiTit_R	4	30	56	30
62	SQHXS_L	57	40	62	41	SQHXS_R	0	40	62	41
63	WQHJ_L	49	30	54	29	WQHJ_R	0	30	54	29
64	JWQHL_L	40	40	40	41	JWQHL_R	0	40	40	41
65	DoublePK1_L	44	40	48	40	DoublePK1_R	0	40	48	40
66	DoublePK2_L	44	40	48	40	DoublePK2_R	0	40	48	40
67	DoublePK3_L	40	40	48	40	DoublePK3_R	0	40	48	40
68	PanlingxiL	36	27	38	18	PanlingxiR	0	27	38	18
69	WenlingxiL	41	31	46	26	WenlingxiR	0	31	46	26
70	GonglingxiL	57	40	62	38	GonglingxiR	0	40	62	38
71	ChanggejianyingL	55	39	58	44	ChanggejianyingR	0	39	58	44
72	ChunfengxiaoyuL	44	40	48	42	ChunfengxiaoyuR	0	40	48	42
73	HCLR_L	30	29	35	27	HCLR_R	0	28	35	27
74	LYZJ_L	69	46	75	61	LYZJ_R	0	44	75	61
75	LBXZ_L	73	50	76	61	LBXZ_R	0	48	75	61
76	QCJR_L	45	32	48	34	QCJR_R	0	31	48	34
77	WSJZ_L	54	32	59	34	WSJZ_R	0	32	59	34
78	ZSGZ_L	32	27	35	27	ZSGZ_R	0	27	35	27
79	ZhuJian_L	66	36	76	36	ZhuJian_R	4	36	76	36
80	JNH_MQTL_L	62	36	66	40	JNH_MQTL_R	0	36	66	40
81	Weiguangzhixing_L	76	47	88	68	Weiguangzhixing_R	6	45	88	68
82	YJLTHXS_L	45	32	46	38	YJLTHXS_R	0	31	46	38
83	ZHLTWSK_L	57	40	62	48	ZHLTWSK_R	0	40	62	48
84	YSYN_L	57	40	56	36	YSYN_R	0	40	56	36
85	JLZT_L	44	40	50	46	JLZT_R	0	40	50	46
86	Agname_Wing_F_L	22	22	28	15	Agname_Wing_F_R	3	22	28	15
87	JMYXSLH_L	70	44	76	44	JMYXSLH_R	2	44	76	44
88	JZXSZWY_L	62	36	66	40	JZXSZWY_R	0	36	66	40
89	JZCSZSF_L	54	38	56	40	JZCSZSF_R	0	38	56	40
90	Dahua_YSSA_L	40	40	42	40	Dahua_YSSA_R	0	40	42	40
91	QXXSJRLMJ_L	44	40	48	48	QXXSJRLMJ_R	0	40	48	48
92	DHXY_PVP_L	38	29	38	29	DHXY_PVP_R	0	29	38	29
93	DHXY_DHGS_L	46	34	49	41	DHXY_DHGS_R	0	34	49	41
94	DHXYQX_WKL	89	45	84	54	DHXYQX_WKR	0	45	84	54
95	DHXYQX_ZXL	89	45	84	54	DHXYQX_ZXR	0	45	84	54
96	JNH_CAGF_L	80	40	80	54	JNH_CAGF_R	0	40	80	54
97	TLZFHXS_L	44	36	47	35	TLZFHXS_R	0	36	47	35
98	YFTSH_L	54	32	55	36	YFTSH_R	0	32	55	36
99	CXZTQ_L	62	36	65	37	CXZTQ_R	0	36	65	37
100	XHNBWHX_L	70	44	70	46	XHNBWHX_R	2	44	70	46
101	Frozen_Answer_pz1_z	34	40	36	42	Frozen_Answer_pz1_y	0	40	36	42
102	Qjpysbh_L	68	44	70	46	Qjpysbh_R	0	44	70	46
103	Azzjwlkj_L	70	44	70	46	Azzjwlkj_R	2	44	70	46
104	Hzzjjhjh_L	62	36	60	40	Hzzjjhjh_R	0	36	60	40
105	Ljzjqxzs_L	80	40	80	52	Ljzjqxzs_R	0	40	80	52
106	ZYLK_L	46	34	54	42	ZYLK_R	0	34	54	42
107	Jianianhua_JZYFWCS_L	66	45	74	50	Jianianhua_JZYFWCS_R	0	45	74	50
108	HQWZ_L	60	42	64	41	HQWZ_R	2	42	64	41
109	WDCSZCF_L	46	40	48	44	WDCSZCF_R	0	40	48	44
110		64	68	74	78		10	68	74	78
111	yifuzuo	64	68	74	78	yifuyou	10	68	74	78
112	chongwuzuo	64	68	74	78	chongwuyou	10	68	74	78
113	baoshizuo	64	68	74	78	baoshiyou	10	68	74	78
114	XYHYTHQ_L	66	45	67	45	XYHYTHQ_R	0	45	67	45
