INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10210056	1	2	10	56	1	247	22	-1	-1	碎魄盔	72	-1	上古流传下来的碎魂石制成，华丽，蕴含着神秘力量，能够聚集天地间的灵气化为己用。	1640	1312	202	3	3	-1	-1	Hat3_8	帽子	1	1	-1	-1	234	234	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	61	-1	2	61	61	61	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	1072	4	7	1	250	10210058	0	0	0	1	-1
10210058	1	2	10	58	1	248	22	-1	-1	哀凰天盔	82	-1	哀凰的鳞片打造的甲胄，上有天女施加的魔力，坚固无比的神奇装备，能够驱敌于无形。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	2240	1792	215	3	3	-1	-1	Hat4_2	帽子	1	1	-1	-1	266	266	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	61	-1	2	61	61	61	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	1082	4	7	1	250	10210060	0	0	0	1	-1
10210060	1	2	10	60	1	249	22	-1	-1	凶陌圣盔	92	-1	蕴藏了紫薇仙术封印的世间凶恶之魂，据说此物为天界轩辕之部所有，以鸾蛟皮制成，威力不容小窥。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	3160	2528	227	3	3	-1	-1	Hat4_7	帽子	1	1	-1	-1	298	298	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	61	-1	2	61	61	61	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	1092	4	7	1	250	-1	0	0	0	1	-1
10211014	1	2	11	14	4	166	22	-1	-1	七星鞋	64	-1	紫气缠绕，给穿戴者带来神秘的力量。	1325	1060	192	3	3	-1	-1	Shoes3_6	鞋	1	1	-1	-1	202	202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	1064	4	7	1	250	10211016	0	0	0	1	-1
10211016	1	2	11	16	4	167	22	-1	-1	引凤鞋	74	-1	带有沉香的味道，据说可引来凤凰，仿若仙界之物。	1685	1348	205	3	3	-1	-1	Shoes4_2	鞋	1	1	-1	-1	234	234	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	1074	4	7	1	250	10211018	0	0	0	1	-1
10211018	1	2	11	18	4	168	22	-1	-1	沐水天靴	84	-1	传说可映出沐羽神鸟的神奇靴子，世之罕见。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	2310	1848	217	3	3	-1	-1	Shoes4_7	鞋	1	1	-1	-1	266	266	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	1084	4	7	1	250	10211020	0	0	0	1	-1
10211020	1	2	11	20	4	169	22	-1	-1	幻世圣靴	94	-1	由传说中可穿越三界的奇幻材料制成，非凡间之物，罕得之。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	3240	2592	230	3	3	-1	-1	Shoes4_12	鞋	1	1	-1	-1	298	298	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	1094	4	7	1	250	-1	0	0	0	1	-1
10211034	1	2	11	34	4	176	22	-1	-1	赤瑶履	64	-1	传说中九天玄女穿戴之物，据说乃瑶池仙女以手工缝制而成。	1325	1060	192	3	3	-1	-1	Shoes3_6	鞋	1	1	-1	-1	202	202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	23	23	2	23	23	23	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	1064	4	7	1	250	10211036	0	0	0	1	-1
10211036	1	2	11	36	4	177	22	-1	-1	九霄履	74	-1	由灵霄宝殿中的金色云朵制成，防御力奇高，据说乃天神的战备品。	1685	1348	205	3	3	-1	-1	Shoes4_2	鞋	1	1	-1	-1	234	234	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	23	23	2	23	23	23	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	1074	4	7	1	250	10211038	0	0	0	1	-1
10211038	1	2	11	38	4	178	22	-1	-1	玄魄仙履	84	-1	传说是用冥界鬼域魂魄制成，并由大师加持了大悲咒，穿戴者无论所处险境再困难，皆有可能反败为胜。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	2310	1848	217	3	3	-1	-1	Shoes4_7	鞋	1	1	-1	-1	266	266	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	23	23	2	23	23	23	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	1084	4	7	1	250	10211040	0	0	0	1	-1
10211040	1	2	11	40	4	179	22	-1	-1	噬麟圣履	94	-1	据说是由一种吞噬麒麟而生的神兽皮打造而成的，上有麒麟魂魄的魔力，坚固无比的神奇装备，能够御敌于无形。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	3240	2592	230	3	3	-1	-1	Shoes4_12	鞋	1	1	-1	-1	298	298	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	23	23	2	23	23	23	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	1094	4	7	1	250	-1	0	0	0	1	-1
10211054	1	2	11	54	4	186	22	-1	-1	隐狼靴	64	-1	具有灵性的罕有之物，据传是圣兽隐狼被降伏后幻变而成，蕴涵了无穷的能量。 	1325	1060	192	3	3	-1	-1	Shoes3_6	鞋	1	1	-1	-1	202	202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	30	-1	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	1064	4	7	1	250	10211056	0	0	0	1	-1
10211056	1	2	11	56	4	187	22	-1	-1	碎魄靴	74	-1	上古流传下来的碎魂石制成，华丽，蕴含着神秘力量，能够聚集天地间的灵气化为己用。	1685	1348	205	3	3	-1	-1	Shoes4_2	鞋	1	1	-1	-1	234	234	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	30	-1	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	1074	4	7	1	250	10211058	0	0	0	1	-1
10211058	1	2	11	58	4	188	22	-1	-1	哀凰天靴	84	-1	哀凰的鳞片打造的甲胄，上有天女施加的魔力，坚固无比的神奇装备，能够驱敌于无形。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	2310	1848	217	3	3	-1	-1	Shoes4_7	鞋	1	1	-1	-1	266	266	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	30	-1	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	1084	4	7	1	250	10211060	0	0	0	1	-1
10211060	1	2	11	60	4	189	22	-1	-1	凶陌圣靴	94	-1	蕴藏了紫薇仙术封印的世间凶恶之魂，据说此物为天界轩辕之部所有，以鸾蛟皮制成，威力不容小窥。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	3240	2592	230	3	3	-1	-1	Shoes4_12	鞋	1	1	-1	-1	298	298	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	30	-1	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	1094	4	7	1	250	-1	0	0	0	1	-1
10212014	1	2	12	14	3	196	22	-1	-1	七星手套	66	-1	紫气缠绕，给穿戴者带来神秘的力量。	1395	1116	195	3	3	-1	-1	Cuff2_13	手套	1	1	-1	-1	202	202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	1066	4	7	1	250	10212016	0	0	0	1	-1
10212016	1	2	12	16	3	197	22	-1	-1	引凤手套	76	-1	带有沉香的味道，据说可引来凤凰，仿若仙界之物。	1730	1384	207	3	3	-1	-1	Cuff3_7	手套	1	1	-1	-1	234	234	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	1076	4	7	1	250	10212018	0	0	0	1	-1
10212018	1	2	12	18	3	198	22	-1	-1	沐水手套	86	-1	传说可映出沐羽神鸟的神奇手套，世之罕见。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	2380	1904	220	3	3	-1	-1	Cuff4_2	手套	1	1	-1	-1	266	266	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	1086	4	7	1	250	10212020	0	0	0	1	-1
10212020	1	2	12	20	3	199	22	-1	-1	幻世手套	96	-1	由传说中可穿越三界的奇幻材料制成，非凡间之物，罕得之。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	3320	2656	232	3	3	-1	-1	Cuff4_7	手套	1	1	-1	-1	298	298	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	1096	4	7	1	250	-1	0	0	0	1	-1
10212034	1	2	12	34	3	206	22	-1	-1	赤瑶护手	66	-1	传说中九天玄女穿戴之物，据说乃瑶池仙女以手工缝制而成。	1395	1116	195	3	3	-1	-1	Cuff2_13	手套	1	1	-1	-1	202	202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	23	23	2	23	23	23	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	1066	4	7	1	250	10212036	0	0	0	1	-1
10212036	1	2	12	36	3	207	22	-1	-1	九霄护手	76	-1	由灵霄宝殿中的金色云朵制成，防御力奇高，据说乃天神的战备品。	1730	1384	207	3	3	-1	-1	Cuff3_7	手套	1	1	-1	-1	234	234	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	23	23	2	23	23	23	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	1076	4	7	1	250	10212038	0	0	0	1	-1
10212038	1	2	12	38	3	208	22	-1	-1	玄魄麟手	86	-1	传说是用冥界鬼域魂魄制成，并由大师加持了大悲咒，穿戴者无论所处险境再困难，皆有可能反败为胜。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	2380	1904	220	3	3	-1	-1	Cuff4_2	手套	1	1	-1	-1	266	266	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	23	23	2	23	23	23	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	1086	4	7	1	250	10212040	0	0	0	1	-1
10212040	1	2	12	40	3	209	22	-1	-1	噬麟玄手	96	-1	据说是由一种吞噬麒麟而生的神兽皮打造而成的，上有麒麟魂魄的魔力，坚固无比的神奇装备，能够御敌于无形。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	3320	2656	232	3	3	-1	-1	Cuff4_7	手套	1	1	-1	-1	298	298	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	23	23	2	23	23	23	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	1096	4	7	1	250	-1	0	0	0	1	-1
10212054	1	2	12	54	3	216	22	-1	-1	隐狼掌	66	-1	具有灵性的罕有之物，据传是圣兽隐狼被降伏后幻变而成，蕴涵了无穷的能量。 	1395	1116	195	3	3	-1	-1	Cuff2_13	手套	1	1	-1	-1	202	202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	30	-1	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	1066	4	7	1	250	10212056	0	0	0	1	-1
10212056	1	2	12	56	3	217	22	-1	-1	碎魄掌	76	-1	上古流传下来的碎魂石制成，华丽，蕴含着神秘力量，能够聚集天地间的灵气化为己用。	1730	1384	207	3	3	-1	-1	Cuff3_7	手套	1	1	-1	-1	234	234	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	30	-1	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	1076	4	7	1	250	10212058	0	0	0	1	-1
10212058	1	2	12	58	3	218	22	-1	-1	哀凰天掌	86	-1	哀凰的鳞片打造的甲胄，上有天女施加的魔力，坚固无比的神奇装备，能够驱敌于无形。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	2380	1904	220	3	3	-1	-1	Cuff4_2	手套	1	1	-1	-1	266	266	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	30	-1	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	1086	4	7	1	250	10212060	0	0	0	1	-1
10212060	1	2	12	60	3	219	22	-1	-1	凶陌圣掌	96	-1	蕴藏了紫薇仙术封印的世间凶恶之魂，据说此物为天界轩辕之部所有，以鸾蛟皮制成，威力不容小窥。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	3320	2656	232	3	3	-1	-1	Cuff4_7	手套	1	1	-1	-1	298	298	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	30	-1	2	30	30	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	1096	4	7	1	250	-1	0	0	0	1	-1
