INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
28	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
29	Tô Châu	1	Ð£ng M§u	152	239	128	1081	1001	-1	-1	0	LÕc Dß½ng	10	139	182
30	Tô Châu	1	Ð£ng M§u	152	239	128	1081	1006	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
31	Tô Châu	1	Ð£ng M§u	152	239	128	1081	1002	-1	-1	2	ÐÕi Lý	10	241	136
32	Tô Châu	1	Ð£ng M§u	152	239	128	1081	1007	-1	-1	186	Lâu Lan	75	285	130
33	Tô Châu	1	Ð£ng M§u	152	239	128	1081	1010	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
34	Tô Châu	1	Ð£ng M§u	152	239	128	1081	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
35	Tô Châu	1	Ð£ng M§u	152	239	128	1081	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
36	Tô Châu	1	Ð£ng M§u	152	239	128	1081	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
37	Tô Châu	1	Ð£ng M§u	152	239	128	1081	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
38	Tô Châu	1	Ð£ng M§u	152	239	128	1081	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
39	Tô Châu	1	Ð£ng M§u	152	239	128	1081	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
40	Tô Châu	1	Ð£ng M§u	152	239	128	1081	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
41	Tô Châu	1	Ð£ng M§u	152	239	128	1081	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
42	Tô Châu	1	Ð£ng M§u	152	239	128	1081	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
43	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	1001	-1	-1	0	LÕc Dß½ng	10	139	182
44	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	1006	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
45	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	1002	-1	-1	2	ÐÕi Lý	10	241	136
46	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	1007	-1	-1	186	Lâu Lan	75	285	130
47	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	1010	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
48	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
49	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
50	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
51	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
52	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
53	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
54	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
55	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
56	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
57	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	1001	-1	-1	0	LÕc Dß½ng	10	139	182
58	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	1006	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
59	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	1002	-1	-1	1	Tô Châu	10	111	160
60	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	1007	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
61	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	1011	-1	-1	186	Lâu Lan	75	285	130
62	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	1010	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
63	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
64	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
65	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
66	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
67	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
68	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
69	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
70	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
71	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
72	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	0	LÕc Dß½ng	10	139	182
73	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
74	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	1	Tô Châu	10	111	160
75	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
76	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	2	ÐÕi Lý	10	241	136
77	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
78	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
79	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
80	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
81	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
82	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
83	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
84	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
85	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
86	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	0	LÕc Dß½ng	10	139	182
87	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
88	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	1	Tô Châu	10	111	160
89	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
90	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	2	ÐÕi Lý	10	241	136
91	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
92	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
93	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
94	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
95	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
96	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
97	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
98	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
99	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
100	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	0	LÕc Dß½ng	10	139	182
101	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
102	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	1	Tô Châu	10	111	160
103	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
104	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	2	ÐÕi Lý	10	241	136
105	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
106	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
107	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
108	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
109	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
110	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
111	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
112	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
113	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
114	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	0	LÕc Dß½ng	10	139	182
115	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
116	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	1	Tô Châu	10	111	160
117	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
118	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	2	ÐÕi Lý	10	241	136
119	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
120	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
121	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
122	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
123	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
124	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
125	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
126	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
127	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
128	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	0	LÕc Dß½ng	10	139	182
129	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
130	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	1	Tô Châu	10	111	160
131	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
132	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	2	ÐÕi Lý	10	241	136
133	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
134	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
135	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
136	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
137	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
138	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
139	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
140	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
141	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
142	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	0	LÕc Dß½ng	10	139	182
143	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
144	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	1	Tô Châu	10	111	160
145	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
146	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	2	ÐÕi Lý	10	241	136
147	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
148	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
149	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
150	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
151	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
152	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
153	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
154	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
155	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
156	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	0	LÕc Dß½ng	10	139	182
157	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
158	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	1	Tô Châu	10	111	160
159	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
160	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	2	ÐÕi Lý	10	241	136
161	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
162	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
163	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
164	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
165	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
166	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
167	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
168	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
169	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
170	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	0	LÕc Dß½ng	10	139	182
171	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
172	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	1	Tô Châu	10	111	160
173	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
174	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	2	ÐÕi Lý	10	241	136
175	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
176	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
177	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
178	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
179	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
180	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
181	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
182	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
183	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
184	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	0	LÕc Dß½ng	10	139	182
185	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
186	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	1	Tô Châu	10	111	160
187	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
188	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	2	ÐÕi Lý	10	241	136
189	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
190	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
191	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
192	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
193	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
194	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
195	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
196	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
197	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
198	Thß½ng S½n	25	Tôn Khôn	165	164	55	-1	-1	-1	-1	420	Thúc Hà C± Tr¤n	20	25	288
199	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	0	LÕc Dß½ng	10	139	182
200	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
201	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	1	Tô Châu	10	111	160
202	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
203	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	2	ÐÕi Lý	10	241	136
204	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
205	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
206	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
207	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
