INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT
35	Võ Ðang S½n	12	95	191	Kính K°	5	29	232	0	0	20
36	Thiên Long Tñ	13	95	145	Vô Lßþng S½n	6	94	286	0	1	0
37	Lång Ba Ðµng	14	37	130	Vô Lßþng S½n	6	116	32	0	1	0
38	Nga Mi S½n	15	89	156	Kiªm Các	7	285	172	0	1	0
39	Tinh Túc Häi	16	96	159	Ðôn Hoàng	8	33	277	0	1	20
40	Thiên S½n	17	94	158	Ðôn Hoàng	8	55	34	0	1	20
41	NhÕn Nam	18	33	58	Thäo Nguyên	20	287	258	0	1	0
42	NhÕn Nam	18	265	288	LÕc Dß½ng	0	446	259	0	0	0
43	NhÕn Nam	18	34	39	Ma Nhai Ðµng	213	22	235	0	1	0
44	NhÕn Nam	18	248	37	NhÕn B¡c	19	228	280	0	1	0
45	NhÕn B¡c	19	59	60	ÐÕi Quân Thäo Li®u Trß¶ng	199	23	228	0	1	0
46	NhÕn B¡c	19	139	259	Yên Vß½ng C± MÕc T¥ng 1	202	69	104	0	0	21
47	NhÕn B¡c	19	228	280	NhÕn Nam	18	248	37	0	1	0
48	Thäo Nguyên	20	271	33	Trß¶ng BÕch S½n	22	33	269	0	1	0
49	Thäo Nguyên	20	119	32	Liêu Tây	21	61	297	0	1	0
50	Thäo Nguyên	20	65	195	ThuÖ Tinh H°	217	230	236	0	1	0
51	Thäo Nguyên	20	287	258	NhÕn Nam	18	33	58	0	1	0
52	Liêu Tây	21	61	297	Thäo Nguyên	20	119	32	0	1	0
53	Liêu Tây	21	37	211	Tiên Vß½ng Ph¥n	218	127	19	0	1	0
54	Liêu Tây	21	285	45	Ngân Ngai Tuyªt Nguyên	229	58	226	0	1	0
55	Trß¶ng BÕch S½n	22	33	269	Thäo Nguyên	20	271	33	0	1	0
56	Trß¶ng BÕch S½n	22	286	73	Hoàng Long Phü	23	48	287	0	1	0
57	Hoàng Long Phü	23	48	287	Trß¶ng BÕch S½n	22	286	73	0	1	0
58	Hoàng Long Phü	23	201	255	Tuyªt Lang H°	222	108	228	0	1	0
59	Nhî Häi	24	34	157	Thß½ng S½n	25	286	56	0	1	0
60	Nhî Häi	24	287	32	ÐÕi Lý	2	160	295	0	0	0
61	Nhî Häi	24	34	279	ThÕch Lâm	26	268	128	0	1	0
62	Nhî Häi	24	284	87	Ôn Tuy«n Ðµng	215	25	235	0	1	0
63	Thß½ng S½n	25	286	56	Nhî Häi	24	34	157	0	0	0
64	Thß½ng S½n	25	278	122	Dã Nhân Câu	214	21	36	0	1	0
65	ThÕch Lâm	26	268	128	Nhî Häi	24	34	279	0	0	0
66	ThÕch Lâm	26	33	250	Nam Chiêu	28	280	45	0	1	0
67	ThÕch Lâm	26	109	272	Thiên Khanh Thø Ðµng	219	237	18	0	1	0
68	ThÕch Lâm	26	37	273	Diêm H°	235	49	23	0	1	0
69	ThÕch Lâm	26	112	34	Ng÷c Khê	27	36	46	0	1	0
70	Ng÷c Khê	27	36	46	ThÕch Lâm	26	112	34	0	1	0
71	Ng÷c Khê	27	54	167	Ðào Hoa Nguyên	220	20	19	0	1	0
72	Nam Chiêu	28	106	285	Miêu Cß½ng	29	67	32	0	1	0
73	Nam Chiêu	28	280	45	ThÕch Lâm	26	33	250	0	1	0
74	Miêu Cß½ng	29	67	32	Nam Chiêu	28	106	285	0	1	0
75	Tây H°	30	287	54	Long Tuy«n	31	34	274	0	1	0
76	Tây H°	30	42	227	S½n Ðµng Thuy«n ‘	211	24	224	0	1	0
77	Tây H°	30	34	50	Tô Châu	1	279	416	0	0	0
78	Tây H°	30	265	286	Võ Di	32	36	33	0	1	0
79	Tây H°	30	91	45	DÕ Tây H°	164	88	40	0	1	0
80	Long Tuy«n	31	172	280	Kiªm Chüng	212	15	15	0	1	0
81	Long Tuy«n	31	34	274	Tây H°	30	287	54	0	1	0
82	Long Tuy«n	31	284	154	Thanh Nguyên	282	280	45	0	1	0
83	Võ Di	32	96	44	Hoàng Long Ðµng	216	108	229	0	1	0
84	Võ Di	32	283	180	Mai Lînh	33	33	275	0	1	0
85	Võ Di	32	248	286	Nam Vñc	34	34	36	0	1	0
86	Võ Di	32	36	33	Tây H°	30	265	286	0	1	0
87	Mai Lînh	33	192	279	Miêu Nhân Ðµng	200	89	242	0	1	0
88	Mai Lînh	33	33	275	Võ Di	32	283	180	0	1	0
89	Mai Lînh	33	276	29	Thanh Nguyên	282	103	303	0	1	0
90	Nam Vñc	34	70	188	Häi T£c Ðµng	221	42	228	0	1	0
91	Nam Vñc	34	286	174	QuÏnh Châu	35	279	286	0	1	0
92	Nam Vñc	34	34	36	Võ Di	32	248	286	0	1	0
93	QuÏnh Châu	35	279	286	Nam Vñc	34	286	174	0	1	0
94	Huy«n Vû Ðäo	112	290	60	Thánh Thú S½n	201	235	230	0	0	21
95	Bäo Tàng Ðµng T¥ng 1	166	18	16	Bäo Tàng Ðµng T¥ng 2	169	233	236	0	1	0
96	Bäo Tàng Ðµng T¥ng 1	166	234	238	Ðôn Hoàng	8	149	38	0	1	0
97	Bäo Tàng Ðµng T¥ng 2	169	20	10	Bäo Tàng Ðµng T¥ng 3	191	17	237	0	1	0
98	Bäo Tàng Ðµng T¥ng 2	169	233	236	Bäo Tàng Ðµng T¥ng 1	166	18	16	0	1	0
99	Ngân Ngai Tuyªt Nguyên	229	58	226	Liêu Tây	21	285	45	0	1	0
100	Bäo Tàng Ðµng T¥ng 3	191	17	237	Bäo Tàng Ðµng T¥ng 2	169	20	10	0	1	0
101	Bäo Tàng Ðµng T¥ng 3	191	245	16	Bäo Tàng Ðµng T¥ng 4	192	26	249	0	1	0
102	Bäo Tàng Ðµng T¥ng 4	192	26	249	Bäo Tàng Ðµng T¥ng 3	191	245	16	0	1	0
103	Bäo Tàng Ðµng T¥ng 4	192	246	22	Bäo Tàng Ðµng T¥ng 5	193	128	247	0	1	0
104	Bäo Tàng Ðµng T¥ng 5	193	128	247	Bäo Tàng Ðµng T¥ng 4	192	246	22	0	1	0
105	ÐÕi Quân Thäo Li®u Trß¶ng	199	23	228	NhÕn B¡c	19	59	60	0	1	0
106	Miêu Nhân Ðµng	200	89	242	Mai Lînh	33	192	279	0	1	0
107	Thánh Thú S½n	201	235	230	Huy«n Vû Ðäo	112	290	60	0	1	0
108	Yên Vß½ng C± MÕc T¥ng 1	202	69	104	NhÕn B¡c	19	139	259	0	1	0
109	Yên Vß½ng C± MÕc T¥ng 1	202	29	68	Yên Vß½ng C± MÕc T¥ng 2	203	87	93	0	0	0
110	Yên Vß½ng C± MÕc T¥ng 2	203	106	18	Yên Vß½ng C± MÕc T¥ng 3	204	7	24	0	0	0
111	Yên Vß½ng C± MÕc T¥ng 2	203	87	93	Yên Vß½ng C± MÕc T¥ng 1	202	29	68	0	0	0
112	Yên Vß½ng C± MÕc T¥ng 3	204	7	24	Yên Vß½ng C± MÕc T¥ng 2	203	106	18	0	0	0
113	Yên Vß½ng C± MÕc T¥ng 3	204	110	114	Yên Vß½ng C± MÕc T¥ng 4	205	103	10	0	0	0
114	Yên Vß½ng C± MÕc T¥ng 4	205	103	10	Yên Vß½ng C± MÕc T¥ng 3	204	110	114	0	0	0
115	Yên Vß½ng C± MÕc T¥ng 4	205	63	52	Yên Vß½ng C± MÕc T¥ng 5	206	20	19	0	0	0
116	Yên Vß½ng C± MÕc T¥ng 5	206	104	11	Yên Vß½ng C± MÕc T¥ng 6	207	64	116	0	0	0
117	Yên Vß½ng C± MÕc T¥ng 5	206	20	19	Yên Vß½ng C± MÕc T¥ng 4	205	63	52	0	0	0
118	Yên Vß½ng C± MÕc T¥ng 6	207	64	60	Yên Vß½ng C± MÕc T¥ng 7	208	28	115	0	0	0
119	Yên Vß½ng C± MÕc T¥ng 6	207	64	116	Yên Vß½ng C± MÕc T¥ng 5	206	104	11	0	0	0
120	Yên Vß½ng C± MÕc T¥ng 7	208	79	20	Yên Vß½ng C± MÕc T¥ng 8	209	10	13	0	0	0
121	Yên Vß½ng C± MÕc T¥ng 7	208	28	115	Yên Vß½ng C± MÕc T¥ng 6	207	64	60	0	0	0
122	Yên Vß½ng C± MÕc T¥ng 8	209	38	31	Yên Vß½ng C± MÕc T¥ng 9	210	14	15	0	0	0
123	Yên Vß½ng C± MÕc T¥ng 8	209	10	13	Yên Vß½ng C± MÕc T¥ng 7	208	79	20	0	0	0
124	Yên Vß½ng C± MÕc T¥ng 9	210	14	15	Yên Vß½ng C± MÕc T¥ng 8	209	38	31	0	0	0
125	S½n Ðµng Thuy«n ‘	211	24	224	Tây H°	30	42	227	0	1	0
126	Kiªm Chüng	212	15	15	Long Tuy«n	31	172	280	0	1	0
127	Ma Nhai Ðµng	213	22	235	NhÕn Nam	18	34	39	0	1	0
128	Dã Nhân Câu	214	21	36	Thß½ng S½n	25	278	122	0	1	0
129	Ôn Tuy«n Ðµng	215	25	235	Nhî Häi	24	284	87	0	1	0
130	Hoàng Long Ðµng	216	108	229	Võ Di	32	96	44	0	1	0
131	ThuÖ Tinh H°	217	230	236	Thäo Nguyên	20	65	195	0	1	0
132	Tiên Vß½ng Ph¥n	218	127	19	Liêu Tây	21	37	211	0	1	0
133	Thiên Khanh Thø Ðµng	219	237	18	ThÕch Lâm	26	109	272	0	1	0
134	Ðào Hoa Nguyên	220	20	19	Ng÷c Khê	27	54	167	0	1	0
135	Häi T£c Ðµng	221	42	228	Nam Vñc	34	70	188	0	1	0
136	Tuyªt Lang H°	222	108	228	Hoàng Long Phü	23	201	255	0	1	0
137	Diêm H°	235	49	23	ThÕch Lâm	26	37	273	0	1	0
138	Diêm H°	235	231	169	BÕch Sa Diêm Khanh	237	100	98	0	1	0
139	BÕch Sa Diêm Khanh	237	100	98	Diêm H°	235	231	169	0	1	0
140	Hoä Di®m S½n	244	20	237	Cao Xß½ng	245	229	221	0	1	90
141	Hoä Di®m S½n	244	26	103	Hoä Di®m C¯c	251	68	23	0	0	90
142	Cao Xß½ng	245	229	221	Hoä Di®m S½n	244	20	237	0	1	90
143	Cao Xß½ng	245	72	144	Cao Xß½ng Mê Cung	252	105	105	0	0	90
144	Cao Xß½ng	245	22	37	Lâu Lan	246	298	142	0	0	90
145	Lâu Lan	246	21	143	ÐÕi Uy¬n	249	195	235	0	1	90
146	Lâu Lan	246	298	142	Cao Xß½ng	245	22	37	0	1	90
147	Lâu Lan	246	160	307	Ðáp Lý Mµc	247	30	22	0	1	90
148	Ðáp Lý Mµc	247	30	22	Lâu Lan	246	160	307	0	0	90
149	Ðáp Lý Mµc	247	236	222	Côn Luân S½n	248	109	15	0	1	90
150	Ðáp Lý Mµc	247	104	215	Ðáp Kh¡c LÕp Mã Can	253	34	18	0	0	90
151	Hoä Di®m C¯c	251	68	23	Hoä Di®m S½n	244	26	103	0	1	90
152	Cao Xß½ng Mê Cung	252	105	105	Cao Xß½ng	245	72	144	0	1	90
153	Ðáp Kh¡c LÕp Mã Can	253	34	18	Ðáp Lý Mµc	247	104	215	0	1	90
154	ÐÕi Uy¬n	249	195	235	Lâu Lan	246	21	143	0	0	90
155	ÐÕi Uy¬n	249	47	21	Tát Mã Nhî Hãn	250	42	231	0	1	90
156	ÐÕi Uy¬n	249	20	210	Hãn Huyªt Lînh	255	96	87	0	0	90
157	Hãn Huyªt Lînh	255	96	87	ÐÕi Uy¬n	249	20	210	0	1	90
158	T¥n Hoàng Ð¸a Cung T¥ng 1	262	25	40	T¥n Hoàng Ð¸a Cung T¥ng 2	263	235	225	0	0	0
159	T¥n Hoàng Ð¸a Cung T¥ng 2	263	235	225	T¥n Hoàng Ð¸a Cung T¥ng 1	262	25	40	0	0	0
160	T¥n Hoàng Ð¸a Cung T¥ng 2	263	96	164	T¥n Hoàng Ð¸a Cung T¥ng 3	264	237	216	0	0	0
161	T¥n Hoàng Ð¸a Cung T¥ng 3	264	237	216	T¥n Hoàng Ð¸a Cung T¥ng 2	263	96	164	0	0	0
162	DÕ Tây H°	164	88	40	Tây H°	30	91	45	0	1	0
163	Côn Luân Phúc Ð¸a	254	96	32	Côn Luân S½n	248	21	231	0	1	90
164	Côn Luân S½n	248	109	15	Ðáp Lý Mµc	247	236	222	0	1	90
165	Côn Luân S½n	248	21	231	Côn Luân Phúc Ð¸a	254	96	32	0	0	90
166	Thanh Nguyên	282	280	45	Long Tuy«n	31	284	154	0	1	0
167	Thanh Nguyên	282	103	303	Mai Lînh	33	276	29	0	1	0
168	Thanh Nguyên	282	283	293	Thanh Nguyên S½n Ðµng	283	42	228	0	1	0
169	Thanh Nguyên S½n Ðµng	283	42	228	Thanh Nguyên	282	283	293	0	1	0
170	Tát Mã Nhî Hãn	250	42	231	ÐÕi Uy¬n	249	47	21	0	1	90
171	Tát Mã Nhî Hãn	250	72	30	Thánh Hoä Cung	256	24	106	0	0	90
172	Thánh Hoä Cung	256	24	106	Tát Mã Nhî Hãn	250	72	30	0	1	90
173	Kiªm Các	7	280	81	T¥n Hoàng Ð¸a Cung T¥ng 1	262	227	224	1	0	0
174	T¥n Hoàng Ð¸a Cung T¥ng 1	262	226	234	Kiªm Các	7	276	82	0	0	0
175	LÕc Dß½ng	0	230	129	Tô Châu	1	204	256	1	0	10
176	LÕc Dß½ng	0	230	129	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
177	LÕc Dß½ng	0	230	129	ÐÕi Lý	2	253	121	1	0	10
178	LÕc Dß½ng	0	230	129	Lâu Lan	246	285	130	1	0	75
179	LÕc Dß½ng	0	230	129	Thúc Hà C± Tr¤n	260	202	211	1	0	20
180	LÕc Dß½ng	0	230	129	Môn phái-Tinh Túc	16	99	150	1	0	10
181	LÕc Dß½ng	0	230	129	Môn phái-tiêu dao	14	69	142	1	0	10
182	LÕc Dß½ng	0	230	129	Môn phái-Thiªu Lâm	9	11	93	1	0	10
183	LÕc Dß½ng	0	230	129	Môn phái-Thiên S½n	17	90	120	1	0	10
184	LÕc Dß½ng	0	230	129	Môn phái-Thiên Long	13	21	99	1	0	10
185	LÕc Dß½ng	0	230	129	Môn phái-Nga Mi	15	86	142	1	0	10
186	LÕc Dß½ng	0	230	129	Môn phái-Võ Ðang	12	101	136	1	0	10
187	LÕc Dß½ng	0	230	129	Môn phái-Minh Giáo	11	102	167	1	0	10
188	LÕc Dß½ng	0	230	129	Môn phái-Cái Bang	10	95	120	1	0	10
189	LÕc Dß½ng	0	139	182	Tô Châu	1	204	256	1	0	10
190	LÕc Dß½ng	0	139	182	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
191	LÕc Dß½ng	0	139	182	ÐÕi Lý	2	253	121	1	0	10
192	LÕc Dß½ng	0	139	182	Lâu Lan	246	285	130	1	0	75
193	LÕc Dß½ng	0	139	182	Thúc Hà C± Tr¤n	260	202	211	1	0	20
194	LÕc Dß½ng	0	139	182	Môn phái-Tinh Túc	16	99	150	1	0	10
195	LÕc Dß½ng	0	139	182	Môn phái-tiêu dao	14	69	142	1	0	10
196	LÕc Dß½ng	0	139	182	Môn phái-Thiªu Lâm	9	11	93	1	0	10
197	LÕc Dß½ng	0	139	182	Môn phái-Thiên S½n	17	90	120	1	0	10
198	LÕc Dß½ng	0	139	182	Môn phái-Thiên Long	13	21	99	1	0	10
199	LÕc Dß½ng	0	139	182	Môn phái-Nga Mi	15	86	142	1	0	10
200	LÕc Dß½ng	0	139	182	Môn phái-Võ Ðang	12	101	136	1	0	10
201	LÕc Dß½ng	0	139	182	Môn phái-Minh Giáo	11	102	167	1	0	10
202	LÕc Dß½ng	0	139	182	Môn phái-Cái Bang	10	95	120	1	0	10
203	Tô Châu	1	239	128	LÕc Dß½ng	0	235	322	1	0	10
204	Tô Châu	1	239	128	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
205	Tô Châu	1	239	128	ÐÕi Lý	2	253	121	1	0	10
206	Tô Châu	1	239	128	Lâu Lan	246	285	130	1	0	75
207	Tô Châu	1	239	128	Thúc Hà C± Tr¤n	260	202	211	1	0	20
208	Tô Châu	1	239	128	Môn phái-Tinh Túc	16	99	150	1	0	10
209	Tô Châu	1	239	128	Môn phái-tiêu dao	14	69	142	1	0	10
210	Tô Châu	1	239	128	Môn phái-Thiªu Lâm	9	11	93	1	0	10
211	Tô Châu	1	239	128	Môn phái-Thiên S½n	17	90	120	1	0	10
212	Tô Châu	1	239	128	Môn phái-Thiên Long	13	21	99	1	0	10
213	Tô Châu	1	239	128	Môn phái-Nga Mi	15	86	142	1	0	10
214	Tô Châu	1	239	128	Môn phái-Võ Ðang	12	101	136	1	0	10
215	Tô Châu	1	239	128	Môn phái-Minh Giáo	11	102	167	1	0	10
216	Tô Châu	1	239	128	Môn phái-Cái Bang	10	95	120	1	0	10
217	Tô Châu	1	111	160	LÕc Dß½ng	0	235	322	1	0	10
218	Tô Châu	1	111	160	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
219	Tô Châu	1	111	160	ÐÕi Lý	2	253	121	1	0	10
220	Tô Châu	1	111	160	Lâu Lan	246	285	130	1	0	75
221	Tô Châu	1	111	160	Thúc Hà C± Tr¤n	260	202	211	1	0	20
222	Tô Châu	1	111	160	Môn phái-Tinh Túc	16	99	150	1	0	10
223	Tô Châu	1	111	160	Môn phái-tiêu dao	14	69	142	1	0	10
224	Tô Châu	1	111	160	Môn phái-Thiªu Lâm	9	11	93	1	0	10
225	Tô Châu	1	111	160	Môn phái-Thiên S½n	17	90	120	1	0	10
226	Tô Châu	1	111	160	Môn phái-Thiên Long	13	21	99	1	0	10
227	Tô Châu	1	111	160	Môn phái-Nga Mi	15	86	142	1	0	10
228	Tô Châu	1	111	160	Môn phái-Võ Ðang	12	101	136	1	0	10
229	Tô Châu	1	111	160	Môn phái-Minh Giáo	11	102	167	1	0	10
230	Tô Châu	1	111	160	Môn phái-Cái Bang	10	95	120	1	0	10
231	ÐÕi Lý	2	241	136	LÕc Dß½ng	0	235	322	1	0	10
232	ÐÕi Lý	2	241	136	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
233	ÐÕi Lý	2	241	136	Tô Châu	1	204	256	1	0	10
234	ÐÕi Lý	2	241	136	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
235	ÐÕi Lý	2	241	136	Lâu Lan	246	285	130	1	0	75
236	ÐÕi Lý	2	241	136	Thúc Hà C± Tr¤n	260	202	211	1	0	20
237	ÐÕi Lý	2	241	136	Môn phái-Tinh Túc	16	99	150	1	0	10
238	ÐÕi Lý	2	241	136	Môn phái-tiêu dao	14	69	142	1	0	10
239	ÐÕi Lý	2	241	136	Môn phái-Thiªu Lâm	9	11	93	1	0	10
240	ÐÕi Lý	2	241	136	Môn phái-Thiên S½n	17	90	120	1	0	10
241	ÐÕi Lý	2	241	136	Môn phái-Thiên Long	13	21	99	1	0	10
242	ÐÕi Lý	2	241	136	Môn phái-Nga Mi	15	86	142	1	0	10
243	ÐÕi Lý	2	241	136	Môn phái-Võ Ðang	12	101	136	1	0	10
244	ÐÕi Lý	2	241	136	Môn phái-Minh Giáo	11	102	167	1	0	10
245	ÐÕi Lý	2	241	136	Môn phái-Cái Bang	10	95	120	1	0	10
246	Thiªu Lâm Tñ	9	93	132	LÕc Dß½ng	0	235	322	1	0	10
247	Thiªu Lâm Tñ	9	93	132	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
248	Thiªu Lâm Tñ	9	93	132	Tô Châu	1	204	256	1	0	10
249	Thiªu Lâm Tñ	9	93	132	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
250	Thiªu Lâm Tñ	9	93	132	ÐÕi Lý	2	253	121	1	0	10
251	Thiªu Lâm Tñ	9	93	132	Môn phái-Tinh Túc	16	99	150	1	0	10
252	Thiªu Lâm Tñ	9	93	132	Môn phái-tiêu dao	14	69	142	1	0	10
253	Thiªu Lâm Tñ	9	93	132	Môn phái-Thiªu Lâm	9	11	93	1	0	10
254	Thiªu Lâm Tñ	9	93	132	Môn phái-Thiên S½n	17	90	120	1	0	10
255	Thiªu Lâm Tñ	9	93	132	Môn phái-Thiên Long	13	21	99	1	0	10
256	Thiªu Lâm Tñ	9	93	132	Môn phái-Nga Mi	15	86	142	1	0	10
257	Thiªu Lâm Tñ	9	93	132	Môn phái-Võ Ðang	12	101	136	1	0	10
258	Thiªu Lâm Tñ	9	93	132	Môn phái-Minh Giáo	11	102	167	1	0	10
259	Thiªu Lâm Tñ	9	93	132	Môn phái-Cái Bang	10	95	120	1	0	10
260	Cái Bang T±ng Ðà	10	95	120	LÕc Dß½ng	0	235	322	1	0	10
261	Cái Bang T±ng Ðà	10	95	120	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
262	Cái Bang T±ng Ðà	10	95	120	Tô Châu	1	204	256	1	0	10
263	Cái Bang T±ng Ðà	10	95	120	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
264	Cái Bang T±ng Ðà	10	95	120	ÐÕi Lý	2	253	121	1	0	10
265	Cái Bang T±ng Ðà	10	95	120	Môn phái-Tinh Túc	16	99	150	1	0	10
266	Cái Bang T±ng Ðà	10	95	120	Môn phái-tiêu dao	14	69	142	1	0	10
267	Cái Bang T±ng Ðà	10	95	120	Môn phái-Thiªu Lâm	9	11	93	1	0	10
268	Cái Bang T±ng Ðà	10	95	120	Môn phái-Thiên S½n	17	90	120	1	0	10
269	Cái Bang T±ng Ðà	10	95	120	Môn phái-Thiên Long	13	21	99	1	0	10
270	Cái Bang T±ng Ðà	10	95	120	Môn phái-Nga Mi	15	86	142	1	0	10
271	Cái Bang T±ng Ðà	10	95	120	Môn phái-Võ Ðang	12	101	136	1	0	10
272	Cái Bang T±ng Ðà	10	95	120	Môn phái-Minh Giáo	11	102	167	1	0	10
273	Cái Bang T±ng Ðà	10	95	120	Môn phái-Cái Bang	10	95	120	1	0	10
274	Quang Minh Ði®n	11	102	167	LÕc Dß½ng	0	235	322	1	0	10
275	Quang Minh Ði®n	11	102	167	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
276	Quang Minh Ði®n	11	102	167	Tô Châu	1	204	256	1	0	10
277	Quang Minh Ði®n	11	102	167	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
278	Quang Minh Ði®n	11	102	167	ÐÕi Lý	2	253	121	1	0	10
279	Quang Minh Ði®n	11	102	167	Môn phái-Tinh Túc	16	99	150	1	0	10
280	Quang Minh Ði®n	11	102	167	Môn phái-tiêu dao	14	69	142	1	0	10
281	Quang Minh Ði®n	11	102	167	Môn phái-Thiªu Lâm	9	11	93	1	0	10
282	Quang Minh Ði®n	11	102	167	Môn phái-Thiên S½n	17	90	120	1	0	10
283	Quang Minh Ði®n	11	102	167	Môn phái-Thiên Long	13	21	99	1	0	10
284	Quang Minh Ði®n	11	102	167	Môn phái-Nga Mi	15	86	142	1	0	10
285	Quang Minh Ði®n	11	102	167	Môn phái-Võ Ðang	12	101	136	1	0	10
286	Quang Minh Ði®n	11	102	167	Môn phái-Minh Giáo	11	102	167	1	0	10
287	Quang Minh Ði®n	11	102	167	Môn phái-Cái Bang	10	95	120	1	0	10
288	Võ Ðang S½n	12	101	136	LÕc Dß½ng	0	235	322	1	0	10
289	Võ Ðang S½n	12	101	136	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
290	Võ Ðang S½n	12	101	136	Tô Châu	1	204	256	1	0	10
291	Võ Ðang S½n	12	101	136	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
292	Võ Ðang S½n	12	101	136	ÐÕi Lý	2	253	121	1	0	10
293	Võ Ðang S½n	12	101	136	Môn phái-Tinh Túc	16	99	150	1	0	10
294	Võ Ðang S½n	12	101	136	Môn phái-tiêu dao	14	69	142	1	0	10
295	Võ Ðang S½n	12	101	136	Môn phái-Thiªu Lâm	9	11	93	1	0	10
296	Võ Ðang S½n	12	101	136	Môn phái-Thiên S½n	17	90	120	1	0	10
297	Võ Ðang S½n	12	101	136	Môn phái-Thiên Long	13	21	99	1	0	10
298	Võ Ðang S½n	12	101	136	Môn phái-Nga Mi	15	86	142	1	0	10
299	Võ Ðang S½n	12	101	136	Môn phái-Võ Ðang	12	101	136	1	0	10
300	Võ Ðang S½n	12	101	136	Môn phái-Minh Giáo	11	102	167	1	0	10
301	Võ Ðang S½n	12	101	136	Môn phái-Cái Bang	10	95	120	1	0	10
302	Thiên Long Tñ	13	99	120	LÕc Dß½ng	0	235	322	1	0	10
303	Thiên Long Tñ	13	99	120	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
304	Thiên Long Tñ	13	99	120	Tô Châu	1	204	256	1	0	10
305	Thiên Long Tñ	13	99	120	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
306	Thiên Long Tñ	13	99	120	ÐÕi Lý	2	253	121	1	0	10
307	Thiên Long Tñ	13	99	120	Môn phái-Tinh Túc	16	99	150	1	0	10
308	Thiên Long Tñ	13	99	120	Môn phái-tiêu dao	14	69	142	1	0	10
