INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT
71	80	20230818	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
72	77	20231013	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
73	81	20231013	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
74	82	20231013	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
75	83	20231201	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
76	84	20240218	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
77	85	20240223	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
78	86	20240329	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
79	90	20240329	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
80	91	20240329	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
81	92	20240430	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	0	0	0
82	93	20240621	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	0	1	20240622	20990101
83	87	20240621	1	20240621	20240721	30900006;20310168;30008048;30503140;38002532;20501003;38002519;20502003;38000060;38000203	5;5;1;3;5;1;1;1;2;2	9;3	1	0	0	0
84	89	20240719	0	0	0				0	1	20240720	20990101
85	95	20240719	0	0	0				0	1	20240720	20990101
86	88	20240830	0	0	0				0	1	20240831	20990101
87	94	20240830	0	0	0				0	1	20240831	20990101
88	96	20240906	0	0	0				1	0	0	0
89	97	20240906	0	0	0				1	0	0	0
