INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
20101008	2	1	1	8	Herbal1_16	Hoàng C¥m	Th¥n Hình Khoa thñc v§t. V¸ Kh±, Hàn, Nh§p Phª, Ğäm, Tì, ğÕi tràng, Ti¬u Tràng Kinh. Hæu Thanh Nhi®t Táo Th¤p, Tä Hoä giäi ğµc, c¥m máu, An Thai Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	4	1125	40	4	250	-1	-1	1	8	4	-1	-1	Dßşc Li®u Trung C¤p	4	0	2000	-1	0
20101009	2	1	1	9	Herbal1_9	Câu KÖ	Gia Khoa thñc v§t. V¸ Cam, Hæu b± dßŞng Can Th§n, Minh Møc, Ích s¡c m£t, Trß¶ng c½ th¬, Kiên gân c¯t Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	4	1125	40	4	250	-1	-1	1	8	4	-1	-1	Dßşc Li®u Trung C¤p	4	0	2000	-1	0
20101010	2	1	1	10	Herbal1_3	Tr¥m Hß½ng	Song TØ Hi®p Khoa thñc v§t. V¸ Tân, Kh±, Ôn, Nh§p Th§n, Tì, V¸ Kinh. Hæu Hành Khí giäm ğau, Ôn bö d· †u, NÕp Khí Bình Suy­n Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	4	1375	40	4	250	-1	-1	1	8	4	-1	-1	Dßşc Li®u Trung C¤p	4	0	2000	-1	0
20101011	2	1	1	11	Herbal1_11	Ğ² Tr÷ng	Ğ² Tr÷ng Khoa thñc v§t. V¸ Cam Vi Tân, Ôn, Nh§p Can, Th§n Kinh. Chü Tr¸ Yêu Tích ğau ğ¾n, Túc T¤t chua xót ĞÆng. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	5	1375	50	4	250	-1	-1	1	8	5	-1	-1	Dßşc Li®u Trung C¤p	5	0	2000	-1	0
20101012	2	1	1	12	Herbal1_4	Thß½ng Thu§t	Cúc Khoa thñc v§t. V¸ Tân Li®t, Tính Ôn Nhi Táo, Khä Thång Khä Giáng. Hæu Táo Th¤p Ki®n Tì, Khß Phong, Tän Hàn, Minh Møc Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	5	1375	50	4	250	-1	-1	1	8	5	-1	-1	Dßşc Li®u Trung C¤p	5	0	2000	-1	0
20101013	2	1	1	13	Herbal2_14	Phøc Linh	Khu¦n Khoa thñc v§t. V¸ Cam, ĞÕm, Bình, Nh§p Phª, V¸, Th§n Kinh. Hæu ích Tì, an th¥n, Lşi ThuÖ Th¦m Th¤p Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	5	1625	50	4	250	-1	-1	1	8	5	-1	-1	Dßşc Li®u Trung C¤p	5	0	2000	-1	0
20101014	2	1	1	14	Herbal1_13	Phòng Phong	Tän Hình Khoa thñc v§t. Cån V¸ Tân, Cam, Tính Ôn. Hæu Giäi Bi¬u ğ± m° hôi, Khß Phong Tr× Th¤p Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	6	1625	60	4	250	-1	-1	1	8	6	-1	-1	Dßşc Li®u Trung C¤p	6	0	2000	-1	0
20101015	2	1	1	15	Herbal2_3	Hß½ng Nhu	Th¥n Hình Khoa thñc v§t. V¸ Tân, Tính Vi Ôn, Nh§p Phª, V¸ Kinh. Hæu Giäi Bi¬u, dùng thu¯c lßu thông khí huyªt Hoá Th¤p Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	6	1625	60	4	250	-1	-1	1	8	6	-1	-1	Dßşc Li®u Trung C¤p	6	0	2000	-1	0
20101016	2	1	1	16	Herbal2_9	Hoàng Liên	Mao c¦n Khoa thñc v§t. V¸ Kh±, Hàn. Nh§p Tâm, Tì, V¸, Can, Ğäm, ĞÕi Tràng Kinh. Hæu Tä Hoä giäi ğµc, Thanh Nhi®t Táo Th¤p Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	6	1875	60	4	250	-1	-1	1	8	6	-1	-1	Dßşc Li®u Trung C¤p	6	0	2000	-1	0
20101017	2	1	1	17	Herbal2_6	Ğß½ng Qui	Tän Hình Khoa thñc v§t. V¸ Cam, Tân, Tính Ôn, Nh§p Can, Tâm, Tì Kinh. Hæu b± huyªt lßu thông máu, ği«u kinh giäm ğau, Nhu§n Trß¶ng Thông Ti®n Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	7	1875	70	4	250	-1	-1	1	8	7	-1	-1	Dßşc Li®u Cao C¤p	7	0	2000	-1	0
20101018	2	1	1	18	Herbal1_5	Quª Tâm	Hß½ng Mµc Khoa thñc v§t. V¸ Kh±, Tân. Hæu Dçn Huyªt Hoá Hãn sinh mü, Ích khôn khéo Møc, Tiêu º Sinh C½, B± Lao Thß½ng, Noãn Yêu T¤t, Tøc gân c¯t Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	7	1875	70	4	250	-1	-1	1	8	7	-1	-1	Dßşc Li®u Cao C¤p	7	0	2000	-1	0
20101019	2	1	1	19	Herbal2_1	Hß½ng Phø	Cö g¤u Khoa thñc v§t. V¸ Tân, Vi Kh±, Vi Cam, Bình. Nh§p Can, Tì, Tam Tiêu Kinh. Hæu Hành Khí giäi s¥u, ği«u kinh giäm ğau Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	7	2125	70	4	250	-1	-1	1	8	7	-1	-1	Dßşc Li®u Cao C¤p	7	0	2000	-1	0
20101020	2	1	1	20	Herbal1_7	Ho¡c Hß½ng	Th¥n Hình Khoa thñc v§t. Tính Vi Ôn, V¸ Tân, Nh§p Tì, V¸, Phª Kinh. Hæu Khß ThØ Giäi Bi¬u, Hoá Th¤p giäi s¥u, Bích Uª Hoà Trung Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	8	2125	80	4	250	-1	-1	1	8	8	-1	-1	Dßşc Li®u Cao C¤p	8	0	2000	-1	0
20101021	2	1	1	21	Herbal2_4	H°i Th¥n Thäo	Tän ra say lòng ngß¶i mùi hß½ng kÏ di®u thñc v§t. Hæu Thanh Nhi®t giäi ğµc, thông su¯t Khoát T§t Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	8	2125	80	4	250	-1	-1	1	8	8	-1	-1	Dßşc Li®u Cao C¤p	8	0	2000	-1	0
20101022	2	1	1	22	Herbal2_7	Thü Ô	Li­u Khoa thñc v§t. H® r­ thân cü Kh± Cam Sáp Vi Ôn, Nh§p Can, Th§n Kinh. Hæu ích Can Th§n, Ích máu huyªt, Tráng gân c¯t Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	8	2375	80	4	250	-1	-1	1	8	8	-1	-1	Dßşc Li®u Cao C¤p	8	0	2000	-1	0
20101023	2	1	1	23	Herbal1_15	Ğông Trùng HÕ Thäo	Ğông Trùng HÕ Thäo cûng không phäi Thäo mà là mµt loÕi chân khu¦n(bào tØ Khu¦n), Th¸ Trùng Thäo Thuµc Khu¦n kı sinh TÕi Biên BÑc Nga ¤u trùng trong c½ th¬ hình thành Ğích Giä Khu¦n HÕch, Dã chính là h® sşi Hoà Trùng Th¬ kªt hşp Thành Ğích h²n hşp Th¬, Nhi ¤u trùng Ğích ngoÕi hình không thay ğ±i. Ğây là Thanh Tàng Cao Nguyên núi cao ranh gi¾i có tuyªt ğã ngoài Ğích Ğ£c Hæu qu¥n xã. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	9	2375	90	4	250	-1	-1	1	8	9	-1	-1	Dßşc Li®u Cao C¤p	9	0	2000	-1	0
20101024	2	1	1	24	Herbal1_5	Long Quì TØ	Gia Khoa thñc v§t, Xác lên tr¶i Sinh Hæu hình r°ng Ğích hoa vån. V¸ Kh±, Hàn, Hæu nhö bé ğµc tính, Hæu Thanh Nhi®t giäi ğµc, Lşi ThuÖ Tiêu Thûng Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	9	2625	90	4	250	-1	-1	1	8	9	-1	-1	Dßşc Li®u Cao C¤p	9	0	2000	-1	0
20101025	2	1	1	25	Herbal1_14	Tßşng B¯i	Bách hşp Khoa thñc v§t. Tính Hàn, V¸ Kh±, Chü Tr¸ ngoÕi cäm Thø ho khan, Phª Th¯ng ĞÆng b®nh trÕng. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	10	2625	100	4	250	-1	-1	1	8	10	-1	-1	Dßşc Li®u Cao C¤p	10	0	2000	-1	0
20101026	2	1	1	26	Herbal2_10	Nhân Sâm	Trân quı Ğích thu¯c Ğông y, kÖ ğ® tam nhæng ngß¶i s¯ng sót thñc v§t. Tính V¸ Tính Ôn, V¸ Cam, Vi Kh±, Hæu ĞÕi B± nguyên khí, Phøc MÕch C¯ Thoát, B± Tì Ích Phª, Sinh Tân, an th¥n Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	10	2625	100	4	250	-1	-1	1	8	10	-1	-1	Dßşc Li®u Cao C¤p	10	0	2000	-1	0
20101027	2	1	1	27	Herbal2_11	Linh Chi	Khu¦n Khoa thñc v§t. Tính V¸ Cam, Bình, không ğµc. Hæu ích lòng dÕ, B± Trung, Tång trí tu® Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	11	2875	110	4	250	-1	-1	1	8	11	-1	-1	Dßşc Li®u Cao C¤p	11	0	2000	-1	0
20101028	2	1	1	28	Herbal1_16	Tuân Thäo	Thäo Hi®p Tñ Lan, Quä Xích, Khä Minh Møc DßŞng Nhan, DßŞng Huyªt B± Tâm. Chü Tr¸ ğ¥u váng m¡t hoa, gân c¯t UÖ Nhuy­n. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	11	2875	110	4	250	-1	-1	1	8	11	-1	-1	Dßşc Li®u Cao C¤p	11	0	2000	-1	0
20101029	2	1	1	29	Herbal2_6	Liên TØ	Thüy tiên Khoa thñc v§t. V¸ Cam, Sáp, Bình, Nh§p Tì, Th§n, Tâm Kinh. Hæu ích Khí Chï Hãn, Säng Thân Minh Møc Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	12	3125	120	4	250	-1	-1	1	8	12	-1	-1	Dßşc Li®u Cao C¤p	12	0	2000	-1	0
20101030	2	1	1	30	Herbal1_16	Khô Mµc Xuân	Vô s¡c vô v¸ Ğích dßşc thäo, ğ¬ vào trong nß¾c Säo ChØ TÑc hoàn toàn tan chäy. Hæu giäi ğµc, Khß Phong, Kh·i TØ H°i Sinh Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	12	3125	120	4	250	-1	-1	1	8	12	-1	-1	Dßşc Li®u Cao C¤p	12	0	2000	-1	0
