INT	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING
30	14Thiên Huy­n H°n	11	81	20231027	20231209	0	#{JZF_230821_42}	set:TimingPlay01 image:TimingPlay_SYRM1	set:TimingPlay01 image:TimingPlay_SYRM2	set:TimingPlay01 image:TimingPlay_SYRM3	#{JZF_230821_15}	#{JZF_230821_16}	-1	
31	14Thiên ThuÖ Nguy®t S½n Trang	11	81	20231027	20231209	0	#{JZF_230821_42}	set:TimingPlay01 image:TimingPlay_SYRM1	set:TimingPlay01 image:TimingPlay_SYRM2	set:TimingPlay01 image:TimingPlay_SYRM3	#{JZF_230821_15}	#{JZF_230821_16}	-1	
32	21Thiên m· ra 13Cá Ðiêu Vån, Tr× cái bao tay mû	6	81	20231103	20231209	1	#{JZF_230821_43}	set:TimingPlay01 image:TimingPlay_JJBX1	set:TimingPlay01 image:TimingPlay_JJBX2	set:TimingPlay01 image:TimingPlay_JJBX3	#{JZF_230821_17}	#{JZF_230821_18}	3	#{JZF_230821_33}
33	28Thiên Thú H°n	12	81	20231110	20231209	1	#{JZF_230821_44}	set:TimingPlay02 image:TimingPlay_SHXS1	set:TimingPlay02 image:TimingPlay_SHXS2	set:TimingPlay02 image:TimingPlay_SHXS3	#{JZF_230821_19}	#{JZF_230821_20}	4	#{JZF_230821_34}
34	28Thiên Thanh Khâu(ð½n giän, khó khån)	13	81	20231110	20231209	0	#{JZF_230821_44}	set:TimingPlay02 image:TimingPlay_SHXS1	set:TimingPlay02 image:TimingPlay_SHXS2	set:TimingPlay02 image:TimingPlay_SHXS3	#{JZF_230821_19}	#{JZF_230821_20}	-1	
35	28Thiên Thú H°n Chi LoÕn	14	81	20231110	20231209	0	#{JZF_230821_44}	set:TimingPlay02 image:TimingPlay_SHXS1	set:TimingPlay02 image:TimingPlay_SHXS2	set:TimingPlay02 image:TimingPlay_SHXS3	#{JZF_230821_19}	#{JZF_230821_20}	-1	
36	35Thiên m· ra 15Cá Ðiêu Vån(tÕm th¶i có Ðiêu Vån toàn bµ khai höa)	7	81	20231117	20231209	1	#{JZF_230821_45}	set:TimingPlay02 image:TimingPlay_LHCQ1	set:TimingPlay02 image:TimingPlay_LHCQ2	set:TimingPlay02 image:TimingPlay_LHCQ3	#{JZF_230821_21}	#{JZF_230821_22}	5	#{JZF_230821_35}
37	42Thiên Linh Võ	15	81	20231124	20231209	1	#{JZF_230821_46}	set:TimingPlay02 image:TimingPlay_TJSJ1	set:TimingPlay02 image:TimingPlay_TJSJ2	set:TimingPlay02 image:TimingPlay_TJSJ3	#{JZF_230821_23}	#{JZF_230821_24}	6	#{JZF_230821_36}
38	42Thiên Phöng C¯c T¥m Ng÷c	16	81	20231124	20231209	0	#{JZF_230821_46}	set:TimingPlay02 image:TimingPlay_TJSJ1	set:TimingPlay02 image:TimingPlay_TJSJ2	set:TimingPlay02 image:TimingPlay_TJSJ3	#{JZF_230821_23}	#{JZF_230821_24}	-1	
39	42Thiên Thiên Giám Tranh Phong	17	81	20231124	20231209	0	#{JZF_230821_46}	set:TimingPlay02 image:TimingPlay_TJSJ1	set:TimingPlay02 image:TimingPlay_TJSJ2	set:TimingPlay02 image:TimingPlay_TJSJ3	#{JZF_230821_23}	#{JZF_230821_24}	-1	
40	56Thiên C¤p 7 bäo thÕch	2	81	20231208	20231209	1	#{JZF_230821_47}	set:TimingPlay01 image:TimingPlay_DFZJ1	set:TimingPlay01 image:TimingPlay_DFZJ2	set:TimingPlay01 image:TimingPlay_DFZJ3	#{JZF_230821_25}	#{JZF_230821_26}	7	#{JZF_230821_39}
41	0Thiên C¤p 5 bäo thÕch	1	82	20231013	20231209	1	#{JZF_230821_40}	set:TimingPlay01 image:TimingPlay_JHCX1	set:TimingPlay01 image:TimingPlay_JHCX2	set:TimingPlay01 image:TimingPlay_JHCX3	#{JZF_230821_37}	#{JZF_230821_38}	0	#{JZF_230821_30}
42	0Thiên m· ra 9Cá Ðiêu Vån, Tr× vû khí Võ H°n Hµ Kiên ám khí cái bao tay mû	3	82	20231013	20231209	0	#{JZF_230821_40}	set:TimingPlay01 image:TimingPlay_JHCX1	set:TimingPlay01 image:TimingPlay_JHCX2	set:TimingPlay01 image:TimingPlay_JHCX3	#{JZF_230821_37}	#{JZF_230821_38}	-1	
43	0Thiên ð¸a cung	18	82	20231013	20231108	0	T¥n Cung Bí Cänh						-1	
44	7Thiên võ ðÕo	8	82	20231020	20231209	1	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	1	#{JZF_230821_31}
45	7Thiên m· ra 10Cá Ðiêu Vån, Tr× Võ H°n Hµ Kiên ám khí cái bao tay mû	4	82	20231020	20231209	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
46	7Thiên th¤t tình Nhçn	9	82	20231020	20231209	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
47	7Thiên th¤t tình Nhçn Ðoàn B±n	9	82	20231020	20231209	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
48	7Thiên ngày xßa cänh trong m½	10	82	20231020	20231209	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
49	14Thiên m· ra 11Cá Ðiêu Vån, Tr× Hµ Kiên ám khí cái bao tay mû	5	82	20231027	20231209	1	#{JZF_230821_42}	set:TimingPlay01 image:TimingPlay_SYRM1	set:TimingPlay01 image:TimingPlay_SYRM2	set:TimingPlay01 image:TimingPlay_SYRM3	#{JZF_230821_15}	#{JZF_230821_16}	2	#{JZF_230821_32}
50	14Thiên Huy­n H°n	11	82	20231027	20231209	0	#{JZF_230821_42}	set:TimingPlay01 image:TimingPlay_SYRM1	set:TimingPlay01 image:TimingPlay_SYRM2	set:TimingPlay01 image:TimingPlay_SYRM3	#{JZF_230821_15}	#{JZF_230821_16}	-1	
51	14Thiên ThuÖ Nguy®t S½n Trang	11	82	20231027	20231209	0	#{JZF_230821_42}	set:TimingPlay01 image:TimingPlay_SYRM1	set:TimingPlay01 image:TimingPlay_SYRM2	set:TimingPlay01 image:TimingPlay_SYRM3	#{JZF_230821_15}	#{JZF_230821_16}	-1	
52	21Thiên m· ra 13Cá Ðiêu Vån, Tr× cái bao tay mû	6	82	20231103	20231209	1	#{JZF_230821_43}	set:TimingPlay01 image:TimingPlay_JJBX1	set:TimingPlay01 image:TimingPlay_JJBX2	set:TimingPlay01 image:TimingPlay_JJBX3	#{JZF_230821_17}	#{JZF_230821_18}	3	#{JZF_230821_33}
53	28Thiên Thú H°n	12	82	20231110	20231209	1	#{JZF_230821_44}	set:TimingPlay02 image:TimingPlay_SHXS1	set:TimingPlay02 image:TimingPlay_SHXS2	set:TimingPlay02 image:TimingPlay_SHXS3	#{JZF_230821_19}	#{JZF_230821_20}	4	#{JZF_230821_34}
54	28Thiên Thanh Khâu(ð½n giän, khó khån)	13	82	20231110	20231209	0	#{JZF_230821_44}	set:TimingPlay02 image:TimingPlay_SHXS1	set:TimingPlay02 image:TimingPlay_SHXS2	set:TimingPlay02 image:TimingPlay_SHXS3	#{JZF_230821_19}	#{JZF_230821_20}	-1	
55	28Thiên Thú H°n Chi LoÕn	14	82	20231110	20231209	0	#{JZF_230821_44}	set:TimingPlay02 image:TimingPlay_SHXS1	set:TimingPlay02 image:TimingPlay_SHXS2	set:TimingPlay02 image:TimingPlay_SHXS3	#{JZF_230821_19}	#{JZF_230821_20}	-1	
56	35Thiên m· ra 15Cá Ðiêu Vån(tÕm th¶i có Ðiêu Vån toàn bµ khai höa)	7	82	20231117	20231209	1	#{JZF_230821_45}	set:TimingPlay02 image:TimingPlay_LHCQ1	set:TimingPlay02 image:TimingPlay_LHCQ2	set:TimingPlay02 image:TimingPlay_LHCQ3	#{JZF_230821_21}	#{JZF_230821_22}	5	#{JZF_230821_35}
57	42Thiên Linh Võ	15	82	20231124	20231209	1	#{JZF_230821_46}	set:TimingPlay02 image:TimingPlay_TJSJ1	set:TimingPlay02 image:TimingPlay_TJSJ2	set:TimingPlay02 image:TimingPlay_TJSJ3	#{JZF_230821_23}	#{JZF_230821_24}	6	#{JZF_230821_36}
58	42Thiên Phöng C¯c T¥m Ng÷c	16	82	20231124	20231209	0	#{JZF_230821_46}	set:TimingPlay02 image:TimingPlay_TJSJ1	set:TimingPlay02 image:TimingPlay_TJSJ2	set:TimingPlay02 image:TimingPlay_TJSJ3	#{JZF_230821_23}	#{JZF_230821_24}	-1	
59	42Thiên Thiên Giám Tranh Phong	17	82	20231124	20231209	0	#{JZF_230821_46}	set:TimingPlay02 image:TimingPlay_TJSJ1	set:TimingPlay02 image:TimingPlay_TJSJ2	set:TimingPlay02 image:TimingPlay_TJSJ3	#{JZF_230821_23}	#{JZF_230821_24}	-1	
60	56Thiên C¤p 7 bäo thÕch	2	82	20231208	20231209	1	#{JZF_230821_47}	set:TimingPlay01 image:TimingPlay_DFZJ1	set:TimingPlay01 image:TimingPlay_DFZJ2	set:TimingPlay01 image:TimingPlay_DFZJ3	#{JZF_230821_25}	#{JZF_230821_26}	7	#{JZF_230821_39}
61	0Thiên C¤p 5 bäo thÕch	1	83	20231201	20240127	1	#{JZF_230821_40}	set:TimingPlay01 image:TimingPlay_JHCX1	set:TimingPlay01 image:TimingPlay_JHCX2	set:TimingPlay01 image:TimingPlay_JHCX3	#{JZF_230821_37}	#{JZF_230821_38}	0	#{JZF_230821_30}
62	0Thiên m· ra 9Cá Ðiêu Vån, Tr× vû khí Võ H°n Hµ Kiên ám khí cái bao tay mû	3	83	20231201	20240127	0	#{JZF_230821_40}	set:TimingPlay01 image:TimingPlay_JHCX1	set:TimingPlay01 image:TimingPlay_JHCX2	set:TimingPlay01 image:TimingPlay_JHCX3	#{JZF_230821_37}	#{JZF_230821_38}	-1	
63	0Thiên ð¸a cung	18	83	20231201	20231227	0	T¥n Cung Bí Cänh						-1	
64	7Thiên võ ðÕo	8	83	20231208	20240127	1	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	1	#{JZF_230821_31}
65	7Thiên m· ra 10Cá Ðiêu Vån, Tr× Võ H°n Hµ Kiên ám khí cái bao tay mû	4	83	20231208	20240127	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
66	7Thiên th¤t tình Nhçn	9	83	20231208	20240127	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
67	7Thiên th¤t tình Nhçn Ðoàn B±n	9	83	20231208	20240127	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
68	7Thiên ngày xßa cänh trong m½	10	83	20231208	20240127	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
69	14Thiên m· ra 11Cá Ðiêu Vån, Tr× Hµ Kiên ám khí cái bao tay mû	5	83	20231215	20240127	1	#{JZF_230821_42}	set:TimingPlay01 image:TimingPlay_SYRM1	set:TimingPlay01 image:TimingPlay_SYRM2	set:TimingPlay01 image:TimingPlay_SYRM3	#{JZF_230821_15}	#{JZF_230821_16}	2	#{JZF_230821_32}
70	14Thiên Huy­n H°n	11	83	20231215	20240127	0	#{JZF_230821_42}	set:TimingPlay01 image:TimingPlay_SYRM1	set:TimingPlay01 image:TimingPlay_SYRM2	set:TimingPlay01 image:TimingPlay_SYRM3	#{JZF_230821_15}	#{JZF_230821_16}	-1	
71	14Thiên ThuÖ Nguy®t S½n Trang	11	83	20231215	20240127	0	#{JZF_230821_42}	set:TimingPlay01 image:TimingPlay_SYRM1	set:TimingPlay01 image:TimingPlay_SYRM2	set:TimingPlay01 image:TimingPlay_SYRM3	#{JZF_230821_15}	#{JZF_230821_16}	-1	
72	21Thiên m· ra 13Cá Ðiêu Vån, Tr× cái bao tay mû	6	83	20231222	20240127	1	#{JZF_230821_43}	set:TimingPlay01 image:TimingPlay_JJBX1	set:TimingPlay01 image:TimingPlay_JJBX2	set:TimingPlay01 image:TimingPlay_JJBX3	#{JZF_230821_17}	#{JZF_230821_18}	3	#{JZF_230821_33}
73	28Thiên Thú H°n	12	83	20231229	20240127	1	#{JZF_230821_44}	set:TimingPlay02 image:TimingPlay_SHXS1	set:TimingPlay02 image:TimingPlay_SHXS2	set:TimingPlay02 image:TimingPlay_SHXS3	#{JZF_230821_19}	#{JZF_230821_20}	4	#{JZF_230821_34}
74	28Thiên Thanh Khâu(ð½n giän, khó khån)	13	83	20231229	20240127	0	#{JZF_230821_44}	set:TimingPlay02 image:TimingPlay_SHXS1	set:TimingPlay02 image:TimingPlay_SHXS2	set:TimingPlay02 image:TimingPlay_SHXS3	#{JZF_230821_19}	#{JZF_230821_20}	-1	
75	28Thiên Thú H°n Chi LoÕn	14	83	20231229	20240127	0	#{JZF_230821_44}	set:TimingPlay02 image:TimingPlay_SHXS1	set:TimingPlay02 image:TimingPlay_SHXS2	set:TimingPlay02 image:TimingPlay_SHXS3	#{JZF_230821_19}	#{JZF_230821_20}	-1	
76	35Thiên m· ra 15Cá Ðiêu Vån(tÕm th¶i có Ðiêu Vån toàn bµ khai höa)	7	83	20240105	20240127	1	#{JZF_230821_45}	set:TimingPlay02 image:TimingPlay_LHCQ1	set:TimingPlay02 image:TimingPlay_LHCQ2	set:TimingPlay02 image:TimingPlay_LHCQ3	#{JZF_230821_21}	#{JZF_230821_22}	5	#{JZF_230821_35}
77	42Thiên Linh Võ	15	83	20240112	20240127	1	#{JZF_230821_46}	set:TimingPlay02 image:TimingPlay_TJSJ1	set:TimingPlay02 image:TimingPlay_TJSJ2	set:TimingPlay02 image:TimingPlay_TJSJ3	#{JZF_230821_23}	#{JZF_230821_24}	6	#{JZF_230821_36}
78	42Thiên Phöng C¯c T¥m Ng÷c	16	83	20240112	20240127	0	#{JZF_230821_46}	set:TimingPlay02 image:TimingPlay_TJSJ1	set:TimingPlay02 image:TimingPlay_TJSJ2	set:TimingPlay02 image:TimingPlay_TJSJ3	#{JZF_230821_23}	#{JZF_230821_24}	-1	
79	42Thiên Thiên Giám Tranh Phong	17	83	20240112	20240127	0	#{JZF_230821_46}	set:TimingPlay02 image:TimingPlay_TJSJ1	set:TimingPlay02 image:TimingPlay_TJSJ2	set:TimingPlay02 image:TimingPlay_TJSJ3	#{JZF_230821_23}	#{JZF_230821_24}	-1	
80	56Thiên C¤p 7 bäo thÕch	2	83	20240126	20240127	1	#{JZF_230821_47}	set:TimingPlay01 image:TimingPlay_DFZJ1	set:TimingPlay01 image:TimingPlay_DFZJ2	set:TimingPlay01 image:TimingPlay_DFZJ3	#{JZF_230821_25}	#{JZF_230821_26}	7	#{JZF_230821_39}
81	0Thiên m· ra 9Cá Ðiêu Vån, Tr× vû khí Võ H°n Hµ Kiên ám khí cái bao tay mû	3	84	20240218	20240330	1	#{JZF_230821_40}	set:TimingPlay01 image:TimingPlay_JHCX1	set:TimingPlay01 image:TimingPlay_JHCX2	set:TimingPlay01 image:TimingPlay_JHCX3	#{JZF_230821_37}	#{JZF_230821_38}	0	#{JZF_230821_30}
82	0Thiên ð¸a cung	18	84	20240218	20240315	0	T¥n Cung Bí Cänh						-1	
83	7Thiên võ ðÕo	8	84	20240223	20240330	1	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	1	#{JZF_230821_31}
84	7Thiên m· ra 10Cá Ðiêu Vån, Tr× Võ H°n Hµ Kiên ám khí cái bao tay mû	4	84	20240223	20240330	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
85	7Thiên th¤t tình Nhçn	9	84	20240223	20240330	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
86	7Thiên th¤t tình Nhçn Ðoàn B±n	9	84	20240223	20240330	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
87	7Thiên ngày xßa cänh trong m½	10	84	20240223	20240330	0	#{JZF_230821_41}	set:TimingPlay02 image:TimingPlay_QQXR1	set:TimingPlay02 image:TimingPlay_QQXR2	set:TimingPlay02 image:TimingPlay_QQXR3	#{JZF_230821_13}	#{JZF_230821_14}	-1	
