INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING
104	雄狮逆鳞·慎	5	-1	-1	-1	-1	-1	35	2676	-1	0	3820	-1	42	102	-1	100	32569	增加打怒技能对目标的生效几率（5星套装效果）
105	昆鹏异羽·怯	5	-1	-1	-1	-1	-1	26	416	-1	35	536	-1	43	21	-1	100	32466	增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（1星套装效果）
106	昆鹏异羽·怯	5	-1	-1	-1	-1	-1	26	832	-1	35	1071	-1	43	41	-1	100	32467	增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（2星套装效果）
107	昆鹏异羽·怯	5	-1	-1	-1	-1	-1	26	1248	-1	35	1606	-1	43	61	-1	100	32468	增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（3星套装效果）
108	昆鹏异羽·怯	5	-1	-1	-1	-1	-1	26	1663	-1	35	2141	-1	43	82	-1	100	32469	增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（4星套装效果）
109	昆鹏异羽·怯	5	-1	-1	-1	-1	-1	26	2079	-1	35	2676	-1	43	102	-1	100	32470	增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（5星套装效果）
110	昆鹏异羽·狡	5	-1	-1	-1	-1	-1	35	536	-1	0	764	-1	43	21	-1	100	32529	增加反击技能对目标的生效几率（1星套装效果）
111	昆鹏异羽·狡	5	-1	-1	-1	-1	-1	35	1071	-1	0	1528	-1	43	41	-1	100	32530	增加反击技能对目标的生效几率（2星套装效果）
112	昆鹏异羽·狡	5	-1	-1	-1	-1	-1	35	1606	-1	0	2292	-1	43	61	-1	100	32531	增加反击技能对目标的生效几率（3星套装效果）
113	昆鹏异羽·狡	5	-1	-1	-1	-1	-1	35	2141	-1	0	3056	-1	43	82	-1	100	32532	增加反击技能对目标的生效几率（4星套装效果）
114	昆鹏异羽·狡	5	-1	-1	-1	-1	-1	35	2676	-1	0	3820	-1	43	102	-1	100	32533	增加反击技能对目标的生效几率（5星套装效果）
115	昆鹏异羽·慎	5	-1	-1	-1	-1	-1	35	536	-1	0	764	-1	43	21	-1	100	32565	增加打怒技能对目标的生效几率（1星套装效果）
116	昆鹏异羽·慎	5	-1	-1	-1	-1	-1	35	1071	-1	0	1528	-1	43	41	-1	100	32566	增加打怒技能对目标的生效几率（2星套装效果）
117	昆鹏异羽·慎	5	-1	-1	-1	-1	-1	35	1606	-1	0	2292	-1	43	61	-1	100	32567	增加打怒技能对目标的生效几率（3星套装效果）
118	昆鹏异羽·慎	5	-1	-1	-1	-1	-1	35	2141	-1	0	3056	-1	43	82	-1	100	32568	增加打怒技能对目标的生效几率（4星套装效果）
119	昆鹏异羽·慎	5	-1	-1	-1	-1	-1	35	2676	-1	0	3820	-1	43	102	-1	100	32569	增加打怒技能对目标的生效几率（5星套装效果）
120	玄龟奇血·忠	5	-1	-1	-1	-1	-1	22	411	-1	29	411	-1	0	764	-1	100	32502	增加灵气技能对玩家的生效几率（1星套装效果）
121	玄龟奇血·忠	5	-1	-1	-1	-1	-1	22	821	-1	29	821	-1	0	1528	-1	100	32503	增加灵气技能对玩家的生效几率（2星套装效果）
122	玄龟奇血·忠	5	-1	-1	-1	-1	-1	22	1232	-1	29	1232	-1	0	2292	-1	100	32504	增加灵气技能对玩家的生效几率（3星套装效果）
123	玄龟奇血·忠	5	-1	-1	-1	-1	-1	22	1642	-1	29	1642	-1	0	3056	-1	100	32505	增加灵气技能对玩家的生效几率（4星套装效果）
124	玄龟奇血·忠	5	-1	-1	-1	-1	-1	22	2053	-1	29	2053	-1	0	3820	-1	100	32506	增加灵气技能对玩家的生效几率（5星套装效果）
125	玄龟奇血·慎	5	-1	-1	-1	-1	-1	46	21	-1	35	536	-1	0	764	-1	100	32565	增加打怒技能对目标的生效几率（1星套装效果）
126	玄龟奇血·慎	5	-1	-1	-1	-1	-1	46	41	-1	35	1071	-1	0	1528	-1	100	32566	增加打怒技能对目标的生效几率（2星套装效果）
127	玄龟奇血·慎	5	-1	-1	-1	-1	-1	46	61	-1	35	1606	-1	0	2292	-1	100	32567	增加打怒技能对目标的生效几率（3星套装效果）
128	玄龟奇血·慎	5	-1	-1	-1	-1	-1	46	82	-1	35	2141	-1	0	3056	-1	100	32568	增加打怒技能对目标的生效几率（4星套装效果）
129	玄龟奇血·慎	5	-1	-1	-1	-1	-1	46	102	-1	35	2676	-1	0	3820	-1	100	32569	增加打怒技能对目标的生效几率（5星套装效果）
130	墨豹惊步·慎	5	-1	-1	-1	-1	-1	35	536	-1	46	21	-1	0	764	-1	100	32565	增加打怒技能对目标的生效几率（1星套装效果）
131	墨豹惊步·慎	5	-1	-1	-1	-1	-1	35	1071	-1	46	41	-1	0	1528	-1	100	32566	增加打怒技能对目标的生效几率（2星套装效果）
132	墨豹惊步·慎	5	-1	-1	-1	-1	-1	35	1606	-1	46	61	-1	0	2292	-1	100	32567	增加打怒技能对目标的生效几率（3星套装效果）
133	墨豹惊步·慎	5	-1	-1	-1	-1	-1	35	2141	-1	46	82	-1	0	3056	-1	100	32568	增加打怒技能对目标的生效几率（4星套装效果）
134	墨豹惊步·慎	5	-1	-1	-1	-1	-1	35	2676	-1	46	102	-1	0	3820	-1	100	32569	增加打怒技能对目标的生效几率（5星套装效果）
