INT	INT	STRING	INT	INT	INT
371	16654	鹰扬组休息室	110	0	6
372	16655	鹰扬组休息室	111	0	0
373	16656	鹰扬组休息室	111	0	1
374	16657	鹰扬组休息室	111	0	2
375	16658	鹰扬组休息室	111	0	3
376	16659	鹰扬组休息室	111	0	4
377	16660	鹰扬组休息室	111	0	5
378	16661	鹰扬组休息室	111	0	6
379	16662	鹰扬组休息室	112	0	0
380	16663	鹰扬组休息室	112	0	1
381	16664	鹰扬组休息室	112	0	2
382	16665	鹰扬组休息室	112	0	3
383	16666	鹰扬组休息室	112	0	4
384	16667	鹰扬组休息室	112	0	5
385	16668	鹰扬组休息室	112	0	6
386	16669	鹰扬组休息室	113	0	0
387	16670	鹰扬组休息室	113	0	1
388	16671	鹰扬组休息室	113	0	2
389	16672	鹰扬组休息室	113	0	3
390	16673	鹰扬组休息室	113	0	4
391	16674	鹰扬组休息室	113	0	5
392	16675	鹰扬组休息室	113	0	6
393	16676	鹰扬组休息室	114	0	0
394	16677	鹰扬组休息室	114	0	1
395	16678	鹰扬组休息室	114	0	2
396	16679	鹰扬组休息室	114	0	3
397	16680	鹰扬组休息室	114	0	4
398	16681	鹰扬组休息室	114	0	5
399	16682	鹰扬组休息室	114	0	6
400	16683	鹰扬组休息室	115	0	0
401	16684	鹰扬组休息室	115	0	1
402	16685	鹰扬组休息室	115	0	2
403	16686	鹰扬组休息室	115	0	3
404	16687	鹰扬组休息室	115	0	4
405	16688	鹰扬组休息室	115	0	5
406	16689	鹰扬组休息室	115	0	6
407	16690	鹰扬组休息室	116	0	0
408	16691	鹰扬组休息室	116	0	1
409	16692	鹰扬组休息室	116	0	2
410	16693	鹰扬组休息室	116	0	3
411	16694	鹰扬组休息室	116	0	4
412	16695	鹰扬组休息室	116	0	5
413	16696	鹰扬组休息室	116	0	6
414	16697	鹰扬组休息室	117	0	0
415	16698	鹰扬组休息室	117	0	1
416	16699	鹰扬组休息室	117	0	2
417	16700	鹰扬组休息室	117	0	3
418	16701	鹰扬组休息室	117	0	4
419	16702	鹰扬组休息室	117	0	5
420	16703	鹰扬组休息室	117	0	6
421	16704	鹰扬组休息室	118	0	0
422	16705	鹰扬组休息室	118	0	1
423	16706	鹰扬组休息室	118	0	2
424	16707	鹰扬组休息室	118	0	3
425	16708	鹰扬组休息室	118	0	4
426	16709	鹰扬组休息室	118	0	5
427	16710	鹰扬组休息室	118	0	6
428	16711	鹰扬组休息室	119	0	0
429	16712	鹰扬组休息室	119	0	1
430	16713	鹰扬组休息室	119	0	2
431	16714	鹰扬组休息室	119	0	3
432	16715	鹰扬组休息室	119	0	4
433	16716	鹰扬组休息室	119	0	5
434	16717	鹰扬组休息室	119	0	6
435	16718	鹰扬组休息室	120	0	0
436	16719	鹰扬组休息室	120	0	1
437	16720	鹰扬组休息室	120	0	2
438	16721	鹰扬组休息室	120	0	3
439	16722	鹰扬组休息室	120	0	4
440	16723	鹰扬组休息室	120	0	5
441	16724	鹰扬组休息室	120	0	6
