INT	STRING	INT	INT	INT	STRING
82	珍珑棋局	65	39	39	通往洛阳
83	木人巷	47	22	12	通往大理
84	木人巷	48	22	12	通往大理
85	木人巷	49	22	12	通往大理
86	木人巷	50	22	12	通往大理
87	木人巷	51	22	12	通往大理
88	木人巷	52	22	12	通往大理
89	木人巷	53	22	12	通往大理
90	木人巷	54	22	12	通往大理
91	木人巷	55	22	12	通往大理
92	木人巷	56	22	12	通往大理
93	木人巷	57	22	12	通往大理
94	木人巷	58	22	12	通往大理
95	木人巷	59	22	12	通往大理
96	木人巷	60	22	12	通往大理
97	叛军营地	42	57	115	通往洛阳
98	叛军营地	43	57	115	通往洛阳
99	叛军营地	44	57	115	通往洛阳
100	叛军营地	45	57	115	通往洛阳
101	叛军营地	46	57	115	通往洛阳
102	火焰山	244	40	220	通往高昌
103	高昌	245	220	220	通往火焰山
104	石林	26	46	270	通往盐湖
105	盐湖	235	50	30	通往石林
106	高昌	424	26	36	通往楼兰
107	塔里木	425	31	29	通往楼兰
108	楼兰	246	295	143	通往高昌
109	楼兰	246	160	300	通往塔里木
110	束河古镇	420	27	289	通往苍山
111	苍山	25	166	56	通往束河古镇
112	玄武岛	112	139	206	玄武岛反
113	玄武岛反	579	102	35	玄武岛
114	玄武岛裂隙	578	106	88	玄武岛
115	曼陀山庄	592	145	196	通往太湖
116	太湖	4	29	200	通往曼陀山庄
117	白溪湖	613	221	55	通往草原
118	草原	20	258	183	白溪湖
119	蜀南竹海	614	129	224	苍山
120	苍山	25	48	54	蜀南竹海
121	西凉枫林	615	199	219	敦煌
122	敦煌	8	93	40	西凉枫林
123	长春谷·横崖	616	46	57	长春谷·乌衣巷
124	长春谷·乌衣巷	617	225	40	长春谷·横崖
125	清湖蜃景	673	104	62	沉月岛 
126	清湖蜃景	673	221	55	熔岩蜃景
127	清湖蜃景	673	48	205	密林蜃景
128	密林蜃景	674	160	42	繁林岛
129	密林蜃景	674	186	216	清湖蜃景
130	密林蜃景	674	70	37	熔岩蜃景
131	熔岩蜃景	675	90	187	地火岛
132	熔岩蜃景	675	198	219	清湖蜃景
133	熔岩蜃景	675	55	43	密林蜃景
134	沉月岛	655	197	220	清湖蜃景
135	沉月岛	655	74	217	繁林岛
136	沉月岛	655	169	26	地火岛
137	地火岛	656	31	105	熔岩蜃景
138	地火岛	656	41	135	繁林岛
139	地火岛	656	214	47	沉月岛
140	繁林岛	657	38	228	密林蜃景
141	繁林岛	657	136	45	地火岛
142	繁林岛	657	234	202	沉月岛
143	沉月古塔一层	658	48	49	沉月古塔二层
144	沉月古塔二层	659	26	25	沉月古塔三层
145	沉月古塔三层	660	46	96	沉月古塔四层
146	沉月古塔一层	658	208	55	沉月古塔二层
147	沉月古塔二层	659	162	29	沉月古塔三层
148	沉月古塔三层	660	143	96	沉月古塔四层
149	地火古塔一层	662	48	49	地火古塔二层
150	地火古塔二层	663	26	25	地火古塔三层
151	地火古塔三层	664	46	96	地火古塔四层
152	地火古塔一层	662	208	55	地火古塔二层
153	地火古塔二层	663	162	29	地火古塔三层
154	地火古塔三层	664	143	96	地火古塔四层
155	繁林古塔一层	666	48	49	繁林古塔二层
156	繁林古塔二层	667	26	25	繁林古塔三层
157	繁林古塔三层	668	46	96	繁林古塔四层
158	繁林古塔一层	666	208	55	繁林古塔二层
159	繁林古塔二层	667	162	29	繁林古塔三层
160	繁林古塔三层	668	143	96	繁林古塔四层
161	锁龙古塔二层	670	28	27	锁龙古塔三层
162	锁龙古塔三层	671	37	66	锁龙古塔四层
163	锁龙古塔二层	670	172	33	锁龙古塔三层
164	锁龙古塔三层	671	148	77	锁龙古塔四层
165	沉月古塔二层	659	30	162	沉月古塔一层
166	沉月古塔三层	660	61	132	沉月古塔二层
167	沉月古塔四层	661	32	31	沉月古塔三层
168	沉月古塔二层	659	162	160	沉月古塔一层
169	沉月古塔三层	660	130	132	沉月古塔二层
170	沉月古塔四层	661	98	97	沉月古塔三层
171	地火古塔二层	663	30	162	地火古塔一层
172	地火古塔三层	664	61	132	地火古塔二层
173	地火古塔四层	665	32	31	地火古塔三层
174	地火古塔二层	663	162	160	地火古塔一层
175	地火古塔三层	664	130	132	地火古塔二层
176	地火古塔四层	665	98	97	地火古塔三层
177	繁林古塔二层	667	30	162	繁林古塔一层
178	繁林古塔三层	668	61	132	繁林古塔二层
179	繁林古塔四层	669	32	31	繁林古塔三层
180	繁林古塔二层	667	162	160	繁林古塔一层
181	繁林古塔三层	668	130	132	繁林古塔二层
182	繁林古塔四层	669	98	97	繁林古塔三层
183	锁龙古塔三层	671	60	134	锁龙古塔二层
184	锁龙古塔四层	672	60	125	锁龙古塔三层
185	锁龙古塔三层	671	134	133	锁龙古塔二层
186	锁龙古塔四层	672	135	128	锁龙古塔三层
187	清湖蜃景	673	195	217	洛阳
188	密林蜃景	674	56	175	洛阳
189	熔岩蜃景	675	220	75	洛阳
190	锁龙古塔一层	679	48	49	锁龙古塔二层
191	锁龙古塔一层	679	208	55	锁龙古塔二层
192	锁龙古塔二层	670	30	162	锁龙古塔一层
193	锁龙古塔二层	670	162	160	锁龙古塔一层
194	沉月古塔三层	682	46	96	沉月古塔四层
195	沉月古塔三层	682	143	96	沉月古塔四层
196	沉月古塔四层	683	32	31	沉月古塔三层
197	沉月古塔四层	683	98	97	沉月古塔三层
198	地火古塔三层	684	46	96	地火古塔四层
199	地火古塔三层	684	143	96	地火古塔四层
200	地火古塔四层	685	32	31	地火古塔三层
201	地火古塔四层	685	98	97	地火古塔三层
202	繁林古塔三层	686	46	96	繁林古塔四层
203	繁林古塔三层	686	143	96	繁林古塔四层
204	繁林古塔四层	687	32	31	繁林古塔三层
205	繁林古塔四层	687	98	97	繁林古塔三层
206	锁龙古塔一层	691	48	49	锁龙古塔二层
207	锁龙古塔一层	691	208	55	锁龙古塔二层
208	锁龙古塔二层	688	30	162	锁龙古塔一层
209	锁龙古塔二层	688	162	160	锁龙古塔一层
210	锁龙古塔二层	688	28	27	锁龙古塔三层
211	锁龙古塔二层	688	172	33	锁龙古塔三层
212	锁龙古塔三层	689	134	133	锁龙古塔二层
213	锁龙古塔三层	689	60	134	锁龙古塔二层
214	锁龙古塔三层	689	148	77	锁龙古塔四层
215	锁龙古塔三层	689	37	66	锁龙古塔四层
216	锁龙古塔四层	690	60	125	锁龙古塔三层
217	锁龙古塔四层	690	135	128	锁龙古塔三层
218	翠云山	700	163	154	通往水帘洞
219	翠云山	700	192	48	通往永宁城
220	水帘洞	701	83	64	通往翠云山
221	水帘洞	701	59	63	通往永宁城
222	永宁城	702	51	206	通往翠云山
223	永宁城	702	42	164	通往水帘洞
224	剑阁	7	40	196	通往恶人谷
225	恶人谷	703	56	215	通往剑阁
226	熔岩蜃景	675	139	64	昆吾
227	昆吾	734	223	220	熔岩蜃景
228	溪上莲山	735	25	80	昆吾
229	开悟之间	741	33	44	昆吾
230	飘渺浮丘	736	33	44	昆吾
231	遗荒古迹	737	29	59	昆吾
