INT	INT	STRING	INT	INT	STRING
33	0	set:GirlProtagonist image:GirlProtagonist_17	2	3	set:GirlProtagonist image:GirlProtagonist_17
34	0	set:GirlProtagonist image:GirlProtagonist_18	2	3	set:GirlProtagonist image:GirlProtagonist_18
35	0	set:GirlProtagonist image:GirlProtagonist_19	2	3	set:GirlProtagonist image:GirlProtagonist_19
36	0	set:GirlProtagonist image:GirlProtagonist_20	2	3	set:GirlProtagonist image:GirlProtagonist_20
37	1	set:ManProtagonist image:ManProtagonist_17	2	3	set:ManProtagonist image:ManProtagonist_17
38	1	set:ManProtagonist image:ManProtagonist_18	2	3	set:ManProtagonist image:ManProtagonist_18
39	1	set:ManProtagonist image:ManProtagonist_19	2	3	set:ManProtagonist image:ManProtagonist_19
40	1	set:ManProtagonist image:ManProtagonist_20	2	3	set:ManProtagonist image:ManProtagonist_20
41	0	set:GirlProtagonist image:GirlProtagonist_21	2	3	set:GirlProtagonist image:GirlProtagonist_21
42	0	set:GirlProtagonist image:GirlProtagonist_22	2	3	set:GirlProtagonist image:GirlProtagonist_22
43	1	set:ManProtagonist image:ManProtagonist_21	2	3	set:ManProtagonist image:ManProtagonist_21
44	1	set:ManProtagonist image:ManProtagonist_22	2	3	set:ManProtagonist image:ManProtagonist_22
45	1	set:ManProtagonist image:ManProtagonist_23	2	3	set:ManProtagonist image:ManProtagonist_23
46	0	set:GirlProtagonist image:GirlProtagonist_23	2	3	set:GirlProtagonist image:GirlProtagonist_23
47	1	set:ManProtagonist image:ManProtagonist_24	2	3	set:ManProtagonist image:ManProtagonist_24
48	0	set:GirlProtagonist image:GirlProtagonist_24	2	3	set:GirlProtagonist image:GirlProtagonist_24
49	0	set:GirlProtagonist image:GirlProtagonist_25	3	1	set:GirlProtagonist image:GirlProtagonist_25
50	0	set:GirlProtagonist1 image:GirlProtagonist1_1	3	1	set:GirlProtagonist1 image:GirlProtagonist1_1
51	0	set:GirlProtagonist1 image:GirlProtagonist1_2	3	1	set:GirlProtagonist1 image:GirlProtagonist1_2
52	1	set:ManProtagonist image:ManProtagonist_25	3	1	set:ManProtagonist image:ManProtagonist_25
53	1	set:ManProtagonist1 image:ManProtagonist1_1	3	1	set:ManProtagonist1 image:ManProtagonist1_1
54	1	set:ManProtagonist1 image:ManProtagonist1_2	3	1	set:ManProtagonist1 image:ManProtagonist1_2
55	0	set:GirlProtagonist2 image:GirlProtagonist2_6	2	3	set:GirlProtagonist2 image:GirlProtagonist2_6
56	1	set:ManProtagonist2 image:ManProtagonist2_6	2	3	set:ManProtagonist2 image:ManProtagonist2_6
57	0	set:GirlProtagonist1 image:GirlProtagonist1_17	2	3	set:GirlProtagonist1 image:GirlProtagonist1_17
58	1	set:ManProtagonist1 image:ManProtagonist1_17	2	3	set:ManProtagonist1 image:ManProtagonist1_17
59	0	set:GirlProtagonist2 image:GirlProtagonist2_15	2	3	set:GirlProtagonist2 image:GirlProtagonist2_15
60	1	set:ManProtagonist2 image:ManProtagonist2_15	2	3	set:ManProtagonist2 image:ManProtagonist2_15
61	0	set:GirlProtagonist2 image:GirlProtagonist2_10	2	3	set:GirlProtagonist2 image:GirlProtagonist2_10
62	1	set:ManProtagonist2 image:ManProtagonist2_10	2	3	set:ManProtagonist2 image:ManProtagonist2_10
63	0	set:GirlProtagonist2 image:GirlProtagonist2_18	2	3	set:GirlProtagonist2 image:GirlProtagonist2_18
64	1	set:ManProtagonist2 image:ManProtagonist2_18	2	3	set:ManProtagonist2 image:ManProtagonist2_18
65	0	set:GirlProtagonist2 image:GirlProtagonist2_19	2	3	set:GirlProtagonist2 image:GirlProtagonist2_19
66	1	set:ManProtagonist2 image:ManProtagonist2_19	2	3	set:ManProtagonist2 image:ManProtagonist2_19
67	0	set:GirlProtagonist2 image:GirlProtagonist2_20	2	3	set:GirlProtagonist2 image:GirlProtagonist2_20
68	1	set:ManProtagonist2 image:ManProtagonist2_20	2	3	set:ManProtagonist2 image:ManProtagonist2_20
69	0	set:GirlProtagonist2 image:GirlProtagonist2_21	2	3	set:GirlProtagonist2 image:GirlProtagonist2_21
70	1	set:ManProtagonist2 image:ManProtagonist2_21	2	3	set:ManProtagonist2 image:ManProtagonist2_21
71	0	set:GirlProtagonist2 image:GirlProtagonist2_22	2	3	set:GirlProtagonist2 image:GirlProtagonist2_22
72	1	set:ManProtagonist2 image:ManProtagonist2_22	2	3	set:ManProtagonist2 image:ManProtagonist2_22
73	0	set:GirlProtagonist2 image:GirlProtagonist2_23	2	3	set:GirlProtagonist2 image:GirlProtagonist2_23
74	1	set:ManProtagonist2 image:ManProtagonist2_23	2	3	set:ManProtagonist2 image:ManProtagonist2_23
75	0	set:GirlProtagonist2 image:GirlProtagonist2_24	2	3	set:GirlProtagonist2 image:GirlProtagonist2_24
76	1	set:ManProtagonist2 image:ManProtagonist2_24	2	3	set:ManProtagonist2 image:ManProtagonist2_24
77	0	set:GirlProtagonist2 image:GirlProtagonist2_25	2	3	set:GirlProtagonist2 image:GirlProtagonist2_25
78	1	set:ManProtagonist2 image:ManProtagonist2_25	2	3	set:ManProtagonist2 image:ManProtagonist2_25
79	0	set:GirlProtagonist3 image:GirlProtagonist3_1	2	3	set:GirlProtagonist3 image:GirlProtagonist3_1
80	1	set:ManProtagonist3 image:ManProtagonist3_1	2	3	set:ManProtagonist3 image:ManProtagonist3_1
