INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
12	Tinh CﬂΩng L’o H± Xoa –∞ Tﬂ∂ng	10201012	1	4	2	20103002	30	20103062	15	20103097	15	20308012	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
13	Thanh Ng˜c –¢ng Long ThﬂΩng –∞ Tﬂ∂ng	10201013	1	4	3	20103003	35	20103063	20	20103097	21	20308013	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
14	Tam C± LiÆt DiÆm Xoa –∞ Tﬂ∂ng	10201014	1	4	4	20103004	40	20103064	25	20103098	24	20308014	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
15	H± V€ T’m Kim ThﬂΩng –∞ Tﬂ∂ng	10201015	1	4	5	20103005	45	20103065	30	20103098	27	20308015	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
16	Ng˚ –µc Th§u CØt ThﬂΩng –∞ Tﬂ∂ng	10201016	1	4	6	20103006	50	20103066	35	20103098	33	20308016	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
17	B’o Vı DiÆt H∞nthﬂΩng –∞ Tﬂ∂ng	10201017	1	4	7	20103007	55	20103067	40	20103099	48	20308017	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
18	Xi™t Tinh XuyÍn ThiÍn –∞ Tﬂ∂ng	10201018	1	4	8	20103008	60	20103068	45	20103099	52	20308018	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
19	–o’n –∞ Tﬂ∂ng	10201019	1	4	9	20103009	65	20103069	50	20103099	60	20308019	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
20	V∏ øΩng –∞ Tﬂ∂ng	10201020	1	4	10	20103010	70	20103070	55	20103099	64	20308020	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
21	Thanh –∞ng NhÁn –∞ Tﬂ∂ng	10202011	1	4	1	20103001	25	20103061	10	20103097	12	20308021	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
22	Khi SﬂΩng Ki™m –∞ Tﬂ∂ng	10202012	1	4	2	20103002	30	20103062	15	20103097	15	20308022	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
23	Ph· Qu‚n Ki™m –∞ Tﬂ∂ng	10202013	1	4	3	20103003	35	20103063	20	20103097	21	20308023	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
24	NgÙ C‚u Ki™m –∞ Tﬂ∂ng	10202014	1	4	4	20103004	40	20103064	25	20103098	24	20308024	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
25	B™ NguyÆt X˙ Quang Ki™m –∞ Tﬂ∂ng	10202015	1	4	5	20103005	45	20103065	30	20103098	27	20308025	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
26	–o’n Ng˜c Ki™m –∞ Tﬂ∂ng	10202016	1	4	6	20103006	50	20103066	35	20103098	33	20308026	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
27	ThiÍn B‡o Ki™m –∞ Tﬂ∂ng	10202017	1	4	7	20103007	55	20103067	40	20103099	48	20308027	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
28	XÌch TiÍu B’ch –™ –∞ Tﬂ∂ng	10202018	1	4	8	20103008	60	20103068	45	20103099	52	20308028	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
29	CÙng BØ –∞ Tﬂ∂ng	10202019	1	4	9	20103009	65	20103069	50	20103099	60	20308029	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
30	Long UyÍn –∞ Tﬂ∂ng	10202020	1	4	10	20103010	70	20103070	55	20103099	64	20308030	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
31	Li≠u DiÆp Song –ao –∞ Tﬂ∂ng	10203011	1	4	1	20103001	25	20103061	10	20103097	12	20308031	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
32	Linh X‡ Song Ki™m –∞ Tﬂ∂ng	10203012	1	4	2	20103002	30	20103062	15	20103097	15	20308032	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
33	Tinh Th•n Song Ki™m –∞ Tﬂ∂ng	10203013	1	4	3	20103003	35	20103063	20	20103097	21	20308033	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
34	Tam Tinh Nga Mi ThÌch –∞ Tﬂ∂ng	10203014	1	4	4	20103004	40	20103064	25	20103098	24	20308034	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
35	Xu‚n Thu Song –ao –∞ Tﬂ∂ng	10203015	1	4	5	20103005	45	20103065	30	20103098	27	20308035	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
36	Th˘ Lﬂu Song Ph¸ –∞ Tﬂ∂ng	10203016	1	4	6	20103006	50	20103066	35	20103098	33	20308036	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
37	Thu Th¸y Nh’n Linh Song –ao –∞ Tﬂ∂ng	10203017	1	4	7	20103007	55	20103067	40	20103099	48	20308037	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
38	SﬂΩng ThiÍn Hi¨u Gi·c –∞ Tﬂ∂ng	10203018	1	4	8	20103008	60	20103068	45	20103099	52	20308038	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
39	V‚n Truy NguyÆt –∞ Tﬂ∂ng	10203019	1	4	9	20103009	65	20103069	50	20103099	60	20308039	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
40	ThﬂΩng Long –∞ Tﬂ∂ng	10203020	1	4	10	20103010	70	20103070	55	20103099	64	20308040	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
41	Nga Mao Phi™n –∞ Tﬂ∂ng	10204011	1	4	1	20103001	25	20103061	10	20103097	12	20308041	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
42	Thßp TÒ MiÍn Ch˙c Phi™n –∞ Tﬂ∂ng	10204012	1	4	2	20103002	30	20103062	15	20103097	15	20308042	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
43	B’ch V˚ Phi™n –∞ Tﬂ∂ng	10204013	1	4	3	20103003	35	20103063	20	20103097	21	20308043	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
44	Thanh T‚m Phi™n –∞ Tﬂ∂ng	10204014	1	4	4	20103004	40	20103064	25	20103098	24	20308044	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
45	Thi™t CØt Phi™n –∞ Tﬂ∂ng	10204015	1	4	5	20103005	45	20103065	30	20103098	27	20308045	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
46	Th¸y KÌnh Phi™n –∞ Tﬂ∂ng	10204016	1	4	6	20103006	50	20103066	35	20103098	33	20308046	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
47	Ng˚ Hˆa Th§t C•m Phi™n –∞ Tﬂ∂ng	10204017	1	4	7	20103007	55	20103067	40	20103099	48	20308047	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
48	Phong B„i TÙng Lﬂ –∞ Tﬂ∂ng	10204018	1	4	8	20103008	60	20103068	45	20103099	52	20308048	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
49	–∏nh Phong Ba –∞ Tﬂ∂ng	10204019	1	4	9	20103009	65	20103069	50	20103099	60	20308049	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
50	Phﬂ˛ng S∞ –∞ Tﬂ∂ng	10204020	1	4	10	20103010	70	20103070	55	20103099	64	20308050	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
51	B’ch Ng‚n Ho‡n –∞ Tﬂ∂ng	10205011	1	4	1	20103001	25	20103061	10	20103097	12	20308051	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
52	Minh NguyÆt Ho‡n –∞ Tﬂ∂ng	10205012	1	4	2	20103002	30	20103062	15	20103097	15	20308052	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
53	Ng˚ H‡nh Lu‚n –∞ Tﬂ∂ng	10205013	1	4	3	20103003	35	20103063	20	20103097	21	20308053	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
54	ThiÍn –∏a Kim Quang Quy¨n –∞ Tﬂ∂ng	10205014	1	4	4	20103004	40	20103064	25	20103098	24	20308054	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
55	Nhi™p Tinh Ho‡n –∞ Tﬂ∂ng	10205015	1	4	5	20103005	45	20103065	30	20103098	27	20308055	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
56	ThiÍn L’c Ho‡n –∞ Tﬂ∂ng	10205016	1	4	6	20103006	50	20103066	35	20103098	33	20308056	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
57	C‡n KhÙn Quy¨n –∞ Tﬂ∂ng	10205017	1	4	7	20103007	55	20103067	40	20103099	48	20308057	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
58	MÆnh Vßn –∞ Tﬂ∂ng	10205018	1	4	8	20103008	60	20103068	45	20103099	52	20308058	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
59	Th·m Hoa –∞ Tﬂ∂ng	10205019	1	4	9	20103009	65	20103069	50	20103099	60	20308059	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
60	Tr‰m Quan –∞ Tﬂ∂ng	10205020	1	4	10	20103010	70	20103070	55	20103099	64	20308060	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
61	ThÙ BØ M„o –∞ Tﬂ∂ng	10210002	1	5	1	20105001	28	20103073	12	20103100	24	20308061	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
62	Thanh BØ M’o –∞ Tﬂ∂ng	10210004	1	5	1	20105002	32	20103074	16	20103100	27	20308062	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
63	Gi·ng Ma M’o –∞ Tﬂ∂ng	10210006	1	5	2	20105003	36	20103075	20	20103100	33	20308063	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
64	Nhuy≠n Ch‚u M’o –∞ Tﬂ∂ng	10210008	1	5	3	20105004	40	20103076	24	20103101	36	20308064	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
65	Ng‚n C¶m Qu·n –∞ Tﬂ∂ng	10210010	1	5	4	20105005	44	20103077	28	20103101	39	20308065	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
66	NguyÍn Linh Qu·n –∞ Tﬂ∂ng	10210012	1	5	5	20105006	48	20103078	32	20103101	45	20308066	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
67	Th§t Tinh Qu·n –∞ Tﬂ∂ng	10210014	1	5	6	20105007	52	20103079	36	20103102	64	20308067	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
68	DÁn Ph¯ng M„o –∞ Tﬂ∂ng	10210016	1	5	7	20105008	56	20103080	40	20103102	68	20308068	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
69	Mµc Th¸y ThiÍn Qu·n –∞ Tﬂ∂ng	10210018	1	5	8	20105009	60	20103081	44	20103102	76	20308069	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
70	Huy´n Th™ Th·nh C‚n –∞ Tﬂ∂ng	10210020	1	5	9	20105010	64	20103082	48	20103102	80	20308070	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
71	ThÙ BØ H‡i –∞ Tﬂ∂ng	10211002	1	5	1	20105001	28	20103073	12	20103100	24	20308091	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
72	Thanh BØ H‡i –∞ Tﬂ∂ng	10211004	1	5	1	20105002	32	20103074	16	20103100	27	20308092	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
73	Gi·ng Ma H‡i –∞ Tﬂ∂ng	10211006	1	5	2	20105003	36	20103075	20	20103100	33	20308093	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
74	Nhuy≠n Ch‚u H‡i –∞ Tﬂ∂ng	10211008	1	5	3	20105004	40	20103076	24	20103101	36	20308094	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
75	Ng‚n C¶m H‡i –∞ Tﬂ∂ng	10211010	1	5	4	20105005	44	20103077	28	20103101	39	20308095	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
76	NguyÍn Linh H‡i –∞ Tﬂ∂ng	10211012	1	5	5	20105006	48	20103078	32	20103101	45	20308096	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
77	Th§t Tinh H‡i –∞ Tﬂ∂ng	10211014	1	5	6	20105007	52	20103079	36	20103102	64	20308097	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
78	DÁn Ph¯ng H‡i –∞ Tﬂ∂ng	10211016	1	5	7	20105008	56	20103080	40	20103102	68	20308098	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
79	Mµc Th¸y ThiÍn Ngoa –∞ Tﬂ∂ng	10211018	1	5	8	20105009	60	20103081	44	20103102	76	20308099	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
80	Huy´n Th™ Qu·i Ngoa –∞ Tﬂ∂ng	10211020	1	5	9	20105010	64	20103082	48	20103102	80	20308100	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
81	ThÙ BØ Hµ Th¸ –∞ Tﬂ∂ng	10212002	1	5	1	20105001	28	20103073	12	20103100	24	20308081	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
82	Thanh BØ Hµ Th¸ –∞ Tﬂ∂ng	10212004	1	5	1	20105002	32	20103074	16	20103100	27	20308082	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
83	Gi·ng Ma Hµ Th¸ –∞ Tﬂ∂ng	10212006	1	5	2	20105003	36	20103075	20	20103100	33	20308083	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
84	Nhuy≠n Ch‚u Hµ Th¸ –∞ Tﬂ∂ng	10212008	1	5	3	20105004	40	20103076	24	20103101	36	20308084	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
85	Ng‚n C¶m Hµ Th¸ –∞ Tﬂ∂ng	10212010	1	5	4	20105005	44	20103077	28	20103101	39	20308085	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
86	NguyÍn Linh Hµ Th¸ –∞ Tﬂ∂ng	10212012	1	5	5	20105006	48	20103078	32	20103101	45	20308086	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
87	Th§t Tinh Hµ Th¸ –∞ Tﬂ∂ng	10212014	1	5	6	20105007	52	20103079	36	20103102	64	20308087	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
88	DÁn Ph¯ng Hµ Th¸ –∞ Tﬂ∂ng	10212016	1	5	7	20105008	56	20103080	40	20103102	68	20308088	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
89	Mµc Th¸y Hµ Th¸ –∞ Tﬂ∂ng	10212018	1	5	8	20105009	60	20103081	44	20103102	76	20308089	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
90	Huy´n Th™ Hµ Th¸ –∞ Tﬂ∂ng	10212020	1	5	9	20105010	64	20103082	48	20103102	80	20308090	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
91	ThÙ BØ Y –∞ Tﬂ∂ng	10213002	1	5	1	20105001	28	20103073	12	20103100	24	20308071	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
92	Thanh BØ Y –∞ Tﬂ∂ng	10213004	1	5	1	20105002	32	20103074	16	20103100	27	20308072	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
93	Gi·ng Ma Y –∞ Tﬂ∂ng	10213006	1	5	2	20105003	36	20103075	20	20103100	33	20308073	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
94	Nhuy≠n Ch‚u Y –∞ Tﬂ∂ng	10213008	1	5	3	20105004	40	20103076	24	20103101	36	20308074	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
95	Ng‚n C¶m Y –∞ Tﬂ∂ng	10213010	1	5	4	20105005	44	20103077	28	20103101	39	20308075	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
96	NguyÍn Linh Y –∞ Tﬂ∂ng	10213012	1	5	5	20105006	48	20103078	32	20103101	45	20308076	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
97	Th§t Tinh C¶m Ph¯c –∞ Tﬂ∂ng	10213014	1	5	6	20105007	52	20103079	36	20103102	64	20308077	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
98	DÁn Ph¯ng C¶m Y –∞ Tﬂ∂ng	10213016	1	5	7	20105008	56	20103080	40	20103102	68	20308078	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
99	Mµc Th¸y ThiÍn Y –∞ Tﬂ∂ng	10213018	1	5	8	20105009	60	20103081	44	20103102	76	20308079	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
100	Huy´n Th™ Ma Y –∞ Tﬂ∂ng	10213020	1	5	9	20105010	64	20103082	48	20103102	80	20308080	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
101	ThÙ BØ Uy¨n –∞ Tﬂ∂ng	10214002	1	5	1	20105001	28	20103073	12	20103100	24	20308131	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
102	Thanh BØ Uy¨n –∞ Tﬂ∂ng	10214004	1	5	1	20105002	32	20103074	16	20103100	27	20308132	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
103	Gi·ng Ma Uy¨n –∞ Tﬂ∂ng	10214006	1	5	2	20105003	36	20103075	20	20103100	33	20308133	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
104	Nhuy≠n Tr◊u Uy¨n –∞ Tﬂ∂ng	10214008	1	5	3	20105004	40	20103076	24	20103101	36	20308134	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
105	Ng‚n C¶m Uy¨n –∞ Tﬂ∂ng	10214010	1	5	4	20105005	44	20103077	28	20103101	39	20308135	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
106	NguyÍn Linh Uy¨n –∞ Tﬂ∂ng	10214012	1	5	5	20105006	48	20103078	32	20103101	45	20308136	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ng„ –i´n Li≠u	7	-1
