INT	INT	STRING	STRING	STRING
17	18	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 18! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
18	19	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 19! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
19	20	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 20! Nhî có th¬ thay Tân trang b¸ Ðáo#GTÂy H°#Wnhìn xem, hi®n tÕi n½i ðó có ði«u, so sánh thích hþp Nhî! Nªu các hÕ v¸ cô nß½ng, hi®n tÕi có th¬ Träo Cá C¤p 35 ðã ngoài Ðích d­ nhìn d¡t tay giang h° Li­u, Khoái cùng h¡n ði tìm#RNguy®t Lão#WBa! H½n næa Nhî hi®n tÕi có th¬ H÷c T§p#Bhái thu¯c, gieo tr°ng, Thái Khoáng kÛ nång#WLi­u! M£t khác Ðáo#GLÕc Dß½ng#WtrÕm d¸ch Bàng Ðích#RÐi«n Kiêu Minh#W [135, 178]XØ có th¬ h÷c ðßþc KÜ Th×a#RLøc Hành Ðiêu#WÐích kÛ nång!		
20	21	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 21! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
21	22	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 22! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
22	23	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 23! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
23	24	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 24! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
24	25	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 25! Hi®n tÕi Nhî có th¬ ði#GNH¸ Häi#Wnhìn xem Li­u, n½i ðó có ði«u, so sánh thích hþp hi®n tÕi Ðích Nhî! Còn có, Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên! Nh¾ rõ KhÑ#GHuy«n Võ Ðäo#W, NHî ðã có th¬ Träo Tân#RTrân Thú#WLi­u!		
25	26	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 26! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
26	27	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 27! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
27	28	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 28! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
28	29	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 29! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
29	30	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 30! Có th¬ ði#GNHÕn Nam#Wnhìn xem Li­u! B±n C¤p có th¬ vi®c làm r¤t nhi«u, ð¥u tiên c¥n Hoán Tân trang b¸; M£t khác, có th¬ H÷c T§p#BChª Dßþc#WHoà#Bmôn phái cuµc s¯ng kÛ nång#WLi­u; Ð® tam, #GTô Châu#WÐích#RTi«n H°ng Vû#Wgi¯ng nhß TÕi tìm ngß½i; Còn có, Nång thuÖ v§n Li­u, Ng§n kiªm ti«n Ðích mau ði ði!		
30	31	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 31! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên! Giang h° hào ki®t t« tø, Hoa S½n lu§n kiªm là lúc, giang h° næ nhân lu§n võ lu§n kiªm, có th¬ nào thiªu Nhî? !		
31	32	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 32! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
32	33	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 33! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
33	34	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 34! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
34	35	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 35! Hi®n tÕi có th¬ ði#GLOng Tuy«n#Wtr· thành Li­u, m£t khác nói cho Nhî mµt cái Ti¬u bí quyªt, thông qua#Bhþp thành, ðßþc khäm#WÐÆng thao tác Hµi tång lên Nhî trang b¸ vû khí Ðích tính nång! M£t khác thay Tân trang b¸ Ba, nhß v§y cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên! Nga! Này c¤p b§c Ðích d­ nhìn ðã có th¬ Thú lão bà Li­u, mau mau Bão Cá C¤p 20 ðã ngoài Ðích muµi muµi ði tìm#RNguy®t Lão#WBa!		
35	36	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 36! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
36	37	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 37! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
37	38	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 38! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
38	39	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 39! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
39	40	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 40! B±n C¤p lÕi là công vi®c b« bµn, Nhî có th¬ ði#GTHß½ng S½n#Wtr· thành, có th¬ V§n Tiêu, Hoán Tân trang b¸, H÷c S½ C¤p#BKÜ Th×a kÛ nång#W, cÓ th¬ tiªn hành#RTrân Thú hþp thành, sinh sôi n¦y n·#W, có th¬ H÷c T§p#Bðúc kÛ nång#W, là t¯i tr÷ng yªu mµt chút Th¸: Nhî r¯t cøc có th¬ thành l§p chính mình Ðích bang phái Li­u! V« sau Nhî Tß¾ng có th¬ dçn d¡t chính mình Ðích Huynh Ð® S¤t Sá giang h°, khoái ý Ân Thù! HÕng uy phong!		
40	41	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 41! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
41	42	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 42! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
42	43	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 43! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
43	44	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 44! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
44	45	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 45! Thay Tân trang b¸, hi®n tÕi nên ði#GNHÕn B¡c#Wkiªm ån Li­u!		
45	46	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 46! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
46	47	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 47! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
47	48	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 48! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
48	49	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 49! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
49	50	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 50! Thay Tân trang b¸ KhÑ#GV Di#WBa! Nh¾ rõ H÷c T§p#Bmay#WHoà#Bcông ngh® kÛ nång#W! H÷c T§p#Bmay#Wcó th¬ ði Träo#RHoàng Lång Ba, Phù Mçn Chi#WHoà#BDß Hoá Long#W, H?c T§p#Bcông ngh®#Wcó th¬ ði Träo#RL² Minh Nguy®t, Long Tam Thi¬u#WHoà#RT¢ng Tam Tïnh#W.		
50	51	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 51! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
51	52	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 52! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
52	53	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 53! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
53	54	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 54! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
54	55	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 55! Thay Tân trang b¸ KhÑ#GTHÕch Lâm#WBa! N½i ðó có ði«u, so sánh thích hþp hi®n tÕi Ðích Nhî!		
55	56	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 56! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
56	57	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 57! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
57	58	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 58! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
58	59	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 59! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
59	60	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 60! M£c vào Tân trang b¸ KhÑ#GTHäo Nguyên#WBa! Còn mu¯n nói cho Nhî mµt cái tin tÑc t¯t: Nhî hi®n tÕi ðã có th¬ H÷c môn phái Ðích#Bcao c¤p KÜ Th×a#WLi­u! Có Tân#Rt÷a kÜ#WCanh phong cách!		
60	61	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 61! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
61	62	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 62! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
62	63	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 63! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
63	64	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 64! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
64	65	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 65! Thay Tân trang b¸ KhÑ#GMAi Lînh#WBa! N½i ðó Canh thích hþp Nhî!		
65	66	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 66! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
66	67	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 67! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
67	68	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 68! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
68	69	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 69! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
69	70	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 70! Thay Tân trang b¸ KhÑ#GNG÷c Khê#WBa! N½i ðó Canh thích hþp Nhî!		
70	71	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 71! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
71	72	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 72! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
72	73	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 73! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
73	74	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 74! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
74	75	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 75! Thay Tân trang b¸ KhÑ#GLIêu Tây#WBa! N½i ðó Canh thích hþp hi®n tÕi Ðích Nhî!		
75	76	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 76! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
76	77	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 77! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
77	78	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 78! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
78	79	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 79! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
79	80	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 80! Thay Tân trang b¸ KhÑ#GNAm Häi#WBa! N½i ðó Canh thích hþp Nhî!		
