INT	INT	STRING	STRING	STRING	INT	STRING	INT	INT	INT	INT	INT
39920021	3	Gem3_2_2	H°ng Bäo ThÕch(C¤p 5)	Màu ğö Ğích bäo thÕch, có th¬ ğßşc khäm TÕi phòng ngñ Tính trang b¸(Y Phøc, cái bao tay, mû, Hµ Kiên, Hài, ğai lßng, vòng c±, ám khí, Võ H°n)Thßşng, sØ døng H§u không th¬ Tái ğßşc khäm ğ°ng loÕi bäo thÕch. #r#GM?nh V§n bäo thÕch	1	Bäo thÕch	1	1	0	0	0
39920022	3	Charm5_8	Kim Cß½ng Töa	Ğá vô cùng cÑng, dùng ğ¬ mài lÕi tß ch¤t trang b¸. #rCó th¬ t¾i #GL?c Dß½ng (307,294) #RVß½ng ĞÑc Quı, #GLÕc Dß½ng (306,288) #RPhong H° TØ #Who£c#G Tô Châu (355,234) #RÂu Dã TØ#W ch÷n chÑc nång giám ğ¸nh lÕi tß ch¤t trang b¸ ğ¬ sØ døng. #r#b#PTrang b¸ cß¶ng hóa càng cao, tß ch¤t trang b¸ cµng thêm càng nhi«u. #r#c00FF00(T¯i ğa sØ døng 11 l¥n)	10	Ğ£c bi®t	10	1	0	0	0
39920023	3	Tattoo_1	Kim Tàm Ti	Hi hæu Ğích sşi t½, TÕi#GL?c Dß½ng(220, 170)#RTrß½ng Giáng Long#WXØ sØ døng có th¬ cß¶ng hóa Ğiêu Vån, tång lên Ki cß¶ng ğµ.	1	Ng.Li®u ğ£c thù	1	1	0	0	0
39920024	3	CircularTaskTool7_14	S½ C¤p Bäo ThÕch Dung Luy®n Phù	Có th¬ Tß¾ng#Y3Khoä#GtÕo hình#WĞích#Gtrí tu® LoÕi bäo thÕch#Wluy®n Thành#Y1Khoä#Gth¡ng lşi bäo thÕch#W. #rcó th¬ luy®n#G4C¤p(chính là C¤p 4) dß¾i#WĞích bäo thÕch. #rTÕi#GLÕc Dß½ng(179, 182)#RBành Hoài Ng÷c#W, #GLâu Lan(279, 198)#RKh¡c Lı Mµc#W, #GThúc Hà C± Tr¤n(134, 84)#RKinh Khäm Thñc#WXØ sØ døng. #rTÕi#Gbang hµi thành th¸#WT¯#Gphát tri¬n nhi®m vø#W, #GTh¸ T§p nhi®m vø#W, #Gcông trình nhi®m vø#WTh¶i, s¨ có nh¤t ğ¸nh tÖ l® nh§n ğßşc. #r#Gnguyên bäo giao d¸ch LoÕi ğÕo cø chï có th¬ TÕi LÕc Dß½ng(205, 172) Ti«n Trang Nµi Bài Than bán ra.	1	Ng.Li®u ğ£c thù	1	1	0	0	0
39920025	3	CircularTaskTool7_15	Cao C¤p Bäo ThÕch Dung Luy®n Phù	Có th¬ Tß¾ng#Y3Khoä#GtÕo hình#WĞích#Gtrí tu® LoÕi bäo thÕch#Wluy®n Thành#Y1Khoä#Gth¡ng lşi bäo thÕch#W. #rcó th¬ luy®n#Gt¤t cä c¤p b§c#WĞích bäo thÕch. #rTÕi#GLÕc Dß½ng(179, 182)#RBành Hoài Ng÷c#W, #GLâu Lan(279, 198)#RKh¡c Lı Mµc#W, #GThúc Hà C± Tr¤n(134, 84)#RKinh Khäm Thñc#WXØ sØ døng. #rTÕi#Gbang hµi thành th¸#WT¯#Gphát tri¬n nhi®m vø#W, #GTh¸ T§p nhi®m vø#W, #Gcông trình nhi®m vø#WTh¶i, s¨ có nh¤t ğ¸nh tÖ l® nh§n ğßşc. #r#Gnguyên bäo giao d¸ch LoÕi ğÕo cø chï có th¬ TÕi LÕc Dß½ng(205, 172) Ti«n Trang Nµi Bài Than bán ra.	1	Ng.Li®u ğ£c thù	2	1	0	0	0
39920026	3	Ore_14	Miên B¯ c¤p 4	Mµt loÕi ğ£c thù Ğích may tài li®u, tinh chª Phòng Cø Th¶i c¥n Døng Ğáo. #rTräo Tô Châu Ğích chª tÕo tông sß#RCHu Phong(270, 153)#Wcó th¬ h÷c ğßşc tinh chª kÛ nång.	4	Ng.Li®u ğ£c thù	5	1	0	0	0
39920027	3	Ore_13	Bí Ngân c¤p 4	Mµt loÕi ğ£c thù Ğích công ngh® tài li®u, Tinh Công v§t ph¦m trang sÑc Th¶i c¥n Døng Ğáo. #rTräo Tô Châu Ğích chª tÕo tông sß#RCHu Phong(270, 153)#Wcó th¬ h÷c ğßşc Tinh Công kÛ nång.	4	Ng.Li®u ğ£c thù	5	1	0	0	0
39920028	3	CircularTaskTool70_8	Tuyªt Vû Sß½ng Y L­ Bao	Vi Cäm TÕ tham gia#GTÂn Thiên Long Bát Bµ Mãn Nguy®t cäm ½n H°i Quy#WhoÕt ğµng Ğích giang h° hi®p sî, ğ£c bi®t chu¦n b¸ Ğích mµt ph¥n ğÕi l­. #rsØ døng H§u Khä lña ch÷n thÑ nh¤t Tính lînh: #G1#WKi®n#YTuyªt Vû Sß½ng Y(xanh biªc phong cách, 15Thiên, nh£t Bäng Ğ¸nh)#W, #G1#WKi®n#YTuyªt Vû Sß½ng Y(ĞÕm TØ Phong Cách, 15Thiên, nh£t Bäng Ğ¸nh)#W, #G1#WKi®n#YTuyªt Vû Sß½ng Y(nâu ğö phong cách, 15Thiên, nh£t Bäng Ğ¸nh)#W. #r#c00FF00(Hæu Ki®n Ği¬m Kích sØ døng)	15	ĞÕo cø hoÕt ğµng	1	1	0	0	0
39920029	3	CircularTaskTool70_9	Cäm ½n H°i Quy t÷a kÜ L­ Bao	Vi Cäm TÕ tham gia#GTÂn Thiên Long Bát Bµ Mãn Nguy®t cäm ½n H°i Quy#WhoÕt ğµng Ğích giang h° hi®p sî, ğ£c bi®t chu¦n b¸ Ğích mµt ph¥n ğÕi l­. #rsØ døng H§u Khä lña ch÷n thÑ nh¤t Tính lînh: #G1#WCá#YToÕ KÜ: Ba Thiên H±(15Thiên, nh£t Bäng Ğ¸nh)#W, #G1#WCá#YToÕ KÜ: BÕch Vân(15Thiên, nh£t Bäng Ğ¸nh)#W, #G1#WCá#YToÕ KÜ: H¡c Th±(15Thiên, nh£t Bäng Ğ¸nh)#W, #G1#WCá#YToÕ KÜ: Hoàn Chuy¬n Mµc Mã(15Thiên, nh£t Bäng Ğ¸nh)#W. #r#c00FF00(Hæu Ki®n Ği¬m Kích sØ døng)	15	ĞÕo cø hoÕt ğµng	1	1	0	0	0
39920030	3	MakeMaterial15_15	H°ng Di®u ThÕch	KÏ lÕ Ğích thiên nhiên Khoáng ThÕch, Thân Hæu tiên di­m Ğích s¡c thái. S¡c Ch¤t cñc cao, có th¬ dùng cho chª tác kÏ lÕ Ğích trang phøc m¯t Nhi­m Li®u. SØ døng H§u c¯ ı không ng¶ Ğích hi®u quä. #r#GL?c Dß½ng(246, 129)#Wm¾i ğÕi sß#RY Thiên Thái#Wcó th¬ giúp ngß½i Ğích trang phøc m¯t nhuµm màu.	1	Ğ£c bi®t	1	1	0	0	0
39920031	3	FabaoDaoju_4	Thiên Tôi Th¥n Ng÷c	Có th¬ ğªn #GL?c Dß½ng (208,343) #RYªn Thanh #W t¦y lÕi c¤p b§c cüa ám khí, có tï l® t¦y ra ph¦m b§c ám khí cao c¤p khá l¾n.	1	Ğ£c bi®t	1	1	0	0	0
39920032	3	NewCloth4_10	Tuyªt Vû Sß½ng Y	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#WPHi Tuyªt Nhß Yên LÕc Sß½ng Y, #rgió tây Phü Vû Ngñ Phong Quy. #r#Gxanh biªc phong cách	1	Th¶i Trang	1	1	0	0	0
39920033	3	NewCloth4_10	Tuyªt Vû Sß½ng Y	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#WPHi Tuyªt Nhß Yên LÕc Sß½ng Y, #rgió tây Phü Vû Ngñ Phong Quy. #r#GĞÕm TØ Phong Cách	1	Th¶i Trang	1	1	0	0	0
39920034	3	NewCloth4_10	Tuyªt Vû Sß½ng Y	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#WPHi Tuyªt Nhß Yên LÕc Sß½ng Y, #rgió tây Phü Vû Ngñ Phong Quy. #r#Gnâu ğö phong cách	1	Th¶i Trang	1	1	0	0	0
39920035	3	RideHeader3_16	ToÕ KÜ: Ba Thiên H±	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#Wg?i v« Ba Thiên H± KÜ Th×a. #r#cFFCC00KÜ Th×a lui v« phía sau Ğµng t¯c ğµ +80%#W#r#G(Hæu Ki®n Ği¬m Kích trang b¸ H§u có th¬ KÜ Th×a)	10	CßŞi	1	1	0	0	0
39920036	3	RideHeader3_1	ToÕ KÜ: BÕch Vân	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#Wg?i v« mây tr¡ng KÜ Th×a. #r#cFFCC00KÜ Th×a lui v« phía sau Ğµng t¯c ğµ +80%#W#r#G(Hæu Ki®n Ği¬m Kích trang b¸ H§u có th¬ KÜ Th×a)	10	CßŞi	1	1	0	0	0
39920037	3	RideHeader3_2	ToÕ KÜ: H¡c Th±	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#Wg?i v« ğ¤t ğen KÜ Th×a. #r#cFFCC00KÜ Th×a lui v« phía sau Ğµng t¯c ğµ +80%#W#r#G(Hæu Ki®n Ği¬m Kích trang b¸ H§u có th¬ KÜ Th×a)	10	CßŞi	1	1	0	0	0
39920038	3	Ride2_8	ToÕ KÜ: Hoàn Chuy¬n Mµc Mã	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#Wg?i v« xoay tròn ngña g² KÜ Th×a, Khä m¶i ğ°ng các\u0020hÕ ğang KÜ Th×a. #r#cFFCC00KÜ Th×a lui v« phía sau Ğµng t¯c ğµ +70%#W#r#G(Hæu Ki®n Ği¬m Kích trang b¸ H§u có th¬ KÜ Th×a)	10	CßŞi	1	1	0	0	0
39920039	3	NewCloth4_10	Tuyªt Vû Sß½ng Y	#c33ff99(th¶i hÕn có hi®u lñc 7Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#WPHi Tuyªt Nhß Yên LÕc Sß½ng Y, #rgió tây Phü Vû Ngñ Phong Quy.	1	Th¶i Trang	1	1	0	0	0
39920040	3	Ride2_16	Sí Bàng: Minh Vû	#c33ff99(th¶i hÕn có hi®u lñc 7Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#Wg?i v« Minh lông cánh Bàng. #r#cFFCC00phi hành Trung di ğµng t¯c ğµ +80%#W#r#G(Hæu Ki®n Ği¬m Kích trang b¸ H§u có th¬ KÜ Th×a)	10	CßŞi	1	1	0	0	0
39920041	3	Cloth3_1	Thiên Linh Ğan	Sau khi sØ døng kinh nghi®m tång 2.0 l¥n #GtRong 1 tiªng#W, mU¯n tÕm d×ng kinh nghi®m g¤p ğôi thì có th¬ ğªn tìm lînh song quan viên Ğªn #GLÕc Dß½ng#W, #GTô Châu#W, #GĞÕi Lı#W, #GLâu Lan #Wvà #GThúc Hà C± Tr¤n #W. #r#c00FF00 (Nh¤n chuµt phäi sØ døng)	1	Thu¯c ğ£c bi®t	1	1	0	0	0
39920042	3	CircularTaskTool8_6	Công Lñc Ğan	Trong truy«n thuyªt Ğ¯i tu luy®n trş giúp th§t l¾n Ğích tiên ğan. SØ døng H§u Hµi SÑ công lñc Tr¸ tr¸ li®u Ğáo 100/100. #r#GcHú ı: Công Lñc Ğan m²i ngày nhi«u nh¤t chï có th¬ sØ døng 3Khoä. #r#c00FF00(Hæu Ki®n Ği¬m Kích có th¬ sØ døng)	70	Ğ£c bi®t	1	1	0	0	0
39920043	3	PetMedicine_14	Linh Thú Tinh Phách	Tinh h°n linh thú thßşng c±. TÕi #GLÂu Lan (109,121) #RVân H« H« #Who£c #GTô Châu (174,240) #RVân Tß Nhi #WsØ døng, tång c¤p linh tính Trân Thú.	1	Ng.Li®u ğ£c thù	1	1	0	0	0
39920044	3	Cloth4_8	Cao C¤p Cån C¯t Ğan	Khi Ngµ tính cüa Trân Thú là #G6, 7, 8#W, cÓ th¬ sØ døng#R Cao C¤p Cån C¯t Ğan#W ğ¬ gia tång Ngµ tính.	10	TÕp V§t	1	1	0	0	0
39920045	3	Cloth16_7	Vân Noãn Phß½ng Hoa	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#WNHung Vân Thiêm Lai giai nhân Noãn, #rC¦m Sa Tú Ğ¡c bách hoa Xuân. #r#cbe38ffTiên Phong phong cách	1	Th¶i Trang	1	1	0	0	0
39920046	3	Cloth16_7	Vân Noãn Phß½ng Hoa	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#WNHung Vân Thiêm Lai giai nhân Noãn, #rC¦m Sa Tú Ğ¡c bách hoa Xuân. #r#cbe38ffTh¥n Døc phong cách	1	Th¶i Trang	1	1	0	0	0
39920047	3	Cloth16_7	Vân Noãn Phß½ng Hoa	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#WNHung Vân Thiêm Lai giai nhân Noãn, #rC¦m Sa Tú Ğ¡c bách hoa Xuân. #r#cbe38ffĞª Tôn phong cách	1	Th¶i Trang	1	1	0	0	0
39920048	3	RideHeader5_13	ToÕ KÜ: Thanh Lân BÕch TrÕch	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#Wg?i v« Thanh Lân BÕch TrÕch KÜ Th×a. #r#cFFCC00KÜ Th×a lui v« phía sau Ğµng t¯c ğµ +80%#r#G(Hæu Ki®n Ği¬m Kích trang b¸ H§u có th¬ KÜ Th×a)	10	CßŞi	1	1	0	0	0
39920049	3	RideHeader5_12	ToÕ KÜ: Xích Lân BÕch TrÕch	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#Wg?i v« Xích Lân BÕch TrÕch KÜ Th×a. #r#cFFCC00KÜ Th×a lui v« phía sau Ğµng t¯c ğµ +80%#r#G(Hæu Ki®n Ği¬m Kích trang b¸ H§u có th¬ KÜ Th×a)	10	CßŞi	1	1	0	0	0
39920050	3	CircularTaskTool44_7	ĞÕi lßşng kinh nghi®m	ĞÕi lßşng kinh nghi®m	1	Ğ£c bi®t	1	1	0	0	0
39920051	3	CircularTaskTool64_16	70Bäng Ğ¸nh nguyên bäo	SØ døng H§u Khä nh§n ğßşc#G70Bäng Ğ¸nh nguyên bäo#W. #r#c00FF00(Hæu Ki®n Ği¬m Kích sØ døng)	15	Bäng Ğ¸nh Nguyên Bäo Phiªu	1	1	0	0	0
39920052	3	CircularTaskTool64_16	75Bäng Ğ¸nh nguyên bäo	SØ døng H§u Khä nh§n ğßşc#G75Bäng Ğ¸nh nguyên bäo#W. #r#c00FF01(Hæu Ki®n Ği¬m Kích sØ døng)	15	Bäng Ğ¸nh Nguyên Bäo Phiªu	1	1	0	0	0
39920053	3	CircularTaskTool64_16	80Bäng Ğ¸nh nguyên bäo	SØ døng H§u Khä nh§n ğßşc#G80Bäng Ğ¸nh nguyên bäo#W. #r#c00FF02(Hæu Ki®n Ği¬m Kích sØ døng)	15	Bäng Ğ¸nh Nguyên Bäo Phiªu	1	1	0	0	0
39920054	3	CircularTaskTool64_16	85Bäng Ğ¸nh nguyên bäo	SØ døng H§u Khä nh§n ğßşc#G85Bäng Ğ¸nh nguyên bäo#W. #r#c00FF03(Hæu Ki®n Ği¬m Kích sØ døng)	15	Bäng Ğ¸nh Nguyên Bäo Phiªu	1	1	0	0	0
39920055	3	CircularTaskTool64_16	90Bäng Ğ¸nh nguyên bäo	SØ døng H§u Khä nh§n ğßşc#G90Bäng Ğ¸nh nguyên bäo#W. #r#c00FF04(Hæu Ki®n Ği¬m Kích sØ døng)	15	Bäng Ğ¸nh Nguyên Bäo Phiªu	1	1	0	0	0
39920056	3	CircularTaskTool64_16	95Bäng Ğ¸nh nguyên bäo	SØ døng H§u Khä nh§n ğßşc#G95Bäng Ğ¸nh nguyên bäo#W. #r#c00FF05(Hæu Ki®n Ği¬m Kích sØ døng)	15	Bäng Ğ¸nh Nguyên Bäo Phiªu	1	1	0	0	0
39920057	3	Cloth15_15	Lí Hô Lan Phß½ng	#H(Khä vînh cØu sØ døng)#r#Wc¦m y Vån Ğ¡c trong sông Lí, #rHô Du Khinh Lan Ğãng Tiên Y. #r#GKhä TÕi LÕc Dß½ng(246, 129) Y Thiên Thái XØ sØ døng trang phøc m¯t nhuµm màu công nång.	1	Th¶i Trang	1	1	0	0	0
39920058	3	Cloth15_15	Lí Hô Lan Phß½ng	#c33ff99(th¶i hÕn có hi®u lñc 90Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#Wc†m y Vån Ğ¡c trong sông Lí, #rHô Du Khinh Lan Ğãng Tiên Y. #r#cbe38ffU H°ng phong cách	1	Th¶i Trang	1	1	0	0	0
39920059	3	Cloth15_15	Lí Hô Lan Phß½ng	#c33ff99(th¶i hÕn có hi®u lñc 180Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#Wc†m y Vån Ğ¡c trong sông Lí, #rHô Du Khinh Lan Ğãng Tiên Y. #r#cbe38ffU H°ng phong cách	1	Th¶i Trang	1	1	0	0	0
39920060	3	RideHeader9_5	ToÕ KÜ: Mµng Linh Tiên Câu	#c33ff99(Khä vînh cØu sØ døng)#r#cffff00? xa xï Ph¦m?#r#Wg?i v« Mµng Linh Tiên Câu KÜ Th×a. #r#cFFCC00KÜ Th×a lui v« phía sau Ğµng t¯c ğµ +85%#r#G(Hæu Ki®n Ği¬m Kích trang b¸ H§u có th¬ KÜ Th×a)	10	CßŞi	1	1	0	0	0
