INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
57	1	80	4	1	124	4	Lßu Li Phøng	RideHeader3_5	#r#GC†n Nga Mi môn phái Khä g÷i v«.	54	75	0	0	0	43157	43254	43351	-1	43448	43545	43642	43739	47702	-1	-1
58	1	80	4	1	128	2	Ngân Nguy®t Lang	RideHeader3_8	#r#GC†n Cái Bang môn phái Khä g÷i v«.	57	75	0	0	0	43158	43255	43352	-1	43449	43546	43643	43740	47758	-1	-1
59	1	80	4	1	132	1	Li®t Di®m Sß	RideHeader3_12	#r#GC†n Minh Giáo môn phái Khä g÷i v«.	61	75	0	0	0	43159	43256	43353	-1	43450	43547	43644	43741	47695	-1	-1
60	1	80	4	1	136	0	Nhß İ H±	RideHeader3_7	#r#GC†n Thiªu Lâm môn phái Khä g÷i v«.	56	75	0	0	0	43160	43257	43354	-1	43451	43548	43645	43742	47726	-1	-1
61	1	80	4	1	140	6	Long Huyªt Mã	RideHeader3_10	#r#GC†n Thiên Long Môn Phái Khä g÷i v«.	59	75	0	0	0	43161	43258	43355	-1	43452	43549	43646	43743	47704	-1	-1
62	1	80	4	1	144	7	Vø Änh Ğiêu	RideHeader3_4	#r#GC†n Thiên S½n môn phái Khä g÷i v«.	53	75	0	0	0	43162	43259	43356	-1	43453	43550	43647	43744	47743	-1	-1
63	1	80	4	1	148	3	ThuÜ Liên HÕc	RideHeader3_6	#r#GC†n Võ Ğang môn phái Khä g÷i v«.	55	75	0	0	0	43163	43260	43357	-1	43454	43551	43648	43745	47728	-1	-1
64	1	80	4	1	152	8	Th¤t Thái Lµc	RideHeader3_9	#r#GC†n Tiêu Dao Môn Phái Khä g÷i v«.	58	75	0	0	0	43164	43261	43358	-1	43455	43552	43649	43746	47718	-1	-1
65	1	80	4	1	156	5	Thanh Mao Ngßu	RideHeader3_11	#r#GC†n Tinh Tú Môn Phái Khä g÷i v«.	60	75	0	0	0	43165	43262	43359	-1	43456	43553	43650	43747	47723	-1	-1
66	1	1	4	1	161	-1	Hoan Vû	RideHeader3_13	#G	62	80	0	0	0	43166	43263	43360	-1	43457	43554	43651	43748	47764	-1	-1
67	1	10	4	1	166	-1	Thi¬m Ği®n Ğiêu	RideHeader3_14	#G	63	80	0	0	0	43167	43264	43361	-1	43458	43555	43652	43749	47729	-1	-1
68	1	10	4	1	170	-1	Ği®p Vû	RideHeader3_15	#G	64	80	0	0	0	43168	43265	43362	-1	43459	43556	43653	43750	47663	-1	-1
69	1	10	4	0	175	-1	Løc Ngô(Ğài Loan)	RideHeader2_10	#G	26	80	0	0	0	43169	43266	43363	-1	43460	43557	43654	43751	47708	-1	-1
70	1	10	4	1	185	-1	Ba Thiên H±	RideHeader3_16	#G	65	80	0	0	0	43170	43267	43364	-1	43461	43558	43655	43752	47642	-1	-1
71	2	10	4	1	189	-1	R°ng bay 	RideHeader4_4	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	69	80	1	0	0	43171	43268	43365	-1	43462	43559	43656	43753	47667	-1	-1
72	1	40	4	0	191	10	Dß½ng Dß½ng	RideHeader4_1	#G	66	40	0	0	0	43172	43269	43366	-1	43463	43560	43657	43754	47700	-1	-1
73	1	60	4	0	192	10	Tuyªt Dß½ng Dß½ng	RideHeader4_2	#G	67	70	0	0	0	43173	43270	43367	-1	43464	43561	43658	43755	47751	-1	-1
74	1	80	4	0	193	10	U Quang Dß½ng	RideHeader4_3	#G	68	75	0	0	0	43174	43271	43368	-1	43465	43562	43659	43756	47759	-1	-1
75	1	1	4	1	199	-1	Ng÷n lØa Ğiêu	RideHeader4_5	#G	70	80	0	0	0	43175	43272	43369	-1	43466	43563	43660	43757	47685	-1	-1
76	1	10	4	1	200	-1	G¤u mèo	RideHeader4_6	#G	71	80	0	0	0	43176	43273	43370	-1	43467	43564	43661	43758	47748	-1	-1
77	1	10	4	1	203	-1	Lôi Nh§n Thú	RideHeader4_7	#G	72	80	0	0	0	43177	43274	43371	-1	43468	43565	43662	43759	47694	-1	-1
78	1	10	4	1	206	-1	Xích M¸ ¿ng	RideHeader4_8	#G	73	70	0	0	0	43178	43275	43372	-1	43469	43566	43663	43760	47656	-1	-1
79	1	10	4	1	210	-1	Ám M¸ ¿ng	RideHeader4_9	#G	74	70	0	0	0	43179	43276	43373	-1	43470	43567	43664	43761	47641	-1	-1
80	1	10	4	1	214	-1	TØ M¸ ¿ng	RideHeader4_10	#G	75	70	0	0	0	43180	43277	43374	-1	43471	43568	43665	43762	47763	-1	-1
81	1	10	4	1	215	-1	Giang Nam Toä Giáp Mã	RideHeader5_1	#G	82	80	0	0	0	43181	43278	43375	-1	43472	43569	43666	43763	47687	-1	-1
82	1	10	4	1	216	-1	ĞÕi mÕc lßŞi mác Mã	RideHeader5_2	#G	83	80	0	0	0	43182	43279	43376	-1	43473	43570	43667	43764	47660	-1	-1
83	1	10	4	1	217	-1	Xích Lân BÕch TrÕch	RideHeader5_12	#G	77	80	0	0	0	43183	43280	43377	-1	43474	43571	43668	43765	47655	-1	-1
84	1	10	4	1	218	-1	Thanh Lân BÕch TrÕch	RideHeader5_13	#G	76	80	0	0	0	43184	43281	43378	-1	43475	43572	43669	43766	47722	-1	-1
85	1	10	4	1	219	-1	Thiên Hà Linh Thß¾c	RideHeader6_14	#G	172	80	0	0	0	43185	43282	43379	-1	43476	43573	43670	43767	47736	-1	-1
86	1	10	4	1	220	-1	Ğêm Mã	RideHeader6_16	#G	79	85	1	0	1	43186	43283	43380	-1	43477	43574	43671	43768	47677	-1	-1
87	1	10	4	1	221	-1	T§n tr¶i cánh chim	RideHeader8_8	#G	80	85	1	0	0	43187	43284	43381	-1	43478	43575	43672	43769	47761	-1	-1
88	1	10	4	1	222	-1	Mµng Linh Tiên Câu	RideHeader9_5	#G	81	85	1	0	1	43188	43285	43382	-1	43479	43576	43673	43770	47713	-1	-1
89	1	10	4	1	223	-1	Tuy®t ğ¸a	RideHeader4_11	#G	84	80	0	0	0	43189	43286	43383	-1	43480	43577	43674	43771	47691	-1	-1
90	1	10	4	1	224	-1	Ham Bäo Hùng	RideHeader9_11	#G	78	80	0	0	0	43190	43287	43384	-1	43481	43578	43675	43772	47674	-1	-1
91	1	10	4	1	225	-1	Nhiªp Cänh	RideHeader4_12	#G	85	80	1	0	0	43191	43288	43385	-1	43482	43579	43676	43773	47716	-1	-1
92	1	10	4	1	226	-1	Nhiªp Cänh·Ği¬n Tàng	RideHeader4_12	#r#GT?i cüa ta t÷a kÜ m£t biên Hæu Ki®n Ği¬m Kích có th¬ nguyên dÕng l¤y ra.	85	80	1	10141945	1	43192	43289	43386	-1	43483	43580	43677	43774	47717	-1	-1
93	1	10	4	1	227	-1	Løc hşp Dß	RideHeader4_13	#G	86	80	0	0	0	43193	43290	43387	-1	43484	43581	43678	43775	47703	-1	-1
94	2	10	4	1	228	-1	Ğµ Tình	RideHeader4_14	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	87	80	1	0	1	43194	43291	43388	-1	43485	43582	43679	43776	47664	-1	-1
95	1	10	4	0	229	-1	Lång Tiêu	RideHeader5_13	#G	89	80	0	0	0	43195	43292	43389	-1	43486	43583	43680	43777	47698	-1	-1
96	1	10	4	1	230	-1	ThuÏ Vân Dñc	CircularTaskTool90_3	#G	91	80	0	0	0	43196	43293	43390	-1	43487	43584	43681	43778	47659	-1	-1
97	1	10	4	1	231	-1	H°ng Hùng Vß½ng	RideHeader4_15	#G	88	80	0	0	1	43197	43294	43391	-1	43488	43585	43682	43779	47680	-1	-1
98	1	10	4	1	232	-1	Ngày sinh Kh±ng TØ Thu¥n Lµc	CircularTaskTool90_13	#G	92	80	0	0	0	43780	43781	43782	-1	43783	43784	43785	43786	47731	-1	-1
99	1	10	4	1	233	-1	Môn khách Dao	RideHeader4_16	#G	93	80	0	0	0	43813	43814	43815	-1	43816	43817	43818	43819	47725	-1	-1
100	1	10	4	1	234	-1	Phßşng hoàng ToÕ	RideHeader10_1	#G	94	85	1	0	1	43886	43887	43888	-1	43889	43890	43891	43892	47669	-1	-1
101	1	10	4	1	235	-1	Linh Nguy®t 	RideHeader10_2	#G	95	80	0	0	0	44185	44186	44187	-1	44188	44189	44190	44191	47699	-1	-1
102	1	10	4	1	236	-1	NhÕn Môn tao nhã	RideHeader10_3	#G	96	80	0	0	0	44582	44583	44584	-1	44585	44586	44587	44588	47754	-1	-1
103	2	10	4	1	237	-1	Ngân hà Phù Lß½ng	RideHeader10_5	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	97	80	1	0	1	44609	44610	44611	-1	44612	44613	44614	44615	47757	-1	-1
104	1	40	4	1	11	10	Linh C¯c	RideHeader10_6	#r#GC†n MÕn Ğà S½n Trang Khä g÷i v«.	99	40	0	0	0	44739	44740	44741	-1	44742	44743	44744	44745	47697	-1	-1
105	1	60	4	1	23	10	Hàm Nguy®t C¯c	RideHeader10_8	#r#GC†n MÕn Ğà S½n Trang Khä g÷i v«.	100	70	0	0	0	44747	44748	44749	-1	44750	44751	44752	44753	47744	-1	-1
106	1	80	4	1	157	10	V¤n Tình C¯c	RideHeader10_7	#r#GC†n MÕn Ğà S½n Trang Khä g÷i v«.	101	75	0	0	0	44758	44759	44760	-1	44761	44762	44763	44764	47741	-1	-1
107	2	10	4	1	238	-1	c mßşn h°n	RideHeader10_9	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	102	70	0	0	0	45188	45189	45190	-1	45191	45192	45193	45194	47686	-1	-1
108	1	10	4	1	239	-1	Côn Luân Vßşn Tuyªt	RideHeader10_10	#G	103	80	0	0	1	45211	45212	45213	-1	45214	45215	45216	45217	47693	-1	-1
109	1	10	4	1	240	-1	Li®t Di®m Truy Phong	RideHeader10_11	#G	104	80	0	0	0	45234	45235	45236	-1	45237	45238	45239	45240	47696	-1	-1
110	2	10	4	1	241	-1	Bá Thª Vû Long	RideHeader6_6	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	109	85	1	0	1	45285	45286	45287	-1	45288	45289	45290	45291	47643	-1	-1
111	2	10	4	1	242	-1	Thanh Dñc Chiªn Long	RideHeader6_7	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	107	85	1	0	1	45308	45309	45310	-1	45311	45312	45313	45314	47724	-1	-1
112	2	10	4	1	243	-1	Tuy®t Vân Di®m Long	RideHeader6_8	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	105	85	1	0	1	45331	45332	45333	-1	45334	45335	45336	45337	47692	-1	-1
113	1	10	4	1	244	-1	Thánh DÕ hành hß½ng xe hoa	RideHeader10_12	#G	111	80	0	0	0	45355	45356	45357	-1	45358	45359	45360	45361	47730	-1	-1
114	1	10	4	1	245	-1	Ti¬u H± Ngao Ô	RideHeader10_13	#G	112	85	1	0	0	45440	45441	45442	-1	45443	45444	45445	45446	47746	-1	-1
115	1	10	4	1	246	-1	Th§p Quang Luyªn Vû	RideHeader10_15	#G	114	85	1	0	1	45476	45477	45478	-1	45479	45480	45481	45482	47733	-1	-1
116	1	10	4	1	247	-1	Gió l¯c ngàn d£m	RideHeader10_14	#G	115	85	1	0	1	45501	45502	45503	-1	45504	45505	45506	45507	47671	-1	-1
117	1	10	4	1	248	-1	Ng÷c Ği®p Th×a Tiêu	RideHeader10_16	#G	116	80	0	0	0	45582	45583	45584	-1	45585	45586	45587	45588	47760	-1	-1
118	1	10	4	1	249	-1	Dß½ng Ğà	RideHeader7_2	#G	173	80	0	0	0	5731	5732	5733	-1	5734	5735	5736	5737	47755	-1	-1
119	1	10	4	1	250	-1	Phßşng Tê Vân Ğài	RideHeader7_7	#G	118	80	0	0	0	45830	45831	45832	-1	45833	45834	45835	45836	47670	-1	-1
120	1	10	4	1	251	-1	Lßu Sß½ng Linh Câu	RideHeader7_6	#G	117	80	0	0	0	45853	45854	45855	-1	45856	45857	45858	45859	47701	-1	-1
121	1	10	4	1	252	-1	Thäi Phßşng Trình Tß¶ng	RideHeader7_8	#G	119	85	1	0	1	46332	46333	46334	-1	46335	46336	46337	46338	47654	-1	-1
122	1	10	4	1	253	-1	Phi Hoàng Dçn Mµng	RideHeader7_9	#G	120	85	1	0	1	46355	46356	46357	-1	46358	46359	46360	46361	47665	-1	-1
123	1	10	4	1	254	-1	Xích Änh	RideHeader11_2	#G	121	80	0	0	0	46384	46385	46386	-1	46387	46388	46389	46390	47658	-1	-1
124	1	10	4	1	255	-1	Kh·i Mµng Ği®p	RideHeader11_1	#G	122	80	0	0	0	46409	46410	46411	-1	46412	46413	46414	46415	47719	-1	-1
125	1	10	4	1	256	-1	Xích Th¯	RideHeader11_3	#G	123	80	0	0	1	47329	47330	47331	-1	47332	47333	47334	47335	47657	-1	-1
126	2	10	4	1	257	-1	U DÕ	RideHeader7_10	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	124	80	0	0	0	46439	46440	46441	-1	46442	46443	46444	46445	47765	-1	-1
127	1	10	4	1	258	-1	Phong Sß½ng Tiên Khách	RideHeader11_4	#G	125	80	0	0	0	46463	46464	46465	-1	46466	46467	46468	46469	47668	-1	-1
128	1	10	4	1	259	-1	DÕ Hà Xích Vû	RideHeader7_11	#G	126	85	1	0	1	46488	46489	46490	-1	46491	46492	46493	46494	47756	-1	-1
129	1	10	4	1	260	-1	Ánh rÕng ğông HuÏnh Dñc	RideHeader7_12	#G	127	85	1	0	1	39614	39615	39616	-1	39617	39618	39619	39620	47734	-1	-1
130	1	10	4	1	261	-1	Thi-ô-sun-phát na-tri Án	RideHeader11_5	#G	128	80	0	0	0	47595	47596	47597	-1	47598	47599	47600	47601	47673	-1	-1
131	1	10	4	1	262	-1	Phi Hoàng cánh chim	RideHeader9_16	#G	129	80	1	0	0	47634	47635	47636	-1	47637	47638	47639	47640	47661	-1	-1
132	1	10	4	1	263	-1	Thiên Ô Truy·kh¤p huyªt	CircularTaskTool62_11	#r#GT?i cüa ta t÷a kÜ m£t biên Hæu Ki®n Ği¬m Kích có th¬ nguyên dÕng l¤y ra.	174	90	2	10142536	1	47784	47785	47786	-1	47787	47788	47789	47790	47791	-1	-1
133	1	10	4	1	264	-1	Thiên Ô Truy·lßu quang	CircularTaskTool62_12	#r#GT?i cüa ta t÷a kÜ m£t biên Hæu Ki®n Ği¬m Kích có th¬ nguyên dÕng l¤y ra.	175	90	2	10142554	1	47810	47811	47812	-1	47813	47814	47815	47816	47817	-1	-1
134	1	10	4	1	265	-1	Thiên Ô Truy·Phá Lãng	CircularTaskTool62_15	#r#GT?i cüa ta t÷a kÜ m£t biên Hæu Ki®n Ği¬m Kích có th¬ nguyên dÕng l¤y ra.	176	90	2	10142572	1	47836	47837	47838	-1	47839	47840	47841	47842	47843	-1	-1
135	1	10	4	1	266	-1	Thiên Ô Truy·Li®t Änh	CircularTaskTool62_16	#r#GT?i cüa ta t÷a kÜ m£t biên Hæu Ki®n Ği¬m Kích có th¬ nguyên dÕng l¤y ra.	177	90	2	10142590	1	47862	47863	47864	-1	47865	47866	47867	47868	47869	-1	-1
136	1	10	4	1	271	-1	Ô Truy	CircularTaskTool62_13	#G	178	80	0	0	1	47992	47993	47994	-1	47995	47996	47997	47998	47999	-1	-1
137	1	10	4	0	272	-1	ĞÕp Di®m S½n Tôn	RideHeader4_12	#G	130	80	1	0	0	12172	12173	12174	-1	12175	12176	12177	12178	12179	-1	-1
138	1	10	4	0	273	-1	ĞÕp Di®m S½n Tôn·Ği¬n Tàng	RideHeader4_12	#r#GT?i cüa ta t÷a kÜ m£t biên Hæu Ki®n Ği¬m Kích có th¬ nguyên dÕng l¤y ra.	130	80	1	10142501	1	12180	12181	12182	-1	12183	12184	12185	12186	12187	-1	-1
139	1	10	4	1	274	-1	Thß½ng S½n Hàn Mµng	RideHeader11_6	#G	131	80	0	0	0	48158	48159	48160	-1	48161	48162	48163	48164	48165	-1	-1
140	1	10	4	0	275	-1	Løc lÕc Thanh Thanh	RideHeader7_13	#G	132	80	0	0	0	48204	48205	48206	-1	48207	48208	48209	48210	48211	-1	-1
