INT	INT	STRING	INT	INT	INT	INT
91	10304422	Thái C± Phiêu Linh	102	100000	6965	687
92	10304423	Thái C± Phiêu Linh	102	100000	6945	686
93	10304424	Thái C± Phiêu Linh	102	100000	6955	685
94	10304425	Thái C± Phiêu Linh	102	100000	6965	687
95	10305426	VÕn Thª Khô Vinh	102	100000	6949	679
96	10305427	VÕn Thª Khô Vinh	102	100000	6959	680
97	10305428	VÕn Thª Khô Vinh	102	100000	6969	681
98	10305429	VÕn Thª Khô Vinh	102	100000	6949	679
99	10305430	VÕn Thª Khô Vinh	102	100000	6959	680
100	10305431	VÕn Thª Khô Vinh	102	100000	6969	681
101	10305432	VÕn Thª Khô Vinh	102	100000	6949	679
102	10305433	VÕn Thª Khô Vinh	102	100000	6959	680
103	10305434	VÕn Thª Khô Vinh	102	100000	6969	681
104	10305435	Vô Tß¾ng Tuy®t Tung	102	100000	6948	683
105	10305436	Vô Tß¾ng Tuy®t Tung	102	100000	6958	682
106	10305437	Vô Tß¾ng Tuy®t Tung	102	100000	6968	684
107	10305438	Vô Tß¾ng Tuy®t Tung	102	100000	6948	683
108	10305439	Vô Tß¾ng Tuy®t Tung	102	100000	6958	682
109	10305440	Vô Tß¾ng Tuy®t Tung	102	100000	6968	684
110	10305441	Vô Tß¾ng Tuy®t Tung	102	100000	6948	683
111	10305442	Vô Tß¾ng Tuy®t Tung	102	100000	6958	682
112	10305443	Vô Tß¾ng Tuy®t Tung	102	100000	6968	684
113	10306010	CØu Tiêu Hoa QuÏnh Nö	86	100000	6980	6979
114	10306011	CØu Tiêu Hoa QuÏnh Nö	96	100000	6980	6979
115	10306033	Di®t Änh Thiên Tru	102	100000	6984	6981
116	10306034	Di®t Änh Thiên Tru	102	100000	6985	6982
117	10306035	Di®t Änh Thiên Tru	102	100000	6986	6983
118	10306036	Di®t Änh Thiên Tru	102	100000	6984	6981
119	10306037	Di®t Änh Thiên Tru	102	100000	6985	6982
120	10306038	Di®t Änh Thiên Tru	102	100000	6986	6983
121	10306039	Di®t Änh Thiên Tru	102	100000	6984	6981
122	10306040	Di®t Änh Thiên Tru	102	100000	6985	6982
123	10306041	Di®t Änh Thiên Tru	102	100000	6986	6983
124	10307010	Thái Hß Li­m Nguy®t Trßþng	86	100000	7299	7300
125	10307011	Thái Hß Li­m Nguy®t Trßþng	96	100000	7299	7300
126	10307033	Ng÷c Pháp Huy«n Khung	102	100000	7296	7297
127	10307034	Ng÷c Pháp Huy«n Khung	102	100000	7317	7315
128	10307035	Ng÷c Pháp Huy«n Khung	102	100000	7318	7316
129	10307036	Ng÷c Pháp Huy«n Khung	102	100000	7296	7297
130	10307037	Ng÷c Pháp Huy«n Khung	102	100000	7317	7315
131	10307038	Ng÷c Pháp Huy«n Khung	102	100000	7318	7316
132	10307039	Ng÷c Pháp Huy«n Khung	102	100000	7296	7297
133	10307040	Ng÷c Pháp Huy«n Khung	102	100000	7317	7315
134	10307041	Ng÷c Pháp Huy«n Khung	102	100000	7318	7316
135	10308010	Thiên Ð¸a L­ Ð°ng Tiêu	86	100000	7601	7598
136	10308011	Thiên Ð¸a L­ Ð°ng Tiêu	96	100000	7601	7598
137	10308033	Xuân Thu Ph°n Lµ	102	100000	7619	7610
138	10308034	Xuân Thu Ph°n Lµ	102	100000	7613	7604
139	10308035	Xuân Thu Ph°n Lµ	102	100000	7616	7607
140	10308036	Xuân Thu Ph°n Lµ	102	100000	7619	7610
141	10308037	Xuân Thu Ph°n Lµ	102	100000	7613	7604
142	10308038	Xuân Thu Ph°n Lµ	102	100000	7616	7607
143	10308039	Xuân Thu Ph°n Lµ	102	100000	7619	7610
144	10308040	Xuân Thu Ph°n Lµ	102	100000	7613	7604
145	10308041	Xuân Thu Ph°n Lµ	102	100000	7616	7607
