INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING
14	45	48	530	H°ng Quä Phø	Khúc Ðoan	19	[232&192]			
15	45	48	532	H°ng Thiªt Träo	Khúc Ðoan	19	[232&192]			
16	55	58	600	Chu¦n b¸ ngü ðông	Tr¸nh Huy«n	26	[182&163]			
17	60	63	541	H¡c Phong thích	Nguy­n lão thái thái	20	[190&200]			
18	62	65	544	BÕch mã thanh ngßu	Tiêu Tß¶ng	20	[164&158]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích qu§n chúa Ðích m®nh l®nh, anh hùng cån cÑ chính xác Minh nhi®m vø m¾i có th¬.		
19	62	65	546	Dûng khí	Tiêu Tß¶ng	20	[164&158]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Tuy®t Tình Kiªm nhi®m vø m¾i có th¬.		
20	25	28	583	Ði tìm thäo dßþc	Ðao Lß½ng Hiên	24	[57&73]			
21	30	33	588	Tát Ninh b¸ trói	Tát Ninh	24	[92&126]			
22	40	43	591	Câu chuy®n v« lß½ng thñc	Tát Ðô	25	[195&113]			
23	43	46	593	Chï th¸ sáng su¯t	Tát Tang	25	[202&108]			
24	53	56	667	Di®t Cö T§n G¯c	Thüy Tiên	32	[205&44]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích tay chân Tßþng Tàn, ðÕi khai sát gi¾i, b¡n nhi®m vø m¾i có th¬.		
25	38	41	656	Phàn tâm tñ ði®p	A Thanh	31	[51&115]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích chuy®n cû Nhß Yên nhi®m vø m¾i có th¬.		
26	38	41	657	Quy Vân Chi Mê	A Thanh	31	[51&115]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích chuy®n cû Nhß Yên nhi®m vø m¾i có th¬.		
27	75	78	550	BÕch Lang Bì	Ba Ð°	21	[161&196]			
28	75	78	551	H¡c Phong M§t	Ba Ð°	21	[161&196]			
29	88	91	560	Nµp c¯ng ph¦m	Hoàn Nhan A Lý B¯	22	[117&107]			
30	88	91	563	Hùng Ðäm	Hoàn Nhan Cát Ly B¤t	22	[166&94]			
31	90	93	567	Ð½n thu¯c cüa Th¥n Y	Hoàn Nhan Ngµt thu§t	22	[118&107]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích ðßa thu¯c TØu nhi®m vø m¾i có th¬.		
32	88	91	564	C¤p ph¦m nhân sâm	Hoàn Nhan Niêm Mµt Khát	22	[147&140]			
33	90	93	568	Chân Tr¶i Góc B¬	Ð° Ðan Phúc T¤n	22	[147&123]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích th¥n y Ðích ph¯i phß½ng nhi®m vø m¾i có th¬.		
34	90	93	569	Ðµt kích	Hoàn Nhan A C¯t Ðä	22	[234&77]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích gi¤u tài nhi®m vø m¾i có th¬.		
35	96	99	631	Thïnh c¥u cüa A Tùng	A Tùng	29	[201&256]			
36	98	101	634	Ách Tu La	A Vû	29	[182&265]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Dß½ng Minh Ðích kª hoÕch nhi®m vø m¾i có th¬.		
37	98	101	635	Vînh DÕ Tu La	A Vû	29	[182&265]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Dß½ng Minh Ðích kª hoÕch nhi®m vø m¾i có th¬.		
38	98	101	636	VÕn Kiªp Tu La	A Vû	29	[182&265]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Dß½ng Minh Ðích kª hoÕch nhi®m vø m¾i có th¬.		
39	87	90	624	Ð¢ng Giáp T£c Nguyên Soái	Dß½ng Minh	28	[157&223]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Ð¢ng Giáp T£c nhi®m vø m¾i có th¬.		
40	87	90	627	L¶i nói d¯i chân thñc	BÕch Lan	28	[147&47]			
41	70	73	610	La B¯c c¥n Nh®n	La B¯c	27	[46&51]			
42	70	73	611	La B¯c c¥n Vân Mçu	La B¯c	27	[46&51]			
43	70	73	612	La B¯c c¥n Long Huyªt	La B¯c	27	[46&51]			
44	65	68	670	C½ hµi buôn bán vô hÕn	Th¦m VÕn Tam	33	[170&73]			
45	80	83	682	Nghiên cÑu chæ Huyªt	Di®p Lßu Phàm	34	[115&58]			
46	80	83	684	Nåm hÕt quýt	NhÕc Tr÷ng Thu	34	[206&237]			
47	82	85	686	Mµt tia sáng	Di®p Lßu Phàm	34	[115&58]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích TÑ kí tên nhi®m vø m¾i có th¬.		
48	92	95	692	ÐÕo Th¥n	Nguyên TØ Khâm	35	[241&159]			
49	92	95	694	Thu¯c Hi¬n änh	Lång ºc T×	35	[246&151]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích M§t Tín nhi®m vø m¾i có th¬.		
50	94	97	698	Huy«n Vû Môn Chi Biªn	NhÕc Lão Tam	35	[256&242]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích gÕt bö dûng sî, gÕt bö sát thü nhi®m vø m¾i có th¬.		
51	98	101	571	H½i th· ¤m áp	Thác BÕt Vån	23	[163&191]			
52	98	101	578	Kh½i ngu°n ðau kh±	Phù T¸ch Nhan	23	[166&204]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích b¤t ð¡c dî ðích thñc Tßþng nhi®m vø m¾i có th¬.		
53	1	4	490	Cao S½n BÕch Viên	Mã Ngû ÐÑc	6	[92&127]			
54	3	6	494	Thi¬m Ði®n Báo	Tân Song Thanh	6	[240&175]			
55	5	8	496	D©p loÕn	Cát Quang Bµi	6	[240&173]			
56	7	10	497	ÐÕi Thiªt Võng	Tân Song Thanh	6	[240&175]			
57	9	12	499	Ám sát ð£c sÑ	Tân Song Thanh	6	[240&175]			
58	1	4	500	Thøc ÐÕo BÕch Viên	Khß½ng MÕt	7	[220&68]			
59	1	4	501	Thøc ÐÕo H¡c Viên	Khß½ng MÕt	7	[220&68]			
60	8	11	506	Th¸t h¥m	Khß½ng MÕt	7	[220&68]			
61	9	12	508	Tu La Ti¬u QuÖ	Khß½ng Quª Chi	7	[216&42]			
62	10	13	510	Tâm nguy®n	Dß½ng Vån Quäng	8	[252&145]			
63	10	13	512	Binh mµ	Tri®u Hành ÐÑc	8	[63&90]			
64	10	13	513	Hoang Nguyên Báo	Tri®u Hành ÐÑc	8	[63&90]			
65	18	21	517	MÕc Cao Khu¤t	Tào Diên Hu®	8	[55&63]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích ngh® thu§t nhi®m vø m¾i có th¬.		
66	15	18	460	BÕch NgÕch H±	Sài Tiªn	3	[200&66]			
67	15	18	461	Di Khí Mµc Nhân	Sài Tiªn	3	[200&66]			
68	15	18	462	Dînh Thüy Lang	Sài Tiªn	3	[200&66]			
69	20	23	641	Hoa Cäng Ðµc Phong	Mã Hán	30	[187&256]			
70	20	23	642	Thüy QuÖ Thám TØ	Mã Hán	30	[187&256]			
71	25	28	648	Thª gi¾i hoa cö	Tô Phi	30	[164&262]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích ÐoÕn Ki«u Hoa Yêu, BÕch Ðê Li­u QuÖ, Quy Phong Trang nhi®m vø m¾i có th¬.		
72	30	33	520	Di®t Sói	Châu Vô Uý	18	[242&72]			
73	30	33	521	Di®t Báo	Châu Vô Uý	18	[242&72]			
74	32	35	523	Ðánh T¥n Gia TrÕi l¥n 1	Chüng Thª Hoành	18	[262&47]			
75	32	35	525	Ðánh T¥n Gia TrÕi l¥n 2	Chüng Thª Hoành	18	[262&47]			
76	35	38	526	Chu XÑ quét sÕch 3 nÕn	Châu Vô Uý	18	[242&72]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Lang HÕi, Báo HÕi nhi®m vø m¾i có th¬.		
77	35	38	527	Ðánh T¥n Gia TrÕi l¥n 3	Chüng Thª Hoành	18	[262&47]			
78	35	38	529	Bình minh th¡ng lþi	Chüng Thª Hoành	18	[262&47]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích mµt tá T¥n Gia TrÕi, Nh¸ Tá T¥n Gia TrÕi, Tam Tá T¥n Gia TrÕi nhi®m vø m¾i có th¬.		
79	45	48	531	Th± phï n±i loÕn	Gia Lu§t Dß Ð²	19	[195&41]			
80	45	48	534	Hµ v® h²n loÕn	Gia Lu§t Dß Ð²	19	[195&41]			
81	51	54	538	Giáo ð¥u náo loÕn	Gia Lu§t Dß Ð²	19	[195&41]			
82	55	58	601	Lang Thù trong ThÕch Lâm	Dß½ng Liên TØ	26	[180&160]			
83	55	58	606	Ði¬m ðªn	T¥n H°ng Miên	26	[45&44]			
84	55	58	607	T§n sÑc tr× ác	Tr¸nh Huy«n	26	[182&163]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Ði¬m Ðáo m¾i thôi nhi®m vø m¾i có th¬.		
85	60	63	540	Ðß¶ng lß½ng thñc yªu	Nguy­n Thñc	20	[198&202]			
86	62	65	542	M®nh l®nh cüa Qu§n Chü	Tiêu Tß¶ng	20	[164&158]			
87	62	65	543	B¢ng chÑng anh hùng	Tiêu Tß¶ng	20	[164&158]			
88	65	68	548	Thiêu ð¯t	Nguy­n Thñc	20	[198&202]			
89	25	28	581	Quét sÕch ngß¶i r×ng	Ðao Lß½ng Hiên	24	[57&73]			
90	25	28	582	Báo Ð¯m	Ðao Lß½ng Hiên	24	[57&73]			
91	28	31	585	Thu phøc khoáng ðµng	Ðao Nghiêu	24	[207&49]			
92	28	31	586	Thu phøc b¯i tØ	Ðao Nghiêu	24	[207&49]			
93	28	31	587	Thu phøc Trà Mã ÐÕo	Ðao Nghiêu	24	[207&49]			
94	40	43	590	Khäo nghi®m vû lñc	Tát Ðô	25	[195&113]			
95	40	43	592	Tình hæu ngh¸ giæa các dân tµc	Tát Ðô	25	[195&113]			
96	43	46	595	Thü Lînh Ch£n Ðß¶ng	Tát Mã	25	[156&206]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích ðóng bång ðích tình Cäm nhi®m vø m¾i có th¬.		
97	43	46	596	Th± Ty Ch£n Ðß¶ng	Tát Mã	25	[156&206]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích ðóng bång ðích tình Cäm nhi®m vø m¾i có th¬.		
98	43	46	598	CÑu chuµc linh h°n	Tát Tang	25	[202&108]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Phiêu Tuyªt Ðích Thß½ng S½n nhi®m vø m¾i có th¬.		
99	50	53	660	BÕch viên chi hÕi	TØ Vi	32	[195&42]			
100	50	53	661	Tai hÕi cüa nh®n	TØ Vi	32	[195&42]			
101	50	53	662	Kë phän bµi	TØ Vi	32	[195&42]			
102	53	56	664	Thü Túc Tß½ng Tàn	Thüy Tiên	32	[205&44]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích tình hình nguy hi¬m báo cáo nhi®m vø m¾i có th¬.		
103	53	56	665	ÐÕi khai sát gi¾i	Thüy Tiên	32	[205&44]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích tình hình nguy hi¬m báo cáo nhi®m vø m¾i có th¬.		
104	53	56	666	Cách Sát V§t Lu§n	Thüy Tiên	32	[205&44]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích tình hình nguy hi¬m báo cáo nhi®m vø m¾i có th¬.		
105	35	38	650	Bäo v® vß¶n trà	Ông Quý Chi	31	[151&121]			
106	35	38	652	LÕn Lµ Thüy QuÖ	Pháp Ni®m	31	[207&63]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Ðµc Thßþng Kim S½n Tñ nhi®m vø m¾i có th¬.		
107	35	38	653	Tung Höa Thüy QuÖ	Pháp Ni®m	31	[207&63]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Ðµc Thßþng Kim S½n Tñ nhi®m vø m¾i có th¬.		
108	35	38	654	TÕc Thuy«n Thüy QuÖ	Pháp Ni®m	31	[207&63]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Ðµc Thßþng Kim S½n Tñ nhi®m vø m¾i có th¬.		
109	78	81	555	H°ng Y Mã Phï	Gia Lu§t Kim	21	[168&204]			
110	78	81	556	H¡c Y Mã Phï	Gia Lu§t Kim	21	[168&204]			
111	80	83	557	B¡t gi£c b¡t vua	Gia Lu§t Kim	21	[168&204]			
112	80	83	559	Mãng Cái Tam Ki®t	Gia Lu§t Kim	21	[168&204]			
113	96	99	630	A Vû nhát gan	A Vû	29	[182&265]			
114	98	101	638	Nguyên nhân sâu xa	Dß½ng Minh	29	[157&223]			
115	84	87	620	Phøng Hoàng cñu trÕi	A Ngõa	28	[150&49]			
116	84	87	622	H¡c Miêu Chiªn Sî	A Vßþng	28	[151&67]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích con bß¾m Th¥n Tª Ðàn nhi®m vø m¾i có th¬.		
117	87	90	623	Ð¢ng Giáp T£c	Dß½ng Minh	28	[157&223]			
118	87	90	626	Tranh cß¾p Khoáng S½n	BÕch Lan	28	[147&47]			
119	72	75	615	Næ Oa ThÕch Nhân	A H¡c	27	[279&47]			
120	72	75	616	Y¬n Sß Hµ Pháp	A H¡c	27	[279&47]			
121	72	75	617	ÐÕi Y¬n Sß	A H¡c	27	[279&47]			
122	65	68	671	Con ðß¶ng buôn bán g§p gh«nh	Th¦m VÕn Tam	33	[170&73]			
123	67	70	673	Kinh V® Phân Minh	Thái Dß½ng Hoa	33	[195&48]			
124	67	70	674	Ån miªng trä miªng	Kinh Cúc	33	[161&286]			
125	80	83	680	Ðen t¯i	Ðinh Liên Y	34	[111&60]			
126	92	95	690	Thanh Thanh TØ Khâm	Du Du	35	[274&269]			
127	94	97	696	Di®t tr× dûng sÛ	NhÕc Lão Tam	35	[256&242]			
128	94	97	697	Di®t tr× sát thü	NhÕc Lão Tam	35	[256&242]			
129	98	101	570	Ð°ng b¢ng rµng l¾n hoang vu	Thác BÕt Vån	23	[163&191]			
130	98	101	572	Tình cänh nguy hi¬m	Phù T¸ch Nhan	23	[166&204]			
131	98	101	575	Tr÷ng Giáp Chiªn Ð¤u	Mµ Dung Thiên Lang	23	[45&276]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Thánh V§t Ðích Thü Hµ nhi®m vø m¾i có th¬.		
132	98	101	576	Cuµc chiªn cüa Ba Luân	Mµ Dung Thiên Lang	23	[45&276]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Thánh V§t Ðích Thü Hµ nhi®m vø m¾i có th¬.		
133	62	65	547	L¶i kêu g÷i cüa linh h°n	Tiêu Tß¶ng	20	[163&158]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích dûng khí nhi®m vø m¾i có th¬.		
134	25	28	584	Muµi muµi v« nhà	Ðao Lß½ng Hiên	24	[57&73]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích tìm kiªm thäo dßþc nhi®m vø m¾i có th¬.		
135	43	46	594	Tình cäm cüa Bång Phong	Tát Tang	25	[202&108]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích th¥n minh Ðích chï th¸ nhi®m vø m¾i có th¬.		
136	70	73	677	Th§p tñ quân	Kh¡c Lý Tß Ðª An	33	[169&240]			
137	92	95	691	Hµ Hoa SÑ Giä	Du Du	35	[274&269]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Thanh Thanh TØ Khâm nhi®m vø m¾i có th¬.		
138	3	6	495	Vô lßþng Ng÷c Bích	Tân Song Thanh	6	[240&175]			
139	55	58	604	L¶i kêu g÷i lß½ng thi®n	Tr¸nh Huy«n	26	[182&163]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích tuy®t v÷ng n½i nhi®m vø m¾i có th¬.		
140	84	87	621	H° Ði®p Th¥n Tª Ðàn	A Vßþng	28	[151&67]			
141	1	4	491	L¤y v§t li®u tÕi ch²	Mã Ngû ÐÑc	6	[92&127]			
142	9	12	498	Bao vây Ðôn Hoàng	Tân Song Thanh	6	[240&175]			
143	1	4	502	Võ H¥u T×	Khß½ng Quª Chi	7	[215&43]			
144	8	11	507	Tam phân thiên hÕ	Th¶i MÕi	7	[263&201]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích H°ng S¡c Bäo Tàng Thßþc ChuÖ, Hoàng S¡c Bäo Tàng Thßþc ChuÖ, Lam S¡c Bäo Tàng Thßþc ChuÖ nhi®m vø m¾i có th¬.		
145	10	13	509	CÑu vi®n	Khß½ng Quª Chi	7	[215&43]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Tu La Ti¬u QuÖ nhi®m vø m¾i có th¬.		
146	10	13	511	Mông Tr¥n	H°i C¯t Vß½ng Næ	8	[252&177]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích thiªu lñc nhi®m vø m¾i có th¬.		
147	13	16	514	Nghî cách cÑu vi®n	Tri®u Hành ÐÑc	8	[63&90]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích b¸ long ðong nhi®m vø m¾i có th¬.		
148	13	16	516	Quay tr· lÕi	Dß½ng Vån Quäng	8	[252&254]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích giáp công nhi®m vø m¾i có th¬.		
149	18	21	518	Chiªn tranh	Chu Vß½ng L­	8	[63&81]			
150	18	21	519	Lñc chiªn	Dß½ng Vån Quäng	8	[252&254]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích mai mµt nhi®m vø m¾i có th¬.		
151	15	18	463	Ng÷n ngu°n	Tiêu Nhßþng	3	[209&79]			
152	15	18	464	Thu¯c An Th¥n	Løc Tùng	3	[182&81]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích chân tß¾ng nhi®m vø m¾i có th¬.		
153	18	21	467	H÷a t× Tiêu Nhßþng	Løc Ngßng Sß½ng	3	[181&81]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích d¤u vªt ð¬ lÕi nhi®m vø m¾i có th¬.		
154	18	21	468	Ðan Thß Thiªt Khoán	Tiêu Nhßþng	3	[209&79]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích hoÕ t× trong nhà nhi®m vø m¾i có th¬.		
155	20	23	640	MÛ tØu ca dao	Trß½ng Thúc DÕ	30	[155&54]			
156	23	26	643	Nghiên cÑu Khôi L²i	Tô Phi	30	[164&262]			
157	23	26	644	Tu La Thu§t	Kim ÐÕi Kiên	30	[142&47]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích con r¯i nghiên cÑu nhi®m vø m¾i có th¬.		
158	25	28	649	L§p nghi®p t× tay tr¡ng	Mã Hán	30	[187&256]			
159	35	38	528	Tình hæu ngh¸ b¸ quên lãng.	Chüng Thª Hoành	18	[262&47]			
160	48	51	533	BÑc thß th¥n bí	Miêu Khánh	19	[231&203]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích H°ng Quä Phø, H°ng Thiªt Träo nhi®m vø m¾i có th¬.		
161	48	51	535	Tìm L² Bình	Khúc Ðoan	19	[232&192]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích th¥n bí Ðích g·i thß nhi®m vø m¾i có th¬.		
162	48	51	537	Phúc ðáp Khúc Ðoan	L² Bình	19	[271&50]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích thành ý Ðích khäo nghi®m nhi®m vø m¾i có th¬.		
163	50	53	539	Mµt bÑc thß t× nhà gØi ðªn	Khúc Ðoan	19	[232&192]			
164	55	58	603	Thª ngoÕi trà viên	Tr¸nh Huy«n	26	[182&163]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích tuy®t v÷ng n½i nhi®m vø m¾i có th¬.		
165	55	58	605	L¶i th«	Dß½ng Thiªt Tín	26	[240&181]			
166	60	63	609	Nhæng ngß¶i trên thäo nguyên	Tr¸nh Huy«n	26	[182&163]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích ðáng sþ ðích thñc Tßþng nhi®m vø m¾i có th¬.		
167	62	65	545	Tuy®t Tình Kiªm	Nguy­n Thành	20	[138&53]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích con ngña tr¡ng Thanh Ngßu nhi®m vø m¾i có th¬.		
168	65	68	549	Nghe danh xu¯ng ngña	Nguy­n Thành	20	[138&53]			
169	25	28	580	Tình mçu tØ	Ðao Nghiêu	24	[207&49]			
170	30	33	589	Phát hi®n cüa Tát Ninh	Tát Ninh	24	[96&126]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích B¸ Ph÷c Ðích Tát Ninh nhi®m vø m¾i có th¬.		
171	43	46	597	Thß½ng s½n tuyªt bay	Tát Mã	25	[155&205]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích ch£n ðß¶ng Ðích thü lînh, ch£n ðß¶ng Ðích th± ty nhi®m vø m¾i có th¬.		
172	45	48	599	Sñ ð«n ðáp h§u hî	Tát Tang	25	[202&108]			
173	50	53	663	Thông báo nguy hi¬m	TØ Vi	32	[195&42]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích phän bµi Giä nhi®m vø m¾i có th¬.		
174	55	58	668	Giäi thích rõ	Khúc Dß½ng	32	[194&52]			
175	55	58	669	Thiên m®nh t¯i cao	TØ Vi	32	[195&42]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích bi®n giäi nhi®m vø m¾i có th¬.		
176	35	38	651	Ðµc Thßþng Kim S½n Tñ	Ông Quý Chi	31	[151&121]			
177	38	41	655	M÷i Chuy®n Ðã Qua	Pháp Ni®m	31	[207&63]			
178	40	43	659	Nh§t mµ Thß½ng s½n vi­n	Lôi Hoán	31	[165&137]			
179	75	78	553	Liêu Quân Nguyên Soái	Bác Nhî Luân	21	[163&191]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Khu Cän H¡c Phong nhi®m vø m¾i có th¬.		
180	88	91	562	T£ng rßþu thu¯c	Ð° Ðan Phúc T¤n	22	[147&123]			
181	90	93	565	Tìm A C¯t Ðä	Hoàn Nhan Doanh Ca	22	[147&121]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Giao C¯ng Ph¦m nhi®m vø m¾i có th¬.		
