INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	FLOAT	FLOAT
117	1	15	6	流寇	10	33	230	250	1116	1	8
118	1	16	1	热布巴拉	1	27	254	147	1117	1	8
119	1	16	2	剧毒狼蛛	20	27	57	73	1118	1	8
120	1	16	3	云母石人	20	27	118	98	1119	1.5	9.5
121	1	16	4	龙血石人	20	27	87	258	1120	1.5	9.5
122	1	16	5	女娲石人	20	27	115	250	1121	1.5	9.5
123	1	16	6	偃师护法	20	27	222	213	1122	1.6	9
124	1	16	7	大偃师	20	27	246	273	1123	1.6	9
125	1	16	8	河妖	20	27	70	55	1124	1	8
126	1	17	1	阿史那默谷	1	21	104	59	1125	1	8
127	1	17	2	莽盖龙胜	1	21	242	52	1126	1	8
128	1	17	3	莽盖萧允	1	21	217	47	1127	1	8
129	1	17	4	莽盖李通	1	21	222	70	1128	1	8
130	1	17	5	白狼王	20	21	161	268	1129	0.4	4
131	1	17	6	大黑蜂	20	21	88	220	1130	1	8
132	1	17	7	黑衣马匪	20	21	71	96	1131	1.4	10
133	1	17	8	红衣马匪	20	21	208	59	1132	1.4	10
134	1	17	9	一品堂刺客	20	21	194	216	1133	1	8
135	1	17	10	轻甲莽盖	20	21	277	204	1134	1	8
136	1	18	1	南海鳄鱼	20	34	70	135	1135	0.3	6
137	1	18	2	鳄鱼帮混混	20	34	158	80	1136	1	7
138	1	18	3	石老人	20	34	165	167	1137	1.3	9
139	1	18	4	鳄鱼帮打手	20	34	194	100	1138	1	8
140	1	18	5	南海海盗	20	34	239	216	1139	1	8
141	1	18	6	岳不平	1	34	265	193	1140	0.8	6
142	1	19	1	黑沼豹	20	28	282	143	1141	0.6	6
143	1	19	2	丛林蜂	20	28	193	95	1142	1	8
144	1	19	3	黑苗战士	20	28	102	271	1143	1	6
145	1	19	4	藤甲贼	20	28	68	189	1144	1	8
146	1	19	5	藤甲勇士	20	28	182	210	1145	1	8
147	1	19	6	兀骨突	1	28	109	199	1146	1	7
148	1	19	7	图巴鲁	1	28	103	210	1147	1	7
149	1	20	1	古里赤	1	235	214	37	1148	1.8	10
150	1	20	2	盐湖熊	20	235	97	35	1149	0.7	6
151	1	20	3	盐湖鳄鱼	20	235	62	102	1150	0.5	6
152	1	20	4	挖盐木人	20	235	150	125	1151	1.3	8
153	1	20	5	挖盐苦工	20	235	56	156	1152	0.7	6
154	1	20	6	偃师监工	20	235	66	199	1153	1.3	8
155	1	20	7	偃师守卫	20	235	199	188	1154	1.3	8
156	1	21	1	冰封傀儡	20	22	116	158	1155	1.3	8
157	1	21	2	黑熊	20	22	57	169	1156	1	8
158	1	21	3	东北虎	20	22	75	272	1157	1	8
159	1	21	4	雪人	20	22	201	190	1158	1	8
160	1	21	5	獠牙雪人	20	22	132	73	1159	1.6	9
161	1	21	6	雪山猎人	20	22	230	141	1160	1	8
162	1	21	7	纥石烈阿疏	1	22	269	270	1161	0.9	7
163	1	22	1	嗜血鳄鱼	20	35	260	195	1162	0.4	6
164	1	22	2	鳄鱼帮勇士	20	35	206	218	1163	1	8
165	1	22	3	南海盗神	20	35	252	63	1164	1	8
166	1	22	4	鳄鱼帮杀手	20	35	169	95	1165	1	8
167	1	22	5	鳄鱼帮堂主	20	35	111	200	1166	1	8
168	1	22	6	裘老七	1	35	110	110	1167	0.9	7
169	1	23	1	沼泽鳄鱼	20	29	44	40	1168	0.4	6
170	1	23	2	永夜修罗	20	29	162	48	1169	1.3	9
171	1	23	3	万劫修罗	20	29	37	198	1170	1.3	9
172	1	23	4	厄修罗	20	29	205	208	1171	1.3	9
173	1	23	5	阿鼻修罗	20	29	265	83	1172	1	8
174	1	23	6	古汉	1	29	196	161	1173	1	8
175	1	23	7	苗越刺客	20	29	34	89	1174	1	8
176	1	24	1	木云雪人	20	23	217	84	1175	1	8
177	1	24	2	大黑熊	20	23	174	260	1176	1	8
178	1	24	3	雪山莽盖	20	23	67	143	1177	1	8
179	1	24	4	雪山狼	20	23	159	133	1178	0.4	4
180	1	24	5	重甲莽盖	20	23	78	66	1179	1	8
181	1	24	6	巴伦莽盖	20	23	279	201	1180	1	8
182	1	24	7	霍斯	1	23	79	38	1181	0.9	7
183	2	1	1	护宝神兽	1	166	157	91	1182	1	9
184	2	1	2	盗墓小贼	40	166	24	230	1183	1	8
185	2	2	1	护宝神兽	1	169	215	206	1184	1	8
186	2	2	2	沙漠马匪	40	169	42	198	1185	1.3	10
187	2	3	1	护宝神兽	1	191	97	150	1186	1	9
188	2	3	2	护宝铜人	40	191	205	48	1187	1.3	9
189	2	4	1	护宝神兽	1	192	74	206	1188	1	8
190	2	4	2	寻宝豪杰	40	192	234	165	1189	1	8
191	2	5	1	木桶伯	1	193	123	213	1190	1.8	13
192	2	5	2	洞穴石人	40	193	127	25	1191	1.3	9
193	2	6	1	断桥花妖	40	211	140	213	1192	1	8
194	2	6	2	花港毒蜂	40	211	22	206	1193	1	8
195	2	6	3	流寇	40	211	208	94	1194	1	8
196	2	6	4	龙井水贼	40	211	49	98	1195	0.8	6
197	2	6	5	密探	40	211	206	223	1196	0.8	6
198	2	6	6	水鬼探子	40	211	142	235	1197	0.8	6
199	2	7	1	赤脚野人	40	215	84	161	1198	1	8
200	2	7	2	风狼	40	215	47	87	1199	0.4	4
201	2	7	3	花斑豹	40	215	42	216	1200	0.4	6
202	2	7	4	狼族荆棘使	40	215	175	208	1201	1	8
203	2	7	5	狼族探子	40	215	35	27	1202	1	8
204	2	7	6	狼族战士	40	215	230	77	1203	1	8
205	2	8	1	秦家寨恶霸	40	213	17	216	1204	0.7	6
206	2	8	2	秦家寨护卫使	40	213	114	140	1205	0.7	6
207	2	8	3	秦家寨头领	40	213	114	88	1206	0.7	6
208	2	8	4	秦家寨土匪	40	213	106	210	1207	0.7	6
209	2	8	5	秦家寨卫兵	40	213	57	226	1208	0.7	6
210	2	8	6	工魂影像	1	213	216	176	1209	0.7	5
211	2	9	1	暗杀者	40	212	130	238	1210	1	8
212	2	9	2	大剑师	40	212	195	149	1211	1	8
213	2	9	3	荒野剑客	40	212	69	194	1212	1	8
214	2	9	4	剑齿豹	40	212	19	39	1213	0.4	5
215	2	9	5	剑灵	40	212	118	36	1214	1.3	8
216	2	9	6	剑冢刺客	40	212	43	104	1215	0.7	5
217	2	10	1	狼族神汉	40	214	202	77	1216	1.3	8
218	2	10	2	狼族头人	40	214	204	26	1217	1.3	8
219	2	10	3	狼族土司	40	214	182	50	1218	1.3	8
220	2	10	4	狼族勇士	40	214	114	99	1219	1.3	8
221	2	10	5	蓑衣野人	40	214	32	72	1220	1.1	8
222	2	10	6	雪狼	40	214	90	107	1221	0.4	4
223	2	11	1	迎客毛贼	40	282	271	145	1222	1	8
224	2	11	2	黑猿	40	282	266	185	1223	0.3	3
225	2	11	3	巨蝎	40	282	56	198	1224	0.5	4
226	2	11	4	锦衣乞丐	40	282	17	274	1225	0.5	6
227	2	11	5	花酒和尚	40	282	150	260	1226	0.8	6
228	2	11	6	魏迁	40	282	166	295	1227	1.3	9
229	2	11	7	蟾蜍怪	40	282	232	232	1228	0.4	5
230	2	11	8	妖邪蜘蛛	40	282	170	231	1229	1	8
231	2	12	1	打草谷辽兵	40	199	135	30	1230	1	8
232	2	12	2	红枫熊	40	199	207	215	1231	1	8
233	2	12	3	红枫蜘蛛	40	199	221	149	1232	1	8
234	2	12	4	秦家寨护卫	40	199	44	218	1233	1	8
235	2	12	5	秦家寨教头	40	199	101	218	1234	1	8
236	2	12	6	秦家寨劫匪	40	199	162	219	1235	1	8
237	2	13	1	白花蜘蛛	40	216	196	207	1236	1	8
238	2	13	2	山越护法	40	216	122	124	1237	1	8
239	2	13	3	山越祭司	40	216	119	98	1238	1	8
240	2	13	4	山越战士	40	216	199	163	1239	1	8
241	2	13	5	深谷白猿	40	216	107	216	1240	0.4	4
242	2	13	6	树甲哨兵	40	216	113	95	1241	0.6	5
243	2	14	1	花岗石狮	40	219	50	224	1242	1	8
244	2	14	2	狼蛛	40	219	22	68	1243	1	8
245	2	14	3	页岩石人	40	219	128	191	1244	1.3	10
246	2	14	4	棕熊	40	219	107	28	1245	1	8
247	2	15	1	锦衣乞丐	40	283	78	96	1246	1	8
248	2	15	2	花酒和尚	40	283	61	69	1247	1	8
249	2	15	3	文武状元	40	283	199	69	1248	1	8
250	2	15	4	赖千岛	1	283	141	226	1249	1.3	10
251	2	16	1	草原狼	80	217	203	229	1250	1	8
252	2	16	2	蒙古黑蜂	80	217	175	207	1251	1	8
253	2	16	3	闪电马匪	80	217	138	178	1252	1.3	10
254	2	16	4	弯刀马匪	80	217	120	83	1253	1.3	10
255	2	16	5	追风马匪	80	217	170	36	1254	1.3	10
256	2	16	6	打草谷宋兵	80	217	25	218	1255	1.3	8
257	2	17	1	红袍蜘蛛	80	200	84	169	1256	1	8
258	2	17	2	流寇	80	200	185	43	1257	1	8
259	2	17	3	棚民	80	200	37	118	1258	1	8
260	2	17	4	山越护法	80	200	121	15	1259	1	8
261	2	17	5	山越祭司	80	200	29	100	1260	1	8
262	2	18	1	迷人蜂	100	220	24	61	1261	1	8
263	2	18	2	桃根仙	100	220	229	175	1262	1	8
264	2	18	3	桃花仙	100	220	123	63	1263	1	8
265	2	18	4	桃实仙	100	220	93	195	1264	0.4	4
266	2	18	5	桃枝仙	100	220	208	220	1265	1	8
267	2	18	6	花斑豹	100	220	43	24	1266	1	8
268	2	19	1	盗墓马匪	100	218	207	128	1267	1	8
269	2	19	2	鬼狼	100	218	62	32	1268	0.4	4
270	2	19	3	黑毒蜂	100	218	33	27	1269	1	8
271	2	19	4	护墓莽盖	100	218	105	74	1270	1	8
272	2	19	5	骷髅	100	218	36	169	1271	1	8
273	2	19	6	一品堂刺客	100	218	125	238	1272	1	8
274	2	20	1	成年灵企鹅	250	229	142	110	1273	0.4	4
275	2	20	2	雪原狼	250	229	38	222	1274	0.4	4
276	2	20	3	雪原莽盖	250	229	168	210	1275	1	8
277	2	20	4	银皑雪人	250	229	50	148	1276	1	8
278	2	20	5	成年圣企鹅	250	229	180	163	1277	0.4	4
279	2	20	6	企鹅王	1	229	83	37	1278	1.6	10
280	2	21	1	鳄鱼帮打手	250	221	193	104	1279	1	8
281	2	21	2	鳄鱼帮混混	250	221	48	72	1280	1	8
282	2	21	3	南海鳄鱼	250	221	27	177	1281	0.2	6
283	2	21	4	南海海盗	250	221	218	160	1282	1	8
284	2	21	5	石老人	250	221	155	155	1283	1	10
285	2	22	1	挖盐苦工	250	237	29	79	1284	1	8
286	2	22	2	挖盐木人	250	237	65	55	1285	1.3	8
287	2	22	3	盐湖鳄鱼	250	237	91	71	1286	0.5	6
288	2	22	4	盐湖熊	250	237	80	85	1287	0.7	6
289	2	22	5	偃师监工	250	237	89	36	1288	1.3	8
290	2	22	6	偃师守卫	250	237	39	40	1289	1.3	8
291	2	23	1	巴伦莽盖	250	222	143	53	1290	1.2	8
292	2	23	2	大黑熊	250	222	154	217	1291	1	8
293	2	23	3	雪山狼	250	222	29	180	1292	0.4	4
294	2	23	4	雪山莽盖	250	222	184	210	1293	1.2	8
295	2	23	5	重甲莽盖	250	222	30	63	1294	1.2	8
296	3	1	1	护岛神兽20级	1	112	154	183	1295	1	9
297	3	1	2	护岛神兽40级	1	112	42	98	1296	1	9
298	3	1	3	护岛神兽60级	1	112	291	63	1297	1	9
299	3	1	4	护岛神兽80级	1	112	265	266	1298	1	9
300	3	1	5	无敌飞天猫	1	112	175	48	1299	0.7	6
301	3	1	6	莽牯毒蛤王	1	112	212	181	1300	1.5	16
302	3	2	1	闪电狗	1	201	35	151	1301	1	8
303	3	2	2	龙龟	1	201	166	40	1302	1	8
304	3	3	1	大笨熊	1	243	34	56	1303	0.7	5
305	3	3	2	小兔兔	1	243	34	56	1304	0.7	4
306	3	3	3	飘飘鸭	1	243	34	56	1305	0.4	3
307	3	4	1	猿公子	1	188	45	34	1306	0.4	4
308	3	4	2	峨嵋利爪恶猿	40	188	96	86	1307	0.4	4
309	3	4	3	峨嵋白眉恶猿	40	188	142	102	1308	0.4	4
310	3	4	4	峨嵋凶猱	40	188	38	46	1309	0.4	4
311	3	5	1	孙立者	1	183	48	36	1310	0.4	4
312	3	5	2	复仇恶猿	40	183	92	140	1311	0.4	4
313	3	5	3	强壮恶猿	40	183	44	114	1312	0.4	4
314	3	5	4	精壮恶猿	40	183	92	110	1313	0.4	4
315	3	6	1	金裳	1	184	98	58	1314	0.7	6
316	3	6	2	密探先锋	40	184	98	124	1315	0.7	6
317	3	6	3	青旗探马	40	184	98	90	1316	0.7	6
318	3	6	4	蓝旗探马	40	184	98	72	1317	0.7	6
319	3	7	1	彭侯	1	182	46	40	1318	1.3	8
320	3	7	2	木人喽啰	40	182	96	110	1319	1.3	8
321	3	7	3	木人精英	40	182	96	80	1320	1.3	8
322	3	7	4	木人武士	40	182	40	98	1321	1.3	8
323	3	8	1	王君	1	186	95	36	1322	1.3	8
324	3	8	2	灭妖傀儡	40	186	96	120	1323	1.3	8
325	3	8	3	诛仙傀儡	40	186	96	90	1324	1.3	8
326	3	8	4	弑神傀儡	40	186	54	72	1325	1.3	8
327	3	9	1	白岑	1	190	94	39	1326	1	8
328	3	9	2	天山小雪怪	40	190	96	110	1327	1	8
329	3	9	3	天山大雪怪	40	190	96	86	1328	1	8
330	3	9	4	天山雪怪王	40	190	96	50	1329	1	8
331	3	10	1	孟昧	1	185	89	51	1330	1	6
332	3	10	2	妖异心魔	40	185	86	170	1331	1	6
333	3	10	3	破嗔心魔	40	185	76	130	1332	1	6
334	3	10	4	杀欲心魔	40	185	46	58	1333	1	6
335	3	11	1	贾川	1	187	141	43	1334	1	8
336	3	11	2	腐体傀儡	40	187	52	72	1335	1	8
337	3	11	3	蚀心傀儡	40	187	120	140	1336	1	8
338	3	11	4	化魄傀儡	40	187	146	58	1337	1	8
339	3	12	1	秋三十娘	1	189	142	51	1338	1	8
340	3	12	2	木王蜘蛛	40	189	96	126	1339	1	8
341	3	12	3	水王蜘蛛	40	189	118	112	1340	1	8
342	3	12	4	火王蜘蛛	40	189	96	96	1341	1	8
343	3	13	1	霜影	1	260	283	120	1342	1.8	10
344	4	1	1	白棋子	10	2	274	95	1343	1	10
345	4	1	2	黑棋子	10	2	274	95	1344	1	10
346	4	1	3	白棋魂	10	2	274	95	1345	1.3	8
347	4	1	4	黑棋魂	10	2	274	95	1346	1.3	8
348	4	1	5	远古棋魂	1	2	274	95	1347	2.6	14
349	4	2	1	上古银宝箱	10	246	162	81	1348	0.8	6
350	4	2	2	上古金宝箱	10	246	162	81	1349	0.8	6
351	4	2	3	银宝箱童子	10	246	162	81	1350	0.6	5
352	4	2	4	金宝箱童子	10	246	162	81	1351	0.6	5
353	4	2	5	镇宝龙王	1	246	162	81	1352	2.6	14
354	4	3	1	贼兵喽啰	30	6	63	169	1353	1	8
355	4	3	2	贼兵头目	1	6	63	169	1354	1	8
356	4	4	1	伪宋军	10	1	63	164	1355	1	8
357	4	4	2	逃窜匪类	1	1	63	164	1356	1.3	10
358	4	4	3	伪宋军副都统	1	1	63	164	1357	1	8
359	4	4	4	伪宋军都统	1	1	63	164	1358	2.2	16
360	4	4	5	余毒	1	1	63	164	1359	1.5	11
361	4	4	6	野熊	10	1	63	164	1360	1	8
362	4	4	7	红熊王	1	1	63	164	1361	0.9	10
363	4	4	8	绿林大盗	10	1	63	164	1362	1.3	10
364	4	4	9	绿林劫匪	10	1	63	164	1363	1	8
365	4	4	10	狗头军师	10	1	63	164	1364	1	8
366	4	4	11	山寨大王	1	1	63	164	1365	1.7	13
367	4	5	1	玄雷坡土匪	10	246	292	68	1366	1	8
368	4	5	2	牛曲	1	246	292	68	1367	1	8
369	4	5	3	牛奇	1	246	292	68	1368	1	8
370	4	5	4	王阎	1	246	292	68	1369	2.4	17
371	4	5	5	毒障小怪	10	246	292	68	1370	1	8
372	4	5	6	撕风魔	1	246	292	68	1371	2.8	20
373	4	5	7	裂地行者	1	246	292	68	1372	1.8	14
374	4	5	8	武玄将	1	246	292	68	1373	2.2	16
375	4	5	9	五毒魔使	1	246	292	68	1374	1.8	16
376	4	5	10	破焰尊者	1	246	292	68	1375	1.8	16
377	4	5	11	洪棘妖王	1	246	292	68	1376	2.9	18
378	4	5	12	妖魔随从	10	246	292	68	1377	1	10
379	4	5	13	火焰妖魔	1	246	292	68	1378	2.8	17
380	4	6	1	哈大霸	1	246	190	216	1379	1.8	12
381	4	6	2	桑土公	1	246	190	216	1380	1	8
382	4	6	3	乌老大	1	246	190	216	1381	1	8
383	4	6	4	卓不凡	1	246	190	216	1382	1	8
384	4	6	5	不平道人	1	246	190	216	1383	1	8
385	4	6	6	任平生	1	246	190	216	1384	1	8
386	4	6	7	李秋水	1	246	190	216	1385	1	8
387	4	7	1	岳老三	1	4	70	121	1386	1	8
388	4	7	2	云中鹤	1	4	70	121	1387	1	8
389	4	7	3	叶二娘	1	4	70	121	1388	1	8
390	4	7	4	段延庆	1	4	70	121	1389	1	8
391	4	7	5	姚伯当	1	4	70	121	1390	1	8
392	4	7	6	司马林	1	4	70	121	1391	1.6	9
393	4	7	7	鸠摩智	1	4	70	121	1392	1.4	8
394	4	7	8	慕容复	1	4	70	121	1393	1	8
395	4	8	1	喽啰	30	2	241	139	1394	1	8
396	4	8	2	恶霸	1	2	241	139	1395	1	8
397	4	9	1	宋姜	1	2	130	77	1396	1.3	10
398	4	9	2	李魁	1	2	130	77	1397	1.3	10
399	4	9	3	吴永	1	2	130	77	1398	1.3	10
400	4	9	4	卢君逸	1	2	130	77	1399	1.6	12
401	4	9	5	公孙圣	1	2	130	77	1400	1.2	9
402	4	9	6	关盛	1	2	130	77	1401	1.3	10
403	4	9	7	鲁志生	1	2	130	77	1402	1.3	10
404	4	9	8	呼延啄	1	2	130	77	1403	1.3	10
405	4	9	9	林充	1	2	130	77	1404	1.3	10
406	4	9	10	秦冥	1	2	130	77	1405	1.3	10
407	4	9	11	花容	1	2	130	77	1406	1	8
408	4	9	12	武颂	1	2	130	77	1407	1	8
409	4	10	1	伪官军	10	18	264	278	1408	1	8
410	4	10	2	盗书恶僧	5	18	264	278	1409	1	8
411	4	10	3	蒙面恶僧	1	18	264	278	1410	1.3	10
412	4	11	1	暴走白斑猪	10	201	35	151	1411	1	8
413	4	11	2	暴走黑鬃猪	10	201	35	151	1412	1	8
414	4	11	3	暴走红皮猪	10	201	35	151	1413	1	8
415	4	11	4	野猪头目	1	201	35	151	1414	1	8
416	4	11	5	尖牙野猪	10	201	35	151	1415	1	8
417	4	11	6	尖牙野猪王	1	201	35	151	1416	1	9
418	4	11	7	狂暴龙	1	201	35	151	1417	1.3	11
419	4	12	1	雷麟	10	246	288	136	1418	0.5	6
420	4	12	2	雏凤	10	246	288	136	1419	1	8
421	4	12	3	护岛神兽	1	246	288	136	1420	1	9
422	4	13	1	黄色足球	10	2	280	94	1421	1	8
423	4	13	2	红色足球	10	2	280	94	1422	1	8
424	4	13	3	蓝色足球	10	2	280	94	1423	1	8
425	4	13	4	花色足球	10	2	280	94	1424	1	8
426	4	13	5	孙美美	1	2	280	94	1425	1.7	10
