INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10	Ph¥n Nµi	#{DWJJ_240329_221}	SÑ møc tiêu m²i l¥n Chß¾c Thiêu t±n th¤t Ðích Huyªt Lßþng gia tång%sÐi¬m#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 100Ði¬m, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 200Ði¬m	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng Chß¾c Thiêu thß½ng t±n gia tång%s#cfff263Ði¬m	DWJinJie04_13	DWJinJie04_13	DWJinJie04_13	DWJinJie04_14	DWJinJie04_14	DWJinJie04_14	DWJinJie04_15	DWJinJie04_15	DWJinJie04_15	DWJinJie04_16	10	20	30	40	50	60	70	80	90	100	200	-1	1	30900231
11	Ði nhanh	#{DWJJ_240329_222}	Di ðµng t¯c ðµ gia tång%s%%(KÜ Th×a B¤t hß·ng thø ThØ Gia Thành)#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 5%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 10%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng di ðµng t¯c ðµ gia tång%s%%	DWJinJie08_5	DWJinJie08_5	DWJinJie08_5	DWJinJie08_6	DWJinJie08_6	DWJinJie08_6	DWJinJie08_7	DWJinJie08_7	DWJinJie08_7	DWJinJie08_8	5	10	15	20	25	30	35	40	45	50	100	-1	10	30900244
12	Hüy bö	#{DWJJ_240329_223}	Hüy bö	Hüy bö	DWJinJie08_9	DWJinJie08_9	DWJinJie08_9	DWJinJie08_10	DWJinJie08_10	DWJinJie08_10	DWJinJie08_11	DWJinJie08_11	DWJinJie08_11	DWJinJie08_12	3	6	9	12	15	18	21	24	27	30	30	-1	1	0
13	Ngñ Kháng	#{DWJJ_240329_224}	Ðã b¸ thß½ng t±n Th¶i, Hæu%s%%xác su¤t mi­n d¸ch l¥n này thß½ng t±n#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 2%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 4%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng xác su¤t Vi%s%%	DWJinJie01_1	DWJinJie01_1	DWJinJie01_1	DWJinJie01_2	DWJinJie01_2	DWJinJie01_2	DWJinJie01_3	DWJinJie01_3	DWJinJie01_3	DWJinJie01_4	2	4	6	8	10	12	14	16	18	20	40	-1	10	30900220
14	H¤p thu	#{DWJJ_240329_225}	Ð¯i møc tiêu tÕo thành thß½ng t±n Th¶i, Hæu 6%%xác su¤t h¤p thø S· tÕo thành thß½ng t±n%s%%Ðích Huyªt Lßþng(Thi«n Cá kÛ nång h°i huyªt cao nh¤t Vi tñ thân Huyªt Thßþng HÕn 5%%Ðích Huyªt Lßþng, Ð¯i quái v§t h¤p thø Th¶i h¤p thø Lßþng r½i ch§m lÕi)#r#GTHi«n Cá Vån kh¡c ð¥y C¤p h¤p thø hi®u quä Vi 50%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 100%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng H¤p Huyªt hi®u quä Vi tÕo thành thß½ng t±n Ðích%s%%	DWJinJie02_1	DWJinJie02_1	DWJinJie02_1	DWJinJie02_2	DWJinJie02_2	DWJinJie02_2	DWJinJie02_3	DWJinJie02_3	DWJinJie02_3	DWJinJie02_4	50	100	150	200	250	300	350	400	450	500	1000	-1	10	30900221
15	Vø Vi­n	#{DWJJ_240329_226}	SÑ thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång Ðích công kích khoäng cách ð« cao%sM­(tång lên H§u Ðích công kích khoäng cách không th¬ vßþt qua 15M­)#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 2. 5M­, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 5M­	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c t±ng tiªn công Kích khoäng cách ð« cao%s#cfff263M­	DWJinJie08_13	DWJinJie08_13	DWJinJie08_13	DWJinJie08_14	DWJinJie08_14	DWJinJie08_14	DWJinJie08_15	DWJinJie08_15	DWJinJie08_15	DWJinJie08_16	200	400	600	800	1000	1300	1600	1900	2200	2500	5000	-1	1000	30900246
16	Th×a c½	#{DWJJ_240329_227}	Ð¯i møc tiêu tÕo thành thß½ng t±n Th¶i, Hæu 10%%xác su¤t SÑ møc tiêu thêm vào t±n th¤t l¥n này thß½ng t±n%s%%Ðích Huyªt Lßþng Hoà%s%%Ðích Khí#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 15%%Huyªt Lßþng Hoà 5%%Khí, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 30%%Huyªt Lßþng Hoà 10%%Khí	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c Cµng SÑ møc tiêu thêm vào t±n th¤t l¥n này thß½ng t±n Ðích%s%%#cfff263Huyªt Lßþng Hoà%s%%#cfff263Khí	DWJinJie05_1	DWJinJie05_1	DWJinJie05_1	DWJinJie05_2	DWJinJie05_2	DWJinJie05_2	DWJinJie05_3	DWJinJie05_3	DWJinJie05_3	DWJinJie05_4	15	30	45	60	75	90	105	120	135	150	300	100	10	30900232
17	Quyªt tâm	#{DWJJ_240329_228}	Hi¬u ý mµt kích Su¤t gia tång%s%%#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 3%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 6%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c Cµng SÑ hi¬u ý mµt kích Su¤t gia tång%s%%	DWJinJie05_5	DWJinJie05_5	DWJinJie05_5	DWJinJie05_6	DWJinJie05_6	DWJinJie05_6	DWJinJie05_7	DWJinJie05_7	DWJinJie05_7	DWJinJie05_8	3	6	9	12	15	18	21	24	27	30	60	-1	10	30900233
18	Ngóng nhìn	#{DWJJ_240329_229}	M®nh Trung Su¤t gia tång%s%%#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 3%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 6%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c Cµng sÑ m®nh Trung Su¤t gia tång%s%%	DWJinJie05_13	DWJinJie05_13	DWJinJie05_13	DWJinJie05_14	DWJinJie05_14	DWJinJie05_14	DWJinJie05_15	DWJinJie05_15	DWJinJie05_15	DWJinJie05_16	3	6	9	12	15	18	21	24	27	30	60	-1	10	30900235
19	Hüy bö	#{DWJJ_240329_230}	Hüy bö	Hüy bö	DWJinJie09_1	DWJinJie09_1	DWJinJie09_1	DWJinJie09_2	DWJinJie09_2	DWJinJie09_2	DWJinJie09_3	DWJinJie09_3	DWJinJie09_3	DWJinJie09_4	100	200	300	400	500	600	700	800	900	1000	1000	-1	10	0
20	Xuyên tim	#{DWJJ_240329_231}	Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích thß½ng t±n Th¶i, Hæu 25%%xác su¤t SÑ ThØ thß½ng t±n gia tång%s%%#r#GTHi«n Cá Vån kh¡c ð¥y C¤p Tång Thß½ng hi®u quä Vi 25%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 50%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c Cµng SÑ hi¬u ý mµt kích thß½ng t±n gia tång%s%%	DWJinJie06_9	DWJinJie06_9	DWJinJie06_9	DWJinJie06_10	DWJinJie06_10	DWJinJie06_10	DWJinJie06_11	DWJinJie06_11	DWJinJie06_11	DWJinJie06_12	20	40	60	80	100	130	160	190	220	250	500	-1	10	30900238
21	Hüy bö	#{DWJJ_240329_232}	Hüy bö	Hüy bö	DWJinJie02_5	DWJinJie02_5	DWJinJie02_5	DWJinJie02_6	DWJinJie02_6	DWJinJie02_6	DWJinJie02_7	DWJinJie02_7	DWJinJie02_7	DWJinJie02_8	3	6	9	12	15	18	21	24	27	30	60	-1	10	0
22	Ai Bång	#{DWJJ_240329_233}	Công kích møc tiêu Th¶i, Ðang tñ thân Giäm Bång Kháng cao h½n møc tiêu Bång Kháng Th¶i, vßþt qua Ðích bµ ph§n Khä dña theo M²i 200: %sÐích tï l® chuy¬n hóa Vi Giäm Bång Kháng hÕn cu¯i, nhi«u nh¤t nh§n ðßþc 16Ði¬m Giäm Bång Kháng hÕn cu¯i#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 200: 1, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 200: 2	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng Giäm Bång Kháng hÕn cu¯i tï l® Vi 200: %s	DWJinJie06_13	DWJinJie06_13	DWJinJie06_13	DWJinJie06_14	DWJinJie06_14	DWJinJie06_14	DWJinJie06_15	DWJinJie06_15	DWJinJie06_15	DWJinJie06_16	1	2	3	4	5	6	7	8	9	10	20	-1	10	30900239
23	Kh¤p Hoä	#{DWJJ_240329_234}	Công kích møc tiêu Th¶i, Ðang tñ thân Giäm Hoä Kháng cao h½n møc tiêu Hoä Kháng Th¶i, vßþt qua Ðích bµ ph§n Khä dña theo M²i 200: %sÐích tï l® chuy¬n hóa Vi Giäm Hoä Kháng hÕn cu¯i, nhi«u nh¤t nh§n ðßþc 16Ði¬m Giäm Hoä Kháng hÕn cu¯i#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 200: 1, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 200: 2	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng Giäm Hoä Kháng hÕn cu¯i tï l® Vi 200: %s	DWJinJie07_1	DWJinJie07_1	DWJinJie07_1	DWJinJie07_2	DWJinJie07_2	DWJinJie07_2	DWJinJie07_3	DWJinJie07_3	DWJinJie07_3	DWJinJie07_4	1	2	3	4	5	6	7	8	9	10	20	-1	10	30900240
24	Bi Huy«n	#{DWJJ_240329_235}	Công kích møc tiêu Th¶i, Ðang tñ thân Giäm Huy«n Kháng cao h½n møc tiêu Huy«n Kháng Th¶i, vßþt qua Ðích bµ ph§n Khä dña theo M²i 200: %sÐích tï l® chuy¬n hóa Vi Giäm Huy«n Kháng hÕn cu¯i, nhi«u nh¤t nh§n ðßþc 16Ði¬m Giäm Huy«n Kháng hÕn cu¯i#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 200: 1, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 200: 2	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng Giäm Huy«n Kháng hÕn cu¯i tï l® Vi 200: %s	DWJinJie07_5	DWJinJie07_5	DWJinJie07_5	DWJinJie07_6	DWJinJie07_6	DWJinJie07_6	DWJinJie07_7	DWJinJie07_7	DWJinJie07_7	DWJinJie07_8	1	2	3	4	5	6	7	8	9	10	20	-1	10	30900241
25	Thê Ðµc	#{DWJJ_240329_236}	Công kích møc tiêu Th¶i, Ðang tñ thân Giäm Ðµc Kháng cao h½n møc tiêu Ðµc Kháng Th¶i, vßþt qua Ðích bµ ph§n Khä dña theo M²i 200: %sÐích tï l® chuy¬n hóa Vi Giäm Ðµc Kháng hÕn cu¯i, nhi«u nh¤t nh§n ðßþc 16Ði¬m Giäm Ðµc Kháng hÕn cu¯i#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 200: 1, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 200: 2	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng Giäm Ðµc Kháng hÕn cu¯i tï l® Vi 200: %s	DWJinJie07_9	DWJinJie07_9	DWJinJie07_9	DWJinJie07_10	DWJinJie07_10	DWJinJie07_10	DWJinJie07_11	DWJinJie07_11	DWJinJie07_11	DWJinJie07_12	1	2	3	4	5	6	7	8	9	10	20	-1	10	30900242
26	Vô änh	#{DWJJ_240329_237}	Thi¬m T¸ Su¤t gia tång%s%%#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 3%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 6%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c Cµng SÑ Thi¬m T¸ Su¤t gia tång%s%%	DWJinJie02_9	DWJinJie02_9	DWJinJie02_9	DWJinJie02_10	DWJinJie02_10	DWJinJie02_10	DWJinJie02_11	DWJinJie02_11	DWJinJie02_11	DWJinJie02_12	3	6	9	12	15	18	21	24	27	30	60	-1	10	30900223
27	Bª TÑc	#{DWJJ_240329_238}	Tñ thân phóng thích Ðích Phong Huy®t hi®u quä liên tøc th¶i gian gia tång%s%%#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 10%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 20%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng Phong Huy®t hi®u quä liên tøc th¶i gian gia tång%s%%	DWJinJie09_5	DWJinJie09_5	DWJinJie09_5	DWJinJie09_6	DWJinJie09_6	DWJinJie09_6	DWJinJie09_7	DWJinJie09_7	DWJinJie09_7	DWJinJie09_8	10	20	30	40	50	60	70	80	90	100	200	-1	10	30900248
28	Chªt cÑng	#{DWJJ_240329_239}	Tñ thân phóng thích Ðích Tê Li®t hi®u quä liên tøc th¶i gian gia tång%s%%#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 10%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 20%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng Tê Li®t hi®u quä liên tøc th¶i gian gia tång%s%%	DWJinJie09_9	DWJinJie09_9	DWJinJie09_9	DWJinJie09_10	DWJinJie09_10	DWJinJie09_10	DWJinJie09_11	DWJinJie09_11	DWJinJie09_11	DWJinJie09_12	10	20	30	40	50	60	70	80	90	100	200	-1	10	30900249
29	Dao DÕ	#{DWJJ_240329_240}	Tñ thân phóng thích Ðích Th¤t Minh hi®u quä liên tøc th¶i gian gia tång%s%%#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 10%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 20%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng Th¤t Minh hi®u quä liên tøc th¶i gian gia tång%s%%	DWJinJie09_13	DWJinJie09_13	DWJinJie09_13	DWJinJie09_14	DWJinJie09_14	DWJinJie09_14	DWJinJie09_15	DWJinJie09_15	DWJinJie09_15	DWJinJie09_16	10	20	30	40	50	60	70	80	90	100	200	-1	10	30900250
30	Vînh C¯	#{DWJJ_240329_241}	Tñ thân phóng thích Ðích phong ¤n hi®u quä liên tøc th¶i gian gia tång%s%%#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 10%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 20%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng phong ¤n hi®u quä liên tøc th¶i gian gia tång%s%%	DWJinJie10_1	DWJinJie10_1	DWJinJie10_1	DWJinJie10_2	DWJinJie10_2	DWJinJie10_2	DWJinJie10_3	DWJinJie10_3	DWJinJie10_3	DWJinJie10_4	10	20	30	40	50	60	70	80	90	100	200	-1	10	30900251
31	Tän Khí	#{DWJJ_240329_242}	Tñ thân phóng thích Ðích Tän công hi®u Quä liên tøc th¶i gian gia tång%s%%#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 10%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 20%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng Tän công hi®u Quä liên tøc th¶i gian gia tång%s%%	DWJinJie10_5	DWJinJie10_5	DWJinJie10_5	DWJinJie10_6	DWJinJie10_6	DWJinJie10_6	DWJinJie10_7	DWJinJie10_7	DWJinJie10_7	DWJinJie10_8	10	20	30	40	50	60	70	80	90	100	200	-1	10	30900252
32	Thông MÕch	#{DWJJ_240329_243}	Giäm b¾t tñ thân b¸ vây Phong Huy®t trÕng thái Th¶i%s%%Ðích liên tøc th¶i gian#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 15%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 30%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng ðã b¸ Phong Huy®t hi®u quä liên tøc th¶i gian giäm b¾t%s%%	DWJinJie02_13	DWJinJie02_13	DWJinJie02_13	DWJinJie02_14	DWJinJie02_14	DWJinJie02_14	DWJinJie02_15	DWJinJie02_15	DWJinJie02_15	DWJinJie02_16	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900224
33	Phøc Ki®n	#{DWJJ_240329_244}	Giäm b¾t tñ thân b¸ vây Tê Li®t trÕng thái Th¶i%s%%Ðích liên tøc th¶i gian#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 15%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 30%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng ðã b¸ Tê Li®t hi®u quä liên tøc th¶i gian giäm b¾t%s%%	DWJinJie03_1	DWJinJie03_1	DWJinJie03_1	DWJinJie03_2	DWJinJie03_2	DWJinJie03_2	DWJinJie03_3	DWJinJie03_3	DWJinJie03_3	DWJinJie03_4	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900225
34	Trøc Quang	#{DWJJ_240329_245}	Giäm b¾t tñ thân b¸ vây Th¤t Minh trÕng thái Th¶i%s%%Ðích liên tøc th¶i gian#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 15%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 30%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng ðã b¸ Th¤t Minh hi®u quä liên tøc th¶i gian giäm b¾t%s%%	DWJinJie03_5	DWJinJie03_5	DWJinJie03_5	DWJinJie03_6	DWJinJie03_6	DWJinJie03_6	DWJinJie03_7	DWJinJie03_7	DWJinJie03_7	DWJinJie03_8	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900226
35	Phá C¤m	#{DWJJ_240329_246}	Giäm b¾t tñ thân b¸ vây phong ¤n trÕng thái Th¶i%s%%Ðích liên tøc th¶i gian#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 15%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 30%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng ðã b¸ phong ¤n hi®u quä liên tøc th¶i gian giäm b¾t%s%%	DWJinJie03_9	DWJinJie03_9	DWJinJie03_9	DWJinJie03_10	DWJinJie03_10	DWJinJie03_10	DWJinJie03_11	DWJinJie03_11	DWJinJie03_11	DWJinJie03_12	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900227
