INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING
17	2	10	5	Lão Tam Hoàn(Ngû)	Ðánh bÕi 5ThÑ Dã NgoÕi Phï TrÕi Trung Ðích S½n TrÕi ÐÕi Vß½ng	set:SalaryMission image:SalaryMission_6	5	20	2	1	62	162	Ti«n Hoành Vû	35	#{ZHY_210301_45}
18	2	11	1	Tân Tam Hoàn(Nh¤t)	Ðánh bÕi 1ThÑ Dung Nham Chi Ð¸a Trung Ðích Hoä Di®m Yêu Ma	set:SalaryMission image:SalaryMission_5	1	20	2	246	295	68	Hà Duy®t	75	#{ZHY_210301_46}
19	2	11	2	Tân Tam Hoàn(Nh¸)	Ðánh bÕi 2ThÑ Dung Nham Chi Ð¸a Trung Ðích Hoä Di®m Yêu Ma	set:SalaryMission image:SalaryMission_5	2	20	2	246	295	68	Hà Duy®t	75	#{ZHY_210301_46}
20	2	11	3	Tân Tam Hoàn(Tam)	Ðánh bÕi 3ThÑ Dung Nham Chi Ð¸a Trung Ðích Hoä Di®m Yêu Ma	set:SalaryMission image:SalaryMission_5	3	20	2	246	295	68	Hà Duy®t	75	#{ZHY_210301_46}
21	2	11	4	Tân Tam Hoàn(TÑ)	Ðánh bÕi 4ThÑ Dung Nham Chi Ð¸a Trung Ðích Hoä Di®m Yêu Ma	set:SalaryMission image:SalaryMission_5	4	20	2	246	295	68	Hà Duy®t	75	#{ZHY_210301_46}
22	2	11	5	Tân Tam Hoàn(Ngû)	Ðánh bÕi 5ThÑ Dung Nham Chi Ð¸a Trung Ðích Hoä Di®m Yêu Ma	set:SalaryMission image:SalaryMission_5	5	20	2	246	295	68	Hà Duy®t	75	#{ZHY_210301_46}
23	2	12	1	Thäo phÕt Yªn TØ ‘(Nh¤t)	Ðánh bÕi 1ThÑ thäo phÕt Yªn TØ ‘ Trung Ðích Mµ Dung Phøc	set:LongZhengWuZai_Icon1 image:LongZhengWuZai_Icon1_16	1	40	2	4	70	119	Lý Cß½ng	60	#{ZHY_210301_47}
24	2	12	2	Thäo phÕt Yªn TØ ‘(Nh¸)	Ðánh bÕi 2ThÑ thäo phÕt Yªn TØ ‘ Trung Ðích Mµ Dung Phøc	set:LongZhengWuZai_Icon1 image:LongZhengWuZai_Icon1_16	2	40	2	4	70	119	Lý Cß½ng	60	#{ZHY_210301_47}
25	2	12	3	Thäo phÕt Yªn TØ ‘(Tam)	Ðánh bÕi 3ThÑ thäo phÕt Yªn TØ ‘ Trung Ðích Mµ Dung Phøc	set:LongZhengWuZai_Icon1 image:LongZhengWuZai_Icon1_16	3	40	2	4	70	119	Lý Cß½ng	60	#{ZHY_210301_47}
26	2	13	1	Tr§n chiªn m· màn Phiêu Mi¬u Phong(Nh¤t)	Ðánh bÕi 1ThÑ tr§n chiªn m· màn Phiêu Mi¬u Phong Trung Ðích Lý Thu Thüy	set:SalaryMission image:SalaryMission_15	1	30	2	246	193	224	Trình Thanh Sß½ng	75	#{ZHY_210301_48}
27	2	13	2	Tr§n chiªn m· màn Phiêu Mi¬u Phong(Nh¸)	Ðánh bÕi 2ThÑ tr§n chiªn m· màn Phiêu Mi¬u Phong Trung Ðích Lý Thu Thüy	set:SalaryMission image:SalaryMission_15	2	30	2	246	193	224	Trình Thanh Sß½ng	75	#{ZHY_210301_48}
28	2	14	1	Khiêu chiªn Phiêu Mi¬u Phong(Nh¤t)	Ðánh bÕi 1ThÑ khiêu chiªn Phiêu Mi¬u Phong Trung Ðích Lý Thu Thüy	set:SalaryMission image:SalaryMission_15	1	60	2	246	193	224	Trình Thanh Sß½ng	90	#{ZHY_210301_49}
29	2	14	2	Khiêu chiªn Phiêu Mi¬u Phong(Nh¸)	Ðánh bÕi 2ThÑ khiêu chiªn Phiêu Mi¬u Phong Trung Ðích Lý Thu Thüy	set:SalaryMission image:SalaryMission_15	2	60	2	246	193	224	Trình Thanh Sß½ng	90	#{ZHY_210301_49}
30	2	14	3	Khiêu chiªn Phiêu Mi¬u Phong(Tam)	Ðánh bÕi 3ThÑ khiêu chiªn Phiêu Mi¬u Phong Trung Ðích Lý Thu Thüy	set:SalaryMission image:SalaryMission_15	3	60	2	246	193	224	Trình Thanh Sß½ng	90	#{ZHY_210301_49}
31	2	16	1	ThuÖ Nguy®t S½n Trang(Nh¤t)	Ðánh bÕi 1ThÑ ThuÖ Nguy®t S½n Trang Trung Ðích Gia Lu§t Ho¢ng Hñu	set:Huodong_12 image:Huodong_12_9	1	80	2	1	129	107	Th¦m dÕ vû	80	#{ZHY_210301_51}
32	2	16	2	ThuÖ Nguy®t S½n Trang(Nh¸)	Ðánh bÕi 2ThÑ ThuÖ Nguy®t S½n Trang Trung Ðích Gia Lu§t Ho¢ng Hñu	set:Huodong_12 image:Huodong_12_9	2	80	2	1	129	107	Th¦m dÕ vû	80	#{ZHY_210301_51}
33	3	17	1	Ðánh lén môn phái(Nh¤t)	Hoàn thành 1ThÑ ðánh lén môn phái	set:Huodong_9 image:Huodong_9_2	1	20	3	-1	-1	-1	#{ZHY_210301_26}	35	#{ZHY_210301_52}
34	3	17	2	Ðánh lén môn phái(Nh¸)	Hoàn thành 2ThÑ ðánh lén môn phái	set:Huodong_9 image:Huodong_9_2	2	20	3	-1	-1	-1	#{ZHY_210301_26}	35	#{ZHY_210301_52}
35	3	18	1	T£c Binh xâm l¤n(Nh¤t)	Hoàn thành 1ThÑ T£c Binh xâm l¤n	set:SalaryMission image:SalaryMission_4	1	20	3	-1	-1	-1	#{ZHY_210301_27}	35	#{ZHY_210301_53}
36	3	18	2	T£c Binh xâm l¤n(Nh¸)	Hoàn thành 2ThÑ T£c Binh xâm l¤n	set:SalaryMission image:SalaryMission_4	2	20	3	-1	-1	-1	#{ZHY_210301_27}	35	#{ZHY_210301_53}
37	3	19	1	Tàng Kinh Các(Nh¤t)	Hoàn thành 1ThÑ Tàng Kinh Các	set:Huodong_9 image:Huodong_9_4	1	20	3	-1	-1	-1	#{ZHY_210301_28}	40	#{ZHY_210301_54}
38	3	19	2	Tàng Kinh Các(Nh¸)	Hoàn thành 2ThÑ Tàng Kinh Các	set:Huodong_9 image:Huodong_9_4	2	20	3	-1	-1	-1	#{ZHY_210301_28}	40	#{ZHY_210301_54}
39	3	20	1	Ván c¶	Ðánh bÕi 1ThÑ Trân Lung KÏ Cøc Trung Ðích Vi­n C± KÏ H°n	set:SalaryMission image:SalaryMission_11	1	30	2	2	274	95	Trß½ng D¸ch Qu¯c	35	#{ZHY_210301_55}
40	3	21	1	Lâu Lan t¥m bäo	Ðánh bÕi 1ThÑ Lâu Lan Tàng Bäo Ðµng Trung Ðích Tr¤n Bäo Long Vß½ng	set:SalaryMission image:SalaryMission_9	1	30	2	246	162	75	Kim CØu Linh	75	#{ZHY_210301_56}
41	3	22	1	Khoa cØ	Hoàn thành 1ThÑ khoa cØ	set:Huodong_8 image:Huodong_8_16	1	70	2	2	246	229	Kha Mµ Nh¤t	35	#{ZHY_210301_57}
42	4	23	1	Hi®u Trß¶ng lu§n võ	Cùng v¾i Tha thiªu hi®p Vu Hi®u Trß¶ng Trung tiªn hành 1ThÑ lu§n võ	set:CircularTaskTool13 image:CircularTaskTool13_1	1	10	2	0	100	170	Long Bá Thiên	35	#{ZHY_210301_58}
43	4	24	1	Bách biªn s¡c m£t Phä	Hoàn thành 1ThÑ Bách biªn s¡c m£t Phä	set:Buff5 image:Buff5_9	1	10	2	1	168	168	Vån NgÕn Bác	35	#{ZHY_210301_59}
44	4	25	1	Bào Thß½ng(Nh¤t)	Hoàn thành 1ThÑ Bào Thß½ng	set:Huodong image:Huodong_2	1	20	3	-1	-1	-1	#{ZHY_210301_30}	40	#{ZHY_210301_60}
45	4	25	2	Bào Thß½ng(Nh¸)	Hoàn thành 2ThÑ Bào Thß½ng	set:Huodong image:Huodong_2	2	20	3	-1	-1	-1	#{ZHY_210301_30}	40	#{ZHY_210301_60}
46	5	26	1	Binh Hành TÑ Tßþng	Tham dñ 1ThÑ Binh Hành TÑ Tßþng	set:Huodong_12 image:Huodong_12_11	1	60	2	1	193	144	Xung Sß ÐÕo	60	#{ZHY_210301_61}
47	5	27	1	ÐÕi hµi thí võ	Tham dñ 1ThÑ lu§n võ ðÕi hµi	set:Huodong image:Huodong_3	1	30	2	1	173	130	Tùy Báo Minh	40	#{ZHY_210301_62}
48	5	28	1	Hoa S½n lu§n kiªm	Tham dñ 1ThÑ Hoa S½n lu§n kiªm	set:Huodong image:Huodong_4	1	30	2	1	193	138	Tô Kiªm Lînh	35	#{ZHY_210301_63}
49	5	29	1	Phßþng hoàng C± Thành tranh ðoÕt Chiªn	Tham dñ 1ThÑ phßþng hoàng C± Thành tranh ðoÕt Chiªn	set:Huodong_3 image:Huodong_3_8	1	40	2	260	150	152	Lí Dã	75	#{ZHY_210301_64}
50	2	30	1	Thanh Khâu Thí Luy®n(Nh¤t)	Ðánh bÕi 1ThÑ Vân Phiêu Phiêu	set:Huodong_14 image:Huodong_14_4	1	50	2	1	135	81	Vân Lan Châu	85	#{ZSFB_20220105_01}
51	2	30	2	Thanh Khâu Thí Luy®n(Nh¸)	Ðánh bÕi 2ThÑ Vân Phiêu Phiêu	set:Huodong_14 image:Huodong_14_4	2	50	2	1	135	81	Vân Lan Châu	85	#{ZSFB_20220105_01}
52	2	31	1	Thanh Khâu Thí Luy®n(khó khån)	Ðánh bÕi 1ThÑ Vân Phiêu Phiêu	set:Huodong_14 image:Huodong_14_4	1	100	2	1	135	81	Vân Lan Châu	85	#{ZSFB_20220105_151}
53	2	32	1	NhÕn Môn lu§n võ	Hoàn thành 1ThÑ NhÕn Môn lu§n võ	set:Huodong_14 image:Huodong_14_11	1	80	2	0	59	95	MÕnh S¤m	60	#{MPCG_191029_279}
54	2	33	1	Thß½ng S½n Phá Sát	Hoàn thành 1ThÑ Thß½ng S½n Phá Sát	set:Huodong_15 image:Huodong_15_1	1	80	2	2	130	75	Khô Vinh ÐÕi Sß	60	#{ZHY_210301_73}
55	2	15	1	Sát Tinh(Nh¤t)	Ðánh bÕi 1ThÑ Sát Tinh bän sao Trung Ðích cu¯i cùng BOSS	set:SalaryMission image:SalaryMission_12	1	30	2	2	130	76	Khô Vinh ÐÕi Sß	70	#{ZHY_210301_50}
56	2	15	2	Sát Tinh(Nh¸)	Ðánh bÕi 2ThÑ Sát Tinh bän sao Trung Ðích cu¯i cùng BOSS	set:SalaryMission image:SalaryMission_12	2	30	2	2	130	76	Khô Vinh ÐÕi Sß	70	#{ZHY_210301_50}
57	2	15	3	Sát Tinh(Tam)	Ðánh bÕi 3ThÑ Sát Tinh bän sao Trung Ðích cu¯i cùng BOSS	set:SalaryMission image:SalaryMission_12	3	30	2	2	130	76	Khô Vinh ÐÕi Sß	70	#{ZHY_210301_50}
58	5	34	1	Thiên Giám Tranh Phong	Tham dñ 1ThÑ Thiên Giám Tranh Phong	set:Huodong_15 image:Huodong_15_9	1	60	2	613	109	108	Thanh Diên	85	#{ZHY_230222_1}
59	3	36	1	Huy«n Âm Hµi Võ	Hoàn thành 1ThÑ Huy«n Âm Hµi Võ	set:Buff14 image:Buff14_4	1	40	2	0	59	41	Vß½ng Ngæ Yên	60	#{ZHY_230531_1}
60	3	37	1	C¥m tay Nh§p giang h°	Hoàn thành 1ThÑ c¥m tay Nh§p giang h° hoÕt ðµng Trung Ðích ý trò ch½i	set:Huodong_16 image:Huodong_16_2	1	40	2	0	40	52	Ðoàn Dñ	30	#{SRWF_230329_272}
61	3	38	1	Duyên Ð¸nh Thành LÕc Dß½ng	Hoàn thành 1ThÑ Duyên Ð¸nh Thành LÕc Dß½ng hoÕt ðµng	set:Huodong_15 image:Huodong_15_15	1	40	2	0	43	51	Chung Linh	30	#{JYHD_230331_209}
62	2	39	1	Ngày xßa cänh trong m½	Hoàn thành 1ThÑ ngày xßa cänh trong m½	set:CommonNPCHeader46 image:CommonNPCHeader46_20	1	80	2	2	245	59	Tiêu Phong	65	#{SBRC_20230627_1}
63	2	40	1	Ngày xßa cänh trong m½(khó khån)	Hoàn thành 1ThÑ ngày xßa cänh trong m½(khó khån)	set:CommonNPCHeader46 image:CommonNPCHeader46_20	1	80	2	2	245	59	Tiêu Phong	65	#{SBRC_20230627_1}
64	2	41	1	NhÕn Quan·khång khít Ðµ Ách	Hoàn thành 1ThÑ NhÕn Quan·khång khít Ðµ Ách	set:Huodong_16 image:Huodong_16_7	1	80	2	2	243	56	Täo Ð¸a Th¥n Tång	65	#{YMMJ_230626_1}
