INT	INT	INT	INT	STRING	INT	STRING	STRING
100013	3	411	-1	Ð¸a Tiên Thú	-1	#ebb3e9f#cfd94b0	#Yl?n d¥n#Gh½n ngß¶i#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100014	3	511	-1	Ð¸a th¥n thú	-1	#ebb3e9f#cfd94b0	#Yl?n d¥n#Gh½n ngß¶i#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100020	3	222	-1	Thiên Thú	-1	#e195e1a#c72d27c	#Yl?n d¥n#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100021	3	322	-1	Thiên linh thú	-1	#e195e1a#c72d27c	#Yl?n d¥n#Gsiêu phàm thoát tøc#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100022	3	422	-1	Thiên Thánh Thú	-1	#ebb3e9f#cfd94b0	#Yl?n d¥n, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100023	3	522	-1	Thiên tiên Thú	-1	#ebb3e9f#cfd94b0	#Yl?n d¥n#Gsiêu phàm thoát tøc#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100024	3	622	-1	Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	#Yl?n d¥n#Gsiêu phàm thoát tøc#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100030	3	333	-1	Nguyên Thú	-1	#e195e1a#c72d27c	#Yl?n d¥n#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100031	3	433	-1	Nguyên linh thú	-1	#ebb3e9f#cfd94b0	#Yl?n d¥n#GThiên HÕ Vô Song#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100032	3	533	-1	Nguyên Thánh Thú	-1	#ebb3e9f#cfd94b0	#Yl?n d¥n#GThiên HÕ Vô Song#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100033	3	633	-1	Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	#Yl?n d¥n, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100034	3	733	-1	Nguyên th¥n Thú	-1	#e96491f#gFF0FA0	#Yl?n d¥n#GThiên HÕ Vô Song#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100040	3	444	-1	Siêu Thú	-1	#ebb3e9f#cfd94b0	#Yl?n d¥n#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100041	3	544	-1	Siêu linh thú	-1	#ebb3e9f#cfd94b0	#Yl?n d¥n#Gvang dµi c± kim#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100042	3	644	-1	Siêu Thánh Thú	-1	#e96491f#gFF0FA0	#Yl?n d¥n#Gvang dµi c± kim#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100043	3	744	-1	Siêu Tiên Thú	-1	#e96491f#gFF0FA0	#Yl?n d¥n#Gvang dµi c± kim#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100044	3	844	-1	Siêu Th¥n Thú	-1	#e96491f#gFF0FA0	#Yl?n d¥n, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100100	3	210	-1	Trß¶ng sinh Thú	-1	#e195e1a#c72d27c	#YnGµ tính#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100101	3	310	-1	Trß¶ng sinh linh thú	-1	#e195e1a#c72d27c	#YnGµ tính, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100102	3	410	-1	Trß¶ng sinh Thánh Thú	-1	#ebb3e9f#cfd94b0	#YnGµ tính#Gh½n ngß¶i#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100103	3	510	-1	Trß¶ng sinh Tiên Thú	-1	#ebb3e9f#cfd94b0	#YnGµ tính#Gh½n ngß¶i#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100104	3	610	-1	Trß¶ng sinh th¥n thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gh½n ngß¶i#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100110	3	321	-1	Trß¶ng sinh Ð¸a Thú	-1	#e195e1a#c72d27c	#YnGµ tính, l¾n d¥n#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100111	3	421	-1	Trß¶ng sinh ð¸a linh Thú	-1	#ebb3e9f#cfd94b0	#YnGµ tính, l¾n d¥n, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100112	3	521	-1	Trß¶ng sinh Ð¸a Thánh Thú	-1	#ebb3e9f#cfd94b0	#YnGµ tính, l¾n d¥n#Gh½n ngß¶i#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100113	3	621	-1	Trß¶ng sinh Ð¸a Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#Gh½n ngß¶i#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100114	3	721	-1	Trß¶ng sinh Ð¸a th¥n thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#Gh½n ngß¶i#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100120	3	432	-1	Trß¶ng sinh Thiên Thú	-1	#ebb3e9f#cfd94b0	#YnGµ tính#Gh½n ngß¶i#Y, l?n d¥n#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100121	3	532	-1	Trß¶ng sinh Thiên linh thú	-1	#ebb3e9f#cfd94b0	#YnGµ tính, tß ch¤t#Gh½n ngß¶i#Y, l?n d¥n#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100122	3	632	-1	Trß¶ng sinh Thiên Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gh½n ngß¶i#Y, l?n d¥n, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100123	3	732	-1	Trß¶ng sinh thiên tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gh½n ngß¶i#Y, l?n d¥n#Gsiêu phàm thoát tøc#Y, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100124	3	832	-1	Trß¶ng sinh Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gh½n ngß¶i#Y, l?n d¥n#Gsiêu phàm thoát tøc#Y, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100130	3	543	-1	Trß¶ng sinh Nguyên Thú	-1	#ebb3e9f#cfd94b0	#YnGµ tính#Gh½n ngß¶i#Y, l?n d¥n#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100131	3	643	-1	Trß¶ng sinh Nguyên linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#Gh½n ngß¶i#Y, l?n d¥n#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100132	3	743	-1	Trß¶ng sinh Nguyên Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gh½n ngß¶i#Y, l?n d¥n#GThiên HÕ Vô Song#Y, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100133	3	843	-1	Trß¶ng sinh Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gh½n ngß¶i#Y, l?n d¥n, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100134	3	943	-1	Trß¶ng sinh nguyên th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gh½n ngß¶i#Y, l?n d¥n#GThiên HÕ Vô Song#Y, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100140	3	654	-1	Trß¶ng sinh Siêu Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gh½n ngß¶i#Y, l?n d¥n#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100141	3	754	-1	Trß¶ng sinh Siêu linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#Gh½n ngß¶i#Y, l?n d¥n#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100142	3	854	-1	Trß¶ng sinh Siêu Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gh½n ngß¶i#Y, l?n d¥n#Gvang dµi c± kim#Y, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100143	3	954	-1	Trß¶ng sinh Siêu Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gh½n ngß¶i#Y, l?n d¥n#Gvang dµi c± kim#Y, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100144	3	1054	-1	Trß¶ng sinh Siêu Th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gh½n ngß¶i#Y, l?n d¥n, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100200	3	420	-1	Ngàn nåm Thú	-1	#ebb3e9f#cfd94b0	#YnGµ tính#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100201	3	520	-1	Ngàn nåm linh thú	-1	#ebb3e9f#cfd94b0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100202	3	620	-1	Ngàn nåm Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100203	3	720	-1	Ngàn nåm Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100204	3	820	-1	Ngàn nåm th¥n thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100210	3	531	-1	Ngàn nåm Ð¸a Thú	-1	#ebb3e9f#cfd94b0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, l?n d¥n#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100211	3	631	-1	Ngàn nåm ð¸a linh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, l?n d¥n, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100212	3	731	-1	Ngàn nåm Ð¸a Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#Gsiêu phàm thoát tøc#Y, l?n d¥n#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100213	3	831	-1	Ngàn nåm Ð¸a Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, l?n d¥n#Gh½n ngß¶i#Y, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100214	3	931	-1	Ngàn nåm Ð¸a th¥n thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, l?n d¥n#Gh½n ngß¶i#Y, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100220	3	642	-1	Ngàn nåm Thiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100221	3	742	-1	Ngàn nåm Thiên linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#Gsiêu phàm thoát tøc#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100222	3	842	-1	Thiên niên thiên thánh thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100223	3	942	-1	Ngàn nåm thiên tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#Gsiêu phàm thoát tøc#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100224	3	1042	-1	Ngàn nåm Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#Gsiêu phàm thoát tøc#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100230	3	753	-1	Ngàn nåm Nguyên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, l?n d¥n#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100231	3	853	-1	Ngàn nåm Nguyên linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, l?n d¥n#Thiên HÕ Vô Song#Y, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100232	3	953	-1	Ngàn nåm Nguyên Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#Gsiêu phàm thoát tøc#Y, l?n d¥n#Thiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100233	3	1053	-1	Ngàn nåm Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, l?n d¥n, tß ch¤t#Thiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100234	3	1153	-1	Ngàn nåm nguyên th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, l?n d¥n#Thiên HÕ Vô Song#Y, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100240	3	864	-1	Ngàn nåm Siêu Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, l?n d¥n#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100241	3	964	-1	Ngàn nåm Siêu linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, l?n d¥n#vang dµi c± kim#Y, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100242	3	1064	-1	Ngàn nåm Siêu Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#Gsiêu phàm thoát tøc#Y, l?n d¥n#vang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100243	3	1164	-1	Ngàn nåm Siêu Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, l?n d¥n#vang dµi c± kim#Y, tß ch¤t#GThiên HÕ Vô Song Qu¥n#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100244	3	1264	-1	Ngàn nåm Siêu Th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gsiêu phàm thoát tøc#Y, l?n d¥n, tß ch¤t#vang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100300	3	630	-1	CØu Chuy¬n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100301	3	730	-1	CØu Chuy¬n linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100302	3	830	-1	CØu Chuy¬n Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100303	3	930	-1	CØu Chuy¬n Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100304	3	1030	-1	CØu Chuy¬n th¥n thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100310	3	741	-1	CØu Chuy¬n Ð¸a Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, l?n d¥n#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100311	3	841	-1	CØu Chuy¬n ð¸a linh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, l?n d¥n, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100312	3	941	-1	CØu Chuy¬n Ð¸a Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, l?n d¥n#Gh½n ngß¶i#Y, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100313	3	1041	-1	CØu Chuy¬n Ð¸a Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#GThiên HÕ Vô Song#Y, l?n d¥n#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
