INT	INT	INT	STRING	STRING	STRING
22	22	22	#GTRß¶ng BÕch S½n#WĞích#RHoàn Nhan Kha Lı B¯#W[117, 108], #RHoàn Nhan Ngµt Thu§t#W[118, 107], #RĞ° Thi«n Phúc T¤n#W[147, 123], #RHoàn Nhan Oát Li B¤t#W[166, 94], #RHoàn Nhan Niêm Mµt Hát#W[147, 120], #RHoàn Nhan Doanh Ca#W[147, 121], #RHoàn Nhan A C¯t Ğä#W[234, 78]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YNæ Oa Khoáng, Liên TØ, Khô Mµc Xuân, Løc Tuyªn Ngß, Vån Xß½ng Ngß#W. Bän ğ¸a quái v§t Hæu: #RĞông B¡c H±#W, c„p b§c 85~C¤p 91 t÷a ğµ Vi[67, 273]. #RTuyªt Nhân#W, c¤p b§c 86~C¤p 92 t÷a ğµ Vi[142, 277]. #RH¡c Hùng#W, c¤p b§c 87~C¤p 93 t÷a ğµ Vi[60, 169]. #RTuyªt S½n Li®p Nhân#W, c¤p b§c 89~C¤p 95 t÷a ğµ Vi[255, 253]. #RLiêu Nha Tuyªt Nhân#W, c¤p b§c 88~C¤p 94 t÷a ğµ Vi[170, 63].		
23	23	23	#GHOàng Long Phü#WĞích#RThác BÕt Vån#W[163, 191], #RPhù T¸ch Nhan#W[166, 204], #RLßu NgÕo Thiên#W[190, 48], #RMµ Dung Thiên Lang#W[46, 276], #RVû Vån Tô#W[155, 195]XØ s¨ có nhi®m vø. #GTuyªt Lang H°#WĞích t÷a ğµ Th¸[210, 261]. Bän ğ¸a sän xu¤t#YNæ Oa Khoáng, Liên TØ, Khô Mµc Xuân#W. Bän ğ¸a quái v§t Hæu: #RĞÕi H¡c Hùng#W, c„p b§c 97~C¤p 100 t÷a ğµ Vi[85, 254]. #RTuyªt S½n Mãng Cái#W, c¤p b§c 98~C¤p 100 t÷a ğµ Vi[73, 187]. #RTuyªt S½n Lang#W, c¤p b§c 99~C¤p 100 t÷a ğµ Vi[160, 131]. #RTrùng Giáp Mãng Cái#W, c¤p b§c 100~C¤p 100 t÷a ğµ Vi[73, 88]. #RBa Luân Mãng Cái#W, c¤p b§c 100~C¤p 100 t÷a ğµ Vi[275, 194].		
24	24	24	#GNH¸ Häi#WĞích#RĞao Nghiêu#W[207, 49], #RĞao ğá ğ©p#W[57, 73], #RTát Ninh#W[96, 126]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#Yqu£ng s¡t, Ngân Khoáng, Tì Ba, Cam Thäo, Kim Ngân Hoa, Liên Ngß, Lô Ngß#W. #GÔn Tuy«n Ğµng#WĞích t÷a ğµ Th¸[269, 102]. Bän ğ¸a quái v§t Hæu: #RHoa Ban Báo#W, c„p b§c 22~C¤p 28 t÷a ğµ Vi[225, 77]. #RXích Cß¾c Dã Nhân#W, c¤p b§c 23~C¤p 29 t÷a ğµ Vi[153, 127]. #RLang Tµc Thám TØ#W, c¤p b§c 24~C¤p 30 t÷a ğµ Vi[229, 146]. #RPhong Lang#W, c¤p b§c 25~C¤p 31 t÷a ğµ Vi[189, 195]. #RLang Tµc Kinh CÑc SÑ#W, c¤p b§c 26~C¤p 32 t÷a ğµ Vi[134, 276]. #RLang Tµc Chiªn Sî#W, c¤p b§c 27~C¤p 33 t÷a ğµ Vi[99, 121].		
25	25	25	#GTHß½ng S½n#WĞích#RTát Ğô#W[195, 113], #RTát Tang#W[202, 108], #RTát Mã#W[155, 205]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YKim Khoáng, huy«n thiªt Khoáng, Phòng Phong, Hß½ng Nhu, Hoàng Liên, H¡c Ngß, Thu Ğao Ngß#W. #GDã Nhân Câu#WĞích t÷a ğµ Th¸[270, 128]bän ğ¸a quái v§t Hæu: #RLang Tµc Chiªn Sî#W, c„p b§c 37~C¤p 43 t÷a ğµ Vi[158, 70]. #RTuyªt Lang#W, c¤p b§c 38~C¤p 44 t÷a ğµ Vi[47, 104]. #RSoa Y Dã Nhân#W, c¤p b§c 39~C¤p 45 t÷a ğµ Vi[57, 270]. #RLang Tµc Th¥n Hán#W, c¤p b§c 40~C¤p 46 t÷a ğµ Vi[260, 264]. #RLang Tµc Th± Tß#W, c¤p b§c 41~C¤p 47 t÷a ğµ Vi[262, 198]. #RLang Tµc Ğ¥u Nhân#W, c¤p b§c 42~C¤p 48 t÷a ğµ Vi[138, 236].		
26	26	26	#GTHÕch Lâm#WĞích#RTr¸nh Huy«n#W[182, 163], #RDß½ng Liên TØ#W[180, 160], #RDß½ng Thiªt Tín#W[240, 181], #RT¥n H°ng Miên#W[45, 44]XØ s¨ có nhi®m vø. #GThiên Khanh Thø Ğµng#WĞích t÷a ğµ Th¸[106, 262]. Bän ğ¸a sän xu¤t#YPhï Thuı Khoáng, Chân Vû Khoáng, Ğông Trùng HÕ Thäo, Long Quy TØ, Ngân Ngß, Câu Ngß#W. Bän ğ¸a quái v§t Hæu: #RTông Hùng#W, c„p b§c 52~C¤p 58 t÷a ğµ Vi[256, 38]. #RHoa Cß½ng ThÕch Sß#W, c¤p b§c 54~C¤p 60 t÷a ğµ Vi[219, 269]. #RLang Thù#W, c¤p b§c 53~C¤p 59 t÷a ğµ Vi[170, 61]. #RHoa Cß½ng ThÕch Nhân#W, c¤p b§c 55~C¤p 61 t÷a ğµ Vi[66, 123]. #RDi®p Nham ThÕch Nhân#W, c¤p b§c 56~C¤p 62 t÷a ğµ Vi[46, 160]. #RThÕch Nhân Y¬n Sß#W, c¤p b§c 57~C¤p 63 t÷a ğµ Vi[179, 264].		
27	27	27	#GNG÷c Khê#WĞích#RLa B£c#W[46, 51], #RSách Mçu LÕp#W[49, 51], #RA Y Na#W[277, 44], #RC± L² LÕp#W[276, 45]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YPhøng Huyªt Khoáng, Næ Oa Khoáng, Liên TØ, Khô Mµc Xuân, Løc Tuyªn Ngß, Vån Xß½ng Ngß#W. #GĞào Hoa Nguyên#WĞích t÷a ğµ Th¸[70, 195]. Bän ğ¸a quái v§t Hæu: #RK¸ch Ğµc Lang Thù#W, c„p b§c 67~C¤p 73 t÷a ğµ Vi[112, 39]. #RVân Mçu ThÕch Nhân#W, c¤p b§c 68~C¤p 74 t÷a ğµ Vi[90, 116]. #RLong Huyªt ThÕch Nhân#W, c¤p b§c 69~C¤p 75 t÷a ğµ Vi[43, 178]. #RNæ Oa ThÕch Nhân#W, c¤p b§c 70~C¤p 76 t÷a ğµ Vi[163, 197]. #RY¬n Sß Hµ Pháp#W, c¤p b§c 71~C¤p 77 t÷a ğµ Vi[200, 200]. #RĞÕi Y¬n Sß#W, c¤p b§c 72~C¤p 78 t÷a ğµ Vi[275, 275].		
28	28	28	#GNAm Chiªu#WĞích#RAva#W[151, 49], #RA Vßşng#W[151, 67], #RDß½ng Minh#W[152, 222], #RBÕch Lan#W[147, 47], #RBÕch Cänh Võ#W[128, 50]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YNæ Oa Khoáng, Liên TØ, Khô Mµc Xuân, Løc Tuyªn Ngß, Vån Xß½ng Ngß#W. Bän ğ¸a quái v§t Hæu: #RTùng Lâm Phong#W, c„p b§c 82~C¤p 88 t÷a ğµ Vi[84, 48]. #RH¡c Träo Báo#W, c¤p b§c 81~C¤p 87 t÷a ğµ Vi[274, 77]. #RĞ¢ng Giáp T£c#W, c¤p b§c 83~C¤p 89 t÷a ğµ Vi[43, 146]. #RĞ¢ng Giáp Dûng Sî#W, c¤p b§c 84~C¤p 90 t÷a ğµ Vi[149, 178]. #RH¡c Miêu Chiªn Sî#W, c¤p b§c 85~C¤p 91 t÷a ğµ Vi[255, 258].		
29	29	29	#GMIêu Cß½ng#WĞích#RA Vû#W[182, 265], #RA Tùng#W[201, 256]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YNæ Oa Khoáng, Liên TØ, Khô Mµc Xuân, Løc Tuyªn Ngß, Vån Xß½ng Ngß#W. Bän ğ¸a quái v§t Hæu: #RTräo TrÕch NgÕc Ngß#W, c„p b§c 93~C¤p 99 t÷a ğµ Vi[97, 44]. #RVînh DÕ Tu La#W, c¤p b§c 94~C¤p 100 t÷a ğµ Vi[161, 53]. #RM£c Kiªp Tu La#W, c¤p b§c 95~C¤p 100 t÷a ğµ Vi[161, 201]. #RA T¸ Tu La#W, c¤p b§c 97~C¤p 100 t÷a ğµ Vi[272, 90]. #RÁch Tu La#W, c¤p b§c 96~C¤p 100 t÷a ğµ Vi[278, 230].		
30	30	30	#GTÂy H°#WĞích#RTrß½ng Thúc DÕ#W[155, 55], #RMã Hán#W[187, 256], #RTô Phi#W[164, 262], #RKim ĞÕi Kiên#W[141, 47]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YĞ°ng Khoáng, qu£ng s¡t, Xuyên B¯i, Nguyên H°, TÑc Ngß, Ti­n Ngß#W. #GS½n Ğµng Thuy«n ‘#WĞích t÷a ğµ Th¸[48, 230]. Bän ğ¸a quái v§t Hæu: #RHoa Cäng Ğµc Phong#W, c„p b§c 17~C¤p 23 t÷a ğµ Vi[86, 53]. #RThuÖ QuÖ Thám TØ#W, c¤p b§c 18~C¤p 24 t÷a ğµ Vi[200, 133]. #RĞoÕn Ki«u Hoa Yêu#W, c¤p b§c 19~C¤p 25 t÷a ğµ Vi[242, 121]. #RBÕch Ğê Li­u QuÖ#W, c¤p b§c 20~C¤p 26 t÷a ğµ Vi[101, 221]. #RQuy Vân Trang tá ği«n#W, c¤p b§c 21~C¤p 27 t÷a ğµ Vi[72, 191]. #RLong Tïnh ThuÖ T£c#W, c¤p b§c 22~C¤p 28 t÷a ğµ Vi[241, 251].		
31	31	31	#GLOng Tuy«n#WĞích#RÔng Quı Chi#W[151, 121], #RPháp Ni®m#W[207, 63], #RA Thanh#W[51, 115], #RLôi Hoán#W[165, 137]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YHàn Thiªt, Kim Khoáng, Ğ² Tr÷ng, Thß½ng Thu§t, Phøc Linh, Thi®n Ngß, Du Lñc Ngß#W. #GKiªm Trüng#WĞích t÷a ğµ Th¸[174, 273]. Bän ğ¸a quái v§t Hæu: #RLong Tuy«n Báo#W, c„p b§c 32~C¤p 38 t÷a ğµ Vi[63, 221]. #RLan Lµ ThuÖ QuÖ#W, c¤p b§c 33~C¤p 39 t÷a ğµ Vi[97, 217]. #RTung Hoä ThuÖ QuÖ#W, c¤p b§c 34~C¤p 40 t÷a ğµ Vi[79, 104]. #RTÕc Thuy«n ThuÖ QuÖ#W, c¤p b§c 35~C¤p 41 t÷a ğµ Vi[192, 181]. #RQuy Vân Trang Kiªm Sß#W, c¤p b§c 36~C¤p 42 t÷a ğµ Vi[258, 188]. #RThuÖ QuÖ Si Khách#W, c¤p b§c 37~C¤p 43 t÷a ğµ Vi[235, 88].		
32	32	32	#GV Di#WĞích#RTØ Vi#W[195, 42], #RThuÖ Tiên#W[205, 43], #RKhúc Dß½ng#W[194, 52]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YThuÖ Tinh Khoáng, Phï Thuı Khoáng, Ho¡c Hß½ng, H°i Th¥n Thäo, Thü Ô, Xß½ng Ngß, Quang B¯i Ngß#W. #GHoàng Long Ğµng#WĞích t÷a ğµ Th¸[102, 50]. Bän ğ¸a quái v§t Hæu: #RThâm C¯c BÕch Viên#W, c„p b§c 47~C¤p 53 t÷a ğµ Vi[75, 140]. #RBÕch Hoa Tri Thù#W, c¤p b§c 48~C¤p 54 t÷a ğµ Vi[157, 188]. #RS½n Vi®t Chiªn Sî#W, c¤p b§c 49~C¤p 55 t÷a ğµ Vi[203, 236]. #RS½n Vi®t ĞÕo Phï#W, c¤p b§c 50~C¤p 56 t÷a ğµ Vi[138, 40]. #RThø Giáp Tiêu Binh#W, c¤p b§c 51~C¤p 57 t÷a ğµ Vi[277, 73]. #RS½n Vi®t Ğao Khách#W, c¤p b§c 52~C¤p 58 t÷a ğµ Vi[171, 210].		
33	33	33	#GMAi Lînh#WĞích#RTh¦m M£c Tam#W[170, 74], #RThái Dß½ng Hoa#W[195, 48], #RKinh CÑc#W[161, 286], #RĞông Si#W[163, 284], #RChristian#W[169, 240], #RNguy®t Quı#W[192, 70]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YLong Huyªt Khoáng, Phøng Huyªt Khoáng, Linh Chi, Tu¥n Thäo, Osteoglossiformes (C¯t LßŞi Cá), Trân Châu Ngß#W. Bän ğ¸a quái v§t Hæu: #RH°ng Bào Tri Thù#W, c„p b§c 62~C¤p 68 t÷a ğµ Vi[52, 268]. #RTùng Lâm Dã Nhân#W, c¤p b§c 63~C¤p 69 t÷a ğµ Vi[93, 123]. #RS½n Vi®t Tª Tß#W, c¤p b§c 64~C¤p 70 t÷a ğµ Vi[48, 64]. #RB¢ng Dân#W, c¤p b§c 65~C¤p 71 t÷a ğµ Vi[122, 192]. #RS½n Vi®t Hµ Pháp#W, c¤p b§c 66~C¤p 72 t÷a ğµ Vi[234, 41]. #RLßu Kh¤u#W, c¤p b§c 67~C¤p 73 t÷a ğµ Vi[222, 190].		
34	34	34	#GNAm Häi#WĞích#RĞinh Liên Y#W[111, 60], #RHi®p Lßu Phàm#W[115, 58], #RNhÕc Tr÷ng Thu#W[206, 237], #RThÕch Cäm Ğß½ng#W[215, 186]s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YNæ Oa Khoáng, Liên TØ, Khô Mµc Xuân, Løc Tuyªn Ngß, Vån Xß½ng Ngß#W. Bän ğ¸a quái v§t Hæu: #RNam Häi NgÕc Ngß#W, c„p b§c 77~C¤p 83 t÷a ğµ Vi[71, 94]. #RThÕch Lão Nhân#W, c¤p b§c 79~C¤p 85 t÷a ğµ Vi[197, 150]. #RNgÕc Ngß Bang H²n H²n#W, c¤p b§c 78~C¤p 84 t÷a ğµ Vi[114, 65]. #RNgÕc Ngß Bang Tá Thü#W, c¤p b§c 80~C¤p 86 t÷a ğµ Vi[179, 104]. #RNam Häi Häi ĞÕo#W, c¤p b§c 81~C¤p 87 t÷a ğµ Vi[225, 208].		
