INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
10100009	1	1	0	9	0	445	1	-1	-1	TØ Kim Ðao	90	Là loÕi binh khí ðßþc rèn t× TØ kim thÕch ðã qua tôi luy®n, tinh xäo vô cùng.	9950	9950	225	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_4	Ðao Búa	2008	2000	0
10100010	1	1	0	10	0	452	1	-1	-1	Ch¤n Thiên Phü	100	Khi t¤n công, rung chuy¬n ð¤t tr¶i.	16000	16000	237	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_9	Ðao Búa	2009	2000	0
10100021	1	1	0	21	0	113	1	-1	-1	Nhi®m Vø TÕm Th¶i Chiªm Døng	100	C¤p 100 tiêu chu¦n, ðÕi ðao LoÕi.	16000	16000	237	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_11	Ðao Búa	999	2000	0
10100031	1	1	0	31	0	362	1	-1	-1	C¥n Câu Cá	10	C¥n câu cá s½ c¤p	180	180	125	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	MenpaiLiveSkill_13	Công Cø	100	2000	0
10100100	1	1	0	100	0	410	1	-1	-1	ÐÕi Träm Ðao	1	Tân thü vû khí, không có gì giá tr¸. (Hæu Ki®n Ði¬m Kích có th¬ trang b¸)	20	20	114	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_1	Thß½ng B±ng	10	2000	0
10101000	1	1	1	0	0	365	1	-1	-1	Ði¬m Cß½ng Thß½ng	1	Bình thß¶ng trß¶ng thß½ng, Thu¥n Cß½ng tÕo ra. (Hæu Ki®n Ði¬m Kích có th¬ trang b¸)	20	20	114	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_1	Thß½ng B±ng	1	2000	0
10101001	1	1	1	1	0	365	1	-1	-1	Lßþng Ngân Thß½ng	10	Ð¥u thß½ng có màu bÕc, chuôi dài, có lßÞi, là binh khí thích sát có mûi nh÷n có th¬ ðâm thÆng.	180	180	125	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_1	Thß½ng B±ng	2010	2000	0
10101002	1	1	1	2	0	369	1	-1	-1	NhÕn Linh Thß½ng	20	Ð¥u thß½ng ðßþc làm b¢ng thép, gi¯ng nhß hình dáng cüa Song câu liên thß½ng. Mãoi thß½ng có hình dáng h½i d©p, hình dáng gi¯ng nhß nhÕn linh.	540	540	137	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_5	Thß½ng B±ng	2011	2000	0
10101003	1	1	1	3	0	374	1	-1	-1	Ngân Xà Thß½ng	30	Toàn bµ ðßþc chª tÕo t× tçn thiªt, cán mâu dài 1 trßþng, ð¥u mâu dài tám t¤c, hai lßÞi s¡c nh÷n, hình dáng làm gi¯ng du xà, vì v§y m¾i có tên nhß v§y.	1150	1150	150	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_10	Thß½ng B±ng	2012	2000	0
10101004	1	1	1	4	0	378	1	-1	-1	Lang Nha Kích	40	Mµt ð¥u cüa cán kích có trang b¸ 1 mûi thß½ng nh÷n kim loÕi, 1 bên có lßÞi s¡c nh÷n có hình Lang nha, liên kªt v¾i mûi thß½ng thông qua 2 miªng kªt n¯i nhö, có th¬ ðâm có th¬ chém.	1780	1780	162	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_14	Thß½ng B±ng	2013	2000	0
10101005	1	1	1	5	0	382	1	-1	-1	Höa Tiêm Thß½ng	50	Toàn thân có màu kim h°ng, ð¥u thß½ng v×a nhö v×a nh÷n, gi¯ng nhß ng÷n lØa ðang nhäy múa.	2700	2700	175	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_2	Thß½ng B±ng	2014	2000	0
10101006	1	1	1	6	0	386	1	-1	-1	Phong Lôi Thß½ng	60	Thß½ng dài 2 trßþng, ð¥u thß½ng thô và h½i tròn, có th¬ ðâm có th¬ v², lþi thª chª ð¸ch.	3850	3850	187	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_6	Thß½ng B±ng	2015	2000	0
10101007	1	1	1	7	0	391	1	-1	-1	DÕ Xoa Mâu	70	Trên thân cüa cây thß½ng có vß½ng tßþng cüa DÕ Xoa, âm u ðáng sþ, ð¥u thß½ng b©p và b¢ng.	5570	5570	200	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_11	Thß½ng B±ng	2016	2000	0
10101008	1	1	1	8	0	396	1	-1	-1	Tam Kim Thß½ng	80	Thß½ng chia làm 3 mûi nh÷n, · giæa có khäm h°ng ng÷c, chª tÕo tinh xäo, lßÞi thß½ng s¡c bén vô cùng, giá tr¸ liên thành.	7450	7450	212	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_16	Thß½ng B±ng	2017	2000	0
10101009	1	1	1	9	0	401	1	-1	-1	?M Huyªt Thß½ng	90	Chª tÕo b¢ng Huy«n bång thiªt · Ðông Vñc, toàn thân toát lên ánh sáng bång lam	9950	9950	225	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_5	Thß½ng B±ng	2018	2000	0
10101010	1	1	1	10	0	405	1	-1	-1	Huy«n Lô Thß½ng	100	Tß½ng truy«n là do Thái Thßþng Lão Quân làm ra, ð¥u Thß½ng có hình dáng quái d¸.	16000	16000	237	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_9	Thß½ng B±ng	2019	2000	0
10101100	1	1	1	100	0	365	1	-1	-1	H°ng Anh Thß½ng	1	Tân thü vû khí, không có gì giá tr¸. (Hæu Ki®n Ði¬m Kích có th¬ trang b¸)	20	20	114	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_1	Thß½ng B±ng	11	2000	0
10102000	1	1	2	0	0	455	1	-1	-1	BÕch Thiªt Kiªm	1	Tân thü vû khí, không có gì giá tr¸. (Hæu Ki®n Ði¬m Kích có th¬ trang b¸)	20	20	114	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_1	Ð½n Ðoän	2	2000	0
10102001	1	1	2	1	0	458	1	-1	-1	Thu Di®p Kiªm	10	Chª tÕo b¢ng ð°ng thß¶ng, hành t¦u giang h° có th¬ dùng làm v§t phòng thân.	180	180	125	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_4	Ð½n Ðoän	2020	2000	0
10102002	1	1	2	2	0	460	1	-1	-1	BÕch H°ng Kiªm	20	Thân kiªm toàn màu ngân bÕch, möng dài, lßÞi s¡c bén vô cùng.	540	540	137	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_6	Ð½n Ðoän	2021	2000	0
10102003	1	1	2	3	0	466	1	-1	-1	Lam Ng÷c Kiªm	30	Chª tÕo b¢ng tinh thiªt, dß¾i h©p trên rµng, chuôi kiªm có khäm 3 viên ng÷c lam, trong ðêm t¯i có th¬ phát ra ánh sáng.	1150	1150	150	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_12	Ð½n Ðoän	2022	2000	0
10102004	1	1	2	4	0	470	1	-1	-1	Bång Huy«n Kiªm	40	Thân kiªm möng h©p, lßÞi kiªm có ch² có rãnh, lßÞi möng nhß bång, ngß¶i trong võ lâm r¤t thích sØ døng loÕi vû khí này.	1780	1780	162	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_16	Ð½n Ðoän	2023	2000	0
10102005	1	1	2	5	0	472	1	-1	-1	Tinh Cang Kiªm	50	Kiªm này ðuþc tu luy®n t× tinh cang, thân kiªm có hình lång, khí khái, c± kính.	2700	2700	175	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_2	Ð½n Ðoän	2024	2000	0
10102006	1	1	2	6	0	480	1	-1	-1	Ch¤n Yêu Nhçn	60	Ðßþc tinh chª t× ð°ng vàng, thân ðao có kh¡c Th¤t yêu hoàn nhi­u ð°, lßÞi ðao s¡c nh÷n, là vû khí không d­ dàng có ðßþc.	3850	3850	187	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_10	Ð½n Ðoän	2025	2000	0
10102007	1	1	2	7	0	484	1	-1	-1	Kim Vû Kiªm	70	Thân kiªm Nhß NhÕn, cao th¤p bình thß¶ng ph¦m ch¤t, ngay trß¾c Hæu NhÕn Sí TrÕng n±i lên, trung ß½ng Tß½ng Hæu Nh¤t huy«n thiªt Linh, †n phát lÕnh Quang.	5570	5570	200	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_14	Ð½n Ðoän	2026	2000	0
10102008	1	1	2	8	0	489	1	-1	-1	Kinh H°ng Nh§n	80	Thân ðao ð½n giän rµng rãi, có trang trí ðß¶ng hoa vån màu vàng, ðµ bóng và s¡c bén cûng gi¯ng nhß ðao.	7450	7450	212	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_3	Ð½n Ðoän	2027	2000	0
10102009	1	1	2	9	0	490	1	-1	-1	Long Lân Nh§n	90	Tß½ng truy«n Ngøy Vån Ðª Tào Phi ðã ra l®nh cho thþ rèn trong vòng 100 ngày phäi rèn ra 1 thanh bäo ðao, có hoa vån nhß v¦y r°ng, LßÞi nhß bÕch sß½ng, s¡c bén d¸ thß¶ng.	9950	9950	225	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_4	Ð½n Ðoän	2028	2000	0
