INT	INT	INT	STRING	STRING
9	1	2	Bang hµi thång c¤p	Chúc m×ng Nhçm, Nhçm ch², n½i Ğích bang hµi#Y%S#W, b—i vì Toàn Bang thành viên Ğích không ng×ng c¯ g¡ng, trß¾c m¡t bang hµi thành th¸ c¤p b§c ğã tång lên Chí#G%s#W. #r #r#Ghæu tình nêu lên#W: #r huy®n nha có th¬ thång c¤p Vi Châu Nha, Phü Nha, hoàng cung, TØ C¤m Thành, Vi bang hµi Ğích Chü kiªn trúc. Chü kiªn trúc tång lên Li­u quy mô ı nghîa bang hµi Ğích c¤p b§c tång lên. M²i Thång mµt b§c bang hµi, bang hµi dân cß Hµi gia tång, thß½ng nhân Ğích s¯ lßşng cûng s¨ gia tång.
10	1	2	Bang hµi nhi®m vø	Ğ£c bi®t chú ı, Nhçm ch², n½i Ğích bang hµi#Y%S#Wtrß¾c m¡t ğã m· ra Li­u bang hµi#Y%snhi®m vø#W. Thïnh ğúng lúc tham dñ hoàn thành bang hµi nhi®m vø. M÷i ngß¶i c¯ng hiªn chính mình Ğích mµt chút lñc lßşng, Nhßşng bang hµi nh§n ğßşc quá Tri¬n.
11	1	2	Nghiên cÑu chª tÕo ph¯i phß½ng	Träi qua Bang anh vş Ğ® tÖ muµi Ğích cµng ğ°ng c¯ g¡ng, Nhçm ch², n½i Ğích bang hµi#Y%S#WS· nghiên cÑu chª tÕo Ğích#Y%s#Wğã nghiên cÑu chª tÕo hoàn thành. Bang Lı Ğích Khä lşi døng tài nguyên Hñu gia tång LÕp! #r #r#Ghæu tình nêu lên#W: #r #GĞoÕn Ğài(Công), Võ Phß¶ng(Binh), Hi®u Trß¶ng(Trß¶ng)#Wngay t× ğ¥u là có th¬#Gnghiên cÑu bän v¨ C§p bän v¨#W, GIá ba#Gkiªn trúc thång c¤p Ğích càng cao#W, có th¬#Gnghiên cÑu Ğích ph¯i phß½ng c¤p b§c cûng s¨ càng cao#W, cho nên nªu mu¯n nh§n ğßşc ğÆng c¤p cao Ğích bän v¨ C§p bän v¨, thång c¤p Giá ba kiªn thiªt là phi thß¶ng Hæu t¤t yªu Ğích. (trß¾c m¡t Hi®u Trß¶ng S· nghiên cÑu Ğích công trình H÷c ph¯i phß½ng V¸ m· ra)#r Ğang kiªn tÕo Li­u#GtØu quán(TØu)#WHoà#GY Xä(Y)#WH§u, còn có th¬ nghiên cÑu#Gsách dÕy n¤u ån Hoà phß½ng thu¯c#W.
12	1	3	Tân Ğích mÕo hi¬m	Hoan nghênh Nhçm tham gia#G%ShoÕt ğµng#W, THØ hoÕt ğµng khó khån Giäo Cao, Hæu nh¤t ğ¸nh Ğích tính khiêu chiªn, ğ« ngh¸ Nhçm Ğa Hoà Ğµi Hæu ph¯i hşp, không c¥n l² mãng làm vi®c. #r #r#Ghæu tình nêu lên#W: #r nªu Nhçm Ğ¯i này hoÕt ğµng không biªt, có th¬ höi HÕ Ğµi Hæu, ho£c là c¯ v¤n TÕi Tuyªn th§t là t¯t Hæu, Dã có th¬ ği Quan Võng di­n ğàn tra tìm tß½ng quan tß li®u Nga.
13	1	3	Hoàn thành nhi®m vø	Nhçm nhi®m vø Li®t Bi¬u Trung#G%Snhi®m vø#Wğã hoàn thành. Thïnh ğúng lúc Träo nhi®m vø NPCgiao phó nhi®m vø. #r #r#Ghæu tình nêu lên#W: #r vì Nhçm Nång r¤t t¯t Ğích cäm thø«Tân Thiên Long Bát Bµ»Ğích to giang h°, chúng ta TÕi trò ch½i Trung Vi Nhçm tri kÖ tÕo ra Li­u#G'trß¶ng cänh nhi®m vø', 'sß môn nhi®m vø', 'nhi®m vø c¯t truy®n', 'c¯t truy®n tu¥n hoàn nhi®m vø', 'sß môn kÛ nång nhi®m vø', 'tu¥n hoàn nhi®m vø'#WĞÆng nhi«u m£t Ğích nhi®m vø hình thÑc, Nhßşng Nhçm Ğích Thiên Long Chi Læ càng thêm thoäi mái ğ¥m ğìa!
14	1	3	Trang b¸ mài mòn	Nhçm trß¾c m¡t trên ngß¶i Ğích trang b¸ b«n Quá Ğê, Thïnh ğúng lúc sØa chæa Nhçm Ğích trang b¸. #r #r#Ghÿu tình nêu lên#W: #r trang b¸ sØ døng Ğích th¶i gian quá dài, b«n Ğµ s¨ giäm xu¯ng, nªu trang b¸ Ğích b«n Ğµ giäm xu¯ng Vi#G0#W, nHß v§y cái này trang b¸ cho dù trang b¸ · trên ngß¶i cûng s¨ không có tác døng Li­u, cho nên c¥n tiªn hành sØa chæa. Ğß½ng nhiên, càng cao C¤p Ğích trang b¸ sØa chæa ğÑng lên lÕi càng lao lñc, nªu trang b¸ Ğích sØa chæa#Gth¤t bÕi s¯ l¥n Ğáo 3#WĞích th¶i ği¬m, nhß v§y cái này trang b¸ s¨#Gtrñc tiªp biªn m¤t#W, cho nên TÕi sØa chæa cao c¤p trang b¸ Ğích th¶i ği¬m nh¤t ğ¸nh phäi c¦n th§n Úc!
15	1	3	Sát khí t§n tr¶i	Nhçm trß¾c m¡t Ğích sát khí Tr¸ Quá Cao, TÕi có ğßşc Giäo Cao sát khí Tr¸ ğích tình Hu¯ng HÕ, Nhçm chính là nhân v§t vai di­n TÕi tØ vong tình hình ğ£c bi®t lúc ¤y t±n th¤t bµ ph§n ğÕo cø Hoà ti«n tài, Thïnh chú ı an toàn. #r #r#Ghÿu tình nêu lên#W: #r nguyên bäo cØa hàng Hæu Thø Thanh Tâm Ğan, sØ døng H§u có th¬ r½i ch§m lÕi sát khí 1Ği¬m Nga!
16	1	3	HoÕt ğµng báo trß¾c	Thân ái Ğích ngß¶i ch½i, «Tân Thiên Long Bát Bµ»nh¡c nh· Nhçm: #G%ShoÕt ğµng#Ws¡p b¡t ğ¥u, nªu c¥n tham gia Thïnh Nhçm chu¦n b¸ sÇn sàng. #r #r#Ghæu tình nêu lên#W: #r Nhçm mu¯n biªt m²i ngày hoÕt ğµng Ğích k¬ lÕi tin tÑc Ma? Thïnh Ği¬m Kích màn hình Hæu Thßşng Giác m²i ngày hoÕt ğµng Li®t Bi¬u xem xét ThØ hoÕt ğµng Ğích k¬ lÕi tin tÑc.
17	1	3	Trân Thú Khoái LÕc Ğµ	Nhçm trß¾c m£t xu¤t chiªn Ğích Trân Thú Ğích Khoái LÕc Ğµ ğã th¤p h½n 65, có khi Gian Thïnh nh¾ rõ thu¥n dßŞng Nhçm Ğích Trân Thú Nga! #r #r#Ghÿu tình nêu lên#W: #r thu¥n dßŞng v§t ph¦m Hæu: Hoàng Tích ĞÕn Cung, H°i Hoàn Kim C¥u, còn có nguyên bäo cØa hàng bán ra Ğích Trân Thú Tß B± Ğan Hoà Trân Thú H°i Xuân Ğan.
18	1	1	Bái sß h÷c ngh®	Nhçm th§t là t¯t Hæu#R%S#Wğã Bái TÕi#R%s#Wmôn hÕ, có sß phó Ğích chï ğÕo, ğ° ğ® nh¤t ğ¸nh s¨ có t¯t l¡m Ğích phát tri¬n Ba. #r #r#Ghæu tình nêu lên#W: #r chï c¥n có Li­u th¥y trò quan h®, nhß v§y TÕi giªt quái Ğích th¶i ği¬m s¨ có kinh nghi®m Gia Thành. #r Ğang ğ° ğ® M²i lên t¾i nh¤t ğ¸nh c¤p b§c s¨ C¤p sß phó mang ğªn ğÕi lßşng Ğích thi®n ác Tr¸ thß·ng cho. #r ğ° ğ® xu¤t sß phía trß¾c, sß phó có th¬ Dß ğ° ğ® cùng nhau tham gia Thiên T¥m hoÕt ğµng, nh§n ğßşc ğÕi lßşng Ğích kinh nghi®m thß·ng cho.
19	1	1	Th¡ng lşi xu¤t sß	Nhçm th§t là t¯t Hæu#R%S#Wträi qua mµt phen l¸ch lãm lúc sau, ğã viên mãn xu¤t sß! Tin tß·ng ğ° ğ® Hoà sß phó Ğô trä giá Li­u r¤t l¾n Ğích c¯ g¡ng, chÕy nhanh tiªn ğªn chúc m×ng mµt chút Ba! #r #r#Ghæu tình nêu lên#W: #r chï c¥n có Li­u th¥y trò quan h®, nhß v§y TÕi giªt quái Ğích th¶i ği¬m s¨ có kinh nghi®m Gia Thành. #r ğ° ğ® xu¤t sß phía trß¾c, sß phó có th¬ Dß ğ° ğ® cùng nhau tham gia Thiên T¥m hoÕt ğµng, nh§n ğßşc ğÕi lßşng Ğích kinh nghi®m thß·ng cho.
20	1	1	Ğào lı thiên hÕ	Nhçm th§t là t¯t Hæu#R%S#Wğã Tß¾ng Sß ĞÑc c¤p b§c tång lên Chí#Y%s#W, nHanh chúc m×ng mµt chút Ba! #r #r#Ghæu tình nêu lên#W: #r ğ« cao Sß ĞÑc c¤p b§c không chï có Nång Ğái nhi«u h½n Ğích ğ° ğ®, còn có th¬ nh§n ğßşc nhi«u h½n Ğích thß·ng cho. #r#G S½ C¤p sß phó: #W1Ği¬m thi®n ác Khä ğ±i l¤y 30Ği¬m kinh nghi®m. #GTrung C¤p sß phó: #W1Ği¬m thi®n ác Khä ğ±i l¤y 35Ği¬m kinh nghi®m. #Gcao c¤p sß phó: #W1Ği¬m thi®n ác Khä ğ±i l¤y 50Ği¬m kinh nghi®m. #Gmµt thª h® Danh Sß: #W1Ği¬m thi®n ác Khä ğ±i l¤y 70Ği¬m kinh nghi®m.
21	1	1	Vi sß Chi ĞÕo	Nhçm th§t là t¯t Hæu#R%S#Wğã Thu#R%s#Wlàm ğ° ğ®, tiªn ğªn chúc m×ng mµt chút Ba! #r #r#Ghæu tình nêu lên#W: #r chï c¥n có Li­u th¥y trò quan h®, nhß v§y TÕi giªt quái Ğích th¶i ği¬m s¨ có kinh nghi®m Gia Thành. #r Ğang ğ° ğ® M²i lên t¾i nh¤t ğ¸nh c¤p b§c s¨ C¤p sß phó mang ğªn ğÕi lßşng Ğích thi®n ác Tr¸ thß·ng cho. #r ğ° ğ® xu¤t sß phía trß¾c, sß phó có th¬ Dß ğ° ğ® cùng nhau tham gia Thiên T¥m hoÕt ğµng, nh§n ğßşc ğÕi lßşng Ğích kinh nghi®m thß·ng cho.
22	0	0	Phòng tr¥m mê	Cån cÑ Nhçm S· ği«n Ğích Thñc Danh tin tÑc, Nhçm niên kï Linh không ğ¥y 18Tuª, Tß¾ng ğã b¸ Phòng tr¥m mê h® th¯ng Ğích hÕn chª. #r #r#Ghÿu tình nêu lên#W: #r vì bäo hµ chßa thành nhân Ğích th¬ xác và tinh th¥n khöe mÕnh, phòng ng×a chßa thành nhân TÕi trò ch½i Trung quá ğµ tr¥m mê, «Tân Thiên Long Bát Bµ»Phòng tr¥m mê h® th¯ng Tß¾ng nghiêm kh¡c kh¯ng chª chßa thành nhân Ğích trò ch½i th¶i gian. Nªu Nhçm ği«n Ğích chính xác Thñc Danh tin tÑc ğÕt t¾i 18Tuª, nhß v§y Nhçm Tß¾ng s¨ không B¸ nhét vào Phòng tr¥m mê h® th¯ng.
23	0	0	Phòng tr¥m mê nh¡c nh·	Nhçm ğang ğÑng · Phòng tr¥m mê h® th¯ng hÕn chª. Nhçm Ğích luy kª TÕi Tuyªn th¶i gian Dî Mãn#G%Sgi¶#W. #r #r#Ghæu tình nêu lên#W: #r vì bäo hµ chßa thành nhân Ğích th¬ xác và tinh th¥n khöe mÕnh, phòng ng×a chßa thành nhân TÕi trò ch½i Trung quá ğµ tr¥m mê, «Tân Thiên Long Bát Bµ»Phòng tr¥m mê h® th¯ng Tß¾ng nghiêm kh¡c kh¯ng chª chßa thành nhân Ğích trò ch½i th¶i gian. Nªu Nhçm ği«n Ğích chính xác Thñc Danh tin tÑc ğÕt t¾i 18Tuª, nhß v§y Nhçm Tß¾ng s¨ không B¸ nhét vào Phòng tr¥m mê h® th¯ng.
24	0	0	Phòng tr¥m mê nh¡c nh·	Nhçm Dî ğã b¸ Phòng tr¥m mê h® th¯ng hÕn chª, trò ch½i Nµi#RtI«n l¶i giäm phân nØa#W. Nhçm luy kª TÕi Tuyªn th¶i gian Dî Mãn#G3gi¶#W, THïnh Nhçm logout nghï ng½i, T¯ thích hşp v§n ğµng. #r #r#Ghæu tình nêu lên#W: #r vì bäo hµ chßa thành nhân Ğích th¬ xác và tinh th¥n khöe mÕnh, phòng ng×a chßa thành nhân TÕi trò ch½i Trung quá ğµ tr¥m mê, «Tân Thiên Long Bát Bµ»Phòng tr¥m mê h® th¯ng Tß¾ng nghiêm kh¡c kh¯ng chª chßa thành nhân Ğích trò ch½i th¶i gian. Nªu Nhçm ği«n Ğích chính xác Thñc Danh tin tÑc ğÕt t¾i 18Tuª, nhß v§y Nhçm Tß¾ng s¨ không B¸ nhét vào Phòng tr¥m mê h® th¯ng.
25	0	0	Phòng tr¥m mê nh¡c nh·	Nhçm Dî ğã b¸ Phòng tr¥m mê h® th¯ng hÕn chª, #RkHông có gì ti«n l¶i#W. Nhçm Dî tiªn vào B¤t khöe mÕnh trò ch½i th¶i gian, vì Nhçm Ğích khöe mÕnh, Thïnh Nhçm l§p tÑc logout nghï ng½i. #r #r#Ghæu tình nêu lên#W: #r vì bäo hµ chßa thành nhân Ğích th¬ xác và tinh th¥n khöe mÕnh, phòng ng×a chßa thành nhân TÕi trò ch½i Trung quá ğµ tr¥m mê, «Tân Thiên Long Bát Bµ»Phòng tr¥m mê h® th¯ng Tß¾ng nghiêm kh¡c kh¯ng chª chßa thành nhân Ğích trò ch½i th¶i gian. Nªu Nhçm ği«n Ğích chính xác Thñc Danh tin tÑc ğÕt t¾i 18Tuª, nhß v§y Nhçm Tß¾ng s¨ không B¸ nhét vào Phòng tr¥m mê h® th¯ng.
26	0	3	Ğ±i m¾i nh¡c nh·	Thân ái Ğích ngß¶i ch½i, «Tân Thiên Long Bát Bµ»nh¡c nh· Nhçm: Có th¬ thông qua Ği¬m Kích Tä phía dß¾i xem xét ğ±i m¾i cái nút xem xét trß¾c m£t trò ch½i bän cû Ğích ğ±i m¾i nµi dung. #r #r #RNHßşng chúng ta cùng nhau du l¸ch thuµc loÕi chính mình Ğích Võ Hi®p thª gi¾i!
27	1	1	Các\u0020hÕ t¯t xin	Ngß¶i ch½i#R%S#Wthïnh c¥u Nhçm Gia Tha(Tha) cho thöa ğáng Hæu. ChÕy nhanh xØ lı HÕ thïnh c¥u Ba! #r #r #RtÑ häi Giai Huynh Ğ®, #r #RThuÏ Vi ği ğß¶ng Nhân.
28	1	3	Quı tr÷ng v§t ph¦m	Nhçm thông qua giao d¸ch hành vi nh§n ğßşc Ğích quı tr÷ng v§t ph¦m Tß¾ng tñ ğµng Gia Toä. #r #r#Ghÿu tình nêu lên#W: #rsa hoa v§t ph¦m bäo hµ công nång Tß¾ng ch£t ch¨ bäo hµ Nhçm Ğích tài sän, tránh cho Nhçm sinh ra không c¥n thiªt Ğích t±n th¤t. Chï c¥n Tiêu Hæu màu ğö#Gquı tr÷ng#Wchæ Ğích v§t ph¦m ğô hµi B¸ h® th¯ng tñ ğµng nhét vào bäo hµ Ğích trong phÕm vi, Nhßşng Nhçm TÕi mµt cái an tâm Ğích trong hoàn cänh Sß¾ng NgoÕn Thiên Long.
29	1	3	Quı tr÷ng v§t ph¦m	Nhçm thu h°i Ğích quı tr÷ng v§t ph¦m Tß¾ng tñ ğµng Gia Toä. #r #r#Ghÿu tình nêu lên#W: #rsa hoa v§t ph¦m bäo hµ công nång Tß¾ng ch£t ch¨ bäo hµ Nhçm Ğích tài sän, tránh cho Nhçm sinh ra không c¥n thiªt Ğích t±n th¤t. Chï c¥n Tiêu Hæu màu ğö#Gquı tr÷ng#Wchæ Ğích v§t ph¦m ğô hµi B¸ h® th¯ng tñ ğµng nhét vào bäo hµ Ğích trong phÕm vi, Nhßşng Nhçm TÕi mµt cái an tâm Ğích trong hoàn cänh Sß¾ng NgoÕn Thiên Long.
30	1	1	Hoa S½n lu§n kiªm	Giang h° hào ki®t t« tø, quyªt chiªn Hoa S½n ğïnh! Nhçm th§t là t¯t Hæu#R%S#WTÕi hôm nay Ğích#G%shoÕt ğµng#WTrung quá ngû quan, träm løc tß¾ng, cu¯i cùng l¤y ğßşc Li­u#Y%s#W. #r #r#Ghæu tình nêu lên#W: #r Hoa S½n lu§n kiªm M²i Chu Nh¸, TÑ 19: 00Ğáo 20: 00, M²i Chu Nh§t 15: 00Ğáo 16: 00CØ Hành, t×ng môn phái phái ra nh¤t ğ¸nh Ğích tuy¬n thü tham dñ, nh§n ğßşc th¡ng lşi Ğích môn phái có th¬ tÕi hÕ Gi¾i Hoa S½n lu§n kiªm kªt thúc Ti«n, m²i ngày Ğích Ti«n mµt vòng sß môn nhi®m vø thß·ng cho có th¬ Do 2Bµi biªn thành 3Bµi Nga!
31	1	0	Thanh Ğ°ng võ lâm „n	#GL?c Dß½ng(160, 134)#RChu Thiên Sß#Wm¶i Nhçm KhÑ Tha Na, Tha Tß¾ng Bä#YThanh Ğ°ng võ lâm „n#Wt£ng cho Nhçm. Nªu Nhçm Nång hoàn thành Tha cho ngài Ğích nho nhö khäo nghi®m, Nhçm có th¬ nh§n ğßşc sØ døng H§u nh§n ğßşc#GBäng Ğ¸nh nguyên bäo#WĞích#YThanh Ğ°ng võ lâm „n#W. #r #r #GNhßşng chúng ta cùng nhau du l¸ch thuµc loÕi chính mình Ğích Võ Hi®p thª gi¾i!
32	1	0	Quä Ngân võ lâm „n	#GL?c Dß½ng(160, 134)#RChu Thiên Sß#Wm¶i Nhçm KhÑ Tha Na, Tha Tß¾ng Bä#YQuä Ngân võ lâm „n#Wt£ng cho Nhçm. Nªu Nhçm Nång hoàn thành Tha cho ngài Ğích nho nhö khäo nghi®m, Nhçm có th¬ nh§n ğßşc sØ døng H§u nh§n ğßşc#GBäng Ğ¸nh nguyên bäo#WĞích#YQuä Ngân võ lâm „n#W. #r #r #GNhßşng chúng ta cùng nhau du l¸ch thuµc loÕi chính mình Ğích Võ Hi®p thª gi¾i!
