INT	STRING	STRING	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT
320608	Vô Lßþng S½n cøc cßng quái v§t	[ð¥u møc]S½n Thù	2	224	244	0	224	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320701	Kiªm Các tinh anh quái v§t	[thü lînh]Thøc ÐÕo BÕch Viên	1	65	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320702	Kiªm Các tinh anh quái v§t	[thü lînh]Thøc ÐÕo H¡c Viên	2	67	133	0	67	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320703	Kiªm Các tinh anh quái v§t	[thü lînh]BÕch Mao Thäo Nhân	2	197	216	0	202	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320704	Kiªm Các tinh anh quái v§t	[thü lînh]QuÖ Di®n Thù Nho	2	209	146	0	166	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320705	Kiªm Các cøc cßng quái v§t	[ð¥u møc]Thøc ÐÕo BÕch Viên	1	65	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320706	Kiªm Các cøc cßng quái v§t	[ð¥u møc]Thøc ÐÕo H¡c Viên	2	67	133	0	67	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320707	Kiªm Các cøc cßng quái v§t	[ð¥u møc]BÕch Mao Thäo Nhân	2	197	216	0	202	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320708	Kiªm Các cøc cßng quái v§t	[ð¥u møc]QuÖ Di®n Thù Nho	2	209	146	0	166	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320801	Ðµi Hoàng tinh anh quái v§t	[ð¥u møc]Du Mµc ‘i LuÛ	4	223	216	0	175	216	0	192	257	0	154	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320802	Ðµi Hoàng tinh anh quái v§t	[ð¥u møc]Sa Pha Lang	4	250	182	0	209	159	0	256	222	0	261	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320803	Ðµi Hoàng tinh anh quái v§t	[ð¥u møc]Tàn Phá Binh Dõng	4	157	184	0	153	157	0	173	155	0	158	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320804	Ðµi Hoàng tinh anh quái v§t	[ð¥u møc]Hoang Nguyên Báo	4	188	91	0	117	72	0	93	39	0	131	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320805	Ðµi Hoàng tinh anh quái v§t	[ð¥u møc]Sa MÕc Mã Phï	4	101	140	0	103	176	0	87	244	0	96	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320806	Ðµi Hoàng tinh anh quái v§t	[ð¥u møc]ºa Viên	4	69	138	0	55	213	0	37	248	0	48	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320807	Sa mÕc bäo tàng 1T¢ng tinh anh quái v§t	[ð¥u møc]ÐÕo MÕc Ti¬u T£c	8	38	82	0	67	59	0	141	61	0	208	50	0	217	122	0	180	165	0	152	211	0	77	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320808	Sa mÕc bäo tàng 2T¢ng tinh anh quái v§t	[ð¥u møc]Sa MÕc Mã Phï	8	214	173	0	177	163	0	145	191	0	122	77	0	180	48	0	221	78	0	36	88	0	181	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320809	Sa mÕc bäo tàng 3T¢ng tinh anh quái v§t	[ð¥u møc]Hµ Bäo Ð°ng Nhân	7	94	69	0	213	106	0	192	193	0	24	69	0	121	107	0	155	47	0	235	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320810	Sa mÕc bäo tàng 4T¢ng tinh anh quái v§t	[ð¥u møc]T¥m Bäo Hào Ki®t	5	179	239	0	131	183	0	64	95	0	49	47	0	115	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320811	Sa mÕc bäo tàng 5T¢ng tinh anh quái v§t	[ð¥u møc]h¥m ng¥m ThÕch Nhân	6	180	230	0	177	177	0	210	209	0	221	171	0	128	195	0	96	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321801	NhÕn Nam tinh anh quái v§t	[ð¥u møc]Tây B¡c Lang	4	281	224	0	274	203	0	218	277	0	239	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321802	NhÕn Nam tinh anh quái v§t	[ð¥u møc]Kim Ti«n Báo	4	249	191	0	254	154	0	191	208	0	181	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321803	NhÕn Nam tinh anh quái v§t	[ð¥u møc]Khôi Hùng	4	213	75	0	169	95	0	123	79	0	92	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321804	NhÕn Nam tinh anh quái v§t	[ð¥u møc]T¥n Gia TrÕi Thám TØ	4	127	200	0	120	161	0	119	130	0	116	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321805	NhÕn Nam tinh anh quái v§t	[ð¥u møc]T¥n Gia TrÕi Lâu LÕc	4	91	162	0	61	138	0	39	107	0	37	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321806	NhÕn Nam tinh anh quái v§t	[ð¥u møc]T¥n Gia TrÕi Thân Binh	4	64	202	0	37	197	0	43	225	0	51	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321901	NhÕn B¡c tinh anh quái v§t	[ð¥u møc]H°ng Phong Tri Thù	4	159	203	0	161	251	0	173	200	0	139	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321902	NhÕn B¡c tinh anh quái v§t	[ð¥u møc]H°ng Phong Hùng	4	253	131	0	240	99	0	212	123	0	247	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321903	NhÕn B¡c tinh anh quái v§t	[ð¥u møc]T¥n Gia TrÕi Kiªp Phï	4	117	142	0	134	131	0	115	125	0	143	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321904	NhÕn B¡c tinh anh quái v§t	[ð¥u møc]T¥n Gia TrÕi Hµ V®	4	43	166	0	44	144	0	76	158	0	76	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321905	NhÕn B¡c tinh anh quái v§t	[ð¥u møc]T¥n Gia TrÕi Giáo Ð¥u	4	107	226	0	63	260	0	40	246	0	45	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321906	NhÕn B¡c tinh anh quái v§t	[ð¥u møc]Tá Thäo C¯c Liêu Binh	4	205	67	0	179	83	0	164	60	0	127	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322001	Thäo Nguyên tinh anh quái v§t	[ð¥u møc]Thäo Nguyên Lang	4	177	250	0	149	271	0	179	275	0	209	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322002	Thäo Nguyên tinh anh quái v§t	[ð¥u møc]Mông C± H¡c Phong	4	275	269	0	252	193	0	222	235	0	268	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322003	Thäo Nguyên tinh anh quái v§t	[ð¥u møc]Thi¬m Ði®n Mã Phï	4	65	156	0	42	276	0	85	234	0	108	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322004	Thäo Nguyên tinh anh quái v§t	[ð¥u møc]Truy Phong Mã Phï	4	198	104	0	148	78	0	177	73	0	165	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322005	Thäo Nguyên tinh anh quái v§t	[ð¥u møc]Loan Ðao Mã Phï	4	273	156	0	276	111	0	246	115	0	278	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322006	Thäo Nguyên tinh anh quái v§t	[ð¥u møc]Tá Thäo C¯c T¯ng Binh	4	40	45	0	84	65	0	57	90	0	81	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322101	Liêu Tây tinh anh quái v§t	[ð¥u møc]BÕch Lang Vß½ng	4	170	256	0	163	279	0	113	272	0	86	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322102	Liêu Tây tinh anh quái v§t	[ð¥u møc]ÐÕi H¡c Phong	4	100	232	0	71	222	0	47	255	0	54	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322103	Liêu Tây tinh anh quái v§t	[ð¥u møc]H¡c Y Mã Phï	4	87	122	0	89	96	0	54	107	0	65	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322104	Liêu Tây tinh anh quái v§t	[ð¥u møc]H°ng Y Mã Phï	4	134	86	0	209	57	0	218	124	0	182	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322105	Liêu Tây tinh anh quái v§t	[ð¥u møc]Nh¤t Ph¦m Ðß¶ng Si Khách	4	249	127	0	242	192	0	202	206	0	206	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322106	Liêu Tây tinh anh quái v§t	[ð¥u møc]Khinh Giáp Mãng Cái	4	271	262	0	213	268	0	243	233	0	246	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322201	Trß¶ng BÕch tinh anh quái v§t	[ð¥u møc]H¡c Hùng	4	60	169	0	88	211	0	116	203	0	129	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322202	Trß¶ng BÕch tinh anh quái v§t	[ð¥u møc]Ðông B¡c H±	4	67	273	0	97	276	0	114	274	0	113	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322203	Trß¶ng BÕch tinh anh quái v§t	[ð¥u møc]Tuyªt Nhân	4	142	277	0	171	264	0	192	236	0	204	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322204	Trß¶ng BÕch tinh anh quái v§t	[ð¥u møc]Liêu Nha Tuyªt Nhân	4	170	63	0	156	47	0	134	64	0	96	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322205	Trß¶ng BÕch tinh anh quái v§t	[ð¥u møc]Tuyªt S½n Li®p Nhân	4	255	253	0	252	167	0	231	140	0	271	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322301	Phü Hoàng Long tinh anh quái v§t	[ð¥u møc]ÐÕi H¡c Hùng	4	85	254	0	123	256	0	174	263	0	155	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322302	Phü Hoàng Long tinh anh quái v§t	[ð¥u møc]Tuyªt S½n Mãng Cái	4	73	187	0	68	217	0	50	215	0	70	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322303	Phü Hoàng Long tinh anh quái v§t	[ð¥u møc]Tuyªt S½n Lang	4	160	131	0	148	145	0	125	155	0	104	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322304	Phü Hoàng Long tinh anh quái v§t	[ð¥u møc]Trùng Giáp Mãng Cái	4	73	88	0	76	57	0	85	48	0	39	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322305	Phü Hoàng Long tinh anh quái v§t	[ð¥u møc]Ba Luân Mãng Cái	4	275	194	0	273	268	0	253	242	0	245	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322401	Nh¸ Häi tinh anh quái v§t	[ð¥u møc]Hoa Ban Báo	4	225	77	0	207	112	0	175	104	0	208	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322402	Nh¸ Häi tinh anh quái v§t	[ð¥u møc]Xích Cß¾c Dã Nhân	4	153	127	0	128	125	0	103	101	0	75	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322403	Nh¸ Häi tinh anh quái v§t	[ð¥u møc]Lang Tµc Thám TØ	4	229	146	0	239	175	0	192	162	0	224	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322404	Nh¸ Häi tinh anh quái v§t	[ð¥u møc]Phong Lang	4	189	195	0	172	206	0	160	189	0	106	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322405	Nh¸ Häi tinh anh quái v§t	[ð¥u møc]Lang Tµc Kinh CÑc SÑ	4	134	276	0	41	186	0	88	170	0	69	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322406	Nh¸ Häi tinh anh quái v§t	[ð¥u møc]Lang Tµc Chiªn Sî	4	99	121	0	228	255	0	151	241	0	186	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322501	Thß½ng S½n tinh anh quái v§t	[ð¥u møc]Soa Y Dã Nhân	4	57	270	0	94	261	0	76	212	0	43	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322502	Thß½ng S½n tinh anh quái v§t	[ð¥u møc]Tuyªt Lang	4	47	104	0	87	88	0	47	59	0	101	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322503	Thß½ng S½n tinh anh quái v§t	[ð¥u møc]Lang Tµc Dûng Sî	4	158	70	0	201	120	0	256	128	0	173	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322504	Thß½ng S½n tinh anh quái v§t	[ð¥u møc]Lang Tµc Th¥n Hán	4	260	264	0	217	261	0	176	254	0	203	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322505	Thß½ng S½n tinh anh quái v§t	[ð¥u møc]Lang Tµc Th± Tß	4	262	198	0	253	184	0	255	209	0	248	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322506	Thß½ng S½n tinh anh quái v§t	[ð¥u møc]Lang Tµc Ð¥u Nhân	4	138	236	0	166	269	0	125	258	0	124	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322601	ThÕch Lâm tinh anh quái v§t	[ð¥u møc]Tông Hùng	4	256	38	0	280	59	0	264	89	0	248	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322602	ThÕch Lâm tinh anh quái v§t	[ð¥u møc]Lang Thù	4	170	61	0	127	60	0	143	102	0	178	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322603	ThÕch Lâm tinh anh quái v§t	[ð¥u møc]Hoa Cß½ng ThÕch Sß	4	219	269	0	273	213	0	243	197	0	211	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322604	ThÕch Lâm tinh anh quái v§t	[ð¥u møc]Hoa Cß½ng ThÕch Nhân	4	66	123	0	113	142	0	82	186	0	56	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322605	ThÕch Lâm tinh anh quái v§t	[ð¥u møc]Di®p Nham ThÕch Nhân	4	46	160	0	48	97	0	50	49	0	45	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322606	ThÕch Lâm tinh anh quái v§t	[ð¥u møc]ThÕch Nhân Y¬n Sß	4	179	264	0	147	274	0	157	203	0	170	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322701	Ng÷c Khê tinh anh quái v§t	[ð¥u møc]K¸ch Ðµc Lang Thù	4	112	39	0	85	50	0	58	39	0	55	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322702	Ng÷c Khê tinh anh quái v§t	[ð¥u møc]Vân Mçu ThÕch Nhân	4	90	116	0	116	133	0	140	112	0	163	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322703	Ng÷c Khê tinh anh quái v§t	[ð¥u møc]Long Huyªt ThÕch Nhân	4	43	178	0	101	160	0	56	145	0	42	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322704	Ng÷c Khê tinh anh quái v§t	[ð¥u møc]Næ Oa ThÕch Nhân	4	163	197	0	180	270	0	170	227	0	133	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322705	Ng÷c Khê tinh anh quái v§t	[ð¥u møc]Y¬n Sß Hµ Pháp	4	200	200	0	175	198	0	235	176	0	230	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322706	Ng÷c Khê tinh anh quái v§t	[ð¥u møc]ÐÕi Y¬n Sß	4	275	275	0	234	283	0	275	244	0	259	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
