INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	INT
12	0	1	20	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Môn phái BOSS	95	-1	-1
13	0	1	52	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Môn phái BOSS	95	-1	-1
14	0	1	84	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Môn phái BOSS	95	-1	-1
15	0	1	52	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	T£c Binh Xâm Nh§p	95	-1	-1
16	0	1	60	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	T£c Binh Xâm Nh§p	95	-1	-1
17	0	1	68	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	T£c Binh Xâm Nh§p	95	-1	-1
18	0	1	76	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	T£c Binh Xâm Nh§p	95	-1	-1
19	0	1	84	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	T£c Binh Xâm Nh§p	95	-1	-1
20	0	1	40	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	840	1	Ðánh Lén Môn Phái	95	-1	-1
21	0	1	48	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	720	1	Ðánh Lén Môn Phái	95	-1	-1
22	0	2	658	1	808003	0	0	0	0	0	0	4	10	#{BWDH_20080317_01}	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Løc C¤p 40 Bi®t T±	695	-1	-1
23	0	2	358	1	808003	0	0	0	0	0	0	4	10	#{BWDH_20080317_01}	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Tam C¤p 40 Bi®t T±	395	-1	-1
24	0	2	59	1	808000	0	0	0	0	0	0	4	5	#{HSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{HSLJ_20080317_03}	75	-1	-1	-1	-1	Hoa S½n lu§n kiªm Chu Nh§t	95	-1	-1
25	0	2	475	1	808000	0	0	0	0	0	0	4	5	#{XHSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{XHSLJ_20080317_02}	75	-1	-1	-1	-1	Hoa S½n lu§n kiªm Chu TÑ	495	-1	-1
26	0	1	64	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	480	1	Ðánh Lén Môn Phái	95	-1	-1
27	0	1	80	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	240	1	Ðánh Lén Môn Phái	95	-1	-1
28	0	1	88	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	120	1	Ðánh Lén Môn Phái	95	-1	-1
29	0	1	0	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1440	1	Ðánh Lén Môn Phái	95	-1	-1
30	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Løc C¤p 50 Bi®t T±	695	-1	-1
31	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Tam C¤p 50 Bi®t T±	395	-1	-1
32	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Løc C¤p 60 Bi®t T±	695	-1	-1
33	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Tam C¤p 60 Bi®t T±	395	-1	-1
34	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Løc C¤p 70 Bi®t T±	695	-1	-1
35	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Tam C¤p 70 Bi®t T±	395	-1	-1
36	0	1	74	5	808037	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Linh dßþc hoÕt ðµng	95	-1	-1
39	1	2	1	0	808000	88	0	0	0	0	0	4	30	#{CYR_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ThuÖ v§n Nh§t	95	-1	-1
40	1	2	600	0	808000	88	0	0	0	0	0	4	30	#{SRR_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thß½ng nhân Nh§t	694	-1	-1
41	0	1	8	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	T£c Binh Xâm Nh§p	95	-1	-1
42	0	1	16	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1200	1	Ðánh Lén Môn Phái	95	-1	-1
43	0	1	40	0	808000	0	0	0	0	0	0	4	30	#{XQJ_20080317_01}	80	3	#{QJ_20080317_02}	90	30	#{QJ_20080317_03}	200	3	#{XQJ_20080317_02}	209	1	#{QJ_20080317_05}	210	0	Ván c¶	95	-1	-1
44	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Løc C¤p 80 Bi®t T±	695	-1	-1
45	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Tam C¤p 80 Bi®t T±	395	-1	-1
46	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Løc C¤p 90 Bi®t T±	695	-1	-1
47	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Tam C¤p 90 Bi®t T±	395	-1	-1
48	0	2	275	1	808000	0	0	0	0	0	0	4	5	#{XHSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{XHSLJ_20080317_02}	75	-1	-1	-1	-1	Hoa S½n lu§n kiªm Chu Nh¸	295	-1	-1
49	0	2	628	1	808000	0	0	0	0	0	0	4	30	#{JHJF_20080317_01}	350	3	#{JHJF_20080317_02}	360	5	#{JHJF_20080317_03}	370	120	#{JHJF_20080317_04}	899	1	#{JHJF_20080317_05}	900	-1	Kính H° tiêu di®t	695	-1	-1
50	1	2	36	0	808000	59	0	0	0	0	0	4	30	#{BGZ_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Bang phái Lãnh ti«n lß½ng	95	-1	-1
53	0	1	56	158	402100	0	0	0	0	0	0	4	4	#{YZW_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	600	-1	Thánh Thú S½n hoÕt ðµng b¡t ð¥u	95	-1	-1
54	0	1	86	158	402100	0	0	0	0	0	0	4	4	#{YZW_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	150	-1	Thánh Thú S½n hoÕt ðµng kªt thúc	95	-1	-1
55	0	1	59	158	402103	0	0	0	0	0	0	4	4	#{YZW_20080317_02}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	555	-1	Dã Trß BÕo tránh ra Thï	95	-1	-1
56	0	1	89	158	402103	0	0	0	0	0	0	4	4	#{YZW_20080317_02}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	105	-1	Dã Trß BÕo T¦u kªt thúc	95	-1	-1
57	1	2	676	0	402042	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Chu Løc Xúc Cúc hoÕt ðµng báo trß¾c	695	-1	-1
58	1	2	12	0	402043	75	0	0	0	0	0	4	120	#PqUét ngang Mçu Ðan Uy¬n Xúc Cúc ðÕi tái B±n Nguy®t nh¤t m¤u ch¯t Ðích mµt h°i tr§n ð¤u s¡p TÕi#Yhôm nay bu±i chi«u 19Ði¬m Chïnh#Pr¾t ra màn che! Thïnh Các Lµ anh hùng t± chÑc ðµi ngû, sÇn sàng ra tr§n, Lãnh Song B¸ Dßþc, chu¦n b¸ dñ thi!	840	60	#PXÚc Cúc ðÕi tái B±n Nguy®t nh¤t m¤u ch¯t Ðích mµt h°i tr§n ð¤u Tß¾ng TÕi#Y19Ði¬m Chïnh#Pr¾t ra màn che! Thïnh Các Lµ anh hùng t± chÑc ðµi ngû, sÇn sàng ra tr§n, Lãnh Song B¸ Dßþc, chu¦n b¸ dñ thi!	960	30	#PXÚc Cúc ðÕi tái quét ngang Mçu Ðan Uy¬n hoÕt ðµng ðã b¡t ð¥u! Thïnh m÷i ngß¶i Ðáo#GThành LÕc Dß½ng Ðoan vß½ng phü[204, 57]#Ptìm ðßþc#YÐ°ng Quán#PðÕi nhân, #GÐÕi Lý[282, 94]#YHÕ Thanh Thanh#P, #GTô Châu[187, 147]#YVu Sänh Sänh#Ptham gia tr§n ð¤u!	1140	30	#PXÚc Cúc ðÕi tái s¡p TÕi hôm nay bu±i t¯i#Y23Ði¬m#Pkªt thúc B±n Nh§t Ðích tr§n ð¤u, Thïnh Các Lµ anh hùng n¡m ch£t th¶i gian Thanh Trß¶ng Li­u!	1200	5	#PXÚc Cúc ðÕi tái B±n Nh§t tr§n ð¤u ðªn v§y kªt thúc, Thïnh Các Lµ anh hùng tháng sau lÕi ðªn chú ý tr§n ð¤u, cám ½n!	1205	-1	Chu Nh§t Xúc Cúc hoÕt ðµng thông cáo	95	-1	-1
59	0	1	2	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nga Mi BOSSQu¥n	95	-1	-1
60	0	1	42	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nga Mi BOSSQu¥n	95	-1	-1
61	0	1	62	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nga Mi BOSSQu¥n	95	-1	-1
62	0	1	79	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nga Mi BOSSQu¥n	95	-1	-1
63	0	1	6	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thäo Nguyên BOSSQu¥n	95	-1	-1
64	0	1	54	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thäo Nguyên BOSSQu¥n	95	-1	-1
65	0	1	74	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thäo Nguyên BOSSQu¥n	95	-1	-1
66	0	1	90	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thäo Nguyên BOSSQu¥n	95	-1	-1
67	0	1	10	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Kim cß½ng BOSSQu¥n	95	-1	-1
68	0	1	46	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Kim cß½ng BOSSQu¥n	95	-1	-1
69	0	1	72	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Kim cß½ng BOSSQu¥n	95	-1	-1
70	0	1	94	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Kim cß½ng BOSSQu¥n	95	-1	-1
71	0	1	14	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðµc Cáp BOSSQu¥n	95	-1	-1
72	0	1	50	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðµc Cáp BOSSQu¥n	95	-1	-1
73	0	1	78	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðµc Cáp BOSSQu¥n	95	-1	-1
74	0	1	86	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðµc Cáp BOSSQu¥n	95	-1	-1
75	0	1	13	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n Bäo Tß½ng näy sinh cái m¾i	95	-1	-1
76	0	1	41	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n Bäo Tß½ng näy sinh cái m¾i	95	-1	-1
77	0	1	53	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n Bäo Tß½ng näy sinh cái m¾i	95	-1	-1
78	0	1	73	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n Bäo Tß½ng näy sinh cái m¾i	95	-1	-1
79	0	1	94	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n Bäo Tß½ng näy sinh cái m¾i	95	-1	-1
80	1	1	0	39	808068	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1440	-1	Huy«n Võ Ðäo quái v§t tu¥n tra	95	-1	-1
81	0	1	41	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	C± mµ Trân Thú	95	-1	-1
82	0	1	49	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	C± mµ Trân Thú	95	-1	-1
83	0	1	65	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	C± mµ Trân Thú	95	-1	-1
84	0	1	77	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	C± mµ Trân Thú	95	-1	-1
85	0	1	85	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	C± mµ Trân Thú	95	-1	-1
86	0	1	93	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	C± mµ Trân Thú	95	-1	-1
90	0	1	3	1	808000	0	0	0	0	0	0	4	240	#{KHS_20080317_01}	1425	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	May m¡n khoái hoÕt Tam	95	-1	-1
91	0	1	44	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Long Quân BOSS	95	-1	-1
92	0	1	63	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Long Quân BOSS	95	-1	-1
93	0	1	78	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Long Quân BOSS	95	-1	-1
94	0	1	92	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Long Quân BOSS	95	-1	-1
124	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Løc C¤p 100 Bi®t T±	695	-1	-1
125	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Tam C¤p 100 Bi®t T±	395	-1	-1
126	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Løc 1C¤p 10 Bi®t T±	695	-1	-1
127	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Battle Royale Chu Tam 1C¤p 10 Bi®t T±	395	-1	-1
161	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	Bäo hµ bang phái	95	-1	-1
162	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	Bäo hµ bang phái	95	-1	-1
163	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_01}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo th¥y trò Luyªn	95	-1	-1
164	1	1	5	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_02}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo th¥y trò Luyªn	95	-1	-1
165	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_03}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo th¥y trò Luyªn	95	-1	-1
166	1	1	0	420	808040	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Cñc ph¦m trang b¸	95	-1	-1
167	0	1	2	420	820001	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		95	-1	-1
170	0	1	66	0	808000	0	0	0	0	0	0	4	30	#PTÂn mµt vòng Ðích#GLâu Lan t¥m bäo hoÕt ðµng#Ps¡p Vu#G19: 30#Pb¡t ð¥u, Thïnh các v¸ ngß¶i ch½i chu¦n b¸ sÇn sàng. T¤t cä c¤p b§c ðÕt t¾i#G75C¤p#P, tÂm pháp c¤p b§c ðÕt t¾i#G40C¤p#PÐích ngß¶i ch½i, chï c¥n tÕo thành#G3Nhân Ho£c ðã ngoài#PÐích ðµi ngû, tìm ðßþc#GLâu Lan(162, 75) Kim CØu Linh#Plà có th¬ tham gia.	170	5	#GLÂu Lan t¥m bäo hoÕt ðµng#Ps¡p Vu#G19: 30#Pb¡t ð¥u, Thïnh Ðáo#GLâu Lan(162, 75)#Ptìm ðßþc#GKim CØu Linh#Pbáo danh có th¬ tham gia. T¤t cä c¤p b§c ðÕt t¾i#G75C¤p#P, tÂm pháp c¤p b§c ðÕt t¾i#G40C¤p#PÐích ngß¶i ch½i, chï c¥n tÕo thành#G3Nhân Ho£c ðã ngoài#PÐích ðµi ngû là có th¬ tham gia.	180	20	#GLÂu Lan t¥m bäo hoÕt ðµng#Pðã b¡t ð¥u r°i, Thïnh Ðáo#GLâu Lan(162, 75)#Ptìm ðßþc#GKim CØu Linh#Pbáo danh có th¬ tham gia.	320	5	#PhÔm nay Ðích#GLâu Lan t¥m bäo hoÕt ðµng#PTß¾ng Vu#G22: 00#Pkªt thúc, Thïnh các v¸ ngß¶i ch½i n¡m ch£t th¶i gian.	329	1	#PhÔm nay Ðích#GLâu Lan t¥m bäo hoÕt ðµng#Pðã kªt thúc, Cäm TÕ các v¸ Ðích tham dñ. Hoan nghênh Nhçm ngày mai lÕi ðªn!	330	-1	Lâu Lan t¥m bäo	95	-1	-1
172	0	1	87	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Võ Ðäo Lôi Lân Sô Phøng	95	-1	-1
174	0	1	87	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Võ Ðäo Lôi Lân Sô Phøng	89	-1	-1
184	0	1	54	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Võ Ðäo Lôi Lân Sô Phøng	95	-1	-1
185	0	1	54	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Võ Ðäo Lôi Lân Sô Phøng	56	-1	-1
