INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
53	0	81	117	C± Uy Tín			7	5
54	0	179	177	Giä Tác Trân	Trang sÑc Ðiªm chß·ng qu¥y	Trang sÑc	6	3
55	0	127	154	Khß½ng Lý	Khách sÕn lão bän	Thñc ph¦m	6	3
56	0	207	184	Khß½ng Ngß	Câu cá kÛ nång hu¤n luy®n	Câu cá	5	4
57	0	205	172	Kim Løc Gia	Ti«n Trang tiªp Ñng SÑ	Ti«n trang	5	2
58	0	109	73	Kim Tä Hoán			7	5
59	0	220	206	Khang Mçn			7	5
60	0	65	134	Kha Bách Nhân	Giang H° Du Y	Tr¸ li®u	5	4
61	0	265	44	Kh±ng Tông Uyên	Xóa bö nhi®m vø ðÕo cø	Xóa v§t	5	4
62	0	63	147	Lang phu nhân	Chu bäo thß½ng nhân	Bäo thÕch	6	3
63	0	256	139	Lôi Hoành			7	5
64	0	134	152	Lý ÐÕi ChuÖ	ÐÕi sß n¤u ån	N¤u nß¾ng	5	4
65	0	249	111	Lý Ma Ma			7	5
66	0	253	112	Lý Sß Sß			7	5
67	0	212	156	Lâm Kim Long	Vû khí ðiªm ti¬u nh¸	Vû khí	6	3
68	0	157	35	Lßu Quang Thª			7	5
69	0	150	90	Lßu Ki®n Minh	Lînh 2 l¥n kinh nghi®m	Lãnh Song	5	4
70	0	219	262	Lßu Di®c Nông	Gieo tr°ng H÷c ðÕi sß	Tr°ng tr÷t	5	4
71	0	199	57	Li­u Phúc Sinh			7	5
72	0	100	170	Long Bá Thiên	Tr¸ li®u khí huyªt	Tr¸ li®u	5	4
73	0	60	146	Long Tam Thiªu	Công ngh® kÛ nång ðÕi sß	Công ngh®	5	4
74	0	109	210	Lã Hu® Khanh			7	5
75	0	112	64	N² Nhi Häi			7	5
76	0	174	33	Bùi Tuyên			7	5
77	0	177	184	Bành Hoài Ng÷c	Bäo thÕch công tßþng	Bäo thÕch	5	4
78	0	112	72	Phác Minh Thi®n			7	5
79	0	132	154	Tß¶ng Vy	DßÞng sinh H÷c ðÕi sß	DßÞng sinh	5	4
80	0	230	156	Ki«u Phúc Th¸nh	CØu Châu thß½ng hµi lão bän	CØa hàng	6	3
81	0	225	152	Ki«u Thanh Th¸nh			7	5
82	0	175	115	Ki«u Trí Quäng	LÕc Dß½ng thß½ng nhân	Bào Thß½ng	6	3
83	0	136	185	Khâu Hành LÕc	Säo l¶i nh¡n nhi®m vø	Ðßa thß	7	5
84	0	128	98	C¥u Hßng			7	5
85	0	254	146	Nhuª Phúc Tß¶ng	TÕp hoá Ðiªm chß·ng qu¥y	TÕp hoá	6	3
86	0	208	213	Thß Chàng			7	5
87	0	207	212	Tß Mã Quang	Nhi®m vø anh hùng		7	5
88	0	162	34	Tô Triªt			7	5
89	0	180	213	Ðàm Công			7	5
90	0	179	212	Ðàm Bà			7	5
91	0	180	185	Ðào Ð¡c Bäo	Phøc sÑc ðiªm ti¬u nh¸	Phøc sÑc	6	3
92	0	121	73	Ð¢ng Nguyên Tá Vi			7	5
93	0	136	180	Ði«n Kiêu Minh	Mua tân thü KÜ Th×a	KÜ Th×a	6	3
94	0	159	181	Thinh Thinh	Kim T® nguyên bäo ký gØi	Ký gØi	5	4
95	0	204	57	Ð°ng Quán	Xúc Cúc ðÕi tái Liêm Phöng SÑ	Xúc Cúc	5	2
96	0	230	129	Uông HÕn	CØu Châu thß½ng hµi Truy«n T¯ng Nhân	V§n chuy¬n	5	1
97	0	120	196	Xa Truy«n Nghîa	D¸ch TrÕm Lão Bän	V§n chuy¬n	5	1
98	0	213	160	Vß½ng ÐÑc Phúc	Chú Kiªm Sß Phó	Ðúc khuôn	5	4
99	0	210	154	Vß½ng ÐÑc Quý	Binh khí Ðiªm ÐÕi ðß½ng gia	Vû khí	6	3
100	0	271	88	Vß½ng Tích Tân	Ván c¶ Tiªp Dçn Nhân	Ván c¶	5	4
101	0	212	151	Vi Ð°ng ChuÏ	Thái Khoáng kÛ nång ðÕi sß	Khai Khoáng	5	4
102	0	250	106	V® Tiên Sinh	Ti«n Trang phòng thu chi	Ti«n trang	5	4
103	0	139	182	Ngô ÐÑc Xß½ng	D¸ch TrÕm Lão Bän	V§n chuy¬n	5	1
104	0	89	111	Ngû Ðinh	D¸ch dung C½ Hoá thß½ng nhân	D¸ch dung	6	3
105	0	120	63	Võ Ði«n Tín Xß½ng			7	5
106	0	177	94	HÖ Lai LÕc	Kªt hôn ði dÕo quän lý Nhân	Hôn Khánh	5	4
107	0	155	107	HÕ H¥u Nhân	Tung S½n Phong Thi«n Ðài	Thi ð¤u th¬ thao	5	2
108	0	262	53	Châu Nhiên	Chiªn trß¶ng Truy«n T¯ng Nhân	Chinh phÕt	5	2
109	0	280	141	Thôi Vî	Chiªn trß¶ng biªn thân tr¸ li®u Nhân	Biªn Thân	5	2
110	0	110	52	Tiêu Phøng Tiên			7	5
111	0	210	201	T× Kinh Lôi			7	5
112	0	120	169	Nghiêm Bách Thäo	Hái thu¯c kÛ nång ðÕi sß	Hái dßþc	5	4
113	0	252	130	Nhan Nhß Ng÷c	Trang ði¬m dung nhan sß phó	Trang ði¬m dung nhan	5	4
114	0	112	202	Yªn Thanh	Ám khí ðÕi sß	Ám Khí	5	4
115	0	250	129	Yªn Nhß Tuyªt	Quán Phát sß phó	Quán Phát	5	4
116	0	107	203	Dß½ng Th¶i			7	5
117	0	79	152	Dß½ng Hy Bình			7	5
118	0	234	69	Dß½ng Tranh			7	5
119	0	118	62	Gia Lu§t ÐÕi ThÕch			7	5
120	0	77	54	Nghi®p Phàn			7	5
121	0	75	70	Nghi®p Không			7	5
122	0	106	200	Du Tác			7	5
123	0	57	82	Du Thän Chi			7	5
124	0	160	101	Vu CØu Liên	Tung S½n Phong Thi«n Ðài	Thi ð¤u th¬ thao	5	4
125	0	40	56	Nguy®t Lão	Kªt hôn xin	Kªt hôn	5	4
126	0	182	155	Vân Hàm Nhi	Huy«n Võ Ðäo Truy«n T¯ng Nhân	Huy«n Võ	5	2
127	0	182	157	Vân Diêu Diêu	Phß¶ng chü Trùng ði¬u phß¶ng	Trân Thú	6	3
128	0	172	141	Vân Thanh Thanh	Trân Thú ð° dùng thß½ng nhân	Trân Thú	6	3
129	0	67	126	Trß½ng Bá Trí			7	5
130	0	200	61	Trß½ng Tu¤n			7	5
131	0	137	164	Trß½ng Minh Cänh	ÐÕi sß chª duþc	Chª dßþc	5	4
132	0	200	103	Chß½ng Ðôn	Ð±i Bình T£c danh hi®u	Bình T£c	5	4
133	0	150	114	Tri®u Bán ThuÖ	Tªt âm l¸ch ti®c t¯i trïa hÕt	Tiê´t Mu?c Cuô´i Nåm	5	4
134	0	228	175	?ÔÃ÷³Ï	LÕc Dß½ng Tào v§n sÑ	Tào V§n	5	4
135	0	86	89	Tri®u Ti«n Tôn			7	5
136	0	182	183	Chân Duy Tß	Phøc sÑc Ðiªm chß·ng qu¥y	Phøc sÑc	6	3
137	0	77	72	Trí Quang ÐÕi Sß			7	5
138	0	79	52	Trí Thanh ÐÕi Sß			7	5
139	0	245	96	Châu Bang NgÕn			7	5
140	0	63	131	Chu Ð°ng			7	5
141	0	194	180	Gia Cát Kh±ng Minh			7	5
142	0	112	51	Tông Ca Ban			7	5
143	0	120	54	Tông Ca ÐÕt			7	5
144	0	121	55	Tông Tán			7	5
145	0	144	116	Quách Bäo Toàn	An toàn tuyên truy«n	An toàn	5	3
146	0	246	129	Y Thiên Thái	M¾i ðÕi sß	Th¶i Trang	5	3
147	0	220	170	Trß½ng Hàng Long	Ðiêu Vån ðÕi sß	Ðiêu Vån	5	3
148	0	245	130	Y Quª	M¾i nhà	Tü qu¥n áo	5	3
149	0	166	108	Chu Thßþng	Kiªm Hµi qu¥n hùng	Kiªm Hµi	5	3
150	0	59	95	MÕnh S¤m	NhÕn Môn lu§n võ	NhÕn Môn	5	3
151	0	256	80	Ðö và ðen Vån	Trân bäo Cß chß·ng qu¥y	Thß½ng Nhân	6	3
152	0	149	145	Trình Thß½ng Bách	Phú Giáp thiên hÕ	Bào Thß½ng	7	3
153	0	211	104	Ch¾ có höi Chi	Thiên Giám Linh Võ	Linh Võ	5	4
154	0	59	41	Vß½ng Ngæ Yên	Huy«n Âm Hµi Võ	Huy«n Âm	5	3
155	0	59	47	Ðoàn Dñ	C¥m tay Nh§p giang h°	C¥m tay	5	3
156	0	52	47	Chung Linh	Duyên Ð¸nh Thành LÕc Dß½ng	Duyên Ð¸nh	5	3
157	0	40	52	Khanh nho nhö	Vþ ch°ng danh hi®u	Danh hi®u	5	3
158	0	172	94	Lý Thanh Lµ	Ðao Kiªm V¤n Tình	V¤n Tình	5	4
159	0	175	71	Li­u Nhß Hinh	Kªt duyên các\u0020hÕ thân	Kªt duyên	5	4
160	0	184	214	Ngäi Phß½ng	Lâm Tiên Lâu Chß·ng Sñ	Lâm Tiên	5	3
161	0	187	214	Ngäi Lß½ng Thanh	Lâm Tiên Lâu cØa hàng	Sách dÕy n¤u ån	6	3
162	0	201	214	Mµc lan	Hành y Trai Chß·ng Sñ	Hành y	5	3
163	0	196	214	Thß½ng Nhî	Hành y Trai cØa hàng	Phß½ng thu¯c	6	3
164	0	237	214	Th×a Änh	Chú Quy«n Tôn Chß·ng Sñ	Chú Quy«n	5	3
165	0	240	214	Tiêu Luy®n	Chú Quy«n Tôn cØa hàng	Bän v¨	6	3
166	0	230	208	Công Thâu Trác	Chuyªt Xäo Ðß¶ng Chß·ng Sñ	Chuyªt Xäo	5	3
167	0	227	208	Công Thâu Linh	Chuyªt Xäo Ðß¶ng cØa hàng	Bän v¨	6	3
168	0	199	197	Hàn Thª Trung	Long Änh C± Ðáp	Long Tháp	5	4
169	0	220	173	Trß½ng Phøc H±	Ðiêu Vån Tinh Hµi	Tinh Hµi	5	3
170	0	225	170	Trß½ng Tiªu Sß	Vån Kh¡c hành gia	Vån Kh¡c	5	3
171	0	254	130	B¯i Sß Sß	Phø tùng ðÕi sß	Phø tùng	5	3
172	0	68	64	B° Ð« Lão T±	D¸ Thª tiên nhân	D¸ Thª	5	2
173	1	32	162	Trß¶ng cänh: Kính H°		V§n chuy¬n	99	2
174	1	181	33	Trß¶ng cänh: Thái H°		V§n chuy¬n	99	2
175	1	182	287	Trß¶ng cänh: Tây H°		V§n chuy¬n	99	2
176	1	128	74	A Bích	Nhi®m vø c¯t truy®n		7	5
177	1	87	140	Ngäi H±			7	5
178	1	115	71	Bao B¤t Ð°ng			7	5
179	1	190	168	Bao Thª Vinh	Khách sÕn lão bän	Thñc ph¦m	6	3
180	1	95	181	H¥u bàn Tào	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
181	1	96	79	Tri«u B± Chi			7	5
182	1	131	230	Tr¥n Quý Thß¶ng			7	5
183	1	183	263	Trình Vi­n Chí	Giang H° Du Y	Tr¸ li®u	5	4
184	1	265	127	S· Di­n			7	5
185	1	239	128	Ð£ng M§u	Thþ rèn Phô Truy«n T¯ng Nhân	V§n chuy¬n	5	1
186	1	132	70	Ð£ng Bách Xuyên			7	5
187	1	111	133	PhÕm ÐÕi Thành	Bäo ThÕch thß½ng nhân	Bäo thÕch	6	3
188	1	127	74	Phong Ba Ác			7	5
189	1	133	70	Công Dã Càn			7	5
190	1	96	75	HÕ Chú			7	5
191	1	244	215	Hô Diên Báo	ThuÖ Lao nhi®m vø	Thüy lao	7	5
192	1	99	155	H° Ph°n	Thu¯c thß½ng nhân	MÕi Dßþc	6	3
193	1	251	108	Hoa Kiªm Vû	Liên hoàn bän sao nhi®m vø	Liên hoàn	5	4
194	1	186	182	Lß½ng ÐÕo Sî	Giæa mùa hÕ	Giæa mùa hÕ	5	4
195	1	88	181	H¥u bàn Hoa	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
196	1	238	77	Tß·ng Bình	Câu cá kÛ nång ðÕi sß	Câu cá	5	4
197	1	98	181	H¥u bàn Kh±ng	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
198	1	81	267	Lão C¯			7	5
199	1	111	160	Lý Th×a Phong	D¸ch TrÕm Lão Bän	V§n chuy¬n	5	1
200	1	240	158	Xa Truy«n An	D¸ch TrÕm Lão Bän	V§n chuy¬n	5	1
201	1	191	94	Lý LÕc Thi	Thi®n ác Tr¸ thß½ng nhân	Thi®n ác	6	3
202	1	224	184	PhÕm Thu¥n Tuý	Bang hµi Truy«n T¯ng Nhân	Bang hµi	5	2
203	1	169	138	Lß½ng Sß Thành	Ngñ TÑ sáo trang ð±i Quan	Ngñ TÑ	5	4
204	1	178	129	Lâm Tri«u Hùng	Hàn Ng÷c C¯c Truy«n T¯ng Nhân	Hàn Ng÷c	5	2
205	1	64	200	Lâm Hoà T¸nh	ÐÕi sß tr°ng tr÷t	Tr°ng tr÷t	5	4
206	1	123	112	Li­u Kim Thi«m			7	5
207	1	239	101	Vi ÐÕi Thúc	SØa d· thành hay	Ði¬m Kim	5	2
208	1	130	230	Li­u Nguy®t H°ng	May m¡n Tr×u Tß·ng ðÕi sÑ	Tr×u Tß·ng	5	2
209	1	234	78	Løc Sî Tranh	Tô Châu Tào v§n sÑ	Tào V§n	5	4
210	1	129	76	Mµ Dung Phøc	Nhi®m vø c¯t truy®n		7	5
211	1	87	80	Âu Dß½ng Tu			7	5
212	1	266	140	Âu Dã TØ	Vû khí trang b¸ tông sß	Cß¶ng hóa	5	4
213	1	266	143	Âu Tr¸ Vu	Th¥n khí Luy®n H°n Sß	Luy®n H°n	5	4
214	1	268	213	Phan Tu¤n	Quyªt ð¤u xin XØ	Quyªt ð¤u	5	4
215	1	106	111	Bàng An Th¶i	ÐÕi sß chª duþc	Chª dßþc	5	4
216	1	106	114	Bàng Song			7	5
217	1	85	162	Bình Sa NhÕn	Giang H° Du Y	Tr¸ li®u	5	4
218	1	62	162	Ti«n Hoành Vû	Liên hoàn bän sao nhi®m vø	Liên hoàn	5	4
219	1	164	80	Th¦m Trình	Lînh Song Bµi kinh nghi®m Quan Viên	Lãnh Song	5	4
220	1	222	94	Thi Trang	Trang phøc m¯t Ðiªm	Th¶i Trang	6	3
221	1	193	138	Tô Kiªm Lînh	Hoa S½n lu§n kiªm sÑ giä	Lu§n kiªm	5	4
222	1	97	204	Tô ThÑc	M§t Ái Chi Yêu	Thi Tình	7	5
223	1	194	128	Tô Song	Tô Châu thß½ng nhân	Bào Thß½ng	6	3
224	1	173	130	Tùy Báo Minh	Lu§n võ ðÕi hµi báo danh	Lu§n võ	5	4
225	1	114	72	Tôn S½n			7	5
226	1	128	173	Tôn TØ Vû	TÕp hóa thß½ng nhân	TÕp hoá	6	3
227	1	267	116	Vß½ng An ThÕch			7	5
228	1	94	177	Vß½ng Phu Nhân	Nhi®m vø Li®m	Nhi®m vø	5	4
229	1	264	126	Vß½ng Khuê			7	5
230	1	106	109	Vß½ng Th¦m Chi	ÐÕi sß hái thu¯c	Hái dßþc	5	4
231	1	94	206	NguÜ Hán Tân			7	5
232	1	224	226	NguÜ Chân			7	5
233	1	168	168	Vån NgÕn Bác	Bách biªn s¡c m£t Phä	Biªn Thân	5	5
234	1	127	133	Ngô Gi¾i	Tá Ð° nhi®m vø	Tá Ð°	7	5
235	1	187	129	HÕ ToÕi Lß½ng	Tung S½n Phong Thi«n Ðài	Thi ð¤u th¬ thao	5	2
236	1	96	127	Ð¡¸ß		Ph¯i Phß½ng	6	3
237	1	109	135	TÕ Thßþng			7	5
238	1	255	151	Tiªt Phi	Cao c¤p trang b¸ sØa chæa Sß	SØa chæa	5	4
239	1	251	151	Tiªt Chúc	ÐÕi sß luy®n kim	Ðúc khuôn	5	4
240	1	200	83	Tuyªt Trúc Liên	Rõ ràng sát khí	Thanh tâm	5	4
241	1	91	181	H¥u bàn Nghiêm	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
242	1	270	131	Lß½ng Hoä Kª	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
243	1	96	86	Nhan Tra Tán			7	5
244	1	211	80	Dß Hoá Long	ÐÕi sß may vá	May	5	4
245	1	96	89	Vû M£c			7	5
246	1	187	147	Vu Sänh Sänh	Xúc Cúc ðÕi tái ð£c sÑ	Xúc Cúc	5	2
247	1	192	148	NhÕc Thß¶ng Viên			7	5
248	1	87	142	Vân Phi Phi	Phß¶ng chü Trùng ði¬u phß¶ng	Trân Thú	6	3
249	1	88	76	Tång Cüng			7	5
250	1	109	130	T¢ng Tam Tïnh	ÐÕi sß mÛ ngh®	Công ngh®	5	4
251	1	90	177	Trß½ng Tiªn Bäo	Nguyên bäo tài li®u thß½ng nhân	Tài li®u	6	3
252	1	96	83	Trß½ng L²i			7	5
253	1	267	210	Trß½ng Thø M§u			7	5
254	1	259	132	Trß½ng Ti¬u Hà	Thái Khoáng kÛ nång ðÕi sß	Khai Khoáng	5	4
255	1	251	130	Trß½ng Ti¬u Tuy«n	Vû khí ðiªm lão bän	Vû khí	6	3
256	1	174	147	Trß½ng D¸ch Qu¯c	Ván c¶ Tiªp Dçn Nhân	Ván c¶	5	4
257	1	177	179	Trß½ng TrÕch Ðoan			7	5
258	1	234	227	Tr¸nh Thiên Th÷			7	5
259	1	189	173	Trí Hoá	ÐÕi sß n¤u ån	N¤u nß¾ng	5	4
260	1	124	113	Châu Ðôn Di			7	5
261	1	160	72	Chu Ðan Th¥n			7	5
262	1	181	74	Chu Phòng Phong	Giang H° Du Y	Tr¸ li®u	5	4
263	1	270	150	Chu Phong	Chª tÕo tông sß	Chª tÕo	5	4
264	1	129	107	Th¦m dÕ vû	ThuÖ Nguy®t S½n Trang truy«n t¯ng SÑ	ThuÖ Nguy®t	5	4
265	1	237	168	Chúc Tam Ni®m	Nguyên v§t li®u thß½ng nhân	Tài li®u	6	3
266	1	217	88	Tä Quý Cao	Phòng Cø ðiªm lão bän	Phøc sÑc	6	3
267	1	129	213	Tä Ð°ng	LÕc Thi®n sÑ giä	Thiên t¥m	7	2
268	1	91	84	Thánh hoä ðàn			7	2
269	1	217	81	Tä Vô Song	V§t ph¦m trang sÑc thß½ng nhân	Trang sÑc	6	3
270	1	87	143	Vân Tß Nhi	Huy«n Võ Ðäo Truy«n T¯ng Nhân	Huy«n Võ	5	2
271	1	248	184	Vân San San	Trân Thú trang b¸	Thú Giáp	5	3
272	1	251	184	Vân Tuyªt Nhi	Trân Thú trang b¸	Thú Giáp	5	3
273	1	141	88	An Dî Hiên	HÕnh phúc công chúa	Công chúa	5	3
274	1	193	144	Xung Sß ÐÕo	Binh Hành TÑ Tßþng	TÑ Tßþng	5	3
275	1	193	133	Chu Tr÷ng Thanh	Kiªm Hµi qu¥n hùng	Kiªm Hµi	5	3
276	1	89	139	Vân th§t sâu	Vân Gia Thü S½n Giä	Thú H°n	5	3
277	1	91	144	Vân Quyªt Quyªt	Lòng son Ð¸ch Tr¥n	H°n Tr¥n	5	3
278	1	91	139	Vân Hi¬u Hi¬u	Vân Gia cô gái	Thú H°n	5	3
279	1	135	81	Vân Lan Châu	Thanh Khâu dçn ðµ Nhân	Thú H°n	5	3
280	1	92	134	Vân Th¥n Th¥n	H°n Tß Thiên Hµi	Thú H°n	5	3
281	1	177	150	TÕ Vân Ðình	Phú Giáp thiên hÕ	Bào Thß½ng	7	3
282	1	173	134	Tô Ðào	M§t Ái Chi Yêu	Thông minh s¡c xäo	5	3
283	1	109	202	Nh§m Tri®u	Ð±i tính	Ð±i tính	5	4
284	2	159	287	Trß¶ng cänh: Nh¸ Häi		V§n chuy¬n	99	2
285	2	31	151	Trß¶ng cänh: Kiªm Các		V§n chuy¬n	99	2
286	2	288	151	Trß¶ng cänh: Vô Lßþng S½n		V§n chuy¬n	99	2
287	2	160	157	Tri®u Thiên Sß	TÑ ðÕi hi«n nhân	Hi«n nhân	7	2
288	2	182	118	PhÕm Thu¥n L­	Bang hµi Truy«n T¯ng Nhân	Bang hµi	5	2
289	2	182	141	H°ng ÐÕi Quý	Lînh Song Bµi kinh nghi®m Quan Viên	Lãnh Song	5	4
290	2	274	95	Trß½ng D¸ch Qu¯c	Ván c¶ Tiªp Dçn Nhân	Ván c¶	5	4
291	2	178	133	BÕch Sùng Nghîa	Tung S½n Phong Thi«n Ðài	Thi ð¤u th¬ thao	5	2
292	2	278	152	BÕch Tri¬n Nguyên	Giang H° Du Y	Tr¸ li®u	5	4
293	2	163	139	Trình Thanh Sß½ng	Phái Thiên S½n tiªp dçn SÑ	Thiên S½n	5	2
294	2	235	228	S½ Kích Bình	Xem xét Phù thß½ng nhân	Xem xét	6	3
295	2	58	38	ChØ VÕn Lý			7	5
296	2	90	72	Thôi Bách Tuy«n			7	5
297	2	241	137	Thôi Phùng CØu	D¸ch TrÕm Lão Bän	V§n chuy¬n	5	1
298	2	250	103	Xa Truy«n Chí	D¸ch TrÕm Lão Bän	V§n chuy¬n	5	1
299	2	163	129	Ðàm Ðài TØ Vû	Tiêu Dao Phái tiªp dçn SÑ	Tiêu dao	5	2
300	2	49	56	Ðao BÕch Phøng			7	5
301	2	151	167	Ðô ÐÕi Säng	Tài phú ðÕi sÑ	Tài phú	5	4
302	2	117	157	Ð² TØ Phi	ÐÕi sß n¤u ån	N¤u nß¾ng	5	4
303	2	110	159	Ð² TØ Ð¢ng	Khách sÕn lão bän	Thñc ph¦m	6	3
304	2	215	284	Ðoàn Diên Khánh	Nhi®m vø c¯t truy®n		7	5
305	2	63	36	Ðoàn Chính Thu¥n	ÐÕi Lý Qu¯c Tr¤n Nam Vß½ng		7	5
306	2	60	39	Ðoàn Chính Minh	ÐÕi Lý Qu¯c hoàng ðª		7	5
307	2	163	41	—¶æè			7	5
308	2	97	222	Phøng Tri«u Dß½ng	Võ quán quán chü	Lu§n võ	5	4
309	2	100	129	Phó Ðß½ng Quy	ÐÕi sß chª duþc	Chª dßþc	5	4
310	2	73	41	Phó Tß Quy			7	5
311	2	237	279	Cam Bäo Bäo			7	5
312	2	64	37	Cao Thång Thái			7	5
313	2	58	133	Cao Thång Tß¶ng	TÕp hóa thß½ng nhân	TÕp hoá	6	3
314	2	36	146	Các La Ách	Tây Môn DßÞng Ðiêu Nhân		5	4
315	2	151	255	Các La L²	Nam Môn DßÞng Ðiêu Nhân		5	4
316	2	281	146	Các La Thi®n	Ðông Môn DßÞng Ðiêu Nhân		5	4
317	2	281	164	Các La Thích	Ðông Môn DßÞng Ðiêu Nhân		5	4
318	2	209	279	Các La Ngµt	Nam Môn DßÞng Ðiêu Nhân		5	4
319	2	56	134	Các La Y	Tây Môn DßÞng Ðiêu Nhân		5	4
320	2	277	168	Công Tôn ÐÕi Thúc	Ðông Môn gieo tr°ng kÛ nång ðÕi sß	Tr°ng tr÷t	5	4
321	2	171	123	Cung Thái Vân	HoÕt ðµng thß·ng cho sÑ giä	HoÕt ðµng	5	4
322	2	77	41	C± Ð¯c Thành			7	5
323	2	218	110	Quá Tam ChuÏ	ÐÕi sß luy®n kim	Ðúc khuôn	5	4
324	2	70	120	Quá NgÕn Chi			7	5
325	2	163	136	Häi Phong TØ	Tinh Tú Phái tiªp dçn ð® tØ	Tinh Túc	5	2
326	2	81	162	Hàn Vînh An	Hi®u c¥m ð° lão bän	Tài li®u	6	3
327	2	207	172	Hà Sinh Kim	Tài li®u thß½ng nhân	Tài li®u	6	3
328	2	223	171	H¥u bàn Hà	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
329	2	75	51	Hoa Hách C¤n	ÐÕi Lý Tß Ð°		7	5
330	2	238	172	Hoàng Công ÐÕo	Trang phøc Ðiªm chß·ng qu¥y	Phøc sÑc	6	3
331	2	243	172	Hoàng Lång Ba	ÐÕi sß may vá	May m£c	5	4
332	2	275	49	Hoàng Mi Tång	Niêm Hoa Tñ trø trì		7	5
333	2	156	132	Tu® D¸ch	Thiªu Lâm Tñ tiªp dçn Tång	Thiªu Lâm	5	2
