INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1010024	519	19	0	1	0	0	200	66	Lñc chiªn	#{MIS_TAR_ADD_024}	#{Mis_S_DunHuang_1010024}	0		#{RW_20080317_12}	8	Dß½ng Vån Quäng	3	Sài Tiªn	3	Sài Tiªn	0		18	901	-1	-1	0	130	15120	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010030	463	14	0	1	0	0	182	81	Ng÷n ngu°n	#{MIS_TAR_ADD_026}	#{Mis_S_Songshan_1010030}	1	#{RW_20080317_02}	#{RW_20080317_13}	3	Tiêu Nhßþng	3	Løc Tùng	3	Løc Tùng	0		15	-1	-1	-1	0	156	2100	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10420062	1	10422103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010031	6	-1	-1
1010031	464	14	0	1	0	0	200	66	Thu¯c An Th¥n	#{MIS_TAR_ADD_027}	#{Mis_S_Songshan_1010031}	1	#{RW_20080317_02}	#{RW_20080317_14}	3	Løc Tùng	3	Sài Tiªn	3	Sài Tiªn	0		15	463	-1	-1	0	156	2520	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002129	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010032	467	14	0	1	0	0	209	79	H÷a t× Tiêu Nhßþng	#{MIS_TAR_ADD_028}	#{Mis_S_Songshan_1010032}	0		#{RW_20080317_15}	3	Løc Ngßng Sß½ng	3	Tiêu Nhßþng	3	Tiêu Nhßþng	0		18	466	-1	-1	0	156	3780	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413063	1	10421063	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010033	468	14	0	1	0	0	155	54	Ðan Thß Thiªt Khoán	#{MIS_TAR_ADD_029}	#{Mis_S_Songshan_1010033}	0		#{RW_20080317_16}	3	Tiêu Nhßþng	30	Trß½ng Thúc DÕ	30	Trß½ng Thúc DÕ	0		18	467	-1	-1	0	290	15120	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010040	640	41	0	1	0	0	164	262	MÛ tØu ca dao	#{MIS_TAR_ADD_031}	#{Mis_S_Xihu_1010040}	0		#{RW_20080317_17}	30	Trß½ng Thúc DÕ	30	Tô Phi	30	Tô Phi	0		20	-1	-1	-1	0	2200	9900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010041	643	41	0	1	0	0	142	47	Nghiên cÑu Khôi L²i	#{MIS_TAR_ADD_032}	#{Mis_S_Xihu_1010041}	0		#{RW_20080317_18}	30	Tô Phi	30	Kim ÐÕi Kiên	30	Kim ÐÕi Kiên	0		23	-1	-1	-1	0	2200	11100	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010042	6	-1	-1
1010042	644	41	0	1	0	0	164	262	Tu La Thu§t	#{MIS_TAR_ADD_033}	#{Mis_S_Xihu_1010042}	0		#{RW_20080317_19}	30	Kim ÐÕi Kiên	30	Tô Phi	30	Tô Phi	0		23	643	-1	-1	0	2300	8850	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10410064	1	10411070	1	10413064	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010043	649	41	0	1	0	0	207	49	L§p nghi®p t× tay tr¡ng	#{MIS_TAR_ADD_034}	#{Mis_S_Xihu_1010043}	1	#{RW_20080317_02}	#{RW_20080317_20}	30	Mã Hán	24	Ðao Nghiêu	24	Ðao Nghiêu	0		25	-1	-1	-1	0	2500	13200	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002078	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010050	528	29	0	1	0	0	165	137	Tình hæu ngh¸ b¸ quên lãng.	#{MIS_TAR_ADD_036}	#{Mis_S_Yannan_1010050}	0		#{RW_20080317_21}	18	Chüng Thª Hoành	31	Lôi Hoán	31	Lôi Hoán	0		35	-1	-1	-1	0	4800	13500	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010060	533	30	0	1	0	0	232	192	BÑc thß th¥n bí	#{MIS_TAR_ADD_038}	#{Mis_S_Yanbei_1010060}	1	#{RW_20080317_02}	#{RW_20080317_22}	19	Miêu Khánh	19	Khúc Ðoan	19	Khúc Ðoan	0		48	530	532	-1	0	4600	800	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1010061	6	-1	-1
1010061	535	30	0	1	0	0	271	50	Tìm L² Bình	#{MIS_TAR_ADD_039}	#{Mis_S_Yanbei_1010061}	0		#{RW_20080317_23}	19	Khúc Ðoan	19	L² Bình	19	L² Bình	0		48	533	-1	-1	0	4500	5000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010062	537	30	0	1	0	0	232	192	Phúc ðáp Khúc Ðoan	#{MIS_TAR_ADD_040}	#{Mis_S_Yanbei_1010062}	0		#{RW_20080317_24}	19	L² Bình	19	Khúc Ðoan	19	Khúc Ðoan	0		48	536	-1	-1	0	4750	6000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413069	1	10401065	1	10410068	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010063	539	30	0	1	0	0	194	52	Mµt bÑc thß t× nhà gØi ðªn	#{MIS_TAR_ADD_041}	#{Mis_S_Yanbei_1010063}	1	#{RW_20080317_02}	#{RW_20080317_25}	19	Khúc Ðoan	32	Khúc Dß½ng	32	Khúc Dß½ng	0		50	-1	-1	-1	0	8700	16400	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002061	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010070	603	37	0	1	0	0	45	44	Thª ngoÕi trà viên	#{MIS_TAR_ADD_043}	#{Mis_S_Shilin_1010070}	0		#{RW_20080317_26}	26	Tr¸nh Huy«n	26	T¥n H°ng Miên	26	T¥n H°ng Miên	0		55	602	-1	-1	0	22000	7300	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010071	605	37	0	1	0	0	183	167	L¶i th«	#{MIS_TAR_ADD_044}	#{Mis_S_Shilin_1010071}	1	#{RW_20080317_02}	#{RW_20080317_27}	26	Dß½ng Thiªt Tín	26	Tr¸nh Viên	26	Tr¸nh Viên	0		55	-1	-1	-1	0	41200	6700	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002111	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010073	609	37	0	1	0	0	190	200	Nhæng ngß¶i trên thäo nguyên	#{MIS_TAR_ADD_045}	#{Mis_S_Shilin_1010073}	0		#{RW_20080317_28}	26	Tr¸nh Huy«n	20	Nguy­n lão thái thái	20	Nguy­n lão thái thái	0		60	608	-1	-1	0	25000	9900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010080	545	31	0	1	0	0	164	158	Tuy®t Tình Kiªm	#{MIS_TAR_ADD_047}	#{Mis_S_Caoyuan_1010080}	0	  	#{RW_20080317_29}	20	Nguy­n Thành	20	Tiêu Tß¶ng	20	Tiêu Tß¶ng	0		62	544	-1	-1	2130	0	12000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002065	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1030082	6	-1	-1
1010081	549	31	0	1	0	0	170	73	Nghe danh xu¯ng ngña	#{MIS_TAR_ADD_048}	#{Mis_S_Caoyuan_1010081}	1	#{RW_20080317_02}	#{RW_20080317_30}	20	Nguy­n Thành	33	Th¦m VÕn Tam	33	Th¦m VÕn Tam	0		65	-1	-1	-1	25300	0	18000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010090	553	32	0	1	0	0	168	204	Liêu Quân Nguyên Soái	#{MIS_TAR_ADD_064}	#{Mis_S_Liaoxi_1010090}	0		#{RW_20080317_31}	21	Bác Nhî Luân	21	Gia Lu§t Kim	21	Gia Lu§t Kim	0		75	552	-1	-1	49800	0	9000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010100	562	33	0	1	0	0	156	124	T£ng rßþu thu¯c	#{MIS_TAR_ADD_066}	#{Mis_S_Changbai_1010100}	1	#{RW_20080317_02}	#{RW_20080317_32}	22	Ð° Ðan Phúc T¤n	22	Hoàn Nhan Ngô Kh¤t Mãi	22	Hoàn Nhan Ngô Kh¤t Mãi	0		88	-1	-1	-1	50500	0	13000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002103	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010101	565	33	0	1	0	0	234	77	Tìm A C¯t Ðä	#{MIS_TAR_ADD_067}	#{Mis_S_Changbai_1010101}	1	#{RW_20080317_02}	#{RW_20080317_33}	22	Hoàn Nhan Doanh Ca	22	Hoàn Nhan A C¯t Ðä	22	Hoàn Nhan A C¯t Ðä	0		90	560	-1	-1	53500	0	16000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002102	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1010102	6	-1	-1
1010102	566	33	0	1	0	0	117	107	Gi¤u Tài Nång	#{MIS_TAR_ADD_068}	#{Mis_S_Changbai_1010102}	1	#{RW_20080317_02}	#{RW_20080317_34}	22	Hoàn Nhan A C¯t Ðä	22	Hoàn Nhan A Lý B¯	22	Hoàn Nhan A Lý B¯	0		90	565	-1	-1	49700	0	15000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413079	1	10411084	1	0	0	0	0	0	0	0	0	0	0	0	0	2	40002100	1	1	40002101	1	1	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010110	580	36	0	1	0	0	57	73	Tình mçu tØ	#{MIS_TAR_ADD_050}	#{Mis_S_Erhai_1010110}	0		#{RW_20080317_35}	24	Ðao Nghiêu	24	Ðao Lß½ng Hiên	24	Ðao Lß½ng Hiên	0		25	-1	-1	-1	0	1700	2400	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010111	589	36	0	1	0	0	262	47	Phát hi®n cüa Tát Ninh	#{MIS_TAR_ADD_051}	#{Mis_S_Erhai_1010111}	0		#{RW_20080317_36}	24	Tát Ninh	18	Chüng Thª Hoành	18	Chüng Thª Hoành	0		30	588	-1	-1	0	2900	3400	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010120	597	35	0	1	0	0	202	108	Thß½ng s½n tuyªt bay	#{MIS_TAR_ADD_053}	#{Mis_S_Cangshan_1010120}	1	#{RW_20080317_02}	#{RW_20080317_37}	25	Tát Mã	25	Tát Tang	25	Tát Tang	0		43	595	596	-1	0	5400	11000	-1	0		0		0	0		10421067	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002146	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1000124	6	-1	-1
1010121	599	35	0	1	0	0	232	192	Sñ ð«n ðáp h§u hî	#{MIS_TAR_ADD_054}	#{Mis_S_Cangshan_1010121}	1	#{RW_20080317_02}	#{RW_20080317_38}	25	Tát Tang	19	Khúc Ðoan	19	Khúc Ðoan	0		45	-1	-1	-1	0	7700	9600	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002147	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010130	663	43	0	1	0	0	205	44	Thông báo nguy hi¬m	#{MIS_TAR_ADD_056}	#{Mis_S_Wuyi_1010130}	1	#{RW_20080317_02}	#{RW_20080317_39}	32	TØ Vi	32	Thüy Tiên	32	Thüy Tiên	0		50	662	-1	-1	0	6200	10500	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002149	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010131	668	43	0	1	0	0	195	42	Giäi thích rõ	#{MIS_TAR_ADD_057}	#{Mis_S_Wuyi_1010131}	0		#{RW_20080317_40}	32	Khúc Dß½ng	32	TØ Vi	32	TØ Vi	0		55	-1	-1	-1	0	6200	18000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010132	6	-1	-1
1010132	669	43	0	1	0	0	45	44	Thiên m®nh t¯i cao	#{MIS_TAR_ADD_058}	#{Mis_S_Wuyi_1010132}	0		#{RW_20080317_41}	32	TØ Vi	26	T¥n H°ng Miên	26	T¥n H°ng Miên	0		55	668	-1	-1	0	10500	16800	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010140	651	42	0	1	0	0	207	63	Ðµc Thßþng Kim S½n Tñ	#{MIS_TAR_ADD_060}	#{Mis_S_Longquan_1010140}	0		#{RW_20080317_42}	31	Ông Quý Chi	31	Pháp Ni®m	31	Pháp Ni®m	0		35	-1	-1	-1	0	3800	7900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010141	655	42	0	1	0	0	51	115	M÷i Chuy®n Ðã Qua	#{MIS_TAR_ADD_061}	#{Mis_S_Longquan_1010141}	0		#{RW_20080317_43}	31	Pháp Ni®m	31	A Thanh	31	A Thanh	0		38	-1	-1	-1	0	4700	9900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413067	1	10412066	1	0	0	0	0	0	0	0	0	0	0	0	0	1	40002150	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010142	659	42	0	1	0	0	202	108	Nh§t mµ Thß½ng s½n vi­n	#{MIS_TAR_ADD_062}	#{Mis_S_Longquan_1010142}	0		#{RW_20080317_44}	31	Lôi Hoán	25	Tát Tang	25	Tát Tang	0		40	-1	-1	-1	0	6000	12500	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010150	632	40	0	1	0	0	157	223	Cäm ½n	#{MIS_TAR_ADD_070}	#{Mis_S_Miaojiang_1010150}	1	#{RW_20080317_84}	#{RW_20080317_45}	29	A Vû	28	Dß½ng Minh	28	Dß½ng Minh	0		96	-1	-1	-1	46000	0	53000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10410080	1	10420078	1	0	0	0	0	0	0	0	0	0	0	0	0	1	40002086	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1010151	6	-1	-1
1010151	633	40	0	1	0	0	182	265	Kª hoÕch cüa Dß½ng Minh	#{MIS_TAR_ADD_071}	#{Mis_S_Miaojiang_1010151}	0		#{RW_20080317_46}	29	Dß½ng Minh	29	A Vû	29	A Vû	0		96	632	-1	-1	23000	0	45000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010152	637	40	0	1	0	0	157	223	Chï Th¸ Cüa Tu La Vß½ng	#{MIS_TAR_ADD_072}	#{Mis_S_Miaojiang_1010152}	1	#{RW_20080317_85}	#{RW_20080317_47}	29	A Vû	28	Dß½ng Minh	28	Dß½ng Minh	0		98	634	635	636	22000	0	42000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10422119	1	10421076	1	0	0	0	0	0	0	0	0	0	0	0	0	1	40002090	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010160	625	39	0	1	0	0	147	47	Báo cáo kªt quä chi¬n ð¤u	#{MIS_TAR_ADD_074}	#{Mis_S_Nanzhao_1010160}	1	#{RW_20080317_02}	#{RW_20080317_48}	28	Dß½ng Minh	28	BÕch Lan	28	BÕch Lan	0		87	624	-1	-1	68400	0	47000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10422116	1	10421074	1	0	0	0	0	0	0	0	0	0	0	0	0	1	40002079	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010161	628	39	0	1	0	0	157	223	Phßþng Vån Ngân Töa Phiªn	#{MIS_TAR_ADD_075}	#{Mis_S_Nanzhao_1010161}	1	#{RW_20080317_86}	#{RW_20080317_49}	28	BÕch Lan	28	Dß½ng Minh	28	Dß½ng Minh	0		87	627	-1	-1	68400	0	47000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10400070	1	10401068	1	10402070	1	10406870	1	0	0	0	0	0	0	0	0	1	40002080	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010162	629	39	0	1	0	0	117	108	Anh hùng lúc già	#{MIS_TAR_ADD_076}	#{Mis_S_Nanzhao_1010162}	0		#{RW_20080317_50}	28	BÕch Cänh Võ	22	Hoàn Nhan A Lý B¯	22	Hoàn Nhan A Lý B¯	0		89	-1	-1	-1	64900	0	39000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010170	613	38	0	1	0	0	279	47	Tuy®t Thª Th¥n Binh	#{MIS_TAR_ADD_078}	#{Mis_S_Yuxi_1010170}	1	#{RW_20080317_02}	#{RW_20080317_51}	27	Sách Mçu LÕp	27	A H¡c	27	A H¡c	0		70	610	611	612	21400	0	14600	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10410073	1	10420072	1	0	0	0	0	0	0	0	0	0	0	0	0	1	40002155	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010171	614	38	0	1	0	0	46	51	Ca ca ng¯c	#{MIS_TAR_ADD_079}	#{Mis_S_Yuxi_1010171}	1	#{RW_20080317_02}	#{RW_20080317_52}	27	A Y Na	27	La B¯c	27	La B¯c	0		72	-1	-1	-1	21000	0	20800	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10421071	1	10404067	1	0	0	0	0	0	0	0	0	0	0	0	0	1	40002156	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
1010172	619	38	0	1	0	0	170	206	Không h¤p bánh bao	#{MIS_TAR_ADD_080}	#{Mis_S_Yuxi_1010172}	1	#{RW_20080317_02}	#{RW_20080317_53}	27	C± L² LÕp	21	Gia Lu§t Kim	21	Gia Lu§t Kim	0		72	-1	-1	-1	25632	0	16000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002157	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1
