INT	INT	INT
585	88880806	270
586	89017401	662
587	89017402	30
588	89022302	19
589	89016101	644
590	88880807	663
591	88880808	270
592	88880809	270
593	202303151	664
594	99826001	30
595	99826301	665
596	99826301	545
597	79201201	665
598	79201201	545
599	99826501	19
600	88881101	270
601	79201203	545
602	20230406	684
603	79210702	672
604	79210703	270
605	20230407	684
606	2023040601	270
607	79210805	742
608	20230410	697
609	20230411	694
610	79210705	673
611	88880810	706
612	88880811	270
613	80602101	701
614	80602102	701
615	80602103	701
616	80600501	703
617	80600502	703
618	80600503	703
619	80600504	703
620	80600305	704
621	80600301	705
622	80600302	705
623	80600303	705
624	99829701	689
625	99829702	689
626	99829703	689
627	80602104	19
628	79210201	671
629	88880812	270
630	50501001	710
631	99829001	680
632	99829101	681
633	99829201	682
634	99829301	683
635	99827201	714
636	998329001	715
637	998329002	692
638	998329003	692
639	998329004	715
640	998329005	699
641	40103001	721
642	40103002	722
643	99831901	716
644	20140612	723
645	8092720	19
646	99833401	724
647	99833402	697
648	79210801	711
649	79210802	708
650	79210803	270
651	998329006	699
652	99833702	741
653	99832401	674
654	99832402	675
655	99832403	674
656	99832404	685
657	99832404	674
658	99832501	700
659	99832502	707
660	99832601	686
661	99832602	691
662	99832403	700
663	99832403	707
664	99832403	685
665	99832403	686
666	99832403	725
667	99832701	725
668	89021506	270
669	89021506	122
670	99833701	726
671	99831901	732
672	99831902	732
673	99829704	733
674	99829705	733
675	99833403	724
676	89025901	735
677	89025902	735
678	89026201	735
679	89026202	735
680	998329003	693
681	89026203	735
682	89025903	735
683	99829706	734
684	99826901	736
685	99827001	737
686	99827002	19
687	80600306	704
688	998329007	699
689	99834801	19
690	79210804	270
691	99831901	744
692	50501101	743
693	80602105	270
694	20230510	749
695	202305101	747
696	20230510	748
697	202305101	748
698	79109901	120
699	998001069	750
700	998001070	750
701	99838701	757
702	99838702	36
703	99838703	270
704	120203161	758
705	120203161	146
706	120203161	32
707	120203161	277
708	120203161	276
709	120203161	280
710	120203161	281
711	120203161	282
712	120203161	283
713	120203161	284
714	120203161	512
715	120203161	513
716	120203161	115
717	120203161	116
718	120203161	152
719	99835201	429
720	99838704	757
721	99835302	431
722	99835301	429
723	89018601	759
724	89139603	761
725	89139603	420
726	88881201	774
727	88881202	775
728	88881203	19
729	88881204	19
730	88881205	780
731	88881501	778
732	88881502	777
733	99846701	786
734	99844502	789
735	99844501	787
736	99839602	770
737	99839603	771
738	89334602	791
739	2505531	19
740	2505532	792
741	99844502	787
742	79110001	760
743	79110301	781
744	998478001	784
745	998478002	270
746	2023072501	782
747	99850901	793
748	2023072502	782
749	88881503	794
750	99850601	772
751	99846201	790
752	99846202	790
753	99850602	270
754	99850603	772
755	99826502	19
756	998478001	24
757	79110301	122
758	89027202	795
759	89027302	795
760	89027401	797
761	89027601	796
762	89027602	796
763	88881209	19
764	998515001	799
765	998478003	270
766	891396005	270
767	99839604	803
768	99851701	801
769	99848001	806
770	99848002	807
771	99851801	804
772	99850604	772
773	99839601	795
774	89106203	270
775	89008601	19
776	88881504	19
777	88881505	19
778	89008602	640
779	99849701	30
780	99849702	30
781	99849703	30
782	99849704	30
783	89318701	270
784	89319701	270
785	89320701	270
786	99852201	810
787	99852202	270
788	99852203	811
789	99852204	270
790	89297403	814
791	892974005	270
792	89297403	468
793	89029101	815
794	99990501	19
795	89028901	819
796	88881801	812
797	99844301	818
798	99853101	823
799	99852601	19
800	99852602	19
801	99852603	821
802	99852604	822
803	88881802	812
804	99852605	822
805	99850605	122
806	99850605	270
807	89266699	19
808	88881803	826
809	88881804	826
810	99854001	827
811	99854002	270
812	99854201	828
813	99854101	829
814	88881805	19
815	89297406	270
816	99853701	30
817	99853702	606
818	998545001	799
819	99858501	833
820	99858301	830
821	99858502	270
822	99856301	30
823	99856302	30
824	89029501	837
825	89029501	838
826	89029501	840
827	88882001	841
828	88882002	270
829	89000601	19
830	89297404	468
831	99855901	845
832	99855901	846
833	99859501	831
834	99868101	839
835	99868102	839
836	99865501	836
837	99865502	836
838	2023031401	270
839	88880403	398
840	20230314	600
841	99871101	857
842	99869401	842
843	99869601	843
844	99871102	848
845	99869801	270
846	99870201	844
847	99867701	38
848	99872401	137
849	890982	850
850	99855901	849
851	99869402	270
852	99870901	851
853	99855902	849
854	99858503	854
855	99857601	847
856	99855903	856
857	99858302	832
858	99873901	858
859	99873902	1958
860	99873903	30
861	20120406	859
862	20120406	276
863	20120406	278
864	20120406	32
865	20120406	146
866	20120406	284
867	20120406	277
868	20120406	281
869	20120406	283
870	20120406	282
871	20120406	280
872	20120406	512
873	20120406	513
874	20120406	485
875	20120406	115
876	20120406	116
877	20120406	152
878	20120406	288
879	20120406	481
880	20120406	482
881	20120406	483
882	20120406	484
883	20120406	541
884	99859601	862
885	99859602	857
886	99858401	861
887	2024040301	863
888	81015301	864
889	81015302	864
890	99878901	866
891	99878902	865
892	99879701	866
893	81015501	867
894	81015501	868
895	81015501	869
896	99877201	870
897	20240407	873
898	2024040301	122
899	99880610	875
900	99880611	875
901	99878601	871
902	89036102	880
903	89036101	881
904	89036103	882
905	20240410	883
906	99881201	884
907	81015201	864
908	81015202	864
909	89030501	885
910	89030502	887
911	89030504	886
912	89030511	270
913	89030512	270
914	89030513	270
915	99881401	890
916	89030505	892
917	89030506	895
918	89030507	896
919	99881901	270
920	99882501	860
921	99875101	877
922	20240426	894
923	99880612	898
924	99880613	899
925	99880614	899
926	81015501	903
927	99883101	900
928	99883102	901
929	99883103	902
930	99883104	30
931	99883105	30
932	99883106	902
933	99883201	905
934	99883202	906
935	99926201	902
936	99926202	30
937	89289599	910
938	2024061401	911
939	2024061401	122
940	999261001	927
941	2024062601	922
942	2024062602	923
943	82002201	935
944	82002301	941
945	82002302	941
946	89036401	913
947	89036402	913
948	89036403	913
949	82003001	940
950	82003002	938
951	82003003	938
952	82003005	937
953	82003006	942
954	99913702	912
955	99913703	912
956	99913201	914
957	99912201	919
958	99916401	920
959	99916501	921
960	8200201	956
961	20240606	932
962	5112803	928
963	5112801	929
964	5112802	930
965	5112804	931
966	5112805	270
967	5122801	934
968	890391001	43
969	99919601	947
970	99929902	19
971	99929901	945
972	89334603	793
973	99949101	966
974	2024082101	968
975	99936101	907
976	99936102	907
977	99936110	61
978	99936110	270
979	88991201	915
980	88990902	270
981	88991202	915
982	88991101	918
983	88991001	270
984	88991203	36
985	88991501	963
986	88990903	122
987	99936103	908
988	20240726	368
989	99944101	951
990	99944102	951
991	99944103	964
992	99944104	964
993	99941601	924
994	99941602	924
995	20130427	1193
996	20130428	1193
997	20130508	1193
998	20130513	1194
999	20130514	1194
1000	20130515	1194
1001	20130516	1194
1002	201305151	1194
1003	316022021	1195
1004	316022022	1195
1005	707022021	1195
1006	707022022	1196
1007	20200427	1197
1008	202004272	1198
1009	202004273	1199
1010	202004274	1200
1011	202004275	1201
1012	201107281	1201
1013	202402112	1201
1014	202402111	1201
1015	202004276	1202
1016	202402161	1202
1017	20250806	1203
1018	20250813	1203
1019	20251126	1204
1020	20251127	1205
1021	20260121	1206
1022	99222222	1207
1023	99222223	1207
1024	1006	195
1025	88888880	541
1026	88888881	541
1027	88888882	541
1028	88888883	541
1029	88888884	541
1030	88888885	541
1031	88888886	541
1032	88888887	541
1033	88888888	541
1034	88888889	541
1035	88888890	541
1036	88888891	541
1037	88888892	541
1038	88888893	541
1039	88888894	541
1040	88888895	541
1041	88888896	541
1042	88888897	541
1043	88888898	541
1044	88888899	541
1045	202602161	981
1046	202602162	908
1047	20250829	19
1048	20220902	1199
1049	2023122205	1208
1050	2023122306	16
1051	418042021	1210
1052	202501281	1210
1053	202501291	1210
