INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
14	NgÕn Chï Ðinh Lan	NgÕn Chï Ðinh Lan	0	1	0	0	0	yanhuo_RMB04	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
15	Lßu Quang D§t Thái	Lßu Quang D§t Thái	0	1	0	0	0	yanhuo_RMB06	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
16	Thiên Vû Bäo Luân	Thiên Vû Bäo Luân	0	1	0	0	0	yanhuo_RMB07	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
17	Thiên Nhßþc Hæu Tình	Thiên Nhßþc Hæu Tình	0	1	0	0	0	yanhuo_RMB08	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
18	Li®t Höa Phi Tuy«n	Li®t Höa Phi Tuy«n	0	1	0	0	0	yanhuo_RMB09	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
19	Ngû Tinh Liên Châu	Ngû Tinh Liên Châu	0	1	0	0	0	yanhuo_RMB10	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
20	Nhân Sinh Nhß Mµng	Nhân Sinh Nhß Mµng	0	1	0	0	0	yanhuo_RMB11	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
21	ILOVEYOU	ILOVEYOU	0	1	0	0	0	yanhuo_RMB12	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
22	Tö Tình	Tö Tình	0	1	0	0	0	yanhuo_RMB13	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
23	Phát tài Li­u	Phát tài Li­u	0	1	0	0	0	yanhuo_RMB14	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
24	TÕi HÕ Ðã Có Gia Th¤t	TÕi HÕ Ðã Có Gia Th¤t	0	1	0	0	0	yanhuo_RMB15	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
25	Qu¯c Khánh Vui Vë	Qu¯c Khánh Vui Vë	0	1	0	0	0	Yanhuo_Qu¯c Khánh Khoái LÕc	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
26	Hoan Ðµ Tân Xuân	Hoan Ðµ Tân Xuân	0	1	0	0	0	Yanhuo_Hoan Ðµ Tân Xuân	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
27	Løc Nh¤t Khoái LÕc	Løc Nh¤t Khoái LÕc	0	1	0	0	0	Yanhuo_Løc Nh¤t Khoái LÕc	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
28	L­ Tình Nhân Vui Vë	L­ Tình Nhân Vui Vë	0	1	0	0	0	YanhuoTình Nhân Tiªt Khoái LÕc	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
29	Giáng Sinh Vui Vë	Giáng Sinh Vui Vë	0	1	0	0	0	Yanhuo_Thánh Ðän Khoái LÕc	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
30	Ngày m°ng mµt tháng nåm Khoái LÕc	Ngày m°ng mµt tháng nåm Khoái LÕc	0	1	0	0	0	Yanhuo_ngày m°ng mµt tháng nåm Khoái LÕc	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
31	Nguyên Ðán Vui Vë	Nguyên Ðán Vui Vë	0	1	0	0	0	Yanhuo_Nguyên Ðán Khoái LÕc	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
32	Trung Thu Vui Vë	Trung Thu Vui Vë	0	1	0	0	0	Yanhuo_Trung Thu Khoái LÕc	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
33	Quang Côn Hành Ngã Khán Hành	Quang Côn Hành Ngã Khán Hành	0	1	0	0	0	yanhuo_RMB21	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
34	Ta Tñ Do Ta HÕnh Phúc	Ta Tñ Do Ta HÕnh Phúc	0	1	0	0	0	yanhuo_RMB22	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
35	Giáng Sinh Vui Vë	Giáng Sinh Vui Vë	0	1	0	0	0	yanhuo_RMB24	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 2	-1	Hi®u quä 3	-1	Hi®u quä 4tÖ l®	-1	Hi®u quä 4	-1		0		0		0		0		0		0		0		0		0		0		0		0	
36	Nguyên Ðán Vui Vë	Nguyên Ðán Vui Vë	0	1	0	0	0	yanhuo_RMB25	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 3	-1	Hi®u quä 4	-1	Hi®u quä 5tÖ l®	-1	Hi®u quä 5	-1		0		0		0		0		0		0		0		0		0		0		0		0	
37	HAPPYNEWYEAR	HAPPYNEWYEAR	0	1	0	0	0	yanhuo_RMB23	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 4	-1	Hi®u quä 5	-1	Hi®u quä 6tÖ l®	-1	Hi®u quä 6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
38	Thiên T¥m trß¶ng cänh ð£c hi®u	Thiên t¥m	0	1	0	0	0	Yanhuo_ngày hµi Khoái LÕc	-1		-1		0	0	0	0	0	20000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
39	Mùa Xuân Vui Vë	Mùa Xuân Vui Vë	0	1	0	0	0	yanhuo_RMB30	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 4	-1	Hi®u quä 5	-1	Hi®u quä 6tÖ l®	-1	Hi®u quä 6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
40	Bái ðÕi niên	Bái ðÕi niên	0	1	0	0	0	yanhuo_RMB26	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 4	-1	Hi®u quä 5	-1	Hi®u quä 6tÖ l®	-1	Hi®u quä 6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
41	Chào Nåm M¾i	Quá Häo Niên	0	1	0	0	0	yanhuo_RMB27	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 4	-1	Hi®u quä 5	-1	Hi®u quä 6tÖ l®	-1	Hi®u quä 6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
42	VÕn Sñ Nhß Ý	VÕn Sñ Nhß Ý	0	1	0	0	0	yanhuo_RMB29	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 4	-1	Hi®u quä 5	-1	Hi®u quä 6tÖ l®	-1	Hi®u quä 6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
43	Cát Tß¶ng Nhß Ý	Cát Tß¶ng Nhß Ý	0	1	0	0	0	yanhuo_RMB28	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 4	-1	Hi®u quä 5	-1	Hi®u quä 6tÖ l®	-1	Hi®u quä 6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
44	Kh±ng Minh Ðång lên không 1	Kh±ng Minh Ðång lên không 1	0	1	0	0	0	Npc_Kh±ng Minh Ðång 01	-1		-1		0	0	0	0	0	40000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
45	Kh±ng Minh Ðång lên không 2	Kh±ng Minh Ðång lên không 2	0	1	0	0	0	Npc_Kh±ng Minh Ðång 03	-1		-1		0	0	0	0	0	40000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
46	Kh±ng Minh Ðång lên không 3	Kh±ng Minh Ðång lên không 3	0	1	0	0	0	Npc_Kh±ng Minh Ðång 02	-1		-1		0	0	0	0	0	40000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
47	Tây Qua Bì b¦y r§p	Tây Qua Bì b¦y r§p	1	2	150	2	1	G01_Tây Qua Bì Bài Phóng	-1	G01_Tây Qua Bì gây ra	-1		0	0	0	0	0	30000	500	3	3	-1	-1	1	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1	K¸ch bän g¯c	808089	Änh hß·ng tính ch¤t	0		0		0		0		0		0		0		0		0		0		0	
48	B± Thú Giáp b¦y r§p	B± Thú Giáp b¦y r§p	1	2	150	2	1	G01_B± Thú Giáp Bài Phóng	-1	G01_B± Thú Giáp gây ra	-1		0	0	0	0	0	30000	500	3	3	-1	-1	1	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1	K¸ch bän g¯c	808089	Änh hß·ng tính ch¤t	0		0		0		0		0		0		0		0		0		0		0	
49	XXX	XXX	0	1	0	0	0	yanhuo_RMB17	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 4	-1	Hi®u quä 5	-1	Hi®u quä 6tÖ l®	-1	Hi®u quä 6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
50	XXX	XXX	0	1	0	0	0	yanhuo_RMB18	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 4	-1	Hi®u quä 5	-1	Hi®u quä 6tÖ l®	-1	Hi®u quä 6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
51	XXX	XXX	0	1	0	0	0	yanhuo_RMB19	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 4	-1	Hi®u quä 5	-1	Hi®u quä 6tÖ l®	-1	Hi®u quä 6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
52	XXX	XXX	0	1	0	0	0	yanhuo_RMB20	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 4	-1	Hi®u quä 5	-1	Hi®u quä 6tÖ l®	-1	Hi®u quä 6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
53	Lao Ðµng T¯i Quang Vinh	Lao Ðµng T¯i Quang Vinh	0	1	0	0	0	Yanhuo_Lao Ðµng T¯i Quang Vinh	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 4	-1	Hi®u quä 5	-1	Hi®u quä 6tÖ l®	-1	Hi®u quä 6	-1		0		0		0		0		0		0		0		0		0		0		0		0	
54	Løc Ba Hß½ng Lµ	Løc Ba Hß½ng Lµ	3	0	0	1	1		-1	Boss_m¶ äo Phong Ô Lão ÐÕi 03_zdo	-1		0	0	0	0	0	4000	3000	0	5	-1	-1	12	0	0	0	0	0	0	Hi®u quä 1	10250	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1	Hi®u quä 4	-1		0		0		0		0		0		0		0		0		0		0		0	
55	S½n Th¥n Ph¦n Nµ	S½n Th¥n Ph¦n Nµ	0	0	0	2	5	Buff_bang phái n½i dùng chân 01	-1	Buff_bang phái n½i dùng chân	-1		0	0	0	0	0	10000	2000	200	7	-1	-1	12	0	0	0	0	0	0	Hi®u quä 1	5947	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1	Hi®u quä 4	-1		0		0		0		0		0		0		0		0		0		0		0	
56	S½n Th¥n Ph¦n Nµ	S½n Th¥n Ph¦n Nµ	0	0	0	2	5	Buff_bang phái n½i dùng chân 01	-1	Buff_bang phái n½i dùng chân	-1		0	0	0	0	0	10000	2000	200	7	-1	-1	12	0	0	0	0	0	0	Hi®u quä 1	5956	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1	Hi®u quä 4	-1		0		0		0		0		0		0		0		0		0		0		0	
57	S½n Th¥n Ph¦n Nµ	S½n Th¥n Ph¦n Nµ	0	0	0	2	5	Buff_bang phái n½i dùng chân 01	-1	Buff_bang phái n½i dùng chân	-1		0	0	0	0	0	10000	2000	200	7	-1	-1	12	0	0	0	0	0	0	Hi®u quä 1	5957	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1	Hi®u quä 4	-1		0		0		0		0		0		0		0		0		0		0		0	
58	S½n Th¥n Ph¦n Nµ	S½n Th¥n Ph¦n Nµ	0	0	0	2	5	Buff_bang phái n½i dùng chân 01	-1	Buff_bang phái n½i dùng chân	-1		0	0	0	0	0	10000	2000	200	7	-1	-1	12	0	0	0	0	0	0	Hi®u quä 1	5958	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1	Hi®u quä 4	-1		0		0		0		0		0		0		0		0		0		0		0	
59	Hàn Bång	Hàn Bång	0	0	0	2	15	Boss_Lý Thu Thüy 19	-1	Boss_Lý Thu Thüy 20	-1		0	0	0	0	0	30000	2000	200	5	-1	-1	12	0	0	0	0	0	0	Hi®u quä 1	10378	Hi®u quä 2	10379	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1	Hi®u quä 4	-1		0		0		0		0		0		0		0		0		0		0		0	
60	Bang Chü Anh Minh	Bang Chü Anh Minh	0	1	0	0	0	Yanhuo_Bang Chü Anh Minh	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
61	QuÜ TÕ	QuÜ TÕ	0	1	0	0	0	Yanhuo_QuÜ TÕ Orz	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
62	Hãy Cß¾i Mình Nhé	Hãy Cß¾i Mình Nhé	0	1	0	0	0	Yanhuo_Giá C¤p Ngã Ba	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
63	Quýnh rg	Quýnh rg	0	1	0	0	0	yanhuo_orz	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
64	Ð° Heo M§p	Ð° Heo M§p	0	1	0	0	0	Yanhuo_Nhî Th¸ Trß Ð¥u	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
65	Mình Sai R°i	Mình Sai R°i	0	1	0	0	0	Yanhuo_Ngã Thác Li­u	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
66	Ta Nh¾ Mình Quá	Ta Nh¾ Mình Quá	0	1	0	0	0	Yanhuo_Ngã Tß·ng Nhî Li­u	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
67	Mãi Không Cách Xa	Mãi Không Cách Xa	0	1	0	0	0	Yanhuo_Vînh Kªt Ð°ng Tâm	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
68	Hãy Tha ThÑ Cho Mình	Hãy Tha ThÑ Cho Mình	0	1	0	0	0	Yanhuo_Nguyên Lßþng Ngã Ba	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
69	Tâm Tñ Thiên Kªt	Tâm Tñ Thiên Kªt	0	1	0	0	0	Yanhuo_ðêm th¤t t¸ch Nh¤t	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
70	Kim Phong Ng÷c Lµ	Kim Phong Ng÷c Lµ	0	1	0	0	0	Yanhuo_ðêm th¤t t¸ch Nh¸	-1		-1		0	0	0	0	0	35000	500	0	0	-1	-1	0	0	0	0	0	0	0	Hi®u quä 1	-1	Hi®u quä 2	-1	Hi®u quä 3tÖ l®	-1	Hi®u quä 3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
