INT	STRING	INT	INT	STRING	INT	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT
48	Tinh Công	10	1	assistant.txt	5000	-1	-1	-1	-1	118	TaskTools4_15	-1	Tinh Công Linh TÕo, Thi®n Khí thành hình, Hñu Chü Tinh H°n.	1	Tinh Công	0	252	1	-1	-1
49	Gia công nguyên li®u	10	1	cailiaojiagong.txt	5000	-1	-1	-1	-1	118	CommonLiveSkill2_1	-1	SØ døng B±n kÛ nång có th¬ Tß¾ng may, ðúc, công ngh® cuµc s¯ng kÛ nång S· Nhu Ðích các loÕi tài li®u gia công tr· thành có sÇn Chi Tài.	1	Gia công nguyên li®u	0	252	1	-1	-1
50	Ðang tr°ng	-1	12	assistant.txt	120000	-1	-1	2	-1	118	Food_1	-1	Ðang tr°ng	-1	Ðang tr°ng	0	-1	0	-1	-1
51	Bang hµi tuyên chiªn Thái Khoáng	-1	12	assistant.txt	15000	-1	-1	2	-1	142	Food_1	-1	Bang hµi tuyên chiªn Thái Khoáng	-1	Khai Khoáng	0	248	1	-1	-1
52	Th¸ Hoa	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill3_1	-1	Ðào tÕo MÕn Ðà, Chª Hoa Vi ð½n thu¯c, hi®p trþ ngån ð¸ch.	1	Th¸ Hoa	1	252	0	-1	-1
53	Ði®u Hß½ng	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill3_2	-1	Phø trþ Th¸ Hoa kÛ nång, r½i ch§m lÕi MÕn Ðà Ðích ðào tÕo khó khån, MÕn Ðà S½n Trang ðµc hæu chính là cuµc s¯ng kÛ nång.	-1	Ði®u Hß½ng	0	-1	0	-1	-1
54	Thiên Giám Chú Pháp·không c¯ kÜ	10	1	assistant.txt	5000	-1	-1	-1	-1	118	FabaoSkill_13	-1	Khä ðúc Thiên Giám Minh Kính, Thiên Giám Song Si.	3	Ðúc Trung	0	254	1	-1	-1
55	Thiên Giám Chú Pháp·Thü Tâm	10	1	assistant.txt	5000	-1	-1	-1	-1	118	FabaoSkill_12	-1	Khä ðúc Thiên Giám Toä Giáp, Thiên Giám Ng÷c Câu.	3	Ðúc Trung	0	254	1	-1	-1
56	Thiên Giám Chú Pháp·phá tr§n	10	1	assistant.txt	5000	-1	-1	-1	-1	118	FabaoSkill_11	-1	Khä ðúc Thiên Giám C¦m Ðái, Thiên Giám Ðoän ChuÖ.	3	Ðúc Trung	0	254	1	-1	-1
57	Ðang thu th§p	-1	12	assistant.txt	5000	-1	-1	2	-1	1316	Food_1	363	3thª lñc Oa Khoáng kÛ nång	-1	Ðang thu th§p	1	248	1	-1	-1
58	Ðang thu th§p	-1	12	assistant.txt	5000	-1	-1	2	-1	118	Food_1	-1	Thái T§p Trung, ThØ kÛ nång không c¥n bi¬u hi®n, vì C¤p Chu lâu dài Vø thu th§p v§t ph¦m Th¶i sØ døng.	-1	Ðang thu th§p	1	-1	0	-1	-1
59	Chª Thi®n	50	10	newpengren.txt	5000	-1	-1	-1	-1	118	CommonLiveSkill_6	-1	T§p Thiên Tài Ð¸a Bäo, C½ Trân Giai V¸, Dî Chª Ng÷c Thñc.	4	Ðang · Chª Thi®n	1	-1	0	-1	-1
60	Chª thu¯c	50	10	newzhiyao.txt	5000	-1	-1	-1	-1	118	CommonLiveSkill_10	-1	Hoa Quä cö cây, T§p thiên ð¸a Chi Linh Khí, Khä Dû bách b®nh.	4	Ðang · chª thu¯c	1	-1	0	-1	-1
61	Chú Khí	50	10	gongjuxilian.txt	5000	-1	-1	-1	-1	118	CommonLiveSkill_4	-1	Tø Càn Khôn Chi C½ Tài, Ngßng Chú Sß chi tâm H°n.	4	Ðang · Chú Khí	1	-1	0	-1	-1
62	Nhanh nh©n linh hoÕt	50	10	gongcheng.txt	5000	-1	-1	-1	-1	118	CommonLiveSkill_5	-1	Nhanh nh©n linh hoÕt Bách Biªn, C½ Tß vô hÕn.	4	Ðang · nhanh nh©n linh hoÕt	1	-1	0	-1	-1
63	Ðang thu th§p	-1	1	assistant.txt	5000	-1	-1	3	-1	121	Food_1	-1	Thân ph§n tài li®u(thñc v§t) Thái T§p Trung.	-1	Ðang thu th§p	0	249	1	-1	-1
64	Khai thác mö Trung	-1	1	assistant.txt	5000	-1	-1	3	-1	142	Food_1	-1	Thân ph§n tài li®u(Khoáng) Thái T§p Trung.	-1	Ðang thu th§p	0	248	1	-1	-1
65	Th¥n Công	50	10	newpengren.txt	5000	-1	-1	-1	-1	118	HuoDongSkill4_4	-1	Th¥n tinh xäo ÐoÕt, Bách Bäo ngßng tø thành. #rKhä tùy th¶i tiªn hành trß¾c m£t Minh Hµi Th¥n Công chª tÕo.	4	Th¥n Công	0	-1	0	-1	-1
