INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING	INT
45	1	Tß NgÕo	30008039	1	2	ManProtagonist_23	50000	45	Tß NgÕo	46
46	0	Nghiên Nguy®t	30008039	1	2	GirlProtagonist_23	50000	46	Nghiên Nguy®t	45
47	1	Mµc Phong	30008039	1	2	ManProtagonist_24	50000	47	Mµc Phong	48
48	0	Linh San	30008039	1	2	GirlProtagonist_24	50000	48	Linh San	47
49	0	Thanh Dînh	30008039	1	3	GirlProtagonist_25	50000	49	Thanh Dînh	52
50	0	MÕch Nha	30008039	1	3	GirlProtagonist1_1	50000	50	MÕch Nha	53
51	0	Linh Thù	30008039	1	3	GirlProtagonist1_2	50000	51	Linh Thù	54
52	1	Côn Luân	30008039	1	3	ManProtagonist_25	50000	52	Côn Luân	49
53	1	Tu® Linh	30008039	1	3	ManProtagonist1_1	50000	53	Tu® Linh	50
54	1	Khiªt NgÕo	30008039	1	3	ManProtagonist1_2	50000	54	Khiªt NgÕo	51
55	0	Mi Vû	30008039	1	2	GirlProtagonist2_6	50000	55	Mi Vû	56
56	1	Th¥n Vû	30008039	1	2	ManProtagonist2_6	50000	56	Th¥n Vû	55
57	0	Hoa Dung	30008039	1	2	GirlProtagonist1_17	50000	57	Hoa Dung	58
58	1	Xích Nhi­m	30008039	1	2	ManProtagonist1_17	50000	58	Xích Nhi­m	57
59	0	Gió lØa	30008039	1	2	GirlProtagonist2_15	50000	59	Gió lØa	60
60	1	Khói báo ðµng	30008039	1	2	ManProtagonist2_15	50000	60	Khói báo ðµng	59
61	0	Linh Quân	30008039	1	2	GirlProtagonist2_10	50000	61	Linh Quân	62
62	1	Quy phÕm	30008039	1	2	ManProtagonist2_10	50000	62	Quy phÕm	61
63	0	Du Giäo	30008039	1	2	GirlProtagonist2_18	50000	63	Du Giäo	64
64	1	Long NgÕo	30008039	1	2	ManProtagonist2_18	50000	64	Long NgÕo	63
65	0	Lçm Trúc	30008039	1	2	GirlProtagonist2_19	50000	65	Lçm Trúc	66
66	1	M§u Tùng	30008039	1	2	ManProtagonist2_19	50000	66	M§u Tùng	65
67	0	Lòng son	30008039	1	2	GirlProtagonist2_20	50000	67	Lòng son	68
68	1	Chí khí	30008039	1	2	ManProtagonist2_20	50000	68	Chí khí	67
69	0	Tinh Nghiên	30008039	1	2	GirlProtagonist2_21	50000	69	Tinh Nghiên	70
70	1	Túc Quang	30008039	1	2	ManProtagonist2_21	50000	70	Túc Quang	69
71	0	Lßu Mµng	30008039	1	2	GirlProtagonist2_22	50000	71	Lßu Mµng	72
72	1	Ng÷c Änh	30008039	1	2	ManProtagonist2_22	50000	72	Ng÷c Änh	71
73	0	Ðàn Tß	30008039	1	2	GirlProtagonist2_23	50000	73	Ðàn Tß	74
74	1	Hoa Xán	30008039	1	2	ManProtagonist2_23	50000	74	Hoa Xán	73
75	0	Mµng Häi	30008039	1	2	GirlProtagonist2_24	50000	75	Mµng Häi	76
76	1	Li Châu	30008039	1	2	ManProtagonist2_24	50000	76	Li Châu	75
77	0	Tình thâm	30008039	1	2	GirlProtagonist2_25	50000	77	Tình thâm	78
78	1	Tình cäm chân thành	30008039	1	2	ManProtagonist2_25	50000	78	Tình cäm chân thành	77
79	0	Noãn Tuyªt	30008039	1	2	GirlProtagonist3_1	50000	79	Noãn Tuyªt	80
80	1	Trøc Hàn	30008039	1	2	ManProtagonist3_1	50000	80	Trøc Hàn	79
