INT	STRING
36	Khi ta Thi«n M² là ai? Giá ði ð¥u ðÕi ca Hßu nh¡c lÕi Kh·i, Hßu nh¡c lÕi Kh·i.
37	Thïnh chuy¬n cáo các ngß½i Nam Vi®n ÐÕi vß½ng, Ngã Tuy võ công không k¸p Vu Tha, Ðãn vµi vã ta nói Xu¤t ði ð¥u ðÕi ca, cûng không th¬ Ðích.
38	Hanh, ta chï Th¸ vào tay tiên phu Ðích D¸ Tín, höi ta ði ð¥u ðÕi ca, cái kia nhßng cûng không biªt.
39	Ti«n mµt ðoÕn nghe nói thª tØ còn tÕi Thành ÐÕi Lý, sau lÕi nghe nói phäi ði Li­u Trung Nguyên Li­u.
40	Nghe theo Trung Nguyên tr· v« Ðích b¢ng hæu Thuyªt, Tr¤n Nam Vß½ng Phü thª tØ T¢ng TÕi Tô Châu vùng xu¤t hi®n Quá.
41	Tr¤n Nam Vß½ng Phü thª tØ yêu thích du l¸ch thiên hÕ, nh¤t th¶i mu¯n höi tin tÑc, nhßng cûng không quá chu¦n xác, nghe nói Tha T¢ng ði Tô Châu.
42	Khác không biªt, chính là Thính Vô Tích th§t là t¯t Hæu Thuyªt, T¢ng Kiªn Tr¤n Nam Vß½ng thª tØ Dß ðÕi hán TÕi tØu quán Trung u¯ng rßþu.
43	Hß, vi®c này tråm tri®u không th¬ cùng ngß¶i khác biªt, nghe nói Tr¤n Nam Vß½ng thª tØ là b¸ mµt cái H° Tång b¡t ði Li­u.
44	Ðß½ng kim Thánh Thßþng qu¯c thái dân an, nhân h§u Ái Dân, chúng ta cùng khen ngþi còn không k¸p Ni.
45	Ðêm qua Ðích s¾m mµt chút không t°i A……hôm nay ban ngày ánh trång Dã Ðïnh Viên Ðích……
46	MÕc Ðàm qu¯c sñ, MÕc Ðàm qu¯c sñ. Ngã cái gì cûng không biªt.
47	Nhî höi thåm chuy®n này ð¬ làm gì? ChÆng l¨ là chán s¯ng?
48	Thñc xin l²i, Ngã không phäi ÐÕi Lý Qu¯c Nhân, ð¯i v¾i ngß½i theo nhß l¶i chuy®n tình hoàn toàn không biªt gì cä.
49	Nhî ðang nói cái gì A? Ngã nhß thª nào mµt câu Ðô nghe không hi¬u A?
50	Ngã nghe nói thành tñu nghi®p l¾n Ðích Nhân, dña vào là Th¸ mµt cái'Nhân'Tñ. Ðoàn Duyên Khánh thân là'tÑ ðÕi ác nhân'ðÑng ð¥u, Tâm Ngoan Thü LÕt, nào có cái gì nhân nghîa ðáng nói? Ta s¨ không cùng h¡n làm các\u0020hÕ Ðích.
51	Ðoàn Duyên Khánh xu¤t thân h§u du® quý tµc, ý chí chí l¾n, võ ngh® siêu qu¥n, có th¬ nói Th¸ mµt thª h® anh ki®t. Ðãn hi®n tÕi ÐÕi Lý Qu¯c ÐoÕn Chính Minh chính tr¸ thanh minh, Khinh Phú BÕc D¸ch. Trþ giúp Ðoàn Duyên Khánh, chï biªt làm cho ngß¶i ta Dân mang ðªn cñc kh± mà thôi. LoÕi sñ tình này ta s¨ không ði làm Ðích.
52	ÐÕi Lý Qu¯c dân tâm quy v« ÐoÕn Chính Minh Huynh Ð®, Ðoàn Duyên Khánh mu¯n phøc h°i, chï biªt vô ích mà thôi. Nång lñc cüa h¡n càng l¾n, giúp ðÞ càng nhi«u, mßu ð° càng sâu, làm cho ngß¶i ta Dân mang ðªn Ðích thß½ng t±n s¨ càng l¾n. Thß Ngã không th¬ tß½ng trþ!
53	Này……giang h° ð°n ðãi Ða không h« Thñc, tÕi hÕ chính là b¥n hàn ngß¶i A.
54	Mµ Dung công tØ có vi®c Tßþng Thác, tÕi hÕ vinh hÕnh Ðích Kh¦n, Ðãn bän quan ðïnh ð¥u th§t là B¤t dß dä A.
55	Thuª ruµng? ÐÕi sñ? Hay là các ngß½i mu¯n tÕo phän? Ði mau ði mau, nói thêm næa ThoÕi Ngã Khä ðång báo tri«u ðình Li­u.
56	Thuª ruµng? ÐÕi sñ? Hay là các ngß½i mu¯n tÕo phän? Thß MÕc h½n næa, mi­n cho liên løy Ngã.
57	Dî Bï Chi ÐÕo, Hoàn Bï thân Ðích Mµ Dung · nhà ch½i rông Nhiên Hß¾ng Ngã m· mi®ng, luôn luôn cûng không lui t¾i, h¡c h¡c, không bàn næa.
58	A Di Ðà Ph§t, Ngã ngß¶i xu¤t gia không nói chuy®n Tøc Sñ, thí chü Thiªt MÕc nói næa l¶i này, thi®n tai thi®n tai!
59	Thí chü sai r°i, b¥n tång chính là ngß¶i xu¤t gia, nói chuy®n gì uy v÷ng, thi®n tai thi®n tai!
60	T® Tñ chính là ngß¶i xu¤t gia, không th¬ Nhân sai d¸ch, Cô Tô Mµ Dung thí chü Nhßþc Thuyªt dùng võ Lñc Tßþng Hiªp, T® Tñ cao th¤p tång chúng Ð¸nh s¨ không khu¤t tùng.
61	Vô Lßþng Thiên Tôn, thí chü Thiªt MÕc v÷ng ngôn, b±n phái luôn luôn Tu Ðan luy®n ðÕo, t§p võ chính là Cß¶ng Thân ki®n th¬, Mµ Dung thí chü có cái gì ðÕi sñ, b¥n ðÕo v×a không quan tâm cûng không tham dñ.
62	Thïnh chuy¬n cáo Mµ Dung thí chü, b¥n ðÕo luôn luôn ðÕm bÕc giang h° Tøc Sñ, Thß không th¬ tòng m®nh.
63	Giang h° Thß Sñ, b±n phái t× trß¾c ðªn nay không l¡m tham dñ, Thïnh thí chü Tß¾ng b¥n ðÕo ý chuy¬n cáo Mµ Dung thí chü.
64	Tß½ng trþ? T® Phái luôn luôn r¶i xa Trung Nguyên, Ð¯i Trung Nguyên Ðích Ân ân oán Oán cån bän không nghî Quy¬n Trung trong ðó.
65	ÐÕi sñ? Chúng ta Li Trung Nguyên khá xa, Ð¯i Mµ Dung công tØ chuy®n không phäi Ng§n hi¬u biªt.
66	Các ngß½i Trung Nguyên giang h° luôn luôn ngß½i giªt Ngã Khäm, thñc xin l²i, T® Phái cûng không Tß·ng cu¯n vào trong ðó.
67	Ngã Phái ð® tØ †n Xu¤t giang h° nhi«u nåm, vô lu§n ðÕi sñ vi®c nhö, Thß không ti®n tham dñ.
68	Này……T® Phái t× trß¾c ðªn nay không l¡m tham dñ giang h° Ðích ân oán, Mµ Dung công tØ Ðích ðÕi sñ, v×a không Ti®n nói rõ b¦m báo, chúng ta Dã Canh B±n không l¡m quan tâm, nhß v§y Bi®t Quá.
69	Quý qu¯c chuy®n tình chúng ta không ti®n tham dñ, v¸ kia Mµ Dung mu¯n làm cái gì ðÕi sñ, Hñu không ch¸u nói rõ, Nhßþng qu¯c gia cüa ta nhß thª nào tß½ng trþ?
70	Nghe l®nh Vu Mµ Dung công tØ? Ngã Khï Th¸ · Nhân HÕ ngß¶i, ð×ng vµi nói næa!
71	Cô Tô Mµ Dung m£c dù ðang, · trên giang h° hàng ð¥u vang dµi, mu¯n ta nghe l®nh y, cûng m½ tß·ng, Nhßþng Na Tính Mµ Dung Ðích cÑ vi®c t¾i tìm ta.
72	Ha ha, Nhî ÐÕo ta là ngß¶i nhß thª nào? Cß nhiên mu¯n ta th¥n phøc Vu Cô Tô Mµ Dung? Th§t sñ là bu°n cß¶i.
73	Nga, Mµ Dung công tØ th§t sñ là khách khí, có cái gì phân phó nói cho ta biªt là t¯t r°i, còn dùng nhß v§y……ðßþc r°i ðßþc r°i, Ngã Tiên Thu Trß¾c.
74	Này không t¯t l¡m ðâu! Ngã trên tay cûng không Thu L­, Nhî trñc tiªp Phóng Ngã trong tay áo t¯t l¡m.
75	Này……này, quá khách khí, l¥n trß¾c Ðích Ngân Phiªu còn không có Døng Hoàn Ni……ðßþc r°i, ðành phäi Tiên thu.
76	Mµ Dung công tØ Th¡c khách khí, bän quan ðang · thu th§p Tô Châu Ngân Phiªu Hþp T§p, Ngã m¾i có Ngû Løc Trß½ng, Thính Yêu mµt tråm Ða Trß½ng mµt bµ Ni.
77	Vô sñ xum xoe, Phi Gian TÑc ÐÕo! Ni®m các hÕ vi phÕm l¥n ð¥u, bän quan B¤t Gia Tµi Vu Nhî, b¤t quá v§t chÑng lßu lÕi, tr· v« nói cho Mµ Dung Phøc, l¥n sau không th¬ tái phÕm.
78	Bän quan gß½ng sáng treo cao, thanh liêm, chßa bao gi¶ Thu Nhân h¯i lµ. Giá t¤m ngân phiªu Ngã Thß giáp m£t xé bö, Nhî tr· v« nói cho Mµ Dung Phøc, l¥n này tÕm th¶i Khä Thß, l¥n sau tái phÕm bän quan quyªt không nuông chi«u.
79	Nhî höi ta Môn tôn chü Ðích……cái kia……hai c± phía trên có phäi hay không Hæu Hß½ng Ba? Giá, Giá, chúng ta nào biªt ðâu r¢ng……b¤t quá trß¾c ðó vài ngày Thính h¥u hÕ tôn chü t¡m rØa Ðích tÖ muµi Thuyªt, tña h° là có Ba.
80	Hß Trúc ðÑa nhö này, ta là nhìn th¤y Tha l¾n lên Ðích. ÐÑa nhö này tña h° có mµt l¥n nói lên Quá, h¡n cùng v¾i ph§t môn hæu duyên, trên ngß¶i thiên nhiên sinh ra ðßþc Hß½ng Ba. Nhßng là Phü Sinh TÕi……A Di Ðà Ph§t, lão nÕp không biªt.
81	Chß·ng môn sß thúc s¾m không h« Th¸ Thi¬u Lâm Ð® TØ Li­u, Khß¾c thß¶ng thß¶ng Dî Thi¬u Lâm Ð® TØ tñ cho mình là. Sß phø Thuyªt chß·ng môn sß thúc trên ngß¶i thiên nhiên sinh ra ðßþc Hß½ng Ba, Giá ph§t môn khí ch¤t A, Thoái Th¸ Thoái không xong Li­u.
82	Ân, Hôn Giän ðã thu ðßþc, có c½ hµi nh¤t ð¸nh ði Tây HÕ ng¡m cänh.
83	Thïnh chuy¬n cáo Tây HÕ Qu¯c sÑ giä, có th¬ ðßþc ThØ Thù Vinh, không th¡ng vinh hÕnh.
84	Các hÕ V¤n Tr¤n Nam Vß½ng thª tØ Ba, cø th¬ Ðích Ngã cûng không rõ ràng, chính là nghe nói ðã s¾m không · Thành ÐÕi Lý Li­u.
85	Nga, Nhî tìm ðúng ngß¶i, höi ta Ngã T¯i rõ ràng, Tha khÆng ð¸nh ðã không · ÐÕi Lý Li­u.
86	Thª tØ ði Trung Nguyên, Tr¤n Nam Vß½ng g¤p ðªn ðµ phäi chªt mu¯n s¯ng, nghe nói ð£c bi®t ði Trung Nguyên ði tìm thª tØ Li­u.
87	Cüa ta tin tÑc có ði«u, so sánh tin c§y, Tr¤n Nam Vß½ng thª tØ Hoà mµt cái Phiên Tång cùng ði Li­u Trung Nguyên, nghî ðªn phäi ði H÷c T§p phiên bang Ðích ph§t hi®u Ba.
88	Hæu Cá TÕi Tô Châu kinh thß½ng Ðích b¢ng hæu tr· v«, Thuyªt TÕi Tô Châu g£p qua Tr¤n Nam Vß½ng thª tØ.
89	Bäo Ð¸nh Ðª Tr¤n Nam Vß½ng nhân nghîa tr¸ qu¯c, thª tØ không có tin tÑc, chúng ta T¯ dân chúng cûng thay b÷n h÷ s¯t ruµt A.
90	Ngã Giá Giang Nam Ði«m Bính Ðích chª tác phß½ng pháp, Hoàn Thïnh thiªu hi®p thu§t lÕi C¤p Nguy­n Tinh Trúc næ hi®p.
91	Nga, Nguy­n Tinh Trúc næ hi®p Yêu Tô ThÑc Phù Dung Bính Ðích chª tác phß½ng pháp A, Ngã Tñu nói cho Nhî Ba.
92	Ngã Bä lá sen Tô Bính Ðích chª tác phß½ng pháp nói cho Nhî Ba, Nhî c¥n phäi Ký t¯t.
93	Nhî r¯t cøc ðªn ðây A, Giá Bí Chª Quª Hoa món ði¬m tâm ng÷t Ðích chª tác phß½ng pháp, Ngã Tñu nói cho Nhî Ba.
94	Ân, ta là ðáp Ñng ðßa cho Ti¬u A Bích mµt quy¬n sách dÕy n¤u ån, Ân, chính là Giá B±n, v¤t vä Nhî gây cho Tha.
95	A Bích A, Ân, Hæu có chuy®n nhß v§y, Giá B±n sách dÕy n¤u ån Nhî Thu t¯t l¡m.
96	V¤t vä Nhçm Li­u, ðây là sách dÕy n¤u ån, Thu t¯t l¡m Nhçm Ni!
97	Th¸ cái kia Ti¬u cô nß½ng A, ×, này sách dÕy n¤u ån Nhî Thu t¯t l¡m.
98	Cái gì? Vß½ng Phu Nhân! Tr¶i Õ, tha ta ði, cÑu mÕng A!
99	Ngã Ngã Ngã Ngã Hoà lão bà cüa ta cäm tình Häo th§t sñ Ni, Ngã Ngã Ngã Ngã nào có Hoà khác cô nß½ng thân m§t?
100	Ai, không nghî t¾i vçn là tránh không khöi……vçn là B¸ Vß½ng Phu Nhân phát hi®n Li­u.
101	Ngã hai cái Ðô Thú còn không ðßþc Ma? Van c¥u Nhî TÕi Vß½ng Phu Nhân trß¾c m£t nhi«u l¶i nói t¯t A.
102	Ngã không mu¯n làm Hoa Phì A! CÑu mÕng A! Ngã hi®n tÕi phäi ði Tä Hßu Thß…….
103	G¥n nh¤t Ngã TÕi C¥n Luy®n sß phø Giáo Ðích'Lam Sa Thü'công phu, Ðãn luôn không b¡t ðßþc tr÷ng ði¬m A.
104	'Cáp Mô Công'Giá nh¤t chiêu Ngã cho dù Nh§t ngày ðêm DÕ không ng×ng tu t§p, chï sþ cûng khó có th¬ ðÕt t¾i sß phø mµt ph¥n mß¶i Ðích uy lñc.
105	Ngã g¥n nh¤t ðang · Luy®n'Thiên Ð¸a Ð°ng Th÷'Giá nh¤t chiêu, chiêu này Th¸ sß phø Thung Phái Võ Ðang Ðích chiêu s¯ Trung di­n biªn mà ðªn Ðích.
106	'Chï Lµc Vi Mã'chiêu s¯ ðích xác phÑc tÕp, nhßng chï phäi nh¾ kÛ'MÕt Sát lß½ng tâm'b¯n chæ, Ðäo cûng không Nan.
107	'Mµc Giáp Thu§t'chï c¥n tu t§p thích ðáng, có th¬ trên di®n rµng tång lên chính mình Ðích phòng ngñ nång lñc.
108	Chiêu này'Bång Tàm Ðµc Chß·ng'nguyên là Na Thiªt Ð¥u sß huynh Ðích chiêu s¯, Kinh sß phø cäi tiªn lúc sau, uy lñc l¾n h½n næa.
109	A Di Ðà Ph§t, Hæu Ki®n c¥n phäi có Lao thí chü Dß ti¬u tång Säo Cá Kh¦u T¤n, Thïnh cho biªt, báo cho%n, nói cho Tha ta có chuy®n quan tr÷ng, trong khoäng th¶i gian này LÕc Dß½ng Ðích an toàn không phäi t¯t l¡m, c¥n phäi Yêu nghiêm m§t bäo hµ Tôn Tán Vß½ng TØ Ðích an toàn.
110	Ti¬u tång Hæu Ki®n B¤t Thïnh Chi Thïnh, qu¯c gia cüa ta vß½ng tØ Tôn Tán g¥n nh¤t Tß¾ng Phó Tây HÕ kén phò mã, làm phi«n thí chü ði tìm Ðáo%nYêu Tha nh¤t ð¸nh phäi bäo v® t¯t vß½ng tØ.
111	Ti¬u tång có vi®c Thïnh thí chü ðÕi lao, Thïnh tìm ðßþc%nxác nh§n mµt chút l¥n trß¾c ti¬u tång nh¶ vã vi®c, hay không hoàn thành.
112	%nNgã t×ng có Sñ Tßþng Thác Vu Tha, làm phi«n thí chü ÐÕi ti¬u tång ðªn höi V¤n, tình hu¯ng nhß thª nào Li­u.
113	Ti¬u tång có mµt chuy®n làm phi«n, Thïnh Träo%n, Yêu h¡n cùng v¾i ti¬u tång liên h®, có vi®c Quan Lßþng Qu¯c ích lþi Ðích Mî Sñ thß½ng lßþng.
114	A Di Ðà Ph§t, thí chü Thïnh Li­u. Ngã Døc%nliên h® thß½ng ngh¸ qu¯c gia ðÕi sñ, phi«n toái thí chü Ðái l¶i nh¡n cho h¡n, ti¬u tång n½i này Tiên TÕ qua.
115	Thuµc hÕ C¦n Tuân qu¯c sß an bài.
116	Qu¯c sß Hæu M®nh, thuµc hÕ muôn l¥n chªt không ch¯i t×.
117	Bäo hµ vß½ng tØ, Nãi thuµc hÕ Ðích chÑc trách, Thïnh chuy¬n cáo qu¯c sß, nh¤t ð¸nh không phø qu¯c sß S· V÷ng.
118	Thïnh chuy¬n cáo dân tµc Th± Phiên qu¯c sß, nguy hÕi ÐÕi T¯ng chuy®n, bän quan tuy®t ð¯i s¨ không ði T¯.
119	Nhß v§y qu¯c gia ðÕi sñ, qu¯c sß vçn là thông qua chính quy cách Lai T¯ Ba, bän quan chính là gan l¾n nhß tr¶i TØ cûng không dám vßþt quy«n tòng m®nh.
120	Này, này, còn ðây là cä nhà t¸ch thu tài sän giªt kë phÕm tµi Ðích tµi l¾n, bän quan tråm tri®u không dám tòng m®nh.
121	Ân, ðã biªt, có th¬ cùng dân tµc Th± Phiên cùng ði sån Trung Nguyên, tuy là Mî Sñ, Ðãn còn mu¯n bàn bÕc kÛ h½n A.
122	Làm phi«n Li­u, cùng ði sån Trung Nguyên mµt chuy®n, tuy r¢ng không t°i, Ðãn ÐÕi T¯ng Binh Ða Lß½ng Phong, chï sþ không phäi d­ dàng nhß v§y Ðích.
