INT	INT	INT	INT	INT	INT
10303109	10303410	150000	1	30505827	30505828
10303110	10303411	150000	1	30505827	30505828
10303111	10303412	150000	1	30505827	30505828
10303203	10303413	150000	1	30505827	30505828
10303204	10303414	150000	1	30505827	30505828
10303205	10303415	150000	1	30505827	30505828
10303206	10303416	150000	1	30505827	30505828
10303207	10303417	150000	1	30505827	30505828
10303208	10303418	150000	1	30505827	30505828
10303209	10303419	150000	1	30505827	30505828
10303210	10303420	150000	1	30505827	30505828
10303211	10303421	150000	1	30505827	30505828
10304103	10304408	150000	1	30505827	30505828
10304104	10304409	150000	1	30505827	30505828
10304105	10304410	150000	1	30505827	30505828
10304106	10304411	150000	1	30505827	30505828
10304107	10304412	150000	1	30505827	30505828
10304108	10304413	150000	1	30505827	30505828
10304109	10304414	150000	1	30505827	30505828
10304110	10304415	150000	1	30505827	30505828
10304111	10304416	150000	1	30505827	30505828
10305103	10305408	150000	1	30505827	30505828
10305104	10305409	150000	1	30505827	30505828
10305105	10305410	150000	1	30505827	30505828
10305106	10305411	150000	1	30505827	30505828
10305107	10305412	150000	1	30505827	30505828
10305108	10305413	150000	1	30505827	30505828
10305109	10305414	150000	1	30505827	30505828
10305110	10305415	150000	1	30505827	30505828
10305111	10305416	150000	1	30505827	30505828
10305203	10305417	150000	1	30505827	30505828
10305204	10305418	150000	1	30505827	30505828
10305205	10305419	150000	1	30505827	30505828
10305206	10305420	150000	1	30505827	30505828
10305207	10305421	150000	1	30505827	30505828
10305208	10305422	150000	1	30505827	30505828
10305209	10305423	150000	1	30505827	30505828
10305210	10305424	150000	1	30505827	30505828
10305211	10305425	150000	1	30505827	30505828
10300400	10300401	210000	1	30505829	30505830
10301400	10301402	210000	1	30505829	30505830
10301401	10301403	210000	1	30505829	30505830
10302400	10302403	210000	1	30505829	30505830
10302401	10302404	210000	1	30505829	30505830
10302402	10302405	210000	1	30505829	30505830
10303400	10303401	210000	1	30505829	30505830
10304400	10304402	210000	1	30505829	30505830
10304401	10304403	210000	1	30505829	30505830
10305400	10305402	210000	1	30505829	30505830
10305401	10305403	210000	1	30505829	30505830
10300402	10300403	280000	1	30505829	30505830
10301404	10301406	280000	1	30505829	30505830
10301405	10301407	280000	1	30505829	30505830
10302406	10302409	280000	1	30505829	30505830
10302407	10302410	280000	1	30505829	30505830
10302408	10302411	280000	1	30505829	30505830
10303402	10303403	280000	1	30505829	30505830
10304404	10304406	280000	1	30505829	30505830
10304405	10304407	280000	1	30505829	30505830
10305404	10305406	280000	1	30505829	30505830
10305405	10305407	280000	1	30505829	30505830
10300404	10300413	350000	1	30505829	30505830
10300405	10300414	350000	1	30505829	30505830
10300406	10300415	350000	1	30505829	30505830
10300407	10300416	350000	1	30505829	30505830
10300408	10300417	350000	1	30505829	30505830
10300409	10300418	350000	1	30505829	30505830
10300410	10300419	350000	1	30505829	30505830
10300411	10300420	350000	1	30505829	30505830
10300412	10300421	350000	1	30505829	30505830
10301408	10301426	350000	1	30505829	30505830
10301409	10301427	350000	1	30505829	30505830
10301410	10301428	350000	1	30505829	30505830
10301411	10301429	350000	1	30505829	30505830
10301412	10301430	350000	1	30505829	30505830
10301413	10301431	350000	1	30505829	30505830
10301414	10301432	350000	1	30505829	30505830
10301415	10301433	350000	1	30505829	30505830
10301416	10301434	350000	1	30505829	30505830
10301417	10301435	350000	1	30505829	30505830
10301418	10301436	350000	1	30505829	30505830
10301419	10301437	350000	1	30505829	30505830
10301420	10301438	350000	1	30505829	30505830
10301421	10301439	350000	1	30505829	30505830
10301422	10301440	350000	1	30505829	30505830
10301423	10301441	350000	1	30505829	30505830
10301424	10301442	350000	1	30505829	30505830
10301425	10301443	350000	1	30505829	30505830
10302412	10302430	350000	1	30505829	30505830
10302413	10302431	350000	1	30505829	30505830
10302414	10302432	350000	1	30505829	30505830
10302415	10302433	350000	1	30505829	30505830
10302416	10302434	350000	1	30505829	30505830
10302417	10302435	350000	1	30505829	30505830
10302418	10302436	350000	1	30505829	30505830
10302419	10302437	350000	1	30505829	30505830
10302420	10302438	350000	1	30505829	30505830
10302421	10302439	350000	1	30505829	30505830
10302422	10302440	350000	1	30505829	30505830
10302423	10302441	350000	1	30505829	30505830
10302424	10302442	350000	1	30505829	30505830
10302425	10302443	350000	1	30505829	30505830
10302426	10302444	350000	1	30505829	30505830
10302427	10302445	350000	1	30505829	30505830
10302428	10302446	350000	1	30505829	30505830
10302429	10302447	350000	1	30505829	30505830
10303404	10303422	350000	1	30505829	30505830
10303405	10303423	350000	1	30505829	30505830
10303406	10303424	350000	1	30505829	30505830
10303407	10303425	350000	1	30505829	30505830
10303408	10303426	350000	1	30505829	30505830
10303409	10303427	350000	1	30505829	30505830
10303410	10303428	350000	1	30505829	30505830
10303411	10303429	350000	1	30505829	30505830
10303412	10303430	350000	1	30505829	30505830
10303413	10303431	350000	1	30505829	30505830
10303414	10303432	350000	1	30505829	30505830
10303415	10303433	350000	1	30505829	30505830
10303416	10303434	350000	1	30505829	30505830
10303417	10303435	350000	1	30505829	30505830
10303418	10303436	350000	1	30505829	30505830
10303419	10303437	350000	1	30505829	30505830
10303420	10303438	350000	1	30505829	30505830
10303421	10303439	350000	1	30505829	30505830
10304408	10304417	350000	1	30505829	30505830
10304409	10304418	350000	1	30505829	30505830
10304410	10304419	350000	1	30505829	30505830
10304411	10304420	350000	1	30505829	30505830
10304412	10304421	350000	1	30505829	30505830
10304413	10304422	350000	1	30505829	30505830
10304414	10304423	350000	1	30505829	30505830
10304415	10304424	350000	1	30505829	30505830
10304416	10304425	350000	1	30505829	30505830
10305408	10305426	350000	1	30505829	30505830
10305409	10305427	350000	1	30505829	30505830
10305410	10305428	350000	1	30505829	30505830
10305411	10305429	350000	1	30505829	30505830
10305412	10305430	350000	1	30505829	30505830
10305413	10305431	350000	1	30505829	30505830
10305414	10305432	350000	1	30505829	30505830
10305415	10305433	350000	1	30505829	30505830
10305416	10305434	350000	1	30505829	30505830
10305417	10305435	350000	1	30505829	30505830
10305418	10305436	350000	1	30505829	30505830
10305419	10305437	350000	1	30505829	30505830
10305420	10305438	350000	1	30505829	30505830
10305421	10305439	350000	1	30505829	30505830
10305422	10305440	350000	1	30505829	30505830
10305423	10305441	350000	1	30505829	30505830
10305424	10305442	350000	1	30505829	30505830
10305425	10305443	350000	1	30505829	30505830
10306006	10306008	90000	1	30505827	30505828
10306007	10306009	120000	1	30505827	30505828
10306015	10306024	150000	1	30505827	30505828
10306016	10306025	150000	1	30505827	30505828
10306017	10306026	150000	1	30505827	30505828
10306018	10306027	150000	1	30505827	30505828
10306019	10306028	150000	1	30505827	30505828
10306020	10306029	150000	1	30505827	30505828
10306021	10306030	150000	1	30505827	30505828
10306022	10306031	150000	1	30505827	30505828
10306023	10306032	150000	1	30505827	30505828
10306008	10306010	210000	1	30505829	30505830
10306009	10306011	280000	1	30505829	30505830
10306024	10306033	350000	1	30505829	30505830
10306025	10306034	350000	1	30505829	30505830
10306026	10306035	350000	1	30505829	30505830
10306027	10306036	350000	1	30505829	30505830
10306028	10306037	350000	1	30505829	30505830
10306029	10306038	350000	1	30505829	30505830
10306030	10306039	350000	1	30505829	30505830
10306031	10306040	350000	1	30505829	30505830
10306032	10306041	350000	1	30505829	30505830
10307006	10307008	90000	1	30505827	30505828
10307007	10307009	120000	1	30505827	30505828
10307015	10307024	150000	1	30505827	30505828
10307016	10307025	150000	1	30505827	30505828
10307017	10307026	150000	1	30505827	30505828
10307018	10307027	150000	1	30505827	30505828
10307019	10307028	150000	1	30505827	30505828
10307020	10307029	150000	1	30505827	30505828
10307021	10307030	150000	1	30505827	30505828
10307022	10307031	150000	1	30505827	30505828
10307023	10307032	150000	1	30505827	30505828
10307008	10307010	210000	1	30505829	30505830
10307009	10307011	280000	1	30505829	30505830
10307024	10307033	350000	1	30505829	30505830
10307025	10307034	350000	1	30505829	30505830
10307026	10307035	350000	1	30505829	30505830
10307027	10307036	350000	1	30505829	30505830
10307028	10307037	350000	1	30505829	30505830
10307029	10307038	350000	1	30505829	30505830
10307030	10307039	350000	1	30505829	30505830
10307031	10307040	350000	1	30505829	30505830
10307032	10307041	350000	1	30505829	30505830
10300413	10300423	-1	0	-1	-1
10300414	10300424	-1	0	-1	-1
10300415	10300425	-1	0	-1	-1
10300416	10300426	-1	0	-1	-1
10300417	10300427	-1	0	-1	-1
10300418	10300428	-1	0	-1	-1
10300419	10300429	-1	0	-1	-1
10300420	10300430	-1	0	-1	-1
10300421	10300431	-1	0	-1	-1
10301426	10301444	-1	0	-1	-1
10301427	10301445	-1	0	-1	-1
10301428	10301446	-1	0	-1	-1
10301429	10301447	-1	0	-1	-1
10301430	10301448	-1	0	-1	-1
10301431	10301449	-1	0	-1	-1
10301432	10301450	-1	0	-1	-1
10301433	10301451	-1	0	-1	-1
10301434	10301452	-1	0	-1	-1
10301435	10301453	-1	0	-1	-1
10301436	10301454	-1	0	-1	-1
10301437	10301455	-1	0	-1	-1
10301438	10301456	-1	0	-1	-1
10301439	10301457	-1	0	-1	-1
10301440	10301458	-1	0	-1	-1
10301441	10301459	-1	0	-1	-1
10301442	10301460	-1	0	-1	-1
10301443	10301461	-1	0	-1	-1
10302430	10302449	-1	0	-1	-1
10302431	10302450	-1	0	-1	-1
10302432	10302451	-1	0	-1	-1
10302433	10302452	-1	0	-1	-1
10302434	10302453	-1	0	-1	-1
10302435	10302454	-1	0	-1	-1
10302436	10302455	-1	0	-1	-1
10302437	10302456	-1	0	-1	-1
10302438	10302457	-1	0	-1	-1
10302439	10302458	-1	0	-1	-1
10302440	10302459	-1	0	-1	-1
10302441	10302460	-1	0	-1	-1
10302442	10302461	-1	0	-1	-1
10302443	10302462	-1	0	-1	-1
10302444	10302463	-1	0	-1	-1
10302445	10302464	-1	0	-1	-1
10302446	10302465	-1	0	-1	-1
10302447	10302466	-1	0	-1	-1
10303422	10303440	-1	0	-1	-1
10303423	10303441	-1	0	-1	-1
10303424	10303442	-1	0	-1	-1
10303425	10303443	-1	0	-1	-1
10303426	10303444	-1	0	-1	-1
10303427	10303445	-1	0	-1	-1
10303428	10303446	-1	0	-1	-1
10303429	10303447	-1	0	-1	-1
10303430	10303448	-1	0	-1	-1
10303431	10303449	-1	0	-1	-1
10303432	10303450	-1	0	-1	-1
10303433	10303451	-1	0	-1	-1
10303434	10303452	-1	0	-1	-1
10303435	10303453	-1	0	-1	-1
10303436	10303454	-1	0	-1	-1
10303437	10303455	-1	0	-1	-1
10303438	10303456	-1	0	-1	-1
10303439	10303457	-1	0	-1	-1
10304417	10304427	-1	0	-1	-1
10304418	10304428	-1	0	-1	-1
10304419	10304429	-1	0	-1	-1
10304420	10304430	-1	0	-1	-1
10304421	10304431	-1	0	-1	-1
10304422	10304432	-1	0	-1	-1
10304423	10304433	-1	0	-1	-1
10304424	10304434	-1	0	-1	-1
10304425	10304435	-1	0	-1	-1
10305426	10305445	-1	0	-1	-1
10305427	10305446	-1	0	-1	-1
10305428	10305447	-1	0	-1	-1
10305429	10305448	-1	0	-1	-1
10305430	10305449	-1	0	-1	-1
10305431	10305450	-1	0	-1	-1
10305432	10305451	-1	0	-1	-1
10305433	10305452	-1	0	-1	-1
10305434	10305453	-1	0	-1	-1
10305435	10305454	-1	0	-1	-1
10305436	10305455	-1	0	-1	-1
10305437	10305456	-1	0	-1	-1
10305438	10305457	-1	0	-1	-1
10305439	10305458	-1	0	-1	-1
10305440	10305459	-1	0	-1	-1
10305441	10305460	-1	0	-1	-1
10305442	10305461	-1	0	-1	-1
10305443	10305462	-1	0	-1	-1
10306033	10306043	-1	0	-1	-1
10306034	10306044	-1	0	-1	-1
10306035	10306045	-1	0	-1	-1
10306036	10306046	-1	0	-1	-1
10306037	10306047	-1	0	-1	-1
10306038	10306048	-1	0	-1	-1
10306039	10306049	-1	0	-1	-1
10306040	10306050	-1	0	-1	-1
10306041	10306051	-1	0	-1	-1
10307033	10307043	-1	0	-1	-1
10307034	10307044	-1	0	-1	-1
10307035	10307045	-1	0	-1	-1
10307036	10307046	-1	0	-1	-1
10307037	10307047	-1	0	-1	-1
10307038	10307048	-1	0	-1	-1
10307039	10307049	-1	0	-1	-1
10307040	10307050	-1	0	-1	-1
10307041	10307051	-1	0	-1	-1
10308006	10308008	90000	1	30505827	30505828
10308007	10308009	120000	1	30505827	30505828
10308015	10308024	150000	1	30505827	30505828
10308016	10308025	150000	1	30505827	30505828
10308017	10308026	150000	1	30505827	30505828
10308018	10308027	150000	1	30505827	30505828
10308019	10308028	150000	1	30505827	30505828
10308020	10308029	150000	1	30505827	30505828
10308021	10308030	150000	1	30505827	30505828
10308022	10308031	150000	1	30505827	30505828
10308023	10308032	150000	1	30505827	30505828
10308008	10308010	210000	1	30505829	30505830
10308009	10308011	280000	1	30505829	30505830
10308024	10308033	350000	1	30505829	30505830
10308025	10308034	350000	1	30505829	30505830
10308026	10308035	350000	1	30505829	30505830
10308027	10308036	350000	1	30505829	30505830
10308028	10308037	350000	1	30505829	30505830
10308029	10308038	350000	1	30505829	30505830
10308030	10308039	350000	1	30505829	30505830
10308031	10308040	350000	1	30505829	30505830
10308032	10308041	350000	1	30505829	30505830
10308033	10308043	-1	0	-1	-1
10308034	10308044	-1	0	-1	-1
10308035	10308045	-1	0	-1	-1
10308036	10308046	-1	0	-1	-1
10308037	10308047	-1	0	-1	-1
10308038	10308048	-1	0	-1	-1
10308039	10308049	-1	0	-1	-1
10308040	10308050	-1	0	-1	-1
10308041	10308051	-1	0	-1	-1
