INT	STRING
200002	Tìm ğßşc#RHOa Hách C¤n#W#{_INFOAIM75, 51, 2, Hoa Hách C¤n}tiªn vào#GVÕn Kiªp C¯c#W, tÌm ğßşc#RĞoàn Chính Thu¥n#W.
200003	Hoà#RCHung Linh#Wcùng nhau tìm ğßşc giam giæ Ğoàn Dñ Ğích ğ¸a phß½ng.
200004	Tìm ğßşc#RĞOàn Chính Thu¥n#W#{_INFOAIM63, 36, 2, Ğoàn Chính Thu¥n}.
200006	Chiªn th¡ng#RDI®p Nh¸ Nß½ng#W, #RNhÕc Lão Tam#W, #RVân Trung HÕc#WGiá tam ğÕi ác nhân.
200007	Hoà#RĞOàn Chính Thu¥n#Wcùng nhau tìm ğßşc TÕi nhà ğá g¥n ğây Ğích#RĞoÕn Chính Minh#W.
200008	Chiªn th¡ng#RĞOàn Duyên Khánh#W, nH§n ğßşc#Ynhà ğá cái chìa khóa#W.
200012	Chiªn th¡ng#RT¿ Mã Lâm#WHoà#RDiêu Bác Ğang#W.
200013	Truy«n tin C¤p#GTÔ Châu#WĞích#RMµ Dung Phøc#W#{_INFOAIM129, 76, 1, Mµ Dung Phøc}.
200014	TÕi#GTÔ Châu#Wtìm ğßşc#RLão C¯#W#{_INFOAIM81, 267, 1, Lão C¯}tiªn vào#GYªn TØ ‘#W, TÍnh tìm ğßşc#RVß½ng Ngæ Yên#W.
200015	Giªt chªt t¤t cä Ğích#RTÂy HÕ võ sî#WHoà#RNh¤t Ph¦m Ğß¶ng cao thü#W.
200016	Nh§n ğßşc#YBI Tô Thanh Phong Ğích giäi dßşc#W, VI#RVß½ng Ngæ Yên#Wgiäi ğµc.
200021	Chiªn th¡ng#RBÀo Thiên Linh#W, #RKÏ Løc#WHoà#RHß¾ng V÷ng Häi#Wba ngß¶i.
200022	Hµ t¯ng#RKI«u Phong#WHoà#RA Chu#Wğªn#GLÕc Dß½ng Tø Hi«n Trang#W.
200024	Bäo hµ#RKI«u Phong#Wthoát ly, sau ğó tìm ğßşc#RTiªt Mµ Hoa#W.
200026	TÕi#GL?c Dß½ng#Wtìm ğßşc#RKi«u Phong#W#{_INFOAIM275, 134, 0, Ki«u Phong}.
200031	Thåm dò#GHOàng Thái Thúc Ngñ Trß¾ng#W, #GS· Vß½ng ğÕi doanh#W, #GThß½ng Mang S½n Ğông S½n ĞÕo#W, #GThß½ng Mang S½n Tây s½n ğÕo#W.
200032	Bä#YLIêu Qu¯c Hoàng Ğª Ğích Thánh Chï#Wgiao cho#RGia Lu§t Dß Ğ±#W#{_INFOAIM195, 41, 19, Gia Lu§t Dß Ğ±}.
200033	Träo#RGIa Lu§t MÕc Ca#W#{_INFOAIM128, 50, 18, Gia Lu§t MÕc Ca}tiªn vào#GThß½ng Mang S½n#W, tÌm ğßşc#RGia Lu§t H°ng C½#W.
200035	TÕi#GTHß½ng Mang S½n#Wtìm ğßşc#RTiêu Phong#W[74, 30].
200036	Giªt chªt#RGIa Lu§t Niªt L² C±#W, T?i#GHoàng Thái Thúc Ngñ Trß¾ng#WDß#RTiêu Phong#Whµi hşp.
200038	Hµ t¯ng#GTIêu Phong#W.
200041	TÕi#GLÅng Ba Ğµng#WNµi tìm ğßşc#RPhÕm Bách Linh#W#{_INFOAIM152, 153, 14, PhÕm Bách Linh}tiªn vào#GLôi C± S½n#W.
200042	TÕi#GLÔi C± S½n#WTrung, bäo hµ#RHß Trúc#WĞích an toàn.
200043	Tìm ğßşc#RTÔ Tinh Hà#W#{_INFOAIM125, 144, 14, Tô Tinh Hà}, Hşp Chiªn Ğinh Xuân Thu.
200045	Tiªn vào#GLÔi C± S½n#W, cHiªn th¡ng#RĞinh Xuân Thu#W, Dß#RTô Tinh Hà#Whµi hşp.
200051	Bäo hµ#RTHiên S½n Ğ°ng M²#Whoàn thành cu¯i cùng Ğích tu luy®n.
200052	TÕi#GL?c Dß½ng#Wtìm ğßşc#RHách Liên Thiªt Thø#W#{_INFOAIM113, 63, 0, Hách Liên Thiªt Thø}.
200053	TÕi#GL?c Dß½ng#Wtìm ğßşc#RN² Nhi Häi#W#{_INFOAIM112, 65, 0, N² Nhi Häi}tiªn vào#GNh¤t Ph¦m Ğß¶ng#WTính tìm ğßşc#RHi¬u Lôi#W.
200055	TÕi#GNH¤t Ph¦m Ğß¶ng#WTrung tìm ğßşc#RHß Trúc#W.
200056	Hµ t¯ng#RH¿ Trúc#Wtìm ğßşc Mµng Cô#RNgân Xuyên Công Chü#W.
200080	TÕi#GĞ?i Lı#Wtìm ğßşc#RĞoàn Chính Thu¥n#W#{_INFOAIM63, 36, 2, Ğoàn Chính Thu¥n}.
200081	Träo#RHOa Hách C¤n#W#{_INFOAIM75, 51, 2, Hoa Hách C¤n}tiªn vào#GVÕn Kiªp C¯c#W, h?i thåm Ğoàn Dñ Ğích tin tÑc.
200083	TÕi#GTÔ Châu#Wtìm ğßşc#RA Bích#W#{_INFOAIM128, 74, 1, A Bích}.
200084	Träo#RLÃo C¯#W#{_INFOAIM81, 267, 1, Lão C¯}tiªn vào#GYªn TØ ‘#W, tÌm ğßşc#RVß½ng Ngæ Yên#W.
200085	Träo#RLÃo C¯#W#{_INFOAIM81, 267, 1, Lão C¯}tiªn vào#GYªn TØ ‘#W, tÌm ğßşc#RVß½ng Ngæ Yên#W.
200086	TÕi#GL?c Dß½ng#Wtìm ğßşc#RT× Kinh Lôi#W#{_INFOAIM210, 201, 0, T× Kinh Lôi}.
200087	TÕi#GĞ?i Lı#Wtìm ğßşc#RĞoàn Chính Thu¥n#W#{_INFOAIM63, 36, 2, Ğoàn Chính Thu¥n}.
200088	Bä#YĞOÕn Chính Thu¥n Ğích Tín Tiên#Wğßa cho#GThành LÕc Dß½ng#WĞích#RT× Kinh Lôi#W#{_INFOAIM210, 201, 0, T× Kinh Lôi}.
200089	TÕi#GTHiªu Lâm Tñ#WTräo#RHuy«n T×#W#{_INFOAIM38, 98, 9, Huy«n T×}phß½ng trßşng.
200090	KhÑ#GL?c Dß½ng#WTräo#RT× Kinh Lôi#W#{_INFOAIM210, 201, 0, T× Kinh Lôi}.
200091	TÕi#GL?c Dß½ng#Wtìm ğßşc#RKhang Mçn#W#{_INFOAIM220, 206, 0, Khang Mçn}.
200092	TÕi#GĞ?i Lı#Wtìm ğßşc#RĞoàn Chính Thu¥n#W#{_INFOAIM63, 36, 2, Ğoàn Chính Thu¥n}.
200093	TÕi#GTHß½ng Mang S½n#WTrung tìm ğßşc#RTiêu Phong#W[74, 30].
200094	TÕi#GLÅng Ba Ğµng#WNµi tìm ğßşc#RTô Tinh Hà#W#{_INFOAIM125, 144, 14, Tô Tinh Hà}.
200095	TÕi#GL?c Dß½ng#Wtìm ğßşc#RHách Liên Thiªt Thø#W#{_INFOAIM113, 63, 0, Hách Liên Thiªt Thø}.
200096	TÕi#GLInh ThÑu Cung#Wtìm ğßşc#RMai Kiªm#W#{_INFOAIM91, 44, 17, Mai Kiªm}.
200097	TÕi#GL?c Dß½ng#Wtìm ğßşc#RN² Nhi Häi#W#{_INFOAIM112, 65, 0, N² Nhi Häi}tiªn vào#GNh¤t Ph¦m Ğß¶ng#W, tÌm ğßşc#RThiên S½n Ğ°ng M²#W.
210200	TÕi#GĞ?i Lı#Wtìm ğßşc#RB° Lß½ng#W#{_INFOAIM217, 134, 2, B° Lß½ng}.
210201	Bä#YNH¤t Tß½ng Trù Cø#Wğßa cho#GĞÕi Lı#WĞích#RĞ² TØ Ğ¢ng#W#{_INFOAIM110, 159, 2, Ğ² TØ Ğ¢ng}.
210202	Chª tác mµt cái#YMAn Ğ¥u#W, gIao cho#RĞ² TØ Ğ¢ng#W#{_INFOAIM110, 159, 2, Ğ² TØ Ğ¢ng}.
210203	TÕi#GĞ?i Lı#Wtìm ğßşc#RLô Tam Th¤t#W#{_INFOAIM103, 132, 2, Lô Tam Th¤t}.
210204	H°i#GĞ?i Lı#WTräo#RTri®u Thiên Sß#W#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}.
210205	TÕi#GĞ?i Lı#Wtìm ğßşc#RTi«n Long#W#{_INFOAIM145, 139, 2, Ti«n Long}.
210207	Liên tøc trä l¶i#RTI«n Long#W#{_INFOAIM145, 139, 2, Ti«n Long}Ğích nåm v¤n ğ«.
210208	H°i#GĞ?i Lı#WTräo#RTri®u Thiên Sß#W#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}.
210209	Träo Th§p ğÕi môn phái ğ« cØ Nhân H÷c T§p kÛ nång.
210210	TÕi#GĞ?i Lı#Wtìm ğßşc#RTôn Bát Gia#W#{_INFOAIM173, 146, 2, Tôn Bát Gia}.
210211	TÕi#GĞ?i Lı#Rthßşng võ Ğài#W#{_INFOAIM82, 220, 2, -1}thßşng sÑ Døng Truy«n T¤n Di®m Hoä.
210212	H°i#GĞ?i Lı#Wtìm ğßşc#RTri®u Thiên Sß#W#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}.
210213	KhÑ#GKIªm Các#Wgiªt chªt 8Chích#RThøc ĞÕo BÕch Viên#W#{_INFOAIM65, 252, 7, -1}.
210214	KhÑ#GĞ?i Lı#WTräo#RVân Phiêu Phiêu#W#{_INFOAIM265, 129, 2, Vân Phiêu Phiêu}.
210215	Bä#YcOn thö nhö TØ#Wlên t¾i C¤p 2.
210216	H°i#GĞ?i Lı#WTräo#RTri®u Thiên Sß#W#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}.
210217	KhÑ#GVÔ Lßşng S½n#Wgiªt chªt 8Chích#RS½n Thù#W#{_INFOAIM128, 192, 6, -1}.
210218	Dß#RVÂn Phiêu Phiêu#W#{_INFOAIM265, 129, 2, Vân Phiêu Phiêu}ğ¯i thoÕi.
210220	KhÑ#GĞ?i Lı#WTräo#RVân Phiêu Phiêu#W#{_INFOAIM265, 129, 2, Vân Phiêu Phiêu}.
210221	Träo#RHOàng Mi Tång#W#{_INFOAIM275, 49, 2, Hoàng Mi Tång}, tiªn vào H§u Hoa Viên, Tróc Nh¤t Chích#YTi¬u v¸ chªt#W.
210222	Giªt chªt 5Cá#RM?c Nhân#W.
210223	H°i#GĞ?i Lı#WTräo#RTri®u Thiên Sß#W#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}.
210224	Ğ÷c#Rb cáo Bài#W#{_INFOAIM148, 40, 2, -1}.
210225	TÕi#GĞ?i Lı#Wtìm ğßşc#RĞoàn Duyên Khánh#W#{_INFOAIM215, 284, 2, Ğoàn Duyên Khánh}.
210226	T¯ng#YMAn Ğ¥u#WC¤p#RTi¬u Kh¤t Cái#W#{_INFOAIM199, 255, 2, Ti¬u Kh¤t Cái}.
210227	T¯ng#YB Y#WC¤p#RTi¬u Kh¤t Cái#W#{_INFOAIM199, 255, 2, Ti¬u Kh¤t Cái}.
210228	T¯ng#YKHoáng S×#WC¤p#RTi¬u Kh¤t Cái#W#{_INFOAIM199, 255, 2, Ti¬u Kh¤t Cái}.
210229	H°i#GĞ?i Lı#WTräo#RTri®u Thiên Sß#W#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}.
210230	KhÑ#GĞ?i Lı#Wtìm ğßşc#RHoàng Mi Tång#W#{_INFOAIM275, 49, 2, Hoàng Mi Tång}.
210231	Träo#RHOàng Mi Tång#W#{_INFOAIM275, 49, 2, Hoàng Mi Tång}tiªn vào Ti¬u Mµc Nhân HÕng, giªt chªt 5Chích#RMµc Ğ¥u Nhân#W.
210232	H°i#GĞ?i Lı#WTräo#RTri®u Thiên Sß#W#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}.
210233	Träo Nh¤t Ph¦m NoÕ M­ Hoà Nh¤t Ph¦m H°ng Ğ§u, giao cho#RLÍ Công Bµ#W#{_INFOAIM160, 128, 2, Lí Công Bµ}.
210234	Träo Nh¤t Ph¦m Quª Viên Hoà Nh¤t Ph¦m Hoa Sinh, giao cho#RLÍ Công Bµ#W#{_INFOAIM160, 128, 2, Lí Công Bµ}.
210235	Träo Nh¤t Ph¦m Ngân Nhî Hoà Nh¤t Ph¦m Vu Ğ¥u, giao cho#RLÍ Công Bµ#W#{_INFOAIM160, 128, 2, Lí Công Bµ}.
210236	Träo Nh¤t Ph¦m Liên TØ Hoà Nh¤t Ph¦m H°ng Táo, giao cho#RLÍ Công Bµ#W#{_INFOAIM160, 128, 2, Lí Công Bµ}.
210238	ĞÕt t¾i C¤p 10 Träo#RTRi®u Thiên Sß#W#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}Ğàm nói chuy®n.
210239	Gia nh§p Th§p ğÕi môn phái, Träo#RTRi®u Thiên Sß#W#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}Ğàm nói chuy®n.
210250	Träo Th§p ğÕi môn phái#GTIªp Dçn Nhân#WH÷c T§p hÕng nh¤t kÛ nång tân thü: #r Phái Thiên S½n Ğích#RTrình Thanh Sß½ng#W#{_INFOAIM163, 139, 2, Trình Thanh Sß½ng}#r Tinh Tú Phái Ğích#RHäi Phong TØ#W#{_INFOAIM163, 136, 2, Häi Phong TØ}#r Minh Giáo Ğích#RThÕch Bäo#W#{_INFOAIM163, 143, 2, ThÕch Bäo}#r Cái Bang Ğích#RGiän Ninh#W#{_INFOAIM156, 136, 2, Giän Ninh}#r Phái Võ Ğang Ğích#RTrß½ng HoÕch#W#{_INFOAIM156, 129, 2, Trß½ng HoÕch}#r Phái Nga Mi Ğích#RLµ Tam Nß½ng#W#{_INFOAIM156, 139, 2, Lµ Tam Nß½ng}#r Phái Thiªu Lâm Ğích#RTu® D¸ch#W#{_INFOAIM156, 132, 2, Tu® D¸ch}#r Thiên Long Tñ Ğích#RPhá Tham#W#{_INFOAIM163, 132, 2, Phá Tham}#r Tiêu Dao Phái Ğích#RĞÕm Ğài TØ Vû#W#{_INFOAIM163, 129, 2, ĞÕm Ğài TØ Vû}#r MÕn Ğà S½n Trang Ğích#RVß½ng Khê Vân#W#{_INFOAIM156, 143, 2, Vß½ng Khê Vân}
210251	Ğ÷c Chu sinh ğµng thuyªt minh, sau ğó KhÑ#GĞ?i Lı#{_INFOAIM150, 123, 2, Chúc Phú Quı}#Wtìm ğßşc Chu sinh ğµng quän lı Viên#RChúc Phú Quı#W.
210255	Ği tìm#Yv khí ğiªm#Wlão bän#{_INFOAIM217, 134, 2, B° Lß½ng}#RB° Lß½ng#W.
210256	Ği tìm#YpHøc sÑc Ğiªm#Wlão bän#{_INFOAIM238, 172, 2, Hoàng Công ĞÕo}#RHoàng Công ĞÕo#W.
210257	Thung#GĞ?i Lı Ğông Môn#W#{_INFOAIM288, 151, 2, -1}Ğáo#GVô Lßşng S½n#W, gIªt chªt#G4Chích#RCao S½n BÕch Viên#W#{_INFOAIM87, 159, 6, -1}, sau ğó Thung#{_INFOAIM32, 176, 6, -1}H°i#GĞÕi Lı#WTräo#{_INFOAIM238, 172, 2, Hoàng Công ĞÕo}#RHoàng Công ĞÕo#W.
210258	KhÑ#GNGû Hoa Ğàn#WTräo#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}#RTri®u Thiên Sß#W.
210259	Ği tìm#Yd¿şc ğiªm#Wlão bän#{_INFOAIM103, 132, 2, Lô Tam Th¤t}#RLô Tam Th¤t#W.
210262	KhÑ#GNGû Hoa Ğàn#WTräo#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}#RTri®u Thiên Sß#W.
210263	Ği tìm#GĞ?i Lı#{_INFOAIM163, 139, 2, Trình Thanh Sß½ng}#RTrình Thanh Sß½ng#WH÷c T§p S½ C¤p †n Ğµn, ği tìm#GĞÕi Lı#{_INFOAIM156, 129, 2, Trß½ng HoÕch}#RTrß½ng HoÕch#WH÷c T§p Nµi Kình Công Kích. Sau ğó tr· v« Träo#{_INFOAIM145, 139, 2, Ti«n Long}#RTi«n Long#W.
210264	KhÑ#GĞ?i Lı#WTräo#{_INFOAIM265, 129, 2, Vân Phiêu Phiêu}#RVân Phiêu Phiêu#WLãnh cüa ngß½i thÑ nh¤t Chích Trân Thú, Thung#{_INFOAIM288, 151, 2, -1}KhÑ#GVô Lßşng S½n#WTß¾ng Trân Thú luy®n ğªn C¤p 2. Sau ğó Thung#{_INFOAIM32, 176, 6, -1}H°i#GĞÕi Lı#WTräo#{_INFOAIM265, 129, 2, Vân Phiêu Phiêu}#RVân Phiêu Phiêu#W.
210265	Thông qua#{_INFOAIM256, 127, 2, Thân Tình}#RTHân Tình#Wtiªn vào#GH§u Hoa Viên#W, T?i#{_INFOAIM90, 70, 123, -1}b¡t l¤y Nh¤t Chích Phiêu Phiêu Áp. Sau ğó Thung#{_INFOAIM99, 106, 123, -1}V« ĞÕi Lı Thành Träo#{_INFOAIM265, 129, 2, Vân Phiêu Phiêu}#RVân Phiêu Phiêu#W.
210266	KhÑ#GĞ?i Lı#WNgû Hoa Ğàn Tây Tr¡c#W#{_INFOAIM139, 169, 2, -1}g¥n ğây, phóng ra lØa khói. Hoàn thành H§u ği tìm#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}#RTri®u Thiên Sß#W.
210267	Liên tøc trä l¶i#{_INFOAIM145, 139, 2, Ti«n Long}#RTI«n Long#WĞích nåm v¤n ğ«. Hoàn thành H§u ği tìm#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}#RTri®u Thiên Sß#W.
210268	TÕi#{_INFOAIM160, 135, 2, -1}tìm ğßşc#GTH§p ğÕi môn phái#WĞích#GTiªp Dçn Nhân#W, tHông qua Ki ği trß¾c trong ğó mµt cái môn phái H§u, tìm kiªm Ğáo môn phái Nµi Ğích#Gbái sß Nhân#Wgia nh§p môn phái.
210269	Träo#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}#RTRi®u Thiên Sß#Wtiªn vào Ti¬u Mµc Nhân HÕng, giªt chªt 5Chích#RMµc Ğ¥u Nhân#W. Hoàn thành H§u Thung#{_INFOAIM82, 80, 122, -1}Ğáo#GĞÕi Lı#Wği tìm#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}#RTri®u Thiên Sß#W.
210270	ĞÕt t¾i#G10C¤p#WH§u Träo#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}#RTri®u Thiên Sß#WĞàm nói chuy®n.
210271	T¯ng#YB Y#WC¤p#{_INFOAIM199, 255, 2, Ti¬u Kh¤t Cái}#RTi¬u Kh¤t Cái#W. Sau ğó lÕi ği Träo#{_INFOAIM215, 284, 2, Ğoàn Duyên Khánh}#RĞoàn Duyên Khánh#W.
210272	T¯ng#YKHoáng S×#WC¤p#{_INFOAIM199, 255, 2, Ti¬u Kh¤t Cái}#RTi¬u Kh¤t Cái#W. Sau ğó lÕi ği Träo#{_INFOAIM215, 284, 2, Ğoàn Duyên Khánh}#RĞoàn Duyên Khánh#W.
210273	Thung#GĞ?i Lı Tây Môn#W#{_INFOAIM31, 151, 2, -1}Ğáo#GKiªm Các#Wgiªt chªt#G4Chích#RThøc ĞÕo BÕch Viên#W#{_INFOAIM65, 252, 7, -1}, sau ğó Thung#{_INFOAIM36, 286, 7, -1}H°i#GĞÕi Lı#WTräo#{_INFOAIM58, 133, 2, Cao Thång Tß¶ng}#RCao Thång Tß¶ng#W.
210274	Ği tìm#{_INFOAIM215, 284, 2, Ğoàn Duyên Khánh}#RĞOàn Duyên Khánh#W.
210275	KhÑ#GNGû Hoa Ğàn#WTräo#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}#RTri®u Thiên Sß#W.
210276	Ği tìm#YTRùng Ği¬u Phß¶ng#WĞích Phß¶ng Chü#{_INFOAIM265, 129, 2, Vân Phiêu Phiêu}#RVân Phiêu Phiêu#W.
210277	KhÑ#GNGû Hoa Ğàn#WTräo#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}#RTri®u Thiên Sß#W.
210278	Ği tìm#{_INFOAIM145, 139, 2, Ti«n Long}#RTI«n Long#W.
210279	Ği tìm#{_INFOAIM241, 137, 2, Thôi Phùng CØu}#RTHôi Phùng CØu#W.
210280	Ği trß¾c#{_INFOAIM238, 172, 2, Hoàng Công ĞÕo}#RHOàng Công ĞÕo#WXØ Nã ğ° v§t này n÷, Tß¾ng ğ° v§t này n÷ giao cho#{_INFOAIM199, 255, 2, Ti¬u Kh¤t Cái}#RTi¬u Kh¤t Cái#WH§u lÕi ği Träo#{_INFOAIM215, 284, 2, Ğoàn Duyên Khánh}#RĞoàn Duyên Khánh#W.
212100	Giªt chªt#RM?ch Hæu Nhân#W#{_INFOAIM156, 263, 30, MÕch Hæu Nhân}, báo cáo#RTô Phi#W#{_INFOAIM164, 262, 30, Tô Phi}.
212102	#RL? Bình#W#{_INFOAIM271, 49, 19, L² Bình}yêu c¥u Nhî chiªn th¡ng Ti¬u Bàn.
212103	Thính#RTR¸nh Huy«n#W#{_INFOAIM182, 163, 26, Tr¸nh Huy«n}Giäng Tha Ğích chuy®n xßa.
212104	Bä#YA Chi Ğích Ph¯i SÑc#Wgiao cho#RTr¸nh Huy«n#W#{_INFOAIM182, 163, 26, Tr¸nh Huy«n}.
212107	Giªt chªt#RB?ch Lang Vß½ng#W#{_INFOAIM161, 268, 21, -1}, nh§n ğßşc#YCan Lang Phçn.
212108	Tìm ğßşc 10Kh¯i Hàn Thiªt Khoáng ThÕch Hoà 10Kh¯i Kim Khoáng ThÕch, cùng v¾i 10Cá Kim T®, giao cho#RGIa Lu§t Kim#W#{_INFOAIM170, 206, 21, Gia Lu§t Kim}.
212109	#RA Thanh#W#{_INFOAIM51, 115, 31, A Thanh}yêu c¥u ngß½i giªt TØ#RThông Thiên#W#{_INFOAIM48, 51, 31, -1}.
212110	Tìm ğßşc#RHOàn Nhan Niêm Mµt Hát#W#{_INFOAIM147, 120, 22, Hoàn Nhan Niêm Mµt Hát}, #RHoàn Nhan Oát Li B¤t#W#{_INFOAIM166, 94, 22, Hoàn Nhan Oát Li B¤t}, #RHoàn Nhan Ngoa Lı Ğoá#W#{_INFOAIM178, 113, 22, Hoàn Nhan Ngoa Lı Ğoá}. Nhi®m vø hoàn thành H§u s¨ tìm#RHoàn Nhan Ngµt Thu§t#W#{_INFOAIM118, 107, 22, Hoàn Nhan Ngµt Thu§t}Giao nhi®m vø.
212111	Giªt chªt#GNG÷c Khê#WĞích#RNhi®t B¯ Ba LÕp#W#{_INFOAIM254, 147, 27, -1}.
212112	Hãy mang #YDng sî gia thß#W trao cho #RLı Lão Thái Thái#W · #G Nam Vñc #W#{_INFOAIM214,243,34,Lı Lão Thái Thái}.
212113	#RNGuy®t Quı#W#{_INFOAIM192, 70, 33, Nguy®t Quı}yêu c¥u ngß½i giªt TØ#RNghiêm BÕch H±#W.
212114	Mang #YHUyªt y#W t£ng cho #RDi®p Lßu Phàm#W · #GNam Vñc Kiªm Phái #W#{_INFOAIM115,58,34,Lßu Di®p Phàm}.
212115	Hµ t¯ng#RA Vû Ğích Linh H°n#W#{_INFOAIM182, 264, 29, A Vû}tìm ğßşc#RA Hµi Nam#W#{_INFOAIM92, 266, 29, A Hµi Nam}.
212116	Giªt chªt T§p Th¸ Lı t¤t cä Ğích Lâu LÕc.
212117	Bä#Y5Cá Kim T®#Wgiao cho#GĞÕi Lı#WĞích#RVß½ng Thi«u#W#{_INFOAIM217, 255, 2, Vß½ng Thi«u}.
212119	Bä sám h¯i Tín ğßa cho#GLOng Tuy«n#WĞích#RPháp Ni®m#W#{_INFOAIM207, 63, 31, Pháp Ni®m}.
212120	Bä M§t Hàm ğßa cho#GNHÕn Nam#WĞích#RGia Lu§t MÕc Ca#W#{_INFOAIM128, 50, 18, Gia Lu§t MÕc Ca}.
212121	#RTÁt Mã#W#{_INFOAIM155, 205, 25, Tát Mã}Yêu ngß½i ği thåm dò#GLang Huy®t ğÕi doanh#W.
212122	#RKHúc Ğoan#W#{_INFOAIM233, 192, 19, Khúc Ğoan}Yêu ngß½i ği giªt chªt#Y20Chích#WH°ng Phong Hùng#{_INFOAIM233, 93, 19, -1}.
212123	Bä Tín Hàm ğßa cho#GV Di#WĞích#RKhúc Dß½ng#W#{_INFOAIM194, 52, 32, Khúc Dß½ng}.
212124	Hµ t¯ng#RD¿½ng Thiªt Tín#Wtìm ğßşc#RTr¸nh Viên#W#{_INFOAIM183, 167, 26, Tr¸nh Viên}.
212125	#RTIêu Tß¶ng#W#{_INFOAIM163, 158, 20, Tiêu Tß¶ng}cho ngß½i giªt chªt#Y30Cá#WLoan Ğao Mã Phï#{_INFOAIM273, 156, 20, -1}.
