INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING
40	25	31	0	Phong Lang(28-C¤p 29)	189&195	24	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
41	26	32	0	Lang Tµc Kinh CÑc SÑ(29-C¤p 30)	134&276	24	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
42	27	33	0	Tây B¡c Lang(30-C¤p 31)	281&224	18	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
43	27	33	0	Lang Tµc Chiªn Sî(30-C¤p 31)	99&121	24	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
44	28	34	0	M§t Thám Tiên Phong(31-C¤p 33)	97&143	11	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
45	28	34	0	Kim Ti«n Báo(31-C¤p 32)	249&191	18	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
46	29	35	0	Khôi Hùng(32-C¤p 33)	213&75	18	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
47	30	36	0	T¥n Gia TrÕi Thám TØ(33-C¤p 34)	127&200	18	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
48	31	37	0	Thanh KÏ Thám Mã(34-C¤p 36)	157&138	11	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
49	31	37	0	T¥n Gia TrÕi Lâu LÕc(34-C¤p 35)	91&162	18	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
50	32	38	0	Long Tuy«n Báo(35-C¤p 36)	63&221	31	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
51	32	38	0	T¥n Gia TrÕi Thân Binh(35-C¤p 36)	64&202	18	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
52	33	39	0	Lan Lµ ThuÖ QuÖ(36-C¤p 37)	97&217	31	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
53	34	40	0	Tung Hoä ThuÖ QuÖ(37-C¤p 38)	79&104	31	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
54	34	40	0	Lam KÏ Thám Mã(37-C¤p 40)	29&51	11	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
55	35	41	0	TÕc Thuy«n ThuÖ QuÖ(38-C¤p 39)	192&181	31	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
56	36	42	0	Quy Phong Trang Kiªm Sß(39-C¤p 40)	258&188	31	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
57	37	43	0	Lang Tµc Dûng Sî(40-C¤p 41)	158&70	25	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
58	37	43	0	ThuÖ QuÖ Si Khách(40-C¤p 41)	235&88	31	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
59	38	44	0	Mµc Nhân Lâu La(41-C¤p 43)	95&129	9	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
60	38	44	0	Tuyªt Lang(41-C¤p 42)	47&104	25	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
61	39	45	0	Soa Y Dã Nhân(42-C¤p 43)	57&270	25	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
62	40	46	0	Lang Tµc Th¥n Hán(43-C¤p 44)	260&264	25	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
63	41	47	0	Mµc Nhân Tinh Anh(44-C¤p 46)	128&84	9	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
64	41	47	0	Lang Tµc Th± Tß(44-C¤p 45)	262&198	25	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
65	42	48	0	H°ng Phong Tri Thù(45-C¤p 46)	159&203	19	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
66	42	48	0	Lang Tµc Ð¥u Nhân(45-C¤p 46)	138&236	25	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
67	43	49	0	H°ng Phong Hùng(46-C¤p 47)	253&131	19	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
68	44	50	0	T¥n Gia TrÕi Kiªp Phï(47-C¤p 48)	117&142	19	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
69	44	50	0	Mµc Nhân Võ Sî(47-C¤p 50)	154&52	9	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
70	45	51	0	T¥n Gia TrÕi Hµ V®(48-C¤p 49)	43&166	19	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
71	46	52	0	T¥n Gia TrÕi Giáo Ð¥u(49-C¤p 50)	107&226	19	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
72	47	53	0	Thâm C¯c BÕch Viên(50-C¤p 51)	75&140	32	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
73	47	53	0	Tá Thäo C¯c Liêu Binh(50-C¤p 51)	205&67	19	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
74	48	54	0	Mµc Vß½ng Tri Thù(51-C¤p 53)	70&147	16	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
75	48	54	0	BÕch Hoa Tri Thù(51-C¤p 52)	157&188	32	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
76	49	55	0	S½n Vi®t Chiªn Sî(52-C¤p 53)	203&236	32	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
77	50	56	0	S½n Vi®t ÐÕo Phï(53-C¤p 54)	138&40	32	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
78	51	57	0	ThuÖ Vß½ng Tri Thù(54-C¤p 56)	138&95	16	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
79	51	57	0	Thø Giáp Tiêu Binh(54-C¤p 55)	277&73	32	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
80	52	58	0	Tông Hùng(55-C¤p 56)	256&38	26	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
81	52	58	0	S½n Vi®t Ðao Khách(55-C¤p 56)	171&210	32	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
82	53	59	0	Lang Thù(56-C¤p 57)	170&61	26	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
83	54	60	0	Hoa Cß½ng ThÕch Sß(57-C¤p 58)	219&269	26	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
84	54	60	0	Hoä Vß½ng Tri Thù(57-C¤p 60)	48&50	16	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
85	55	61	0	Hoa Cß½ng ThÕch Nhân(58-C¤p 59)	66&123	26	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
86	56	62	0	Di®p Nham ThÕch Nhân(59-C¤p 60)	46&160	26	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
87	57	63	0	Thäo Nguyên Lang(60-C¤p 61)	177&250	20	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
88	57	63	0	ThÕch Nhân Y¬n Sß(60-C¤p 61)	179&264	26	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
89	58	64	0	Thiên S½n Ti¬u Tuyªt Quái(61-C¤p 63)	41&146	17	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
90	58	64	0	Mông C± H¡c Phong(61-C¤p 62)	275&269	20	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
91	59	65	0	Thi¬m Ði®n Mã Phï(62-C¤p 63)	65&156	20	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
92	60	66	0	Truy Phong Mã Phï(63-C¤p 64)	198&104	20	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
93	61	67	0	Thiên S½n ÐÕi Tuyªt Quái(64-C¤p 66)	151&40	17	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
94	61	67	0	Loan Ðao Mã Phï(64-C¤p 65)	273&156	20	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
95	62	68	0	H°ng Bào Tri Thù(65-C¤p 66)	52&268	33	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
96	62	68	0	Tá Thäo C¯c T¯ng Binh(65-C¤p 66)	40&45	20	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
97	63	69	0	Tùng Lâm Dã Nhân(66-C¤p 67)	93&123	33	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
98	64	70	0	S½n Vi®t Tª Tß(67-C¤p 68)	48&64	33	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
99	64	70	0	Thiên S½n Tuyªt Quái Vß½ng(67-C¤p 70)	124&48	17	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
100	65	71	0	B¢ng Dân(68-C¤p 69)	122&192	33	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
101	66	72	0	S½n Vi®t Hµ Pháp(69-C¤p 70)	234&41	33	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
102	67	73	0	K¸ch Ðµc Lang Thù(70-C¤p 71)	112&39	27	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
103	67	73	0	Lßu Kh¤u(70-C¤p 71)	222&190	33	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
104	68	74	0	Yêu D¸ Tâm Ma(71-C¤p 73)	109&164	12	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
105	68	74	0	Vân Mçu ThÕch Nhân(71-C¤p 72)	90&116	27	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
106	69	75	0	Long Huyªt ThÕch Nhân(72-C¤p 73)	43&178	27	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
107	70	76	0	Næ Oa ThÕch Nhân(73-C¤p 74)	163&197	27	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
108	71	77	0	Phá Sân Tâm Ma(74-C¤p 76)	75&135	12	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
109	71	77	0	Y¬n Sß Hµ Pháp(74-C¤p 75)	200&200	27	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
110	72	78	0	BÕch Lang Vß½ng(75-C¤p 76)	170&256	21	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
111	72	78	0	ÐÕi Y¬n Sß(75-C¤p 76)	275&275	27	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
112	73	79	0	ÐÕi H¡c Phong(76-C¤p 77)	100&232	21	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
113	74	80	0	H¡c Y Mã Phï(77-C¤p 78)	87&122	21	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
114	74	80	0	Sát Døc Tâm Ma(77-C¤p 80)	86&85	12	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
115	75	81	0	H°ng Y Mã Phï(78-C¤p 79)	134&86	21	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
116	76	82	0	Nh¤t Ph¦m Ðß¶ng Si Khách(79-C¤p 80)	249&127	21	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
117	77	83	0	Nam Häi NgÕc Ngß(80-C¤p 81)	71&94	34	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
118	77	83	0	Khinh Giáp Mãng Cái(80-C¤p 81)	271&262	21	#rB±n quái v§t thuµc loÕi Mãng Cái Quái, Tha Hµi r½i xu¯ng Phòng Cø tài li®u, thu¯c tài li®u.		
119	78	84	0	Hü Th¬ ‘i LuÛ(81-C¤p 83)	49&148	14	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
120	78	84	0	NgÕc Ngß Bang H²n H²n(81-C¤p 82)	114&65	34	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
121	79	85	0	ThÕch Lão Nhân(82-C¤p 83)	197&150	34	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
122	80	86	0	NgÕc Ngß Bang Tá Thü(83-C¤p 84)	179&104	34	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
123	81	87	0	H¡c Träo Báo(84-C¤p 85)	274&77	28	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
124	81	87	0	Thñc Tâm ‘i LuÛ(84-C¤p 86)	118&147	14	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
125	81	87	0	Nam Häi Häi ÐÕo(84-C¤p 85)	225&208	34	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
126	82	88	0	Tùng Lâm Phong(85-C¤p 86)	84&48	28	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
127	83	89	0	Ð¢ng Giáp T£c(86-C¤p 87)	43&146	28	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
128	84	90	0	Hoá Phách ‘i LuÛ(87-C¤p 90)	151&150	14	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
