INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
50	10125431	444	0	24	25	-1	-1	-1	-1
51	10125432	444	0	24	25	-1	-1	-1	-1
52	10125433	444	0	24	25	-1	-1	-1	-1
53	10125434	444	0	24	25	-1	-1	-1	-1
54	10125435	444	0	24	25	-1	-1	-1	-1
55	10125436	444	0	24	25	-1	-1	-1	-1
56	10125437	444	0	24	25	-1	-1	-1	-1
57	10125438	444	0	24	25	-1	-1	-1	-1
58	10125439	444	0	24	25	-1	-1	-1	-1
59	10125440	444	0	24	25	-1	-1	-1	-1
60	10125441	444	0	24	25	-1	-1	-1	-1
61	10125442	444	0	24	25	-1	-1	-1	-1
62	10125443	444	0	24	25	-1	-1	-1	-1
63	10125444	444	0	24	25	-1	-1	-1	-1
64	10125445	444	0	24	25	-1	-1	-1	-1
65	10125446	444	0	24	25	-1	-1	-1	-1
66	10125447	444	0	24	25	-1	-1	-1	-1
67	10125448	444	0	24	25	-1	-1	-1	-1
68	10125449	444	0	24	25	-1	-1	-1	-1
69	10125450	444	0	24	25	-1	-1	-1	-1
70	10125451	444	0	24	25	-1	-1	-1	-1
71	10125452	444	0	24	25	-1	-1	-1	-1
72	10125453	444	0	24	25	-1	-1	-1	-1
73	10125454	444	0	24	25	-1	-1	-1	-1
74	10125455	444	0	24	25	-1	-1	-1	-1
75	10125456	444	0	24	25	-1	-1	-1	-1
76	10125457	444	0	24	25	-1	-1	-1	-1
77	10125458	444	0	24	25	-1	-1	-1	-1
78	10125459	444	0	24	25	-1	-1	-1	-1
79	10125460	444	0	24	25	-1	-1	-1	-1
80	10125461	444	0	24	25	-1	-1	-1	-1
81	10125462	444	0	24	25	-1	-1	-1	-1
82	10125463	444	0	24	25	-1	-1	-1	-1
83	10125464	444	0	24	25	-1	-1	-1	-1
84	10125465	444	0	24	25	-1	-1	-1	-1
85	10125466	444	0	24	25	-1	-1	-1	-1
86	10125467	444	0	24	25	-1	-1	-1	-1
87	10125468	444	0	24	25	-1	-1	-1	-1
88	10125469	444	0	24	25	-1	-1	-1	-1
89	10125470	444	0	24	25	-1	-1	-1	-1
90	10125471	444	0	24	25	-1	-1	-1	-1
91	10125472	444	0	24	25	-1	-1	-1	-1
92	10125473	444	0	24	25	-1	-1	-1	-1
93	10125474	444	0	24	25	-1	-1	-1	-1
94	10125475	444	0	24	25	-1	-1	-1	-1
95	10125476	444	0	24	25	-1	-1	-1	-1
96	10125477	444	0	24	25	-1	-1	-1	-1
97	10125478	444	0	24	25	-1	-1	-1	-1
98	10125479	444	0	24	25	-1	-1	-1	-1
99	10125480	444	0	24	25	-1	-1	-1	-1
100	10125481	444	0	24	25	-1	-1	-1	-1
101	10102000	1304	0	26	-1	-1	-1	-1	-1
102	10102000	1305	0	27	-1	-1	-1	-1	-1
103	10102000	1306	0	28	-1	-1	-1	-1	-1
104	10101000	1307	0	29	-1	-1	-1	-1	-1
105	10101000	1308	0	29	-1	-1	-1	-1	-1
106	10101000	1309	0	29	-1	-1	-1	-1	-1
107	10102000	1310	0	30	-1	-1	-1	-1	-1
108	10102000	1311	0	30	-1	-1	-1	-1	-1
109	10102000	1312	0	30	-1	-1	-1	-1	-1
110	10101000	1320	0	29	-1	-1	-1	-1	-1
111	10102000	1317	0	31	-1	-1	-1	-1	-1
112	10102000	1318	0	31	-1	-1	-1	-1	-1
113	10102000	1319	0	31	-1	-1	-1	-1	-1
114	10101000	1321	0	57	-1	-1	-1	-1	-1
115	10101000	1322	0	57	-1	-1	-1	-1	-1
116	10101000	1323	0	57	-1	-1	-1	-1	-1
117	10102000	1324	0	58	-1	-1	-1	-1	-1
118	10102000	1325	0	58	-1	-1	-1	-1	-1
119	10102000	1327	0	58	-1	-1	-1	-1	-1
120	10101000	1340	0	57	-1	-1	-1	-1	-1
121	10126034	562	0	59	60	-1	-1	-1	-1
122	10126035	562	0	59	60	-1	-1	-1	-1
123	10126036	562	0	59	60	-1	-1	-1	-1
124	10126037	562	0	59	60	-1	-1	-1	-1
125	10126038	562	0	59	60	-1	-1	-1	-1
126	10126039	562	0	59	60	-1	-1	-1	-1
127	10126040	562	0	59	60	-1	-1	-1	-1
128	10126041	562	0	59	60	-1	-1	-1	-1
129	10126042	562	0	59	60	-1	-1	-1	-1
130	10126043	562	0	59	60	-1	-1	-1	-1
131	10126044	562	0	59	60	-1	-1	-1	-1
132	10126045	562	0	59	60	-1	-1	-1	-1
133	10126046	562	0	59	60	-1	-1	-1	-1
134	10126047	562	0	59	60	-1	-1	-1	-1
135	10126048	562	0	59	60	-1	-1	-1	-1
136	10126049	562	0	59	60	-1	-1	-1	-1
137	10126050	562	0	59	60	-1	-1	-1	-1
138	10126051	562	0	59	60	-1	-1	-1	-1
139	10126052	562	0	59	60	-1	-1	-1	-1
140	10126053	562	0	59	60	-1	-1	-1	-1
141	10126054	562	0	59	60	-1	-1	-1	-1
142	10126055	562	0	59	60	-1	-1	-1	-1
143	10126056	562	0	59	60	-1	-1	-1	-1
144	10126057	562	0	59	60	-1	-1	-1	-1
145	10126058	562	0	59	60	-1	-1	-1	-1
146	10126059	562	0	59	60	-1	-1	-1	-1
147	10126060	562	0	59	60	-1	-1	-1	-1
148	10126061	562	0	59	60	-1	-1	-1	-1
149	10126062	562	0	59	60	-1	-1	-1	-1
150	10126063	562	0	59	60	-1	-1	-1	-1
151	10126064	562	0	59	60	-1	-1	-1	-1
152	10126065	562	0	59	60	-1	-1	-1	-1
153	10126066	562	0	59	60	-1	-1	-1	-1
154	10126067	562	0	59	60	-1	-1	-1	-1
155	10126068	562	0	59	60	-1	-1	-1	-1
156	10126069	562	0	59	60	-1	-1	-1	-1
157	10126070	562	0	59	60	-1	-1	-1	-1
158	10126071	562	0	59	60	-1	-1	-1	-1
159	10126072	562	0	59	60	-1	-1	-1	-1
160	10126073	562	0	59	60	-1	-1	-1	-1
161	10126074	562	0	59	60	-1	-1	-1	-1
162	10126075	562	0	59	60	-1	-1	-1	-1
163	10126076	562	0	59	60	-1	-1	-1	-1
164	10126077	562	0	59	60	-1	-1	-1	-1
165	10126078	562	0	59	60	-1	-1	-1	-1
166	10126079	562	0	59	60	-1	-1	-1	-1
167	10126080	562	0	59	60	-1	-1	-1	-1
168	10126081	562	0	59	60	-1	-1	-1	-1
169	10126082	562	0	59	60	-1	-1	-1	-1
170	10126083	562	0	59	60	-1	-1	-1	-1
171	10126084	562	0	59	60	-1	-1	-1	-1
172	10126085	562	0	59	60	-1	-1	-1	-1
173	10126086	562	0	59	60	-1	-1	-1	-1
174	10126087	562	0	59	60	-1	-1	-1	-1
175	10126088	562	0	59	60	-1	-1	-1	-1
176	10126089	562	0	59	60	-1	-1	-1	-1
177	10126090	562	0	59	60	-1	-1	-1	-1
178	10126091	562	0	59	60	-1	-1	-1	-1
179	10126092	562	0	59	60	-1	-1	-1	-1
180	10126093	562	0	59	60	-1	-1	-1	-1
181	10126094	562	0	59	60	-1	-1	-1	-1
182	10126095	562	0	59	60	-1	-1	-1	-1
183	10126096	562	0	59	60	-1	-1	-1	-1
184	10126097	562	0	59	60	-1	-1	-1	-1
185	10126098	562	0	59	60	-1	-1	-1	-1
186	10126099	562	0	59	60	-1	-1	-1	-1
187	10126100	562	0	59	60	-1	-1	-1	-1
188	10126101	562	0	59	60	-1	-1	-1	-1
189	10126102	562	0	59	60	-1	-1	-1	-1
190	10126103	562	0	59	60	-1	-1	-1	-1
191	10126104	562	0	59	60	-1	-1	-1	-1
192	10126105	562	0	59	60	-1	-1	-1	-1
193	10126106	562	0	59	60	-1	-1	-1	-1
194	10126107	562	0	59	60	-1	-1	-1	-1
195	10126108	562	0	59	60	-1	-1	-1	-1
196	10126109	562	0	59	60	-1	-1	-1	-1
197	10126110	562	0	59	60	-1	-1	-1	-1
198	10126111	562	0	59	60	-1	-1	-1	-1
199	10126112	562	0	59	60	-1	-1	-1	-1
200	10126113	562	0	59	60	-1	-1	-1	-1
201	10126114	562	0	59	60	-1	-1	-1	-1
202	10126115	562	0	59	60	-1	-1	-1	-1
203	10126116	562	0	59	60	-1	-1	-1	-1
204	10126117	562	0	59	60	-1	-1	-1	-1
205	10126118	562	0	59	60	-1	-1	-1	-1
206	10126119	562	0	59	60	-1	-1	-1	-1
207	10126120	562	0	59	60	-1	-1	-1	-1
208	10126121	562	0	59	60	-1	-1	-1	-1
209	10126122	562	0	59	60	-1	-1	-1	-1
210	10126123	562	0	59	60	-1	-1	-1	-1
211	10126124	562	0	59	60	-1	-1	-1	-1
212	10126125	562	0	59	60	-1	-1	-1	-1
213	10126126	562	0	59	60	-1	-1	-1	-1
214	10126127	562	0	59	60	-1	-1	-1	-1
215	10126128	562	0	59	60	-1	-1	-1	-1
216	10126129	562	0	59	60	-1	-1	-1	-1
217	10126130	562	0	59	60	-1	-1	-1	-1
218	10126131	562	0	59	60	-1	-1	-1	-1
219	10126132	562	0	59	60	-1	-1	-1	-1
220	10126133	562	0	59	60	-1	-1	-1	-1
221	10102000	1427	0	63	-1	-1	-1	-1	-1
222	10102000	1428	0	64	-1	-1	-1	-1	-1
223	10102000	1429	0	65	-1	-1	-1	-1	-1
224	10102000	1430	0	61	-1	-1	-1	-1	-1
225	10102000	1431	0	61	-1	-1	-1	-1	-1
226	10102000	1432	0	61	-1	-1	-1	-1	-1
227	10102000	1433	0	62	-1	-1	-1	-1	-1
228	10102000	1434	0	62	-1	-1	-1	-1	-1
229	10102000	1435	0	62	-1	-1	-1	-1	-1
230	10101000	1453	0	66	-1	-1	-1	-1	-1
231	10101000	1454	0	66	-1	-1	-1	-1	-1
232	10101000	1455	0	66	-1	-1	-1	-1	-1
233	10102000	1456	0	67	-1	-1	-1	-1	-1
234	10102000	1457	0	67	-1	-1	-1	-1	-1
235	10102000	1458	0	67	-1	-1	-1	-1	-1
236	10102000	1463	0	67	-1	-1	-1	-1	-1
237	10101000	1459	0	68	-1	-1	-1	-1	-1
238	10101000	1460	0	68	-1	-1	-1	-1	-1
239	10101000	1461	0	68	-1	-1	-1	-1	-1
240	10101000	1464	0	68	-1	-1	-1	-1	-1
241	10102000	1468	0	69	-1	-1	-1	-1	-1
242	10102000	1469	0	69	-1	-1	-1	-1	-1
243	10102000	1470	0	69	-1	-1	-1	-1	-1
244	10106000	1473	0	70	-1	-1	-1	-1	-1
245	10106000	1474	0	72	-1	-1	-1	-1	-1
246	10106000	1475	0	73	-1	-1	-1	-1	-1
247	10101000	1477	0	71	-1	-1	-1	-1	-1
248	10101000	1478	0	71	-1	-1	-1	-1	-1
249	10101000	1479	0	71	-1	-1	-1	-1	-1
250	10101000	1480	0	71	-1	-1	-1	-1	-1
251	10107000	1465	0	74	-1	-1	-1	-1	-1
252	10107000	1466	0	77	-1	-1	-1	-1	-1
253	10107000	1467	0	78	-1	-1	-1	-1	-1
254	10107000	1495	0	79	-1	-1	-1	-1	-1
255	10101000	1496	0	76	-1	-1	-1	-1	-1
256	10101000	1497	0	76	-1	-1	-1	-1	-1
257	10101000	1498	0	76	-1	-1	-1	-1	-1
258	10105000	1499	0	75	-1	-1	-1	-1	-1
259	10105000	1500	0	75	-1	-1	-1	-1	-1
260	10105000	1501	0	75	-1	-1	-1	-1	-1
261	10102000	1515	0	80	-1	-1	-1	-1	-1
262	10102000	1516	0	81	-1	-1	-1	-1	-1
263	10102000	1517	0	82	-1	-1	-1	-1	-1
264	10100000	1521	0	83	-1	-1	-1	-1	-1
265	10100000	1522	0	83	-1	-1	-1	-1	-1
266	10100000	1523	0	83	-1	-1	-1	-1	-1
267	10102000	1524	0	84	-1	-1	-1	-1	-1
268	10102000	1525	0	85	-1	-1	-1	-1	-1
269	10126751	664	0	86	87	-1	-1	-1	-1
270	10126752	664	0	86	87	-1	-1	-1	-1
271	10126753	664	0	86	87	-1	-1	-1	-1
272	10126754	664	0	86	87	-1	-1	-1	-1
273	10126755	664	0	86	87	-1	-1	-1	-1
274	10126756	664	0	86	87	-1	-1	-1	-1
275	10126757	664	0	86	87	-1	-1	-1	-1
276	10126758	664	0	86	87	-1	-1	-1	-1
277	10126759	664	0	86	87	-1	-1	-1	-1
278	10126760	664	0	86	87	-1	-1	-1	-1
279	10126761	664	0	86	87	-1	-1	-1	-1
280	10126762	664	0	86	87	-1	-1	-1	-1
281	10126763	664	0	86	87	-1	-1	-1	-1
282	10126764	664	0	86	87	-1	-1	-1	-1
283	10126765	664	0	86	87	-1	-1	-1	-1
284	10126766	664	0	86	87	-1	-1	-1	-1
285	10126767	664	0	86	87	-1	-1	-1	-1
286	10126768	664	0	86	87	-1	-1	-1	-1
287	10126769	664	0	86	87	-1	-1	-1	-1
288	10126770	664	0	86	87	-1	-1	-1	-1
289	10126771	664	0	86	87	-1	-1	-1	-1
290	10126772	664	0	86	87	-1	-1	-1	-1
291	10126773	664	0	86	87	-1	-1	-1	-1
292	10126774	664	0	86	87	-1	-1	-1	-1
293	10126775	664	0	86	87	-1	-1	-1	-1
294	10126776	664	0	86	87	-1	-1	-1	-1
295	10126777	664	0	86	87	-1	-1	-1	-1
296	10126778	664	0	86	87	-1	-1	-1	-1
297	10126779	664	0	86	87	-1	-1	-1	-1
298	10126780	664	0	86	87	-1	-1	-1	-1
299	10126781	664	0	86	87	-1	-1	-1	-1
300	10126782	664	0	86	87	-1	-1	-1	-1
301	10126783	664	0	86	87	-1	-1	-1	-1
302	10126784	664	0	86	87	-1	-1	-1	-1
303	10126785	664	0	86	87	-1	-1	-1	-1
304	10126786	664	0	86	87	-1	-1	-1	-1
305	10126787	664	0	86	87	-1	-1	-1	-1
306	10126788	664	0	86	87	-1	-1	-1	-1
307	10126789	664	0	86	87	-1	-1	-1	-1
308	10126790	664	0	86	87	-1	-1	-1	-1
309	10126791	664	0	86	87	-1	-1	-1	-1
310	10126792	664	0	86	87	-1	-1	-1	-1
311	10126793	664	0	86	87	-1	-1	-1	-1
312	10126794	664	0	86	87	-1	-1	-1	-1
313	10126795	664	0	86	87	-1	-1	-1	-1
314	10126796	664	0	86	87	-1	-1	-1	-1
315	10126797	664	0	86	87	-1	-1	-1	-1
316	10126798	664	0	86	87	-1	-1	-1	-1
317	10126799	664	0	86	87	-1	-1	-1	-1
318	10126800	664	0	86	87	-1	-1	-1	-1
319	10126801	664	0	86	87	-1	-1	-1	-1
320	10126802	664	0	86	87	-1	-1	-1	-1
321	10126803	664	0	86	87	-1	-1	-1	-1
322	10126804	664	0	86	87	-1	-1	-1	-1
323	10126805	664	0	86	87	-1	-1	-1	-1
324	10126806	664	0	86	87	-1	-1	-1	-1
325	10126807	664	0	86	87	-1	-1	-1	-1
326	10126808	664	0	86	87	-1	-1	-1	-1
327	10126809	664	0	86	87	-1	-1	-1	-1
328	10126810	664	0	86	87	-1	-1	-1	-1
329	10126811	664	0	86	87	-1	-1	-1	-1
330	10126812	664	0	86	87	-1	-1	-1	-1
331	10126813	664	0	86	87	-1	-1	-1	-1
332	10126814	664	0	86	87	-1	-1	-1	-1
333	10126815	664	0	86	87	-1	-1	-1	-1
334	10126816	664	0	86	87	-1	-1	-1	-1
335	10126817	664	0	86	87	-1	-1	-1	-1
336	10126818	664	0	86	87	-1	-1	-1	-1
337	10126819	664	0	86	87	-1	-1	-1	-1
338	10126820	664	0	86	87	-1	-1	-1	-1
339	10126821	664	0	86	87	-1	-1	-1	-1
340	10126822	664	0	86	87	-1	-1	-1	-1
341	10126823	664	0	86	87	-1	-1	-1	-1
342	10126824	664	0	86	87	-1	-1	-1	-1
343	10126825	664	0	86	87	-1	-1	-1	-1
344	10126826	664	0	86	87	-1	-1	-1	-1
345	10126827	664	0	86	87	-1	-1	-1	-1
346	10126828	664	0	86	87	-1	-1	-1	-1
347	10126829	664	0	86	87	-1	-1	-1	-1
348	10126830	664	0	86	87	-1	-1	-1	-1
349	10126831	664	0	86	87	-1	-1	-1	-1
350	10126832	664	0	86	87	-1	-1	-1	-1
351	10126833	664	0	86	87	-1	-1	-1	-1
352	10126834	664	0	86	87	-1	-1	-1	-1
353	10126835	664	0	86	87	-1	-1	-1	-1
354	10126836	664	0	86	87	-1	-1	-1	-1
355	10126837	664	0	86	87	-1	-1	-1	-1
356	10126838	664	0	86	87	-1	-1	-1	-1
357	10126839	664	0	86	87	-1	-1	-1	-1
358	10126840	664	0	86	87	-1	-1	-1	-1
359	10126841	664	0	86	87	-1	-1	-1	-1
360	10126842	664	0	86	87	-1	-1	-1	-1
361	10126843	664	0	86	87	-1	-1	-1	-1
362	10126844	664	0	86	87	-1	-1	-1	-1
363	10126845	664	0	86	87	-1	-1	-1	-1
364	10126846	664	0	86	87	-1	-1	-1	-1
365	10126847	664	0	86	87	-1	-1	-1	-1
366	10126848	664	0	86	87	-1	-1	-1	-1
367	10126849	664	0	86	87	-1	-1	-1	-1
368	10126850	664	0	86	87	-1	-1	-1	-1
									
369	10101000	3123	0	175	-1	-1	-1	-1	-1
370	10101000	3124	0	175	-1	-1	-1	-1	-1
371	10101000	3125	0	175	-1	-1	-1	-1	-1
372	10101000	3126	0	175	-1	-1	-1	-1	-1
373	10102000	3371	0	185	-1	-1	-1	-1	-1
374	10102000	3372	0	186	-1	-1	-1	-1	-1
375	10102000	3373	0	187	-1	-1	-1	-1	-1
376	10102000	3374	0	188	-1	-1	-1	-1	-1
377	10101000	3511	0	196	-1	-1	-1	-1	-1
378	10101000	3512	0	197	-1	-1	-1	-1	-1
379	10101000	3513	0	198	-1	-1	-1	-1	-1
380	10101000	3514	0	199	-1	-1	-1	-1	-1
381	10102000	2856	0	112	-1	-1	-1	-1	-1
382	10102000	2857	0	112	-1	-1	-1	-1	-1
383	10102000	2858	0	112	-1	-1	-1	-1	-1
384	10102000	2859	0	112	-1	-1	-1	-1	-1
385	10102000	2861	0	112	-1	-1	-1	-1	-1
386	10102000	2862	0	112	-1	-1	-1	-1	-1
387	10102000	2863	0	112	-1	-1	-1	-1	-1
388	10102000	2864	0	112	-1	-1	-1	-1	-1
389	10102000	2867	0	113	-1	-1	-1	-1	-1
390	10102000	2868	0	114	-1	-1	-1	-1	-1
391	10102000	2869	0	115	-1	-1	-1	-1	-1
392	10102000	2870	0	116	-1	-1	-1	-1	-1
393	10102000	2882	0	118	-1	-1	-1	-1	-1
394	10102000	2883	0	119	-1	-1	-1	-1	-1
395	10102000	2884	0	120	-1	-1	-1	-1	-1
396	10102000	2885	0	121	-1	-1	-1	-1	-1
397	10102000	2892	0	123	-1	-1	-1	-1	-1
398	10102000	2893	0	124	-1	-1	-1	-1	-1
399	10102000	2894	0	125	-1	-1	-1	-1	-1
400	10102000	2895	0	126	-1	-1	-1	-1	-1
401	10102000	2912	0	138	-1	-1	-1	-1	-1
402	10102000	2913	0	139	-1	-1	-1	-1	-1
403	10102000	2914	0	140	-1	-1	-1	-1	-1
404	10102000	2915	0	141	-1	-1	-1	-1	-1
405	10102000	2968	0	155	-1	-1	-1	-1	-1
406	10102000	2969	0	156	-1	-1	-1	-1	-1
407	10102000	2970	0	157	-1	-1	-1	-1	-1
408	10102000	2971	0	158	-1	-1	-1	-1	-1
409	10102000	2983	0	160	-1	-1	-1	-1	-1
410	10102000	2984	0	161	-1	-1	-1	-1	-1
411	10102000	2985	0	162	-1	-1	-1	-1	-1
412	10102000	2986	0	163	-1	-1	-1	-1	-1
413	10102000	3093	0	170	-1	-1	-1	-1	-1
414	10102000	3094	0	171	-1	-1	-1	-1	-1
415	10102000	3095	0	172	-1	-1	-1	-1	-1
416	10102000	3096	0	173	-1	-1	-1	-1	-1
417	10102000	3078	0	165	-1	-1	-1	-1	-1
418	10102000	3079	0	166	-1	-1	-1	-1	-1
419	10102000	3080	0	167	-1	-1	-1	-1	-1
420	10102000	3081	0	168	-1	-1	-1	-1	-1
421	10102000	3331	0	178	179	-1	-1	-1	-1
422	10102000	3332	0	178	179	-1	-1	-1	-1
423	10102000	3333	0	178	179	-1	-1	-1	-1
424	10102000	3334	0	178	179	-1	-1	-1	-1
425	10102000	3366	0	-1	-1	-1	-1	-1	-1
426	10102000	3367	0	-1	-1	-1	-1	-1	-1
427	10102000	3368	0	-1	-1	-1	-1	-1	-1
428	10102000	3369	0	-1	-1	-1	-1	-1	-1
429	10102000	3336	0	190	-1	-1	-1	-1	-1
430	10102000	3337	0	190	-1	-1	-1	-1	-1
431	10102000	3338	0	190	-1	-1	-1	-1	-1
432	10102000	3339	0	190	-1	-1	-1	-1	-1
433	10102000	3471	0	191	-1	-1	-1	-1	-1
434	10102000	3472	0	192	-1	-1	-1	-1	-1
435	10102000	3473	0	193	-1	-1	-1	-1	-1
436	10102000	3474	0	194	-1	-1	-1	-1	-1
437	10104000	2902	0	133	-1	-1	-1	-1	-1
438	10104000	2903	0	134	-1	-1	-1	-1	-1
439	10104000	2904	0	135	-1	-1	-1	-1	-1
440	10104000	2905	0	136	-1	-1	-1	-1	-1
441	10104000	2842	0	128	-1	-1	-1	-1	-1
442	10104000	2843	0	129	-1	-1	-1	-1	-1
443	10104000	2844	0	130	-1	-1	-1	-1	-1
444	10104000	2845	0	131	-1	-1	-1	-1	-1
445	10105000	3003	0	-1	-1	-1	-1	-1	-1
446	10105000	3004	0	-1	-1	-1	-1	-1	-1
447	10105000	3005	0	-1	-1	-1	-1	-1	-1
448	10105000	3006	0	-1	-1	-1	-1	-1	-1
449	10105000	3008	0	-1	-1	-1	-1	-1	-1
450	10105000	3009	0	-1	-1	-1	-1	-1	-1
451	10105000	3010	0	-1	-1	-1	-1	-1	-1
452	10105000	3011	0	-1	-1	-1	-1	-1	-1
453	10106000	3323	0	177	-1	-1	-1	-1	-1
454	10106000	3324	0	177	-1	-1	-1	-1	-1
455	10106000	3325	0	177	-1	-1	-1	-1	-1
456	10106000	3326	0	177	-1	-1	-1	-1	-1
457	10102000	3545	0	202	-1	-1	-1	-1	-1
458	10102000	3546	0	203	-1	-1	-1	-1	-1
459	10102000	3547	0	204	-1	-1	-1	-1	-1
460	10102000	3548	0	205	-1	-1	-1	-1	-1
461	10102000	3560	0	207	-1	-1	-1	-1	-1
462	10102000	3561	0	208	-1	-1	-1	-1	-1
463	10102000	3562	0	209	-1	-1	-1	-1	-1
464	10102000	3563	0	210	-1	-1	-1	-1	-1
465	10102000	3581	0	213	-1	-1	-1	-1	-1
466	10102000	3582	0	214	-1	-1	-1	-1	-1
467	10102000	3583	0	215	-1	-1	-1	-1	-1
468	10102000	3584	0	216	-1	-1	-1	-1	-1
469	10101000	3616	0	218	-1	-1	-1	-1	-1
470	10101000	3617	0	219	-1	-1	-1	-1	-1
471	10101000	3618	0	220	-1	-1	-1	-1	-1
472	10101000	3619	0	221	-1	-1	-1	-1	-1
473	10102000	3636	0	223	-1	-1	-1	-1	-1
474	10102000	3637	0	223	-1	-1	-1	-1	-1
475	10102000	3638	0	223	-1	-1	-1	-1	-1
476	10102000	3639	0	223	-1	-1	-1	-1	-1
477	10102000	3667	0	225	-1	-1	-1	-1	-1
478	10102000	3668	0	225	-1	-1	-1	-1	-1
479	10102000	3669	0	225	-1	-1	-1	-1	-1
480	10102000	3670	0	225	-1	-1	-1	-1	-1
481	10105000	3715	0	180	-1	-1	-1	-1	-1
482	10105000	3716	0	181	-1	-1	-1	-1	-1
483	10105000	3717	0	182	-1	-1	-1	-1	-1
484	10105000	3718	0	183	-1	-1	-1	-1	-1
485	10102000	3710	0	226	-1	-1	-1	-1	-1
486	10102000	3711	0	227	-1	-1	-1	-1	-1
487	10102000	3712	0	228	-1	-1	-1	-1	-1
488	10102000	3713	0	229	-1	-1	-1	-1	-1
489	10102000	3910	0	231	-1	-1	-1	-1	-1
490	10102000	3911	0	232	-1	-1	-1	-1	-1
491	10102000	3912	0	233	-1	-1	-1	-1	-1
492	10102000	3913	0	234	-1	-1	-1	-1	-1
493	10100000	3933	0	238	-1	-1	-1	-1	-1
494	10100000	3934	0	238	-1	-1	-1	-1	-1
495	10100000	3935	0	238	-1	-1	-1	-1	-1
496	10100000	3936	0	238	-1	-1	-1	-1	-1
497	10102000	3950	0	239	-1	-1	-1	-1	-1
498	10102000	3951	0	240	-1	-1	-1	-1	-1
499	10102000	3952	0	241	-1	-1	-1	-1	-1
500	10102000	3953	0	242	-1	-1	-1	-1	-1
501	10102000	3974	0	246	244	-1	-1	-1	-1
502	10102000	3975	0	246	244	-1	-1	-1	-1
503	10102000	3976	0	246	244	-1	-1	-1	-1
504	10102000	3977	0	246	244	-1	-1	-1	-1
505	10104000	3969	0	247	245	-1	-1	-1	-1
506	10104000	3970	0	247	245	-1	-1	-1	-1
507	10104000	3971	0	247	245	-1	-1	-1	-1
508	10104000	3972	0	247	245	-1	-1	-1	-1
509	10102000	3990	0	250	-1	-1	-1	-1	-1
510	10102000	3991	0	250	-1	-1	-1	-1	-1
511	10102000	3992	0	250	-1	-1	-1	-1	-1
512	10102000	3993	0	250	-1	-1	-1	-1	-1
513	10102000	4000	0	251	-1	-1	-1	-1	-1
514	10102000	4001	0	251	-1	-1	-1	-1	-1
515	10102000	4002	0	251	-1	-1	-1	-1	-1
516	10102000	4003	0	251	-1	-1	-1	-1	-1
