INT	INT	INT	INT	STRING
121	16845	100	7	秦皇地宫四层
122	16846	101	7	秦皇地宫四层
123	16847	102	7	秦皇地宫四层
124	16848	103	7	秦皇地宫四层
125	16849	104	7	秦皇地宫四层
126	16850	105	7	秦皇地宫四层
127	16851	106	7	秦皇地宫四层
128	16852	107	7	秦皇地宫四层
129	16853	108	7	秦皇地宫四层
130	16854	109	7	秦皇地宫四层
131	16855	110	7	秦皇地宫四层
132	16856	111	7	秦皇地宫四层
133	16857	112	7	秦皇地宫四层
134	16858	113	7	秦皇地宫四层
135	16859	114	7	秦皇地宫四层
136	16860	115	7	秦皇地宫四层
137	16861	116	7	秦皇地宫四层
138	16862	117	7	秦皇地宫四层
139	16863	118	7	秦皇地宫四层
140	16864	119	7	秦皇地宫四层
141	16865	100	8	秦皇地宫四层
142	16866	101	8	秦皇地宫四层
143	16867	102	8	秦皇地宫四层
144	16868	103	8	秦皇地宫四层
145	16869	104	8	秦皇地宫四层
146	16870	105	8	秦皇地宫四层
147	16871	106	8	秦皇地宫四层
148	16872	107	8	秦皇地宫四层
149	16873	108	8	秦皇地宫四层
150	16874	109	8	秦皇地宫四层
151	16875	110	8	秦皇地宫四层
152	16876	111	8	秦皇地宫四层
153	16877	112	8	秦皇地宫四层
154	16878	113	8	秦皇地宫四层
155	16879	114	8	秦皇地宫四层
156	16880	115	8	秦皇地宫四层
157	16881	116	8	秦皇地宫四层
158	16882	117	8	秦皇地宫四层
159	16883	118	8	秦皇地宫四层
160	16884	119	8	秦皇地宫四层
