INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
29	°Á½£	5	4	8	1	38003319	15	38003319	20	-1	1	38002519	1	38002519	1	38002532	5	38002532	5	-1	0	-1	0	2	0
30	°Á½£	5	3	8	1	38003319	15	38003319	20	-1	1	38002519	1	38002519	1	38002532	5	38002532	5	-1	0	-1	0	2	0
31	°Á½£	5	2	8	1	38003319	15	38003319	20	-1	1	20502013	1	20502013	1	20501009	1	20501009	1	-1	0	-1	0	0	2
32	°Á½£	5	1	8	1	38003319	15	38003319	20	-1	1	20800022	1	20800022	1	-1	0	-1	0	-1	0	-1	0	0	1
33	°Ô½£	6	1	2000	1	38003319	19	38003319	24	-1	1	30310125	1	30310125	1	-1	0	-1	0	-1	0	-1	0	1	0
34	Öð½£	1	2	3	2	38003319	10	38003319	15	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	0
35	Öð½£	1	1	3	2	38003319	10	38003319	15	-1	1	30900006	4	30900006	4	20310168	5	20310168	5	-1	0	-1	0	1	1
36	ÊÌ½£	2	3	4	2	38003319	10	38003319	15	-1	1	30900006	8	30900006	8	20800013	8	20800013	8	-1	0	-1	0	1	1
37	ÊÌ½£	2	2	4	2	38003319	10	38003319	15	-1	1	30900006	8	30900006	8	20800013	8	20800013	8	-1	0	-1	0	1	1
38	ÊÌ½£	2	1	4	2	38003319	10	38003319	15	-1	1	30900006	8	30900006	8	20800013	8	20800013	8	-1	0	-1	0	1	1
39	Óù½£	3	3	5	2	38003319	10	38003319	15	-1	1	20600002	1	20600002	1	20600045	1	20600045	1	-1	0	-1	0	0	2
40	Óù½£	3	2	5	2	38003319	10	38003319	15	-1	1	38002524	2	38002524	2	38002533	3	38002533	3	-1	0	-1	0	2	0
41	Óù½£	3	1	5	2	38003319	10	38003319	15	-1	1	20502003	1	20502003	1	20501003	1	20501003	1	-1	0	-1	0	0	2
42	×Ý½£	4	4	6	2	38003319	12	38003319	17	-1	1	38002524	2	38002524	2	38002533	3	38002533	3	-1	0	-1	0	2	0
43	×Ý½£	4	3	6	2	38003319	12	38003319	17	-1	1	38002524	2	38002524	2	38002533	3	38002533	3	-1	0	-1	0	2	0
44	×Ý½£	4	2	6	2	38003319	12	38003319	17	-1	1	20502003	1	20502003	1	20501003	1	20501003	1	-1	0	-1	0	0	2
45	×Ý½£	4	1	6	2	38003319	12	38003319	17	-1	1	20502003	1	20502003	1	20501003	1	20501003	1	-1	0	-1	0	0	2
46	°Á½£	5	4	8	2	38003319	15	38003319	20	-1	1	38002519	1	38002519	1	38002532	5	38002532	5	-1	0	-1	0	2	0
47	°Á½£	5	3	8	2	38003319	15	38003319	20	-1	1	38002675	1	38002675	1	38002532	7	38002532	7	-1	0	-1	0	2	0
48	°Á½£	5	2	8	2	38003319	15	38003319	20	-1	1	20502013	1	20502013	1	20501009	1	20501009	1	-1	0	-1	0	0	2
49	°Á½£	5	1	8	2	38003319	15	38003319	20	-1	1	20800022	1	20800022	1	-1	0	-1	0	-1	0	-1	0	0	1
50	°Ô½£	6	1	2000	2	38003319	19	38003319	24	-1	1	30310125	1	30310125	1	-1	0	-1	0	-1	0	-1	0	1	0
