INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT
350	扫地老僧.obj	1	2	1	0.15	182	183	184	608
351	阿拉伯男人1.obj	1	2	1	0.15	182	183	184	608
352	阿拉伯男人2.obj	1	2	1	0.15	182	183	184	608
353	李秋水.obj	1	2	1	0.15	182	183	184	608
354	陈孤雁.obj	1	2	1	0.15	182	183	184	608
355	刘竹庄.obj	1	2	1	0.15	182	183	184	608
356	徐长老.obj	1	2	1	0.15	182	183	184	608
357	张全祥.obj	1	2	1	0.15	182	183	184	608
358	左慈.obj	1	2	1	0.15	182	183	184	608
359	范百龄.obj	1	2	1	0.15	182	183	184	608
360	苟渎.obj	1	2	1	0.15	182	183	184	608
361	石清露.obj	1	2	1	0.15	182	183	184	608
362	石嫂.obj	1	2	1	0.15	182	183	184	608
363	林世长.obj	1	2	1	0.15	182	183	184	608
364	玄寂.obj	1	2	1	0.15	182	183	184	608
365	玄难.obj	1	2	1	0.15	182	183	184	608
366	赵天师新.obj	1	2	1	0.15	182	183	184	743
367	北院辽兵.obj	1	2	1	0.15	182	183	184	178
368	楚王.obj	1	2	1	0.15	182	183	184	438
369	楚王精英卫士.obj	1	2	1	0.15	182	183	184	439
370	僵尸.obj	1	2	1	0.15	182	183	184	149
371	精英西夏黑黄纹衣武士.obj	1	2	1	0.15	182	183	184	632
372	精英西夏红衣武士.obj	1	2	1	0.15	182	183	184	629
373	精英西夏黄衣武士.obj	1	2	1	0.15	182	183	184	631
374	精英西夏灰衣武士.obj	1	2	1	0.15	182	183	184	628
375	精英西夏魁梧武士.obj	1	2	1	0.15	182	183	184	630
376	聚贤庄家丁.obj	1	2	1	0.15	182	183	184	657
377	魁梧青年侠客.obj	1	2	1	0.15	182	183	184	877
378	魁梧中年侠士.obj	1	2	1	0.15	182	183	184	876
379	老乞丐.obj	1	2	1	0.15	182	183	184	651
380	李延宗.obj	1	2	1	0.15	182	183	184	420
381	辽国皇帝.obj	1	2	1	0.15	182	183	184	764
382	辽国皇太叔A.obj	1	2	1	0.15	182	183	184	761
383	辽国皇太叔B.obj	1	2	1	0.15	182	183	184	762
384	辽国皇太叔C.obj	1	2	1	0.15	182	183	184	763
385	南院辽兵.obj	1	2	1	0.15	182	183	184	183
386	普通西夏武士.obj	1	2	1	0.15	182	183	184	410
387	青年女侠.obj	1	2	1	0.15	182	183	184	821
388	青年书生.obj	1	2	1	0.15	182	183	184	820
389	少林老僧.obj	1	2	1	0.15	182	183	184	361
390	瘦削青年侠客.obj	1	2	1	0.15	182	183	184	574
391	瘦削中年侠士.obj	1	2	1	0.15	182	183	184	573
392	万劫谷卫兵.obj	1	2	1	0.15	182	183	184	110
393	中年女侠.obj	1	2	1	0.15	182	183	184	120
394	中年乞丐.obj	1	2	1	0.15	182	183	184	118
395	中年书生.obj	1	2	1	0.15	182	183	184	119
396	背包袱路人.obj	1	2	1	0.15	182	183	184	658
397	打伞女.obj	1	2	1	0.15	182	183	184	390
398	俩人抬箱子.obj	1	2	1	0.15	182	183	184	147
399	骑驴老头.obj	1	2	1	0.15	182	183	184	870
400	骑马的路人.obj	1	2	1	0.15	182	183	184	869
401	耍猴人.obj	1	2	1	0.15	182	183	184	656
402	挑扁担小贩.obj	1	2	1	0.15	182	183	184	394
403	推车小贩.obj	1	2	1	0.15	182	183	184	397
404	甲虫.obj	1	2	1	0.15	182	183	184	381
405	老鼠.obj	1	2	1	0.15	182	183	184	381
406	小蝙蝠.obj	1	2	1	0.15	182	183	184	381
407	小青蛙.obj	1	2	1	0.15	182	183	184	381
408	小蜥蜴.obj	1	2	1	0.15	182	183	184	381
409	蝎子.obj	1	2	1	0.15	182	183	184	381
410	红色帽子圣诞老人.obj	1	2	1	0.15	182	183	184	231
411	蓝色帽子圣诞老人.obj	1	2	1	0.15	182	183	184	231
412	李秋水1.obj	1	2	1	0.15	182	183	184	422
413	天山童姥.obj	1	2	1	0.15	182	183	184	253
414	天山童姥.obj	1	2	1	0.15	182	183	184	254
415	胖一般商人.obj	1	2	1	0.15	182	183	184	659
416	大理俗家弟子.obj	1	2	1	0.15	182	183	184	659
417	洛阳兵1.obj	1	2	1	0.15	182	183	184	381
418	洛阳兵2.obj	1	2	1	0.15	182	183	184	381
419	大理骑乘弟子.obj	1	2	1	0.15	182	183	184	608
420	峨嵋骑乘弟子.obj	1	2	1	0.15	182	183	184	608
421	丐帮骑乘弟子.obj	1	2	1	0.15	182	183	184	608
422	明教骑乘弟子.obj	1	2	1	0.15	182	183	184	608
423	少林骑乘弟子.obj	1	2	1	0.15	182	183	184	608
424	天山骑乘弟子.obj	1	2	1	0.15	182	183	184	608
425	武当骑乘弟子.obj	1	2	1	0.15	182	183	184	608
426	逍遥骑乘弟子.obj	1	2	1	0.15	182	183	184	608
427	星宿骑乘弟子.obj	1	2	1	0.15	182	183	184	608
428	骑象人.obj	1	2	1	0.15	182	183	184	608
429	李十二娘2.obj	1	2	1	0.15	182	183	184	418
430	苏星河2.obj	1	2	1	0.15	182	183	184	666
431	小茗2.obj	1	2	1	0.15	182	183	184	350
432	阮星竹.obj	1	2	1	0.15	182	183	184	350
433	草药矿石/灵药药鼎.obj	1	2	1	0.15	182	183	184	485
434	峨嵋高级骑乘弟子.obj	1	2	1	0.15	182	183	184	874
435	丐帮高级骑乘弟子.obj	1	2	1	0.15	182	183	184	874
436	明教高级骑乘弟子.obj	1	2	1	0.15	182	183	184	874
437	少林高级骑乘弟子.obj	1	2	1	0.15	182	183	184	874
438	天龙高级骑乘弟子.obj	1	2	1	0.15	182	183	184	874
439	天山高级骑乘弟子.obj	1	2	1	0.15	182	183	184	874
440	武当高级骑乘弟子.obj	1	2	1	0.15	182	183	184	874
441	逍遥高级骑乘弟子.obj	1	2	1	0.15	182	183	184	874
442	星宿高级骑乘弟子.obj	1	2	1	0.15	182	183	184	874
443	漂亮女.obj	1	2	1	0.15	182	183	184	475
444	变身冰人.obj	1	2	1	0.15	182	183	184	186
445	变身雪人.obj	1	2	1	0.15	182	183	184	201
446	变身月饼.obj	1	2	1	0.15	182	183	184	192
500	赤脚野人.obj	1	2	1	0.15	182	183	184	739
501	丛林野人.obj	1	2	1	0.15	182	183	184	113
502	毒狼蛛.obj	1	2	1	0.15	182	183	184	452
503	大黑熊.obj	1	2	1	0.15	182	183	184	247
504	恶猿.obj	1	2	1	0.15	182	183	184	383
505	黑熊.obj	1	2	1	0.15	182	183	184	901
506	黑沼豹.obj	1	2	1	0.15	182	183	184	900
507	花斑豹.obj	1	2	1	0.15	182	183	184	664
508	荒原豹.obj	1	2	1	0.15	182	183	184	673
509	沙坡狼.obj	1	2	1	0.15	182	183	184	461
510	狼蛛.obj	1	2	1	0.15	182	183	184	500
511	红袍蜘蛛.obj	1	2	1	0.15	182	183	184	641
512	白花蜘蛛.obj	1	2	1	0.15	182	183	184	592
513	花岗石人.obj	1	2	1	0.15	182	183	184	663
514	镜湖水鬼.obj	1	2	1	0.15	182	183	184	805
515	拦路水鬼.obj	1	2	1	0.15	182	183	184	393
516	纵火水鬼.obj	1	2	1	0.15	182	183	184	642
517	太湖水鬼.obj	1	2	1	0.15	182	183	184	256
518	灰熊.obj	1	2	1	0.15	182	183	184	481
519	镜湖鳄鱼.obj	1	2	1	0.15	182	183	184	807
520	白棋子1.obj	1	2	1	0.15	182	183	184	580
521	白棋子2.obj	1	2	1	0.15	182	183	184	581
522	黑棋子1.obj	1	2	1	0.15	182	183	184	898
523	黑棋子2.obj	1	2	1	0.15	182	183	184	899
524	白茅草人.obj	1	2	1	0.15	182	183	184	596
525	鳄鱼帮打手.obj	1	2	1	0.15	182	183	184	880
526	鳄鱼帮混混.obj	1	2	1	0.15	182	183	184	881
527	鳄鱼帮堂主.obj	1	2	1	0.15	182	183	184	879
528	狼人神汉.obj	1	2	1	0.15	182	183	184	498
529	狼族荆棘使.obj	1	2	1	0.15	182	183	184	499
530	山越刀客.obj	1	2	1	0.15	182	183	184	364
531	山越盗匪.obj	1	2	1	0.15	182	183	184	367
532	山越护法.obj	1	2	1	0.15	182	183	184	366
533	山越祭司.obj	1	2	1	0.15	182	183	184	368
534	山越战士.obj	1	2	1	0.15	182	183	184	365
535	闪电豹.obj	1	2	1	0.15	182	183	184	808
536	深谷白猿.obj	1	2	1	0.15	182	183	184	471
537	石人偃师.obj	1	2	1	0.15	182	183	184	606
538	蜀道白猿.obj	1	2	1	0.15	182	183	184	702
539	水鬼刺客.obj	1	2	1	0.15	182	183	184	458
540	水鬼探子.obj	1	2	1	0.15	182	183	184	459
541	蓑衣野人.obj	1	2	1	0.15	182	183	184	687
542	太湖鳄鱼.obj	1	2	1	0.15	182	183	184	257
543	叶岩石人.obj	1	2	1	0.15	182	183	184	210
544	遗弃木人.obj	1	2	1	0.15	182	183	184	776
545	遗弃铜人.obj	1	2	1	0.15	182	183	184	777
546	凿船水鬼.obj	1	2	1	0.15	182	183	184	168
547	南海鳄鱼.obj	1	2	1	0.15	182	183	184	182
548	嗜血鳄鱼.obj	1	2	1	0.15	182	183	184	219
549	树甲哨兵.obj	1	2	1	0.15	182	183	184	429
550	狼人探子.obj	1	2	1	0.15	182	183	184	497
551	狼人土司.obj	1	2	1	0.15	182	183	184	495
552	狼人勇士.obj	1	2	1	0.15	182	183	184	494
553	狼人战士.obj	1	2	1	0.15	182	183	184	496
554	云母石人.obj	1	2	1	0.15	182	183	184	135
555	醉人蜂.obj	1	2	1	0.15	182	183	184	787
556	南海海盗.obj	1	2	1	0.15	182	183	184	180
557	镜湖花妖.obj	1	2	1	0.15	182	183	184	806
558	獠牙雪人.obj	1	2	1	0.15	182	183	184	501
559	藤甲勇士.obj	1	2	1	0.15	182	183	184	697
560	雪山猎人.obj	1	2	1	0.15	182	183	184	817
561	花岗石狮.obj	1	2	1	0.15	182	183	184	607
562	阿鼻修罗.obj	1	2	1	0.15	182	183	184	148
563	万劫修罗.obj	1	2	1	0.15	182	183	184	148
564	修罗探子.obj	1	2	1	0.15	182	183	184	148
565	永夜修罗.obj	1	2	1	0.15	182	183	184	148
566	白额虎.obj	1	2	1	0.15	182	183	184	114
567	大偃师.obj	1	2	1	0.15	182	183	184	606
568	木人巷首领.obj	1	2	1	0.15	182	183	184	414
569	棋局首领.obj	1	2	1	0.15	182	183	184	432
570	金刚.obj	1	2	1	0.15	182	183	184	793
571	红熊王.obj	1	2	1	0.15	182	183	184	634
572	火柱战斗01.obj	1	2	1	0.15	182	183	184	388
573	火柱战斗02.obj	1	2	1	0.15	182	183	184	388
574	虚竹小和尚.obj	1	2	1	0.15	182	183	184	700
600	风狼.obj	1	2	1	0.15	182	183	184	585
601	雪狼.obj	1	2	1	0.15	182	183	184	585
602	雪山狼.obj	1	2	1	0.15	182	183	184	585
603	颖水狼.obj	1	2	1	0.15	182	183	184	585
604	红枫熊.obj	1	2	1	0.15	182	183	184	481
605	花港毒蜂.obj	1	2	1	0.15	182	183	184	112
606	柳鬼.obj	1	2	1	0.15	182	183	184	577
607	龙井水贼.obj	1	2	1	0.15	182	183	184	393
608	龙泉豹.obj	1	2	1	0.15	182	183	184	664
609	龙血石人.obj	1	2	1	0.15	182	183	184	663
610	女娲石人.obj	1	2	1	0.15	182	183	184	663
611	石老人.obj	1	2	1	0.15	182	183	184	663
612	卢崖铜人.obj	1	2	1	0.15	182	183	184	777
613	南海盗神.obj	1	2	1	0.15	182	183	184	180
614	秦家寨护卫.obj	1	2	1	0.15	182	183	184	612
615	秦家寨劫匪.obj	1	2	1	0.15	182	183	184	612
