INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10	周六	0	0	20	1000	1	5	1430	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	双人休闲	1	0	50	0	1	1	0	1	6	0	38002849	1278	38002849	38002850	1279	38002850	38002851	1279	38002851	38002852	1280	38002852	38002852	1280	38002852	38002852	1280	38002852	38002852	1280	38002852	38002852	1280	38002852	38002852	1280	38002852	38002852	1280	38002852	38002853	1283	38002853	38002853	1283	38002853	38002853	1283	38002853	38002853	1283	38002853	38002853	1283	38002853	38002853	1283	38002853	38002853	1283	38002853	38002853	1283	38002853	38002853	1283	38002853	38002853	1283	38002853	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854	38002854	1283	38002854
12	双人PK1	1	0	50	0	1	1	0	1	6	0	38002835	1271	0	38002836	1272	0	38002837	1272	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0
13	双人PK2	1	0	50	0	1	1	0	1	6	0	38002835	1271	0	38002836	1272	0	38002837	1272	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0
14	双人PK3	1	0	50	0	1	1	0	1	6	0	38002835	1271	0	38002836	1272	0	38002837	1272	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002838	1273	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002839	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0	38002840	1282	0
15	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	苍山破煞跨服	1	2	10	31000	1	0	65	1	3	0	10142702	0	10142702	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	10142701	0	10142701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
