INT	INT	STRING	STRING	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
99	4	Løc ð¸a phi tiên	Trung C¤p Khu QuÖ Sß, Lû Kiªn công huân, không ng×ng c¯ g¡ng.	4	2	-1	Khu QuÖ(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100	4	Giáng Ma thßþng tiên	Cao c¤p Khu QuÖ Sß, công huân l¾n lao, không ng×ng c¯ g¡ng.	4	3	-1	Khu QuÖ(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
101	4	Thiên Cß½ng Chân Quân	Cñc ph¦m Khu QuÖ Sß, Giáng Yêu phøc ma, tr× ma v® ðÕo.	4	4	-1	Khu QuÖ(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
102	5	Hoàng Báo Tiêu V®	S½ C¤p Tiêu Sß, S½ Kiªn công huân, tiªp tøc c¯ g¡ng.	5	1	-1	V§n Tiêu(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
103	5	Xích H± Tiêu Sß	Trung C¤p Tiêu Sß, Lû Kiªn công huân, không ng×ng c¯ g¡ng.	5	2	-1	V§n Tiêu(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
104	5	H¡c Phßþng tiêu ð¥u	Cao c¤p Tiêu Sß, công huân l¾n lao, không ng×ng c¯ g¡ng.	5	3	-1	V§n Tiêu(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
105	5	BÕch Long T±ng tiêu ð¥u	Cñc ph¦m Tiêu Sß, V§n Tiêu ngß¶i tài ba, Nghi®p Gi¾i ði¬n phÕm.	5	4	-1	V§n Tiêu(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
106	6	TrÕng Nguyên	H÷c thÑc uyên bác, vån tài siêu qu¥n, Thiên HÕ Vô Song!	6	3	-1	Khoa cØ(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
107	6	Bäng Nhãn	H÷c thÑc h½n ngß¶i, vån tài xu¤t chúng, thiên hÕ ð® nh¸!	6	2	-1	Khoa cØ(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
108	6	Thám Hoa	H÷c thÑc h½n ngß¶i, vån tài xu¤t chúng, thiên hÕ ð® tam!	6	1	-1	Khoa cØ(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
109	7	Mî Thñc ÐÕi vß½ng	Trù ngh® cao siêu, có mµt không hai thiên hÕ!	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
110	7	Di®u Thü H°i Xuân	Xuân v« di®u thü, Hoa Ðà tái thª!	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
111	7	Bäo thÕch chuyên gia	Cñc ph¦m bäo thÕch, T¤t Ngã S· Xu¤t!	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
112	7	Chú Kiªm ðÕi sß	Chú Kiªm ðÕi sß, ngß¶i có khä nång tái sinh!	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
113	7	Chª Y nång thü	Chª Y nång thü, ðß½ng kim hoàng ðÕo Bà!	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
114	7	Xäo Thü Th¥n Tßþng	Xäo Thü Th¥n Tßþng, L² Ban tái thª!	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
115	7	Vô song tài tØ	Vån tài xu¤t chúng, phong ðµ chï có!	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
116	7	Hái thu¯c chuyên gia	Th¥n Nông tái thª, Thß·ng Biªn bách thäo!	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
117	7	Thái Khoáng chuyên gia	Thái Khoáng chuyên gia, khai thác mö ði¬n phÕm!	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
118	7	Oa Bäo ðÕi sß	Con m¡t tinh ð¶i, bäo tàng chung kªt Giä!	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
119	7	Thiên sß truy«n nhân	Thiên sß truy«n nhân, m¾i là danh nhân!	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
120	7	Câu cá cao thü	Thái Công Ðiªu Ngß, Nguy®n Giä m¡c câu.	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
121	7	Buôn bán ð¥u sö	Buôn bán vòi nß¾c, phú giáp mµt phß½ng.	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
122	7	Võ lâm Ð® NðÕi bang	Nhçm Ðích môn phái Th¸ võ lâm Ð® NðÕi bang.	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
123	7	Mô phÕm vþ ch°ng	Tri tâm vþ, vþ ch°ng ði¬n phÕm!	7	1	-1	Ð£c thù(B¤t xØ lý)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
124	8	Tào v§n Doanh	S½ C¤p thuÖ v§n thß½ng nhân, thuÖ v§n b¡t ð¥u, tiªp tøc c¯ g¡ng.	6	1	-1	Tào V§n	1	ThuÖ v§n 1ThÑ nh§n ðßþc Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
125	8	Tào v§n T¦u T¯t	Nh¸ c¤p thuÖ v§n thß½ng nhân, thuÖ v§n quen tay, tiªp tøc c¯ g¡ng.	6	2	-1	Tào V§n	1	ThuÖ v§n 100ThÑ nh§n ðßþc Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
126	8	Tào v§n Áp Giäi Quan	Ba c¤p thuÖ v§n thß½ng nhân, thuÖ v§n nång thü, không ng×ng c¯ g¡ng.	6	3	-1	Tào V§n	1	ThuÖ v§n 1000ThÑ nh§n ðßþc Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
127	8	Tào v§n Th¯ng Lînh	TÑ c¤p thuÖ v§n thß½ng nhân, thuÖ v§n cao thü, không ng×ng c¯ g¡ng.	6	4	-1	Tào V§n	1	ThuÖ v§n 3000ThÑ nh§n ðßþc Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
128	8	Tào v§n Ði«u Ðµ Phó SÑ	Ngû C¤p thuÖ v§n thß½ng nhân, thuÖ v§n danh nhân, không ng×ng c¯ g¡ng.	6	5	-1	Tào V§n	1	ThuÖ v§n 7500ThÑ nh§n ðßþc Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
129	8	Tào v§n Ði«u Ðµ SÑ	Løc c¤p thuÖ v§n thß½ng nhân, thuÖ v§n quy«n uy, Nghi®p Gi¾i ði¬n phÕm.	6	6	-1	Tào V§n	1	ThuÖ v§n 20000ThÑ nh§n ðßþc Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
130	8	Tào v§n T±ng Ð¬ Ði«u	Th¤t c¤p thuÖ v§n thß½ng nhân, thuÖ v§n th¥n thoÕi, b¤t hü truy«n kÏ.	6	7	-1	Tào V§n	1	ThuÖ v§n 50000ThÑ nh§n ðßþc Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
131	9	Bình T£c Binh SÛ	Sát T£c dûng mãnh, xung phong · phía trß¾c!	17	1	-1	T£c Binh Xâm Nh§p	1	Sát phän t£c vi tích phân 100Phân nh§n ðßþc Ðích danh hi®u(giªt chªt T£c Binh Lâu LÕc Ð¡c 1Phân, giªt chªt T£c Binh Ð¥u Møc Ð¡c 5Phân).	19	31	26	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
132	9	Bình T£c Ðµi Trß·ng	Sát T£c cao thü, m÷i vi®c ð«u thu§n lþi!	17	2	-1	T£c Binh Xâm Nh§p	1	Sát phän t£c vi tích phân 500Phân nh§n ðßþc Ðích danh hi®u(giªt chªt T£c Binh Lâu LÕc Ð¡c 1Phân, giªt chªt T£c Binh Ð¥u Møc Ð¡c 5Phân).	19	64	26	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
133	9	Bình T£c Th¯ng Lînh	Sát T£c tinh anh, T£c Binh kh¡c tinh!	17	3	-1	T£c Binh Xâm Nh§p	1	Sát phän t£c vi tích phân 5000Phân nh§n ðßþc Ðích danh hi®u(giªt chªt T£c Binh Lâu LÕc Ð¡c 1Phân, giªt chªt T£c Binh Ð¥u Møc Ð¡c 5Phân).	19	124	26	124	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
134	9	Ðãng Kh¤u Tß¾ng Quân	ÐÕi tß¾ng tài, d©p yên Qu¥n T£c!	17	4	-1	T£c Binh Xâm Nh§p	1	Sát phän t£c vi tích phân 30000Phân nh§n ðßþc Ðích danh hi®u(giªt chªt T£c Binh Lâu LÕc Ð¡c 1Phân, giªt chªt T£c Binh Ð¥u Møc Ð¡c 5Phân).	19	183	26	183	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
135	9	Ðãng Kh¤u Nguyên Soái	Nguyên soái tài, d©p yên Qu¥n T£c!	17	5	-1	T£c Binh Xâm Nh§p	1	Sát phän t£c vi tích phân 65000Phân nh§n ðßþc Ðích danh hi®u(giªt chªt T£c Binh Lâu LÕc Ð¡c 1Phân, giªt chªt T£c Binh Ð¥u Møc Ð¡c 5Phân).	19	369	26	369	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
136	10	Lu§n võ ðÕi hµi TrÕng Nguyên	Võ ngh® siêu qu¥n, ngÕo th¸ thiên hÕ.	18	3	168	ÐÕi hµi thí võ	1	Lu§n võ ðÕi hµi l¤y ðßþc thÑ nh¤t Danh.	20	6	27	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
137	10	Lu§n võ ðÕi hµi bäng nhãn	Võ công trác tuy®t, thiên hÕ ð® nh¸.	18	2	168	ÐÕi hµi thí võ	1	Lu§n võ ðÕi hµi l¤y ðßþc ð® nh¸ Danh.	20	4	27	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
138	10	Lu§n võ ðÕi hµi Thám Hoa	Võ lâm cao thü, thiên hÕ ð® tam.	18	1	168	ÐÕi hµi thí võ	1	Lu§n võ ðÕi hµi l¤y ðßþc ð® tam Danh.	20	2	27	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
139	11	Khoa cØ TrÕng Nguyên	H÷c thÑc uyên bác, TÕi khoa cØ cuµc thi Trung Lñc Áp Qu¥n Nho!	5	3	168	Khoa cØ	0	Khoa cØ l¤y ðßþc thÑ nh¤t Danh.	20	6	27	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
140	11	Khoa cØ bäng nhãn	H÷c thÑc h½n ngß¶i, TÕi khoa cØ cuµc thi Trung nh§n ðßþc ð® nh¸!	5	2	168	Khoa cØ	0	Khoa cØ l¤y ðßþc ð® nh¸ Danh.	20	4	27	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
141	11	Khoa cØ Thám Hoa	H÷c thÑc h½n ngß¶i, TÕi khoa cØ cuµc thi Trung nh§n ðßþc ð® tam!	5	1	168	Khoa cØ	0	Khoa cØ l¤y ðßþc ð® tam Danh.	20	2	27	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
142	12	Thiªu Lâm hi®p sî	Thiªu Lâm S½ C¤p nam ð® tØ.	21	1	-1	Sß môn c¯ng hiªn	1	Thi¬u Lâm Nam ð® tØ cam ch¸u cho Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
143	12	Áo xám hµ pháp	Thiªu Lâm Trung C¤p nam ð® tØ.	21	2	-1	Sß môn c¯ng hiªn	1	Thi¬u Lâm Nam ð® tØ sß phø Môn c¯ng hiªn Ðµ ðÕt t¾i 1000cho Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
144	12	Kim Thân La Hán	Thiªu Lâm cao c¤p nam ð® tØ.	21	3	-1	Sß môn c¯ng hiªn	1	Thi¬u Lâm Nam ð® tØ sß phø Môn c¯ng hiªn Ðµ ðÕt t¾i 2500cho Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
145	12	Ð¸a TÕng B° Tát	Thiªu Lâm bí m§t nam ð® tØ.	21	4	-1	Sß môn c¯ng hiªn	1	Thi¬u Lâm Nam ð® tØ sß phø Môn c¯ng hiªn Ðµ ðÕt t¾i 5000cho Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
146	12	Thiªu Lâm hi®p næ	Thiªu Lâm S½ C¤p næ ð® tØ.	21	1	-1	Sß môn c¯ng hiªn	1	Thi¬u Lâm Næ Ð® TØ cam ch¸u cho Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
147	12	Áo tr¡ng b°i bàn	Thiªu Lâm Trung C¤p næ ð® tØ.	21	2	-1	Sß môn c¯ng hiªn	1	Thi¬u Lâm Næ Ð® TØ sß phø Môn c¯ng hiªn Ðµ ðÕt t¾i 1000cho Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
148	12	Ðµ Thª Quan Âm	Thiªu Lâm cao c¤p næ ð® tØ.	21	3	-1	Sß môn c¯ng hiªn	1	Thi¬u Lâm Næ Ð® TØ sß phø Môn c¯ng hiªn Ðµ ðÕt t¾i 2500cho Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
149	12	Già Lam B° Tát	Thiªu Lâm bí m§t næ ð® tØ.	21	4	-1	Sß môn c¯ng hiªn	1	Thi¬u Lâm Næ Ð® TØ sß phø Môn c¯ng hiªn Ðµ ðÕt t¾i 5000cho Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
150	12	Minh Giáo hi®p sî	Minh Giáo S½ C¤p nam ð® tØ.	21	1	-1	Sß môn c¯ng hiªn	1	Minh Giáo Nam ð® tØ cam ch¸u cho Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
151	12	Th¸ Hoä hi®p sî	Minh Giáo Trung C¤p nam ð® tØ.	21	2	-1	Sß môn c¯ng hiªn	1	Minh Giáo Nam ð® tØ sß phø Môn c¯ng hiªn Ðµ ðÕt t¾i 1000cho Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
152	12	Hµ giáo Thích Ca Mâu Ni	Minh Giáo cao c¤p nam ð® tØ.	21	3	-1	Sß môn c¯ng hiªn	1	Minh Giáo Nam ð® tØ sß phø Môn c¯ng hiªn Ðµ ðÕt t¾i 2500cho Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
153	12	Quang Minh Th¥n SÑ	Minh Giáo bí m§t nam ð® tØ.	21	4	-1	Sß môn c¯ng hiªn	1	Minh Giáo Nam ð® tØ sß phø Môn c¯ng hiªn Ðµ ðÕt t¾i 5000cho Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
