INT	STRING	FLOAT	FLOAT
79	Süng v§t: Thø ĞÕi Hùng	0.6	4.75
80	Süng v§t: G¤u mèo	0.8	7
81	T÷a kÜ: ĞÕi Løc Long	4	20
82	T÷a kÜ: Ngß¶i kh±ng l°	1.5	11
83	Süng v§t: Sung sß¾ng Trß	0.45	4
84	Süng v§t: Bäo Tß½ng Ğ°ng TØ	0.6	6
85	T÷a kÜ: Ngày sinh Kh±ng TØ trßşt tuyªt	0.65	11
86	T÷a kÜ: Phan Th¥n	1.2	11
87	Süng v§t: Ğß¶ng Trang ThØ	0.55	4.8
88	Süng v§t: Uyên ß½ng	0.35	4.75
89	Süng v§t: Cùng KÏ	1	8.5
90	Süng v§t: Ti¬u H° Tiên	0.61	5.2
91	ToÕ KÜ: Bích ThuÖ Kim Tinh Thú	2.2	18
92	Süng v§t: Thßşng C± Th¥n Viên	0.9	8.5
93	Süng v§t: Con tê tê	0.62	8.1
94	Trân Thú: Chim li«n cánh	1.2	8.2
95	Trân Thú: Tªt âm l¸ch Ngßu	0.55	4.5
96	T÷a kÜ: Ngày sinh Kh±ng TØ	2	18
97	Süng v§t: Ğang Hµ	1.9	9
98	T÷a kÜ: Tªt âm l¸ch Niên Thú	0.8	9
99	T÷a kÜ: Tình nhân Tiªt xe hoa 1	1.8	11
100	Trân Thú: Tªt âm l¸ch Ngßu 1	0.55	4.5
101	T÷a kÜ: BÕch Báo	0.7	8.5
102	T÷a kÜ: H¡c Báo	0.7	8.5
103	Thú CßŞi: Sß TØ	0.5	8
104	Thú CßŞi: BÕch Sß	0.5	8
105	Süng v§t: GoTØ	0.45	3.8
106	ToÕ KÜ: Cñ Viên	1.6	12
107	Trân Thú: Bäo Tß½ng thü v®	1.55	10
108	Süng v§t: Ğêm th¤t t¸ch uyên ß½ng	0.5	6
109	ToÕ KÜ: Vø Änh Ğiêu	3	13
110	ToÕ KÜ: Lßu Li Phøng	3.05	13
111	ToÕ KÜ: ThuÜ Liên HÕc	2.9	12.3
112	ToÕ KÜ: Nhß İ H±	0.7	9
113	ToÕ KÜ: Ngân Nguy®t Lang	0.8	9
114	ToÕ KÜ: Th¤t Thái Lµc	1.5	11.5
115	ToÕ KÜ: Long Huyªt Mã	1.5	12
116	ToÕ KÜ: Thanh Mao Ngßu	1.05	10.8
117	ToÕ KÜ: Li®t Di®m Sß	0.8	9
118	Süng v§t: Cáp ĞÕi Bá	1	8.5
119	Süng v§t: BÕch Ğª	1.3	8.5
120	Süng v§t: Tôn Mî Mî	1.3	9
121	Süng v§t: T¥n Hoàng Chi H°n	1.4	9
122	Süng v§t: Võ Huy«n Tß¾ng	1.5	10
123	Süng v§t: Ván c¶ thü lînh	1.5	9
124	T÷a kÜ: Cà phê cánh	2.4	7
125	Võ H°n Lßu Li Di®m 20090722	0.1	3.1
126	Võ H°n Lßu Li Di®m biªn d¸ 20090722	0.1	3.1
127	Võ H°n Lßu Li Di®m biªn d¸ 20090722-02	0.1	3.1
128	Võ H°n Lßu Li Di®m biªn d¸ 20090722-03	0.1	3.1
129	Võ H°n Lßu Li Di®m biªn d¸ 20090722-04	0.1	3.1
130	Võ H°n Ngñ Dao Bàn 20090722	0.1	2.7
131	Võ H°n Ngñ Dao Bàn biªn d¸ 20090722	0.1	2.7
132	Võ H°n Ngñ Dao Bàn biªn d¸ 20090722-02	0.1	2.7
133	Võ H°n Ngñ Dao Bàn biªn d¸ 20090722-03	0.1	2.7
134	Võ H°n Ngñ Dao Bàn biªn d¸ 20090722-04	0.1	2.7
135	T÷a kÜ: Tùng ThØ	1.3	10
136	Trân Thú: Thø Tinh cøc cßng	0.55	4.8
137	Trân Thú: Linh Th¯ Thú	1.55	5.3
138	T÷a kÜ: Con bß¾m cánh	2.4	7
139	Süng v§t: Chí tôn th¥n thú	0.75	9
140	Süng v§t: Hoä Tung ThØ	0.5	5
141	Süng v§t: Gà tây cøc cßng	0.8	5
142	Süng v§t: Con bß¾m 2	1.6	6.5
143	Süng v§t: Nhân hình Hoa	0.5	4.75
144	Süng v§t: Thu¥n Lµc	0.6	5
145	Süng v§t: Tªt âm l¸ch B¯ Lão H±	0.4	4.75
146	T÷a kÜ: Tªt âm l¸ch Lão H±	0.9	12
147	Süng v§t: Tình læ g¤u mèo	0.4	4.5
148	T÷a kÜ: Dß½ng	1	8
149	T÷a kÜ: BÕch Dß½ng	1.05	8
150	T÷a kÜ: Rõ ràng Dß½ng	1.05	10.8
151	ToÕ KÜ: Phi Long 	1.5	11
152	Süng v§t: BÕo Long	0.9	8.1
153	ToÕ KÜ: Hoä Di®m Ğiêu	1.3	10
154	ToÕ KÜ: Hùng Miêu	0.9	9
155	T÷a kÜ: Khüng Cø Ma Tranh	0.8	8
156	T÷a kÜ: Ğ° Luke	3	15
157	T÷a kÜ: Ám änh Ğ° Luke	3	15
158	T÷a kÜ: TØ Änh Ğ° Luke	3	15
159	Süng v§t: BÕch tuµc	0.7	4.75
160	Süng v§t: YYHùng	0.55	4.5
161	KÜ Th×a: Tiên Linh Lam	1.45	11.5
162	KÜ Th×a: Tiên Linh H°ng	1.45	11.5
163	T÷a kÜ: Ngày sinh Kh±ng TØ BÕch Hùng	1	7
164	Süng v§t: Ngû s¡c Th¥n Ngßu	0.65	7
165	ToÕ KÜ: H¡c Thiên Mã	1.3	10
166	ToÕ KÜ: Vân Tiêu Vû Dñc	2.6	11
167	Süng v§t: Thông Tı Th¥n Viên	0.7	7
168	Süng v§t: Manh Bäo Trß	0.4	3.3
169	Trân Thú: CØu Lê Yêu H±	1.35	10.5
170	Trân Thú: Th¤t Xäo Li Miêu	0.7	6
171	ToÕ KÜ: Mµng Linh Tiên Câu	1.2	11
172	ToÕ KÜ: Thiên Hà Linh Thß¾c	3.05	15
173	Võ H°n 20210221Ğµc 01	0.08	2.2
174	Võ H°n 20210221Ğµc 02	0.08	2.2
175	Võ H°n 20210221Ğµc 03	0.08	2.2
176	Võ H°n 20210222Lßu Li Di®m 01	0.08	2.2
177	Võ H°n 20210222Lßu Li Di®m 02	0.08	2.2
178	Võ H°n 20210222Lßu Li Di®m 03	0.08	2.2
179	Võ H°n 20210222Huy«n 01	0.08	2.2
180	Võ H°n 20210222Huy«n 02	0.08	2.2
181	Võ H°n 20210222Huy«n 03	0.08	2.2
182	Võ H°n 20210222Ngñ Dao Bàn 01	0.08	2.2
183	Võ H°n 20210222Ngñ Dao Bàn 02	0.08	2.2
184	Võ H°n 20210222Ngñ Dao Bàn 03	0.08	2.2
185	Võ H°n 20210226Bång 01	0.08	2.2
186	Võ H°n 20210226Bång 02	0.08	2.2
187	Võ H°n 20210226Bång 03	0.08	2.2
188	Võ H°n 20210226Hoä 01	0.08	2.2
189	Võ H°n 20210226Hoä 02	0.08	2.2
190	Võ H°n 20210226Hoä 03	0.08	2.2
191	KÜ Th×a 210309thiên hÕ Hµi Võ Mã	1.2	10
192	Võ H°n	0.08	3
193	KÜ Th×a: T¯ng Quân Mã	1.5	12
194	KÜ Th×a: Liêu Quân Mã	1.5	12
195	T÷a kÜ: Tßşng binh mã Mã	1.45	10
196	T÷a kÜ: T¥n Hoàng xe ngña	1.1	18
197	Süng v§t: Huy«n Kh¯c T¥n Hoàng	1.2	9.1
198	Süng v§t: Manh T¥n	0.5	4.75
199	T÷a kÜ: Ğêm th¤t t¸ch Thuy«n	1.1	18
200	T÷a kÜ: H°ng Hùng Vß½ng	1	8.1
201	Trân Thú: Hoä Di®m Yêu Ma	1.2	9.1
202	T÷a kÜ: ThuÏ Vân Dñc	2.4	11
203	T÷a kÜ: Ngày sinh Kh±ng TØ Thu¥n Lµc	1.5	9
204	Trân Thú: B¯n mùa S½n Quân	1.2	9.1
205	T÷a kÜ: Môn khách Dao	1.8	11
206	Süng v§t: Angel	1.2	4.75
207	T÷a kÜ: Linh Nguy®t 	1.8	9
208	Süng v§t: Nghê Hoàng	2	10
209	Süng v§t: Chu Tß¾c C¤p 1	3	9
210	Süng v§t: BÕch H± C¤p 1	0.5	5.5
211	Süng v§t: Con bß¾m C¤p 1	2	4.2
212	Süng v§t: Kim ô C¤p 1	1.8	5
213	Süng v§t: Thanh Long C¤p 1	1.3	8.2
214	Süng v§t: CØu Vî H° C¤p 1	0.8	6.3
215	Süng v§t: Tiên hÕc C¤p 1	1.6	5.1
216	Süng v§t: Huy«n Vû C¤p 1	0.9	7.2
217	Süng v§t: C¦m Lí C¤p 1	1.2	5.7
218	Süng v§t: Lµc Thøc C¤p 1	0.8	6
219	Süng v§t: Chu Tß¾c C¤p 2	3.4	10.1
220	Süng v§t: BÕch H± C¤p 2	0.6	6.8
221	Süng v§t: Con bß¾m C¤p 2	2.1	5.9
222	Süng v§t: Kim ô C¤p 2	2	6.8
223	Süng v§t: Thanh Long C¤p 2	1.6	8.2
224	Süng v§t: CØu Vî H° C¤p 2	1	8.7
225	Süng v§t: Tiên hÕc C¤p 2	1.7	6.2
226	Süng v§t: Huy«n Vû C¤p 2	1.1	7.8
227	Süng v§t: C¦m Lí C¤p 2	1.4	5.1
228	Süng v§t: Lµc Thøc C¤p 2	0.9	6.8
229	Süng v§t: Chu Tß¾c C¤p 3	4	10.1
230	Süng v§t: BÕch H± C¤p 3	1	8.5
231	Süng v§t: Con bß¾m C¤p 3	2.2	8.4
232	Süng v§t: Kim ô C¤p 3	2.2	7.9
233	Süng v§t: Thanh Long C¤p 3	1.8	10.1
234	Süng v§t: CØu Vî H° C¤p 3	1.2	8.3
235	Süng v§t: Tiên hÕc C¤p 3	1.8	6.8
236	Süng v§t: Huy«n Vû C¤p 3	1.4	10.1
237	Süng v§t: C¦m Lí C¤p 3	1.3	5.6
238	Süng v§t: Lµc Thøc C¤p 3	0.9	7
239	T÷a kÜ: NhÕn Môn tao nhã	2	11
240	Süng v§t: Ng÷c Th¯	0.6	4.3
241	Süng v§t: Thiên m®nh Huy«n Phßşng	1.75	10.5
242	KÜ Th×a: c mßşn h°n	1.3	13
243	Süng v§t: Hoá Lu§t Thß½ng Long	2	10
244	T÷a kÜ: Khoa Phøc tranh phách TrÕi C¤p 3 t÷a kÜ	2	20
245	Süng v§t: Li®t Th¯ Ği«m Tâm	1.2	10
246	Süng v§t: Thiên Mã	1.6	12.1
247	Süng v§t: Tr¤n Ğäo th¥n thú	1	10
248	Süng v§t: TVBTi¬u TV	0.8	6
249	T÷a kÜ: Phßşng C¥u Hoàng	2	11
250	Süng v§t: Loan Phøng Hoà Minh	1.5	7.5
251	T÷a kÜ: Xích Änh	1.6	12.1
252	Süng v§t: KÏ Lân	1.6	10
253	Süng v§t: Phúc Häi Long Quân	1.8	12
254	Süng v§t: Nai Con ô ô	1.2	10
255	Süng v§t: HÕt TØ	1.6	12
256	Süng v§t: Ngßu Ma Vß½ng	1.4	7
257	Süng v§t: Ğß¶ng Tång	1.4	7
258	Süng v§t: VIPXà	1.8	12
259	Süng v§t: Nguy®t th¥n	1.6	7
260	Süng v§t: Ng÷c lşi tÑc Ğ°ng	0.5	3
261	Trân Thú: Løc Nhî Mi H¥u	1.6	9.5
#TâN Tång
262	T÷a kÜ: U Linh Hùng	0.6	9
263	T÷a kÜ: Løc Hành HÕc	1.2	10
264	Cánh: Viêm Vû	2.4	7
265	KÜ Th×a: Ngày mùa hè Bång Long	3.3	18
267	T÷a kÜ: Báo	0.4	8.1
268	T÷a kÜ: BÕch Báo	0.5	8.1
269	T÷a kÜ: Ám änh Báo	0.7	11
274	T÷a kÜ: H¡c hoa h°ng	1.3	10
278	ToÕ KÜ: Nhung Tuyªt Th¥n Ngßu	0.95	9.5
279	ToÕ KÜ: Thß½ng Häi Long Câu	0.95	9
280	ToÕ KÜ: Bách Biªn Kim Cß½ng	1.2	10
282	T÷a kÜ: Ngày sinh Kh±ng TØ chim cánh cøt Xa	0.65	14.5
287	ToÕ KÜ: Nguy®t Mã Hß½ng Câu	1.5	18
296	T÷a kÜ: Tiên Quân	1.4	9
303	T÷a kÜ: QuÕ ğen	2.6	11
304	ToÕ KÜ: Ğoàn Dß½ng Dß½ng	0.8	8
308	T÷a kÜ: Hà Hoa	1.6	18
309	T÷a kÜ: Luy®n Ngøc Phøng Hoàng	3.2	13
310	ToÕ KÜ: Li®t Häi Ma Long	1	11
311	T÷a kÜ: Ph® H°n Hoa Yêu	2	12
312	T÷a kÜ: Tình nhân Tiªt di«u	2.8	13
319	ToÕ KÜ: Cß½ng Tung Thú	0.9	8
320	ToÕ KÜ: QuÖ Mã Long Châu	1.6	14
322	ToÕ KÜ: V÷ng Nguy®t Long Câu	2.2	17
323	ToÕ KÜ: ĞÕp Tuyªt Ô Truy	2.2	17
324	ToÕ KÜ: Ng÷c Lân Long	1.4	13
326	T÷a kÜ: Mµng äo Linh Câu	1.2	11
327	ToÕ KÜ: Vân C¯c C¦m Xa	1.7	13
334	T÷a kÜ: Lam Mã	1.4	11
336	ToÕ KÜ: TØ Ng÷c Linh Miêu	1.4	11
341	ToÕ KÜ: H°ng Vi Mµng 	2.4	9.5
342	Cánh: Linh Vu Tß¾c Vû	2.9	7
343	Cánh: Lßu Li Tß¾c Vû	2.9	8
347	ToÕ KÜ: Ğ¸a Hoä Li Viêm Thú	1.4	11
349	T÷a kÜ: Ği«m Tâm bánh pút-ğing	2.6	10
350	T÷a kÜ: QuÖ C¯c h° ly	1.1	9.5
378	ToÕ KÜ: Chiªn Thiên Lang	1	9.5
385	ToÕ KÜ: Tuyªt Lµc Khiªu	1.35	15.5
405	ToÕ KÜ: Phúc ThuÜ C¦m Long	1.3	13
410	ToÕ KÜ: KÏ Thü Long Quân	2	20
433	T÷a kÜ: Li®p ¿ng Thú 01	0.85	12
434	T÷a kÜ: Li®p ¿ng Thú 02	0.85	12
439	T÷a kÜ: Bång tuyªt	2.8	11
447	T÷a kÜ: KÜ Th×a 180116cánh	2.4	7
451	ToÕ KÜ: Trß¶ng Ca Hành	1.45	11.5
452	ToÕ KÜ: Sß½ng Linh Minh Vß½ng Tß¾c	2.9	11
454	T÷a kÜ: Lông chim	1.6	16
455	ToÕ KÜ: Th¯ TØ ánh trång	4.1	15.6
457	ToÕ KÜ: Ngñ Phong Hành	2	11.5
461	ToÕ KÜ: Thê Phøng Ca	4.1	12
463	ToÕ KÜ: Hà Thßşng Tiên	2.6	11.5
472	ToÕ KÜ: ThuÖ Khách Th×a Lí KhÑ	2.6	15.6
473	KÜ Th×a: Diên	3.9	13
474	T÷a kÜ: Ô DÕ H« Du Cß½ng	1.2	9
477	ToÕ KÜ: Man La Khiên	3.3	11.6
480	T÷a kÜ: T¸nh ğª liên	3.3	9
483	ToÕ KÜ: Kim An Ánh Tuyªt	1.3	8.2
