INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT
30	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
31	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
32	0	扫地	扫地	扫地	0	1300	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
33	0	打开	打开	打开	0	1300	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
34	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
35	0	打坐	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF打坐#r持续回复血和气#r持续时间：60分钟	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF打坐#r持续回复血和气#r持续时间：60分钟	0	0	-1	3600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	|生效一次的附加效果1	35	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
36	0	回城符	回城符	回城符	0	120000	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
37	0	落马箭	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：25点#r有效距离： 0-15米#r瞬间释放#r冷却时间：180秒#r单体远程攻击，将骑乘状态下的人打落下马并昏睡2秒。	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：25点#r有效距离： 0-15米#r瞬间释放#r冷却时间：180秒#r单体远程攻击，将骑乘状态下的人打落下马并昏睡2秒。	0	180000	-1	-1	消耗MP	4	25	-1	需目标有指定buff集合	2	66	-1	-1	-1	-1	-1	-1	0	0	|生效一次的附加效果1	154	|引导周期的附加效果1	-1	|生效一次的附加效果2	10480	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
38	0	收集签名	收集好友签名	收集好友签名	0	1000	-1	60000		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	10	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
39	0	打探消息	打探消息	打探消息	0	1000	60000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
40	0	引魔	引魔	引魔	0	600000	10000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
41	0	爱神之箭	爱神之箭	爱神之箭	0	1200	1000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
42	0	希望种子种植	希望种子种植	希望种子种植	0	1200	120000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
43	0	帮派宣战采矿	帮派宣战采矿	帮派宣战采矿	0	1200	15000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
44	0	祭旗	祭旗	祭旗	0	1200	60000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
45	0	月老葫芦	月老葫芦	月老葫芦	0	1000	30000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	10	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
46	0	点石成金	点石成金	点石成金	0	82800000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
47	0	许愿	许愿	许愿	0	1000	30000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
48	0	封魔	封魔	封魔	0	1000	60000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
49	0	使用潜能果	使用潜能果	使用潜能果	0	86400000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
50	0	豪杰聚义包	豪杰聚义包	豪杰聚义包	0	7200000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
51	0	求爱	收集好友签名	收集好友签名	0	1000	-1	40000		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
52	0	使用九转大还丹	使用九转大还丹	使用九转大还丹	0	86400000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
53	0	端午踏青忆屈原	端午踏青忆屈原	端午踏青忆屈原	0	1000	10000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
97	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0		0		0		0		0		0		0		0		0		0		0		0
101	0	标准吃药	标准吃药	标准吃药	0	10000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
102	0	标准吃食物	标准吃食物	标准吃食物	0	1300	-1	19000		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
103	0	标准引导吃药	标准发功吃药	标准发功吃药	0	10000	-1	16000		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
104	0	标准聚气乘骑	标准运气乘骑	标准运气乘骑	0	3000	3000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
105	0	标准使用配方	标准使用配方	标准使用配方	0	1300	5000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
106	0	标准喂养珍兽			0	0	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
107	0	标准使用物品	瞬发使用物品	瞬发使用物品	0	1300	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
108	0	标准聚气乘骑	标准运气乘骑	标准运气乘骑	0	3000	3000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
109	0	标准吃食物	标准吃食物	标准吃食物	0	1300	-1	22000		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
110	0	标准吃食物	标准吃食物	标准吃食物	0	1300	-1	25000		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
111	0	标准吃食物	标准吃食物	标准吃食物	0	1300	-1	28000		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
112	0	标准吃食物	标准吃食物	标准吃食物	0	1300	-1	31000		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
113	0	使用定位符	使用定位符	使用定位符	0	20000	2500	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
114	0	少林师门	打扫中	打扫中	0	20000	5000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	138	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
115	0	明教师门	取火中	取火中	0	20000	5000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	139	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
116	0	丐帮师门	打酒中	打酒中	0	20000	5000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	140	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
117	0	武当师门	采集中	采集中	0	20000	5000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	141	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
118	0	峨嵋师门	喂养中	喂养中	0	20000	5000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	142	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
119	0	星宿师门	喂养中	喂养中	0	20000	5000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	143	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
120	0	大理师门	试炼中	试炼中	0	20000	5000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	144	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
121	0	天山师门	灌水中	灌水中	0	20000	5000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	145	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
122	0	逍遥师门	读取中	读取中	0	20000	5000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	146	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
123	0	标准吃兰	标准吃兰	标准吃兰	0	10000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
124	0	标准吃师门药(瞬发)	标准吃师门药	标准吃师门药	0	10000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
125	0	聚气使用物品	聚气使用物品	聚气使用物品	0	120000	2000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
126	0	聚气使用物品	聚气使用物品	聚气使用物品	0	120000	20000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
127	0	施放烟花（抬手）	施放烟花（抬手）	施放烟花（抬手）	0	1200	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
128	0	使用无CD物品	使用无CD物品	使用无CD物品	0	0	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
129	0	扔雪球	扔雪球	扔雪球	0	1200	1000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
130	0	标准吃血(人民币瞬发)	标准吃血(人民币瞬发)	标准吃血(人民币瞬发)	0	10000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
131	0	标准吃兰(人民币瞬发)	标准吃兰(人民币瞬发)	标准吃兰(人民币瞬发)	0	10000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
132	0	对目标使用物品（瞬发）	对目标使用物品（瞬发）	对目标使用物品（瞬发）	0	0	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
133	0	对地点使用物品（瞬发）	对地点使用物品（瞬发）	对地点使用物品（瞬发）	0	0	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
134	0	对地点使用炸弹（瞬发）	对地点使用炸弹（瞬发）	对地点使用炸弹（瞬发）	0	0	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
135	0	使用小喇叭	使用小喇叭	使用小喇叭	0	0	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
136	0	使用珍兽技能书	使用珍兽技能书	使用珍兽技能书	0	0	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
137	0	对敌对目标使用物品(5分钟CD)（瞬发）	对敌对目标使用物品(5分钟CD)（瞬发）	对敌对目标使用物品(5分钟CD)（瞬发）	0	180000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
138	0	对所有目标使用物品(5分钟CD)（瞬发）	对所有目标使用物品(5分钟CD)（瞬发）	对所有目标使用物品(5分钟CD)（瞬发）	0	180000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
139	0	自己使用物品(5分钟CD)（瞬发）	自己使用物品(5分钟CD)（瞬发）	自己使用物品(5分钟CD)（瞬发）	0	180000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
140	0	默认对自己使用给周围玩家增益效果（60分钟CD）（瞬发）	默认对自己使用给周围玩家增益效果（60分钟CD）（瞬发）	默认对自己使用给周围玩家增益效果（60分钟CD）（瞬发）	77	1800000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
141	0	召唤武魂	召唤武魂	召唤武魂	11	1300	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	无	0		0		0		0		0		0		0		0		0		-1		0		0
142	0	石灰包	石灰包	对敌对目标使用物品(5分钟CD)（瞬发）	0	60000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
143	0	闪耀圣诞星	闪耀圣诞星	对圣诞大盗使用物品(5秒CD)(瞬发)	0	5000	-1	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
144	0	磨制年糕	磨制年糕	磨制年糕	0	0	15000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
145	0	鲜花幼苗施肥	鲜花幼苗施肥	鲜花幼苗施肥	0	10000	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	|生效一次的附加效果1	1435	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
146	0	使用鲜花的种子	种植鲜花的幼苗	种植鲜花的幼苗（15秒CD）(蓄力)	0	15000	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
147	0	扔香包	扔香包	扔香包	0	1200	2000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
148	0	祈年	祈年	祈年	0	1000	30000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0
