INT	STRING	INT	INT	FLOAT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	FLOAT
60	骑乘青牦牛	1	2372	0.6	1092	269	536	attach1	273	540	attach1	-1	1	0
61	骑乘烈焰狮	1	2373	0.6	1086	269	536	attach1	274	541	attach1	-1	1	0
62	咖啡翅膀	1	2376	0.7	541	266	533	attach1	266	533	attach1	-1	-1	0
63	骑乘松鼠	1	2399	0.6	1093	267	534	attach1	267	534	attach1	-1	1	0
64	骑乘蝴蝶翅膀	1	2419	0.7	1094	266	533	attach1	266	533	attach1	-1	-1	0
65	骑乘巴天虎	1	2492	0.7	1095	269	536	attach1	269	536	attach1	-1	1	0
66	骑乘羚羊	1	2508	0.6	1097	267	534	attach1	267	534	attach1	-1	1	0
67	骑乘雪羚羊	1	2509	0.6	1098	267	534	attach1	267	534	attach1	-1	1	0
68	骑乘幽光羚	1	2510	0.6	1099	269	536	attach1	273	540	attach1	-1	1	0
69	骑乘飞龙椅	2	2512	0.6	1096	272	539	attach1	272	539	attach2	-1	-1	0
70	骑乘火焰貂	1	2551	0.6	1123	267	534	attach1	267	534	attach1	-1	1	0
71	骑乘熊猫	1	2552	0.7	1124	269	536	attach1	269	536	attach1	-1	1	0
72	骑乘恐惧魔狰	1	2553	0.7	1125	269	536	attach1	269	536	attach1	-1	1	0
73	图鲁克	2	2554	0.7	1126	269	536	attach1	269	536	attach2	-1	-1	0
74	暗影图鲁克	2	2555	0.7	1127	269	536	attach1	269	536	attach2	-1	-1	0
75	紫影图鲁克	2	2556	0.7	1128	269	536	attach1	269	536	attach2	-1	-1	0
76	青麟白泽	1	5070	0.7	-1	269	536	attach1	269	536	attach2	-1	1	0
77	赤麟白泽	1	5071	0.7	-1	269	536	attach1	269	536	attach2	-1	1	0
78	憨宝熊	1	5069	0.7	-1	269	536	attach1	269	536	attach2	-1	1	0
79	黑天马	1	5073	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
80	云霄羽翼	1	5086	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
81	梦灵仙驹	1	4332	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
82	江南锁甲马	1	2727	0.6	-1	269	536	attach1	269	536	attach1	-1	1	0
83	大漠金戈马	1	2728	0.6	-1	269	536	attach1	269	536	attach1	-1	1	0
84	绝地	1	6993	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
85	兵马俑马	1	7033	0.7	-1	980	979	attach1	980	979	attach1	-1	1	0
86	秦始皇马车	1	7043	0.7	-1	272	539	attach1	272	539	attach1	-1	-1	0
87	七夕船	2	7060	0.7	-1	995	994	attach2	272	539	attach1	-1	-1	0
88	红熊	1	7113	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
89	星空天马	1	7142	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
90	飞豹	1	7158	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
91	垂云翼	1	7159	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
92	圣诞驯鹿	1	7170	0.7	-1	269	536	attach1	269	536	attach2	-1	1	0
93	清客摇	1	7207	0.7	-1	272	539	attach1	272	539	attach1	-1	1	0
94	不死鸟	1	7212	0.9	-1	1034	1035	attach1	1034	1035	attach1	-1	-1	0
95	翎月椅	1	7311	0.7	431	292	559	attach1	292	559	attach1	-1	-1	0
96	雁门风华	1	7465	0.7	-1	1106	1105	attach1	1106	1105	attach1	-1	-1	0
97	银汉浮梁	2	7481	0.7	-1	1117	1118	attach1	1117	1118	attach2	-1	-1	0
98	替模骑乘	2	7488	0.7	-1	269	536	attach1	269	536	attach1	-1	-1	0
99	鹄	1	7604	0.9	-1	1034	1035	attach1	294	561	attach1	-1	-1	0
100	白鹄	1	7605	0.9	-1	1034	1035	attach1	287	554	attach1	-1	-1	0
101	琉璃鹄	1	7606	0.9	-1	1034	1035	attach1	287	554	attach1	-1	-1	0
102	寄居蟹	2	7646	0.7	-1	272	539	attach1	272	539	attach2	-1	1	0
103	昆仑雪猿	1	7647	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
104	烈焰追风	1	7670	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
105	绝云焱龙	2	7672	0.7	1196	269	536	attach1	269	536	attach2	-1	-1	0
106	绝云焱龙附件	2	7672	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
107	青翼战龙	2	7673	0.7	1195	269	536	attach1	269	536	attach2	-1	-1	0
108	青翼战龙附件	2	7673	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
109	霸世羽龙	2	7671	0.7	1194	269	536	attach1	269	536	attach2	-1	-1	0
110	霸世羽龙附件	2	7671	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
111	圣诞靴子	1	7674	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
112	艾虎	1	7691	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
113	跑商车	1	7699	0.7	-1	292	559	attach1	292	559	attach1	-1	-1	0
114	情人节翅膀	1	7719	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
115	白虎翅膀	1	7725	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
116	玉蝶乘绡	1	7817	0.7	431	292	559	attach1	292	559	attach1	-1	-1	0
117	流霜灵驹	1	7915	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
118	牡丹车	1	7913	0.7	1127	272	539	attach1	272	539	attach1	-1	-1	0
119	凤求凰凤	1	8489	0.5	1215	1232	1233	attach1	1232	1233	attach1	-1	-1	0
120	凤求凰凰	1	8490	0.5	1215	1232	1233	attach1	1232	1233	attach1	-1	-1	0
121	赤影	1	8514	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
122	蝶羽粉	1	8515	0.7	-1	266	533	attach1	266	533	attach1	-1	1	0
123	周年庆马	1	8601	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
124	幽夜	2	7160	0.7	-1	269	536	attach2	269	536	attach1	-1	-1	0
125	圣诞驯鹿	1	8663	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
126	情人节黑红翅膀	1	8682	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
127	情人节红白翅膀	1	8683	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
128	海洋车	1	8850	0.7	-1	272	539	attach1	272	539	attach1	-1	-1	0
129	飞凰羽翼	1	8880	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
130	黑金铠甲虎	1	8892	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
131	苍山寒梦	1	8932	0.7	-1	1331	1332	attach1	1331	1332	attach1	-1	-1	0
132	骆驼	1	8933	0.6	-1	267	534	attach1	267	534	attach1	-1	1	0
133	七彩祥云	1	9047	0.7	-1	1357	1357	attach1	1357	1357	attach1	-1	-1	4
134	筋斗云	1	9054	0.7	-1	1357	1357	attach1	1357	1357	attach1	-1	-1	4
172	天河灵鹊	1	3363	0.5	1215	272	539	attach1	281	548	attach1	-1	-1	0
173	羊驼	1	7908	0.7	1127	267	534	attach1	267	534	attach1	-1	1	0
174	黄金马红	1	8895	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
175	黄金马金	1	8896	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
176	黄金马蓝	1	8897	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
177	黄金马紫	1	8898	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
178	黑白马	1	8907	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
179	采灵机关鸟	6	8920	0.7	-1	1428	1428	attach1	1428	1428	attach1	-1	1	0
180	玉团团	1	9058	0.7	-1	272	539	attach1	272	539	attach1	-1	1	0
181	北冥玄龙	2	2778	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
182	北冥玄龙附件	2	2778	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
183	千峰应龙	2	2779	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
184	千峰应龙附件	2	2779	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
185	扶摇苍龙	2	2780	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
186	扶摇苍龙附件	2	2780	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
187	猞猁初级	1	4771	0.5	-1	267	534	attach1	267	534	attach1	-1	1	0
188	猞猁中级	1	4772	0.5	-1	267	534	attach1	267	534	attach1	-1	1	0
189	猞猁高级	1	4773	0.5	-1	267	534	attach1	267	534	attach1	-1	1	0
190	墨玉麒麟	1	9158	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
191	阿拉斯基	1	2819	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
192	啸月天狼	1	2835	0.7	-1	1456	1456	attach1	1456	1456	attach1	-1	1	0
193	朔影天狼	1	2836	0.7	-1	1456	1456	attach1	1456	1456	attach1	-1	1	0
194	伊丽莎白猫	1	9438	0.7	-1	1485	1484	attach1	1485	1484	attach1	-1	1	0
195	星云龙	1	9514	0.7	-1	267	534	attach1	267	534	attach1	-1	-1	0
196	星云龙02	1	9515	0.7	-1	267	534	attach1	267	534	attach1	-1	-1	0
197	星云龙03	1	9516	0.7	-1	267	534	attach1	267	534	attach1	-1	-1	0
198	星云龙05	1	9517	0.7	-1	267	534	attach1	267	534	attach1	-1	-1	0
199	荆棘龙	1	9513	0.7	-1	267	534	attach1	267	534	attach1	-1	-1	0
200	盛夏好梦	1	9599	0.7	431	292	559	attach1	292	559	attach1	-1	-1	0
201	龙骧	1	2920	0.7	-1	980	979	attach1	980	979	attach1	-1	1	0
203	黑金飞剑	1	2933	0.7	-1	1561	1561	attach1	1561	1561	attach1	-1	-1	4
204	黑金飞剑01	1	2934	0.7	-1	1561	1561	attach1	1561	1561	attach1	-1	-1	4
205	归墟神龙	2	2936	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
206	归墟神龙附件	2	2936	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
207	玉霄云龙	2	2937	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
208	玉霄云龙附件	2	2937	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
209	绘影墨龙	2	2938	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
210	绘影墨龙附件	2	2938	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
211	精卫鸟	1	9753	0.9	-1	267	534	attach1	267	534	attach1	-1	-1	3
														
														
														
1000	布尔善	1	530	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1001	大铁网	1	40	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1002	闪电豹	1	1710	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1003	山蛛	1	1761	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1004	大黄蜂	1	1725	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1005	高山白猿	1	1827	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1006	剪径小贼	1	288	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1007	芦苇草人	1	1714	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1008	大脸	1	16	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1009	浮桥	1	619	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1010	舞空	1	538	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1011	修罗小鬼	1	565	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1012	蜀道白猿	1	1811	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1013	鬼面侏儒	1	1721	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1014	榆木傀儡	1	1778	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1015	蜀道黑猿	1	1812	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1016	白茅草人	1	1712	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1017	李重贵	1	232	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1018	沙坡狼	1	1734	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1019	残破兵佣	1	8	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1020	沙漠马匪	1	1826	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1021	榆木傀儡	1	1778	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1022	荒原豹	1	1707	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1023	恶猿	1	1812	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1024	混江龙	1	1832	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1025	出洞蛟	1	1833	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1026	翻江海蜃	1	1833	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1027	门墩	1	544	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1028	铜轨	1	612	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1029	白额虎	1	1703	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1030	遗弃铜人	1	1817	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1031	卢崖铜人	1	1751	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1032	遗弃木人	1	1816	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1033	颍水狼	1	1738	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1034	花港毒蜂	1	1728	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1035	水鬼探子	1	1781	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1036	断桥花妖	1	1715	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1037	白堤柳鬼	1	1701	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1038	归风庄庄客	1	1770	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1039	龙井水贼	1	1830	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1040	恶狼守卫	1	550	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1041	花斑豹	1	1706	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1042	赤脚野人	1	1813	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1043	狼族探子	1	1740	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1044	风狼	1	1733	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1045	狼族荆棘使	1	1787	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1046	狼族战士	1	1743	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1047	秦伯起	1	176	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1048	深水怪兽	1	1820	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1049	西北狼	1	1735	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1050	金钱豹	1	1708	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1051	灰熊	1	1786	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1052	秦家寨探子	1	1798	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1053	秦家寨喽啰	1	1796	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1054	秦家寨亲兵	1	1794	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1055	骆奉仙	1	204	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1056	常归云	1	289	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1057	通天	1	539	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1058	归风剑魄	1	570	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1059	龙泉豹	1	1709	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1060	拦路水鬼	1	1774	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1061	纵火水鬼	1	1804	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1062	凿船水鬼	1	1749	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1063	归风庄剑师	1	1769	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1064	水鬼刺客	1	1780	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1065	玄击金刚	1	673	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1066	贝尔	1	551	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1067	迪亚	1	551	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1068	莫菲	1	551	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1069	长毛雪怪	1	558	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1070	蓑衣野人	1	1808	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1071	雪狼	1	1736	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1072	狼族勇士	1	1742	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1073	狼族神汉	1	1739	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1074	狼族土司	1	1741	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1075	狼族头人	1	1740	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1076	八爪怪兽	1	1801	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1077	红铁爪	1	61	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1078	红寡妇	1	40	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1079	小胖	1	820	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1080	打草谷辽兵	1	1772	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1081	红枫蜘蛛	1	1801	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1082	红枫熊	1	1800	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1083	秦家寨劫匪	1	1795	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1084	秦家寨护卫	1	1797	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1085	秦家寨教头	1	1799	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1086	千年冰魄	1	672	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1087	山越游魂	1	1721	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1088	含笑	1	533	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1089	深谷白猿	1	1785	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1090	白花蜘蛛	1	1790	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1091	山越战士	1	1763	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1092	山越盗匪	1	1765	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1093	树甲哨兵	1	1702	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1094	山越刀客	1	1762	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1095	阿支	1	537	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1096	花岗狮王	1	1806	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1097	棕熊	1	1777	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1098	狼蛛	1	1788	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1099	花岗石狮	1	1806	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1100	花岗石人	1	1805	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1101	页岩石人	1	1753	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1102	石人偃师	1	1791	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1103	白冥启	1	667	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1104	端木元	1	178	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1105	草原狼	1	1732	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1106	蒙古黑蜂	1	1729	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1107	闪电马匪	1	1821	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1108	追风马匪	1	1815	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1109	弯刀马匪	1	1768	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1110	打草谷宋兵	1	1771	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1111	红袍蜘蛛	1	1803	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1112	丛林野人	1	1745	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1113	山越祭司	1	1766	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1114	棚民	1	1724	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1115	山越护法	1	1764	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1116	流寇	1	1784	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1117	热布巴拉	1	567	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1118	剧毒狼蛛	1	1779	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1119	云母石人	1	1746	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1120	龙血石人	1	1831	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1121	女娲石人	1	1759	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1122	偃师护法	1	1748	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1123	大偃师	1	1755	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1124	河妖	1	643	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1125	阿史那默谷	1	171	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1126	莽盖龙胜	1	157	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1127	莽盖萧允	1	161	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1128	莽盖李通	1	164	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1129	白狼王	1	1731	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1130	大黑蜂	1	1729	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1131	黑衣马匪	1	1829	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1132	红衣马匪	1	1802	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
1133	一品堂刺客	1	1784	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
