INT	INT	STRING
2267	55	Ğêm th¤t t¸ch uyên ß½ng
2268	65	Ğêm th¤t t¸ch uyên ß½ng
2269	75	Ğêm th¤t t¸ch uyên ß½ng
2270	85	Ğêm th¤t t¸ch uyên ß½ng
2271	95	Ğêm th¤t t¸ch uyên ß½ng
2272	5	Phª Sài
2273	45	Phª Sài
2274	55	Phª Sài
2275	65	Phª Sài
2276	75	Phª Sài
2277	85	Phª Sài
2278	95	Phª Sài
2279	5	Linh Th¯ Thú
2280	45	Linh Th¯ Thú
2281	55	Linh Th¯ Thú
2282	65	Linh Th¯ Thú
2283	75	Linh Th¯ Thú
2284	85	Linh Th¯ Thú
2285	95	Linh Th¯ Thú
2286	5	Chí tôn th¥n thú
2287	45	Chí tôn th¥n thú
2288	55	Chí tôn th¥n thú
2289	65	Chí tôn th¥n thú
2290	75	Chí tôn th¥n thú
2291	85	Chí tôn th¥n thú
2292	95	Chí tôn th¥n thú
2293	5	Ca Ca Sß
2294	5	Hß½ng v¸ ng÷t ngào gà tây
2295	45	Th¯ Tiêu gà tây
2296	55	Phiên gia gà tây
2297	65	Lam Môi gà tây
2298	75	Töi giã gà tây
2299	85	Ca ? gà tây
2300	95	B½ gà tây
2301	5	SØu Ti¬u Áp
2302	55	SØu Ti¬u Áp
2303	85	SØu Ti¬u Áp
2304	5	Hoa Tiên TØ
2305	45	Hoa Tiên TØ
2306	55	Hoa Tiên TØ
2307	65	Hoa Tiên TØ
2308	75	Hoa Tiên TØ
2309	85	Hoa Tiên TØ
2310	95	Hoa Tiên TØ
2311	5	Thu¥n Lµc
2312	45	Thu¥n Lµc
2313	55	Thu¥n Lµc
2314	65	Thu¥n Lµc
2315	75	Thu¥n Lµc
2316	85	Thu¥n Lµc
2317	95	Thu¥n Lµc
2318	5	Hiªm quı H±
2319	45	Hiªm quı H±
2320	55	Hiªm quı H±
2321	65	Hiªm quı H±
2322	75	Hiªm quı H±
2323	85	Hiªm quı H±
2324	95	Hiªm quı H±
2325	5	B¯ Lão H±
2326	45	B¯ Lão H±
2327	55	B¯ Lão H±
2328	65	B¯ Lão H±
2329	75	B¯ Lão H±
2330	85	B¯ Lão H±
2331	95	B¯ Lão H±
2333	5	„u Xï Long
2334	45	„u Xï Long
2335	55	„u Xï Long
2336	65	„u Xï Long
2337	75	„u Xï Long
2338	85	„u Xï Long
2339	95	„u Xï Long
2340	5	G¤u mèo Song Hi®p
2341	45	G¤u mèo Song Hi®p
2342	55	G¤u mèo Song Hi®p
2343	65	G¤u mèo Song Hi®p
2344	75	G¤u mèo Song Hi®p
2345	85	G¤u mèo Song Hi®p
2346	95	G¤u mèo Song Hi®p
2347	5	Chiêu Sài Miêu
2349	5	BÕch tuµc
2350	5	Siêu c¤p chim cánh cøt
2374	65	Ngû s¡c Th¥n Ngßu
2375	75	Ngû s¡c Th¥n Ngßu
2376	85	Ngû s¡c Th¥n Ngßu
2377	95	Ngû s¡c Th¥n Ngßu
2391	5	Th¤t Xäo Li Miêu
2392	45	Th¤t Xäo Li Miêu
2393	55	Th¤t Xäo Li Miêu
2394	65	Th¤t Xäo Li Miêu
2395	75	Th¤t Xäo Li Miêu
2396	85	Th¤t Xäo Li Miêu
2397	95	Th¤t Xäo Li Miêu
2398	5	Hoa nhö Yêu
2399	45	Hoa nhö Yêu
2400	55	Hoa nhö Yêu
2401	65	Hoa nhö Yêu
2402	75	Hoa nhö Yêu
2403	85	Hoa nhö Yêu
2404	95	Hoa nhö Yêu
2441	5	YYHùng
2442	5	Ng½ ngác Ngßu
2443	5	Hoa Tiên TØ
2444	45	Ti¬u TV
2458	5	Tung ThØ
2459	5	Hi®p Lµ Phùng
2460	45	Hi®p Lµ Phùng
2461	55	Hi®p Lµ Phùng
2462	65	Hi®p Lµ Phùng
2463	75	Hi®p Lµ Phùng
2464	85	Hi®p Lµ Phùng
2465	95	Hi®p Lµ Phùng
2466	95	Hi®p Lµ Phùng·CØu U
2467	5	Angel
2468	45	Angel
2469	55	Angel
2470	65	Angel
2471	75	Angel
2472	85	Angel
2473	95	Angel
2474	95	Angel·phát sáng
2475	5	Xäo Xäo
2476	45	Xäo Xäo
2477	55	Xäo Xäo
2478	65	Xäo Xäo
2479	75	Xäo Xäo
2480	85	Xäo Xäo
2481	95	Xäo Xäo
2482	95	Xäo Xäo·C¦m Hà
2483	5	Thiên m®nh Huy«n Phßşng
2484	45	Thiên m®nh Huy«n Phßşng
2485	55	Thiên m®nh Huy«n Phßşng
2486	65	Thiên m®nh Huy«n Phßşng
2487	75	Thiên m®nh Huy«n Phßşng
2488	85	Thiên m®nh Huy«n Phßşng
2489	95	Thiên m®nh Huy«n Phßşng
2490	5	Tù Ngßu
2491	45	Tù Ngßu
2492	55	Tù Ngßu
2493	65	Tù Ngßu
2494	75	Tù Ngßu
2495	85	Tù Ngßu
2496	95	Tù Ngßu
2500	85	Hoan Hoá Bång Yêu
2501	85	Hoan Hoá Tôn Mî Mî
2502	85	Hoan Hoá ThuÖ Phï Ğ¥u Lãnh
2503	85	Hoan Hoá ThuÖ Phï Ğ¥u Lãnh
2504	85	Hoan Hoá Bång Yêu
2505	85	Hoan Hoá Tôn Mî Mî
2506	85	Hoan Hoá Tôn Mî Mî
2507	85	Hoan Hoá Bång Yêu
2508	85	Hoan Hoá ThuÖ Phï Ğ¥u Lãnh
2509	85	Hoan Hoá Tôn Mî Mî
2510	85	Hoan Hoá Bång Yêu
2511	85	Hoan Hoá ThuÖ Phï Ğ¥u Lãnh
2512	85	Hoan Hoá Tôn Mî Mî
2513	85	Hoan Hoá Tôn Mî Mî
2514	85	Hoan Hoá ThuÖ Phï Ğ¥u Lãnh
2515	85	Hoan Hoá Bång Yêu
2516	85	Hoan Hoá Tôn Mî Mî
2517	85	Hoan Hoá Bång Yêu
2518	85	Hoan Hoá Bång Yêu
2519	85	Hoan Hoá Tôn Mî Mî
2520	85	Hoan Hoá Bång Yêu
2521	85	Hoan Hoá Tôn Mî Mî
2522	85	Hoan Hoá Tôn Mî Mî
2523	85	Hoan Hoá Tôn Mî Mî
2524	85	Hoan Hoá Bång Yêu
2525	85	Hoan Hoá Tôn Mî Mî
2526	85	Hoan Hoá Bång Yêu
2527	85	Hoan Hoá Bång Yêu
2528	85	Hoan Hoá Tôn Mî Mî
2529	85	Hoan Hoá ThuÖ Phï Ğ¥u Lãnh
2530	85	Hoan Hoá Bång Yêu
2531	85	Hoan Hoá Tôn Mî Mî
2532	85	Hoan Hoá ThuÖ Phï Ğ¥u Lãnh
2533	85	Hoan Hoá Bång Yêu
2534	85	Hoan Hoá Bång Yêu
2535	95	Hoan Hoá T¥n Vß½ng
2536	95	Hoan Hoá Vi­n C± KÏ H°n
2537	95	Hoan Hoá Vi­n C± KÏ H°n
2538	95	Hoan Hoá T¥n Vß½ng
2539	95	Hoan Hoá T¥n Vß½ng
2540	95	Hoan Hoá Vi­n C± KÏ H°n
2541	95	Hoan Hoá Cáp ĞÕi Bá
2542	95	Hoan Hoá T¥n Vß½ng
2543	95	Hoan Hoá Vi­n C± KÏ H°n
2544	95	Hoan Hoá Cáp ĞÕi Bá
2545	95	Hoan Hoá T¥n Vß½ng
2546	95	Hoan Hoá Cáp ĞÕi Bá
2547	95	Hoan Hoá Cáp ĞÕi Bá
2548	95	Hoan Hoá Vi­n C± KÏ H°n
2549	95	Hoan Hoá T¥n Vß½ng
2550	95	Hoan Hoá Vi­n C± KÏ H°n
2551	95	Hoan Hoá Vi­n C± KÏ H°n
2552	95	Hoan Hoá T¥n Vß½ng
2553	95	Hoan Hoá T¥n Vß½ng
2554	95	Hoan Hoá T¥n Vß½ng
2555	95	Hoan Hoá Vi­n C± KÏ H°n
2556	95	Hoan Hoá T¥n Vß½ng
2557	95	Hoan Hoá Vi­n C± KÏ H°n
2558	95	Hoan Hoá Vi­n C± KÏ H°n
2559	95	Hoan Hoá T¥n Vß½ng
2560	95	Hoan Hoá Cáp ĞÕi Bá
2561	95	Hoan Hoá Vi­n C± KÏ H°n
2562	95	Hoan Hoá T¥n Vß½ng
2563	95	Hoan Hoá Cáp ĞÕi Bá
2564	95	Hoan Hoá Vi­n C± KÏ H°n
2565	95	Hoan Hoá Vi­n C± KÏ H°n
2566	85	Hoan Hoá Tôn Mî Mî
2567	95	Hoan Hoá T¥n Vß½ng
2568	85	Hoan Hoá Bång Yêu
2569	95	Hoan Hoá Vi­n C± KÏ H°n
2570	85	Hoan Hoá Tôn Mî Mî
2571	95	Hoan Hoá T¥n Vß½ng
2572	85	Hoan Hoá Bång Yêu
2573	95	Hoan Hoá Vi­n C± KÏ H°n
2574	85	Hoan Hoá Bång Yêu
2575	95	Hoan Hoá Vi­n C± KÏ H°n
2577	85	Hoan Hoá ThuÖ Phï Ğ¥u Lãnh
2578	95	Hoan Hoá Cáp ĞÕi Bá
2579	85	Hoan Hoá Tôn Mî Mî
2580	95	Hoan Hoá T¥n Vß½ng
2581	85	Hoan Hoá Tôn Mî Mî
2582	95	Hoan Hoá T¥n Vß½ng
2583	85	Hoan Hoá ThuÖ Phï Ğ¥u Lãnh
2584	95	Hoan Hoá Cáp ĞÕi Bá
2585	5	Kim Ğ°ng Ng÷c Næ
2586	45	Kim Ğ°ng Ng÷c Næ
2587	55	Kim Ğ°ng Ng÷c Næ
2588	65	Kim Ğ°ng Ng÷c Næ
2589	75	Kim Ğ°ng Ng÷c Næ
2590	85	Kim Ğ°ng Ng÷c Næ
2591	95	Kim Ğ°ng Ng÷c Næ
2592	5	H¡c S½n bà ngoÕi
2593	45	H¡c S½n bà ngoÕi
2594	55	H¡c S½n bà ngoÕi
2595	65	H¡c S½n bà ngoÕi
2596	75	H¡c S½n bà ngoÕi
2597	85	H¡c S½n bà ngoÕi
2598	95	H¡c S½n bà ngoÕi
2599	95	H¡c S½n bà ngoÕi·Phó bång tuyªt
2600	65	H¡c S½n bà ngoÕi·Phó bång tuyªt
2601	75	H¡c S½n bà ngoÕi·Phó bång tuyªt
2602	85	H¡c S½n bà ngoÕi·Phó bång tuyªt
2603	5	Løc Nhî Mi H¥u
2604	45	Løc Nhî Mi H¥u
2605	55	Løc Nhî Mi H¥u
2606	65	Løc Nhî Mi H¥u
2607	75	Løc Nhî Mi H¥u
2608	85	Løc Nhî Mi H¥u
2609	95	Løc Nhî Mi H¥u
2735	5	CØu Lê Yêu H±
2736	45	CØu Lê Yêu H±
2737	55	CØu Lê Yêu H±
2738	65	CØu Lê Yêu H±
2739	75	CØu Lê Yêu H±
2740	85	CØu Lê Yêu H±
2741	95	CØu Lê Yêu H±
2742	5	Li®t Th¯ Ği«m Tâm
2743	45	Li®t Th¯ Ği«m Tâm
2744	55	Li®t Th¯ Ği«m Tâm
2745	65	Li®t Th¯ Ği«m Tâm
2746	75	Li®t Th¯ Ği«m Tâm
2747	85	Li®t Th¯ Ği«m Tâm
2748	95	Li®t Th¯ Ği«m Tâm
2749	5	Th¤t Thái Huy Tu¤n
2750	45	Th¤t Thái Huy Tu¤n
2751	55	Th¤t Thái Huy Tu¤n
2752	65	Th¤t Thái Huy Tu¤n
2753	75	Th¤t Thái Huy Tu¤n
2754	85	Th¤t Thái Huy Tu¤n
2755	95	Th¤t Thái Huy Tu¤n
2756	95	Th¤t Thái Huy Tu¤n·Toàn Tinh
2757	5	Tr¤n Ğäo th¥n thú
2758	45	Tr¤n Ğäo th¥n thú
2759	55	Tr¤n Ğäo th¥n thú
2760	65	Tr¤n Ğäo th¥n thú
2761	75	Tr¤n Ğäo th¥n thú
2762	85	Tr¤n Ğäo th¥n thú
2763	95	Tr¤n Ğäo th¥n thú
2764	5	Loan Phøng Hoà Minh
2765	45	Loan Phøng Hoà Minh
2766	55	Loan Phøng Hoà Minh
2767	65	Loan Phøng Hoà Minh
2768	75	Loan Phøng Hoà Minh
2769	85	Loan Phøng Hoà Minh
2770	95	Loan Phøng Hoà Minh
2771	95	Loan Phøng Hoà Minh·thông minh s¡c xäo
2772	65	Loan Phøng Hoà Minh·thông minh s¡c xäo
2773	75	Loan Phøng Hoà Minh·thông minh s¡c xäo
2774	85	Loan Phøng Hoà Minh·thông minh s¡c xäo
2775	5	Nai Con ô ô
2776	45	Nai Con ô ô
2777	55	Nai Con ô ô
2778	65	Nai Con ô ô
2779	75	Nai Con ô ô
2780	85	Nai Con ô ô
2781	95	Nai Con ô ô
2782	5	C½n l¯c Thánh Thú
2783	45	C½n l¯c Thánh Thú
2784	55	C½n l¯c Thánh Thú
2785	65	C½n l¯c Thánh Thú
2786	75	C½n l¯c Thánh Thú
2787	85	C½n l¯c Thánh Thú
2788	95	C½n l¯c Thánh Thú
2789	95	C½n l¯c Thánh Thú·Lßu Thái
2790	65	C½n l¯c Thánh Thú·Lßu Thái
2791	75	C½n l¯c Thánh Thú·Lßu Thái
2792	85	C½n l¯c Thánh Thú·Lßu Thái
2793	5	Linh Vu nguy®t th¥n
2794	45	Linh Vu nguy®t th¥n
2795	55	Linh Vu nguy®t th¥n
2796	65	Linh Vu nguy®t th¥n
2797	75	Linh Vu nguy®t th¥n
2798	85	Linh Vu nguy®t th¥n
2799	95	Linh Vu nguy®t th¥n
2801	95	Linh Vu nguy®t th¥n·m¾i g£p
2802	65	Linh Vu nguy®t th¥n·m¾i g£p
2803	75	Linh Vu nguy®t th¥n·m¾i g£p
2804	85	Linh Vu nguy®t th¥n·m¾i g£p
2997	5	Thông Tı Viên H¥u
2998	45	Thông Tı Viên H¥u
2999	55	Thông Tı Viên H¥u
3000	65	Thông Tı Viên H¥u
3001	75	Thông Tı Viên H¥u
3002	85	Thông Tı Viên H¥u
3003	95	Thông Tı Viên H¥u
3004	5	Chiêu ThuÜ KÏ Lân
3005	45	Chiêu ThuÜ KÏ Lân
3006	55	Chiêu ThuÜ KÏ Lân
3007	65	Chiêu ThuÜ KÏ Lân
3008	75	Chiêu ThuÜ KÏ Lân
3009	85	Chiêu ThuÜ KÏ Lân
3010	95	Chiêu ThuÜ KÏ Lân
3011	5	Phúc Häi Long Quân
3012	45	Phúc Häi Long Quân
3013	55	Phúc Häi Long Quân
3014	65	Phúc Häi Long Quân
3015	75	Phúc Häi Long Quân
3016	85	Phúc Häi Long Quân
3017	95	Phúc Häi Long Quân
3018	5	Bình Thiên ĞÕi Thánh
3019	45	Bình Thiên ĞÕi Thánh
3020	55	Bình Thiên ĞÕi Thánh
3021	65	Bình Thiên ĞÕi Thánh
3022	75	Bình Thiên ĞÕi Thánh
3023	85	Bình Thiên ĞÕi Thánh
3024	95	Bình Thiên ĞÕi Thánh
3025	95	Bình Thiên ĞÕi Thánh·Ğãng phong vân
3026	65	Bình Thiên ĞÕi Thánh·Ğãng phong vân
3027	75	Bình Thiên ĞÕi Thánh·Ğãng phong vân
3028	85	Bình Thiên ĞÕi Thánh·Ğãng phong vân
3057	5	Manh Bäo Trß
3058	45	Manh Bäo Trß
3059	55	Manh Bäo Trß
3060	65	Manh Bäo Trß
3061	75	Manh Bäo Trß
3062	85	Manh Bäo Trß
3063	95	Manh Bäo Trß
3087	5	T¥n Ti¬u Ngçu
3088	45	T¥n Ti¬u Ngçu
3089	55	T¥n Ti¬u Ngçu
3090	65	T¥n Ti¬u Ngçu
3091	75	T¥n Ti¬u Ngçu
3092	85	T¥n Ti¬u Ngçu
3093	95	T¥n Ti¬u Ngçu
3094	5	Thiên Phong Chiªn HÕt
3095	45	Thiên Phong Chiªn HÕt
3096	55	Thiên Phong Chiªn HÕt
3097	65	Thiên Phong Chiªn HÕt
3098	75	Thiên Phong Chiªn HÕt
3099	85	Thiên Phong Chiªn HÕt
3100	95	Thiên Phong Chiªn HÕt
3101	65	Thiên Phong Vß½ng HÕt
3102	75	Thiên Phong Vß½ng HÕt
3103	85	Thiên Phong Vß½ng HÕt
3104	95	Thiên Phong Vß½ng HÕt
3107	5	Muôn ğ¶i H°n
3108	45	Muôn ğ¶i H°n
3109	55	Muôn ğ¶i H°n
3110	65	Muôn ğ¶i H°n
3111	75	Muôn ğ¶i H°n
3112	85	Muôn ğ¶i H°n
3113	95	Muôn ğ¶i H°n
3114	5	Höa Di®m Yêu Ma
3115	45	Höa Di®m Yêu Ma
3116	55	Höa Di®m Yêu Ma
3117	65	Höa Di®m Yêu Ma
3118	75	Höa Di®m Yêu Ma
3119	85	Höa Di®m Yêu Ma
3120	95	Höa Di®m Yêu Ma
3121	5	B¯n mùa S½n Quân
3122	45	B¯n mùa S½n Quân
3123	55	B¯n mùa S½n Quân
3124	65	B¯n mùa S½n Quân
3125	75	B¯n mùa S½n Quân
3126	85	B¯n mùa S½n Quân
3127	95	B¯n mùa S½n Quân
3128	5	Nghê Hoàng
3129	45	Nghê Hoàng
3130	55	Nghê Hoàng
3131	65	Nghê Hoàng
3132	75	Nghê Hoàng
3133	85	Nghê Hoàng
3134	95	Nghê Hoàng
3140	85	Hoan Hoá Bång Yêu
3141	85	Hoan Hoá Tôn Mî Mî
3142	85	Hoan Hoá ThuÖ Phï Ğ¥u Lãnh
3143	95	Hoan Hoá Vi­n C± KÏ H°n
3144	95	Hoan Hoá T¥n Vß½ng
3145	95	Hoan Hoá Cáp ĞÕi Bá
5401	5	Nai Con ô ô·äo änh
5402	45	Nai Con ô ô·äo änh
5403	55	Nai Con ô ô·äo änh
5404	65	Nai Con ô ô·äo änh
5405	75	Nai Con ô ô·äo änh
5406	85	Nai Con ô ô·äo änh
5407	95	Nai Con ô ô·äo änh
