INT	INT	STRING	INT	STRING	INT	INT	INT
39	10301110	ÐÕi T¥n Phong Ðính	102	Tø Linh ThÕch	30505818	1	50000
40	10301111	ÐÕi T¥n Phong Ðính	102	Tø Linh ThÕch	30505818	1	50000
41	10301203	ÐÕi Ðß¶ng Côn NhÕc	102	Tø Linh ThÕch	30505818	1	50000
42	10301204	ÐÕi Ðß¶ng Côn NhÕc	102	Tø Linh ThÕch	30505818	1	50000
43	10301205	ÐÕi Ðß¶ng Côn NhÕc	102	Tø Linh ThÕch	30505818	1	50000
44	10301206	ÐÕi Ðß¶ng Côn NhÕc	102	Tø Linh ThÕch	30505818	1	50000
45	10301207	ÐÕi Ðß¶ng Côn NhÕc	102	Tø Linh ThÕch	30505818	1	50000
46	10301208	ÐÕi Ðß¶ng Côn NhÕc	102	Tø Linh ThÕch	30505818	1	50000
47	10301209	ÐÕi Ðß¶ng Côn NhÕc	102	Tø Linh ThÕch	30505818	1	50000
48	10301210	ÐÕi Ðß¶ng Côn NhÕc	102	Tø Linh ThÕch	30505818	1	50000
49	10301211	ÐÕi Ðß¶ng Côn NhÕc	102	Tø Linh ThÕch	30505818	1	50000
50	10302103	ÐÕi Thß½ng Tr¥n Änh	102	Tø Linh ThÕch	30505818	1	50000
51	10302104	ÐÕi Thß½ng Tr¥n Änh	102	Tø Linh ThÕch	30505818	1	50000
52	10302105	ÐÕi Thß½ng Tr¥n Änh	102	Tø Linh ThÕch	30505818	1	50000
53	10302106	ÐÕi Thß½ng Tr¥n Änh	102	Tø Linh ThÕch	30505818	1	50000
54	10302107	ÐÕi Thß½ng Tr¥n Änh	102	Tø Linh ThÕch	30505818	1	50000
55	10302108	ÐÕi Thß½ng Tr¥n Änh	102	Tø Linh ThÕch	30505818	1	50000
56	10302109	ÐÕi Thß½ng Tr¥n Änh	102	Tø Linh ThÕch	30505818	1	50000
57	10302110	ÐÕi Thß½ng Tr¥n Änh	102	Tø Linh ThÕch	30505818	1	50000
58	10302111	ÐÕi Thß½ng Tr¥n Änh	102	Tø Linh ThÕch	30505818	1	50000
59	10302203	ÐÕi Yên V§n Chß½ng	102	Tø Linh ThÕch	30505818	1	50000
60	10302204	ÐÕi Yên V§n Chß½ng	102	Tø Linh ThÕch	30505818	1	50000
61	10302205	ÐÕi Yên V§n Chß½ng	102	Tø Linh ThÕch	30505818	1	50000
62	10302206	ÐÕi Yên V§n Chß½ng	102	Tø Linh ThÕch	30505818	1	50000
63	10302207	ÐÕi Yên V§n Chß½ng	102	Tø Linh ThÕch	30505818	1	50000
64	10302208	ÐÕi Yên V§n Chß½ng	102	Tø Linh ThÕch	30505818	1	50000
65	10302209	ÐÕi Yên V§n Chß½ng	102	Tø Linh ThÕch	30505818	1	50000
66	10302210	ÐÕi Yên V§n Chß½ng	102	Tø Linh ThÕch	30505818	1	50000
67	10302211	ÐÕi Yên V§n Chß½ng	102	Tø Linh ThÕch	30505818	1	50000
68	10303103	ÐÕi Chu Lam DÕ	102	Tø Linh ThÕch	30505818	1	50000
69	10303104	ÐÕi Chu Lam DÕ	102	Tø Linh ThÕch	30505818	1	50000
70	10303105	ÐÕi Chu Lam DÕ	102	Tø Linh ThÕch	30505818	1	50000
71	10303106	ÐÕi Chu Lam DÕ	102	Tø Linh ThÕch	30505818	1	50000
72	10303107	ÐÕi Chu Lam DÕ	102	Tø Linh ThÕch	30505818	1	50000
73	10303108	ÐÕi Chu Lam DÕ	102	Tø Linh ThÕch	30505818	1	50000
74	10303109	ÐÕi Chu Lam DÕ	102	Tø Linh ThÕch	30505818	1	50000
75	10303110	ÐÕi Chu Lam DÕ	102	Tø Linh ThÕch	30505818	1	50000
76	10303111	ÐÕi Chu Lam DÕ	102	Tø Linh ThÕch	30505818	1	50000
77	10303203	ÐÕi T¤n Tinh Ngân	102	Tø Linh ThÕch	30505818	1	50000
78	10303204	ÐÕi T¤n Tinh Ngân	102	Tø Linh ThÕch	30505818	1	50000
79	10303205	ÐÕi T¤n Tinh Ngân	102	Tø Linh ThÕch	30505818	1	50000
80	10303206	ÐÕi T¤n Tinh Ngân	102	Tø Linh ThÕch	30505818	1	50000
81	10303207	ÐÕi T¤n Tinh Ngân	102	Tø Linh ThÕch	30505818	1	50000
82	10303208	ÐÕi T¤n Tinh Ngân	102	Tø Linh ThÕch	30505818	1	50000
83	10303209	ÐÕi T¤n Tinh Ngân	102	Tø Linh ThÕch	30505818	1	50000
84	10303210	ÐÕi T¤n Tinh Ngân	102	Tø Linh ThÕch	30505818	1	50000
85	10303211	ÐÕi T¤n Tinh Ngân	102	Tø Linh ThÕch	30505818	1	50000
86	10304103	ÐÕi T¯ng Quân S¥m	102	Tø Linh ThÕch	30505818	1	50000
87	10304104	ÐÕi T¯ng Quân S¥m	102	Tø Linh ThÕch	30505818	1	50000
88	10304105	ÐÕi T¯ng Quân S¥m	102	Tø Linh ThÕch	30505818	1	50000
89	10304106	ÐÕi T¯ng Quân S¥m	102	Tø Linh ThÕch	30505818	1	50000
90	10304107	ÐÕi T¯ng Quân S¥m	102	Tø Linh ThÕch	30505818	1	50000
91	10304108	ÐÕi T¯ng Quân S¥m	102	Tø Linh ThÕch	30505818	1	50000
92	10304109	ÐÕi T¯ng Quân S¥m	102	Tø Linh ThÕch	30505818	1	50000
93	10304110	ÐÕi T¯ng Quân S¥m	102	Tø Linh ThÕch	30505818	1	50000
94	10304111	ÐÕi T¯ng Quân S¥m	102	Tø Linh ThÕch	30505818	1	50000
95	10305103	ÐÕi Hán Ho¢ng Cß½ng	102	Tø Linh ThÕch	30505818	1	50000
96	10305104	ÐÕi Hán Ho¢ng Cß½ng	102	Tø Linh ThÕch	30505818	1	50000
97	10305105	ÐÕi Hán Ho¢ng Cß½ng	102	Tø Linh ThÕch	30505818	1	50000
98	10305106	ÐÕi Hán Ho¢ng Cß½ng	102	Tø Linh ThÕch	30505818	1	50000
99	10305107	ÐÕi Hán Ho¢ng Cß½ng	102	Tø Linh ThÕch	30505818	1	50000
100	10305108	ÐÕi Hán Ho¢ng Cß½ng	102	Tø Linh ThÕch	30505818	1	50000
101	10305109	ÐÕi Hán Ho¢ng Cß½ng	102	Tø Linh ThÕch	30505818	1	50000
102	10305110	ÐÕi Hán Ho¢ng Cß½ng	102	Tø Linh ThÕch	30505818	1	50000
103	10305111	ÐÕi Hán Ho¢ng Cß½ng	102	Tø Linh ThÕch	30505818	1	50000
104	10305203	ÐÕi Tüy Ngßng Sß½ng	102	Tø Linh ThÕch	30505818	1	50000
105	10305204	ÐÕi Tüy Ngßng Sß½ng	102	Tø Linh ThÕch	30505818	1	50000
106	10305205	ÐÕi Tüy Ngßng Sß½ng	102	Tø Linh ThÕch	30505818	1	50000
107	10305206	ÐÕi Tüy Ngßng Sß½ng	102	Tø Linh ThÕch	30505818	1	50000
108	10305207	ÐÕi Tüy Ngßng Sß½ng	102	Tø Linh ThÕch	30505818	1	50000
109	10305208	ÐÕi Tüy Ngßng Sß½ng	102	Tø Linh ThÕch	30505818	1	50000
110	10305209	ÐÕi Tüy Ngßng Sß½ng	102	Tø Linh ThÕch	30505818	1	50000
111	10305210	ÐÕi Tüy Ngßng Sß½ng	102	Tø Linh ThÕch	30505818	1	50000
112	10305211	ÐÕi Tüy Ngßng Sß½ng	102	Tø Linh ThÕch	30505818	1	50000
113	10306006	CØu Tiêu Ng÷c QuÏnh Nö	86	Tø Linh ThÕch	30505818	1	50000
114	10306007	CØu Tiêu Ng÷c QuÏnh Nö	96	Tø Linh ThÕch	30505818	1	50000
115	10306015	ÐÕi Lß½ng Bích Thiên	102	Tø Linh ThÕch	30505818	1	50000
116	10306016	ÐÕi Lß½ng Bích Thiên	102	Tø Linh ThÕch	30505818	1	50000
117	10306017	ÐÕi Lß½ng Bích Thiên	102	Tø Linh ThÕch	30505818	1	50000
118	10306018	ÐÕi Lß½ng Bích Thiên	102	Tø Linh ThÕch	30505818	1	50000
119	10306019	ÐÕi Lß½ng Bích Thiên	102	Tø Linh ThÕch	30505818	1	50000
120	10306020	ÐÕi Lß½ng Bích Thiên	102	Tø Linh ThÕch	30505818	1	50000
121	10306021	ÐÕi Lß½ng Bích Thiên	102	Tø Linh ThÕch	30505818	1	50000
122	10306022	ÐÕi Lß½ng Bích Thiên	102	Tø Linh ThÕch	30505818	1	50000
123	10306023	ÐÕi Lß½ng Bích Thiên	102	Tø Linh ThÕch	30505818	1	50000
124	10307006	Thái Hß Quy Tinh Trßþng	86	Tø Linh ThÕch	30505818	1	50000
125	10307007	Thái Hß Quy Tinh Trßþng	96	Tø Linh ThÕch	30505818	1	50000
126	10307015	ÐÕi Ngøy Trß¶ng Ca	102	Tø Linh ThÕch	30505818	1	50000
127	10307016	ÐÕi Ngøy Trß¶ng Ca	102	Tø Linh ThÕch	30505818	1	50000
128	10307017	ÐÕi Ngøy Trß¶ng Ca	102	Tø Linh ThÕch	30505818	1	50000
129	10307018	ÐÕi Ngøy Trß¶ng Ca	102	Tø Linh ThÕch	30505818	1	50000
130	10307019	ÐÕi Ngøy Trß¶ng Ca	102	Tø Linh ThÕch	30505818	1	50000
131	10307020	ÐÕi Ngøy Trß¶ng Ca	102	Tø Linh ThÕch	30505818	1	50000
132	10307021	ÐÕi Ngøy Trß¶ng Ca	102	Tø Linh ThÕch	30505818	1	50000
133	10307022	ÐÕi Ngøy Trß¶ng Ca	102	Tø Linh ThÕch	30505818	1	50000
134	10307023	ÐÕi Ngøy Trß¶ng Ca	102	Tø Linh ThÕch	30505818	1	50000
135	10300413	CØu Tiêu Di®m Dß½ng	102	-1	-1	0	2880000
136	10300414	CØu Tiêu Di®m Dß½ng	102	-1	-1	0	2880000
137	10300415	CØu Tiêu Di®m Dß½ng	102	-1	-1	0	2880000
138	10300416	CØu Tiêu Di®m Dß½ng	102	-1	-1	0	2880000
139	10300417	CØu Tiêu Di®m Dß½ng	102	-1	-1	0	2880000
140	10300418	CØu Tiêu Di®m Dß½ng	102	-1	-1	0	2880000
141	10300419	CØu Tiêu Di®m Dß½ng	102	-1	-1	0	2880000
142	10300420	CØu Tiêu Di®m Dß½ng	102	-1	-1	0	2880000
143	10300421	CØu Tiêu Di®m Dß½ng	102	-1	-1	0	2880000
144	10301426	H°ng Hoang Long Vû	102	-1	-1	0	2880000
145	10301427	H°ng Hoang Long Vû	102	-1	-1	0	2880000
146	10301428	H°ng Hoang Long Vû	102	-1	-1	0	2880000
147	10301429	H°ng Hoang Long Vû	102	-1	-1	0	2880000
148	10301430	H°ng Hoang Long Vû	102	-1	-1	0	2880000
149	10301431	H°ng Hoang Long Vû	102	-1	-1	0	2880000
150	10301432	H°ng Hoang Long Vû	102	-1	-1	0	2880000
151	10301433	H°ng Hoang Long Vû	102	-1	-1	0	2880000
152	10301434	H°ng Hoang Long Vû	102	-1	-1	0	2880000
153	10301435	ÐÕt Ma Nh¤t Thán	102	-1	-1	0	2880000
154	10301436	ÐÕt Ma Nh¤t Thán	102	-1	-1	0	2880000
155	10301437	ÐÕt Ma Nh¤t Thán	102	-1	-1	0	2880000
156	10301438	ÐÕt Ma Nh¤t Thán	102	-1	-1	0	2880000
157	10301439	ÐÕt Ma Nh¤t Thán	102	-1	-1	0	2880000
158	10301440	ÐÕt Ma Nh¤t Thán	102	-1	-1	0	2880000
159	10301441	ÐÕt Ma Nh¤t Thán	102	-1	-1	0	2880000
160	10301442	ÐÕt Ma Nh¤t Thán	102	-1	-1	0	2880000
161	10301443	ÐÕt Ma Nh¤t Thán	102	-1	-1	0	2880000
162	10302430	ÐÕi Di­n Thiên Huy«n	102	-1	-1	0	2880000
163	10302431	ÐÕi Di­n Thiên Huy«n	102	-1	-1	0	2880000
164	10302432	ÐÕi Di­n Thiên Huy«n	102	-1	-1	0	2880000
165	10302433	ÐÕi Di­n Thiên Huy«n	102	-1	-1	0	2880000
166	10302434	ÐÕi Di­n Thiên Huy«n	102	-1	-1	0	2880000
167	10302435	ÐÕi Di­n Thiên Huy«n	102	-1	-1	0	2880000
168	10302436	ÐÕi Di­n Thiên Huy«n	102	-1	-1	0	2880000
169	10302437	ÐÕi Di­n Thiên Huy«n	102	-1	-1	0	2880000
170	10302438	ÐÕi Di­n Thiên Huy«n	102	-1	-1	0	2880000
171	10302439	MÕt Thª Vß½ng Quy«n	102	-1	-1	0	2880000
172	10302440	MÕt Thª Vß½ng Quy«n	102	-1	-1	0	2880000
173	10302441	MÕt Thª Vß½ng Quy«n	102	-1	-1	0	2880000
174	10302442	MÕt Thª Vß½ng Quy«n	102	-1	-1	0	2880000
175	10302443	MÕt Thª Vß½ng Quy«n	102	-1	-1	0	2880000
176	10302444	MÕt Thª Vß½ng Quy«n	102	-1	-1	0	2880000
177	10302445	MÕt Thª Vß½ng Quy«n	102	-1	-1	0	2880000
178	10302446	MÕt Thª Vß½ng Quy«n	102	-1	-1	0	2880000
179	10302447	MÕt Thª Vß½ng Quy«n	102	-1	-1	0	2880000
180	10303422	 Thiên Trß¶ng Sinh	102	-1	-1	0	2880000
181	10303423	 Thiên Trß¶ng Sinh	102	-1	-1	0	2880000
182	10303424	 Thiên Trß¶ng Sinh	102	-1	-1	0	2880000
183	10303425	 Thiên Trß¶ng Sinh	102	-1	-1	0	2880000
184	10303426	 Thiên Trß¶ng Sinh	102	-1	-1	0	2880000
185	10303427	 Thiên Trß¶ng Sinh	102	-1	-1	0	2880000
186	10303428	 Thiên Trß¶ng Sinh	102	-1	-1	0	2880000
187	10303429	 Thiên Trß¶ng Sinh	102	-1	-1	0	2880000
188	10303430	 Thiên Trß¶ng Sinh	102	-1	-1	0	2880000
189	10303431	Løc ÐÕo Hoàng Tuy«n	102	-1	-1	0	2880000
190	10303432	Løc ÐÕo Hoàng Tuy«n	102	-1	-1	0	2880000
191	10303433	Løc ÐÕo Hoàng Tuy«n	102	-1	-1	0	2880000
192	10303434	Løc ÐÕo Hoàng Tuy«n	102	-1	-1	0	2880000
193	10303435	Løc ÐÕo Hoàng Tuy«n	102	-1	-1	0	2880000
194	10303436	Løc ÐÕo Hoàng Tuy«n	102	-1	-1	0	2880000
195	10303437	Løc ÐÕo Hoàng Tuy«n	102	-1	-1	0	2880000
196	10303438	Løc ÐÕo Hoàng Tuy«n	102	-1	-1	0	2880000
197	10303439	Løc ÐÕo Hoàng Tuy«n	102	-1	-1	0	2880000
198	10304417	Thái C± Phiêu Linh	102	-1	-1	0	2880000
199	10304418	Thái C± Phiêu Linh	102	-1	-1	0	2880000
200	10304419	Thái C± Phiêu Linh	102	-1	-1	0	2880000
201	10304420	Thái C± Phiêu Linh	102	-1	-1	0	2880000
202	10304421	Thái C± Phiêu Linh	102	-1	-1	0	2880000
203	10304422	Thái C± Phiêu Linh	102	-1	-1	0	2880000
204	10304423	Thái C± Phiêu Linh	102	-1	-1	0	2880000
205	10304424	Thái C± Phiêu Linh	102	-1	-1	0	2880000
206	10304425	Thái C± Phiêu Linh	102	-1	-1	0	2880000
207	10305426	VÕn Thª Khô Vinh	102	-1	-1	0	2880000
208	10305427	VÕn Thª Khô Vinh	102	-1	-1	0	2880000
209	10305428	VÕn Thª Khô Vinh	102	-1	-1	0	2880000
210	10305429	VÕn Thª Khô Vinh	102	-1	-1	0	2880000
211	10305430	VÕn Thª Khô Vinh	102	-1	-1	0	2880000
212	10305431	VÕn Thª Khô Vinh	102	-1	-1	0	2880000
213	10305432	VÕn Thª Khô Vinh	102	-1	-1	0	2880000
214	10305433	VÕn Thª Khô Vinh	102	-1	-1	0	2880000
215	10305434	VÕn Thª Khô Vinh	102	-1	-1	0	2880000
216	10305435	Vô Tß¾ng Tuy®t Tung	102	-1	-1	0	2880000
217	10305436	Vô Tß¾ng Tuy®t Tung	102	-1	-1	0	2880000
218	10305437	Vô Tß¾ng Tuy®t Tung	102	-1	-1	0	2880000
219	10305438	Vô Tß¾ng Tuy®t Tung	102	-1	-1	0	2880000
220	10305439	Vô Tß¾ng Tuy®t Tung	102	-1	-1	0	2880000
221	10305440	Vô Tß¾ng Tuy®t Tung	102	-1	-1	0	2880000
222	10305441	Vô Tß¾ng Tuy®t Tung	102	-1	-1	0	2880000
223	10305442	Vô Tß¾ng Tuy®t Tung	102	-1	-1	0	2880000
224	10305443	Vô Tß¾ng Tuy®t Tung	102	-1	-1	0	2880000
225	10306033	Di®t Änh Thiên Tru	102	-1	-1	0	2880000
226	10306034	Di®t Änh Thiên Tru	102	-1	-1	0	2880000
227	10306035	Di®t Änh Thiên Tru	102	-1	-1	0	2880000
228	10306036	Di®t Änh Thiên Tru	102	-1	-1	0	2880000
229	10306037	Di®t Änh Thiên Tru	102	-1	-1	0	2880000
230	10306038	Di®t Änh Thiên Tru	102	-1	-1	0	2880000
231	10306039	Di®t Änh Thiên Tru	102	-1	-1	0	2880000
232	10306040	Di®t Änh Thiên Tru	102	-1	-1	0	2880000
233	10306041	Di®t Änh Thiên Tru	102	-1	-1	0	2880000
234	10307033	Ng÷c Pháp Huy«n Khung	102	-1	-1	0	2880000
235	10307034	Ng÷c Pháp Huy«n Khung	102	-1	-1	0	2880000
236	10307035	Ng÷c Pháp Huy«n Khung	102	-1	-1	0	2880000
237	10307036	Ng÷c Pháp Huy«n Khung	102	-1	-1	0	2880000
238	10307037	Ng÷c Pháp Huy«n Khung	102	-1	-1	0	2880000
239	10307038	Ng÷c Pháp Huy«n Khung	102	-1	-1	0	2880000
240	10307039	Ng÷c Pháp Huy«n Khung	102	-1	-1	0	2880000
241	10307040	Ng÷c Pháp Huy«n Khung	102	-1	-1	0	2880000
242	10307041	Ng÷c Pháp Huy«n Khung	102	-1	-1	0	2880000
243	10308006	Thiên Ð¸a NhÕc Ð°ng Tiêu	86	Tø Linh ThÕch	30505818	1	50000
244	10308007	Thiên Ð¸a NhÕc Ð°ng Tiêu	96	Tø Linh ThÕch	30505818	1	50000
245	10308015	ÐÕi Tuy®t Chính Âm	102	Tø Linh ThÕch	30505818	1	50000
246	10308016	ÐÕi Tuy®t Chính Âm	102	Tø Linh ThÕch	30505818	1	50000
247	10308017	ÐÕi Tuy®t Chính Âm	102	Tø Linh ThÕch	30505818	1	50000
248	10308018	ÐÕi Tuy®t Chính Âm	102	Tø Linh ThÕch	30505818	1	50000
249	10308019	ÐÕi Tuy®t Chính Âm	102	Tø Linh ThÕch	30505818	1	50000
250	10308020	ÐÕi Tuy®t Chính Âm	102	Tø Linh ThÕch	30505818	1	50000
251	10308021	ÐÕi Tuy®t Chính Âm	102	Tø Linh ThÕch	30505818	1	50000
252	10308022	ÐÕi Tuy®t Chính Âm	102	Tø Linh ThÕch	30505818	1	50000
253	10308023	ÐÕi Tuy®t Chính Âm	102	Tø Linh ThÕch	30505818	1	50000
254	10308033	Xuân Thu Ph°n Lµ	102	-1	-1	0	2880000
255	10308034	Xuân Thu Ph°n Lµ	102	-1	-1	0	2880000
256	10308035	Xuân Thu Ph°n Lµ	102	-1	-1	0	2880000
257	10308036	Xuân Thu Ph°n Lµ	102	-1	-1	0	2880000
258	10308037	Xuân Thu Ph°n Lµ	102	-1	-1	0	2880000
259	10308038	Xuân Thu Ph°n Lµ	102	-1	-1	0	2880000
260	10308039	Xuân Thu Ph°n Lµ	102	-1	-1	0	2880000
261	10308040	Xuân Thu Ph°n Lµ	102	-1	-1	0	2880000
262	10308041	Xuân Thu Ph°n Lµ	102	-1	-1	0	2880000
